year (AD),age (BP),MAR (g/cm2/yr)
-810,2760,0.06
-831,2781,0.014
-851,2801,0.027
-872,2822,0.037
-892,2842,0.023
-913,2863,0.026
-933,2883,0.029
-954,2904,0.015
-974,2924,0.038
-994,2944,0.059
-1015,2965,0.045
-1035,2985,0.024
-1056,3006,0.011
-1076,3026,0.011
-1096,3046,0.014
-1117,3067,0.044
-1137,3087,0.05
-1157,3107,0.03
-1178,3128,0.018
-1198,3148,0.012
-1218,3168,0.015
-1238,3188,0.022
-1258,3208,0.022
-1278,3228,0.028
-1298,3248,0.021
-1318,3268,0.011
-1338,3288,0.016
-1357,3307,0.011
-1377,3327,0.026
-1397,3347,0.028
-1416,3366,0.035
-1436,3386,0.013
-1455,3405,0.043
-1475,3425,0.044
-1494,3444,0.031
-1514,3464,0.037
-1533,3483,0.038
-1552,3502,0.037
-1572,3522,0.018
-1591,3541,0.033
-1610,3560,0.035
-1630,3580,0.013
-1649,3599,0.02
-1669,3619,0.029
-1688,3638,0.014
-1708,3658,0.01
-1727,3677,0.017
-1747,3697,0.018
-1767,3717,0.024
-1787,3737,0.018
-1807,3757,0.03
-1826,3776,0.039
-1846,3796,0.032
-1867,3817,0.022
-1887,3837,0.028
-1907,3857,0.029
-1928,3878,0.018
-1948,3898,0.015
-1969,3919,0.025
-1989,3939,0.032
-2010,3960,0.025
-2031,3981,0.025
-2053,4003,0.022
-2074,4024,0.028
-2096,4046,0.023
-2117,4067,0.028
-2139,4089,0.027
-2161,4111,0.04
-2183,4133,0.024
-2206,4156,0.019
-2217,4167,0.035
-2251,4201,0.02
-2263,4213,0.046
-2298,4248,0.012
-2309,4259,0.031
-2345,4295,0.008
-2357,4307,0.015
-2393,4343,0.005
-2417,4367,0.008
-2442,4392,0.007
-2467,4417,0.007
-2492,4442,0.011
-2518,4468,0.019
-2543,4493,0.026
-2569,4519,0.008
-2596,4546,0.006
-2622,4572,0.01
-2649,4599,0.01
-2677,4627,0.014
-2704,4654,0.016
-2732,4682,0.012
-2760,4710,0.012
-2788,4738,0.01
-2817,4767,0.018
-2846,4796,0.011
-2861,4811,0.024
-2905,4855,0.006
-2920,4870,0.021
-2965,4915,0.007
-2980,4930,0.034
-3026,4976,0.01
-3041,4991,0.026
-3088,5038,0.005
-3119,5069,0.007
-3151,5101,0.007
-3183,5133,0.007
-3215,5165,0.007
-3247,5197,0.01
-3280,5230,0.02
-3313,5263,0.013
-3347,5297,0.011
-3380,5330,0.01
-3414,5364,0.011
-3448,5398,0.007
-3482,5432,0.006
-3517,5467,0.007
-3552,5502,0.007
-3587,5537,0.007
-3622,5572,0.008
-3658,5608,0.005
-3675,5625,0.013
-3729,5679,0.004
-3747,5697,0.021
-3802,5752,0.005
-3820,5770,0.013
-3876,5826,0.004
-3913,5863,0.015
-3950,5900,0.009
-3988,5938,0.007
-4026,5976,0.006
-4064,6014,0.01
-4103,6053,0.009
-4141,6091,0.012
-4180,6130,0.006
-4219,6169,0.006
-4258,6208,0.009
-4298,6248,0.007
-4337,6287,0.006
-4377,6327,0.005
-4417,6367,0.007
-4458,6408,0.006
-4498,6448,0.004
-4539,6489,0.005
-4580,6530,0.011
-4621,6571,0.011
-4662,6612,0.013
-4704,6654,0.01
-4746,6696,0.011
-4788,6738,0.008
-4830,6780,0.007
-4872,6822,0.007
-4915,6865,0.017
-4957,6907,0.005
-5000,6950,0.005
-5043,6993,0.006
-5087,7037,0.005
-5130,7080,0.005
-5174,7124,0.005
-5217,7167,0.005
-5261,7211,0.005
-5306,7256,0.004
-5350,7300,0.004
-5394,7344,0.004
-5439,7389,0.004
-5484,7434,0.006
-5529,7479,0.008
-5574,7524,0.007
-5619,7569,0.006
-5665,7615,0.008
-5710,7660,0.007
-5756,7706,0.01
-5801,7751,0.005
-5847,7797,0.005
-5893,7843,0.008
-5939,7889,0.007
-5985,7935,0.011
-6032,7982,0.004
-6078,8028,0.004
-6125,8075,0.009
-6171,8121,0.004
-6218,8168,0.005
-6265,8215,0.009
-6311,8261,0.005
-6358,8308,0.004
-6405,8355,0.013
-6452,8402,0.017
-6499,8449,0.01
-6547,8497,0.005
-6594,8544,0.007
-6641,8591,0.013
-6688,8638,0.006
-6736,8686,0.005
-6783,8733,0.005
-6831,8781,0.005
-6878,8828,0.004
-6926,8876,0.013
-6973,8923,0.006
-7021,8971,0.004
-7068,9018,0.006
-7116,9066,0.004
-7163,9113,0.004
-7211,9161,0.004
-7259,9209,0.004
-7306,9256,0.004
-7354,9304,0.004
-7402,9352,0.004
-7449,9399,0.008
-7497,9447,0.014
-7545,9495,0.006
