depth (cm),age (BP),age (BP),d18O (permil)
-2.5,6385.22,6308.66,-7.013
-2.55,6363.83,6287.49,-6.747
-2.6,6342.44,6266.32,-6.848
-2.65,6321.05,6245.15,-6.552
-2.7,6299.66,6223.98,-6.388
-2.75,6278.27,6202.81,-6.308
-2.8,6256.88,6181.64,-6.618
-2.85,6235.49,6160.47,-6.763
-2.9,6214.1,6139.3,-7.032
-2.95,6192.71,6118.13,-6.63
-3,6171.32,6096.96,-6.64
-3.05,6149.93,6075.79,-6.747
-3.1,6128.54,6054.62,-6.585
-3.15,6107.15,6033.45,-6.689
-3.2,6085.76,6012.28,-6.371
-3.25,6064.37,5991.11,-6.833
-3.3,6042.98,5969.94,-6.596
-3.35,6021.59,5948.77,-6.546
-3.4,6000.2,5927.6,-6.783
-3.45,5978.81,5906.43,-6.617
-3.5,5957.42,5885.26,-6.51
-3.55,5936,5864,-6.387
-3.6,5914.81,5843.562,-6.822
-3.65,5893.62,5823.125,-6.602
-3.7,5872.43,5802.688,-6.28
-3.75,5851.24,5782.25,-6.203
-3.8,5830.05,5761.812,-6.581
-3.85,5808.86,5741.375,-6.441
-3.9,5787.67,5720.938,-6.45
-3.95,5766.48,5700.5,-6.463
-4,5745.29,5680.062,-6.462
-4.05,5724.1,5659.625,-6.804
-4.1,5702.91,5639.188,-6.45
-4.15,5681.72,5618.75,-6.853
-4.2,5660.53,5598.312,-6.482
-4.25,5639.34,5577.875,-6.322
-4.3,5618.15,5557.438,-6.63
-4.35,5597,5537,-6.313
-4.4,5581.93,5509.27,-6.427
-4.45,5566.86,5481.54,-6.663
-4.5,5551.79,5453.81,-6.683
-4.55,5536.72,5426.08,-6.558
-4.6,5521.65,5398.35,-6.948
-4.65,5506.58,5370.62,-6.652
-4.7,5491.51,5342.89,-6.451
-4.75,5476.44,5315.16,-6.576
-4.8,5461.37,5287.43,-6.452
-4.85,5446.3,5259.7,-6.506
-4.9,5431.23,5231.97,-6.384
-4.95,5416.16,5204.24,-6.551
-5,5401.09,5176.51,-6.616
-5.05,5386.02,5148.78,-6.787
-5.1,5370.95,5121.05,-6.717
-5.15,5355.88,5093.32,-6.641
-5.2,5340.81,5065.59,-6.774
-5.25,5325.74,5037.86,-6.703
-5.3,5310.67,5010.13,-6.605
-5.35,5295.6,4982.4,-6.608
-5.4,5280.53,4954.67,-6.515
-5.45,5265.46,4926.94,-6.728
-5.5,5250.39,4899.21,-6.647
-5.55,5235.32,4871.48,-6.591
-5.6,5220.25,4843.75,-6.52
-5.65,5205.18,4816.02,-6.535
-5.7,5190.11,4788.29,-6.244
-5.75,5175.04,4760.56,-6.507
-5.8,5159.97,4732.83,-6.71
-5.85,5145,4705,-6.439
-5.9,5117.28,4684.31,-6.969
-5.95,5089.55,4663.62,-6.466
-6,5061.83,4642.93,-6.544
-6.05,5034.1,4622.24,-6.536
-6.1,5006.38,4601.55,-6.904
-6.15,4978.66,4580.86,-6.672
-6.2,4950.93,4560.17,-6.756
-6.25,4923.21,4539.48,-6.93
-6.3,4895.48,4518.79,-6.79
-6.35,4867.76,4498.1,-6.782
-6.4,4840.03,4477.41,-6.827
-6.45,4812.31,4456.72,-6.872
-6.5,4784.59,4436.03,-6.897
-6.55,4756.86,4415.34,-6.617
-6.6,4729.14,4394.65,-6.613
-6.65,4701.41,4373.96,-6.832
-6.7,4673.69,4353.27,-6.882
-6.75,4645.97,4332.58,-6.705
-6.8,4618.24,4311.89,-6.873
-6.85,4590.52,4291.2,-6.788
-6.9,4562.79,4270.51,-6.757
-6.95,4535.07,4249.82,-6.643
-7,4507.34,4229.13,-6.707
-7.05,4479.62,4208.44,-6.854
-7.1,4451.9,4187.75,-6.632
-7.15,4424.17,4167.06,-6.662
-7.2,4396.45,4146.37,-6.811
-7.25,4368.72,4125.68,-6.575
-7.3,4341,4105,-6.557
-7.35,4313.32,4069.26,-6.524
-7.4,4285.64,4033.52,-6.811
-7.45,4257.96,3997.78,-6.52
-7.5,4230.28,3962.04,-6.846
-7.55,4202.6,3926.3,-6.674
-7.6,4174.92,3890.56,-6.735
-7.65,4147.24,3854.82,-6.751
-7.7,4119.56,3819.08,-6.654
-7.75,4091.88,3783.34,-6.872
-7.8,4064.2,3747.6,-6.761
-7.85,4036.52,3711.86,-6.816
-7.9,4008.84,3676.12,-6.954
-7.95,3981.16,3640.38,-7.041
-8,3953.48,3604.64,-6.776
-8.05,3925.8,3568.9,-7.115
-8.1,3898.12,3533.16,-6.717
-8.15,3870.44,3497.42,-6.906
-8.2,3842.76,3461.68,-7.054
-8.25,3815,3426,-7.086
-8.3,3785.17,3393.33,-7.099
-8.35,3755.34,3360.66,-6.843
-8.4,3725.51,3327.99,-6.763
-8.45,3695.68,3295.32,-6.6
-8.5,3665.85,3262.65,-7.265
-8.55,3636.02,3229.98,-7.266
-8.6,3606.19,3197.31,-6.972
-8.65,3576.36,3164.64,-6.491
-8.7,3546.53,3131.97,-6.814
-8.75,3516.7,3099.3,-6.835
-8.8,3486.87,3066.63,-7.037
-8.85,3457,3034,-6.867
-8.9,3436.81,3014.125,-6.817
-8.95,3416.62,2994.25,-6.913
-9,3396.43,2974.375,-7.205
-9.05,3376.24,2954.5,-6.876
-9.1,3356.05,2934.625,-6.951
-9.15,3335.86,2914.75,-6.941
-9.2,3315.67,2894.875,-6.997
-9.25,3295.48,2875,-6.86
-9.3,3275.29,2855.125,-7.032
-9.35,3255.1,2835.25,-7.108
-9.4,3234.91,2815.375,-7.045
-9.45,3214.72,2795.5,-7.271
-9.5,3194.53,2775.625,-7.018
-9.55,3174.34,2755.75,-6.925
-9.6,3154.15,2735.875,-7.129
-9.65,3134,2716,-7.115
-9.7,3097.74,2688.21,-7.198
-9.75,3061.47,2660.42,-7.18
-9.8,3025.21,2632.63,-7.205
-9.85,2988.95,2604.84,-7.184
-9.9,2952.68,2577.05,-6.862
-9.95,2916.42,2549.26,-6.523
-10,2880.16,2521.47,-6.894
-10.05,2843.89,2493.68,-6.751
-10.1,2807.63,2465.89,-6.746
-10.15,2771.37,2438.1,-6.652
-10.2,2735.11,2410.31,-6.868
-10.25,2698.84,2382.52,-6.791
-10.3,2662.58,2354.73,-6.744
-10.35,2626.32,2326.94,-6.344
-10.4,2590.05,2299.15,-6.659
-10.45,2553.79,2271.36,-6.605
-10.5,2517.53,2243.57,-6.824
-10.55,2481.26,2215.78,-6.635
-10.6,2445,2188,-6.777
-10.65,2403.91,2145.37,-6.684
-10.7,2362.82,2102.74,-6.718
-10.75,2321.73,2060.11,-6.601
-10.8,2280.64,2017.48,-6.841
-10.85,2239.55,1974.85,-6.627
-10.9,2198.46,1932.22,-6.795
-10.95,2157.37,1889.59,-6.563
-11,2116.28,1846.96,-6.962
-11.05,2075.19,1804.33,-7.051
-11.1,2034.1,1761.7,-6.889
-11.15,1993,1719,-7.121
-11.2,1959.48,1692.3,-7.248
-11.25,1925.96,1665.6,-7.17
-11.3,1892.44,1638.9,-7.13
-11.35,1858.92,1612.2,-6.848
-11.4,1825.4,1585.5,-7.139
-11.45,1791.88,1558.8,-6.848
-11.5,1758.36,1532.1,-6.992
-11.55,1724.84,1505.4,-7.088
-11.6,1691.32,1478.7,-6.838
-11.65,1657.8,1452,-7.119
-11.7,1624.28,1425.3,-6.944
-11.75,1590.76,1398.6,-7.003
-11.8,1557.24,1371.9,-6.956
-11.85,1523.72,1345.2,-7.129
-11.9,1490.2,1318.5,-6.888
-11.95,1456.68,1291.8,-6.916
-12,1423.16,1265.1,-6.885
-12.05,1389.64,1238.4,-6.852
-12.1,1356.12,1211.7,-7.236
-12.15,1322.6,1185,-7.177
-12.2,1289.08,1158.3,-7.102
-12.25,1255.56,1131.6,-6.882
-12.3,1222,1105,-6.842
-12.35,1192.125,1075.65,-6.916
-12.4,1162.25,1046.3,-7.246
-12.45,1132.375,1016.95,-6.911
-12.5,1102.5,987.6,-7.128
-12.55,1072.625,958.25,-6.864
-12.6,1042.75,928.9,-7.005
-12.65,1012.875,899.55,-6.76
-12.7,983,870.2,-6.905
-12.75,953.125,840.85,-6.944
-12.8,923.25,811.5,-6.835
-12.85,893.375,782.15,-6.669
-12.9,863.5,752.8,-6.982
-12.95,833.625,723.45,-7.036
-13,803.75,694.1,-7.043
-13.05,773.875,664.75,-6.85
-13.1,744,606,-7.111
-13.15,715.92,581.85,-6.684
-13.2,687.84,557.7,-6.712
-13.25,659.76,533.55,-6.928
-13.3,631.68,509.4,-7.001
-13.35,603.6,485.25,-7.058
-13.4,575.52,461.1,-7.197
-13.45,547.44,436.95,-7.046
-13.5,519.36,412.8,-7.149
-13.55,491.28,388.65,-6.895
-13.6,463.2,364.5,-7.021
-13.65,435.12,340.35,-6.461
-13.7,407.04,316.2,-6.498
-13.75,379,292,-6.643
-13.8,293.8,224.2,-6.439
-13.85,208.6,156.4,-6.688
-13.9,123.4,88.6,-6.671
-13.95,38.2,20.8,-6.649
-14,-47,-47,-7.063
