year (AD),age (BP),d18O (permil),d18O (permil)
-1168,3118,0.086,0.102
-1183,3133,0.205,0.108
-1198,3148,0.19,0.112
-1213,3163,0.143,0.115
-1228,3178,0.177,0.116
-1243,3193,0.181,0.116
-1258,3208,0.111,0.114
-1273,3223,0.104,0.109
-1288,3238,0.107,0.103
-1303,3253,0.086,0.095
-1318,3268,0.041,0.085
-1333,3283,0.027,0.073
-1348,3298,0.059,0.06
-1363,3313,0.12,0.046
-1378,3328,0.105,0.031
-1393,3343,-0.017,0.015
-1408,3358,-0.088,0
-1423,3373,-0.073,-0.015
-1438,3388,-0.083,-0.029
-1453,3403,-0.091,-0.043
-1468,3418,-0.066,-0.055
-1483,3433,-0.049,-0.066
-1498,3448,-0.028,-0.075
-1513,3463,-0.01,-0.082
-1528,3478,-0.018,-0.089
-1543,3493,-0.054,-0.093
-1558,3508,-0.092,-0.097
-1573,3523,-0.189,-0.1
-1588,3538,-0.245,-0.101
-1603,3553,-0.148,-0.102
-1618,3568,-0.221,-0.102
-1633,3583,-0.172,-0.102
-1648,3598,-0.124,-0.102
-1663,3613,-0.182,-0.103
-1678,3628,-0.231,-0.104
-1693,3643,-0.099,-0.105
-1708,3658,-0.029,-0.107
-1723,3673,0.006,-0.111
-1738,3688,0.065,-0.115
-1753,3703,0.129,-0.12
-1768,3718,-0.313,-0.125
-1783,3733,NA,-0.13
-1798,3748,-0.286,-0.136
-1813,3763,-0.185,-0.141
-1828,3778,NA,-0.144
-1843,3793,NA,-0.147
-1858,3808,0.018,-0.149
-1873,3823,-0.111,-0.148
-1888,3838,-0.263,-0.146
-1903,3853,-0.205,-0.141
-1918,3868,-0.099,-0.134
-1933,3883,0.041,-0.125
-1948,3898,-0.02,-0.113
-1963,3913,0.026,-0.098
-1978,3928,0.282,-0.082
-1993,3943,0.271,-0.064
-2008,3958,0.215,-0.044
-2023,3973,-0.09,-0.024
-2038,3988,-0.642,-0.003
-2053,4003,-0.841,0.019
-2068,4018,-0.388,0.042
-2083,4033,-0.142,0.063
-2098,4048,-0.147,0.084
-2113,4063,-0.003,0.103
-2128,4078,0.345,0.119
-2143,4093,0.416,0.133
-2158,4108,0.3,0.142
-2173,4123,0.217,0.149
-2188,4138,0.457,0.152
-2203,4153,0.467,0.151
-2218,4168,0.219,0.146
-2233,4183,0.146,0.138
-2248,4198,0.221,0.127
-2263,4213,0.121,0.114
-2278,4228,0.031,0.098
-2293,4243,0.052,0.081
-2308,4258,-0.005,0.064
-2323,4273,-0.018,0.046
-2338,4288,-0.135,0.029
-2353,4303,-0.354,0.013
-2368,4318,-0.107,-0.002
-2383,4333,0.094,-0.015
-2398,4348,0.229,-0.025
-2413,4363,0.257,-0.033
-2428,4378,0.164,-0.039
-2443,4393,0.081,-0.042
-2458,4408,0.092,-0.043
-2473,4423,0.047,-0.04
-2488,4438,0.065,-0.036
-2503,4453,-0.011,-0.029
-2518,4468,-0.18,-0.02
-2533,4483,-0.293,-0.01
-2548,4498,-0.267,0.002
-2563,4513,-0.052,0.015
-2578,4528,-0.124,0.028
-2593,4543,-0.277,0.041
-2608,4558,-0.224,0.053
-2623,4573,-0.036,0.065
-2638,4588,0.152,0.076
-2653,4603,0.312,0.085
-2668,4618,0.383,0.092
-2683,4633,0.475,0.096
-2698,4648,0.481,0.099
-2713,4663,0.325,0.099
-2728,4678,0.123,0.097
-2743,4693,0.257,0.093
-2758,4708,0.265,0.088
-2773,4723,0.137,0.081
-2788,4738,0.149,0.073
-2803,4753,0.14,0.065
-2818,4768,0.144,0.056
-2833,4783,0.115,0.047
-2848,4798,-0.021,0.038
-2863,4813,-0.053,0.03
-2878,4828,-0.063,0.022
-2893,4843,-0.077,0.015
-2908,4858,-0.03,0.009
-2923,4873,0.102,0.004
-2938,4888,-0.01,-0.001
-2953,4903,0.054,-0.005
-2968,4918,0.145,-0.009
-2983,4933,0.126,-0.013
-2998,4948,0.131,-0.016
-3013,4963,0.058,-0.02
-3028,4978,-0.059,-0.024
-3043,4993,-0.076,-0.028
-3058,5008,-0.155,-0.032
-3073,5023,-0.159,-0.037
-3088,5038,-0.194,-0.042
-3103,5053,-0.262,-0.047
-3118,5068,-0.011,-0.052
-3133,5083,0.162,-0.058
-3148,5098,0.024,-0.063
-3163,5113,0.21,-0.069
-3178,5128,0.112,-0.074
-3193,5143,-0.151,-0.079
-3208,5158,-0.247,-0.084
-3223,5173,-0.257,-0.087
-3238,5188,-0.159,-0.089
-3253,5203,-0.216,-0.089
-3268,5218,-0.139,-0.089
-3283,5233,-0.169,-0.086
-3298,5248,-0.315,-0.082
-3313,5263,-0.295,-0.077
-3328,5278,0.075,-0.07
-3343,5293,0.018,-0.062
-3358,5308,-0.148,-0.053
-3373,5323,-0.343,-0.043
-3388,5338,-0.27,-0.032
-3403,5353,-0.055,-0.021
-3418,5368,-0.029,-0.01
-3433,5383,0.039,0.001
-3448,5398,0.076,0.011
-3463,5413,0.165,0.02
-3478,5428,0.267,0.029
-3493,5443,0.276,0.035
-3508,5458,0.195,0.041
-3523,5473,0.003,0.045
-3538,5488,-0.196,0.047
-3553,5503,-0.118,0.048
-3568,5518,-0.064,0.048
-3583,5533,-0.268,0.047
-3598,5548,-0.07,0.044
-3613,5563,-0.018,0.041
-3628,5578,-0.087,0.037
-3643,5593,0.145,0.032
-3658,5608,0.247,0.026
-3673,5623,0.002,0.019
-3688,5638,-0.09,0.012
-3703,5653,0.112,0.005
-3718,5668,-0.032,-0.002
-3733,5683,-0.143,-0.01
-3748,5698,-0.181,-0.017
-3763,5713,0.01,-0.023
-3778,5728,0.355,-0.03
-3793,5743,0.343,-0.036
-3808,5758,-0.003,-0.042
-3823,5773,-0.332,-0.047
-3838,5788,-0.033,-0.051
-3853,5803,0.043,-0.055
-3868,5818,0.1,-0.058
-3883,5833,-0.054,-0.059
-3898,5848,-0.248,-0.06
-3913,5863,-0.279,-0.061
-3928,5878,-0.214,-0.059
-3943,5893,-0.06,-0.057
-3958,5908,-0.117,-0.054
-3973,5923,-0.017,-0.051
-3988,5938,0.155,-0.046
-4003,5953,0.044,-0.041
-4018,5968,-0.187,-0.035
-4033,5983,0.05,-0.029
-4048,5998,-0.177,-0.022
-4063,6013,-0.112,-0.015
-4078,6028,0.292,-0.008
-4093,6043,0.124,-0.001
-4108,6058,-0.035,0.006
-4123,6073,-0.084,0.013
-4138,6088,-0.208,0.019
-4153,6103,-0.2,0.025
-4168,6118,-0.05,0.03
-4183,6133,-0.042,0.035
-4198,6148,-0.135,0.039
-4213,6163,-0.008,0.043
-4228,6178,0.302,0.045
-4243,6193,0.141,0.047
-4258,6208,-0.095,0.049
-4273,6223,-0.117,0.049
-4288,6238,-0.055,0.049
-4303,6253,0.017,0.049
-4318,6268,0.193,0.048
-4333,6283,0.388,0.048
-4348,6298,0.311,0.046
-4363,6313,0.171,0.045
-4378,6328,-0.015,0.044
-4393,6343,-0.159,0.043
-4408,6358,-0.214,0.043
-4423,6373,-0.142,0.044
-4438,6388,-0.004,0.045
-4453,6403,0.3,0.048
-4468,6418,0.33,0.05
-4483,6433,0.179,0.053
-4498,6448,0.04,0.056
-4513,6463,-0.034,0.059
-4528,6478,0.022,0.062
-4543,6493,0.173,0.065
-4558,6508,0.143,0.068
-4573,6523,0.034,0.071
-4588,6538,0.127,0.073
-4603,6553,0.248,0.074
-4618,6568,0.072,0.074
-4633,6583,0.148,0.072
-4648,6598,0.324,0.07
-4663,6613,0.181,0.067
-4678,6628,-0.03,0.062
-4693,6643,0.138,0.056
-4708,6658,0.144,0.05
-4723,6673,0.123,0.042
-4738,6688,0.124,0.033
-4753,6703,0.152,0.024
-4768,6718,0.153,0.015
-4783,6733,0.054,0.005
-4798,6748,-0.003,-0.004
-4813,6763,-0.074,-0.014
-4828,6778,-0.212,-0.022
-4843,6793,-0.342,-0.03
-4858,6808,-0.354,-0.037
-4873,6823,0.003,-0.043
-4888,6838,0.172,-0.048
-4903,6853,0.006,-0.051
-4918,6868,-0.043,-0.054
-4933,6883,-0.112,-0.057
-4948,6898,-0.14,-0.058
-4963,6913,-0.072,-0.059
-4978,6928,0.03,-0.059
-4993,6943,0.068,-0.058
-5008,6958,0.144,-0.058
-5023,6973,0.041,-0.057
-5038,6988,-0.087,-0.056
-5053,7003,-0.116,-0.056
-5068,7018,-0.16,-0.055
-5083,7033,-0.093,-0.055
-5098,7048,-0.044,-0.055
-5113,7063,-0.196,-0.055
-5128,7078,-0.277,-0.055
-5143,7093,-0.28,-0.056
-5158,7108,-0.204,-0.056
-5173,7123,-0.13,-0.057
-5188,7138,0.022,-0.058
-5203,7153,-0.003,-0.06
-5218,7168,0.113,-0.061
-5233,7183,0.135,-0.063
-5248,7198,0.019,-0.065
-5263,7213,-0.178,-0.067
-5278,7228,-0.236,-0.069
-5293,7243,-0.041,-0.07
-5308,7258,-0.03,-0.072
-5323,7273,0.007,-0.073
-5338,7288,0.021,-0.074
-5353,7303,-0.141,-0.074
-5368,7318,-0.224,-0.074
-5383,7333,-0.184,-0.074
-5398,7348,-0.138,-0.073
-5413,7363,-0.073,-0.071
-5428,7378,-0.013,-0.069
-5443,7393,0.018,-0.067
-5458,7408,-0.088,-0.064
-5473,7423,-0.119,-0.061
-5488,7438,0.033,-0.057
-5503,7453,0.158,-0.052
-5518,7468,0.27,-0.047
-5533,7483,NA,-0.041
-5548,7498,NA,-0.035
-5563,7513,NA,-0.028
-5578,7528,0.125,-0.021
-5593,7543,-0.043,-0.013
-5608,7558,-0.105,-0.004
-5623,7573,-0.088,0.006
-5638,7588,-0.049,0.016
-5653,7603,0.022,0.027
-5668,7618,0.081,0.038
-5683,7633,0.096,0.05
-5698,7648,0.058,0.062
-5713,7663,0.077,0.073
-5728,7678,0.115,0.085
-5743,7693,0.123,0.096
-5758,7708,0.137,0.107
-5773,7723,-0.001,0.117
-5788,7738,-0.021,0.126
-5803,7753,-0.072,0.134
-5818,7768,-0.033,0.142
-5833,7783,0.149,0.148
-5848,7798,NA,NA
-5863,7813,NA,NA
-5878,7828,NA,NA
-5893,7843,NA,NA
-5908,7858,NA,NA
-5923,7873,NA,NA
-5938,7888,NA,NA
-5953,7903,NA,NA
-5968,7918,NA,NA
-5983,7933,NA,NA
-5998,7948,NA,NA
-6013,7963,NA,NA
-6028,7978,NA,NA
-6043,7993,NA,NA
-6058,8008,NA,NA
-6073,8023,NA,NA
-6088,8038,NA,NA
-6103,8053,NA,NA
-6118,8068,NA,NA
-6133,8083,NA,NA
-6148,8098,NA,NA
-6163,8113,NA,NA
-6178,8128,NA,NA
-6193,8143,NA,NA
-6208,8158,NA,NA
-6223,8173,NA,NA
-6238,8188,NA,NA
-6253,8203,NA,NA
-6268,8218,NA,NA
-6283,8233,NA,NA
-6298,8248,NA,NA
-6313,8263,NA,NA
-6328,8278,NA,NA
-6343,8293,NA,NA
-6358,8308,NA,NA
-6373,8323,NA,NA
-6388,8338,NA,NA
-6403,8353,NA,NA
-6418,8368,NA,NA
-6433,8383,NA,NA
-6448,8398,NA,NA
-6463,8413,NA,NA
-6478,8428,NA,NA
-6493,8443,NA,NA
-6508,8458,NA,NA
-6523,8473,NA,NA
-6538,8488,NA,NA
-6553,8503,NA,NA
-6568,8518,NA,NA
-6583,8533,NA,NA
-6598,8548,NA,NA
-6613,8563,NA,NA
-6628,8578,NA,NA
-6643,8593,NA,NA
-6658,8608,NA,NA
-6673,8623,NA,NA
-6688,8638,0.109,-0.043
-6703,8653,0.309,-0.051
-6718,8668,0.183,-0.061
-6733,8683,0.052,-0.072
-6748,8698,-0.206,-0.085
-6763,8713,-0.301,-0.098
-6778,8728,-0.205,-0.11
-6793,8743,-0.255,-0.122
-6808,8758,-0.276,-0.132
-6823,8773,-0.21,-0.141
-6838,8788,0.078,-0.146
-6853,8803,-0.044,-0.15
-6868,8818,-0.298,-0.151
-6883,8833,-0.356,-0.148
-6898,8848,-0.274,-0.142
-6913,8863,-0.008,-0.132
-6928,8878,-0.006,-0.119
-6943,8893,-0.147,-0.103
-6958,8908,-0.365,-0.084
-6973,8923,-0.404,-0.062
-6988,8938,-0.159,-0.039
-7003,8953,0.036,-0.013
-7018,8968,0.044,0.013
-7033,8983,0.14,0.039
-7048,8998,0.031,0.065
-7063,9013,0.075,0.09
-7078,9028,0.076,0.114
-7093,9043,0.204,0.136
-7108,9058,0.261,0.156
-7123,9073,0.299,0.173
-7138,9088,0.292,0.188
-7153,9103,0.372,0.199
-7168,9118,0.457,0.208
-7183,9133,0.61,0.214
-7198,9148,0.47,0.217
-7213,9163,0.187,0.218
-7228,9178,-0.064,0.217
-7243,9193,0.033,0.214
-7258,9208,0.051,0.211
-7273,9223,-0.118,0.206
-7288,9238,-0.057,0.201
-7303,9253,-0.049,0.195
-7318,9268,0.149,0.189
-7333,9283,0.339,0.183
-7348,9298,0.454,0.177
-7363,9313,0.204,0.17
-7378,9328,0.129,0.163
-7393,9343,-0.039,0.155
-7408,9358,0.018,0.147
-7423,9373,0.183,0.138
-7438,9388,0.297,0.128
-7453,9403,0.171,0.117
-7468,9418,0.039,0.105
-7483,9433,0.094,0.092
-7498,9448,-0.062,0.077
-7513,9463,0.04,0.061
-7528,9478,0.002,0.044
-7543,9493,-0.115,0.025
-7558,9508,-0.03,0.007
-7573,9523,0.111,-0.013
-7588,9538,0.096,-0.033
-7603,9553,0.036,-0.052
-7618,9568,0.057,-0.071
-7633,9583,0.017,-0.089
-7648,9598,-0.127,-0.106
-7663,9613,-0.279,-0.121
-7678,9628,-0.259,-0.133
-7693,9643,-0.069,-0.143
-7708,9658,0.039,-0.151
-7723,9673,0.014,-0.156
-7738,9688,-0.051,-0.158
-7753,9703,-0.102,-0.158
-7768,9718,-0.005,-0.154
-7783,9733,0.079,-0.149
-7798,9748,0.039,-0.142
-7813,9763,-0.231,-0.134
-7828,9778,-0.259,-0.124
-7843,9793,-0.113,-0.114
-7858,9808,-0.165,-0.103
-7873,9823,-0.09,-0.092
-7888,9838,0.077,-0.083
-7903,9853,0.213,-0.075
-7918,9868,0.093,-0.069
-7933,9883,-0.111,-0.065
-7948,9898,-0.118,-0.062
-7963,9913,-0.207,-0.062
-7978,9928,-0.089,-0.064
-7993,9943,-0.013,-0.068
-8008,9958,0.006,-0.074
-8023,9973,-0.091,-0.082
-8038,9988,-0.085,-0.09
-8053,10003,-0.067,-0.099
-8068,10018,-0.025,-0.109
-8083,10033,-0.241,-0.118
-8098,10048,-0.279,-0.126
-8113,10063,-0.155,-0.133
-8128,10078,-0.162,-0.138
-8143,10093,-0.27,-0.141
-8158,10108,-0.309,-0.141
-8173,10123,-0.221,-0.139
-8188,10138,-0.186,-0.134
-8203,10153,-0.133,-0.126
-8218,10168,-0.101,-0.116
-8233,10183,-0.04,-0.103
-8248,10198,0.063,-0.089
-8263,10213,-0.099,-0.073
-8278,10228,-0.192,-0.056
-8293,10243,-0.28,-0.038
-8308,10258,-0.166,-0.019
-8323,10273,0.042,-0.001
-8338,10288,0.083,0.017
-8353,10303,0.004,0.035
-8368,10318,0.154,0.05
-8383,10333,0.11,0.065
-8398,10348,-0.01,0.077
-8413,10363,0.173,0.088
-8428,10378,0.042,0.098
-8443,10393,0.019,0.106
-8458,10408,0.167,0.112
-8473,10423,0.173,0.117
-8488,10438,0.153,0.122
-8503,10453,0.11,0.126
-8518,10468,0.037,0.129
-8533,10483,0.174,0.133
-8548,10498,0.195,0.137
-8563,10513,0.113,0.141
-8578,10528,0.022,0.147
-8593,10543,0.025,0.153
-8608,10558,-0.023,0.16
-8623,10573,-0.053,0.168
-8638,10588,-0.028,0.176
-8653,10603,0.057,0.185
-8668,10618,-0.006,0.195
-8683,10633,0.173,0.203
-8698,10648,0.464,0.212
-8713,10663,0.665,0.218
-8728,10678,0.503,0.223
-8743,10693,0.312,0.225
-8758,10708,0.32,0.225
-8773,10723,0.281,0.222
-8788,10738,0.338,0.215
-8803,10753,0.352,0.206
-8818,10768,0.272,0.194
-8833,10783,0.181,0.178
-8848,10798,0.227,0.159
-8863,10813,0.198,0.138
-8878,10828,0.172,0.114
-8893,10843,0.147,0.088
-8908,10858,0.16,0.061
-8923,10873,-0.015,0.033
-8938,10888,-0.332,0.005
-8953,10903,-0.308,-0.023
-8968,10918,-0.145,-0.05
-8983,10933,-0.143,-0.076
-8998,10948,-0.089,-0.1
-9013,10963,-0.196,-0.122
-9028,10978,-0.117,-0.141
-9043,10993,-0.177,-0.158
-9058,11008,-0.078,-0.173
-9073,11023,-0.011,-0.185
-9088,11038,0.055,-0.194
-9103,11053,-0.023,-0.201
-9118,11068,-0.157,-0.206
-9133,11083,-0.401,-0.208
-9148,11098,-0.498,-0.208
-9163,11113,-0.419,-0.206
-9178,11128,-0.415,-0.203
-9193,11143,-0.515,-0.198
-9208,11158,-0.434,-0.193
-9223,11173,-0.362,-0.186
-9238,11188,-0.242,-0.179
-9253,11203,-0.042,-0.172
-9268,11218,-0.065,-0.165
-9283,11233,0.004,-0.159
-9298,11248,0.018,-0.153
-9313,11263,-0.2,-0.147
-9328,11278,-0.357,-0.142
-9343,11293,-0.411,-0.137
-9358,11308,-0.18,-0.133
-9373,11323,-0.063,-0.128
-9388,11338,-0.028,-0.123
-9403,11353,-0.043,-0.118
-9418,11368,-0.088,-0.113
-9433,11383,-0.036,-0.108
-9448,11398,0.091,-0.102
-9463,11413,0.063,-0.095
-9478,11428,0.016,-0.088
-9493,11443,0.146,-0.08
-9508,11458,0.096,-0.071
-9523,11473,-0.062,-0.062
-9538,11488,-0.197,-0.052
-9553,11503,-0.155,-0.041
-9568,11518,-0.099,-0.029
-9583,11533,-0.132,-0.016
-9598,11548,-0.054,-0.003
-9613,11563,0.002,0.01
-9628,11578,0.068,0.023
-9643,11593,0.147,0.036
-9658,11608,0.138,0.049
-9673,11623,0.058,0.061
-9688,11638,0.082,0.072
-9703,11653,0.069,0.084
-9718,11668,0.073,0.094
-9733,11683,0.112,0.103
-9748,11698,0.239,0.112
-9763,11713,0.17,0.119
-9778,11728,0.227,0.126
-9793,11743,0.197,0.132
-9808,11758,0.128,0.137
-9823,11773,0.198,0.142
-9838,11788,0.196,0.145
-9853,11803,0.152,0.148
-9868,11818,0.295,0.151
-9883,11833,0.363,0.152
-9898,11848,0.37,0.153
-9913,11863,0.165,0.154
-9928,11878,-0.038,0.153
-9943,11893,-0.013,0.153
-9958,11908,-0.076,0.151
-9973,11923,0.062,0.149
-9988,11938,0.214,0.147
-10003,11953,0.412,0.144
-10018,11968,0.333,0.14
-10033,11983,0.279,0.135
-10048,11998,0.215,0.129
-10063,12013,0.006,0.123
-10078,12028,-0.056,0.116
-10093,12043,0.086,0.108
-10108,12058,0.081,0.1
-10123,12073,-0.015,0.092
-10138,12088,0.162,0.084
-10153,12103,0.157,0.076
-10168,12118,-0.118,0.068
-10183,12133,-0.179,0.06
-10198,12148,-0.133,0.053
