year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr),Ba_Ca (umol/mol),x18ORub_ (missing),d18O (missing),SSS (psu)
410,1540,1632.078,27.2,4.09,137.438,1.27,-2.33,0.16,27.96
370,1580,1657.009,25.27,3.44,140.083,1.14,-2.3,-0.21,28.93
340,1610,1681.907,26.82,3.95,141.409,1.3,-2.42,-0.01,27.74
310,1640,1706.773,26.62,3.88,141.452,1.32,-2.24,0.13,27.63
270,1680,1731.608,26.41,3.81,140.213,1.21,-2.38,-0.05,28.42
210,1740,1781.176,26.02,3.68,133.705,1.22,-2.31,-0.06,28.37
170,1780,1805.905,25.91,3.64,128.225,1.27,-2.26,-0.03,27.95
140,1810,1830.589,26.15,3.72,121.003,1.25,-1.95,0.33,28.12
110,1840,1855.217,26.16,3.72,111.687,1.17,-2.09,0.19,28.71
70,1880,1879.772,26.71,3.91,99.665,1.22,-2.21,0.18,28.36
40,1910,1904.211,26.24,3.75,83.704,1.16,-2.28,0.02,28.83
10,1940,1928.374,25.79,3.6,60.321,1.25,-2.2,0,28.14
-30,1980,1959.649,26.03,3.68,67.25,1.24,-2.35,-0.1,28.22
-60,2010,1997.897,26.34,3.78,98.383,1.25,-2.26,0.06,28.15
-90,2040,2035.841,26.9,3.98,119.426,1.19,-2.23,0.2,28.58
-130,2080,2073.659,27.03,4.03,135.474,1.32,-2.37,0.09,27.62
-160,2110,2111.399,26.67,3.9,148.22,1.24,-2.34,0.04,28.2
-190,2140,2149.081,26.58,3.87,158.488,1.17,-2.14,0.23,28.73
-230,2180,2186.718,27.52,4.21,166.751,1.23,-2.25,0.31,28.26
-260,2210,2224.316,26.71,3.91,173.304,1.36,-2.39,0,27.31
-290,2240,2261.881,26.45,3.82,178.342,1.23,-2.38,-0.04,28.25
-330,2280,2299.414,26.78,3.94,181.995,1.28,-2.3,0.11,27.93
-360,2310,2336.919,26.2,3.74,184.35,1.23,-2.2,0.09,28.29
-390,2340,2374.396,26.99,4.01,185.459,-2.19,26.99,NA,NA
-430,2380,2411.847,25.12,3.39,185.348,1.18,-2.68,-0.62,28.67
-460,2410,2449.27,25.67,3.56,184.017,1.2,-2.41,-0.23,28.48
-490,2440,2486.666,26.29,3.77,181.443,1.3,-2.2,0.11,27.73
-520,2470,2524.033,26.13,3.71,177.574,1.24,-2.3,-0.03,28.23
-560,2510,2561.369,25.57,3.53,172.326,1.24,-2.13,0.03,28.2
-590,2540,2598.672,26.36,3.79,165.571,1.33,-2.13,0.19,27.58
-620,2570,2635.936,26.3,3.77,157.118,1.28,-2.19,0.12,27.93
-660,2610,2673.154,26.07,3.69,146.681,1.48,-2.5,-0.24,26.39
-690,2640,2710.315,27.7,4.28,133.8,1.37,-2.39,0.21,27.24
-720,2670,2747.397,27.63,4.25,117.683,1.31,-2.3,0.28,27.68
-760,2710,2784.354,25.38,3.47,96.733,1.41,-2.22,-0.11,26.93
-790,2740,2821.006,25.86,3.62,66.459,1.46,-2.37,-0.15,26.58
-820,2770,2853.585,24.77,3.29,61.589,1.19,-2.23,-0.24,28.56
-850,2800,2882.165,26.49,3.84,86.743,1.42,-2.2,0.15,26.84
-890,2840,2910.463,26.41,3.81,105.003,1.46,-2.46,-0.13,26.58
-920,2870,2938.647,26.43,3.81,119.576,1.29,-2.34,-0.01,27.82
-950,2900,2966.762,27.82,4.33,131.689,1.63,-2.35,0.27,25.3
-990,2940,2994.827,26.62,3.88,141.972,1.32,-2.36,0.02,27.6
-1020,2970,3022.854,26.46,3.83,150.796,1.27,-2.75,-0.41,27.98
-1050,3000,3050.85,25.67,3.56,158.404,1.45,-2.37,-0.19,26.65
-1090,3040,3078.819,26.45,3.82,164.964,1.36,-2.39,-0.05,27.34
-1120,3070,3106.765,26.42,3.81,170.597,1.29,-2.23,0.1,27.87
-1150,3100,3134.69,25.77,3.6,175.39,1.2,-2.28,-0.08,28.55
-1190,3140,3162.595,25.99,3.67,179.411,1.2,-2.62,-0.38,28.53
-1220,3170,3190.483,26.24,3.75,182.71,1.25,-2.22,0.07,28.1
-1250,3200,3218.354,26.58,3.87,185.326,1.27,-2.13,0.24,28
-1290,3240,3246.209,26.47,3.83,187.287,1.36,26.47,NA,NA
-1320,3270,3274.049,25.94,3.65,188.613,1.27,-2.2,0.03,27.95
-1350,3300,3301.873,26.58,3.87,189.317,1.42,-2.39,-0.02,26.87
-1390,3340,3329.681,26.35,3.79,189.407,1.35,-2.39,-0.07,27.36
-1420,3370,3357.475,25.85,3.62,188.883,1.23,-2.49,-0.28,28.29
-1450,3400,3385.253,26.18,3.73,187.74,1.31,26.18,NA,NA
-1490,3440,3413.016,26.01,3.67,185.966,1.31,-2.45,-0.21,27.7
-1520,3470,3440.763,26.13,3.72,183.543,1.46,-2.64,-0.37,26.55
-1550,3500,3468.493,26.54,3.86,180.445,1.33,-2.46,-0.1,27.53
-1590,3540,3496.205,26.83,3.95,176.636,1.51,-2.46,-0.04,26.17
-1620,3570,3523.898,27.33,4.14,172.069,1.44,-2.57,-0.05,26.72
-1650,3600,3551.569,27.47,4.19,166.683,1.49,-2.7,-0.15,26.32
-1690,3640,3579.218,26.8,3.94,160.394,1.46,-2.41,0,26.6
-1720,3670,3606.84,26.38,3.8,153.092,1.34,-2.45,-0.12,27.44
-1750,3700,3634.43,26.96,4,144.624,1.37,-2.36,0.08,27.25
-1790,3740,3661.983,25.68,3.57,134.77,1.17,-2.53,-0.35,28.72
-1820,3770,3689.486,25.79,3.6,123.2,1.36,-2.37,-0.17,27.29
-1860,3810,3716.919,26.76,3.93,109.37,1.52,-2.62,-0.22,26.14
-1890,3840,3744.239,26.81,3.95,92.271,1.47,-2.51,-0.1,26.48
-1920,3870,3768.603,24.96,3.34,72.229,1.51,-2.58,-0.55,26.22
-1960,3910,3801.595,25.95,3.65,71.826,25.95,NA,NA,NA
-1990,3940,3835.078,24.55,3.22,97.391,1.29,24.55,NA,NA
-2030,3980,3868.252,27.03,4.03,116.224,1.44,-2.58,-0.12,26.75
-2060,4010,3901.299,26.42,3.81,131.267,1.44,-2.4,-0.07,26.75
-2100,4050,3934.269,26.18,3.73,143.717,1.35,-2.53,-0.25,27.42
-2130,4080,3967.184,26.31,3.78,154.201,1.47,-2.53,-0.22,26.52
-2160,4110,4000.055,27.18,4.08,163.099,1.3,-2.37,0.12,27.8
-2200,4150,4032.892,27.38,4.16,170.658,1.39,-2.46,0.08,27.09
-2230,4180,4065.697,27.4,4.16,177.048,1.45,-2.53,0.01,26.64
-2270,4220,4098.476,26.5,3.84,182.392,1.44,-2.48,-0.13,26.75
-2300,4250,4131.23,26.51,3.84,186.779,1.39,-2.65,-0.3,27.12
-2340,4290,4163.961,26.96,4,190.275,1.5,-2.56,-0.11,26.28
-2370,4320,4196.671,26.28,3.76,192.927,1.49,-3.08,-0.78,26.33
-2410,4360,4229.361,27.99,4.39,194.771,1.68,-2.58,0.08,24.92
-2440,4390,4262.031,25.28,3.44,195.829,1.28,-2.62,-0.52,27.88
-2480,4430,4294.681,26.9,3.98,196.112,1.42,-2.64,-0.2,26.89
-2510,4460,4327.312,26.48,3.83,195.625,1.34,-2.48,-0.14,27.47
-2550,4500,4359.924,26.88,3.97,194.36,1.42,-2.68,-0.25,26.84
-2580,4530,4392.515,26.85,3.96,192.303,1.45,-2.59,-0.16,26.64
-2620,4570,4425.086,27.43,4.17,189.427,1.52,-2.79,-0.25,26.15
-2650,4600,4457.634,26.07,3.69,185.694,1.46,-2.58,-0.31,26.57
-2690,4640,4490.159,26.36,3.79,181.05,1.45,-2.65,-0.32,26.66
-2720,4670,4522.659,26.64,3.89,175.424,1.69,-2.73,NA,-0.36
-2760,4710,4555.129,26.08,3.7,168.715,1.33,-2.66,-0.4,27.55
-2790,4740,4587.567,26.06,3.69,160.789,1.26,-2.82,-0.57,28.07
-2830,4780,4619.966,26.11,3.71,151.452,1.34,-2.77,-0.5,27.45
-2870,4820,4652.317,26.82,3.95,140.422,1.4,-2.73,-0.32,27.05
-2900,4850,4684.603,26.62,3.88,127.256,1.28,-2.57,-0.2,27.95
-2940,4890,4716.793,26.22,3.74,111.19,1.42,-2.76,-0.47,26.87
-2970,4920,4748.804,25.99,3.67,90.665,1.46,-2.72,-0.48,26.57
-3010,4960,4782.394,27.58,4.23,72.118,1.65,-2.81,-0.23,25.18
-3050,5000,4827.578,26.91,3.98,100.226,1.46,-2.61,-0.18,26.6
-3080,5030,4874.165,25.69,3.57,126.154,1.34,-2.36,-0.18,27.46
-3120,5070,4920.538,27.91,4.36,146.006,1.41,-2.42,0.22,26.96
-3160,5110,4966.797,27.65,4.26,162.057,1.5,-2.78,-0.19,26.3
-3190,5140,5012.978,27.18,4.08,175.36,1.95,-2.64,-0.15,22.9
-3230,5180,5059.101,27.01,4.02,186.505,1.71,-2.66,-0.2,24.69
-3270,5220,5105.177,27.69,4.27,195.861,1.78,-2.78,-0.19,24.21
-3340,5290,5197.214,27.15,4.07,210.12,1.5,-2.58,-0.1,26.28
-3380,5330,5243.183,26.91,3.99,215.317,1.48,-2.78,-0.34,26.43
-3420,5370,5289.124,26.95,4,219.355,1.56,-2.85,-0.41,25.81
-3450,5400,5335.037,26.64,3.89,222.297,1.67,-2.8,-0.43,24.99
-3490,5440,5380.924,27.08,4.04,224.185,1.43,-2.64,-0.17,26.77
-3530,5480,5426.785,26.89,3.98,225.045,1.56,-2.99,-0.56,25.79
-3570,5520,5472.622,26.79,3.94,224.89,1.62,-2.91,-0.5,25.38
-3600,5550,5518.433,26.4,3.81,223.716,1.51,26.4,NA,NA
-3640,5590,5564.218,26.92,3.99,221.507,1.48,26.92,NA,NA
-3680,5630,5609.978,26.97,4.01,218.23,1.71,-3.25,-0.8,24.67
-3720,5670,5655.709,26.89,3.98,213.836,1.59,-2.96,-0.52,25.6
-3760,5710,5701.411,26.94,4,208.252,1.56,-2.9,-0.46,25.86
-3800,5750,5747.08,26.77,3.94,201.38,1.4,-3.17,-0.77,27.05
-3830,5780,5792.714,27.28,4.12,193.08,1.67,27.28,NA,NA
-3870,5820,5838.306,27.98,4.39,183.155,1.95,-2.87,-0.21,22.92
-3910,5860,5883.849,25.99,3.67,171.319,-3.09,25.99,NA,NA
-3950,5900,5929.329,26.82,3.95,157.137,1.73,-2.81,-0.39,24.53
-3990,5940,5974.726,26.9,3.98,139.882,1.43,-2.96,-0.53,26.83
-4030,5980,6019.992,26.56,3.86,118.183,1.53,-3.09,-0.73,26.06
-4070,6020,6064.988,26.51,3.84,88.665,1.66,-2.95,-0.6,25.07
-4150,6100,6151.935,27.25,4.11,101.552,1.6,-3.26,-0.76,25.53
-4190,6140,6194.343,26.94,4,125.399,1.49,-3.08,-0.64,26.33
-4230,6180,6236.587,27.08,4.05,144.032,1.47,-2.69,-0.22,26.47
-4270,6220,6278.737,26.87,3.97,159.331,1.58,-2.75,-0.33,25.65
-4310,6260,6320.821,27.26,4.11,172.198,1.75,-2.88,-0.37,24.44
-4350,6300,6362.855,26.55,3.86,183.151,1.8,-2.84,-0.48,24.05
-4390,6340,6404.849,27.4,4.16,192.521,1.96,-2.96,NA,-0.43
-4430,6380,6446.808,26.61,3.88,200.532,1.54,-2.7,-0.33,25.95
-4470,6420,6488.737,27,4.02,207.341,1.88,-3.11,-0.66,23.41
-4510,6460,6530.64,26.07,3.69,213.065,1.4,-3.03,-0.77,27.02
-4550,6500,6572.518,27.38,4.16,217.79,1.72,-3.03,-0.5,24.66
-4590,6540,6614.374,27.17,4.08,221.579,1.91,-3.26,-0.77,23.21
-4630,6580,6656.208,27.27,4.11,224.481,1.7,-2.93,-0.42,24.76
-4680,6630,6698.021,27.15,4.07,226.53,1.81,27.15,NA,NA
-4720,6670,6739.814,27.58,4.23,227.749,1.58,-3.2,-0.63,25.65
-4760,6710,6781.588,27.41,4.17,228.151,1.51,-3.02,-0.48,26.17
-4800,6750,6823.342,26.93,3.99,227.741,1.66,-2.97,-0.53,25.08
-4840,6790,6865.076,27.94,4.37,226.514,1.62,-3.06,-0.41,25.41
-4890,6840,6906.791,26.94,4,224.456,1.67,-3.12,-0.68,25.03
-4930,6880,6948.485,26.06,3.69,221.544,1.54,-3.13,-0.87,26.01
-4970,6920,6990.158,26.68,3.9,217.744,1.64,-2.99,-0.61,25.2
-5010,6960,7031.808,26.57,3.86,213.008,1.45,-3.11,-0.75,26.66
-5060,7010,7073.435,25.94,3.65,207.27,1.75,25.94,NA,NA
-5100,7050,7115.035,27.28,4.12,200.446,1.31,-3.03,-0.52,27.66
-5140,7090,7156.606,27.04,4.03,192.417,1.63,-2.91,-0.45,25.3
-5190,7140,7198.144,26.82,3.95,183.024,1.58,-2.93,-0.51,25.68
-5230,7180,7239.644,27.88,4.35,172.042,1.75,-2.81,-0.17,24.42
-5270,7220,7281.096,27.35,4.14,159.138,1.62,-2.95,-0.42,25.35
-5320,7270,7322.488,26.87,3.97,143.789,1.59,-3,-0.58,25.59
-5360,7310,7363.794,27.06,4.04,125.08,1.85,-2.87,-0.4,23.66
-5410,7360,7404.962,27.13,4.06,101.103,1.79,-2.95,-0.47,24.11
-5540,7490,7529.81,26.1,3.7,98.611,1.75,-2.96,-0.69,24.44
-5580,7530,7571.868,27.08,4.05,120.359,1.45,-3.28,-0.81,26.65
-5630,7580,7613.776,26.83,3.95,136.329,1.71,-3.13,-0.71,24.69
-5680,7630,7655.585,26.42,3.81,148.434,1.5,-2.99,-0.65,26.27
-5720,7670,7697.322,26.78,3.94,157.581,1.5,-3.05,-0.64,26.26
-5770,7720,7738.998,27.04,4.03,164.269,1.85,-2.92,-0.46,23.66
-5810,7760,7780.62,26.6,3.87,168.794,1.82,-2.97,-0.6,23.87
-5860,7810,7822.193,26.83,3.95,171.328,1.8,-2.76,-0.34,24.03
-5910,7860,7863.719,26.78,3.94,171.959,1.75,-2.93,-0.52,24.4
-5950,7900,7905.198,27.17,4.08,170.71,1.65,-2.94,-0.45,25.15
-6000,7950,7946.627,27.27,4.12,167.535,1.66,-2.95,-0.44,25.06
-6050,8000,7988.003,27.24,4.11,162.321,1.86,-3.04,-0.54,23.57
-6090,8040,8029.319,27.11,4.06,154.859,1.73,-2.87,-0.39,24.54
-6140,8090,8070.561,27.52,4.21,144.795,1.98,-3.22,-0.66,22.67
-6190,8140,8111.706,26.62,3.88,131.521,1.43,-3,-0.62,26.8
-6230,8180,8152.699,26.57,3.86,113.882,1.41,-2.94,-0.57,26.98
-6280,8230,8193.337,25.31,3.45,89.152,1.64,-2.97,-0.87,25.26
-6330,8280,8246.748,25.97,3.66,98.309,1.24,25.97,NA,NA
-6380,8330,8312.661,27.08,4.04,135.218,1.46,-2.81,-0.34,26.54
-6430,8380,8378.166,27.04,4.03,161.662,1.41,-3.05,-0.59,26.96
-6480,8430,8443.505,28.02,4.4,182.414,1.7,28.02,NA,NA
-6520,8470,8508.741,27.85,4.33,199.297,1.87,-3.23,-0.6,23.48
-6570,8520,8573.902,26.88,3.97,213.248,1.73,-2.85,-0.42,24.57
-6620,8570,8639.005,28.13,4.45,224.821,1.66,-2.85,-0.16,25.07
-6670,8620,8704.058,28.14,4.45,234.376,1.83,-2.96,-0.27,23.83
-6720,8670,8769.069,28.11,4.44,242.155,1.77,-2.59,0.09,24.26
-6770,8720,8834.043,27.68,4.27,248.33,1.66,-3.22,-0.62,25.11
-6820,8770,8898.981,27.97,4.38,253.02,1.68,-2.82,-0.17,24.94
-6870,8820,8963.886,26.69,3.91,256.311,1.73,-3.03,-0.64,24.54
-6920,8870,9028.76,28.8,4.72,258.258,1.82,-3.02,-0.19,23.9
-6970,8920,9093.603,26.82,3.95,258.894,1.66,26.82,NA,NA
-7020,8970,9158.416,27.77,4.31,258.232,1.9,-2.96,-0.35,23.28
-7080,9030,9223.198,27.92,4.36,256.265,1.85,-2.93,-0.29,23.64
-7130,9080,9287.949,26.24,3.75,252.964,1.59,-2.96,-0.67,25.58
-7180,9130,9352.667,26.74,3.92,248.281,1.68,-2.9,-0.5,24.9
-7280,9230,9481.995,27.41,4.17,234.429,1.53,-3.14,-0.6,26.06
-7340,9290,9546.597,26.79,3.94,224.995,1.65,-2.75,-0.34,25.13
-7390,9340,9611.151,26.67,3.9,213.617,1.78,-3.24,-0.85,24.23
-7440,9390,9675.646,27,4.01,199.975,1.64,-2.73,-0.28,25.24
-7490,9440,9740.066,27.57,4.23,183.584,1.83,-3,-0.42,23.85
-7550,9500,9804.383,27.28,4.12,163.651,1.96,-3.11,-0.6,22.83
-7600,9550,9868.534,27.7,4.28,138.733,1.86,-2.93,-0.33,23.57
-7650,9600,9932.276,26.61,3.88,105.705,1.85,-3.03,-0.66,23.7
-7710,9660,9985.683,26.78,3.94,97.82,1.71,-2.82,-0.42,24.74
-7760,9710,10028.938,27.66,4.26,119.772,1.65,-2.87,-0.28,25.14
-7820,9770,10071.821,28.23,4.49,136.96,1.9,-2.87,-0.16,23.32
-7870,9820,10114.551,26.67,3.9,150.764,1.7,-2.82,-0.44,24.79
-7930,9880,10157.183,26.63,3.89,161.99,1.79,-2.76,-0.39,24.15
-7980,9930,10199.744,26.8,3.94,171.119,1.83,-2.9,-0.49,23.85
-8040,9990,10242.248,27.45,4.18,178.456,1.68,-2.6,-0.06,24.97
-8090,10040,10284.703,26.12,3.71,184.208,1.71,-2.76,-0.49,24.68
-8150,10100,10327.114,26.58,3.87,188.511,1.52,-2.89,-0.52,26.11
-8210,10160,10369.485,28.39,4.55,191.46,1.85,-1.93,0.81,23.67
-8260,10210,10411.818,26.75,3.93,193.113,1.78,-2.25,0.16,24.19
-8320,10270,10454.114,26.94,3.99,193.501,1.8,-3.09,-0.65,24.02
-8380,10330,10496.372,26.78,3.94,192.629,1.69,-2.86,-0.45,24.84
-8430,10380,10538.593,26.8,3.94,190.479,1.69,-2.68,-0.27,24.84
-8490,10440,10580.773,26.5,3.84,187.005,1.85,26.5,NA,NA
-8550,10500,10622.91,27.34,4.14,182.134,1.87,-2.62,-0.09,23.54
-8610,10560,10664.999,28.14,4.45,175.749,1.77,-2.72,-0.03,24.29
-8660,10610,10707.029,27.29,4.12,167.681,1.99,-2.94,-0.42,22.59
-8720,10670,10748.988,27.06,4.04,157.677,1.49,-2.89,-0.42,26.32
-8780,10730,10790.85,26.94,3.99,145.354,1.86,-2.79,-0.35,23.62
-8840,10790,10832.558,26.93,3.99,130.089,1.64,-2.78,-0.34,25.26
-8900,10850,10873.896,26.01,3.67,110.866,1.29,26.01,NA,NA
-8960,10910,10909.54,26.08,3.7,103.702,1.56,-2.88,-0.62,25.82
-9020,10970,10939.387,27.13,4.06,109.248,1.83,-2.64,-0.15,23.81
-9080,11030,10968.788,27.8,4.32,111.685,1.73,-2.56,0.06,24.57
-9140,11090,10997.97,27.05,4.04,111.108,1.73,-2.46,0.01,24.58
-9200,11150,11026.981,27.04,4.03,107.427,1.86,-2.53,-0.07,23.61
-9260,11210,11055.83,26.44,3.82,100.269,1.71,-2.48,-0.14,24.75
-9320,11270,11084.492,26.07,3.69,88.761,1.99,-2.3,-0.04,22.65
-9380,11330,11112.869,26.96,4,70.715,1.8,-2.53,-0.09,24.05
-9450,11400,11147.051,26.44,3.82,57.515,2.05,-2.45,-0.11,22.21
-9510,11460,11218.804,26.03,3.68,110.324,1.47,-2.2,0.05,26.49
-9570,11520,11296.089,26.05,3.69,149.122,1.51,-1.97,NA,0.28
-9630,11580,11373.089,25.88,3.63,177.248,1.33,-2.01,0.21,27.51
-9700,11650,11449.935,26.28,3.76,199.356,1.21,-2.1,0.2,28.42
-9760,11710,11526.677,26.31,3.77,217.306,1.29,-1.55,0.76,27.84
-9820,11770,11603.338,26.68,3.9,232.067,1.21,-1.62,0.77,28.42
-9890,11840,11679.935,26.39,3.8,244.218,1.11,-1.59,0.73,29.21
-9950,11900,11756.476,26.14,3.72,254.132,1.16,-1.69,0.58,28.78
-10010,11960,11832.967,26.1,3.71,262.061,1.23,-1.65,0.62,28.29
-10080,12030,11909.414,25.83,3.62,268.181,1.12,-1.52,0.69,29.1
-10140,12090,11985.819,25.8,3.61,272.611,1.08,-1.22,0.98,29.41
-10210,12160,12062.184,26.33,3.78,275.43,1.28,-1.84,0.48,27.92
-10270,12220,12138.511,26.31,3.78,276.687,1.03,-1.2,1.11,29.77
-10340,12290,12214.798,25.98,3.66,276.4,1.2,-1.38,0.86,28.48
-10410,12360,12291.047,25.8,3.6,274.561,1.13,-1.77,0.43,29.05
-10470,12420,12367.255,26.09,3.7,271.136,1.19,-1.84,0.43,28.61
-10540,12490,12443.422,26.82,3.95,266.062,1.28,-1.59,0.82,27.9
-10610,12560,12519.544,26.02,3.68,259.235,1.09,-1.41,0.84,29.34
-10670,12620,12595.616,25.68,3.57,250.509,1.2,-1.61,0.57,28.54
-10740,12690,12671.634,26.2,3.74,239.668,1.11,-1.56,0.72,29.15
-10980,12930,12937.057,25.16,3.4,178.685,1.08,-1.65,0.42,29.39
-11150,13100,13123.368,25.44,3.49,96.43,1.27,-1.54,0.59,28.01
