depth (m),planktic.d18O (permil),planktic.d13C (permil),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),depth (m),temperature (degC),temperature (degC)
6,3.6,-1,4.65,0.63,NA,NA,NA,NA,NA
6.1,3.42,-1.01,4.3,0.23,NA,NA,NA,NA,NA
6.2,3.3,-1.26,4.11,-0.12,NA,NA,NA,NA,NA
6.3,2.89,-1.21,NA,NA,NA,NA,NA,NA,NA
6.4,3.21,-1,NA,NA,NA,NA,NA,NA,NA
6.9,2.92,-0.77,NA,NA,NA,NA,NA,NA,NA
7,2.84,-0.82,NA,NA,NA,NA,NA,NA,NA
7.1,2.72,-0.86,NA,NA,NA,NA,NA,NA,NA
7.2,2.56,-1.24,NA,NA,NA,NA,NA,NA,NA
7.3,2.71,-1.04,NA,NA,NA,NA,NA,NA,NA
7.4,2.67,-1.16,NA,NA,NA,NA,NA,NA,NA
7.5,2.6,-1.13,NA,NA,NA,NA,NA,NA,NA
7.6,2.49,-1.18,NA,NA,NA,NA,NA,NA,NA
7.8,2.34,-0.69,NA,NA,NA,NA,NA,NA,NA
7.9,2.46,-0.93,NA,NA,NA,NA,NA,NA,NA
8.1,1.86,-0.64,3,1.06,NA,NA,NA,NA,NA
8.2,1.86,-0.73,NA,NA,NA,NA,NA,NA,NA
8.3,1.43,-0.92,NA,NA,NA,NA,NA,NA,NA
8.5,1.61,-0.85,1.82,0.42,NA,NA,NA,NA,NA
8.6,1.55,-1.02,2.71,0.63,NA,NA,NA,NA,NA
8.7,1.5,-1.02,2.75,0.88,NA,NA,NA,NA,NA
8.8,1.62,-1.01,NA,NA,NA,NA,NA,NA,NA
8.9,1.61,-0.79,2.77,0.86,NA,NA,NA,NA,NA
9,1.71,-1.12,2.74,-0.04,NA,NA,NA,NA,NA
9.1,2.19,-1.04,NA,NA,NA,NA,NA,NA,NA
9.2,1.98,-0.85,NA,NA,NA,NA,NA,NA,NA
9.3,2.04,-1.03,NA,NA,NA,NA,NA,NA,NA
9.4,1.98,-0.8,3.87,0.57,NA,NA,NA,NA,NA
9.5,2.01,-0.7,NA,NA,NA,NA,NA,NA,NA
9.6,1.82,-0.61,3.13,0.87,NA,NA,NA,NA,NA
9.7,1.48,-0.81,3.02,0.98,NA,NA,NA,NA,NA
9.8,1.26,-0.92,2.92,1.06,NA,NA,NA,NA,NA
9.9,1.32,-0.92,NA,NA,NA,NA,NA,NA,NA
10,1.03,-1.11,NA,NA,NA,NA,NA,NA,NA
10.1,1.25,-1.32,NA,NA,NA,NA,NA,NA,NA
10.2,2.4,-1.14,NA,NA,NA,NA,NA,NA,NA
10.3,2.46,-1.05,NA,NA,NA,NA,NA,NA,NA
10.8,2.68,-0.88,NA,NA,NA,NA,NA,NA,NA
10.9,2.54,-1.1,NA,NA,NA,NA,NA,NA,NA
11,2.59,-0.94,4.09,0.85,NA,NA,NA,NA,NA
11.1,2.2,-1.14,NA,NA,NA,NA,NA,NA,NA
11.2,2.49,-1.04,4.13,0.54,NA,NA,NA,NA,NA
11.3,2.25,-1.58,NA,NA,NA,NA,NA,NA,NA
11.4,2.08,-1.02,NA,NA,NA,NA,NA,NA,NA
11.5,2.13,-0.75,3.85,0.02,NA,NA,NA,NA,NA
11.6,2.11,-0.63,3.75,1.14,NA,NA,NA,NA,NA
11.7,1.93,-0.62,3.4,0.8,NA,NA,NA,NA,NA
11.8,NA,NA,3,0.57,NA,NA,NA,NA,NA
11.9,NA,NA,3.41,1.06,NA,NA,NA,NA,NA
12,NA,NA,4.04,0.41,NA,NA,NA,NA,NA
12.1,1.87,-0.57,3.69,1.01,NA,NA,NA,NA,NA
12.3,1.47,-0.43,NA,NA,NA,NA,NA,NA,NA
12.4,2.13,-0.3,3.4,0.59,NA,NA,NA,NA,NA
12.5,2.18,-0.45,3.62,1.1,NA,NA,NA,NA,NA
12.6,1.73,-0.49,2.4,0.19,NA,NA,NA,NA,NA
12.7,1.67,-0.46,2.63,0.67,NA,NA,NA,NA,NA
12.8,1.52,-0.46,2.77,0.47,NA,NA,NA,NA,NA
12.9,1.46,-0.51,NA,NA,NA,NA,NA,NA,NA
13,1.47,-0.73,2.88,0.53,NA,NA,NA,NA,NA
13.1,1.18,-1.03,NA,NA,NA,NA,NA,NA,NA
13.2,1.24,-0.84,NA,NA,NA,NA,NA,NA,NA
13.4,2.91,-1.06,NA,NA,NA,NA,NA,NA,NA
13.5,1.69,-0.49,NA,NA,NA,NA,NA,NA,NA
