year (AD),age (BP),depth (m),dust (percent),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-9340,11290,1.16,24,4.7,5.8
-9490,11440,1.18,15,4.8,5.9
-9650,11600,1.2,25.6,4.3,5.2
-9800,11750,1.22,27.7,4,4.8
-9910,11860,1.24,29,4.2,5.1
-9960,11910,1.26,31.7,4.3,5.2
-10020,11970,1.28,26.8,5,6.1
-10070,12020,1.3,21.7,5.2,6.4
-10130,12080,1.32,8.8,5.8,7
-10190,12140,1.34,30,4.6,5.6
-10240,12190,1.36,30.6,4.4,5.3
-10300,12250,1.38,24.9,4.5,5.5
-10350,12300,1.4,24.1,4.1,5.1
-10410,12360,1.42,24.5,4.1,5.1
-10460,12410,1.44,15.8,4.6,5.6
-10520,12470,1.46,18.6,4.3,5.3
-10570,12520,1.48,12.4,3.9,4.5
-10630,12580,1.5,16.3,4.6,5.6
-10740,12690,1.54,21.8,4,4.8
-10800,12750,1.56,13,4,4.6
-10850,12800,1.58,21.1,3.5,4.2
-10910,12860,1.6,19,3.6,4.4
-10960,12910,1.62,16.3,3.9,4.7
-11170,13120,1.64,17.2,3.4,4.1
-11540,13490,1.66,22.3,3.2,3.9
-11910,13860,1.68,19.4,3.1,3.7
-12280,14230,1.7,21.4,3.1,3.7
-12650,14600,1.72,22.5,3.1,3.8
-12690,14640,1.74,25.9,2.9,3.5
-12730,14680,1.76,20.6,3,3.6
-12760,14710,1.78,26.2,3,3.6
-12840,14790,1.82,20,3.4,4.1
-12880,14830,1.84,22.7,4.2,5.2
-12910,14860,1.86,24.6,4.1,5.1
-12950,14900,1.88,32.3,3.7,4.4
-12990,14940,1.9,31.9,3.8,4.5
-13030,14980,1.92,37.4,3.8,4.5
-13060,15010,1.94,39.2,3.7,4.3
-13100,15050,1.96,41.2,4,4.7
-13140,15090,1.98,53.5,3.3,4
-13180,15130,2,37.6,4.5,5.4
-13210,15160,2.02,58.8,3.2,3.7
-13250,15200,2.04,65.3,2.4,2.7
-13290,15240,2.06,63.5,2.3,2.5
-13330,15280,2.08,57.6,3.1,3.5
-13360,15310,2.1,54.9,3,3.4
-13400,15350,2.12,58.7,2.3,2.6
-13440,15390,2.14,56.9,2.6,2.9
-13480,15430,2.16,65,2.1,2.3
-13510,15460,2.18,69.1,1.5,1.7
-13550,15500,2.2,69.9,1.5,1.6
-13590,15540,2.22,77,1,1
-13630,15580,2.24,70.3,0.8,0.8
-13660,15610,2.26,65.8,0.8,0.8
-13700,15650,2.28,72.5,0.6,0.5
-13740,15690,2.3,77.1,0.5,0.4
-13780,15730,2.32,80.8,0.3,0
-13810,15760,2.34,74.3,0.5,0.4
-13950,15900,2.38,81.2,0.6,0.4
-14050,16000,2.4,77.2,0.5,0.4
-14150,16100,2.42,84,0.5,0.3
-14250,16200,2.44,77.3,0.7,0.6
-14350,16300,2.46,88.1,0.3,0
-14450,16400,2.48,82.9,0.4,0.2
-14540,16490,2.5,77.5,0.7,0.6
-14740,16690,2.54,66.1,0.9,0.9
-14840,16790,2.56,76.2,0.7,0.6
-14940,16890,2.58,75.7,0.7,0.6
-15040,16990,2.6,80.1,0.5,0.2
-15240,17190,2.64,77.6,0.5,0.3
-15340,17290,2.66,83.7,0.4,0.2
-15440,17390,2.68,87.3,0.2,-0.1
-15540,17490,2.7,75.5,0.4,0.2
-15640,17590,2.72,78.7,0.4,0.2
-15730,17680,2.74,77.3,0.5,0.3
-15830,17780,2.76,75.4,0.6,0.5
-15930,17880,2.78,75.5,0.7,0.6
-16030,17980,2.8,77.4,0.7,0.6
-16230,18180,2.84,81.7,0.6,0.4
-16330,18280,2.86,73.2,0.7,0.6
-16430,18380,2.88,80.9,0.7,0.5
-16530,18480,2.9,66.2,1.3,1.4
-16630,18580,2.92,67,1,1
-16730,18680,2.94,71.3,1.3,1.4
-16830,18780,2.96,32.2,4.4,5.3
-16920,18870,2.98,47.5,3.6,4.3
-17020,18970,3,33.1,5.1,6.2
-17120,19070,3.02,42.9,3.9,4.5
-17220,19170,3.04,29.2,5.5,6.8
-17320,19270,3.06,35.5,5.5,6.7
-17420,19370,3.08,25,5.5,6.8
-17620,19570,3.1,26.7,5.1,6.3
-17810,19760,3.12,28.2,5.5,6.7
-18010,19960,3.14,29.9,5.2,6.4
-18200,20150,3.16,33.3,4.4,5.3
-18590,20540,3.2,35.2,3.8,4.6
-18790,20740,3.22,38,3.3,3.8
-18980,20930,3.24,39.4,3.3,3.9
-19180,21130,3.26,40.9,3,3.5
-19370,21320,3.28,39.6,3.2,3.8
-19570,21520,3.3,36.1,3.2,3.8
-19770,21720,3.32,40.6,3.3,3.8
-19960,21910,3.34,41.6,3.1,3.6
-20160,22110,3.36,31.2,4,4.8
-20350,22300,3.38,47.3,2.5,2.9
-20550,22500,3.4,39.2,2.5,2.9
-20740,22690,3.42,46.4,2.1,2.4
-20910,22860,3.44,53.8,2.1,2.3
-21060,23010,3.46,50.8,2.4,2.7
-21200,23150,3.48,36.9,4,4.8
-21340,23290,3.5,53.4,2.1,2.4
-21630,23580,3.54,60.8,0.8,0.8
-21770,23720,3.56,76.1,0.3,0.1
-21920,23870,3.58,76.5,0.1,-0.2
-22060,24010,3.6,76.7,0.1,-0.2
-22200,24150,3.62,76.1,0.1,-0.1
-22490,24440,3.66,81.3,-0.1,-0.4
-22630,24580,3.68,77.4,0,-0.3
-22780,24730,3.7,80.5,0,-0.4
-22920,24870,3.72,79.4,0,-0.4
-23210,25160,3.76,85.2,0,-0.3
-23350,25300,3.78,72.4,0.3,0.1
-23500,25450,3.8,77,0.2,0
-23640,25590,3.82,54.9,1.5,1.7
-23780,25730,3.84,46.8,2.1,2.4
-23930,25880,3.86,52.4,2,2.2
-24070,26020,3.88,44,2.5,2.8
-24190,26140,3.9,41.4,2.6,3
-24310,26260,3.92,49,2.2,2.5
-24430,26380,3.94,43.4,2.5,2.8
-24550,26500,3.96,41.8,2.2,2.6
-24670,26620,3.98,52.7,2.1,2.3
-24780,26730,4,49.1,2,2.2
-24900,26850,4.02,46.7,2,2.3
-25020,26970,4.04,52.1,2,2.1
-25140,27090,4.06,35.8,2.8,3.3
-25260,27210,4.08,31.5,3,3.5
-25380,27330,4.1,34.4,2.7,3.2
-25500,27450,4.12,36.8,2.7,3.1
-25620,27570,4.14,39.4,2.6,3.1
-25740,27690,4.16,32,3.1,3.7
-25850,27800,4.18,33.4,2.8,3.3
-26090,28040,4.22,38.2,2.7,3.1
-26210,28160,4.24,32.8,2.8,3.3
-26330,28280,4.26,38.5,2.8,3.2
-26450,28400,4.28,36.3,2.9,3.3
-26570,28520,4.3,36.7,2.6,3.1
-26690,28640,4.32,42.7,2.5,2.8
-26810,28760,4.34,39.8,2.5,3
-26930,28880,4.36,41.7,2.6,3
-27040,28990,4.38,40.7,2.7,3.1
-27160,29110,4.4,41.6,2.5,3
-27280,29230,4.42,43.4,2.4,2.7
-27400,29350,4.44,44.4,2.6,2.9
-27520,29470,4.46,39.9,2.4,2.8
-27640,29590,4.48,35.2,2.6,3.1
-27760,29710,4.5,35.5,3.1,3.7
-28000,29950,4.54,46.3,2.1,2.4
-28110,30060,4.56,47.1,2.3,2.6
-28230,30180,4.58,49.5,2,2.2
-28350,30300,4.6,51.8,2.1,2.3
-28470,30420,4.62,39.9,2.2,2.5
-28710,30660,4.66,43.3,2.6,2.9
-28830,30780,4.68,45,2,2.3
-28950,30900,4.7,30.9,2.7,3.2
-29070,31020,4.72,35.8,2.6,3
-29190,31140,4.74,29.7,2.7,3.2
-29300,31250,4.76,27.6,3,3.5
-29420,31370,4.78,35.6,2.7,3.1
-29540,31490,4.8,29.4,3,3.5
-29660,31610,4.82,31.1,2.9,3.4
-29780,31730,4.84,20.6,3.2,3.8
-29890,31840,4.86,31.4,2.9,3.4
-30000,31950,4.88,32.5,2.8,3.3
-30120,32070,4.9,25.4,2.8,3.4
-30230,32180,4.92,29.7,3,3.5
-30340,32290,4.94,30.2,2.5,3
-30460,32410,4.96,34.5,2.8,3.4
-30570,32520,4.98,28.3,3.1,3.6
-30680,32630,5,34.5,2.5,2.9
-30800,32750,5.02,30.1,2.8,3.3
-30910,32860,5.04,30.8,3.3,3.9
-31020,32970,5.06,26.3,3.2,3.8
-31140,33090,5.08,34.3,3.1,3.6
-31250,33200,5.1,31.2,2.9,3.4
-31360,33310,5.12,32.1,2.4,2.8
-31470,33420,5.14,29.6,2.4,2.8
-31580,33530,5.16,33.9,3.1,3.7
-31680,33630,5.18,37.6,2.8,3.3
-31790,33740,5.2,30.4,2.4,2.8
-31900,33850,5.22,32.4,2.4,2.8
-32000,33950,5.24,31.4,2,2.3
-32110,34060,5.26,38.5,2.4,2.7
-32210,34160,5.28,29.9,2.3,2.7
-32320,34270,5.3,34.1,2.2,2.6
-32420,34370,5.32,25.3,2.5,3
-32530,34480,5.34,33.6,2.7,3.2
-32640,34590,5.36,31.9,3.1,3.6
-32740,34690,5.38,30.1,2.7,3.2
-32850,34800,5.4,29,2.7,3.2
-32950,34900,5.42,34.4,2.2,2.5
-33060,35010,5.44,30.7,2.2,2.6
-33160,35110,5.46,28.1,2.2,2.6
-33270,35220,5.48,29.8,2.3,2.7
-33480,35430,5.52,27.8,3.1,3.7
-33590,35540,5.54,32.5,2.1,2.4
-33800,35750,5.58,30.6,2.5,2.9
-33900,35850,5.6,26.8,2.2,2.7
-34010,35960,5.62,35.9,2.2,2.5
-34120,36070,5.64,34,2,2.4
-34220,36170,5.66,34,2.4,2.8
-34330,36280,5.68,38.3,2.1,2.4
-34430,36380,5.7,35,2.1,2.4
-34540,36490,5.72,39.3,1.6,1.7
-34640,36590,5.74,30.5,1.9,2.2
-34750,36700,5.76,36.2,2,2.3
-34860,36810,5.78,35,1.9,2.2
-34960,36910,5.8,36.2,1.7,1.9
-35070,37020,5.82,38.3,1.6,1.8
-35200,37150,5.84,31.2,1.8,2.1
-35360,37310,5.86,38.9,1.2,1.3
-35520,37470,5.88,41.3,1.2,1.3
-35680,37630,5.9,41.4,1.2,1.4
-35850,37800,5.92,38.5,1.4,1.6
-36010,37960,5.94,43.4,1.3,1.5
-36170,38120,5.96,40.4,1.8,2
-36330,38280,5.98,34.9,2,2.3
-36490,38440,6,56.5,1.6,1.8
-36650,38600,6.02,53.8,1.8,2
-36780,38730,6.04,55.3,2,2.3
-36890,38840,6.06,68.4,1.1,1.1
-36990,38940,6.08,69.6,0.6,0.7
-37090,39040,6.1,71.2,0.6,0.7
-37200,39150,6.12,75.1,0.7,0.5
-37300,39250,6.14,76.7,0.4,0.2
-37400,39350,6.16,75.8,0.2,0
-37510,39460,6.18,79.3,0.2,0
-37720,39670,6.22,83.7,0,-0.3
-37820,39770,6.24,72,0.2,0
-37920,39870,6.26,70.9,0,-0.3
-38030,39980,6.28,72,0.1,-0.3
-38230,40180,6.32,78.6,0,-0.3
-38340,40290,6.34,63,0.8,0.7
-38440,40390,6.36,73.8,0.5,0.3
-38540,40490,6.38,52.8,1.3,1.3
-38650,40600,6.4,54.4,1.1,1.2
-38750,40700,6.42,62.6,0.7,0.7
-38860,40810,6.44,40.4,2,2.3
-38960,40910,6.46,52.3,1.3,1.4
-39060,41010,6.48,47.8,1.7,2
-39170,41120,6.5,53.1,1.4,1.4
-39270,41220,6.52,43.1,1.6,1.7
-39370,41320,6.54,49.6,1.7,1.8
-39580,41530,6.58,36.4,2.6,3.1
-39690,41640,6.6,39.5,2.4,2.8
-39790,41740,6.62,28,2.9,3.4
-39900,41850,6.64,35,2.8,3.3
-40030,41980,6.66,34.2,2.6,3.1
-40160,42110,6.68,35.5,2.6,3
-40280,42230,6.7,36.7,2.4,2.7
-40410,42360,6.72,29.3,2.6,3
-40530,42480,6.74,39.6,2,2.2
-40660,42610,6.76,36.3,2.2,2.5
-40790,42740,6.78,48.9,1.9,2.2
-40910,42860,6.8,45.7,1.8,2.1
-41040,42990,6.82,44.9,1.9,2.2
-41170,43120,6.84,40.2,1.9,2.2
-41290,43240,6.86,45,1.7,1.9
-41420,43370,6.88,40.1,2.2,2.5
-41540,43490,6.9,41.1,1.9,2.2
-41670,43620,6.92,34.7,1.9,2.2
-41800,43750,6.94,43.3,1.8,2
-41920,43870,6.96,37.1,2.1,2.3
-42050,44000,6.98,40.7,2,2.2
-42180,44130,7,44.6,2,2.3
-42300,44250,7.02,37.4,1.9,2.2
-42430,44380,7.04,37.2,2.1,2.4
-42550,44500,7.06,44,1.6,1.7
-42680,44630,7.08,44.7,1.5,1.7
-42810,44760,7.1,44.6,2.1,2.4
-42930,44880,7.12,39.4,2,2.2
-43060,45010,7.14,37.3,1.4,1.6
-43190,45140,7.16,35.9,1.6,1.9
-43310,45260,7.18,38,1.8,2
-43440,45390,7.2,38.2,1.6,1.7
-43560,45510,7.22,32.4,1.2,1.4
-43690,45640,7.24,35.4,1.4,1.6
-43820,45770,7.26,35.8,1.2,1.4
-43940,45890,7.28,33.6,1.4,1.6
-44070,46020,7.3,47,0.8,0.8
-44200,46150,7.32,38.6,1.1,1.2
-44320,46270,7.34,33.7,1.3,1.5
-44450,46400,7.36,38,1.4,1.7
-44570,46520,7.38,45.4,1.4,1.6
-44700,46650,7.4,35.5,1.5,1.7
-44830,46780,7.42,33.9,1.4,1.6
-44950,46900,7.44,38.2,1.5,1.8
-45080,47030,7.46,53.3,1.1,1.1
-45200,47150,7.48,55.6,0.9,0.9
-45330,47280,7.5,38.7,1.7,1.9
-45460,47410,7.52,56.6,1,1
-45570,47520,7.54,56.8,1.1,1.1
-45770,47720,7.58,53.9,1.2,1.2
-45870,47820,7.6,60.4,1,1
-46080,48030,7.64,50.5,1.2,1.2
-46180,48130,7.66,60.2,0.5,0.5
-46280,48230,7.68,60.9,0.6,0.5
-46380,48330,7.7,63,0.2,0.1
-46480,48430,7.72,58.9,0.3,0.1
-46680,48630,7.76,71,0.3,0.2
-46790,48740,7.78,67.1,0.3,0.3
-46890,48840,7.8,68.8,0.3,0.3
-46990,48940,7.82,48.2,0.8,0.8
-47090,49040,7.84,48.8,1.2,1.3
-47190,49140,7.86,45.9,1.2,1.3
-47290,49240,7.88,42.5,1.5,1.7
-47390,49340,7.9,33.2,1.9,2.2
-47490,49440,7.92,26.3,2.2,2.6
-47590,49540,7.94,30.1,2.5,2.9
-47700,49650,7.96,20.2,2.5,3.1
-47800,49750,7.98,26.3,1.8,2.1
-47900,49850,8,27.9,2.1,2.6
-48000,49950,8.02,27.9,1.9,2.2
-48100,50050,8.04,25.9,2.2,2.6
-48300,50250,8.08,29.4,2.1,2.4
-48400,50350,8.1,25.3,2,2.5
-48510,50460,8.12,26.1,1.9,2.3
-48610,50560,8.14,32.3,1.6,1.9
-48710,50660,8.16,24.5,1.7,2.1
-48810,50760,8.18,27.3,1.8,2.1
-48910,50860,8.2,28.1,1.5,1.8
-49010,50960,8.22,31.6,1.4,1.6
-49110,51060,8.24,30,1.5,1.7
-49210,51160,8.26,25.5,1.9,2.3
-49310,51260,8.28,25,1.8,2.2
-49420,51370,8.3,24.4,1.7,2.1
-49520,51470,8.32,23.5,1.9,2.2
-49620,51570,8.34,22.3,1.8,2.2
-49720,51670,8.36,22.8,1.7,2
-49820,51770,8.38,20.5,2,2.4
-49920,51870,8.4,24.1,1.8,2.1
-50020,51970,8.42,26.3,1.5,1.9
-50120,52070,8.44,26.3,1.6,1.8
-50230,52180,8.46,27.7,1.7,1.9
-50330,52280,8.48,26,1.2,1.4
-50430,52380,8.5,21.3,3.3,3.9
-50530,52480,8.52,31.2,0.8,0.9
-50630,52580,8.54,34.3,0.8,0.9
-50830,52780,8.58,38.6,0.5,0.5
-50930,52880,8.6,27.6,2.3,2.7
-51030,52980,8.62,21.7,2.4,2.8
-51140,53090,8.64,22.8,2.5,3
-51240,53190,8.66,20.3,2.5,3
-51340,53290,8.68,23.6,2.6,3
-51440,53390,8.7,24.6,1.9,2.3
-51540,53490,8.72,21.9,2.7,3.3
-51640,53590,8.74,18.9,3,3.6
-51740,53690,8.76,30,2.4,2.8
-51840,53790,8.78,25.3,2.8,3.4
-51950,53900,8.8,19.9,2.8,3.3
-52050,54000,8.82,26.3,3.2,3.8
-52150,54100,8.84,29.2,3.1,3.6
-52250,54200,8.86,27.1,2.8,3.3
-52350,54300,8.88,27,3.1,3.6
-52450,54400,8.9,23.2,2.6,3.1
-52550,54500,8.92,25.6,2.4,2.9
-52650,54600,8.94,20,2.1,2.5
-52750,54700,8.96,24.7,1.9,2.2
-52860,54810,8.98,27.5,2.4,2.9
-52960,54910,9,26.6,2.4,2.9
-53060,55010,9.02,23.6,2.1,2.4
-53160,55110,9.04,31.2,1.8,2.1
-53260,55210,9.06,32.2,1.4,1.6
-53360,55310,9.08,29.5,1.1,1.3
-53460,55410,9.1,26.9,1.6,1.8
-53560,55510,9.12,29.8,1.7,2
-53670,55620,9.14,31.8,2,2.4
-53770,55720,9.16,27.5,1.8,2
-53870,55820,9.18,32,1.2,1.4
-53970,55920,9.2,28.6,1.4,1.6
-54070,56020,9.22,24.5,1,1.2
-54160,56110,9.24,26.3,0.9,1.1
-54230,56180,9.26,25,1,1.1
-54370,56320,9.3,30.4,0.8,1
-54440,56390,9.32,27.2,1.1,1.2
-54510,56460,9.34,29.4,1.3,1.4
-54580,56530,9.36,27.8,1.1,1.3
-54650,56600,9.38,25.5,1.2,1.4
-54720,56670,9.4,23.9,1.6,1.9
-54790,56740,9.42,23.3,1.5,1.8
-54930,56880,9.46,31.1,1.4,1.7
-55000,56950,9.48,23.9,1.9,2.2
-55070,57020,9.5,17.7,2.2,2.6
-55140,57090,9.52,22.8,2,2.3
-55210,57160,9.54,27.1,2.5,2.9
