year (AD),age (BP),d18O (missing),d13C (missing)
1844.34,105.66,-8.27,-10.16
1842.42,107.58,-8.11,-10.22
1840.49,109.51,-8.13,-10.27
1838.57,111.43,-7.99,-10.29
1836.64,113.36,-7.92,-10.05
1834.72,115.28,-8.3,-10.09
1832.79,117.21,-8,-9.85
1830.87,119.13,-8.26,-10.03
1828.94,121.06,-8.26,-9.97
1827.02,122.98,-7.89,-9.72
1825.09,124.91,-7.88,-9.91
1823.17,126.83,-7.89,-10.15
1821.25,128.75,-8.14,-10.25
1819.32,130.68,-7.98,-9.81
1817.4,132.6,-7.88,-9.85
1815.47,134.53,-7.94,-10.39
1813.55,136.45,-7.97,-10.08
1811.62,138.38,-8.03,-9.98
1809.7,140.3,-8.07,-10.03
1807.77,142.23,-7.76,-9.75
1805.85,144.15,-7.7,-10
1803.92,146.08,-7.67,-10.08
1802,148,-7.71,-9.94
1800.08,149.92,-7.8,-9.93
1798.15,151.85,-7.89,-10.08
1796.23,153.77,-7.97,-10.24
1794.3,155.7,-7.96,-10.02
1792.38,157.62,-8.05,-9.85
1790.45,159.55,-8.1,-10.15
1788.53,161.47,-8.13,-10.06
1786.6,163.4,-8.23,-10.06
1784.68,165.32,-8.03,-9.79
1782.75,167.25,-7.8,-9.94
1780.83,169.17,-7.88,-10.21
1778.91,171.09,-7.7,-9.89
1776.98,173.02,-7.78,-9.56
1775.06,174.94,-7.77,-9.49
1773.13,176.87,-7.94,-9.82
1771.21,178.79,-7.67,-10.07
1769.28,180.72,-7.7,-10.01
1767.36,182.64,-7.55,-10.28
1765.43,184.57,-7.52,-10.11
1763.51,186.49,-7.5,-10.05
1761.58,188.42,-7.85,-10.64
1759.66,190.34,-7.86,-10.24
1757.74,192.26,-7.87,-10.18
1755.81,194.19,-7.87,-9.96
1753.89,196.11,-7.88,-9.93
1751.96,198.04,-7.64,-9.94
1750.04,199.96,-7.62,-10.11
1748.11,201.89,-7.67,-9.91
1746.19,203.81,-7.58,-9.68
1744.26,205.74,-7.5,-9.67
1742.34,207.66,-7.61,-9.58
1740.42,209.58,-7.52,-9.65
1738.49,211.51,-7.52,-9.66
1736.57,213.43,-7.64,-9.72
1734.64,215.36,-7.72,-9.6
1732.72,217.28,-7.8,-9.69
1730.79,219.21,-7.77,-9.64
1728.87,221.13,-7.8,-9.5
1726.94,223.06,-7.89,-9.42
1725.02,224.98,-7.89,-9.66
1723.09,226.91,-8.16,-9.91
1721.17,228.83,-8.22,-9.76
1719.25,230.75,-8.04,-9.45
1717.32,232.68,-8.1,-9.4
1715.4,234.6,-8.02,-9.37
1713.47,236.53,-7.79,-9.12
1711.55,238.45,-7.78,-9.36
1709.62,240.38,-7.96,-9.85
1707.7,242.3,-8,-9.64
1705.77,244.23,-7.93,-9.29
1703.85,246.15,-7.98,-9.1
1701.92,248.08,-7.84,-9.45
1700,250,-7.85,-9.54
1696.78,253.22,-7.91,-9.71
1693.56,256.44,-8.01,-9.61
1690.34,259.66,-7.98,-9.59
1687.13,262.87,-7.9,-9.44
1683.91,266.09,-7.96,-9.63
1680.69,269.31,-7.9,-9.41
1677.47,272.53,-7.81,-9.4
1674.25,275.75,-7.74,-9.31
1671.03,278.97,-7.96,-9.48
1667.82,282.18,-8.19,-9.3
1664.6,285.4,-8.19,-9.36
1661.38,288.62,-8.2,-9.27
1658.16,291.84,-8.2,-9.03
1654.94,295.06,-8.11,-9.08
1651.72,298.28,-8.12,-9.05
1648.51,301.49,-8.4,-9.01
1645.29,304.71,-8.26,-8.79
1642.07,307.93,-8.07,-8.98
1638.85,311.15,-8.08,-8.97
1635.63,314.37,-8.12,-9.07
1632.41,317.59,-8.07,-9.03
1629.2,320.8,-8.21,-9.46
1625.98,324.02,-8.09,-9.36
1622.76,327.24,-8.1,-9.47
1619.54,330.46,-8.16,-9.37
1616.32,333.68,-8.29,-9.6
1613.1,336.9,-8.22,-9.63
1609.89,340.11,-8.25,-9.77
1606.67,343.33,-8.25,-9.8
1603.45,346.55,-8.3,-9.73
1600.23,349.77,-8.16,-9.65
1597.01,352.99,-8.08,-9.73
1593.79,356.21,-7.99,-9.98
1590.57,359.43,-8.11,-9.86
1587.36,362.64,-8.21,-9.69
1584.14,365.86,-8.2,-9.93
1580.92,369.08,-8.12,-9.76
1577.7,372.3,-8.12,-9.77
1574.48,375.52,-8.27,-9.82
1571.26,378.74,-8.34,-9.77
1568.05,381.95,-8.28,-9.69
1564.83,385.17,-8.34,-9.7
1561.61,388.39,-8.28,-9.59
1558.39,391.61,-8.23,-9.83
1555.17,394.83,-8.19,-9.75
1551.95,398.05,-8.12,-9.57
1548.74,401.26,-8.15,-10.04
1545.52,404.48,-8.26,-9.99
1542.3,407.7,-8.21,-9.96
1539.08,410.92,-8.02,-9.69
1535.86,414.14,-8.17,-9.79
1532.64,417.36,-8.25,-9.74
1529.43,420.57,-8.45,-9.6
1526.21,423.79,-8.35,-9.58
1522.99,427.01,-8.28,-9.81
1519.77,430.23,-8.28,-9.62
1516.55,433.45,-8.19,-9.66
1513.33,436.67,-8.23,-9.83
1510.11,439.89,-8.22,-10.07
1506.9,443.1,-8.3,-10.08
1503.68,446.32,-8.32,-10.08
1500.46,449.54,-8.35,-9.88
1497.24,452.76,-8.29,-9.73
1494.02,455.98,-8.17,-9.83
1490.8,459.2,-8.18,-10.03
1487.59,462.41,-8.22,-9.96
1484.37,465.63,-8.28,-9.94
1481.15,468.85,-8.23,-9.86
1477.93,472.07,-8.17,-9.93
1474.71,475.29,-8.22,-10.14
1471.49,478.51,-8.3,-10.13
1468.28,481.72,-8.39,-10.18
1465.06,484.94,-8.32,-10.02
1461.84,488.16,-8.21,-9.68
1458.62,491.38,-8.25,-9.95
1455.4,494.6,-8.36,-10.1
1452.18,497.82,-8.42,-10.02
1448.97,501.03,-8.37,-10.08
1445.75,504.25,-8.44,-10.13
1442.53,507.47,-8.35,-10.09
1439.31,510.69,-8.38,-10.12
1436.09,513.91,-8.37,-10.02
1432.87,517.13,-8.23,-10.08
1429.66,520.34,-8.17,-10.12
1426.44,523.56,-8.08,-10
1423.22,526.78,-8.17,-10.05
1420,530,-8.25,-9.94
1412.67,537.33,-8.32,-10.37
1405.34,544.66,-8.36,-10.37
1398.01,551.99,-8.26,-10.15
1390.69,559.31,-8.22,-10
1383.36,566.64,-8.28,-9.93
1376.03,573.97,-8.37,-9.94
1368.7,581.3,-8.43,-9.93
1361.37,588.63,-8.41,-10.03
1354.04,595.96,-8.31,-10.08
1346.72,603.28,-8.21,-10.1
1339.39,610.61,-8.15,-10.14
1332.06,617.94,-8.15,-10.17
1324.73,625.27,-8.44,-10.02
1317.4,632.6,-8.31,-9.83
1310.07,639.93,-8.14,-10.13
1302.75,647.25,-8.05,-10.28
1295.42,654.58,-8.11,-10.02
1288.09,661.91,-8.07,-9.98
1280.76,669.24,-8.06,-10.08
1273.43,676.57,-8.26,-10.15
1266.1,683.9,-8.1,-9.96
1258.78,691.22,-8.27,-9.68
1251.45,698.55,-8.35,-9.53
1244.12,705.88,-8.34,-9.73
1236.79,713.21,-8.17,-9.69
1229.46,720.54,-8.37,-9.64
1222.13,727.87,-8.32,-9.66
1214.81,735.19,-8.21,-9.72
1207.48,742.52,-8.17,-9.74
1200.15,749.85,-7.97,-9.92
1192.82,757.18,-8.02,-10.1
1185.49,764.51,-8.14,-10.28
1178.16,771.84,-8.25,-10.25
1170.84,779.16,-8.15,-10.21
1163.51,786.49,-8.14,-10.26
1156.18,793.82,-8.23,-10.15
1148.85,801.15,-8.21,-10.13
1141.52,808.48,-8.16,-10.12
1134.19,815.81,-8.26,-10.15
1126.87,823.13,-8.24,-10.1
1119.54,830.46,-8.17,-10.17
1112.21,837.79,-8.25,-10.07
1104.88,845.12,-8.47,-10.04
1097.55,852.45,-8.27,-10.04
1090.22,859.78,-8.1,-10.02
1082.9,867.1,-8.08,-10.18
1075.57,874.43,-8.2,-10.36
1068.24,881.76,-8.26,-10.28
1060.91,889.09,-8.22,-10.21
1053.58,896.42,-8.32,-10.26
1046.25,903.75,-8.2,-10.09
1038.93,911.07,-8.25,-10.16
1031.6,918.4,-8.14,-10.15
1024.27,925.73,-7.98,-10.1
1016.94,933.06,-7.97,-9.92
1009.61,940.39,-8.01,-10.1
1002.28,947.72,-7.98,-9.97
994.96,955.04,-7.98,-9.84
987.63,962.37,-8.02,-9.98
980.3,969.7,-8.03,-9.99
972.97,977.03,-8.16,-10.06
965.64,984.36,-8.25,-10.13
958.31,991.69,-8.17,-10.02
950.99,999.01,-8.17,-10.02
943.66,1006.34,-8.23,-10.13
936.33,1013.67,-8.15,-10.04
929,1021,-8.11,-10.26
921.32,1028.68,-8.19,-10.06
913.64,1036.36,-8.37,-10.27
905.96,1044.04,-8.34,-10.28
898.28,1051.72,-8.14,-10.15
890.59,1059.41,-8.06,-10.15
882.91,1067.09,-8.11,-10.24
875.23,1074.77,-8.19,-10.23
867.55,1082.45,-8.16,-10.1
859.87,1090.13,-8.1,-10.29
852.19,1097.81,-8.05,-9.84
844.51,1105.49,-7.87,-9.81
836.83,1113.17,-7.85,-9.86
829.14,1120.86,-8.03,-9.99
821.46,1128.54,-8.18,-9.85
813.78,1136.22,-8.27,-9.86
806.1,1143.9,-8.31,-9.8
798.42,1151.58,-8.16,-9.76
790.74,1159.26,-8.13,-9.94
783.06,1166.94,-8.34,-9.81
775.38,1174.62,-8.39,-10.1
767.7,1182.3,-8.62,-10.13
760.01,1189.99,-8.52,-9.93
752.33,1197.67,-8.35,-9.68
744.65,1205.35,-8.41,-9.57
736.97,1213.03,-8.34,-9.61
729.29,1220.71,-8.26,-9.76
721.61,1228.39,-8.36,-10.03
713.93,1236.07,-8.4,-9.8
706.25,1243.75,-8.19,-9.83
698.57,1251.43,-8.26,-9.84
690.88,1259.12,-8.32,-10.24
683.2,1266.8,-8.16,-10.21
675.52,1274.48,-8,-10.48
667.84,1282.16,-7.97,-10.66
660.16,1289.84,-8.2,-10.62
652.48,1297.52,-8.28,-10.46
644.8,1305.2,-8.23,-10.64
637.12,1312.88,-8.22,-10.85
629.43,1320.57,-8.27,-10.73
621.75,1328.25,-8.18,-10.76
614.07,1335.93,-8.19,-10.69
606.39,1343.61,-8.18,-10.71
598.71,1351.29,-8.21,-10.83
591.03,1358.97,-8.34,-10.66
583.35,1366.65,-8.44,-10.25
575.67,1374.33,-8.33,-10.29
567.99,1382.01,-8.38,-10.38
560.3,1389.7,-8.47,-10.34
552.62,1397.38,-8.43,-10.3
544.94,1405.06,-8.31,-10.34
537.26,1412.74,-8.09,-10.34
529.58,1420.42,-7.91,-10.31
521.9,1428.1,-7.99,-10.4
514.22,1435.78,-8.05,-10.28
506.54,1443.46,-8.35,-10.04
498.86,1451.14,-8.34,-10.06
491.17,1458.83,-8.29,-9.96
483.49,1466.51,-8.16,-10.14
475.81,1474.19,-8.16,-10.08
468.13,1481.87,-8.23,-10.11
460.45,1489.55,-8.18,-10.01
452.77,1497.23,-7.71,-9.63
445.09,1504.91,-7.85,-9.57
437.41,1512.59,-7.85,-9.54
429.72,1520.28,-7.99,-9.43
422.04,1527.96,-7.89,-9.43
414.36,1535.64,-7.84,-9.61
406.68,1543.32,-7.67,-9.47
399,1551,-7.55,-9.39
391.48,1558.52,-7.5,-9.51
383.96,1566.04,-7.5,-9.43
376.44,1573.56,-7.67,-9.48
368.92,1581.08,-7.71,-9.66
361.4,1588.6,-7.75,-9.67
353.88,1596.12,-7.66,-9.68
346.37,1603.63,-7.69,-9.72
338.85,1611.15,-7.92,-9.84
331.33,1618.67,-7.97,-9.79
323.81,1626.19,-7.9,-10.17
316.29,1633.71,-8.08,-10.18
308.77,1641.23,-8.12,-10.41
301.25,1648.75,-8.07,-10.34
293.73,1656.27,-7.97,-9.92
286.21,1663.79,-8.08,-10.29
278.69,1671.31,-8.09,-10.15
271.17,1678.83,-8.03,-10
263.65,1686.35,-7.9,-10.01
256.13,1693.87,-8.08,-10.17
248.62,1701.38,-8.03,-10.28
241.1,1708.9,-8.03,-10.05
233.58,1716.42,-8.09,-9.94
226.06,1723.94,-8.04,-9.99
218.54,1731.46,-7.96,-10.14
211.02,1738.98,-7.88,-10.02
203.5,1746.5,-7.81,-9.87
195.98,1754.02,-7.85,-9.95
188.46,1761.54,-7.9,-10.14
180.94,1769.06,-8.11,-10.19
173.42,1776.58,-8.05,-10.27
165.9,1784.1,-7.97,-10.06
158.38,1791.62,-8.05,-10.04
150.87,1799.13,-8.04,-9.99
143.35,1806.65,-7.97,-9.91
135.83,1814.17,-8.01,-10.05
128.31,1821.69,-8.01,-9.94
120.79,1829.21,-8.09,-9.83
113.27,1836.73,-8.15,-9.69
105.75,1844.25,-8.1,-9.67
98.23,1851.77,-8.14,-9.85
90.71,1859.29,-8.2,-9.79
83.19,1866.81,-8.16,-9.81
75.67,1874.33,-8.02,-9.74
68.15,1881.85,-7.99,-9.73
60.63,1889.37,-7.98,-9.84
53.12,1896.88,-8.02,-9.96
45.6,1904.4,-8.08,-10
38.08,1911.92,-8.08,-10.02
30.56,1919.44,-8.12,-10.09
23.04,1926.96,-8.1,-10.12
15.52,1934.48,-7.97,-9.99
8,1942,-7.94,-9.91
-2.36,1952.36,-7.9,-9.77
-12.72,1962.72,-8.04,-9.88
-23.08,1973.08,-8.04,-9.89
-33.44,1983.44,-8.06,-9.99
-43.8,1993.8,-8.02,-9.99
-54.16,2004.16,-7.98,-9.91
-64.52,2014.52,-8,-10.07
-74.88,2024.88,-7.99,-10.24
-85.24,2035.24,-8.07,-10.31
-95.6,2045.6,-8.12,-10.21
-105.96,2055.96,-8.28,-10.15
-116.32,2066.32,-8.26,-9.79
-126.68,2076.68,-8.41,-9.91
-137.04,2087.04,-8.4,-9.95
-147.4,2097.4,-8.45,-9.87
-157.76,2107.76,-8.32,-9.93
-168.12,2118.12,-8.23,-10.12
-178.48,2128.48,-7.99,-9.88
-188.84,2138.84,-8.08,-9.95
-199.2,2149.2,-8.15,-10.18
-209.56,2159.56,-8.14,-10.15
-219.92,2169.92,-8.08,-10.12
-230.28,2180.28,-8.13,-10.21
-240.64,2190.64,-8.16,-10.3
-251,2201,-8.15,-10.22
-261.36,2211.36,-8.22,-10.09
-271.72,2221.72,-8.22,-10.11
-282.08,2232.08,-8.16,-10.19
-292.44,2242.44,-8.24,-10.29
-302.8,2252.8,-8.31,-10.31
-313.16,2263.16,-8.21,-10.19
-323.52,2273.52,-8.27,-10.13
-333.88,2283.88,-8.33,-9.96
-344.24,2294.24,-8.38,-10.13
-354.6,2304.6,-8.28,-10.13
-364.96,2314.96,-8.23,-10.11
-375.32,2325.32,-8.3,-10.11
-385.68,2335.68,-8.25,-10.12
-396.04,2346.04,-8.26,-10.14
-406.4,2356.4,-8.19,-10.17
-416.76,2366.76,-8.12,-10.08
-427.12,2377.12,-8.12,-9.99
-437.48,2387.48,-8.1,-10.03
-447.84,2397.84,-8.06,-10.03
-458.2,2408.2,-8,-10.02
-468.56,2418.56,-8.13,-10.19
-478.92,2428.92,-8.13,-10.44
-489.28,2439.28,-8.05,-10.43
-499.64,2449.64,-8.06,-10.26
-510,2460,-8.07,-10.34
-515.65,2465.65,-8.08,-10.32
-521.3,2471.3,-8.08,-10.23
-526.95,2476.95,-8.09,-10.23
-532.6,2482.6,-7.99,-10.29
-538.25,2488.25,-8.12,-10.4
-543.89,2493.89,-8.18,-10.37
-549.54,2499.54,-8.15,-10.34
-555.19,2505.19,-8.03,-10.23
-560.84,2510.84,-8.04,-10.11
-566.49,2516.49,-8.23,-10.63
-572.14,2522.14,-8.16,-10.66
-577.79,2527.79,-8.04,-10.65
-583.44,2533.44,-7.94,-10.39
-589.09,2539.09,-8.08,-10.5
-594.74,2544.74,-8,-10.56
-600.39,2550.39,-7.99,-10.41
-606.04,2556.04,-7.95,-10.55
-611.68,2561.68,-8.1,-10.43
-617.33,2567.33,-8.02,-10.57
-622.98,2572.98,-8.1,-10.52
-628.63,2578.63,-8.17,-10.79
-634.28,2584.28,-8.16,-10.75
-639.93,2589.93,-8.18,-10.03
-645.58,2595.58,-7.99,-10.26
-651.23,2601.23,-8,-10.42
-656.88,2606.88,-8.17,-10.26
-662.53,2612.53,-8.06,-10.17
-668.18,2618.18,-8.15,-10.07
-673.82,2623.82,-8.11,-10.19
-679.47,2629.47,-8.1,-10.15
-685.12,2635.12,-8.2,-10.61
-690.77,2640.77,-8.12,-10.58
-696.42,2646.42,-8.01,-10.46
-702.07,2652.07,-8.06,-10.45
-707.72,2657.72,-8.01,-10.5
-713.37,2663.37,-8.25,-10.51
-719.02,2669.02,-8.13,-10.47
-724.67,2674.67,-8.14,-10.3
-730.32,2680.32,-8.11,-10.55
-735.96,2685.96,-8.04,-10.77
-741.61,2691.61,-8.05,-10.6
-747.26,2697.26,-7.93,-10.39
-752.91,2702.91,-7.91,-10.45
-758.56,2708.56,-8.05,-10.63
-764.21,2714.21,-7.97,-10.48
-769.86,2719.86,-7.83,-10.28
-775.51,2725.51,-8.04,-10.25
-781.16,2731.16,-8.07,-10.21
-786.81,2736.81,-8.01,-10.42
-792.46,2742.46,-8.09,-10.51
-798.11,2748.11,-8.02,-10.47
-803.75,2753.75,-7.99,-10.71
-809.4,2759.4,-7.97,-10.43
-815.05,2765.05,-7.96,-10.36
-820.7,2770.7,-8.05,-10.69
-826.35,2776.35,-8.09,-11
-832,2782,-8.1,-10.73
-839.94,2789.94,-8.1,-10.83
-847.87,2797.87,-8.17,-10.53
-855.81,2805.81,-8.05,-10.47
-863.74,2813.74,-8.23,-10.09
-871.68,2821.68,-8.09,-10.15
-879.61,2829.61,-8.18,-10.08
-887.55,2837.55,-8.07,-10.3
-895.48,2845.48,-8.06,-10.34
-903.42,2853.42,-8.07,-10.39
-911.35,2861.35,-8.09,-10.32
-919.29,2869.29,-8.03,-10.08
-927.23,2877.23,-8.04,-9.96
-935.16,2885.16,-8.09,-10.34
-943.1,2893.1,-8.03,-10.28
-951.03,2901.03,-8.19,-10.39
-958.97,2908.97,-8.1,-10.14
-966.9,2916.9,-8.12,-10.15
-974.84,2924.84,-8.13,-10.6
-982.77,2932.77,-8.19,-10.82
-990.71,2940.71,-8.18,-10.49
-998.65,2948.65,-8.07,-10
-1006.58,2956.58,-8.02,-9.9
-1014.52,2964.52,-8.14,-10.15
-1022.45,2972.45,-8.11,-10.64
-1030.39,2980.39,-8.09,-10.66
-1038.32,2988.32,-8.01,-10.56
-1046.26,2996.26,-7.96,-10.29
-1054.19,3004.19,-8.03,-10.45
-1062.13,3012.13,-8.11,-10.55
-1070.06,3020.06,-8.01,-10.5
-1078,3028,-8.05,-10.7
-1085.94,3035.94,-8.01,-10.74
-1093.87,3043.87,-8.05,-10.48
-1101.81,3051.81,-7.96,-10.43
-1109.74,3059.74,-7.83,-10.41
-1117.68,3067.68,-7.89,-10.32
-1125.61,3075.61,-7.91,-10.63
-1133.55,3083.55,-7.94,-10.55
-1141.48,3091.48,-8,-10.64
-1149.42,3099.42,-7.9,-10.48
-1157.35,3107.35,-7.83,-10.53
-1165.29,3115.29,-7.89,-10.45
-1173.23,3123.23,-7.9,-10.43
-1181.16,3131.16,-7.98,-10.36
-1189.1,3139.1,-7.92,-10.5
-1197.03,3147.03,-8.01,-10.64
-1204.97,3154.97,-8.12,-10.62
-1212.9,3162.9,-8.1,-10.78
-1220.84,3170.84,-8.11,-10.94
-1228.77,3178.77,-8.01,-10.95
-1236.71,3186.71,-8.15,-10.94
-1244.65,3194.65,-8.28,-11.07
-1252.58,3202.58,-8.25,-11.22
-1260.52,3210.52,-8.22,-11.22
-1268.45,3218.45,-8.29,-11.32
-1276.39,3226.39,-8.28,-11.29
-1284.32,3234.32,-8.2,-11.26
-1292.26,3242.26,-8.23,-10.9
-1300.19,3250.19,-8.22,-10.89
-1308.13,3258.13,-8.11,-10.94
-1316.06,3266.06,-8.01,-11.02
-1324,3274,-8.04,-10.72
-1326.54,3276.54,-8.15,-10.62
-1329.07,3279.07,-8.09,-10.92
-1331.61,3281.61,-8.16,-11
-1334.14,3284.14,-8.04,-10.66
-1336.68,3286.68,-8.07,-10.77
-1339.22,3289.22,-8.15,-10.5
-1341.75,3291.75,-7.97,-10.78
-1344.29,3294.29,-8.05,-10.72
-1346.83,3296.83,-7.98,-10.83
-1349.36,3299.36,-7.95,-10.88
-1351.9,3301.9,-7.95,-10.88
-1354.43,3304.43,-7.96,-10.85
-1356.97,3306.97,-8,-10.84
-1359.51,3309.51,-7.97,-10.76
-1362.04,3312.04,-8.01,-10.85
-1364.58,3314.58,-7.93,-10.77
-1367.12,3317.12,-7.92,-10.86
-1369.65,3319.65,-7.95,-10.94
-1372.19,3322.19,-8.01,-10.98
-1374.72,3324.72,-8.07,-10.69
-1377.26,3327.26,-8.05,-10.93
-1379.8,3329.8,-8.05,-11.12
-1382.33,3332.33,-8.12,-10.96
-1384.87,3334.87,-8.17,-11
-1387.41,3337.41,-8.14,-10.99
-1389.94,3339.94,-8.25,-10.96
-1392.48,3342.48,-8.19,-10.99
-1395.01,3345.01,-8.25,-11.03
-1397.55,3347.55,-8.22,-11.07
-1400.09,3350.09,-8.17,-11.22
-1402.62,3352.62,-8.19,-11.14
-1405.16,3355.16,-8.19,-11.02
-1407.7,3357.7,-8.19,-11.01
-1410.23,3360.23,-8.19,-11.28
-1412.77,3362.77,-8.21,-11.27
-1415.3,3365.3,-8.19,-11.31
-1417.84,3367.84,-8.23,-11.08
-1420.38,3370.38,-8.15,-11.25
-1422.91,3372.91,-8.15,-11.25
-1425.45,3375.45,-8.12,-11.18
-1427.99,3377.99,-8.12,-11.29
-1430.52,3380.52,-8.16,-11.38
-1433.06,3383.06,-8.11,-11.25
-1435.59,3385.59,-8.14,-11.18
-1438.13,3388.13,-8.11,-11.27
-1440.67,3390.67,-8.11,-11.26
-1443.2,3393.2,-8.18,-11.34
-1445.74,3395.74,-8.13,-11.36
-1448.28,3398.28,-8.1,-11.33
-1450.81,3400.81,-8.1,-11.41
-1453.35,3403.35,-8.08,-11.47
-1455.88,3405.88,-8.06,-11.48
-1458.42,3408.42,-8.09,-11.4
-1460.96,3410.96,-8.16,-11.43
-1463.49,3413.49,-8.03,-11.36
-1466.03,3416.03,-8.13,-11.4
-1468.57,3418.57,-8.2,-11.32
-1471.1,3421.1,-8.25,-11.4
-1473.64,3423.64,-8.27,-11.43
-1476.17,3426.17,-8.29,-11.49
-1478.71,3428.71,-8.4,-11.4
-1481.25,3431.25,-8.33,-11.42
-1483.78,3433.78,-8.31,-11.44
-1486.32,3436.32,-8.3,-11.41
-1488.86,3438.86,-8.32,-11.37
-1491.39,3441.39,-8.37,-11.39
-1493.93,3443.93,-8.34,-11.29
-1496.46,3446.46,-8.43,-11.27
-1499,3449,-8.34,-11.26
-1501.54,3451.54,-8.34,-11.38
-1504.07,3454.07,-8.33,-11.32
-1506.61,3456.61,-8.33,-11.39
-1509.14,3459.14,-8.34,-11.36
-1511.68,3461.68,-8.35,-11.35
-1514.22,3464.22,-8.26,-11.27
-1516.75,3466.75,-8.38,-11.37
-1519.29,3469.29,-8.45,-11.43
-1521.83,3471.83,-8.44,-11.5
-1524.36,3474.36,-8.48,-11.39
-1526.9,3476.9,-8.52,-11.5
-1529.43,3479.43,-8.62,-11.47
-1531.97,3481.97,-8.62,-11.45
-1534.51,3484.51,-8.59,-11.48
-1537.04,3487.04,-8.52,-11.42
-1539.58,3489.58,-8.56,-11.39
-1542.12,3492.12,-8.48,-11.46
-1544.65,3494.65,-8.53,-11.56
-1547.19,3497.19,-8.46,-11.51
-1549.72,3499.72,-8.48,-11.47
-1552.26,3502.26,-8.42,-11.41
-1554.8,3504.8,-8.44,-11.41
-1557.33,3507.33,-8.31,-11.25
-1559.87,3509.87,-8.28,-11.2
-1562.41,3512.41,-8.24,-11.27
-1564.94,3514.94,-8.35,-11.2
-1567.48,3517.48,-8.25,-11
-1570.01,3520.01,-8.26,-10.99
-1572.55,3522.55,-8.2,-10.96
-1575.09,3525.09,-8.15,-10.96
-1577.62,3527.62,-8.08,-10.72
-1580.16,3530.16,-8.1,-10.71
-1582.7,3532.7,-8.17,-10.71
-1585.23,3535.23,-8.1,-10.73
-1587.77,3537.77,-8.17,-10.59
-1590.3,3540.3,-8.18,-10.63
-1592.84,3542.84,-8.2,-10.79
-1595.38,3545.38,-8.23,-10.81
-1597.91,3547.91,-8.24,-10.93
-1600.45,3550.45,-8.23,-10.85
-1602.99,3552.99,-8.22,-10.8
-1605.52,3555.52,-8.1,-10.9
