depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],depth.top (mm) [3-1],mass dry (g) [3-1],mass dry >1mm (g) [3-1],mass dry 106 to 1000 um (g) [3-1],mass dry 63 to 106 um (g) [3-1],depth (cm) [4-1],age (BP) [4-1],carbonate (percent) [4-1]
428.5,3809.8,4.65,2938.679,2.737,78.5,671.52,780,4.809,0.022,0.436,0.06,80.5,692.86,3.08
438.5,3911.9,4.344,2938.679,2.879,80.5,692.86,800,5.784,0,0.03,0.069,82.5,714.85,4.25
459.5,4163.7,4.585,3021.464,3.047,82.5,707.5,820,4.3,0.004,0.031,0.058,84.5,735.31,4
471.5,4279.7,5.74,3021.464,2.88,84.5,722.15,840,4.719,0,0.015,0.076,86.5,753.86,4.17
483.5,4359.2,4.905,3096.785,2.829,86.5,736.79,860,6.66,0.004,0.027,0.072,88.5,766.63,4
495.5,4483.7,3.515,3096.785,2.885,88.5,751.44,880,4.258,0,0.016,0.041,90.5,779.37,4.17
507.5,4653.1,5.591,3165.597,2.647,90.5,766.08,900,6.418,0,0.019,0.08,92.5,792.14,4.25
519.5,4784.1,4.126,3296.214,2.978,92.5,780.72,920,6.319,0.012,0.025,0.092,94.5,804.91,3.33
531.5,4876.6,3.79,3296.214,2.818,94.5,795.37,940,5.555,0,0.03,0.075,96.5,817.87,4.42
537.5,4922.9,5.136,3362.142,3.213,96.5,810.01,960,5.959,0.049,0.032,0.096,98.5,831.67,4.08
549.5,5033.3,5.196,3362.142,3.035,98.5,824.66,980,4.36,0.001,0.019,0.066,100.5,845.42,NA
561.5,5143.8,4.759,3428.071,3.054,100.5,839.3,1000,11.278,0.019,0.693,0.669,102.5,858.81,4.17
579.5,5254.4,5.388,3428.071,2.817,102.5,853.94,1020,6.858,0.022,0.039,0.067,104.5,871.02,3.58
585.5,5291.2,5.215,3520.596,2.74,104.5,868.59,1040,6.518,0.065,0.033,0.058,106.5,883.23,4.08
597.5,5351.2,5.576,3710.847,3.321,106.5,883.23,1060,9.143,0.005,0.039,0.082,108.5,895.45,3.58
609.5,5411.1,5.684,3710.847,2.789,108.5,895.46,1080,7.319,0.004,0.034,0.066,110.5,907.7,4.08
627.5,5533.6,5.476,3840.58,3.095,110.5,907.68,1100,9.691,0,0.044,0.097,112.5,919.89,3.58
645.5,5659.4,5.107,3840.58,2.85,112.5,919.9,1120,7.467,0.009,0.028,0.073,114.5,932.12,4.33
657.5,5744.2,5.515,3920.906,2.735,114.5,932.13,1140,7.392,0.006,0.032,0.079,116.5,944.34,4.58
669.5,5859.9,5.723,3920.906,2.766,116.5,944.35,1160,9.379,0.006,0.037,0.108,118.5,956.59,4.42
681.5,5975.7,4.887,4135.679,2.672,118.5,956.57,1180,NA,0.007,0.033,0.606,120.5,968.78,5.5
687.5,6044.4,5.591,4274.614,3.359,120.5,968.8,1200,NA,0.011,0.053,0.206,122.5,981.01,5.33
699.5,6182,4.771,4274.614,2.971,122.5,981.02,1220,NA,0.056,0.042,0.176,124.5,993.25,5.42
717.5,6339.6,5.535,4382.985,3.118,124.5,993.24,1240,NA,0.025,0.038,0.223,126.5,1005.5,3.83
735.5,6460,4.294,4382.985,2.847,126.5,1005.5,1260,NA,0.047,0.028,0.102,128.5,1017.7,5.58
753.5,6554.4,5.809,4491.356,3.077,128.5,1017.7,1280,NA,0.023,0.059,0.18,130.5,1029.9,5.25
777.5,6681.9,4.3,4491.356,2.82,130.5,1029.9,1300,NA,0.009,0.055,0.162,132.5,1042.1,5.25
795.5,6823.6,4.878,4635.474,2.819,132.5,1042.1,1320,NA,0.004,0.034,0.03,134.5,1054.3,3.92
801.5,6870.8,NA,4779.591,3.029,134.5,1051.4,1340,NA,0.013,0.035,0.105,135.5,1060.4,5
819.5,7026.4,3.788,4779.591,2.788,136.5,1060.6,1360,NA,0.003,0.054,0.081,136.5,1066.6,4.67
831.5,7129.7,6.191,4882.63,3.091,138.5,1069.8,1380,8.179,0.046,0.06,0.069,138.5,1074.8,5
849.5,7284.1,5.181,4882.63,2.917,140.5,1079.1,1400,9.834,0.004,0.044,0.096,140.5,1081.7,4.42
873.5,7449.2,5.493,4925.563,2.845,142.5,1088.3,1420,8.941,0.005,0.057,0.076,142.5,1088.7,4.25
903.5,7686.8,5.625,4934.15,2.727,144.5,1097.5,1440,8.747,0.002,0.03,0.082,144.5,1095.6,5.08
933.5,7840.9,5.887,5034.918,3.069,146.5,1106.8,1460,10.738,0.025,0.041,0.086,146.5,1102.5,4.83
957.5,7946.8,5.774,5034.918,3.023,148.5,1116,1480,20.68,0.029,0.471,0.455,148.5,1109.4,4.42
987.5,8074.1,5.797,5133.416,2.917,150.5,1125.2,1500,8.132,0.071,0.048,0.073,150.5,1116.8,5.33
999.5,8115.1,4.596,5254.95,2.767,152.5,1134.5,1520,5.168,0.021,0.045,0.056,152.5,1125.4,5
1011.5,8148,4.731,5254.95,2.985,154.5,1143.7,1540,5.183,0.018,0.037,0.081,154.5,1133.9,5.42
1023.5,8196.8,3.972,5291.093,2.961,156.5,1152.9,1560,8.249,0.015,0.037,0.104,156.5,1142.5,4.5
1035.5,8261.6,5.852,5291.093,2.797,158.5,1162.2,1580,5.117,0,0.029,0.027,158.5,1162.2,4.58
1047.5,8325.9,NA,5354.703,2.825,160.5,1196.4,1600,5.923,0.001,0.019,0.105,160.5,1194.7,5.08
1077.5,8467,4.187,5409.637,2.665,162.5,1230.6,1620,5.661,0.003,0.029,0.129,162.5,1227.2,5.08
1101.5,8539.6,4.872,5520.955,2.788,164.5,1264.8,1640,6.851,0.008,0.024,0.103,164.5,1259.7,4.83
1119.5,8586.8,2.956,5647.417,2.905,166.5,1299,1660,7.26,0.004,0.031,0.103,166.5,1297.5,5.58
1131.5,8626.5,3.831,5732.642,2.909,168.5,1333.2,1680,5.404,0.001,0.024,0.073,168.5,1346.5,7.08
1149.5,8689.1,4.171,5843.555,2.995,170.5,1367.4,1700,4.632,0.004,0.038,0.084,170.5,1395.6,4.75
1173.5,8785.4,3.788,5980.157,3.229,172.5,1401.6,1720,7.103,0.013,0.034,0.093,172.5,1439.4,4.67
1197.5,8896.5,6.487,6048.458,2.972,174.5,1435.8,1740,6.169,0.015,0.011,0.056,174.5,1467.3,6.08
1221.5,9000.9,3.311,6174.667,2.534,176.5,1470,1760,5.417,0.021,0.027,0.08,176.5,1495.2,4.92
1251.5,9106.4,NA,6340.738,2.984,178.5,1504.2,1780,6.746,0.004,0.021,0.095,178.5,1523.1,5.5
1299.5,9254.8,3.205,6460.323,2.724,180.5,1538.4,1800,5.68,0,0.02,0.088,180.5,1551,6.08
1353.5,9463.2,NA,6682.938,2.787,182.5,1572.6,1820,5.678,0.01,0.021,0.076,182.5,1578.9,4.5
1401.5,9538.9,NA,6819.862,2.996,184.5,1606.8,1840,7.335,0.005,0.029,0.099,184.5,1606.8,5.25
1449.5,9651.9,5.729,7027.285,2.947,186.5,1628.2,1860,6.584,0.006,0.028,0.081,186.5,1634.7,5.08
1503.5,9761.5,NA,7130.253,3.11,188.5,1649.6,1880,5.384,0.006,0.018,0.083,188.5,1662.6,5.25
1551.5,9870.6,NA,7453.661,3.067,190.5,1671,1900,7.134,0.042,0.042,0.1,190.5,1690.5,5.42
1599.5,9998.3,5.388,7840.705,2.891,192.5,1692.5,1920,7.234,0.058,0.049,0.111,192.5,1707.3,4.75
1653.5,10087,NA,8072.062,3.015,194.5,1713.9,1940,13.701,0.21,0.059,0.161,194.5,1720.4,NA
1707.5,10165,NA,8153.775,3.036,196.5,1735.3,1960,5.415,0,0.022,0.077,196.5,1733.4,5.58
1749.5,10246,9.94,8192.307,2.936,198.5,1756.7,1980,12.291,0.048,0.073,0.138,198.5,1746.5,4.67
1803.5,10397,NA,8260.235,3.104,201.5,1788.8,2010,13.623,0,0.119,0.543,200.5,1759.6,5.33
1851.5,10486,3.86,8328.164,2.739,202.5,1799.6,2020,14.091,0.006,0.04,0.674,202.5,1772.7,5.92
1899.5,10572,5.87,8468.589,3.02,204.5,1821,2040,14.369,0.005,0.04,0.144,204.5,1797.8,7.08
1953.5,10620,NA,8540.504,2.753,206.5,1842.4,2060,13.155,0.01,0.032,0.121,206.5,1827,5.25
2001.5,10702,NA,8586.592,3.024,208.5,1863.8,2080,13.364,0.041,0.043,0.107,208.5,1856.1,5.92
2049.5,10852,NA,8626.452,3.128,210.5,1885.2,2100,17.631,0.08,0.071,0.179,210.5,1885.2,6.08
2097.5,10892,5.111,8689.071,3.23,212.5,1898.2,2120,12.68,0.018,0.065,0.149,212.5,1914.5,5.83
2151.5,10975,NA,8794.215,3.341,214.5,1911.1,2140,13.56,0.018,0.053,0.133,214.5,1943.5,4.42
2199.5,11120,4.274,9106.365,2.909,216.5,1924,2160,15.757,0.007,0.066,0.157,216.5,1957.4,5.42
2247.5,11188,3.586,9254.795,2.894,218.5,1936.9,2180,13.809,0.022,0.082,0.166,218.5,1966,6.25
2300.5,11244,4.662,9463.212,2.94,220.5,1949.8,2200,12.941,0.021,0.042,0.164,220.5,1974.7,7.5
2349.5,11332,NA,9538.941,2.818,222.5,1962.8,2220,13.768,0.029,0.072,0.181,222.5,1983.4,6.33
2403.5,11497,3.155,9651.877,2.859,224.5,1975.7,2240,15.545,0.009,0.057,0.142,224.5,1992.2,6.08
2457.5,11589,1.571,9761.52,2.761,226.5,1988.6,2260,18.951,0.014,0.065,0.185,226.5,2000.9,6.5
2499.5,11615,NA,9870.613,2.833,228.5,2001.5,2280,10.162,0,0.065,0.151,228.5,2009.5,7.75
2541.5,11658,NA,9998.275,2.871,230.5,2014.4,2300,14.493,0,0.063,0.168,230.5,2018.2,6.17
2547.5,11666,NA,10087.28,2.767,232.5,2027.3,2320,14.589,0.014,0.053,0.158,232.5,2027,7.17
2553.5,11674,1.827,10165,2.603,234.5,2040.3,2340,13.09,0.002,0.043,0.134,234.5,2039.4,7.17
2589.5,11739,4.862,10246.27,2.57,236.5,2053.2,2360,11.828,0.025,0.07,0.134,236.5,2053.2,5.92
2607.5,11776,NA,10397.11,2.717,238.5,2071.9,2380,12.557,0.167,0.159,0.23,238.5,2066.9,6.5
NA,NA,NA,10485.69,2.906,240.5,2090.5,2400,16.694,0.158,0.214,0.216,240.5,2080.6,7
NA,NA,NA,10572.06,2.745,242.5,2109.2,2420,11.593,0.016,0.093,0.175,242.5,2094.4,5.17
NA,NA,NA,10620.05,2.649,244.5,2127.9,2440,17.33,0.008,0.065,0.177,244.5,2115.4,6
NA,NA,NA,10702.18,2.669,246.5,2146.5,2460,9.897,0.003,0.043,0.133,246.5,2138.8,6.75
NA,NA,NA,10851.65,2.84,248.5,2165.2,2480,12.962,0.009,0.077,0.165,248.5,2162.3,5.75
NA,NA,NA,10891.75,2.625,250.5,2183.9,2500,11.487,0.013,0.22,0.182,250.5,2185.9,5.58
NA,NA,NA,10974.87,2.345,252.5,2202.5,2520,11.621,0,0.043,0.147,252.5,2210.1,5.08
NA,NA,NA,11188.25,2.548,254.5,2221.2,2540,13.925,0.023,0.079,0.128,254.5,2234.3,7
NA,NA,NA,11331.97,2.378,256.5,2239.9,2560,11.28,0.056,0.075,0.155,256.5,2258.5,5
NA,NA,NA,11496.96,2.526,258.5,2258.5,2580,13.816,0.03,0.046,0.174,258.5,2273.1,7.75
NA,NA,NA,11588.79,2.67,260.5,2277.2,2600,10.977,0.023,0.138,0.184,260.5,2284.5,4.83
NA,NA,NA,11615.21,2.188,262.5,2295.9,2620,9.739,0.008,0.056,0.126,262.5,2295.9,6.33
NA,NA,NA,11674.48,2.124,264.5,2312.8,2640,7.995,0.004,0.036,0.112,264.5,2307.3,6.5
NA,NA,NA,11738.79,2.107,266.5,2329.6,2660,13.122,0.005,0.042,0.153,266.5,2318.9,6.17
NA,NA,NA,11775.79,2.24,268.5,2346.5,2680,11.494,0.007,0.054,0.111,268.5,2330.6,5.92
NA,NA,NA,NA,NA,270.5,2363.4,2700,14.544,0.007,0.077,0.163,270.5,2342.4,5.75
NA,NA,NA,NA,NA,272.5,2380.3,2720,10.9,0.004,0.025,0.074,272.5,2354.1,5.92
NA,NA,NA,NA,NA,274.5,2397.2,2740,14.002,0.027,0.156,0.19,274.5,2365.8,3.25
NA,NA,NA,NA,NA,276.5,2414.1,2760,15.177,0.049,0.138,0.131,276.5,2377.5,4.58
NA,NA,NA,NA,NA,278.5,2431,2780,11.379,0.005,0.06,0.106,278.5,2389.3,5.42
NA,NA,NA,NA,NA,280.5,2447.9,2800,10.253,0.014,0.075,0.083,280.5,2401,6.83
NA,NA,NA,NA,NA,282.5,2464.8,2820,9.474,0.015,0.045,0.1,282.5,2412.7,6.58
NA,NA,NA,NA,NA,284.5,2481.7,2840,11.586,0.004,0.055,0.143,284.5,2442.8,6.83
NA,NA,NA,NA,NA,286.5,2498.5,2860,9.85,0.006,0.074,0.122,286.5,2479.1,7
NA,NA,NA,NA,NA,288.5,2515.4,2880,11.977,0.018,0.038,0.112,288.5,2515.4,6.08
NA,NA,NA,NA,NA,290.5,2548.5,2900,11.249,0.119,0.065,0.12,290.5,2551.6,7.25
NA,NA,NA,NA,NA,292.5,2581.6,2920,11.373,0.026,0.037,0.179,292.5,2590.9,5.67
NA,NA,NA,NA,NA,294.5,2614.6,2940,12.415,0.019,0.07,0.146,294.5,2639.3,8.25
NA,NA,NA,NA,NA,296.5,2647.7,2960,5.149,0.01,0.029,0.071,296.5,2687.7,6.75
NA,NA,NA,NA,NA,298.5,2680.7,2980,17.412,0.025,0.122,0.212,298.5,2736,NA
NA,NA,NA,NA,NA,300.5,2713.8,3000,9.586,0.177,0.128,0.004,300.5,2784.4,8.83
NA,NA,NA,NA,NA,302.5,2746.9,3020,9.337,0.014,0.053,0.439,302.5,2832.7,4.33
NA,NA,NA,NA,NA,304.5,2779.9,3040,11.628,0.004,0.054,0.131,304.5,2881,7
NA,NA,NA,NA,NA,306.5,2813,3060,10.61,0.026,0.038,0.153,306.5,2894,5
NA,NA,NA,NA,NA,308.5,2846.1,3080,9.4,0.004,0.025,0.101,308.5,2906.8,4.58
NA,NA,NA,NA,NA,310.5,2879.1,3100,12.232,0,0.034,0.126,310.5,2919.5,4.75
NA,NA,NA,NA,NA,312.5,2912.2,3120,10.831,0.016,0.041,0.141,312.5,2932.4,5
NA,NA,NA,NA,NA,314.5,2945.2,3140,8.65,0,0.028,0.135,314.5,2945.2,4.92
NA,NA,NA,NA,NA,316.5,2956,3160,10.575,0,0.048,0.274,316.5,2958,5.25
NA,NA,NA,NA,NA,318.5,2966.7,3180,10.196,0.007,0.027,0.153,318.5,2967.7,4.5
NA,NA,NA,NA,NA,320.5,2977.4,3200,9.857,0.009,0.025,0.149,320.5,2976.2,5.75
NA,NA,NA,NA,NA,322.5,2988.1,3220,10.726,0.003,0.027,0.135,322.5,2984.8,5.58
NA,NA,NA,NA,NA,324.5,2998.8,3240,9.239,0,0.014,0.109,324.5,2993.5,5.83
NA,NA,NA,NA,NA,326.5,3009.6,3260,12.338,0.009,0.051,0.162,326.5,3002.1,4.17
NA,NA,NA,NA,NA,328.5,3020.3,3280,11.108,0.01,0.03,0.127,328.5,3015.8,2.83
NA,NA,NA,NA,NA,330.5,3031,3300,11.877,0.006,0.052,0.101,330.5,3029.4,4.42
NA,NA,NA,NA,NA,332.5,3041.7,3320,9.999,0.011,0.049,0.139,332.5,3042.1,5.42
NA,NA,NA,NA,NA,334.5,3052.5,3340,10.782,0.001,0.036,0.148,334.5,3052.7,4.58
NA,NA,NA,NA,NA,336.5,3063.2,3360,9.558,0,0.024,0.153,336.5,3063.4,4.83
NA,NA,NA,NA,NA,338.5,3073.9,3380,8.899,0.007,0.024,0.11,338.5,3074,5.5
NA,NA,NA,NA,NA,340.5,3084.6,3400,10.2,0.003,0.017,0.098,340.5,3084.6,5.75
NA,NA,NA,NA,NA,342.5,3098.3,3420,9.653,0,0.036,0.111,342.5,3095.8,4.5
NA,NA,NA,NA,NA,344.5,3111.9,3440,9.235,0.002,0.032,0.093,344.5,3107.5,6.17
NA,NA,NA,NA,NA,346.5,3125.6,3460,9.916,0.046,0.034,0.116,346.5,3119.2,5.92
NA,NA,NA,NA,NA,348.5,3139.3,3480,7.166,0.038,0.02,0.087,348.5,3130.9,6.5
NA,NA,NA,NA,NA,350.5,3152.9,3500,10.487,0.014,0.109,0.143,350.5,3144.3,3.92
NA,NA,NA,NA,NA,352.5,3166.6,3520,9.027,0.024,0.022,0.098,352.5,3159.3,6.5
NA,NA,NA,NA,NA,354.5,3180.3,3540,11.285,0.035,0.053,0.153,354.5,3174.3,6.5
NA,NA,NA,NA,NA,356.5,3193.9,3560,9.373,0,0.041,0.119,356.5,3189.3,5.5
NA,NA,NA,NA,NA,358.5,3207.6,3580,7.268,0.057,0.022,0.098,358.5,3204.3,5.42
NA,NA,NA,NA,NA,360.5,3221.3,3600,8.184,0.041,0.034,0.093,360.5,3218.9,6
NA,NA,NA,NA,NA,362.5,3234.9,3620,8.565,0.038,0.045,0.112,362.5,3233.4,4.83
NA,NA,NA,NA,NA,364.5,3248.6,3640,10.126,0.031,0.043,0.138,364.5,3247.8,6.92
NA,NA,NA,NA,NA,366.5,3262.3,3660,11.169,0.572,0.172,0.203,366.5,3262.3,6.17
NA,NA,NA,NA,NA,368.5,3274.2,3680,3.788,0.044,0.06,0.122,368.5,3277.7,6.08
NA,NA,NA,NA,NA,370.5,3286.1,3700,11.212,0.005,0.056,0.155,370.5,3296.2,6.67
NA,NA,NA,NA,NA,372.5,3298,3720,9.288,0.002,0.04,0.112,372.5,3307.2,7.25
NA,NA,NA,NA,NA,374.5,3309.9,3740,10.999,0.003,0.052,0.136,374.5,3318.2,6.67
NA,NA,NA,NA,NA,376.5,3321.8,3760,10.844,0.017,0.044,0.122,376.5,3329.2,5.5
NA,NA,NA,NA,NA,378.5,3333.7,3780,7.458,0.002,0.035,0.081,378.5,3340.2,6
NA,NA,NA,NA,NA,380.5,3345.6,3800,8.951,0.007,0.035,0.082,380.5,3351.2,4.67
NA,NA,NA,NA,NA,382.5,3357.5,3820,11.783,0.001,0.044,0.136,382.5,3362.2,5.83
NA,NA,NA,NA,NA,384.5,3369.4,3840,8.009,0,0.035,0.112,384.5,3373.1,6.67
NA,NA,NA,NA,NA,386.5,3381.3,3860,8.539,0.015,0.053,0.128,386.5,3384.1,4.25
NA,NA,NA,NA,NA,388.5,3393.3,3880,6.487,0.002,0.059,0.19,388.5,3395.1,5.33
NA,NA,NA,NA,NA,390.5,3405.2,3900,9.759,0.012,0.048,0.132,390.5,3406.1,4.92
NA,NA,NA,NA,NA,392.5,3417.1,3920,9.358,0,0.037,0.09,392.5,3417.1,5.75
NA,NA,NA,NA,NA,394.5,3439.4,3940,9.45,0,0.05,0.147,394.5,3428,5.08
NA,NA,NA,NA,NA,396.5,3461.8,3960,10.488,0.003,0.054,0.249,396.5,3439.1,5.67
NA,NA,NA,NA,NA,398.5,3484.1,3980,8.745,0.001,0.069,0.117,398.5,3450,6.58
NA,NA,NA,NA,NA,400.5,3506.5,4000,8.748,0.024,0.107,0.144,400.5,3461.1,6.17
NA,NA,NA,NA,NA,402.5,3528.8,4020,8.392,0.001,0.048,0.114,402.5,3472,6.5
NA,NA,NA,NA,NA,404.5,3551.2,4040,9.302,0.006,0.445,0.119,404.5,3483,5.42
NA,NA,NA,NA,NA,406.5,3573.5,4060,11.171,0.004,0.05,0.133,406.5,3496.6,6.33
NA,NA,NA,NA,NA,408.5,3595.9,4080,9.48,0.005,0.04,0.082,408.5,3513.1,6.33
NA,NA,NA,NA,NA,410.5,3618.2,4100,7.895,0,0.031,0.095,410.5,3527.2,6.08
NA,NA,NA,NA,NA,412.5,3640.6,4120,8.748,0,0.027,0.096,412.5,3549.2,6.42
NA,NA,NA,NA,NA,414.5,3662.9,4140,11.607,0.004,0.042,0.086,414.5,3602,7.25
NA,NA,NA,NA,NA,416.5,3685.3,4160,11.921,0.001,0.037,0.135,416.5,3654.8,7.17
NA,NA,NA,NA,NA,418.5,3707.6,4180,7.386,0.005,0.023,0.096,418.5,3707.6,7.25
NA,NA,NA,NA,NA,420.5,3728.1,4200,14.406,0,0.086,0.215,420.5,3752.2,7.5
NA,NA,NA,NA,NA,422.5,3748.5,4220,10.604,0,0.046,0.112,422.5,3792.4,6.17
NA,NA,NA,NA,NA,424.5,3768.9,4240,12.363,0.008,0.038,0.103,424.5,3832.5,6.33
NA,NA,NA,NA,NA,426.5,3789.4,4260,10.351,0.005,0.025,0.116,426.5,3865.6,7.5
NA,NA,NA,NA,NA,428.5,3809.8,4280,7.384,0.011,0.027,0.088,428.5,3877.5,4.08
NA,NA,NA,NA,NA,430.5,3830.2,4300,10.945,0.011,0.026,0.084,430.5,3889.5,7.5
NA,NA,NA,NA,NA,432.5,3850.6,4320,11.491,0,0.036,0.133,432.5,3901.5,7.33
NA,NA,NA,NA,NA,434.5,3871.1,4340,9.609,0,0.036,0.118,434.5,3913.4,5.83
NA,NA,NA,NA,NA,436.5,3891.5,4360,10.951,0.026,0.041,0.112,436.5,3925.4,6.33
NA,NA,NA,NA,NA,438.5,3911.9,4380,10.119,0,0.04,0.083,438.5,3937.4,6
NA,NA,NA,NA,NA,440.5,3932.4,4400,12.743,0.002,0.034,0.082,440.5,3949.3,5.92
NA,NA,NA,NA,NA,442.5,3952.8,4420,9.842,0.019,0.026,0.063,442.5,3961.3,5.25
NA,NA,NA,NA,NA,444.5,3973.2,4440,12.166,0.018,0.039,0.086,444.5,3973.2,5.42
NA,NA,NA,NA,NA,446.5,3998.6,4460,12.645,0,0.049,0.216,446.5,3985.2,4.83
NA,NA,NA,NA,NA,453.5,4087.5,4530,15.289,0,0.189,0.222,453.5,4027,6.83
NA,NA,NA,NA,NA,459.5,4163.7,4590,14.999,0.012,0.053,0.164,459.5,4133.9,6.83
NA,NA,NA,NA,NA,465.5,4240,4650,13.719,0.013,0.029,0.149,465.5,4240,6.75
NA,NA,NA,NA,NA,471.5,4279.7,4710,11.257,0.004,0.011,0.104,471.5,4274.6,7.83
NA,NA,NA,NA,NA,477.5,4319.4,4770,13.081,0,0.028,0.125,477.5,4302,7.25
NA,NA,NA,NA,NA,483.5,4359.2,4830,12.67,0.007,0.046,0.249,483.5,4324.5,6.58
NA,NA,NA,NA,NA,489.5,4398.9,4890,12.119,0,0.035,0.21,489.5,4398.9,7
NA,NA,NA,NA,NA,495.5,4483.7,4950,10.999,0,0.025,0.081,495.5,4491.4,6.83
NA,NA,NA,NA,NA,501.5,4568.4,5010,12.2,0,0.152,0.157,501.5,4583.8,5.58
NA,NA,NA,NA,NA,507.5,4653.1,5070,11.991,0,0.033,0.164,507.5,4678.5,6.08
NA,NA,NA,NA,NA,513.5,4737.9,5130,13.477,0,0.041,0.254,513.5,4737.9,5.92
