age (BP),correctedTemp (degC),smoothedTemp (degC)
178806.199,21.86,20.55
179271.739,20.49,20.26
179750.075,19.37,19.85
180853.397,18.96,19.91
181435.077,18.54,19.91
182859.257,22.21,19.43
186148.554,20.44,19.75
187207.585,17,19.99
188079.383,20.56,19.43
190152.987,19.73,19.31
191460.717,19.4,20.1
194842.051,19.84,20.14
196584.414,20.95,20.55
197763.86,20.77,20.78
199594.299,21.77,20.93
201095.412,20.58,20.9
201486.008,20.57,21.04
204189.543,20.82,21.23
204924.782,21.44,20.52
208872.863,22.73,20.8
210490.772,17.04,21.42
212192.927,21.99,21.6
214706.908,23.9,21.78
216018.467,22.35,22.97
218586.06,23.6,22.86
219625.734,23.01,22.16
221678.276,21.45,22.16
221751.035,20.37,21.9
224910.265,22.35,21.79
227885.685,22.32,22.17
227912.491,22.47,22.58
230524.121,23.32,22.08
233748.451,22.43,22.08
233882.479,19.84,21.9
236708.554,22.35,21.25
239660.998,21.58,20.8
242337.728,20.07,20.58
245274.855,20.15,20.08
250172.619,18.75,19.76
254054.24,19.83,19.76
258021.319,20.02,19.92
259333.699,20.06,20.41
263714.951,20.93,20.84
268665.067,21.2,20.77
273545.323,21.99,20.94
279204.025,19.7,21.2
285112.228,20.88,21.62
290850.77,22.22,21.8
298001.493,23.33,22.41
303335.842,22.84,22.85
315671.213,22.78,23.17
320007.555,23.09,22.82
324298.986,23.78,22.85
330596.412,21.61,22.68
333234.522,23,22.69
333949.169,21.91,21.73
334864.367,23.15,21.29
336242.775,19.01,20.81
336689.523,19.41,20.68
337220.831,20.59,20.51
337895.818,21.27,20.88
338579.784,22.27,21.37
339209.871,20.88,21.31
339801.045,21.86,21.24
340422.9,20.27,20.93
341061.218,20.93,20.76
341692.053,20.69,20.44
342767.392,20.05,20.54
343413.942,20.26,20.36
344827.352,20.77,20.49
352790.552,20.02,20.86
360762.426,21.37,20.88
368474.066,21.86,21.1
376185.705,20.39,21.47
384313.721,21.86,21.67
393005.579,21.86,21.76
400937.673,22.35,22.45
405202.032,22.35,22.61
405901.306,23.82,22.46
416491.468,22.66,21.97
423932.875,21.09,21.89
427307.983,19.94,21.24
430173.794,21.93,20.88
433270.002,20.6,20.73
438473.768,20.84,21.05
444405.318,20.35,21.06
448897.099,21.53,21.31
455840.986,21.97,21.38
459282.935,21.85,21.41
465461.945,21.19,21.87
471303.509,20.5,21.85
481081.943,23.82,21.85
488558.245,21.86,21.98
494932.224,21.86,22.45
503090.917,21.86,22.16
512846.855,22.84,22.32
517503.609,22.35,22.51
522772.809,22.66,22.76
524786.907,22.84,22.76
528614.012,23.12,22.44
530529.16,22.84,21.56
532798.611,20.75,20.83
535342.567,18.26,19.96
537889.715,19.2,18.95
540793.473,18.73,19.01
544051.094,17.81,20.22
547504.262,21.04,20.61
551308.524,24.31,21.05
562276.886,21.15,21.79
565436.735,20.95,21.93
568627.693,21.49,21.45
571623.104,21.74,21.67
574614.072,21.93,21.36
578382.78,22.24,22
581555.961,19.41,22.51
585200.23,24.66,22.69
588991.159,24.31,22.7
592060.561,22.84,23.29
595428.36,22.27,22.93
601898.08,22.35,22.61
604519.941,22.84,22.05
607577.548,22.74,22.17
610690.547,20.06,22.11
613574.594,22.84,21.5
616923.929,22.09,21.81
619863.368,19.79,21.74
623389.956,24.25,21.31
626292.467,19.75,21.46
629723.043,20.67,22.03
632824.963,22.83,21.76
636111.521,22.67,22.38
638615.214,22.89,22.6
640827.179,22.84,22.18
645413.589,21.75,22.04
646720.827,20.74,21.67
649545.79,21.97,21.42
652666.174,21.03,21.12
655332.349,21.6,21.37
658109.306,20.26,21.47
660598.228,21.99,21.85
661406.942,22.48,21.69
667407.681,22.9,21.72
669556.868,20.83,21.51
678415.805,20.4,21.32
682245.199,20.95,21.07
686048.745,21.53,21.43
688367.799,21.64,21.72
692463.072,22.63,21.71
695384.047,21.86,22.07
699675.037,20.88,22.49
702998.523,23.33,22.09
709649.188,23.73,21.6
712500,20.66,21.48
715310.192,19.39,21.13
735336.041,20.26,20.51
741728.213,21.6,21.11
746543.575,20.66,21.97
749575.332,23.62,22.58
756827.917,23.7,22.44
761835.303,23.33,22.39
764759.971,20.88,22.26
767525.849,20.39,21.5
770210.487,22.98,21.3
784265.14,19.9,21.3
786488.183,22.35,21.3
789187.592,20.85,20.95
794508.405,20.39,21.44
800710.647,21.27,21.54
806734.59,22.35,21.55
811726.949,22.84,21.79
816400.917,20.88,21.62
832301.324,21.62,21.22
840222.873,20.38,20.69
854996.179,20.4,20.81
860459.755,20.2,20.92
876086.347,21.44,20.69
881390.728,22.17,20.89
887159.959,19.25,21.25
892381.559,21.37,21.13
904263.882,22.04,20.72
910669.893,20.83,21.22
915686.965,20.07,21.41
918007.449,21.76,21.76
920837.616,22.32,22.16
923563.315,23.82,22.91
925700.186,22.84,23.33
928064.991,23.82,23.43
930451.955,23.82,22.94
932675.714,22.84,22.89
935041.837,21.37,22.19
938454.082,22.58,21.8
940157.959,20.33,21.62
941237.755,21.86,21.68
946441.429,21.96,21.34
949110.612,21.68,21.62
950691.02,20.88,21.14
952525.102,21.72,20.22
964443.265,19.45,20.46
977210,17.38,20.58
983751.633,22.84,20.61
985893.265,21.48,21
989430.541,21.9,21.45
990466.162,21.37,20.89
991650.973,19.63,20.35
992613.243,20.06,19.91
993597.892,18.76,20.01
994488.054,19.73,20.15
995381.946,21.84,20.3
996357.892,20.35,20.42
997239.351,20.82,20.72
998192.919,19.38,21.28
999156.432,21.21,20.86
999954.595,24.63,19.82
1000305.189,18.27,19.5
1002065.622,15.63,19.21
1003246.703,17.77,18.17
1004235.081,19.73,18.8
1032338.692,19.43,20.1
1036385.324,21.45,20.41
1039653.911,22.1,19.98
1045557.422,19.34,19.93
1048340.735,17.56,19.58
1051493.017,19.21,19.07
1054276.33,19.71,19.08
1057400.538,19.54,19.66
1060456.567,19.36,20.21
1063448.428,20.49,20.68
1066897.49,21.93,21.41
1071443.259,22.06,22.21
1081821.847,23.22,21.87
1085709.898,23.33,21.66
1089829.978,18.79,21.23
1093736.842,20.92,20.45
1099054.693,19.91,20.03
1104466.609,19.29,20.47
1110098.012,21.21,19.9
1116055.509,21.03,19.65
1119228.661,18.07,20.06
1127374.014,18.62,20.26
1131139.82,21.34,20.03
1134918.069,22.22,20.57
1138459.918,19.92,21.5
1146028.858,20.74,21.82
1149056.434,23.29,21.84
1151818.579,22.92,21.87
1154858.597,22.34,21.77
1159105.498,20.1,21.54
1161838.611,20.2,21.53
1165421.117,22.17,21.63
1166523.23,22.84,21.76
1167885.544,22.84,21.48
1175127.61,20.72,20.49
1177474.878,18.81,19.39
1178626.034,17.24,18.41
1179752.668,17.31,17.87
1180935.158,17.98,18.57
1182255.241,17.98,19.22
1183500.396,22.31,19.74
1184793.233,20.53,20.16
1185956.65,19.9,20.12
1187205.892,20.09,19.24
1188393.831,17.77,19.36
1189448.263,17.89,19.5
1206182,21.15,19.1
1224825.167,20.57,18.97
1227933.088,18.09,19.66
1229468.702,17.15,19.7
1231101.554,21.32,20.3
1232446.362,21.37,21.1
1234027.843,23.56,22.34
1235779.947,22.11,22.2
1237574.249,23.34,21.38
1240584.933,20.62,20.16
1241821.497,17.26,20.58
1243111.266,17.46,19.81
1261496.437,24.2,20.09
1263309.085,19.51,20.22
1264852.038,22.02,20.26
1266290.414,17.9,19.68
1267976.471,17.65,NA
1277346.101,21.32,NA
