depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),temperature (degC),planktic.d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),Uk37 (missing)
2.775,9334,28.134,26.303,NA,NA,NA,-3.37,4.78,4.054,NA,NA
2.825,9493,27.779,NA,NA,NA,-2.54,-3.2,4.63,NA,NA,NA
2.875,9653,28.567,26.436,NA,NA,-2.61,-3.05,4.97,4.103,NA,NA
2.925,9812,28.432,NA,NA,NA,-2.79,-3.38,4.91,NA,NA,NA
2.975,9972,NA,25.955,27.722,NA,NA,-3.19,NA,3.929,4.606,NA
3.025,10131,NA,NA,NA,NA,-2.8,-3.28,NA,NA,NA,NA
3.03,10150,NA,NA,NA,28.22,NA,NA,NA,NA,NA,0.967
3.075,10291,27.537,26.775,NA,NA,-2.5,-2.89,4.53,4.232,NA,NA
3.125,10450,NA,NA,27.259,NA,NA,-3.29,NA,NA,4.418,NA
3.13,10470,NA,NA,NA,28.19,NA,NA,NA,NA,NA,0.966
3.175,10610,27.463,26.099,NA,NA,NA,-2.99,4.5,3.98,NA,NA
3.225,10751,NA,27.317,NA,NA,-2.29,-2.88,NA,4.441,NA,NA
3.23,10770,NA,NA,NA,27.97,NA,NA,NA,NA,NA,0.959
3.275,10893,27.438,26.434,NA,NA,NA,-3,4.49,4.102,NA,NA
3.325,11034,NA,27.4,NA,NA,NA,-2.78,NA,4.475,NA,NA
3.33,11050,NA,NA,NA,27.87,NA,NA,NA,NA,NA,0.956
3.375,11176,27.586,26.571,NA,NA,NA,-2.77,4.55,4.153,NA,NA
3.425,11317,NA,NA,27.113,NA,-2.2,-2.7,NA,NA,4.36,NA
3.43,11330,NA,NA,NA,27.66,NA,NA,NA,NA,NA,0.949
3.475,11459,27.264,26.909,NA,NA,NA,-2.63,4.42,4.281,NA,NA
3.525,11600,NA,27.009,NA,NA,-1.59,-2.4,NA,4.32,NA,NA
3.53,11620,NA,NA,NA,27.41,NA,NA,NA,NA,NA,0.942
3.575,11772,27.035,26.35,NA,NA,NA,-2.59,4.33,4.071,NA,NA
3.625,11944,NA,26.477,NA,NA,-1.55,-2.45,NA,4.118,NA,NA
3.63,11960,NA,NA,NA,27.34,NA,NA,NA,NA,NA,0.94
3.675,12117,27.163,26.118,NA,NA,NA,-2.61,4.38,3.987,NA,NA
3.725,12289,26.347,26.223,NA,NA,-1.53,-2.13,4.07,4.025,NA,NA
3.73,12310,NA,NA,NA,27.2,NA,NA,NA,NA,NA,0.935
3.775,12461,NA,26.627,NA,NA,NA,-2.22,NA,4.174,NA,NA
3.825,12633,26.429,26.701,NA,NA,-1.71,-2.22,4.1,4.202,NA,NA
3.875,12806,26.154,NA,NA,NA,NA,-2.55,4,NA,NA,NA
3.88,12820,NA,NA,NA,27.3,NA,NA,NA,NA,NA,0.938
3.925,12978,26.906,25.065,NA,NA,-1.775,-2.57,4.28,3.626,NA,NA
3.93,12990,NA,NA,NA,27.35,NA,NA,NA,NA,NA,0.94
3.975,13150,26.536,25.146,NA,NA,NA,-2.36,4.14,3.653,NA,NA
3.98,13170,NA,NA,NA,27.29,NA,NA,NA,NA,NA,0.938
4.015,13288,26.643,24.472,NA,NA,NA,NA,4.18,3.438,NA,NA
4.025,13322,26.563,25.025,NA,NA,-2.06,-2.42,4.15,3.613,NA,NA
4.03,13340,NA,NA,NA,27.37,NA,NA,NA,NA,NA,0.941
4.075,13494,27.463,NA,NA,NA,NA,-2.41,4.5,NA,NA,NA
4.08,13510,NA,NA,NA,27.59,NA,NA,NA,NA,NA,0.947
4.115,13632,26.643,25.396,NA,NA,NA,NA,4.18,3.736,NA,NA
4.125,13667,27.264,26.284,NA,NA,-2,-2.51,4.42,4.047,NA,NA
4.13,13680,NA,NA,NA,27.57,NA,NA,NA,NA,NA,0.947
4.175,13839,26.723,NA,NA,NA,NA,-2.39,4.21,NA,NA,NA
4.18,13860,NA,NA,NA,27.42,NA,NA,NA,NA,NA,0.942
4.215,13977,27.061,24.962,NA,NA,NA,NA,4.34,3.593,NA,NA
4.225,14011,26.617,NA,27.028,NA,-1.96,-2.71,4.17,NA,4.327,NA
4.23,14030,NA,NA,NA,27.37,NA,NA,NA,NA,NA,0.94
4.275,14183,NA,NA,26.136,NA,NA,-2.32,NA,NA,3.994,NA
4.28,14200,NA,NA,NA,27.56,NA,NA,NA,NA,NA,0.946
4.315,14321,26.401,25.657,NA,NA,NA,NA,4.09,3.825,NA,NA
4.325,14356,25.672,NA,26.386,NA,-2.12,-2.32,3.83,NA,4.084,NA
4.33,14370,NA,NA,NA,27.44,NA,NA,NA,NA,NA,0.943
4.375,14528,NA,NA,25.228,NA,NA,-2.08,NA,NA,3.68,NA
4.38,14550,NA,NA,NA,27.01,NA,NA,NA,NA,NA,0.929
4.415,14666,26.265,24.023,NA,NA,NA,NA,4.04,3.302,NA,NA
4.425,14700,26.014,NA,25.379,NA,-1.43,-2.06,3.95,NA,3.731,NA
4.43,14710,NA,NA,NA,26.87,NA,NA,NA,NA,NA,0.925
4.475,14770,NA,NA,25.499,NA,NA,-1.79,NA,NA,3.771,NA
4.48,14780,NA,NA,NA,26.83,NA,NA,NA,NA,NA,0.924
4.515,14826,25.437,24.831,NA,NA,NA,NA,3.75,3.551,NA,NA
4.525,14840,26.099,NA,25.88,NA,-1.39,-1.54,3.98,NA,3.902,NA
4.53,14850,NA,NA,NA,26.93,NA,NA,NA,NA,NA,0.927
4.575,14910,NA,NA,NA,NA,NA,-1.96,NA,NA,NA,NA
4.58,14920,NA,NA,NA,26.73,NA,NA,NA,NA,NA,0.921
4.615,14966,26.126,25.747,NA,NA,NA,NA,3.99,3.856,NA,NA
4.625,14980,NA,NA,26.738,NA,-1.97,-1.86,NA,NA,4.216,NA
4.63,14990,NA,NA,NA,26.97,NA,NA,NA,NA,NA,0.928
4.675,15050,NA,NA,25.074,NA,NA,-1.68,NA,NA,3.63,NA
4.68,15060,NA,NA,NA,26.61,NA,NA,NA,NA,NA,0.917
4.715,15106,25.901,NA,NA,NA,NA,NA,3.91,NA,NA,NA
4.725,15120,NA,NA,25.41,NA,-1.38,-2,NA,NA,3.741,NA
4.73,15130,NA,NA,NA,26.63,NA,NA,NA,NA,NA,0.918
4.775,15190,NA,NA,25.937,NA,NA,-2.31,NA,NA,3.923,NA
4.815,15246,NA,24.391,NA,NA,NA,NA,NA,3.413,NA,NA
4.825,15260,NA,NA,25.56,NA,-1.34,-2.04,NA,NA,3.792,NA
4.83,15270,NA,NA,NA,26.45,NA,NA,NA,NA,NA,0.912
4.875,15330,NA,NA,25.618,NA,NA,-1.83,NA,NA,3.812,NA
4.915,15386,26.932,24.488,NA,NA,NA,NA,4.29,3.443,NA,NA
4.925,15400,NA,NA,25.919,NA,-1.28,-1.96,NA,NA,3.921,NA
4.93,15410,NA,NA,NA,26.72,NA,NA,NA,NA,NA,0.92
4.975,15470,NA,NA,25.319,NA,NA,-1.68,NA,NA,3.71,NA
5.015,15526,26.071,25.176,NA,NA,NA,NA,3.97,3.663,NA,NA
5.025,15540,NA,NA,25.077,NA,-1.39,-1.72,NA,NA,3.631,NA
5.03,15550,NA,NA,NA,26.73,NA,NA,NA,NA,NA,0.921
5.075,15610,NA,NA,26.136,NA,NA,NA,NA,NA,3.994,NA
5.115,15666,26.182,NA,NA,NA,NA,NA,4.01,NA,NA,NA
5.125,15680,NA,NA,26.023,NA,NA,-2.15,NA,NA,3.953,NA
5.13,15690,NA,NA,NA,26.72,NA,NA,NA,NA,NA,0.92
5.175,15750,NA,NA,25.529,NA,-1.2,NA,NA,NA,3.781,NA
5.215,15806,25.73,24.407,NA,NA,NA,NA,3.85,3.418,NA,NA
5.225,15820,NA,NA,24.728,NA,-1.47,-1.99,NA,NA,3.518,NA
5.23,15830,NA,NA,NA,26.54,NA,NA,NA,NA,NA,0.915
5.275,15890,NA,NA,26.331,NA,NA,NA,NA,NA,4.064,NA
5.315,15946,26.32,23.458,NA,NA,NA,NA,4.06,3.138,NA,NA
5.325,15960,NA,NA,24.887,NA,-1.15,-1.97,NA,NA,3.569,NA
5.33,15970,NA,NA,NA,26.42,NA,NA,NA,NA,NA,0.911
5.375,16030,NA,NA,25.379,NA,-1.46,NA,NA,NA,3.731,NA
5.415,16086,25.555,24.568,NA,NA,NA,NA,3.79,3.468,NA,NA
5.425,16100,NA,NA,25.136,NA,-1.7,-2.01,NA,NA,3.65,NA
5.43,16110,NA,NA,NA,26.42,NA,NA,NA,NA,NA,0.911
5.475,16170,NA,NA,25.559,NA,NA,NA,NA,NA,3.791,NA
5.515,16226,26.043,24.22,NA,NA,NA,NA,3.96,3.361,NA,NA
5.525,16240,NA,NA,25.167,NA,-1.27,-1.84,NA,NA,3.66,NA
5.53,16250,NA,NA,NA,26.43,NA,NA,NA,NA,NA,0.911
5.575,16310,NA,NA,24.239,NA,NA,NA,NA,NA,3.367,NA
5.625,16380,NA,NA,24.037,NA,-1.11,-1.8,NA,NA,3.306,NA
5.63,16390,NA,NA,NA,26.33,NA,NA,NA,NA,NA,0.908
5.675,16450,NA,NA,24.728,NA,NA,NA,NA,NA,3.518,NA
5.715,16506,25.378,24.018,NA,NA,NA,NA,3.73,3.3,NA,NA
5.725,16520,NA,NA,24.887,NA,-1.33,-1.6,NA,NA,3.569,NA
5.73,16530,NA,NA,NA,26.32,NA,NA,NA,NA,NA,0.908
5.825,16660,NA,NA,25.043,NA,-1.49,-1.53,NA,NA,3.619,NA
5.83,16670,NA,NA,NA,26.19,NA,NA,NA,NA,NA,0.904
5.925,16800,NA,NA,26.08,NA,-1.34,-1.67,NA,NA,3.973,NA
5.93,16810,NA,NA,NA,26.26,NA,NA,NA,NA,NA,0.906
6.015,16926,NA,23.556,NA,NA,NA,NA,NA,3.166,NA,NA
6.025,16940,NA,NA,24.456,NA,NA,-2.01,NA,NA,3.439,NA
6.03,16950,NA,NA,NA,26.5,NA,NA,NA,NA,NA,0.914
6.115,17066,24.984,23.076,NA,NA,NA,NA,3.6,3.032,NA,NA
6.125,17080,NA,NA,23.901,NA,-1.85,-2.04,NA,NA,3.266,NA
6.13,17090,NA,NA,NA,26.79,NA,NA,NA,NA,NA,0.922
6.175,17150,NA,NA,25.535,NA,NA,NA,NA,NA,3.783,NA
6.225,17220,NA,NA,25.677,NA,NA,-1.95,NA,NA,3.832,NA
6.23,17230,NA,NA,NA,26.65,NA,NA,NA,NA,NA,0.918
6.275,17290,NA,NA,NA,NA,-1.46,NA,NA,NA,NA,NA
6.315,17346,24.702,23.427,NA,NA,NA,NA,3.51,3.13,NA,NA
6.325,17360,NA,NA,24.999,NA,NA,-1.9,NA,NA,3.605,NA
6.33,17370,NA,NA,NA,26.72,NA,NA,NA,NA,NA,0.92
6.375,17430,NA,NA,NA,NA,-1.6,NA,NA,NA,NA,NA
6.415,17486,NA,23.415,NA,NA,NA,NA,NA,3.126,NA,NA
6.425,17500,NA,NA,23.386,NA,-1.59,-1.67,NA,NA,3.118,NA
6.43,17510,NA,NA,NA,26.81,NA,NA,NA,NA,NA,0.923
6.475,17570,NA,NA,24.873,NA,NA,NA,NA,NA,3.564,NA
6.515,17626,24.575,24.197,NA,NA,NA,NA,3.47,3.354,NA,NA
6.525,17640,NA,NA,NA,NA,-1.62,-1.71,NA,NA,NA,NA
6.53,17650,NA,NA,NA,26.83,NA,NA,NA,NA,NA,0.924
6.575,17710,NA,NA,24.568,NA,NA,NA,NA,NA,3.468,NA
6.625,17780,NA,NA,25.059,NA,NA,-1.97,NA,NA,3.625,NA
6.63,17790,NA,NA,NA,26.83,NA,NA,NA,NA,NA,0.924
6.725,17920,NA,NA,23.715,NA,-1.5,-1.5,NA,NA,3.212,NA
6.73,17930,NA,NA,NA,26.89,NA,NA,NA,NA,NA,0.926
6.775,17990,NA,NA,NA,NA,-1.45,NA,NA,NA,NA,NA
6.825,18060,NA,NA,25.228,NA,NA,-1.57,NA,NA,3.68,NA
6.83,18070,NA,NA,NA,26.8,NA,NA,NA,NA,NA,0.923
6.875,18130,NA,NA,NA,NA,-1.58,NA,NA,NA,NA,NA
6.915,18186,24.575,NA,NA,NA,NA,NA,3.47,NA,NA,NA
6.925,18200,NA,NA,24.377,NA,NA,-1.84,NA,NA,3.409,NA
6.93,18210,NA,NA,NA,26.8,NA,NA,NA,NA,NA,0.923
6.975,18270,NA,24.171,NA,NA,-1.58,NA,NA,3.346,NA,NA
7.025,18340,NA,NA,24.879,NA,NA,-1.9,NA,NA,3.566,NA
7.03,18350,NA,NA,NA,26.67,NA,NA,NA,NA,NA,0.919
7.075,18410,NA,NA,NA,NA,-1.55,NA,NA,NA,NA,NA
7.125,18480,NA,NA,25.072,NA,NA,-1.85,NA,NA,3.629,NA
7.13,18490,NA,NA,NA,26.81,NA,NA,NA,NA,NA,0.923
7.175,18550,NA,NA,NA,NA,-1.73,NA,NA,NA,NA,NA
7.225,18620,NA,NA,24.676,NA,NA,-1.83,NA,NA,3.502,NA
7.23,18630,NA,NA,NA,26.97,NA,NA,NA,NA,NA,0.928
7.275,18690,NA,NA,NA,NA,-1.61,NA,NA,NA,NA,NA
7.315,18746,24.671,24.15,NA,NA,NA,NA,3.5,3.34,NA,NA
7.325,18760,NA,NA,24.992,NA,NA,-2.05,NA,NA,3.603,NA
7.33,18770,NA,NA,NA,26.88,NA,NA,NA,NA,NA,0.925
7.375,18830,NA,NA,NA,NA,-1.23,NA,NA,NA,NA,NA
7.425,18900,NA,NA,24.068,NA,NA,-1.7,NA,NA,3.315,NA
7.43,18910,NA,NA,NA,26.7,NA,NA,NA,NA,NA,0.92
7.475,18970,NA,NA,NA,NA,-1.17,NA,NA,NA,NA,NA
7.515,19026,24.671,23.83,NA,NA,NA,NA,3.5,3.245,NA,NA
7.525,19040,NA,NA,24.733,NA,NA,-2.11,NA,NA,3.52,NA
7.53,19050,NA,NA,NA,26.68,NA,NA,NA,NA,NA,0.919
7.575,19110,NA,NA,NA,NA,-1.78,NA,NA,NA,NA,NA
7.625,19180,NA,NA,NA,NA,NA,-2.03,NA,NA,NA,NA
7.675,19250,NA,NA,NA,NA,-1.21,NA,NA,NA,NA,NA
7.725,19320,NA,NA,24.291,NA,NA,-1.95,NA,NA,3.382,NA
7.775,19390,NA,NA,NA,NA,-1.49,NA,NA,NA,NA,NA
7.815,19446,NA,24.527,NA,NA,NA,NA,NA,3.455,NA,NA
7.825,19460,NA,NA,25.31,NA,NA,-1.82,NA,NA,3.707,NA
7.875,19530,NA,NA,NA,NA,-1.54,NA,NA,NA,NA,NA
7.915,19586,24.922,24.575,NA,NA,NA,NA,3.58,3.47,NA,NA
7.925,19600,NA,NA,24.625,NA,NA,-1.62,NA,NA,3.486,NA
7.975,19670,NA,NA,NA,NA,-1.46,NA,NA,NA,NA,NA
8.025,19740,NA,NA,23.669,NA,NA,-2.1,NA,NA,3.198,NA
8.075,19810,NA,NA,NA,NA,-2.25,NA,NA,NA,NA,NA
8.115,19866,25.076,24.639,NA,NA,NA,NA,3.63,3.49,NA,NA
8.125,19880,NA,NA,25.19,NA,NA,-2.04,NA,NA,3.667,NA
8.175,19950,NA,NA,NA,NA,-1.41,NA,NA,NA,NA,NA
8.225,20020,NA,NA,25.3,NA,NA,-2.16,NA,NA,3.704,NA
8.275,20090,NA,NA,NA,NA,-1.63,NA,NA,NA,NA,NA
8.315,20146,25.348,24.629,NA,NA,NA,NA,3.72,3.487,NA,NA
8.325,20160,NA,NA,24.669,NA,NA,-1.99,NA,NA,3.5,NA
8.375,20230,NA,NA,NA,NA,-2.01,NA,NA,NA,NA,NA
8.425,20300,NA,NA,25.207,NA,NA,-1.76,NA,NA,3.673,NA
8.475,20370,NA,NA,NA,NA,-1.49,NA,NA,NA,NA,NA
8.515,20426,24.702,24.207,NA,NA,NA,NA,3.51,3.357,NA,NA
8.525,20440,NA,NA,24.658,NA,NA,-1.63,NA,NA,3.496,NA
8.575,20510,NA,NA,NA,NA,-1.33,NA,NA,NA,NA,NA
8.625,20580,NA,NA,24.892,NA,NA,-2.08,NA,NA,3.571,NA
8.675,20650,NA,NA,NA,NA,-1.65,NA,NA,NA,NA,NA
8.725,20720,NA,NA,25.315,NA,NA,-2.17,NA,NA,3.709,NA
8.775,20790,NA,NA,NA,NA,-1.69,NA,NA,NA,NA,NA
8.825,20860,NA,NA,24.429,NA,NA,-2.13,NA,NA,3.425,NA
8.875,20930,NA,NA,NA,NA,-1.76,NA,NA,NA,NA,NA
8.925,21000,NA,NA,NA,NA,NA,-2.11,NA,NA,NA,NA
8.975,21070,NA,NA,NA,NA,-1.58,NA,NA,NA,NA,NA
9.025,21140,NA,NA,NA,NA,NA,-2.26,NA,NA,NA,NA
9.075,21210,NA,NA,NA,NA,-1.72,NA,NA,NA,NA,NA
9.115,21266,25.167,23.998,NA,NA,NA,NA,3.66,3.294,NA,NA
9.125,21280,NA,NA,NA,NA,NA,-1.91,NA,NA,NA,NA
9.225,21420,NA,NA,NA,NA,NA,-1.96,NA,NA,NA,NA
9.315,21546,26.32,24.491,NA,NA,NA,NA,4.06,3.444,NA,NA
9.325,21560,NA,NA,NA,NA,NA,-2.36,NA,NA,NA,NA
9.415,21686,25.701,23.989,NA,NA,NA,NA,3.84,3.292,NA,NA
9.425,21700,NA,NA,NA,NA,NA,-2.07,NA,NA,NA,NA
9.515,21826,26.154,25.213,NA,NA,NA,NA,4,3.675,NA,NA
9.525,21840,NA,NA,NA,NA,NA,-2.16,NA,NA,NA,NA
9.615,21966,NA,25.345,NA,NA,NA,NA,NA,3.719,NA,NA
9.625,21980,NA,NA,NA,NA,NA,-2.63,NA,NA,NA,NA
9.715,22106,26.401,24.261,NA,NA,NA,NA,4.09,3.373,NA,NA
9.725,22120,NA,NA,NA,NA,NA,-2.34,NA,NA,NA,NA
9.825,22260,NA,NA,NA,NA,NA,-1.91,NA,NA,NA,NA
9.925,22400,NA,NA,NA,NA,NA,-2.05,NA,NA,NA,NA
10.025,22540,NA,NA,NA,NA,NA,-1.9,NA,NA,NA,NA
10.125,22680,NA,NA,NA,NA,NA,-1.94,NA,NA,NA,NA
10.225,22820,NA,NA,NA,NA,NA,-1.72,NA,NA,NA,NA
10.325,22960,NA,NA,NA,NA,NA,-1.97,NA,NA,NA,NA
10.425,23100,NA,NA,NA,NA,NA,-2.04,NA,NA,NA,NA
10.525,23240,NA,NA,NA,NA,NA,-2.15,NA,NA,NA,NA
10.625,23380,NA,NA,NA,NA,NA,-1.68,NA,NA,NA,NA
10.725,23520,NA,NA,NA,NA,NA,-2.33,NA,NA,NA,NA
10.825,23660,NA,NA,NA,NA,NA,-2.31,NA,NA,NA,NA
10.925,23800,NA,NA,NA,NA,NA,-1.9,NA,NA,NA,NA
11.025,23940,NA,NA,NA,NA,NA,-2.03,NA,NA,NA,NA
