depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],precipitation (mm) [2-1]
105,3742.878,25.3,NA,NA,NA,NA
105.5,3770.73,25,NA,NA,NA,NA
106,3798.582,24,NA,NA,NA,NA
107,3856.007,23,NA,NA,NA,NA
107.5,3884.72,25.7,NA,NA,NA,NA
108,3913.433,26.5,NA,NA,NA,NA
109,3972.655,25.8,NA,NA,NA,NA
109.5,4002.266,25.6,NA,NA,NA,NA
110,4031.878,24.6,NA,NA,NA,NA
111,4092.974,24.2,NA,NA,NA,NA
111.5,4123.522,24.7,NA,NA,NA,NA
112,4154.07,23.6,NA,NA,NA,NA
113,4185.6,24.7,NA,NA,NA,NA
113.5,4248.6,25.4,NA,NA,NA,NA
114,4280.167,25.4,NA,NA,NA,NA
115,4344.729,24.6,NA,NA,NA,NA
115.5,4377.53,24.3,NA,NA,NA,NA
116,4410.33,23.1,NA,NA,NA,NA
117.5,4510.852,23.9,NA,NA,NA,NA
118,4544.719,23.2,NA,NA,NA,NA
119,4613.552,20.4,NA,NA,NA,NA
119.5,4648.528,20.1,NA,NA,NA,NA
120,4683.504,20.9,NA,NA,NA,NA
121,4754.598,20.4,NA,NA,NA,NA
121.5,4790.726,25,NA,NA,NA,NA
122,4826.854,25.8,NA,NA,NA,NA
123,4900.294,24.8,NA,NA,NA,NA
123.5,4937.617,25.4,NA,NA,NA,NA
124,4974.941,26,NA,NA,NA,NA
125,5050.815,25.5,NA,NA,NA,NA
125.5,5089.378,25.7,NA,NA,NA,NA
126,5127.941,24.8,NA,NA,NA,NA
127,5206.34,26.6,NA,NA,NA,NA
127.5,5246.187,25.8,NA,NA,NA,NA
128,5286.034,25.4,NA,NA,NA,NA
129,5367.047,25,NA,NA,NA,NA
129.5,5408.225,24.1,NA,NA,NA,NA
130,5449.402,24.9,NA,NA,NA,NA
131,5533.123,24.6,NA,NA,NA,NA
131.5,5575.677,25.3,NA,NA,NA,NA
132,5618.232,25.1,NA,NA,NA,NA
133,5704.753,25.1,NA,NA,NA,NA
133.5,5748.732,24,NA,NA,NA,NA
134,5792.71,23.7,NA,NA,NA,NA
134.5,5837.419,23.6,NA,NA,NA,NA
135,5882.128,25.1,NA,NA,NA,NA
136,5973.03,24.8,NA,NA,NA,NA
136.5,6019.236,24.7,NA,NA,NA,NA
137,6065.442,24.6,NA,NA,NA,NA
138,6159.388,24.7,NA,NA,NA,NA
138.5,6207.14,24,NA,NA,NA,NA
140,6351.98,25.8,NA,NA,NA,NA
141,6450.677,24.6,NA,NA,NA,NA
141.5,6500.843,26,NA,NA,NA,NA
142,6551.009,25.3,NA,NA,NA,NA
143,6653.001,25.2,NA,NA,NA,NA
143.5,6704.841,24.8,NA,NA,NA,NA
144,6756.68,25.1,NA,NA,NA,NA
145,6862.07,25.1,NA,NA,NA,NA
145.5,6915.634,23.8,NA,NA,NA,NA
146,6969.199,24.1,NA,NA,NA,NA
147,7078.093,24.8,NA,NA,NA,NA
147.5,7133.436,25.7,NA,NA,NA,NA
148,7188.779,24.6,NA,NA,NA,NA
149,7301.283,24.1,NA,NA,NA,NA
149.5,7358.458,24,NA,NA,NA,NA
150,7415.633,25.1,NA,NA,NA,NA
151,7531.856,24.7,NA,NA,NA,NA
151.5,7590.918,25.9,NA,NA,NA,NA
152,7649.979,26,NA,NA,NA,NA
153,7770.031,25.7,NA,NA,NA,NA
153.5,7831.035,25.4,NA,NA,NA,NA
154,7892.039,25.9,NA,NA,NA,NA
155,8016.03,24.9,NA,NA,NA,NA
155.5,8079.032,25.4,NA,NA,NA,NA
156,8142.034,26.8,NA,NA,NA,NA
157,8270.078,24.7,NA,NA,NA,NA
157.5,8335,24.6,NA,NA,NA,NA
158,8400.193,24.3,NA,NA,NA,NA
159,8532.405,23.8,NA,NA,NA,NA
159.5,8590,23.5,NA,NA,NA,NA
160,8666.745,23.4,NA,NA,NA,NA
161,8803.241,23.5,NA,NA,NA,NA
161.5,8870,23.9,NA,NA,NA,NA
162,8941.924,23.3,NA,NA,NA,NA
163,8998,24.7,NA,NA,NA,NA
163.5,9050,24.3,NA,NA,NA,NA
164,9100,24,NA,NA,NA,NA
165,9200,24.2,NA,NA,NA,NA
165.5,9250,23.7,NA,NA,NA,NA
166,9300,24,NA,NA,NA,NA
