depth (m),planktic.d18O (permil),depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),d18O (permil),d13C (permil)
3.68,4.2,3.2,6.5,10,0.304,5.6,3.95,0.95
3.7,3.99,3.25,7.3,11.1,1.254,5.8,3.99,1.05
3.75,4,3.3,5.7,9.4,-0.396,5.9,4.2,1.05
3.78,4.24,3.35,5.8,9.3,-0.396,6,4.03,0.72
3.8,3.98,3.45,1.2,5,-4.846,6.1,3.95,0.89
3.83,4.1,3.5,0.5,4.1,-5.646,6.2,4.2,0.93
3.85,4.01,3.55,0.2,3.7,-5.996,6.4,3.97,0.97
3.88,4.12,3.6,0.4,3.8,-5.846,NA,NA,NA
3.9,4.05,3.7,0.7,4.5,-5.346,NA,NA,NA
3.93,4.08,3.8,1,4.4,-5.246,NA,NA,NA
3.95,4,3.9,0.2,3.7,-5.996,NA,NA,NA
3.98,4.05,4,1.1,4.9,-4.946,NA,NA,NA
4,3.94,4.1,0.4,3.9,-5.796,NA,NA,NA
4.05,3.96,4.2,0.9,4.8,-5.096,NA,NA,NA
4.1,3.91,4.3,0.5,4.1,-5.646,NA,NA,NA
4.15,3.98,4.4,0.4,3.9,-5.796,NA,NA,NA
4.2,3.86,4.5,1.1,5.2,-4.796,NA,NA,NA
4.25,3.82,4.6,1.8,5.9,-4.096,NA,NA,NA
4.3,3.81,4.7,0.9,4.3,-5.346,NA,NA,NA
4.35,3.69,4.8,3.9,7.8,-2.096,NA,NA,NA
4.4,4,4.9,0.8,4,-5.546,NA,NA,NA
4.45,3.76,5,0.3,3.6,-5.996,NA,NA,NA
4.5,3.85,5.1,1,4.8,-5.046,NA,NA,NA
4.55,3.68,5.2,3.6,7.8,-2.246,NA,NA,NA
4.6,3.8,5.3,5.6,9.4,-0.446,NA,NA,NA
4.65,3.87,5.4,5.7,9.5,-0.346,NA,NA,NA
4.7,3.59,5.5,-0.3,2.5,-6.846,NA,NA,NA
4.75,3.77,5.6,1.1,4.9,-4.946,NA,NA,NA
4.8,3.66,5.7,5.6,9.8,-0.246,NA,NA,NA
4.85,3.68,5.8,4.2,8.1,-1.796,NA,NA,NA
4.9,3.92,5.85,10.6,15.1,4.904,NA,NA,NA
4.95,3.86,5.9,4.3,8.9,-1.346,NA,NA,NA
5,3.87,6,8.6,12.9,2.804,NA,NA,NA
5.05,3.81,6.1,3.5,8,-2.196,NA,NA,NA
5.1,3.63,6.2,4.2,8.4,-1.646,NA,NA,NA
5.15,3.48,6.3,3.9,7.8,-2.096,NA,NA,NA
5.2,3.58,6.4,3.7,7.7,-2.246,NA,NA,NA
5.25,3.86,6.5,6.1,10.2,0.204,NA,NA,NA
5.3,3.63,6.6,3.3,8,-2.296,NA,NA,NA
5.35,3.72,6.7,5.7,9.6,-0.296,NA,NA,NA
5.4,3.61,6.8,6.1,9.9,0.054,NA,NA,NA
5.45,3.52,6.9,6.1,10.1,0.154,NA,NA,NA
5.5,3.18,7,5.6,9.4,-0.446,NA,NA,NA
5.55,3.56,NA,NA,NA,NA,NA,NA,NA
5.6,3.67,NA,NA,NA,NA,NA,NA,NA
5.65,3.66,NA,NA,NA,NA,NA,NA,NA
5.7,3.43,NA,NA,NA,NA,NA,NA,NA
5.75,3.67,NA,NA,NA,NA,NA,NA,NA
5.8,3.5,NA,NA,NA,NA,NA,NA,NA
5.85,3.69,NA,NA,NA,NA,NA,NA,NA
5.9,3.62,NA,NA,NA,NA,NA,NA,NA
5.95,3.32,NA,NA,NA,NA,NA,NA,NA
6,3.43,NA,NA,NA,NA,NA,NA,NA
