year (AD),age (BP),d18O (permil),d13C (missing)
-2960,4910,-5.19,-10.64
-2975,4925,-5.25,-11.33
-2990,4940,-5.36,-11.14
-3005,4955,-5.35,-10.74
-3020,4970,-5.77,-11.12
-3035,4985,-5.5,-10.63
-3050,5000,-5.5,-10.62
-3065,5015,-5.54,-10.84
-3095,5045,-5.87,-11.2
-3110,5060,-5.96,-11.39
-3128,5078,-5.6,-10.85
-3146,5096,-5.59,-11.11
-3164,5114,-5.84,-11.46
-3200,5150,-5.22,-11.29
-3218,5168,-5.22,-11.48
-3236,5186,-4.53,-10.96
-3256,5206,-5.08,-11.19
-3276,5226,-6.1,-11.46
-3296,5246,-6.04,-11.49
-3316,5266,-5.52,-11.33
-3336,5286,-5.68,-10.76
-3356,5306,-5.33,-10.74
-3376,5326,-5.29,-10.49
-3396,5346,-5.36,-10.92
-3416,5366,-5.57,-10.82
-3440,5390,-5.7,-11.37
-3486,5436,-5.88,-10.94
-3546,5496,-5.82,-11.43
-3626,5576,-5.73,-11.49
-3726,5676,-6,-11.05
-3826,5776,-5.89,-11.41
-4026,5976,-5.64,-10.65
-4150,6100,-5.7,-10.44
-4250,6200,-5.9,-10.55
-4350,6300,-6.09,-10.62
-4450,6400,-5.72,-10.75
-4550,6500,-5.58,-11.12
-4650,6600,-5.57,-10.85
-4750,6700,-5.55,-10.83
-4850,6800,-5.74,-10.58
-4950,6900,-5.31,-10.84
-5050,7000,-5.98,-9.52
-5150,7100,-6.01,-4.91
-5250,7200,-6.02,-7.08
-5370,7320,-6.32,-6.81
-5590,7540,-6.45,-5.71
-5680,7630,-6.58,-6.54
-5770,7720,-6.01,-8.04
-5960,7910,-6.26,-7.98
-6060,8010,-6.12,-8.52
-6150,8100,-5.54,-11.14
-6225,8175,-6.16,-7.97
-6280,8230,-6.08,-7.92
-6320,8270,-5.86,-6.52
-6355,8305,-5.96,-6.26
-6370,8320,-5.97,-4.76
-6390,8340,-5.98,-4.82
-6390,8340,-6.36,-4.33
-6405,8355,-6.12,-4.6
-6420,8370,-6.32,-4.3
-6455.5,8405.5,-6.21,-4.73
-6460,8410,-6.29,-4.72
-6465,8415,-6.43,-5.09
-6470,8420,-6.55,-4.89
-6475,8425,-6.06,-5.91
-6480,8430,-6.13,-4.86
-6485,8435,-6.14,-4.3
-6490,8440,-6.12,-5.37
-6495,8445,-6,-6.69
-6500,8450,-6.03,-8.44
-6505,8455,-6.22,-7.16
-6510,8460,-6.1,-12.06
-6515,8465,-6.27,-11.81
-6520,8470,-6.47,-11.4
-6530,8480,-6.16,-11.73
-6540,8490,-6.08,-11.37
-6550,8500,-6.14,-11.74
-6560,8510,-6.14,-10.95
-6570,8520,-6.03,-11.84
-6585,8535,-6.18,-11.94
-6600,8550,-6.2,-11.15
-6615,8565,-5.84,-11.07
-6630,8580,-5.77,-10.86
-6650,8600,-5.72,-10.75
-6670,8620,-5.74,-12.22
-6690,8640,-5.67,-12.48
-6720,8670,-6.23,-12.74
-6760,8710,-6.04,-12.74
-6810,8760,-6,-12.7
-6870,8820,-5.93,-12
-6950,8900,-5.67,-12.66
-7050,9000,-6.04,-12.9
-7190,9140,-5.92,-12.6
-7390,9340,-5.66,-12.18
-7640,9590,-6.08,-12.42
-7940,9890,-6.02,-12.94
-8290,10240,-5.98,-12.65
-8640,10590,-5.75,-12.51
-9040,10990,-5.47,-12.46
-9150,11100,-5.18,-12
-9250,11200,-4.48,-12.09
-9470,11420,-4.49,-11.9
-9990,11940,-4.27,-11.45
-10350,12300,-4.18,-11.3
-10700,12650,-4.07,-11.7
-11050,13000,-4.19,-11.73
-11410,13360,-4.4,-11.73
-11770,13720,-4.63,-11.51
-11850,13800,-5.7,-12.29
-12050,14000,-5.63,-12.72
-12280,14230,-6,-12.87
-12460,14410,-5.87,-12.11
-12750,14700,-5.61,-12.51
-12950,14900,-5.69,-12.68
-13150,15100,-5.13,-11.66
-13450,15400,-4.75,-11.94
-13760,15710,-4.49,-11.95
-13805,15755,-3.94,-10.57
-13845,15795,-5.07,-12.01
-13900,15850,-4.73,-11.99
-13960,15910,-4.29,-11.55
-14010,15960,-4.17,-11.62
-14070,16020,-4.49,-11.79
-14120,16070,-4.3,-11.28
-14180,16130,-3.8,-11.24
-14230,16180,-3.77,-11.38
-14290,16240,-3.78,-11.32
-14340,16290,-3.96,-11.35
-14400,16350,-3.97,-11.42
-14450,16400,-4.25,-11.11
-14470,16420,-4.06,-11.2
-14490,16440,-4.13,-10.99
-14510,16460,-3.76,-10.04
-14520,16470,-3.73,-10.91
-14540,16490,-3.83,-10.98
-14560,16510,-3.82,-11.01
-14580,16530,-3.79,-11.19
-14600,16550,-3.96,-10.97
-14620,16570,-4.12,-10.8
-14640,16590,-3.85,-10.8
-14660,16610,-3.79,-10.29
-14670,16620,-3.68,-10.78
-14690,16640,-3.72,-10.51
-14710,16660,-3.79,-10.8
-14730,16680,-3.59,-10.91
-14750,16700,-3.01,-10.11
-14770,16720,-3.43,-10.24
-14820,16770,-3.61,-10.65
-14830,16780,-3.72,-10.61
-14850,16800,-3.64,-10.45
-14870,16820,-3.51,-10.41
-14900,16850,-3.4,-9.36
-14920,16870,-3.26,-9.38
-14930,16880,-3.05,-9.41
-14970,16920,-3.31,-10.11
-15000,16950,-3.77,-9.71
-15050,17000,-3.47,-9.84
-15070,17020,-3.36,-9.67
-15150,17100,-3.4,-9.97
-15200,17150,-3.39,-9.67
-15250,17200,-3.38,-10.36
-15300,17250,-3.54,-10.43
-15350,17300,-3.52,-10.4
-15370,17320,-3.26,-10.39
-15390,17340,-3.26,-10.5
-15410,17360,-3.35,-10.31
-15430,17380,-3.13,-9.45
-15460,17410,-3.16,-10.19
-15540,17490,-3.48,-10.29
-15620,17570,-3.57,-9.98
-15690,17640,-3.46,-10.39
-15770,17720,-3.28,-10.33
-15850,17800,-3.43,-10.53
-15930,17880,-3.5,-10.6
-16010,17960,-3.61,-10.98
-16090,18040,-3.42,-10.48
-16170,18120,-3.24,-10.26
-16250,18200,-3.3,-9.56
-16330,18280,-3.31,-9.93
-16410,18360,-3.37,-10.06
-16490,18440,-3.01,-10.01
-16570,18520,-3.15,-9.97
-16650,18600,NA,-10.17
-16730,18680,-3.07,-9.26
-16810,18760,-2.9,-9.41
-16890,18840,-2.94,-9.65
-16970,18920,-2.42,-9.53
-17050,19000,-2.73,-8.61
-17200,19150,-2.82,-8.45
-17450,19400,-2.98,-9.49
-17850,19800,-3.17,-9.85
-18250,20200,-3.13,-9.78
-18650,20600,-3.27,-9.46
-18850,20800,-3.4,-9.17
-19050,21000,-3.43,-9.73
-19240,21190,-3.32,-9.5
-19360,21310,-3.42,-9.68
-19480,21430,-3.32,-9.95
-19590,21540,-3.13,-9.7
-19710,21660,-3.05,-8.85
-19830,21780,-3.11,-9.57
-19940,21890,-3.18,-10.18
-20060,22010,-3.12,-10.16
-20180,22130,-3.25,-10.16
-20270,22220,-2.82,-9.03
-20290,22240,-3.18,-10.22
-20430,22380,-2.88,-9.46
-20580,22530,-2.88,-9.54
-20740,22690,-2.93,-9.64
-20890,22840,-2.93,-9.62
-21040,22990,-3.48,-10.35
-21200,23150,-3.58,-10.7
-21350,23300,-3.55,-10.91
-21510,23460,-3.05,-9.77
-21660,23610,-3.17,-10.06
-21810,23760,-3.22,-10.33
-21970,23920,-3.12,-10.15
-22130,24080,-3.28,-10.43
-22210,24160,-3.22,-10.12
-22280,24230,-3.13,-10.29
-22360,24310,-2.88,-9.94
-22430,24380,-2.83,-10.08
-22510,24460,-3.16,-9.78
-22580,24530,-3.1,-9.69
-22660,24610,-2.91,-9.62
-22740,24690,-3.14,-9.6
-22810,24760,-3.09,-9.18
-22890,24840,-3.24,-9.16
-22960,24910,-3.35,-9.43
-23040,24990,-2.94,-9.34
-23110,25060,-2.91,-9.61
-23190,25140,-2.76,-9.89
-23890,25840,-2.8,-9.92
-24590,26540,-2.95,-10.17
-25290,27240,-2.96,-10.06
-25990,27940,-3.25,-10.01
-26690,28640,-2.84,-10.25
-27380,29330,-2.94,-10.3
-28080,30030,-3.07,-10.19
-28780,30730,-2.86,-9.97
-29480,31430,-2.88,-9.73
-30180,32130,-2.88,-9.67
-30320,32270,-3.08,-10.07
-30460,32410,-2.87,-8.85
-30650,32600,-2.72,-9.11
-30750,32700,-2.72,-8.95
-30890,32840,-3.42,-9.4
-31030,32980,-3.62,-9.69
-31180,33130,-2.99,-9.19
-31320,33270,-3.14,-9.72
-31460,33410,-3.23,-9.6
-31600,33550,-3.15,-9.65
-31750,33700,-3.09,-9.09
-31890,33840,-2.93,-9.12
-32030,33980,-2.88,-9.2
-32070,34020,-2.58,-8.37
-32100,34050,-2.61,-8.67
-32140,34090,-2.59,-8.53
-32180,34130,-2.71,-8.89
-32220,34170,-3.1,-9.13
-32250,34200,-2.87,-9.31
-32290,34240,-2.96,-9.32
-32330,34280,-3.04,-8.74
-32370,34320,-2.95,-9.05
-32400,34350,-2.74,-9.15
-32440,34390,-2.78,-9.13
-32480,34430,-2.75,-9.3
-32510,34460,-2.74,-9.17
-32550,34500,-2.7,-8.78
-32590,34540,-2.95,-9.23
-32630,34580,-2.5,-8.66
-32660,34610,-2.73,-8.53
-32700,34650,-3.01,-9.31
-32740,34690,-2.78,-8.87
-32780,34730,-2.86,-9.28
-32810,34760,-2.81,-9.32
-32850,34800,-2.72,-9.11
-32860,34810,-2.99,-9.23
-32870,34820,-2.79,-8.93
-32880,34830,-2.83,-8.94
-32880,34830,-2.54,NA
-32890,34840,-2.69,-8.58
-32905,34855,-2.68,-8.8
-32915,34865,-3.01,-9.31
-32920,34870,-2.98,-9.22
-32940,34890,-3.25,-9.53
-32950,34900,-3.2,-9.68
-32960,34910,-3.18,-9.7
-32970,34920,-3.72,-11.06
-32980,34930,-3.61,-9.95
-32990,34940,-3.26,-10.17
-33005,34955,-3.36,-9.66
-33015,34965,-3.3,-9.35
-33030,34980,-3.75,-9.4
-33040,34990,-3.13,-9.28
-33050,35000,-3.4,-9.55
-33060,35010,-3.43,-9.65
-33070,35020,-3.21,-9.4
-33080,35030,-3.14,-9.29
-33100,35050,-3.33,-9.48
-33110,35060,-3.49,-10.11
-33120,35070,-3.45,-9.58
-33135,35085,-3.3,-9.18
-33150,35100,-3.33,-9.37
-33170,35120,-3.33,-9.63
-33180,35130,-3.28,-9.66
-33200,35150,-3.32,-9.2
-33210,35160,-3.85,-9.84
-33230,35180,-3.69,-9.51
-33240,35190,-3.53,-9.79
-33260,35210,-3.44,-9.63
-33270,35220,-3.49,-10
-33290,35240,-3.46,-9.86
-33300,35250,-3.56,-10.07
-33320,35270,-3.39,-9.33
-33330,35280,-3.54,-10.04
-33350,35300,-3.5,-9.36
-33360,35310,-3.53,-9.12
-33380,35330,-3.48,-9.32
-33400,35350,-3.46,-9.82
-33410,35360,-3.53,-9.87
-33430,35380,-3.45,-9.54
-33440,35390,-3.43,-9.55
-33460,35410,-3.57,-10.08
-33470,35420,-3.33,-9.94
-33490,35440,-3.38,-10.26
-33500,35450,-3.55,-9.53
-33520,35470,-3.68,-10.04
-33530,35480,-3.8,-10.26
-33550,35500,-3.54,-9.55
-33550,35500,-4.44,-11.74
-33560,35510,-3.52,-9.79
-33580,35530,-3.47,-9.76
-33590,35540,-3.65,-10.04
-33610,35560,-3.49,-9.8
-33630,35580,-3.46,-9.77
-33640,35590,-3.36,-9.82
-33660,35610,-2.89,-8.24
-33670,35620,-2.36,-8.38
-33690,35640,-3.07,-8.26
-33700,35650,-3.03,-8.28
-33720,35670,-2.87,-8.27
-33730,35680,-2.88,-8.89
-33750,35700,-3.07,-9.54
-33760,35710,-3.04,-9.25
-33780,35730,-2.96,-9.66
-33790,35740,-3.02,-9.04
-33810,35760,-2.99,-9.84
-33820,35770,-3.01,-9.97
-33840,35790,-3.02,-10.24
-33960,35910,-3.68,-11
-34320,36270,-3.27,-10.68
-35450,37400,-3.61,-10.82
-36260,38210,-3.54,-10.9
-37230,39180,-3.07,-10.41
-37470,39420,-3.46,-11.38
-37720,39670,-3.24,-10.17
-37960,39910,-3.21,-10.59
-38200,40150,-3.46,-10.53
-38450,40400,-3.7,-10.81
-38690,40640,-3.69,-10.78
-38940,40890,-3.69,-10.78
-39180,41130,-3.79,-10.81
-39420,41370,-3.71,-10.68
-39670,41620,-3.52,-9.78
-39910,41860,-3.52,-9.38
-40150,42100,-3.44,-10.09
-40400,42350,-3.59,-10.16
-40640,42590,-3.74,-9.53
-40880,42830,-3.9,-9.65
-41130,43080,-3.68,-10.46
-41370,43320,-3.48,-10.56
-41610,43560,-3.41,-10.11
-41860,43810,-3.25,-10.28
-42100,44050,-3.36,-10.45
-42350,44300,-3.46,-10.74
-42590,44540,-3.48,-10.76
-42830,44780,-3.53,-10.83
-43080,45030,-3.27,-10.22
-43320,45270,-3.08,-10.01
-43560,45510,-3.09,-9.81
-43750,45700,-2.64,-7.27
-43810,45760,-2.81,-8.88
-43840,45790,-2.81,-9.18
-43930,45880,-2.83,-9.16
-44010,45960,-2.81,-9.18
-44050,46000,-2.88,-9.1
-44100,46050,-2.93,-9.38
-44140,46090,-3.38,-8.3
-44190,46140,-3.03,-9.61
-44280,46230,-2.97,-8.88
-44360,46310,-2.95,-8.38
-44450,46400,-2.48,-7.49
-44510,46460,-2.54,-7.54
-44560,46510,-2.71,-7.63
-44620,46570,-2.69,-7.9
-44680,46630,-2.78,-7.71
-44740,46690,-3.28,-8.96
-44790,46740,-3.47,-9.4
-44850,46800,-3.4,-9.42
-44910,46860,-3.34,-8.63
-44960,46910,-3.67,-9.59
-45020,46970,-3.59,-9.46
-45080,47030,-3.58,-9.48
-45140,47090,-3.51,-9.41
-45200,47150,-3.32,-9.04
-45260,47210,-3.22,-8.89
-45320,47270,-3.29,-9.19
-45380,47330,-3.24,-8.79
-45440,47390,-3.37,-9.27
-45490,47440,-3.34,-9.29
-45550,47500,-3.36,-9.27
-45950,47900,-3.46,-9.49
-46350,48300,-3.43,-9.3
-46350,48300,-3.48,-9.38
-46400,48350,-3.46,-9.39
-46430,48380,-3.63,-9.64
-46450,48400,-3.59,-9.66
-46500,48450,-3.67,-9.91
-46530,48480,-3.45,-9.57
-46550,48500,-3.67,-10
-46590,48540,-3.75,-9.99
-46740,48690,-3.74,-9.96
-46890,48840,-3.68,-9.96
-46940,48890,-3.59,-9.09
-47200,49150,-3.5,-9.19
-47260,49210,-3.57,-9.45
-47310,49260,-4.09,-9.93
-47370,49320,-3.73,-9.84
-47420,49370,-3.73,-10.01
-47480,49430,-4.13,-10.47
-47530,49480,-4.07,-10.51
-47590,49540,NA,-9.58
-47640,49590,-4.17,-10.53
-47690,49640,-3.98,-10.57
-47750,49700,-3.47,-10.61
-47800,49750,-3.52,-10.4
-47860,49810,-3.56,-10.21
-47970,49920,-3.68,-9.14
-48020,49970,-3.24,-9.39
-48080,50030,-3.42,-9.38
-48130,50080,-3.02,-9.03
-48190,50140,-3.66,-9.45
-48240,50190,-3.34,-8.56
-48300,50250,-3.43,-9.31
-48350,50300,-3.34,-9.71
-48410,50360,-3.35,-8.98
-48460,50410,-3.71,-9.13
-48510,50460,-3.7,-9.47
-48570,50520,-3.81,-9.47
-48620,50570,-3.94,-9.58
-48680,50630,-3.55,-8.99
-48730,50680,-3.36,-9.36
-48790,50740,-3.84,-9.52
-48840,50790,-3.73,-9.85
-48900,50850,-3.92,-9.87
-48950,50900,-3.45,-8.87
-49010,50960,-3.74,-10.17
-49050,51000,-3.71,-10.45
-49120,51070,-3.77,-10.43
-49170,51120,-4.03,-10.44
-49220,51170,-3.94,-10.01
-49280,51230,-4.05,-9.77
-49330,51280,-3.54,-9.45
-49390,51340,-3.79,-9.54
-49440,51390,-3.98,-9.67
-49500,51450,-3.59,-9.49
-49550,51500,-3.84,-9.75
-49610,51560,-3.72,-9.37
-49660,51610,-3.57,-8.93
-49720,51670,-3.72,-9.2
-49770,51720,-3.63,-9.18
-49820,51770,-3.59,-9.04
-49880,51830,-4.06,-9.69
-49930,51880,-4.04,-9.53
-49990,51940,-3.88,-9.53
-50040,51990,-4,-9.6
-50100,52050,-4.17,-9.99
-50150,52100,-4.03,-9.53
-50210,52160,-4.28,-9.43
-50320,52270,-4.05,-9.47
-50350,52300,-3.83,-9.22
-50420,52370,-3.71,-8.68
-50480,52430,-4.29,-9.12
-50530,52480,-4,-8.84
-50590,52540,-4.11,-9.86
-50640,52590,-4.14,-9.66
-50700,52650,-4.28,-10.68
-50750,52700,-4.13,-10.4
-50810,52760,-4.8,-10.24
-50860,52810,-4.4,-9.9
-50920,52870,-4.48,-10.01
-50970,52920,-4.92,-10.58
-51030,52980,-4.27,-10.41
-51080,53030,-3.95,-9.65
-51140,53090,-4.43,-9.72
-51190,53140,-4.16,-9.58
-51240,53190,-4.04,-9.63
-51300,53250,-4.2,-10.06
-51350,53300,-4.21,-9.41
-51410,53360,-4.09,-9.28
-51460,53410,-4.39,-9.97
-51520,53470,-4.55,-9.76
-51570,53520,-5.11,-11.02
-51630,53580,-4.3,-10.93
-51680,53630,-4.47,-10.62
-51740,53690,-4.29,-11.41
-51790,53740,-4.18,-11.64
-51850,53800,-4.27,-10.76
-51900,53850,-4.66,-11.23
-51950,53900,-3.98,-10.39
-52010,53960,-4,-10.59
-52060,54010,-4.08,-10.75
-52120,54070,-3.68,-10.22
-52170,54120,-3.51,-10.08
-52230,54180,-5.27,-10.65
-52280,54230,-4.18,-10.04
-52340,54290,-4.25,-10.26
-52390,54340,-4.31,-9.71
-52450,54400,-4.86,-10.76
-52475,54425,-3.53,-9.6
-52500,54450,-3.28,-9.23
-52550,54500,-3.18,-9.29
-52610,54560,-3.16,-9.1
-52660,54610,-3.21,-9.06
-52720,54670,-3.23,-9.17
-52770,54720,-3.68,-10.1
-52830,54780,-3.29,-9.3
-52940,54890,-3.58,-10.7
-52990,54940,-3.18,-10.79
-53020,54970,-3.75,-10.35
-53050,55000,-3.7,-11.15
-53075,55025,-3.46,-9.85
-53100,55050,-3.24,-10.26
-53125,55075,-3.29,-9.54
-53150,55100,-3.3,-10.4
-53180,55130,-3.41,-9.43
-53210,55160,-3.22,-10.33
-53235,55185,-3.59,-9.74
-53290,55240,-3.91,-10.51
-53320,55270,-3.56,-10.57
-53345,55295,-3.58,-10.07
-53370,55320,-3.91,-11.1
-53400,55350,-3.55,-9.82
-53430,55380,-3.85,-10.43
-53455,55405,-3.6,-10.2
-53480,55430,-3.56,-10.57
-53510,55460,-3.46,-9.3
-53540,55490,-3.68,-10.75
-53590,55540,-3.8,-10.84
-53650,55600,-3.55,-10.1
-53700,55650,-3.6,-9.7
-53760,55710,-3.58,-9.54
-53810,55760,-3.54,-9.62
-53870,55820,-3.34,-9.67
-53920,55870,-3.23,-9.61
-53940,55890,-4.36,-10.62
-53965,55915,-3.7,-10.16
-53990,55940,-3.84,-10.33
-54010,55960,-3.59,-10.26
-54033,55983,-3.72,-10.1
-54050,56000,-3.76,-9.73
-54078,56028,-3.77,-10.22
-54100,56050,-3.71,-10.3
-54120,56070,-3.59,-10.14
-54145,56095,-4.41,-10.69
-54170,56120,-4.27,-10.54
-54190,56140,-4.17,-10.06
-54214,56164,-4.18,-9.76
-54237,56187,-3.88,-9.82
-54260,56210,-4,-10.1
-54280,56230,-3.95,-10.12
-54305,56255,-3.62,-9.89
-54328,56278,-3.58,-10.18
-54350,56300,-4.06,-10.28
-54373,56323,-3.61,-10.47
-54395,56345,-3.81,-10.12
-54418,56368,-3.57,-10.61
-54440,56390,-3.86,-9.37
-54460,56410,-3.55,-10.53
-54486,56436,-3.79,-9.77
-54509,56459,-3.69,-10.91
-54530,56480,-4.11,-9.85
-54554,56504,-3.99,-10.67
-54577,56527,-4.21,-10.05
-54600,56550,-4.08,-10.32
-54622,56572,-3.33,-9.19
-54644,56594,-3.28,-9.12
-54667,56617,-3.56,-10.44
-54690,56640,-3.58,-10.7
-54735,56685,-3.47,-9.55
-54758,56708,-3.2,-9.98
-54780,56730,-3.48,-10.74
-54803,56753,-3.36,-10.11
-54826,56776,-3.6,-10.49
-54848,56798,-3.35,-10.05
-54871,56821,-3.41,-10.14
-54893,56843,-3.38,-10.49
-54916,56866,-3.22,-10.41
-54939,56889,-3.45,-10.65
-54961,56911,-3.42,-10.49
-54984,56934,-3.39,-10.21
-55007,56957,-3.57,-10.59
-55029,56979,-3.22,-9.56
-55050,57000,-3.2,-9.66
-55075,57025,-3.39,-10.13
-55097,57047,-3.74,-10.63
-55120,57070,-3.49,-10.21
-55143,57093,-3.6,-10.55
-55165,57115,-3.79,-10.44
-55188,57138,-3.57,-10.69
-55210,57160,-3.63,-10.35
-55233,57183,-3.62,-10.28
-55256,57206,-3.16,-8.92
-55278,57228,-3.47,-9.48
-55301,57251,-3.71,-9.41
-55324,57274,-3.88,-9.74
-55346,57296,-4.04,-10.66
-55369,57319,-3.93,-10.48
-55392,57342,-3.86,-10.49
-55437,57387,-4.26,-10.33
-55459,57409,-4.52,-10.75
-55482,57432,-3.83,-10.67
-55505,57455,-4.54,-10.55
-55510,57460,-3.95,-11.02
-55527,57477,-3.8,-10.2
-55550,57500,-3.84,-10.6
-55570,57520,-4.09,-11.1
-55630,57580,-3.93,-10.42
-55680,57630,-3.84,-10.51
-55750,57700,-3.59,-10.9
-55800,57750,-3.56,-10.7
-55860,57810,-3.61,-11.3
-55920,57870,-3.75,-11.43
-55980,57930,-4.13,-11.24
-56040,57990,-4.05,-11.2
-56090,58040,-4.1,-11.33
-56150,58100,-3.94,-10.87
-56210,58160,-3.92,-11.03
-56270,58220,-4.15,-11.24
-56330,58280,-4.23,-11.32
-56390,58340,-4.21,-11.35
-56440,58390,-4.34,-11.38
-56500,58450,-4.13,-11.26
-56560,58510,-3.98,-11.11
-56620,58570,-3.85,-11.04
-56740,58690,-3.95,-10.75
-56800,58750,-3.68,-10.83
-56850,58800,-3.64,-10.8
-56910,58860,-3.71,-10.8
-56970,58920,-3.77,-11.06
-57030,58980,-3.89,-11.13
-57090,59040,-3.89,-11.03
-57150,59100,-3.82,-10.96
-57210,59160,-4.13,-11.29
-57260,59210,-4.03,-11.21
-57320,59270,-3.65,-10.45
-57380,59330,-3.54,-10.26
-57440,59390,-3.67,-10.47
-57500,59450,-3.53,-10.2
-57560,59510,-3.6,-9.94
-57610,59560,-3.62,-9.74
-57670,59620,-3.66,-10.03
-57730,59680,-3.79,-10.44
-57790,59740,-3.97,-10.68
-57850,59800,-4.07,-10.79
-57910,59860,-4.19,-11
-57970,59920,-4.15,-10.95
-58020,59970,-3.9,-10.92
-58080,60030,-3.85,-10.77
-58140,60090,-4.01,-11.01
-58200,60150,-3.98,-10.52
-58260,60210,-4.12,-11.26
-58320,60270,-4.22,-11.76
-58380,60330,-3.87,-11.34
-58430,60380,-3.46,-10.64
-58490,60440,-3.42,-10.6
-58550,60500,-3.52,-10.43
-58610,60560,-3.41,-10.31
-58670,60620,-3.41,-10.65
-58720,60670,-3.78,-10.93
-58730,60680,-3.6,-10.58
-58790,60740,-3.66,-10.71
-58850,60800,-3.77,-10.85
-59050,61000,-3.74,-10.73
-59370,61320,-3.8,-11.06
-59690,61640,-4.01,-11.08
-60010,61960,-3.89,-10.68
-60100,62050,-3.47,-10.42
-60330,62280,-3.56,-10.44
-60650,62600,-3.79,-10.6
-60970,62920,-3.51,-10.72
-61290,63240,-3.75,-10.92
-61610,63560,-3.56,-10.93
-61930,63880,-3.38,-10.15
-62250,64200,-3.52,-10.98
-62570,64520,-3.95,-10.65
-62750,64700,-3.24,-10.56
-62890,64840,-4.12,-10.7
-63350,65300,-3.24,-10.52
-63550,65500,-3.12,-10.52
-63950,65900,-3.19,-10.47
-64250,66200,-3.11,-10.42
-64550,66500,-2.97,-10.26
-64850,66800,-3.43,-10.73
-65150,67100,-3.17,-9.89
-65350,67300,-3.43,-10.09
-65650,67600,-3.41,-10.27
-65950,67900,-3.48,-10.17
-66250,68200,-3.45,-9.65
-66550,68500,-3.38,-10.25
-66850,68800,-3.46,-10.6
-67150,69100,-3.32,-10.43
-67450,69400,-3.45,-10.53
-67750,69700,-3.35,-10.62
-68050,70000,-3.39,-10.79
-68150,70100,-3.23,-10.83
-68250,70200,-3.68,-10.57
-68350,70300,-3.75,-10.44
-68450,70400,-3.86,-11.64
-68600,70550,-4.19,-11.63
-68750,70700,-4.12,-11.64
-68850,70800,-3.81,-11.36
-68950,70900,-3.78,-10.99
-69050,71000,-3.8,-11.11
-69150,71100,-3.56,-11.05
-69250,71200,-3.77,-10.94
-69350,71300,-4.25,-10.96
-69450,71400,-4.17,-11.37
-69550,71500,-3.98,-11.28
-69660,71610,-3.63,-10.56
-69690,71640,-3.23,-10.61
-69725,71675,-3.4,-10.68
-69760,71710,-3.51,-10.57
