age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),A (missing),age (BP),temperature (degC)
6920.1,165,8.542,34.763,0.136,0.128,221.967,2,6920.1,5.981
7054.1,169,6.922,34.612,0.216,0.201,197.054,2,7054.1,4.527
7243.8,175,6.768,34.443,0.295,0.285,220.803,2,7243.8,4.43
7363.4,179,8.491,33.521,0.851,0.742,214.122,2,7363.4,5.747
7534.2,185,6.574,34.636,0.198,0.226,187.044,2,7534.2,3.891
7644,189,7.559,34.487,0.31,0.331,216.111,2,7644,5.758
7811.7,195,8.896,33.825,0.673,0.554,227.248,2,7811.7,5.422
7925.4,199,7.994,34.459,0.172,0.161,221.985,2,7925.4,5.694
8032,203,7.44,33.483,1.033,0.95,215.562,2,8032,4.673
8177.5,209,9.341,32.795,1.135,1.025,225.976,2,8177.5,5.686
8257.8,213,9.436,32.97,1.146,0.925,227.829,2,8257.8,5.057
8296.4,215,12.233,31.349,1.979,1.615,248.065,3,8296.4,6.566
8365,219,7.581,34.487,0.161,0.124,191.709,2,8365,5.503
8462.3,225,15.419,30.715,1.281,1.014,289.259,3,8462.3,8.197
8523.4,229,6.135,34.175,0.341,0.368,227.946,3,8523.4,3.911
8593.8,234,10.75,31.969,1.855,1.544,251.018,2,8593.8,5.874
8661.7,239,6.166,34.264,0.422,0.436,223.093,2,8661.7,3.777
8674.7,240,9.351,32.951,0.909,0.843,275.731,2,8674.7,5.688
8751.9,246,11.03,33.49,0.756,0.677,219.174,2,8751.9,7.391
8789.1,249,6.519,33.265,1.572,1.415,235.498,2,8789.1,3.806
8863,255,15.777,33.255,0.262,0.279,277.3,3,8863,10.79
8911.8,259,5.876,34.091,0.659,0.704,206.268,2,8911.8,4.167
8960.5,263,7.979,32.41,1.849,1.568,238.572,3,8960.5,4.13
9033.4,269,9.266,33.908,0.565,0.601,223.417,2,9033.4,6.666
9081.8,273,14.627,32.07,1.142,0.981,302.567,3,9081.8,8.947
9142.7,278,5.68,33.919,0.647,0.669,205.531,2,9142.7,3.854
9154.9,279,7.098,34.238,0.416,0.422,216.259,3,9154.9,5.088
9217.4,284,9.937,32.787,1.369,1.163,260.895,2,9217.4,5.995
9282.1,289,7.433,33.288,0.627,0.676,245.795,3,9282.1,4.761
9369.3,295,13.218,30.534,2.786,2.208,257.298,2,9369.3,6.578
9431.5,299,7.788,33.296,0.348,0.381,268.974,2,9431.5,5.07
9514.4,304,9.531,32.585,2.403,2.059,234.395,3,9514.4,6.318
9585.9,308,13.566,30.475,2.701,2.14,269.723,2,9585.9,6.754
9604.1,309,7.815,33.201,0.859,0.788,229.578,2,9604.1,4.937
9718.1,315,12.732,32.498,1.071,0.998,298.95,2,9718.1,8.2
9798.2,319,13.531,31.7,0.273,0.291,297.49,2,9798.2,8.08
10021.3,329,8.223,32.272,1.953,1.705,250.766,2,NA,NA
10169.2,335,5.581,33.921,0.649,0.699,221.495,3,NA,NA
10280.6,339,6.754,33.149,1.132,1.079,240.937,2,NA,NA
10457.3,345,9.727,32.729,1.303,1.106,244.539,2,NA,NA
10584.4,349,5.083,33.809,1.013,0.939,233.796,2,NA,NA
10798.6,355,8.637,33.637,0.349,0.38,298.942,2,NA,NA
10961.9,359,7.478,33.957,0.143,0.165,240.211,2,NA,NA
11108.9,362,12.079,32.329,0.783,0.721,357.364,2,NA,NA
11255.9,365,12.237,29.485,3.318,2.635,247.671,2,NA,NA
11446.2,369,5.905,33.768,0.86,0.922,234.773,2,NA,NA
11636.1,373,14.078,30.417,2.179,1.727,330.061,2,NA,NA
11777.4,376,10.932,31.937,1.871,1.557,266.588,3,NA,NA
11918.6,379,8.12,33.195,0.566,0.611,271.307,2,NA,NA
NA,NA,10.706,31.063,1.988,1.478,207.542,2,NA,NA
NA,NA,9.218,32.609,1.916,1.28,186.243,2,NA,NA
NA,NA,10.657,30.439,3.497,2.708,256.331,4,NA,NA
NA,NA,13.16,30.476,1.921,1.55,289.788,4,NA,NA
NA,NA,8.207,32.96,0.978,0.921,235.401,3,NA,NA
NA,NA,12.727,31.619,0.93,0.772,259.892,2,NA,NA
NA,NA,16.764,32.316,0,0,249.043,3,NA,NA
NA,NA,12.359,32.383,0,0,203.158,5,NA,NA
NA,NA,7.949,33.858,0.167,0.128,178.873,5,NA,NA
NA,NA,13.21,32.501,0,0,256.071,4,NA,NA
NA,NA,22.097,32.847,0,0,328.887,4,NA,NA
NA,NA,16.988,32.662,0,0,281.148,4,NA,NA
NA,NA,17.001,31.339,0.882,0.698,297.015,5,NA,NA
NA,NA,9.309,31.207,1.105,0.998,275.178,4,NA,NA
NA,NA,0.129,31.208,10.121,8.007,80.416,4,NA,NA
NA,NA,7.686,33.319,1.825,1.489,217.208,4,NA,NA
NA,NA,10.072,29.678,2.321,1.814,282.527,3,NA,NA
NA,NA,2.08,31.633,7.53,6.038,110.552,4,NA,NA
NA,NA,2.613,31.102,8.204,6.603,118.467,2,NA,NA
NA,NA,6.141,31.306,5.566,4.348,166.023,5,NA,NA
NA,NA,13.669,32.61,0.382,0.303,320.712,5,NA,NA
NA,NA,10.318,33.709,0.461,0.435,216.229,2,NA,NA
NA,NA,12.395,32.729,0.592,0.536,249.505,4,NA,NA
NA,NA,12.193,34.224,0,0,267.164,4,NA,NA
NA,NA,13.776,30.205,1.138,0.912,280.061,4,NA,NA
NA,NA,12.636,31.662,0,0,260.753,5,NA,NA
NA,NA,20.382,32.421,0.478,0.378,313.009,4,NA,NA
NA,NA,13.969,31.218,0.506,0.4,294.696,5,NA,NA
NA,NA,17.557,32.114,0.05,0.039,303.383,5,NA,NA
NA,NA,14.753,30.731,1.656,1.31,289.269,5,NA,NA
NA,NA,9.995,34.826,0.054,0.119,221.459,5,NA,NA
NA,NA,10.553,33.496,0.405,0.326,211.651,5,NA,NA
NA,NA,14.656,30.594,2.076,1.646,282.127,5,NA,NA
NA,NA,10.091,33.738,1.559,1.221,210.982,5,NA,NA
NA,NA,14.334,30.367,2.386,1.889,287.288,4,NA,NA
NA,NA,12.393,29.623,3.16,2.509,324.696,5,NA,NA
NA,NA,11.339,33.02,0.952,0.754,237.217,3,NA,NA
NA,NA,8.93,33.738,0.538,0.443,242.731,4,NA,NA
NA,NA,11.454,31.501,2.148,1.696,285.434,4,NA,NA
NA,NA,13.434,31.533,1.627,1.292,254.636,5,NA,NA
NA,NA,10.263,34.93,0.079,0.059,227.536,4,NA,NA
NA,NA,8.875,33.993,0.126,0.097,202.133,5,NA,NA
NA,NA,16.416,33.683,0.087,0.065,298.028,5,NA,NA
NA,NA,6.248,34.875,0.161,0.153,161.046,5,NA,NA
NA,NA,15.497,33.256,0.426,0.343,262.308,5,NA,NA
NA,NA,11.028,34.872,0.008,0.008,259.063,5,NA,NA
NA,NA,10.065,31.744,2.657,2.322,226.474,5,NA,NA
NA,NA,10.553,31.793,1.07,0.823,244.241,4,NA,NA
NA,NA,15.763,31.063,2.079,1.648,291.498,5,NA,NA
NA,NA,10.268,33.539,0.796,0.701,300.958,5,NA,NA
NA,NA,12.461,32.474,0.882,0.701,237.538,4,NA,NA
NA,NA,10.219,34.952,0,0,240.545,4,NA,NA
NA,NA,12.996,33.085,0.751,0.668,256.192,5,NA,NA
NA,NA,7.589,34.088,1.688,1.263,195.597,5,NA,NA
NA,NA,8.915,34.859,0.084,0.063,201.912,4,NA,NA
NA,NA,17.75,32.69,0,0,300.91,4,NA,NA
NA,NA,8.151,34.696,0.085,0.066,199.76,5,NA,NA
NA,NA,11.038,33.126,0.952,0.755,229.24,5,NA,NA
NA,NA,11.303,33.399,0.462,0.443,218.673,4,NA,NA
NA,NA,6.961,34.691,0.211,0.188,171.954,4,NA,NA
NA,NA,5.841,32.917,2.587,2.011,152.905,5,NA,NA
NA,NA,8.32,34.725,0.055,0.113,197.457,5,NA,NA
NA,NA,5.832,34.21,1.164,1.057,169.41,4,NA,NA
NA,NA,6.251,34.236,1.124,0.897,162.23,5,NA,NA
NA,NA,8.501,34.79,0.142,0.172,207.792,5,NA,NA
NA,NA,11.124,33.743,0.204,0.182,217.664,4,NA,NA
NA,NA,6.574,34.1,1.253,1.007,186.864,5,NA,NA
NA,NA,14.621,31.052,1.234,0.978,275.011,5,NA,NA
NA,NA,11.184,32.893,2.021,1.584,222.012,5,NA,NA
NA,NA,6.15,33.875,1.929,1.652,168.536,5,NA,NA
NA,NA,9.37,32.603,2.204,1.815,211.636,4,NA,NA
NA,NA,13.339,33.023,0,0,304.849,2,NA,NA
NA,NA,11.931,34.49,0,0,267.613,2,NA,NA
NA,NA,13.421,31.561,1.589,1.259,253.31,5,NA,NA
NA,NA,1.725,32.115,7.459,5.842,115.16,3,NA,NA
NA,NA,8.413,33.829,0.709,0.612,191.498,2,NA,NA
NA,NA,5.479,32.335,4.492,3.6,159.082,4,NA,NA
NA,NA,9.614,32.991,1.213,1.082,219.942,4,NA,NA
NA,NA,9.697,33.949,0.439,0.443,211.799,3,NA,NA
NA,NA,7.42,33.239,2.157,1.848,185.35,3,NA,NA
NA,NA,12.08,31.541,2.097,1.744,241.866,2,NA,NA
NA,NA,8.657,33.702,0.682,0.69,204.387,2,NA,NA
NA,NA,10.882,34.83,0.053,0.117,241.678,2,NA,NA
NA,NA,12.885,33.21,0,0,275.034,2,NA,NA
NA,NA,13.242,33.902,0.049,0.109,282.175,2,NA,NA
NA,NA,12.46,34.715,0,0,282.911,2,NA,NA
NA,NA,13.704,35.236,0,0,288.519,2,NA,NA
NA,NA,11.86,35.053,0,0,268.746,4,NA,NA
NA,NA,11.795,35.061,0,0,262.98,2,NA,NA
NA,NA,10.542,34.918,0,0,253.347,3,NA,NA
NA,NA,12.079,35.077,0,0,271.008,2,NA,NA
NA,NA,12.148,34.623,0,0,274.479,2,NA,NA
NA,NA,11.659,34.97,0,0,273.654,2,NA,NA
NA,NA,14.189,32.44,0.044,0.034,313.441,2,NA,NA
NA,NA,15.222,34.954,0,0,280.932,2,NA,NA
NA,NA,12.537,34.106,0,0,288.142,2,NA,NA
NA,NA,12.923,34.254,0,0,280.301,2,NA,NA
NA,NA,9.643,34.433,0.063,0.1,238.439,5,NA,NA
NA,NA,15.155,31.963,0.428,0.339,305.245,2,NA,NA
NA,NA,13.253,34.701,0,0,290.82,2,NA,NA
NA,NA,12.432,34.263,0,0,287.296,3,NA,NA
NA,NA,11.917,35.021,0,0,273.494,3,NA,NA
NA,NA,14.272,34.758,0,0,287.626,2,NA,NA
NA,NA,13.262,34.456,0,0,286.149,2,NA,NA
NA,NA,14.202,33.846,0,0,270.73,2,NA,NA
NA,NA,10.156,33.836,0.062,0.098,244.479,3,NA,NA
NA,NA,13.637,33.239,0,0,272.167,2,NA,NA
NA,NA,11.566,34.668,0.004,0.009,257.319,2,NA,NA
NA,NA,14.288,34.777,0,0,297.037,2,NA,NA
NA,NA,12.687,35.156,0,0,290.38,2,NA,NA
NA,NA,10.108,34.132,1.656,1.336,223.707,2,NA,NA
NA,NA,12.874,34.703,0,0,277.363,3,NA,NA
NA,NA,14.283,33.23,0.049,0.038,297.915,3,NA,NA
NA,NA,13.696,33.282,0,0,279.279,3,NA,NA
NA,NA,14.101,32.685,0.06,0.046,313.563,2,NA,NA
NA,NA,15.135,32.039,0.876,0.693,286.113,3,NA,NA
NA,NA,14.353,30.623,1.787,1.414,286.238,2,NA,NA
NA,NA,15.449,31.725,0.217,0.17,313.005,2,NA,NA
NA,NA,13.201,33.32,0,0,268.485,3,NA,NA
NA,NA,15.754,31.325,0.914,0.723,283.162,4,NA,NA
NA,NA,15.301,32.668,0.426,0.338,293.859,5,NA,NA
NA,NA,9.807,34.908,0.045,0.1,206.12,4,NA,NA
NA,NA,10.989,33.318,0.137,0.107,245.473,2,NA,NA
NA,NA,12.842,31.605,1.431,1.178,252.02,3,NA,NA
NA,NA,14.399,31.922,0.644,0.509,272.109,5,NA,NA
NA,NA,7.289,34.597,0.186,0.283,193.527,4,NA,NA
NA,NA,13.654,32.972,0.527,0.463,239.71,3,NA,NA
NA,NA,11.667,32.131,1.662,1.324,251.312,5,NA,NA
NA,NA,19.215,32.283,0,0,314.852,3,NA,NA
NA,NA,9.58,34.258,0.07,0.154,238.524,4,NA,NA
NA,NA,9.747,33.337,0.758,0.672,235.036,4,NA,NA
NA,NA,8.111,34.271,0.681,0.604,233.592,4,NA,NA
NA,NA,5.451,33.355,3.444,2.697,152.015,5,NA,NA
NA,NA,9.276,34.83,0.016,0.012,223.248,4,NA,NA
NA,NA,9.577,34.827,0,0,232.173,4,NA,NA
NA,NA,6.227,33.284,3.526,2.724,165.477,4,NA,NA
NA,NA,6.397,34.428,0.804,0.764,201.104,4,NA,NA
NA,NA,7.468,34.771,0.099,0.161,187.419,5,NA,NA
NA,NA,8.91,34.719,0,0,225.058,4,NA,NA
NA,NA,10.55,34.874,0,0,248.364,2,NA,NA
NA,NA,10.502,34.831,0,0,259.487,2,NA,NA
NA,NA,9.037,34.475,0.075,0.119,215.11,2,NA,NA
NA,NA,5.953,34.21,0.876,0.832,207.083,2,NA,NA
NA,NA,13.446,31.761,1.296,1.029,249.952,2,NA,NA
NA,NA,7.014,34.614,0.182,0.171,189.293,2,NA,NA
NA,NA,6.271,34.701,0.479,0.406,157.922,2,NA,NA
NA,NA,6.611,34.394,0.287,0.246,177.724,4,NA,NA
NA,NA,7.065,34.778,0.138,0.143,173.589,4,NA,NA
NA,NA,9.025,34.843,0.046,0.102,201.119,3,NA,NA
NA,NA,8.77,34.872,0.04,0.089,198.503,2,NA,NA
