depth (cm),age (BP),OM (percent),MS (10-5)
369,10220,17.39,NA
370,10232.6,6.32,4.38
371,10245.2,6.02,NA
372,10257.8,6.12,4.23
373,10270.4,6.06,NA
374,10283,5.94,3.94
375,10295.6,5.86,NA
376,10308.2,6.31,4.82
377,10320.8,6.33,NA
378,10333.4,6.54,5.84
379,10346,6.29,NA
380,10358.6,6.13,7.88
381,10371.2,6.25,NA
382,10383.8,6.44,8.91
383,10396.4,6.13,NA
384,10409,6.45,8.91
385,10421.6,6.81,NA
386,10434.2,6.14,8.47
387,10446.8,5.14,NA
388,10459.4,3.81,8.76
389,10472,1.64,NA
390,10484.6,1.38,9.05
391,10497.2,1.27,NA
392,10509.8,1.32,8.47
393,10522.4,1.29,NA
394,10535,1.25,7.45
395,10547.6,1.34,NA
396,10560.2,1.3,7.45
397,10572.8,1.3,NA
398,10585.4,1.27,11.68
399,10598,1.43,NA
400,10610.6,1.49,12.99
401,10623.2,1.5,NA
402,10635.8,1.9,14.16
403,10648.4,1.55,NA
404,10661,1.38,16.94
405,10673.6,1.54,NA
406,10686.2,1.68,19.42
407,10698.8,1.48,NA
408,10711.4,1.3,21.32
409,10724,1.19,NA
410,10736.6,1.28,22.48
411,10749.2,2.04,NA
