year (AD),age (BP),depth (cm),Water0x2DtableDepth0x28cm0x29 (cm),err (cm)
41.9,1908.1,155.5,18.636,8.027
5.4,1944.6,157.5,11.275,8.131
-31.55,1981.55,159.5,16.299,8.022
-49.85,1999.85,160.5,1.324,8.004
-107.4,2057.4,163.5,5.589,7.995
-144.15,2094.15,165.5,5.059,8.005
-177.15,2127.15,167.5,3.444,8.003
-213.3,2163.3,169.5,8.997,8.042
-229.3,2179.3,170.5,12.028,8.045
-258.35,2208.35,172.5,8.595,8.003
-306.4,2256.4,175.5,10.973,8
-334.6,2284.6,177.5,1.826,8.009
-360.6,2310.6,179.5,3.926,8.054
-374.05,2324.05,180.5,14.88,8.013
-413.45,2363.45,183.5,24.386,8.102
-439.5,2389.5,185.5,13.803,8.01
-469.15,2419.15,187.5,20.099,7.988
-497.95,2447.95,189.5,16.202,8.008
-580.7,2530.7,195.5,20.413,8.048
-594.15,2544.15,196.5,13.752,8.002
-621.85,2571.85,198.5,15.581,8.004
-649.55,2599.55,200.5,6.515,7.999
-676,2626,202.5,10.163,7.994
-703.85,2653.85,204.5,17.517,8.018
-730.4,2680.4,206.5,11.275,8.01
-758.5,2708.5,208.5,9.063,8.007
-786.15,2736.15,210.5,4.498,8.037
-809.3,2759.3,212.5,4.719,8.05
-834.3,2784.3,214.5,6.492,8.062
-848.1,2798.1,215.5,12.167,8.117
-896.7,2846.7,218.5,-0.93,8.015
-929.3,2879.3,220.5,3.841,8.019
-968.95,2918.95,222.5,6.21,8.032
-1044.25,2994.25,226.5,10.514,8.097
-1082.7,3032.7,228.5,9.32,8.081
-1120.3,3070.3,230.5,12.304,8.133
-1162.95,3112.95,232.5,2.362,8.053
-1203.35,3153.35,234.5,8.902,8.084
-1243.55,3193.55,236.5,9.456,8.104
-1284.55,3234.55,238.5,2.899,8.078
-1323.5,3273.5,240.5,8.56,8.047
-1362,3312,242.5,7.566,8.042
-1400.85,3350.85,244.5,2.976,8.028
-1439.5,3389.5,246.5,-2.624,8.085
-1479.5,3429.5,248.5,4.089,8.052
-1519.4,3469.4,250.5,-0.687,8.085
-1561,3511,252.5,5.05,8.046
-1602.7,3552.7,254.5,3.537,8.036
-1643.45,3593.45,256.5,5.95,8.026
-1684.35,3634.35,258.5,11.07,8.039
-1724.4,3674.4,260.5,-1.079,8.074
-1764.85,3714.85,262.5,-3.48,8.117
-1845.1,3795.1,266.5,0.977,8.016
-1883.75,3833.75,268.5,-0.397,8.055
-1920.25,3870.25,270.5,7.698,8.065
-1954.8,3904.8,272.5,4.132,8.051
-1991.9,3941.9,274.5,12.696,8.007
-2010.45,3960.45,275.5,8.807,8.003
-2048.85,3998.85,277.5,26.957,8.006
-2070.65,4020.65,278.5,34.593,8.15
-2094.1,4044.1,279.5,39.378,8.361
-2119.75,4069.75,280.5,31.686,8.045
-2147.5,4097.5,281.5,3.649,8.009
-2173.8,4123.8,282.5,-2.518,8.03
-2197.3,4147.3,283.5,1.419,8.008
-2219.2,4169.2,284.5,5.033,7.998
-2268.7,4218.7,286.5,-1.991,8.056
-2318.6,4268.6,288.5,7.137,7.996
-2342.6,4292.6,289.5,7.591,8.009
-2367.35,4317.35,290.5,10.617,7.994
-2393.6,4343.6,291.5,8.671,7.996
-2419.9,4369.9,292.5,12.716,7.996
-2445.85,4395.85,293.5,9.601,8.004
-2471.35,4421.35,294.5,9.299,8.007
-2523.4,4473.4,296.5,17.646,7.993
-2550.05,4500.05,297.5,10.111,7.997
-2577.8,4527.8,298.5,7.623,8.002
-2605.75,4555.75,299.5,7.53,7.997
-2631.7,4581.7,300.5,9.958,8.061
-2656.3,4606.3,301.5,7.205,8.017
-2681.4,4631.4,302.5,8.617,8.003
-2707.8,4657.8,303.5,9.297,8.002
-2756.95,4706.95,305.5,7.456,8.001
-2799.55,4749.55,307.5,7.587,8.008
-2822,4772,308.5,17.666,7.992
-2844.15,4794.15,309.5,14.304,7.995
-2864.65,4814.65,310.5,4.121,8.009
-2885.55,4835.55,311.5,4.064,8.007
-2907.45,4857.45,312.5,9.837,8.013
-2928.85,4878.85,313.5,12.335,8.005
-2948.5,4898.5,314.5,6.579,8.006
-2988,4938,316.5,10.928,8.001
-3007.75,4957.75,317.5,3.702,8.007
-3027.35,4977.35,318.5,-2.286,8.049
-3046.9,4996.9,319.5,-2.083,8.034
-3066.3,5016.3,320.5,-0.259,8.025
-3085.35,5035.35,321.5,1.437,8.012
-3105.5,5055.5,322.5,4.754,8.002
-3126.6,5076.6,323.5,4.868,8.002
-3147.15,5097.15,324.5,6.231,8.016
-3187,5137,326.5,10.033,8.062
-3208.2,5158.2,327.5,12.21,8.061
