year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-4177.5,6127.5,6113.036,20.047,0.721,271.096
-4212.5,6162.5,6148.61,19.888,0.715,274.006
-4247.5,6197.5,6184.182,19.959,0.718,276.57
-4282.5,6232.5,6219.753,19.769,0.711,278.796
-4317.5,6267.5,6255.322,19.844,0.714,280.693
-4352.5,6302.5,6290.89,19.944,0.717,282.268
-4387.5,6337.5,6326.456,19.832,0.713,283.525
-4422.5,6372.5,6362.02,19.849,0.714,284.469
-4460,6410,6397.583,19.795,0.712,285.103
-4500,6450,6433.145,19.743,0.71,285.429
-4537.5,6487.5,6468.705,19.893,0.715,285.448
-4572.5,6522.5,6504.263,19.893,0.715,285.159
-4607.5,6557.5,6539.82,19.859,0.714,284.562
-4642.5,6592.5,6575.375,19.801,0.712,283.656
-4677.5,6627.5,6610.929,19.958,0.718,282.436
-4712.5,6662.5,6646.482,19.883,0.715,280.898
-4747.5,6697.5,6682.032,19.913,0.716,279.038
-4782.5,6732.5,6717.581,19.778,0.711,276.848
-4817.5,6767.5,6753.129,19.781,0.712,274.32
-4852.5,6802.5,6788.674,19.767,0.711,271.446
-4887.5,6837.5,6824.218,19.835,0.713,268.213
-4922.5,6872.5,6859.761,19.445,0.7,264.609
-4957.5,6907.5,6895.301,19.735,0.71,260.617
-4992.5,6942.5,6930.839,19.788,0.712,256.22
-5027.5,6977.5,6966.375,19.871,0.715,251.395
-5062.5,7012.5,7001.909,19.792,0.712,246.118
-5097.5,7047.5,7037.44,19.76,0.711,240.358
-5132.5,7082.5,7072.969,19.811,0.713,234.078
-5167.5,7117.5,7108.495,19.691,0.709,227.237
-5202.5,7152.5,7144.018,19.542,0.703,219.779
-5237.5,7187.5,7179.537,19.587,0.705,211.639
-5272.5,7222.5,7215.053,19.72,0.709,202.734
-5307.5,7257.5,7250.564,19.698,0.709,192.956
-5342.5,7292.5,7286.07,19.714,0.709,182.161
-5377.5,7327.5,7321.569,19.777,0.711,170.151
-5412.5,7362.5,7357.06,19.754,0.711,156.639
-5447.5,7397.5,7392.541,19.733,0.71,141.179
-5482.5,7432.5,7428.006,19.776,0.711,122.999
-5517.5,7467.5,7463.444,19.836,0.713,100.495
-5552.5,7502.5,7498.761,19.776,0.711,68.104
-5577.5,7527.5,7523.808,19.791,0.712,57.657
-5592.5,7542.5,7538.647,19.1,0.688,73.507
-5607.5,7557.5,7553.434,19.766,0.711,85.187
-5622.5,7572.5,7568.209,19.792,0.712,94.617
-5635,7585,7582.977,19.807,0.712,102.47
-5645,7595,7597.739,19.808,0.712,109.105
-5657.5,7607.5,7612.498,19.667,0.708,114.746
-5672.5,7622.5,7627.254,19.785,0.712,119.538
-5687.5,7637.5,7642.007,19.806,0.712,123.585
-5702.5,7652.5,7656.757,19.766,0.711,126.959
-5717.5,7667.5,7671.505,19.788,0.712,129.717
-5732.5,7682.5,7686.251,19.727,0.71,131.898
-5747.5,7697.5,7700.995,19.804,0.712,133.532
-5762.5,7712.5,7715.738,19.708,0.709,134.64
-5776.67,7726.67,7730.478,19.782,0.712,135.236
-5790,7740,7745.217,19.204,0.692,135.328
-5803.33,7753.33,7759.954,19.227,0.693,134.918
-5816.67,7766.67,7774.689,19.586,0.705,134.002
-5830,7780,7789.422,19.476,0.701,132.569
-5843.33,7793.33,7804.153,19.986,0.719,130.605
-5857.5,7807.5,7818.882,19.647,0.707,128.086
-5872.5,7822.5,7833.609,19.722,0.71,124.978
-5887.5,7837.5,7848.334,19.895,0.715,121.237
-5902.5,7852.5,7863.056,19.969,0.718,116.803
-5915,7865,7877.774,19.986,0.719,111.595
-5925,7875,7892.489,19.703,0.709,105.5
-5937.5,7887.5,7907.198,20.047,0.721,98.352
-5952.5,7902.5,7921.901,19.606,0.706,89.901
-5967.5,7917.5,7936.591,19.172,0.691,79.734
-5982.5,7932.5,7951.23,19.425,0.699,67.111
-6005,7955,7974.648,19.676,0.708,74.802
-6035,7985,8006.748,19.846,0.714,99.797
-6067.5,8017.5,8038.678,19.806,0.712,118.114
-6102.5,8052.5,8070.57,19.999,0.719,132.792
-6130,8080,8102.438,19.967,0.718,144.98
-6150,8100,8134.289,19.905,0.716,155.278
-6170,8120,8166.128,20.043,0.72,164.046
-6210,8160,8197.956,19.84,0.714,171.519
-6255,8205,8229.775,20.056,0.721,177.861
-6285,8235,8261.587,20.039,0.72,183.189
-6317.5,8267.5,8293.39,20.059,0.721,187.589
-6352.5,8302.5,8325.188,20.061,0.721,191.123
-6385,8335,8356.979,20.135,0.724,193.839
-6415,8365,8388.763,20.104,0.723,195.768
-6445,8395,8420.542,20.17,0.725,196.934
-6475,8425,8452.315,19.708,0.709,197.347
-6505,8455,8484.082,19.868,0.715,197.011
-6535,8485,8515.843,19.858,0.714,195.92
-6567.5,8517.5,8547.599,19.453,0.7,194.061
-6602.5,8552.5,8579.347,19.835,0.713,191.407
-6635,8585,8611.089,19.919,0.716,187.922
-6665,8615,8642.824,20.061,0.721,183.557
-6695,8645,8674.551,20.018,0.72,178.24
-6725,8675,8706.269,20.079,0.722,171.88
-6755,8705,8737.976,20.213,0.726,164.344
-6785,8735,8769.67,20.281,0.729,155.45
-6817.5,8767.5,8801.348,20.176,0.725,144.927
-6852.5,8802.5,8833.003,20.126,0.723,132.341
-6885,8835,8864.618,20.068,0.721,116.916
-6915,8865,8896.065,20.106,0.723,96.317
-6932.5,8882.5,8916.941,20.05,0.721,88.431
-6937.5,8887.5,8927.429,20.131,0.723,95.616
-6942.5,8892.5,8937.962,20.096,0.722,101.194
-6947.5,8897.5,8948.506,19.999,0.719,105.947
-6949,8899,8959.057,20.018,0.72,110.047
-6950,8900,8969.611,19.955,0.717,113.593
-6952.5,8902.5,8980.169,19.85,0.714,116.651
-6957.5,8907.5,8990.73,20.026,0.72,119.268
-6962.5,8912.5,9001.294,19.993,0.719,121.48
-6967.5,8917.5,9011.859,19.956,0.718,123.312
-6972.5,8922.5,9022.427,20.029,0.72,124.786
-6977.5,8927.5,9032.996,20.121,0.723,125.916
-6982.5,8932.5,9043.567,20.121,0.723,126.715
-6987.5,8937.5,9054.14,20.083,0.722,127.192
-6989,8939,9064.714,19.944,0.717,127.35
-6990,8940,9075.29,19.879,0.715,127.193
-6992.5,8942.5,9085.867,19.901,0.716,126.721
-6997.5,8947.5,9096.446,19.963,0.718,125.932
-7002.5,8952.5,9107.027,19.957,0.718,124.821
-7007.5,8957.5,9117.609,19.832,0.713,123.38
-7012.5,8962.5,9128.194,19.813,0.713,121.598
-7017.5,8967.5,9138.78,19.992,0.719,119.46
-7022.5,8972.5,9149.368,20.107,0.723,116.949
-7027.5,8977.5,9159.959,20.066,0.721,114.038
-7029,8979,9170.553,19.968,0.718,110.697
-7030,8980,9181.15,20.053,0.721,106.885
-7032.5,8982.5,9191.751,20.082,0.722,102.547
-7037.5,8987.5,9202.359,20.148,0.724,97.607
-7042.5,8992.5,9212.977,20.104,0.723,91.953
-7047.5,8997.5,9223.641,20.172,0.725,85.272
-7052.5,9002.5,9234.923,20.165,0.725,85.22
-7057.5,9007.5,9246.69,19.942,0.717,92.051
-7065,9015,9258.348,19.947,0.717,98.092
-7075,9025,9269.98,20.111,0.723,103.371
-7082.5,9032.5,9281.597,20.133,0.724,107.982
-7087.5,9037.5,9293.203,20.034,0.72,112.002
-7095,9045,9304.801,20.081,0.722,115.487
-7105,9055,9316.393,20.066,0.721,118.483
-7112.5,9062.5,9327.978,20.115,0.723,121.022
-7117.5,9067.5,9339.558,20.094,0.722,123.131
-7123.75,9073.75,9351.133,20.135,0.724,124.83
-7131.25,9081.25,9362.704,20.139,0.724,126.134
-7138.75,9088.75,9374.271,19.893,0.715,127.053
-7146.25,9096.25,9385.834,20.006,0.719,127.596
-7152.5,9102.5,9397.394,20.118,0.723,127.765
-7157.5,9107.5,9408.949,20.193,0.726,127.56
-7165,9115,9420.5,20.088,0.722,126.978
-7175,9125,9432.048,20.16,0.724,126.012
-7182.5,9132.5,9443.592,20.078,0.722,124.652
-7187.5,9137.5,9455.132,20.04,0.72,122.883
-7192.5,9142.5,9466.667,20.192,0.726,120.685
-7197.5,9147.5,9478.197,20.142,0.724,118.031
-7205,9155,9489.723,20.357,0.731,114.887
-7215,9165,9501.242,20.243,0.727,111.207
-7222.5,9172.5,9512.755,20.246,0.727,106.931
-7227.5,9177.5,9524.259,20.061,0.721,101.975
-7235,9185,9535.753,20.408,0.733,96.223
-7245,9195,9547.231,19.984,0.718,89.496
-7252.5,9202.5,9558.684,20.181,0.725,81.498
-7257.5,9207.5,9570.028,20.252,0.728,71.336
-7262.5,9212.5,9580.058,19.531,0.703,70.293
-7267.5,9217.5,9588.843,19.73,0.71,78.781
-7275,9225,9597.598,19.413,0.699,85.771
-7285,9235,9606.346,19.694,0.709,91.935
-7292.5,9242.5,9615.09,19.782,0.712,97.469
-7297.5,9247.5,9623.831,19.836,0.713,102.49
-7305,9255,9632.57,20.05,0.721,107.079
-7315,9265,9641.308,20.248,0.727,111.296
-7322.5,9272.5,9650.044,20.197,0.726,115.183
-7327.5,9277.5,9658.78,20.168,0.725,118.777
-7332.5,9282.5,9667.514,20.128,0.723,122.104
-7337.5,9287.5,9676.248,20.227,0.727,125.187
-7345,9295,9684.98,20.235,0.727,128.045
-7355,9305,9693.712,20.249,0.727,130.693
-7363.75,9313.75,9702.444,20.084,0.722,133.145
-7371.25,9321.25,9711.174,20.327,0.73,135.412
-7378.75,9328.75,9719.905,20.291,0.729,137.503
-7386.25,9336.25,9728.634,20.394,0.732,139.427
-7392.5,9342.5,9737.363,20.321,0.73,141.191
-7397.5,9347.5,9746.092,20.259,0.728,142.801
-7402.5,9352.5,9754.82,19.918,0.716,144.263
-7407.5,9357.5,9763.548,20.254,0.728,145.581
-7415,9365,9772.275,20.255,0.728,146.759
-7425,9375,9781.002,20.243,0.727,147.802
-7432.5,9382.5,9789.729,20.204,0.726,148.711
-7437.5,9387.5,9798.455,20.249,0.727,149.491
-7445,9395,9807.181,20.249,0.727,150.142
-7455,9405,9815.906,20.283,0.729,150.667
-7462.5,9412.5,9824.631,20.288,0.729,151.066
-7467.5,9417.5,9833.356,20.304,0.729,151.343
-7477.5,9427.5,9842.08,20.085,0.722,151.496
-7492.5,9442.5,9850.804,19.731,0.71,151.526
-7510,9460,9859.527,19.864,0.714,151.435
-7530,9480,9868.251,20.189,0.725,151.221
-7547.5,9497.5,9876.973,20.056,0.721,150.884
-7562.5,9512.5,9885.696,20.322,0.73,150.424
-7580,9530,9894.418,20.297,0.729,149.839
-7600,9550,9903.139,20.277,0.728,149.128
-7617.5,9567.5,9911.86,20.301,0.729,148.289
-7632.5,9582.5,9920.581,20.274,0.728,147.321
-7647.5,9597.5,9929.301,20.176,0.725,146.22
-7662.5,9612.5,9938.021,20.296,0.729,144.984
