year (AD) [1-1],age (BP) [1-1],red_color_intensity_units (missing) [1-1],year (AD) [2-1],age (BP) [2-1],ENSO_events (missing) [2-1]
1885.56,64.44,58,-6750,8700,1
1884.92,65.08,69,-6850,8800,1
1884.3,65.7,71,-6950,8900,2
1883.7,66.3,75,-7050,9000,0
1883.14,66.86,79,-7150,9100,0
1882.55,67.45,76,-7250,9200,0
1882.01,67.99,82,-7350,9300,0
1881.45,68.55,81,-7450,9400,0
1880.9,69.1,80,-7550,9500,0
1880.33,69.67,79,-7650,9600,1
1879.78,70.22,81,-7750,9700,0
1879.23,70.77,81,-7850,9800,0
1878.68,71.32,82,-7950,9900,0
1878.13,71.87,81,-8050,10000,2
1877.57,72.43,80,-8150,10100,3
1877.02,72.98,81,-8250,10200,1
1876.48,73.52,84,-8350,10300,2
1875.95,74.05,83,-8450,10400,3
1875.41,74.59,83,-8550,10500,2
1874.85,75.15,80,-8650,10600,0
1874.33,75.67,86,-8750,10700,0
1873.82,76.18,88,-8850,10800,0
1873.29,76.71,85,-8950,10900,0
1872.79,77.21,88,-9050,11000,0
1872.3,77.7,91,-9150,11100,0
1871.81,78.19,91,-9250,11200,0
1871.29,78.71,87,-9350,11300,0
1870.75,79.25,83,-9450,11400,0
1870.21,79.79,82,-9550,11500,0
1869.69,80.31,87,-9650,11600,0
1869.19,80.81,89,-9750,11700,0
1868.73,81.27,95,-9850,11800,0
1868.28,81.72,98,-9950,11900,0
1867.8,82.2,93,-10050,12000,0
1867.32,82.68,93,-10150,12100,0
1866.84,83.16,93,-10250,12200,0
1866.39,83.61,97,-10350,12300,0
1865.92,84.08,96,-10450,12400,0
1865.46,84.54,96,-10550,12500,0
1864.97,85.03,91,-10650,12600,0
1864.43,85.57,82,-10750,12700,0
1863.85,86.15,77,-10850,12800,0
1863.28,86.72,78,-10950,12900,0
1862.7,87.3,77,-11050,13000,0
1862.09,87.91,73,-11150,13100,0
1861.49,88.51,74,-11253,13203,0
1860.88,89.12,73,-11350,13300,0
1860.25,89.75,70,-11450,13400,0
1859.64,90.36,72,-11550,13500,0
1859,91,69,-11650,13600,0
1858.35,91.65,68,NA,NA,NA
1857.7,92.3,67,NA,NA,NA
1857.05,92.95,67,NA,NA,NA
1856.4,93.6,68,NA,NA,NA
1855.73,94.27,65,NA,NA,NA
1855.07,94.93,65,NA,NA,NA
1854.4,95.6,65,NA,NA,NA
1853.77,96.23,70,NA,NA,NA
1853.12,96.88,68,NA,NA,NA
1852.46,97.54,66,NA,NA,NA
1851.81,98.19,67,NA,NA,NA
1851.17,98.83,69,NA,NA,NA
1850.55,99.45,71,NA,NA,NA
1849.93,100.07,71,NA,NA,NA
1849.32,100.68,73,NA,NA,NA
1848.7,101.3,71,NA,NA,NA
1848.07,101.93,71,NA,NA,NA
1847.46,102.54,72,NA,NA,NA
1846.84,103.16,71,NA,NA,NA
1846.22,103.78,72,NA,NA,NA
1845.61,104.39,72,NA,NA,NA
1844.96,105.04,68,NA,NA,NA
1844.31,105.69,67,NA,NA,NA
1843.66,106.34,68,NA,NA,NA
1843.02,106.98,68,NA,NA,NA
1842.38,107.62,69,NA,NA,NA
1841.74,108.26,69,NA,NA,NA
1841.11,108.89,70,NA,NA,NA
1840.5,109.5,72,NA,NA,NA
1839.88,110.12,72,NA,NA,NA
1839.27,110.73,72,NA,NA,NA
1838.65,111.35,72,NA,NA,NA
1838.03,111.97,71,NA,NA,NA
1837.42,112.58,72,NA,NA,NA
1836.78,113.22,69,NA,NA,NA
1836.15,113.85,70,NA,NA,NA
1835.54,114.46,73,NA,NA,NA
1834.93,115.07,72,NA,NA,NA
1834.33,115.67,74,NA,NA,NA
1833.7,116.3,71,NA,NA,NA
1833.09,116.91,72,NA,NA,NA
1832.49,117.51,74,NA,NA,NA
1831.88,118.12,73,NA,NA,NA
1831.25,118.75,70,NA,NA,NA
1830.61,119.39,69,NA,NA,NA
1830.01,119.99,73,NA,NA,NA
1829.39,120.61,72,NA,NA,NA
1828.76,121.24,70,NA,NA,NA
1828.12,121.88,69,NA,NA,NA
1827.47,122.53,67,NA,NA,NA
1826.85,123.15,71,NA,NA,NA
1826.26,123.74,75,NA,NA,NA
1825.67,124.33,76,NA,NA,NA
1825.08,124.92,75,NA,NA,NA
1824.5,125.5,77,NA,NA,NA
1823.88,126.12,72,NA,NA,NA
1823.38,126.62,89,NA,NA,NA
1822.87,127.13,87,NA,NA,NA
1822.33,127.67,84,NA,NA,NA
1821.79,128.21,83,NA,NA,NA
1821.22,128.78,77,NA,NA,NA
1820.7,129.3,87,NA,NA,NA
1820.28,129.72,104,NA,NA,NA
1819.89,130.11,110,NA,NA,NA
1819.43,130.57,95,NA,NA,NA
1818.91,131.09,86,NA,NA,NA
1818.31,131.69,75,NA,NA,NA
1817.69,132.31,71,NA,NA,NA
1817.04,132.96,68,NA,NA,NA
1816.35,133.65,62,NA,NA,NA
1815.68,134.32,65,NA,NA,NA
1814.97,135.03,60,NA,NA,NA
1814.24,135.76,57,NA,NA,NA
1813.49,136.51,56,NA,NA,NA
1812.76,137.24,57,NA,NA,NA
1812.03,137.97,58,NA,NA,NA
1811.31,138.69,59,NA,NA,NA
1810.58,139.42,58,NA,NA,NA
1809.87,140.13,60,NA,NA,NA
1809.16,140.84,60,NA,NA,NA
1808.47,141.53,62,NA,NA,NA
1807.78,142.22,63,NA,NA,NA
1807.07,142.93,59,NA,NA,NA
1806.36,143.64,60,NA,NA,NA
1805.63,144.37,58,NA,NA,NA
1804.87,145.13,54,NA,NA,NA
1804.13,145.87,57,NA,NA,NA
1803.43,146.57,61,NA,NA,NA
1802.7,147.3,58,NA,NA,NA
1801.96,148.04,57,NA,NA,NA
1801.18,148.82,52,NA,NA,NA
1800.38,149.62,50,NA,NA,NA
1799.6,150.4,52,NA,NA,NA
1799.02,150.98,77,NA,NA,NA
1798.5,151.5,85,NA,NA,NA
1798.08,151.92,105,NA,NA,NA
1797.69,152.31,110,NA,NA,NA
1797.3,152.7,109,NA,NA,NA
1796.84,153.16,96,NA,NA,NA
1796.2,153.8,69,NA,NA,NA
1795.49,154.51,60,NA,NA,NA
1794.9,155.1,76,NA,NA,NA
1794.29,155.71,72,NA,NA,NA
1793.76,156.24,85,NA,NA,NA
1793.24,156.76,86,NA,NA,NA
1792.65,157.35,76,NA,NA,NA
1792.05,157.95,74,NA,NA,NA
1791.48,158.52,77,NA,NA,NA
1790.87,159.13,74,NA,NA,NA
1790.24,159.76,70,NA,NA,NA
1789.62,160.38,71,NA,NA,NA
1789.03,160.97,75,NA,NA,NA
1788.44,161.56,76,NA,NA,NA
1787.83,162.17,72,NA,NA,NA
1787.17,162.83,66,NA,NA,NA
1786.51,163.49,66,NA,NA,NA
1785.87,164.13,69,NA,NA,NA
1785.22,164.78,67,NA,NA,NA
1784.56,165.44,67,NA,NA,NA
1783.93,166.07,70,NA,NA,NA
1783.28,166.72,67,NA,NA,NA
1782.62,167.38,66,NA,NA,NA
1781.95,168.05,65,NA,NA,NA
1781.34,168.66,72,NA,NA,NA
1780.75,169.25,76,NA,NA,NA
1780.25,169.75,90,NA,NA,NA
1779.99,170.01,141,NA,NA,NA
1779.71,170.29,139,NA,NA,NA
1779.43,170.57,138,NA,NA,NA
1779.14,170.86,134,NA,NA,NA
1778.81,171.19,125,NA,NA,NA
1778.45,171.55,116,NA,NA,NA
1778.02,171.98,101,NA,NA,NA
1777.55,172.45,95,NA,NA,NA
1776.99,173.01,80,NA,NA,NA
1776.42,173.58,78,NA,NA,NA
1775.87,174.13,81,NA,NA,NA
1775.46,174.54,106,NA,NA,NA
1774.99,175.01,96,NA,NA,NA
1774.46,175.54,84,NA,NA,NA
1773.82,176.18,69,NA,NA,NA
1773.17,176.83,67,NA,NA,NA
1772.51,177.49,66,NA,NA,NA
1771.87,178.13,68,NA,NA,NA
1771.23,178.77,69,NA,NA,NA
1770.6,179.4,70,NA,NA,NA
1769.98,180.02,72,NA,NA,NA
1769.37,180.63,72,NA,NA,NA
1768.79,181.21,77,NA,NA,NA
1768.27,181.73,86,NA,NA,NA
1767.79,182.21,93,NA,NA,NA
1767.23,182.77,80,NA,NA,NA
1766.65,183.35,76,NA,NA,NA
1766.05,183.95,74,NA,NA,NA
1765.45,184.55,75,NA,NA,NA
1765.09,184.91,117,NA,NA,NA
1764.81,185.19,136,NA,NA,NA
1764.5,185.5,129,NA,NA,NA
1764.16,185.84,122,NA,NA,NA
1763.81,186.19,120,NA,NA,NA
1763.45,186.55,115,NA,NA,NA
1763.04,186.96,107,NA,NA,NA
1762.57,187.43,94,NA,NA,NA
1762.11,187.89,97,NA,NA,NA
1761.66,188.34,97,NA,NA,NA
1761.15,188.85,88,NA,NA,NA
1760.56,189.44,75,NA,NA,NA
1760,190,80,NA,NA,NA
1759.46,190.54,83,NA,NA,NA
1758.84,191.16,71,NA,NA,NA
1758.19,191.81,68,NA,NA,NA
1757.55,192.45,68,NA,NA,NA
1756.97,193.03,77,NA,NA,NA
1756.4,193.6,79,NA,NA,NA
1755.82,194.18,76,NA,NA,NA
1755.22,194.78,75,NA,NA,NA
1754.63,195.37,75,NA,NA,NA
1754.07,195.93,80,NA,NA,NA
1753.52,196.48,81,NA,NA,NA
1752.93,197.07,76,NA,NA,NA
1752.35,197.65,77,NA,NA,NA
1751.89,198.11,95,NA,NA,NA
1751.47,198.53,104,NA,NA,NA
1751.08,198.92,111,NA,NA,NA
1750.66,199.34,103,NA,NA,NA
1750.2,199.8,96,NA,NA,NA
1749.71,200.29,92,NA,NA,NA
1749.19,200.81,86,NA,NA,NA
1748.59,201.41,74,NA,NA,NA
1747.91,202.09,63,NA,NA,NA
1747.21,202.79,62,NA,NA,NA
1746.52,203.48,62,NA,NA,NA
1745.79,204.21,58,NA,NA,NA
1745.14,204.86,67,NA,NA,NA
1744.5,205.5,68,NA,NA,NA
1743.87,206.13,70,NA,NA,NA
1743.21,206.79,67,NA,NA,NA
1742.5,207.5,60,NA,NA,NA
1741.79,208.21,60,NA,NA,NA
1741.12,208.88,64,NA,NA,NA
1740.43,209.57,63,NA,NA,NA
1739.78,210.22,67,NA,NA,NA
1739.16,210.84,71,NA,NA,NA
1738.57,211.43,76,NA,NA,NA
1737.98,212.02,75,NA,NA,NA
1737.36,212.64,72,NA,NA,NA
1736.72,213.28,69,NA,NA,NA
1736.06,213.94,66,NA,NA,NA
1735.41,214.59,67,NA,NA,NA
1734.74,215.26,65,NA,NA,NA
1734.04,215.96,61,NA,NA,NA
1733.36,216.64,63,NA,NA,NA
1732.65,217.35,60,NA,NA,NA
1731.95,218.05,62,NA,NA,NA
1731.26,218.74,62,NA,NA,NA
1730.54,219.46,59,NA,NA,NA
1729.81,220.19,58,NA,NA,NA
1729.1,220.9,60,NA,NA,NA
1728.4,221.6,61,NA,NA,NA
1727.72,222.28,64,NA,NA,NA
1727.09,222.91,69,NA,NA,NA
1726.49,223.51,74,NA,NA,NA
1725.96,224.04,85,NA,NA,NA
1725.46,224.54,89,NA,NA,NA
1725.08,224.92,112,NA,NA,NA
1724.7,225.3,113,NA,NA,NA
1724.32,225.68,112,NA,NA,NA
1723.94,226.06,111,NA,NA,NA
1723.51,226.49,102,NA,NA,NA
1723,227,89,NA,NA,NA
1722.4,227.6,73,NA,NA,NA
1721.68,228.32,59,NA,NA,NA
1720.87,229.13,49,NA,NA,NA
1720.05,229.95,48,NA,NA,NA
1719.24,230.76,49,NA,NA,NA
1718.46,231.54,52,NA,NA,NA
1717.72,232.28,57,NA,NA,NA
1717.01,232.99,60,NA,NA,NA
1716.42,233.58,76,NA,NA,NA
1715.85,234.15,77,NA,NA,NA
1715.12,234.88,58,NA,NA,NA
1714.36,235.64,55,NA,NA,NA
1713.61,236.39,55,NA,NA,NA
1712.85,237.15,54,NA,NA,NA
1712.08,237.92,54,NA,NA,NA
1711.29,238.71,51,NA,NA,NA
1710.51,239.49,52,NA,NA,NA
1709.72,240.28,51,NA,NA,NA
1708.9,241.1,48,NA,NA,NA
1708.12,241.88,52,NA,NA,NA
1707.37,242.63,55,NA,NA,NA
1706.64,243.36,58,NA,NA,NA
1705.97,244.03,65,NA,NA,NA
1705.41,244.59,80,NA,NA,NA
1705.02,244.98,110,NA,NA,NA
1704.65,245.35,114,NA,NA,NA
1704.24,245.76,105,NA,NA,NA
1703.76,246.24,94,NA,NA,NA
1703.22,246.78,83,NA,NA,NA
1702.74,247.26,92,NA,NA,NA
1702.28,247.72,96,NA,NA,NA
1701.79,248.21,92,NA,NA,NA
1701.15,248.85,68,NA,NA,NA
1700.38,249.62,53,NA,NA,NA
1699.55,250.45,47,NA,NA,NA
1698.72,251.28,47,NA,NA,NA
1697.94,252.06,52,NA,NA,NA
1697.23,252.77,60,NA,NA,NA
1696.57,253.43,66,NA,NA,NA
1695.91,254.09,67,NA,NA,NA
1695.22,254.78,62,NA,NA,NA
1694.52,255.48,61,NA,NA,NA
1693.8,256.2,59,NA,NA,NA
1693.11,256.89,62,NA,NA,NA
1692.46,257.54,68,NA,NA,NA
1691.85,258.15,72,NA,NA,NA
1691.25,258.75,74,NA,NA,NA
1690.64,259.36,73,NA,NA,NA
1690.09,259.91,82,NA,NA,NA
1689.68,260.32,105,NA,NA,NA
1689.37,260.63,129,NA,NA,NA
1689.06,260.94,131,NA,NA,NA
1688.67,261.33,109,NA,NA,NA
1688.16,261.84,87,NA,NA,NA
1687.7,262.3,97,NA,NA,NA
1687.3,262.7,108,NA,NA,NA
1687.06,262.94,151,NA,NA,NA
1686.89,263.11,177,NA,NA,NA
1686.7,263.3,171,NA,NA,NA
1686.48,263.52,157,NA,NA,NA
1686.28,263.72,167,NA,NA,NA
1686.08,263.92,165,NA,NA,NA
1685.85,264.15,155,NA,NA,NA
1685.61,264.39,151,NA,NA,NA
1685.35,264.65,144,NA,NA,NA
1685.06,264.94,133,NA,NA,NA
1684.71,265.29,120,NA,NA,NA
1684.36,265.64,118,NA,NA,NA
1684.08,265.92,139,NA,NA,NA
1683.69,266.31,110,NA,NA,NA
1683.12,266.88,78,NA,NA,NA
1682.53,267.47,76,NA,NA,NA
1682,268,84,NA,NA,NA
1681.47,268.53,85,NA,NA,NA
1680.81,269.19,66,NA,NA,NA
1680.02,269.98,51,NA,NA,NA
1679.22,270.78,50,NA,NA,NA
1678.42,271.58,50,NA,NA,NA
1677.66,272.34,54,NA,NA,NA
1676.98,273.02,64,NA,NA,NA
1676.43,273.57,81,NA,NA,NA
1675.98,274.02,99,NA,NA,NA
1675.51,274.49,93,NA,NA,NA
1674.96,275.04,82,NA,NA,NA
1674.46,275.54,89,NA,NA,NA
1673.94,276.06,86,NA,NA,NA
1673.41,276.59,85,NA,NA,NA
1672.9,277.1,87,NA,NA,NA
1672.39,277.61,88,NA,NA,NA
1671.88,278.12,87,NA,NA,NA
1671.38,278.62,90,NA,NA,NA
1670.93,279.07,97,NA,NA,NA
1670.5,279.5,103,NA,NA,NA
1670.16,279.84,121,NA,NA,NA
1669.8,280.2,117,NA,NA,NA
1669.37,280.63,102,NA,NA,NA
1668.89,281.11,92,NA,NA,NA
1668.4,281.6,92,NA,NA,NA
1667.93,282.07,94,NA,NA,NA
1667.47,282.53,96,NA,NA,NA
1667.04,282.96,101,NA,NA,NA
1666.58,283.42,97,NA,NA,NA
1666.04,283.96,82,NA,NA,NA
1665.46,284.54,78,NA,NA,NA
1664.8,285.2,66,NA,NA,NA
1664.07,285.93,57,NA,NA,NA
1663.34,286.66,58,NA,NA,NA
1662.67,287.33,65,NA,NA,NA
1662.19,287.81,92,NA,NA,NA
1661.56,288.44,70,NA,NA,NA
1660.92,289.08,69,NA,NA,NA
1660.35,289.65,78,NA,NA,NA
1659.86,290.14,91,NA,NA,NA
1659.34,290.66,87,NA,NA,NA
1658.97,291.03,113,NA,NA,NA
1658.54,291.46,102,NA,NA,NA
1658.07,291.93,95,NA,NA,NA
1657.62,292.38,98,NA,NA,NA
1657.24,292.76,112,NA,NA,NA
1656.72,293.28,86,NA,NA,NA
1656.07,293.93,67,NA,NA,NA
1655.37,294.63,61,NA,NA,NA
1654.7,295.3,65,NA,NA,NA
1654.08,295.92,72,NA,NA,NA
1653.44,296.56,69,NA,NA,NA
1652.89,297.11,81,NA,NA,NA
1652.44,297.56,98,NA,NA,NA
1652.14,297.86,132,NA,NA,NA
1651.87,298.13,139,NA,NA,NA
1651.61,298.39,144,NA,NA,NA
1651.34,298.66,143,NA,NA,NA
1651.08,298.92,144,NA,NA,NA
1650.82,299.18,143,NA,NA,NA
1650.54,299.46,138,NA,NA,NA
1650.24,299.76,132,NA,NA,NA
1649.91,300.09,124,NA,NA,NA
1649.54,300.46,113,NA,NA,NA
1649.15,300.85,111,NA,NA,NA
1648.71,301.29,99,NA,NA,NA
1648.16,301.84,81,NA,NA,NA
1647.55,302.45,74,NA,NA,NA
1646.95,303.05,74,NA,NA,NA
1646.32,303.68,70,NA,NA,NA
1645.55,304.45,53,NA,NA,NA
1644.73,305.27,48,NA,NA,NA
1643.9,306.1,47,NA,NA,NA
1643.07,306.93,47,NA,NA,NA
1642.22,307.78,45,NA,NA,NA
1641.4,308.6,48,NA,NA,NA
1640.62,309.38,52,NA,NA,NA
1639.87,310.13,55,NA,NA,NA
1639.12,310.88,56,NA,NA,NA
1638.4,311.6,59,NA,NA,NA
1637.72,312.28,63,NA,NA,NA
1637.09,312.91,70,NA,NA,NA
1636.5,313.5,75,NA,NA,NA
1636.06,313.94,100,NA,NA,NA
1635.69,314.31,114,NA,NA,NA
1635.25,314.75,100,NA,NA,NA
1634.84,315.16,106,NA,NA,NA
1634.49,315.51,121,NA,NA,NA
1634.17,315.83,125,NA,NA,NA
1633.68,316.32,91,NA,NA,NA
1632.99,317.01,62,NA,NA,NA
1632.22,317.78,54,NA,NA,NA
1631.52,318.48,61,NA,NA,NA
1630.87,319.13,67,NA,NA,NA
1630.35,319.65,87,NA,NA,NA
1629.87,320.13,92,NA,NA,NA
1629.41,320.59,97,NA,NA,NA
1629.02,320.98,108,NA,NA,NA
1628.49,321.51,85,NA,NA,NA
1627.84,322.16,67,NA,NA,NA
1627.13,322.87,61,NA,NA,NA
1626.46,323.54,64,NA,NA,NA
1625.74,324.26,59,NA,NA,NA
1625.02,324.98,59,NA,NA,NA
1624.29,325.71,58,NA,NA,NA
1623.62,326.38,65,NA,NA,NA
1622.94,327.06,63,NA,NA,NA
1622.24,327.76,61,NA,NA,NA
1621.51,328.49,58,NA,NA,NA
1620.8,329.2,60,NA,NA,NA
1620.1,329.9,61,NA,NA,NA
1619.44,330.56,66,NA,NA,NA
1618.8,331.2,69,NA,NA,NA
1618.17,331.83,70,NA,NA,NA
1617.56,332.44,73,NA,NA,NA
1616.99,333.01,78,NA,NA,NA
1616.44,333.56,81,NA,NA,NA
1615.94,334.06,89,NA,NA,NA
1615.38,334.62,80,NA,NA,NA
1614.81,335.19,79,NA,NA,NA
1614.23,335.77,77,NA,NA,NA
1613.67,336.33,79,NA,NA,NA
1613.08,336.92,75,NA,NA,NA
1612.52,337.48,81,NA,NA,NA
1612.02,337.98,88,NA,NA,NA
1611.51,338.49,88,NA,NA,NA
1611.06,338.94,98,NA,NA,NA
1610.57,339.43,91,NA,NA,NA
1610.07,339.93,89,NA,NA,NA
1609.62,340.38,98,NA,NA,NA
1609.23,340.77,112,NA,NA,NA
1609.01,340.99,156,NA,NA,NA
1608.86,341.14,187,NA,NA,NA
1608.69,341.31,184,NA,NA,NA
1608.53,341.47,182,NA,NA,NA
1608.37,341.63,182,NA,NA,NA
1608.2,341.8,183,NA,NA,NA
1608.05,341.95,186,NA,NA,NA
1607.87,342.13,176,NA,NA,NA
1607.69,342.31,175,NA,NA,NA
1607.52,342.48,178,NA,NA,NA
1607.34,342.66,176,NA,NA,NA
1607.16,342.84,175,NA,NA,NA
1606.98,343.02,173,NA,NA,NA
1606.79,343.21,172,NA,NA,NA
1606.6,343.4,171,NA,NA,NA
1606.41,343.59,169,NA,NA,NA
1606.22,343.78,168,NA,NA,NA
1606.01,343.99,164,NA,NA,NA
1605.81,344.19,164,NA,NA,NA
1605.59,344.41,160,NA,NA,NA
1605.38,344.62,159,NA,NA,NA
1605.14,344.86,151,NA,NA,NA
1604.91,345.09,153,NA,NA,NA
1604.68,345.32,154,NA,NA,NA
1604.43,345.57,147,NA,NA,NA
1604.17,345.83,145,NA,NA,NA
1603.91,346.09,144,NA,NA,NA
1603.64,346.36,141,NA,NA,NA
1603.37,346.63,139,NA,NA,NA
1603.08,346.92,137,NA,NA,NA
1602.78,347.22,131,NA,NA,NA
1602.48,347.52,133,NA,NA,NA
1602.19,347.81,133,NA,NA,NA
1601.88,348.12,131,NA,NA,NA
1601.58,348.42,132,NA,NA,NA
1601.27,348.73,129,NA,NA,NA
1600.96,349.04,127,NA,NA,NA
1600.6,349.4,118,NA,NA,NA
1600.23,349.77,115,NA,NA,NA
1599.83,350.17,108,NA,NA,NA
1599.42,350.58,105,NA,NA,NA
1598.98,351.02,99,NA,NA,NA
1598.53,351.47,98,NA,NA,NA
1598.06,351.94,96,NA,NA,NA
1597.59,352.41,94,NA,NA,NA
1597.11,352.89,93,NA,NA,NA
1596.64,353.36,93,NA,NA,NA
1596.22,353.78,104,NA,NA,NA
1595.84,354.16,113,NA,NA,NA
1595.47,354.53,115,NA,NA,NA
1595.24,354.76,154,NA,NA,NA
1595.02,354.98,158,NA,NA,NA
1594.74,355.26,137,NA,NA,NA
1594.46,355.54,138,NA,NA,NA
1594.17,355.83,134,NA,NA,NA
1593.93,356.07,150,NA,NA,NA
1593.66,356.34,142,NA,NA,NA
1593.36,356.64,132,NA,NA,NA
1593,357,117,NA,NA,NA
1592.54,357.46,95,NA,NA,NA
1591.96,358.04,77,NA,NA,NA
1591.29,358.71,65,NA,NA,NA
1590.6,359.4,62,NA,NA,NA
1589.92,360.08,64,NA,NA,NA
1589.23,360.77,63,NA,NA,NA
1588.52,361.48,60,NA,NA,NA
1587.78,362.22,56,NA,NA,NA
1587.05,362.95,58,NA,NA,NA
1586.33,363.67,59,NA,NA,NA
1585.61,364.39,59,NA,NA,NA
1584.94,365.06,64,NA,NA,NA
1584.33,365.67,73,NA,NA,NA
1583.96,366.04,114,NA,NA,NA
1583.61,366.39,119,NA,NA,NA
1583.11,366.89,90,NA,NA,NA
1582.38,367.62,57,NA,NA,NA
1581.57,368.43,49,NA,NA,NA
1580.73,369.27,46,NA,NA,NA
1579.91,370.09,48,NA,NA,NA
1579.07,370.93,46,NA,NA,NA
1578.24,371.76,47,NA,NA,NA
1577.37,372.63,43,NA,NA,NA
1576.53,373.47,46,NA,NA,NA
1575.68,374.32,45,NA,NA,NA
1574.84,375.16,46,NA,NA,NA
1573.99,376.01,45,NA,NA,NA
1573.16,376.84,47,NA,NA,NA
1572.35,377.65,49,NA,NA,NA
1571.56,378.44,51,NA,NA,NA
1570.76,379.24,50,NA,NA,NA
1570.02,379.98,57,NA,NA,NA
1569.32,380.68,61,NA,NA,NA
1568.85,381.15,95,NA,NA,NA
1568.48,381.52,114,NA,NA,NA
1568.02,381.98,97,NA,NA,NA
1567.42,382.58,74,NA,NA,NA
1566.82,383.18,73,NA,NA,NA
1566.14,383.86,64,NA,NA,NA
1565.42,384.58,59,NA,NA,NA
1564.71,385.29,60,NA,NA,NA
1564.13,385.87,76,NA,NA,NA
1563.68,386.32,99,NA,NA,NA
1563.21,386.79,94,NA,NA,NA
1562.83,387.17,112,NA,NA,NA
1562.48,387.52,120,NA,NA,NA
1562.1,387.9,112,NA,NA,NA
1561.55,388.45,82,NA,NA,NA
1560.9,389.1,67,NA,NA,NA
1560.31,389.69,75,NA,NA,NA
1559.91,390.09,108,NA,NA,NA
1559.46,390.54,99,NA,NA,NA
1558.78,391.22,63,NA,NA,NA
1558.05,391.95,58,NA,NA,NA
1557.34,392.66,60,NA,NA,NA
1556.7,393.3,69,NA,NA,NA
1556.16,393.84,82,NA,NA,NA
1555.78,394.22,112,NA,NA,NA
1555.15,394.85,70,NA,NA,NA
1554.5,395.5,67,NA,NA,NA
1553.81,396.19,63,NA,NA,NA
1553.08,396.92,58,NA,NA,NA
1552.4,397.6,63,NA,NA,NA
1551.81,398.19,76,NA,NA,NA
1551.42,398.58,110,NA,NA,NA
1551.05,398.95,115,NA,NA,NA
