depth (cm),age (BP),age (BP),temperature (degC),temperature (missing),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
365,6827,7792,14.65,13.74,#4-39,4711,1.43,1.43,Y,1.54,1.54,Y
371,7023,7816,14.57,13.46,#4-45-4,5012,1.44,1.44,Y,1.53,1.53,Y
376,7179,7839,14.5,13.37,#4-50,5275,1.43,1.43,Y,1.54,1.54,Y
382,7350,7863,14.51,13.35,#4-56,5658,1.43,1.43,Y,1.54,1.54,Y
387,7471,7883,14.65,13.42,#4-61,6028,1.43,1.43,Y,1.53,1.53,Y
393,7568,7903,14.52,13,#4-67,6601,1.44,1.44,Y,1.54,1.54,Y
398,7627,7878,14.49,13.52,#4-72,7352,1.43,1.43,Y,1.53,1.53,Y
399,7640,7843,14.54,14.03,#5-47,7435,1.43,1.43,Y,1.53,1.53,Y
403,7687,8341,14.51,13.95,#5-51-2,7384,1.44,1.44,Y,1.54,1.54,Y
408,7765,8749,14.41,13.4,#5-56-4,7414,1.44,1.44,Y,1.54,1.54,Y
412,7849,8950,14.55,13.86,#5-60,7442,1.43,1.43,Y,1.53,1.53,Y
417,7996,9128,14.53,14.27,#5-65-4,7480,1.43,1.43,Y,1.53,1.53,Y
423,8199,9273,14.67,13.67,#5-71,7537,1.43,1.43,Y,1.53,1.53,Y
428,8381,9368,14.51,13.75,#5-76-4,7582,1.44,1.44,Y,1.53,1.53,Y
432,8528,9434,14.48,13.36,#5-80,7623,1.45,1.45,Y,1.53,1.53,Y
438,8747,9500,14.48,13.29,#5-86-4,7716,1.46,1.46,Y,1.53,1.53,Y
443,8924,9558,14.54,13.37,#5-91,7819,1.44,1.44,Y,1.53,1.53,Y
454,9244,9666,14.45,13.32,#5-102,8196,1.46,1.46,Y,1.53,1.53,Y
463,9393,9720,14.57,13.14,#5-111,8978,1.43,1.43,Y,1.53,1.53,Y
471,9500,10444,14.19,13,#5-130-2,9115,1.49,1.49,Y,1.54,1.54,Y
478,9623,11057,13.97,13.05,#5-137-2,9144,1.47,1.47,Y,1.54,1.54,Y
483,9745,11421,14.53,13.12,#5-142-2,9166,1.43,1.43,Y,1.54,1.54,Y
491,9988,11846,14.51,13.47,#5-150-2,9209,1.44,1.44,Y,1.53,1.53,Y
499,10252,12225,14.51,13.39,#5-158-2,9251,1.47,1.47,Y,1.53,1.53,Y
507,10526,12541,13.97,12.38,#5-166-2,9304,1.49,1.49,Y,1.54,1.54,Y
517,10867,12873,14.1,12.94,#5-176-2,9387,1.49,1.49,Y,1.55,1.55,Y
531,11356,13318,13.98,13.38,#5-190-2,9555,1.46,1.46,Y,1.54,1.54,Y
542,11741,13673,12.77,12.06,#5-201-4,9792,1.59,1.59,Y,1.55,1.55,Y
554,12161,13926,14.32,13.09,#5-213-2,10179,1.44,1.44,Y,1.54,1.54,Y
564,12506,14060,14.07,12.33,#6-153-4,10480,1.51,1.51,Y,1.55,1.55,Y
575,12890,14170,13.68,12.08,#6-171-4,10867,1.58,1.58,Y,1.56,1.56,Y
585,13226,14245,12.43,11.65,#6-181-4,11256,1.65,1.65,Y,1.56,1.56,Y
596,13574,14316,12.19,11,#6-192,11787,1.63,1.63,Y,1.57,1.57,Y
619,14050,14479,11.75,11.01,#7-139-2,13661,1.66,1.66,Y,1.57,1.57,Y
637,14844,15973,10.83,9.84,#7-157-2,13867,1.66,1.66,Y,1.59,1.59,Y
654,15616,16461,9.58,9.95,#7-186-2,14774,1.65,1.65,Y,1.58,1.58,Y
670,16138,17478,8.19,9.27,#7-202-2,15022,1.53,1.53,Y,1.58,1.58,Y
