year (AD) [1-1],age (BP) [1-1],depth (unknown) [1-1],Ca (missing) [1-1],Al (missing) [1-1],Ti (missing) [1-1],Si (missing) [1-1],K (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (unknown) [2-1],N (missing) [2-1],d15N (missing) [2-1],C/N (missing) [2-1],TOC (missing) [2-1],d13C (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (unknown) [3-1],d18O (missing) [3-1],d13C (missing) [3-1],year (AD) [4-1],age (BP) [4-1],total (missing) [4-1],Th13C (missing) [4-1],std (missing) [4-1],year (AD) [5-1],age (BP) [5-1],MoistElements (missing) [5-1],DryElements (missing) [5-1],Thronshrub (missing) [5-1],Ailanthus (missing) [5-1],year (AD) [6-1],age (BP) [6-1],sedRate (missing) [6-1]
1991.232,-41.232,9.5,29928.4,988.142,11173.097,18148.435,4291.896,1985.05,-35.05,13,0.15,9.8,11,1.67,-18.7,1985.054,-35.054,13,-5.17,-0.482,988.7,961.3,21.6,NA,NA,1251.3,698.7,0,2.609,0.87,0,1985.054,-35.054,5.665
1990.349,-40.349,10,22916.345,749.515,10387.803,15725.878,3794.757,1983.29,-33.29,14,0.16,9,11,1.69,-18.8,1983.289,-33.289,14,-4.673,-0.644,889.6,1060.4,12.38,NA,NA,1210,740,0.285,2.849,1.14,0.57,1983.289,-33.289,5.665
1989.466,-39.466,10.5,27521.623,879.639,10298.081,16659.472,3819.897,1981.52,-31.52,15,0.16,9,10,1.57,-18.3,1981.524,-31.523,15,-5.397,-0.196,759.3,1190.7,13.57,NA,NA,1168.6,781.4,0.313,1.254,0.627,0,1981.524,-31.523,5.665
1988.584,-38.584,11,26961.604,755.12,8688.182,14380.145,3164.127,1979.76,-29.76,16,0.19,9,11,2.11,-18.5,1979.758,-29.758,16,-4.866,-0.01,629,1321,4.7,NA,NA,1127.3,822.7,0,1.285,0.771,0,1979.758,-29.758,5.665
1987.701,-37.701,11.5,28109.358,662.231,6853.055,13082.29,2420.543,1977.99,-27.99,17,0.31,9.3,10,3.28,-16.2,1977.993,-27.993,17,-4.387,-0.49,498.6,1451.4,2.95,NA,NA,1085.9,864.1,0.282,3.944,0.563,0,1977.993,-27.993,5.665
1986.819,-36.819,12,23816.288,752.317,7857.102,14789.889,2625.559,1976.23,-26.23,18,0.38,9,10,3.92,-14,1976.228,-26.228,18,-3.882,0.014,241.2,1708.8,3.09,NA,NA,1044.5,905.5,0.275,2.198,0.549,0,1976.228,-26.228,5.665
1985.936,-35.936,12.5,34329.887,910.868,9304.67,16544.568,3143.944,1974.46,-24.46,19,0.29,9.1,11,3.17,-16.6,1974.463,-24.463,19,-4.4,-0.495,108,1842,3.16,NA,NA,1003.2,946.8,0.619,2.167,1.858,0,1974.463,-24.463,5.665
1985.054,-35.054,13,36512.493,975.33,11998.164,18550.2,4471.064,1972.7,-22.7,20,0.36,9.3,11,3.8,-14.4,1972.698,-22.698,20,-4.488,0.564,-28,1978,3.22,NA,NA,961.8,988.2,0,3.38,1.972,0,1972.698,-22.698,5.665
1984.171,-34.171,13.5,32623.338,990.945,12053.199,18812.723,4520.636,1969.87,-19.87,21,0.37,9.1,11,3.88,-14.2,1969.867,-19.867,21,-4.832,-0.125,-164.1,2114.1,0.72,NA,NA,912.5,1037.5,0,1.119,0.373,0.56,1969.867,-19.867,3.533
1983.289,-33.289,14,32230.02,906.464,10861.384,17631.766,4471.418,1965.61,-15.61,22,0.28,9.3,11,3.06,-16.3,1965.609,-15.609,22,-5.073,-0.338,-310.3,2260.3,3.49,NA,NA,847.3,1102.7,0.288,3.17,1.153,0,1965.609,-15.609,2.348
1982.406,-32.406,14.5,30909.452,831.993,10211.597,16208.235,4247.635,1961.35,-11.35,23,0.3,8.9,11,3.33,-15.9,1961.35,-11.35,23,-5.129,-0.888,-446.4,2396.4,24.2,-10.8,0.1,782.1,1167.9,1.272,3.308,3.817,0.254,1961.35,-11.35,2.348
1981.524,-31.523,15,37734.426,842.403,11001.053,16545.366,4070.237,1957.09,-7.09,24,0.27,9.3,11,2.99,-16.2,1957.091,-7.091,24,-5.534,-3.806,-634.3,2584.3,10.61,NA,NA,716.9,1233.1,0,9.284,1.326,1.061,1957.091,-7.091,2.348
1980.641,-30.641,15.5,34313.584,929.686,11012.615,17441.856,3844.329,1952.83,-2.83,25,0.28,9.2,12,3.26,-16.3,1952.832,-2.832,25,-6.581,-1.365,-844.7,2794.7,9.78,NA,NA,651.8,1298.2,0.308,6.471,0.924,6.009,1952.832,-2.832,2.348
1979.758,-29.758,16,44302.216,882.441,10720.789,17555.962,3794.048,1948.57,1.43,26,0.26,9.9,10,2.65,-16.8,1948.574,1.426,26,-7.089,-2.729,-1031.1,2981.1,8.05,NA,NA,586.6,1363.4,0.168,3.35,0.67,1.173,1948.574,1.426,2.348
1978.876,-28.876,16.5,43177.695,991.746,10801.261,18612.838,4038.369,1944.32,5.68,27,0.27,9.8,10,2.71,-16.9,1944.315,5.685,27,-6.616,-1.608,-1226.9,3176.9,12.14,NA,NA,521.4,1428.6,0.16,2.077,1.118,0.319,1944.315,5.685,2.348
1977.993,-27.993,17,41197.25,907.265,10293.456,17812.102,3749.079,1940.06,9.94,28,0.29,9.6,10,2.99,-16.8,1940.056,9.944,28,-6.183,-0.624,-1413.4,3363.4,2.55,NA,NA,456.3,1493.7,0.505,5.556,0.673,0.337,1940.056,9.944,2.348
1977.111,-27.111,17.5,35368.408,636.607,7862.652,14697.328,2629.1,1935.8,14.2,29,0.27,9.6,11,2.98,-17.4,1935.798,14.202,29,-7.119,-2.552,-1599.8,3549.8,2.18,NA,NA,391.1,1558.9,0.765,4.78,1.147,0.191,1935.798,14.202,2.348
1976.228,-26.228,18,34190.494,707.074,8333.921,14872.876,2682.568,1931.54,18.46,30,0.12,8.3,13,1.53,-18.7,1931.539,18.461,30,-8.098,-3.858,-1774.3,3724.3,29.78,NA,NA,325.9,1624.1,0.16,3.52,0.32,0,1931.539,18.461,2.348
1975.346,-25.346,18.5,38288.739,745.911,9465.614,15089.118,2782.066,1927.28,22.72,31,0.12,8.5,13,1.59,-18.9,1927.28,22.72,31,-8.424,-3.618,-1957.4,3907.4,8.18,NA,NA,260.7,1689.3,0.238,3.8,0.95,0.238,1927.28,22.72,2.348
1974.463,-24.463,19,38402.862,726.292,8942.085,15039.247,2731.078,1923.02,26.98,32,0.12,8.2,13,1.49,-18.4,1923.022,26.978,32,-7.516,-3.579,-2083.6,4033.6,126.35,-11,0.1,195.6,1754.4,0.205,1.643,0.411,0.205,1923.022,26.978,2.348
1973.581,-23.581,19.5,36949.829,534.109,6000.238,11100.995,1698.558,1918.76,31.24,33,0.12,8.7,13,1.54,-18.1,1918.763,31.237,33,-7.04,-2.311,-2115.2,4065.2,9.8,NA,NA,128.4,1821.6,0,5.158,0.287,0,1918.763,31.237,2.348
1972.698,-22.698,20,44361.517,466.541,7265.871,13240.059,1832.181,1914.5,35.5,34,0.12,8.1,13,1.51,-17.9,1914.504,35.496,34,-7.091,-2.736,-2178.3,4128.3,24.1,NA,NA,60.4,1889.6,0.193,2.51,0,0.193,1914.504,35.496,2.348
1971.997,-21.997,20.5,16524.109,199.467,2635.661,5018.559,700.331,1910.25,39.75,35,0.11,8.7,13,1.43,-17.8,1910.245,39.755,35,-6.477,-1.032,-2209.9,4159.9,22.88,-7.2,0.1,-7.6,1957.6,0.912,5.474,0.547,0.182,1910.245,39.755,2.348
1969.867,-19.867,21,16401.128,219.215,2979.351,5723.991,890.97,1905.99,44.01,36,0.12,8.9,13,1.59,-17.8,1905.987,44.013,36,-6.252,-0.61,-2273,4223,19.91,NA,NA,-75.7,2025.7,0.47,4.702,0.313,0.157,1905.987,44.013,2.348
1967.738,-17.738,21.5,19042.694,274.143,3411.6,6253.644,1039.343,1901.73,48.27,37,0.11,8.6,14,1.52,-18.2,1901.728,48.272,37,-5.98,-1.286,-2304.6,4254.6,14.87,NA,NA,-143.7,2093.7,1.094,7.656,0.625,0.312,1901.728,48.272,2.348
1965.609,-15.609,22,20624.053,321.437,3555.363,6771.722,1206.354,1897.47,52.53,38,0.11,8.2,13,1.45,-17.6,1897.469,52.531,38,-5.333,-0.422,-2336.2,4286.2,101.46,-11.4,0,-211.7,2161.7,0.176,7.042,1.232,0,1897.469,52.531,2.348
1963.479,-13.479,22.5,18030.294,285.095,3766.216,6250.833,1198.136,1893.21,56.79,39,0.11,8,14,1.47,-17,1893.211,56.789,39,-4.518,-1.294,-2367.7,4317.7,15.96,NA,NA,-279.7,2229.7,0.151,7.24,0,0.151,1893.211,56.789,2.348
1961.35,-11.35,23,17386.162,278.955,3723.279,6361.129,1310.406,1888.95,61.05,40,0.14,8.8,11,1.53,-16.7,1888.952,61.048,40,-5.711,0.091,-2399.3,4349.3,7.39,NA,NA,-347.7,2297.7,1.575,7.874,0.787,0.591,1888.952,61.048,2.348
1959.221,-9.221,23.5,19335.113,344.504,3671.14,6822.323,1360.157,1884.69,65.31,41,0.12,9.2,11,1.35,-17.1,1884.693,65.307,41,-5.286,-1.251,-2430.9,4380.9,5.05,NA,NA,-415.8,2365.8,0.219,12.719,0.439,0.219,1884.693,65.307,2.348
1957.091,-7.091,24,17427.55,373.544,3982.628,7209.103,1466.41,1880.43,69.57,42,0.12,8.5,11,1.35,-17.5,1880.435,69.565,42,-4.512,-1.092,-2462.4,4412.4,20.55,-13.9,0.2,-483.8,2433.8,0.202,7.287,0.607,0,1880.435,69.565,2.348
1954.962,-4.962,24.5,14853.724,334.879,3656.956,6778.502,1309.525,1876.18,73.82,43,0.13,8.8,11,1.37,-18.1,1876.176,73.824,43,-4.852,1.178,-2614.5,4564.5,109.41,-14.4,NA,-585.8,2535.8,0.62,9.917,0.826,0.207,1876.176,73.824,2.348
1952.832,-2.832,25,17793.96,380.514,4119.107,7464.091,1408.587,1871.92,78.08,44,0.12,9.3,11,1.29,-17.5,1871.917,78.083,44,-5.069,1.818,-2715,4665,4.35,NA,NA,-693.6,2643.6,0.434,9.761,0.868,0.217,1871.917,78.083,2.348
1950.703,-0.703,25.5,15665.435,360.269,3800.911,6777.344,1371.31,1867.66,82.34,45,0.12,9.7,11,1.29,-16.9,1867.659,82.341,45,-4.791,1.295,-2868.2,4818.2,5.78,NA,NA,-801.4,2751.4,0,6.158,0.587,0,1867.659,82.341,2.348
1948.574,1.426,26,16074.416,361.596,3864.742,6966.353,1395.232,1863.4,86.6,46,0.15,8.9,11,1.64,-15.8,1863.4,86.6,46,-4.963,2.882,-3162.3,5112.3,52.26,-15.7,0,-895.9,2845.9,0.377,5.472,0.566,0.377,1863.4,86.6,2.348
1946.444,3.556,26.5,13772.737,365.911,4104.539,7033.655,1411.963,1859.14,90.86,47,0.15,9,11,1.68,-16,1859.141,90.859,47,-5.286,1.978,-3213,5163,16.04,NA,NA,-989.2,2939.2,0.587,9.785,2.153,0.391,1859.141,90.859,2.348
1944.315,5.685,27,15361.529,358.277,4052.401,7082.932,1483.14,1854.88,95.12,48,0.13,9.3,13,1.68,-16.3,1854.882,95.118,48,-5.114,2.341,-3253.93,5203.93,1.39,NA,NA,-1082.4,3032.4,0,28.046,2.759,1.379,1854.882,95.118,2.348
1942.186,7.814,27.5,14089.144,311.978,3921.48,6572.792,1487.396,1850.62,99.38,49,0.14,9.9,11,1.5,-16.1,1850.624,99.376,49,-5.127,2.073,-3315.4,5265.4,1.3,NA,NA,-1175.6,3125.6,0.524,11.364,2.797,9.266,1850.624,99.376,2.348
1940.056,9.944,28,16838.658,352.469,3618.811,6776.683,1270.781,1846.36,103.64,50,0.15,8.9,11,1.63,-15,1846.365,103.635,50,-5.045,2.199,-3376.9,5326.9,2.26,NA,NA,-1268.9,3218.9,0.567,4.159,1.323,7.561,1846.365,103.635,2.348
1937.927,12.073,28.5,14428.188,366.906,3733.054,6947.336,1427.225,1842.11,107.89,51,0.16,8.7,11,1.78,-16.2,1842.106,107.894,51,-4.661,2.47,-3438.3,5388.3,0.82,NA,NA,-1362.1,3312.1,0.238,6.651,1.425,7.838,1842.106,107.894,2.348
1935.798,14.202,29,12816.253,356.286,3564.947,6416.856,1314.515,1837.85,112.15,52,0.14,9.1,11,1.48,-16.5,1837.848,112.152,52,-5.175,1.587,-3499.8,5449.8,2.17,NA,NA,-1455.3,3405.3,1.002,11.018,3.339,1.336,1837.848,112.152,2.348
1933.668,16.332,29.5,14202.159,305.009,3378.438,6304.41,1101.862,1833.59,116.41,53,0.14,9.4,11,1.46,-16.9,1833.589,116.411,53,-5.816,1.821,-3561.2,5511.2,3.08,NA,NA,-1548.6,3498.6,0,1.997,2.829,3.993,1833.589,116.411,2.348
1931.539,18.461,30,16283.721,340.355,3984.353,7015.465,1389.655,1829.33,120.67,54,0.13,9.2,11,1.35,-16.8,1829.33,120.67,54,-7.019,-1.249,-3622.7,5572.7,1.97,NA,NA,-1641.8,3591.8,0.329,3.46,1.483,4.942,1829.33,120.67,2.348
1929.41,20.59,30.5,14271.251,379.352,3848.449,7481.619,1430.894,1825.07,124.93,55,0.12,10.1,11,1.32,-17.1,1825.072,124.928,55,-6.138,0.148,-3684.2,5634.2,0.56,NA,NA,-1735,3685,0.818,5.317,6.339,6.953,1825.072,124.928,2.348
1927.28,22.72,31,14191.685,270.658,3367.704,6205.359,1056.367,1820.81,129.19,56,0.11,9.5,11,1.17,-17.1,1820.813,129.187,56,-5.008,0.53,-3776.3,5726.3,1.17,NA,NA,-1802.7,3752.7,0.211,2.737,4.211,4,1820.813,129.187,2.348
1925.151,24.849,31.5,16736.624,331.062,3291.797,6605.864,1073.097,1816.55,133.45,57,0.12,9.4,11,1.34,-16.6,1816.554,133.446,57,-5.295,1.002,-4083.6,6033.6,0.23,NA,NA,-1865.8,3815.8,0.178,3.209,0,7.843,1816.554,133.446,2.348
1923.022,26.978,32,15340.92,348.652,3456.837,6714.838,1068.988,1812.3,137.7,58,0.14,9.1,11,1.55,-16.1,1812.295,137.705,58,-4.815,2.573,-4390.9,6340.9,0.24,NA,NA,-1929,3879,0.478,5.573,0.478,1.115,1812.295,137.705,2.348
1920.892,29.108,32.5,15816.121,348.154,3737.655,6791.235,1187.716,1808.04,141.96,59,0.13,8.8,10,1.34,-17.1,1808.037,141.963,59,-5.166,1.938,-4698.2,6648.2,0,NA,NA,-1992.1,3942.1,1.399,12.063,0.874,2.098,1808.037,141.963,2.348
1918.763,31.237,33,14356.223,361.928,3813.562,6975.447,1330.952,1803.78,146.22,60,0.12,9.3,11,1.27,-17.2,1803.778,146.222,60,-4.489,2.356,-5005.5,6955.5,0,NA,NA,-2055.2,4005.2,0.868,12.5,0.868,2.431,1803.778,146.222,2.348
1916.634,33.366,33.5,13948.087,367.902,4135.592,7115.343,1606.564,1799.52,150.48,61,0.11,8.8,20,2.19,-16.7,1799.519,150.481,61,-3.431,0.267,-5312.8,7262.8,0.12,NA,NA,-2118.4,4068.4,1.948,15.584,1.786,6.006,1799.519,150.481,2.348
1914.504,35.496,34,14580.225,373.378,4269.196,6919.39,1556.96,1795.26,154.74,62,0.16,8.7,12,1.82,-15.8,1795.261,154.739,62,-4.195,0.833,-5620.1,7570.1,0.21,NA,NA,-2181.5,4131.5,1.931,25.097,0.965,3.861,1795.261,154.739,2.348
1912.375,37.625,34.5,14199.118,336.206,4193.097,6606.691,1489.745,1791,159,63,0.09,9.6,11,1.02,-17.6,1791.002,158.998,63,-3.899,0.387,-5927.4,7877.4,0,NA,NA,-2244.6,4194.6,2.801,16.969,1.647,0.824,1791.002,158.998,2.348
1910.245,39.755,35,12920.314,283.104,3757.59,5818.082,1351.938,1786.74,163.26,64,0.12,9.1,12,1.39,-16.6,1786.743,163.257,64,-4.612,0.379,-6234.7,8184.7,0.05,NA,NA,-2307.8,4257.8,1.01,10.269,1.515,0.505,1786.743,163.257,2.348
1908.116,41.884,35.5,13000.387,299.698,3831.964,5963.765,1363.826,1782.48,167.52,65,0.1,9.5,11,1.16,-16.9,1782.485,167.516,65,-5.325,-0.39,-6638,8588,0.03,NA,NA,-2370.9,4320.9,0.754,13.065,0.503,0.251,1782.485,167.516,2.348
1905.987,44.013,36,12582.115,303.681,3689.925,5548.708,1384.078,1778.23,171.77,66,0.08,10,11,0.88,-18,1778.226,171.774,66,-4.43,-0.391,-7388,9338,0,NA,NA,-2434,4384,1.579,6.14,1.579,1.228,1778.226,171.774,2.348
1903.857,46.143,36.5,13103.773,311.978,3799.952,5861.572,1389.509,1773.97,176.03,67,0.11,8.9,11,1.19,-16.9,1773.967,176.033,67,-4.934,-0.434,-7951.1,9901.1,0,NA,NA,-2497.2,4447.2,0.8,9.4,0.8,1.4,1773.967,176.033,2.348
1901.728,48.272,37,14483.09,326.747,4337.819,6263.566,1468.171,1769.71,180.29,68,0.07,9.9,11,0.81,-18,1769.708,180.292,68,-3.851,0.349,-8079.6,10029.6,0.11,NA,NA,-2560.3,4510.3,2.055,14.041,1.37,7.534,1769.708,180.292,2.348
1899.599,50.401,37.5,13750.945,309.987,4127.541,6050.084,1489.157,1765.45,184.55,69,0.09,9.7,11,0.98,-17.2,1765.45,184.55,69,-4.341,-0.427,-8208.1,10158.1,0.23,NA,NA,-2623.4,4573.4,1.029,5.317,1.029,9.605,1765.45,184.55,2.348
1897.469,52.531,38,14328.857,345.499,4386.698,6610.825,1648.831,1761.19,188.81,70,0.07,11.5,10,0.77,-18.7,1761.191,188.809,70,-3.729,-0.302,NA,NA,NA,NA,NA,-2686.6,4636.6,1.748,13.811,0.524,0.175,1761.191,188.809,2.348
1895.34,54.66,38.5,16219.696,369.064,5074.079,7663.848,1944.842,1756.93,193.07,71,0.07,10.5,11,0.73,-18.3,1756.932,193.068,71,-4.022,-0.993,NA,NA,NA,NA,NA,-2749.7,4699.7,3.058,22.324,0.765,0.153,1756.932,193.068,2.348
1893.211,56.789,39,16855.382,431.957,5200.782,8090.646,2020.716,1752.67,197.33,72,0.06,10.9,13,0.74,-18,1752.674,197.326,72,-4.126,-0.961,NA,NA,NA,NA,NA,-2822.5,4772.5,1.768,18.971,0.643,0,1752.674,197.326,2.348
1891.081,58.919,39.5,15167.597,425.319,4922.073,7849.714,1991.071,1748.41,201.59,73,0.07,11.5,10,0.7,-18.5,1748.415,201.585,73,-4.008,-0.208,NA,NA,NA,NA,NA,-2923.9,4873.9,2.226,19.692,0.342,0.171,1748.415,201.585,2.348
1888.952,61.048,40,11609.075,269.994,4016.747,5750.449,1627.991,1744.16,205.84,74,0.06,10.9,6,0.39,-19.2,1744.156,205.844,74,-4.657,-1.047,NA,NA,NA,NA,NA,-2964.5,4914.5,2.58,19.272,0.607,0,1744.156,205.844,2.348
1886.823,63.177,40.5,9777.361,261.033,3870.492,5721.511,1766.824,1739.9,210.1,75,0.06,11.2,10,0.64,-18.2,1739.898,210.102,75,-5.638,-1.976,NA,NA,NA,NA,NA,-2984.8,4934.8,2.975,29.256,0.165,0,1739.898,210.102,2.348
1884.693,65.307,41,7341.214,287.418,3140.175,5580.126,1528.048,1735.64,214.36,76,0.06,11.9,10,0.63,-17.8,1735.639,214.361,76,-6.801,-1.429,NA,NA,NA,NA,NA,-3005.1,4955.1,2.733,17.363,0.643,0,1735.639,214.361,2.348
1882.564,67.436,41.5,13644.35,381.842,4659.274,6952.462,1882.47,1731.38,218.62,77,0.07,10.7,10,0.7,-17.6,1731.38,218.62,77,-6.404,-1.182,NA,NA,NA,NA,NA,-3025.4,4975.4,2.752,19.725,0.459,0.153,1731.38,218.62,2.348
1880.435,69.565,42,14000.456,439.093,5233.56,8351.586,2000.023,1727.12,222.88,78,0.07,9.9,10,0.74,-17.7,1727.121,222.879,78,-4.977,-1.169,NA,NA,NA,NA,NA,-3045.7,4995.7,4.978,20.498,0.439,0,1727.121,222.879,2.348
1878.305,71.695,42.5,17104.385,429.8,5434.446,8453.119,2161.604,1722.86,227.14,79,0.08,11.6,10,0.84,-17.9,1722.863,227.137,79,-5.797,-0.272,NA,NA,NA,NA,NA,-3065.9,5015.9,3.404,12.318,0,0,1722.863,227.137,2.348
1876.176,73.824,43,17641.416,430.796,5189.856,8407.809,2184.792,1718.6,231.4,80,0.08,11,10,0.82,-17.6,1718.604,231.396,80,-4.691,-0.162,NA,NA,NA,NA,NA,-3086.2,5036.2,3.355,25.719,0,0.16,1718.604,231.396,2.348
1874.047,75.953,43.5,17020.596,440.254,5244.87,8518.602,2180.683,1714.35,235.65,81,0.08,10.7,10,0.81,-17.8,1714.345,235.655,81,-5.904,-1.229,NA,NA,NA,NA,NA,-3106.5,5056.5,6.27,12.696,0.313,0.157,1714.345,235.655,2.348
1871.917,78.083,44,15809.026,403.912,4823.356,7921.15,1985.935,1710.09,239.91,82,0.07,10.5,12,0.84,-16.7,1710.087,239.913,82,-5.526,-0.365,NA,NA,NA,NA,NA,-3126.8,5076.8,4.069,17.371,0.469,0,1710.087,239.913,2.348
1869.788,80.212,44.5,16069.01,363.422,4314.817,7226.466,1827.289,1705.83,244.17,83,0.15,8.4,13,1.93,-13,1705.828,244.172,83,-5.879,1.147,NA,NA,NA,NA,NA,-3147.1,5097.1,4.48,23.2,0.16,0,1705.828,244.172,2.348
1867.659,82.341,45,16132.528,404.41,4551.739,7506.423,1835.948,1701.57,248.43,84,0.1,9.2,12,1.14,-14.6,1701.569,248.431,84,-4.85,2.931,NA,NA,NA,NA,NA,-3167.4,5117.4,3.409,22.403,0.162,0,1701.569,248.431,2.348
1865.529,84.471,45.5,15481.132,360.103,4474.298,7195.378,1725.292,1697.31,252.69,85,0.14,8.9,13,1.75,-13.2,1697.311,252.69,85,-5.341,2.789,NA,NA,NA,NA,NA,-3187.7,5137.7,5.297,19.904,0.321,0.161,1697.311,252.69,2.348
1863.4,86.6,46,14145.06,397.772,4540.621,7778.443,1831.105,1693.05,256.95,86,0.14,8.7,13,1.79,-13.2,1693.052,256.948,86,-5.621,2.668,NA,NA,NA,NA,NA,-3207.9,5157.9,3.662,12.58,0.159,0,1693.052,256.948,2.348
1861.27,88.73,46.5,11597.926,454.692,4585.475,8326.948,2055.205,1688.79,261.21,87,0.12,8.8,14,1.6,-13.9,1688.793,261.207,87,-4.887,4.419,NA,NA,NA,NA,NA,-3253.9,5203.9,3.571,14.441,0.466,0.155,1688.793,261.207,2.348
1859.141,90.859,47,16815.007,456.683,5143.469,8980.291,2084.85,1637.69,312.31,99,0.11,10.5,12,1.28,-14.6,1637.689,312.311,99,-4.761,6.772,NA,NA,NA,NA,NA,-3376.9,5326.9,3.105,12.418,0,0,1637.689,312.311,2.348
1857.012,92.988,47.5,18246.187,523.891,5552.14,9514.409,2304.841,1595.1,354.9,109,0.11,10.9,12,1.29,-14.7,1595.102,354.898,109,-7.17,2.835,NA,NA,NA,NA,NA,-3499.8,5449.8,3.13,21.746,0,0,1595.102,354.898,2.348
1854.882,95.118,48,19081.379,537.001,5887.779,9856.708,2325.093,1552.51,397.49,119,0.07,11.1,13,0.93,-16.4,1552.515,397.485,119,-8.071,1.726,NA,NA,NA,NA,NA,-3622.7,5572.7,2.91,9.035,0,0.153,1552.515,397.485,2.348
