depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil)
NA,NA,NA,0.695,17342,2.5,NA
NA,NA,NA,0.706,17512,NA,3.09
NA,NA,NA,0.739,17997,2.9,NA
NA,NA,NA,0.751,18168,3,NA
NA,NA,NA,0.762,18339,3.1,NA
NA,NA,NA,0.774,18510,3.2,NA
NA,NA,NA,0.785,18681,3.1,NA
NA,NA,NA,0.797,18852,3.3,NA
NA,NA,NA,0.808,19023,3,NA
NA,NA,NA,0.82,19194,3.1,NA
NA,NA,NA,0.831,19365,3.3,NA
NA,NA,NA,0.843,19536,3.2,NA
NA,NA,NA,0.854,19707,3.1,NA
NA,NA,NA,0.878,20064,3.8,NA
NA,NA,NA,0.89,20243,2.7,NA
NA,NA,NA,0.938,20957,3,NA
NA,NA,NA,0.95,21135,3.2,NA
NA,NA,NA,0.974,21492,2.6,NA
NA,NA,NA,0.987,21686,2.9,NA
NA,NA,NA,0.998,21853,3.1,NA
NA,NA,NA,1.01,22020,3.1,NA
NA,NA,NA,1.021,22188,2.9,NA
NA,NA,NA,1.032,22355,3,NA
NA,NA,NA,1.043,22522,2.8,NA
NA,NA,NA,1.055,22689,2.8,NA
NA,NA,NA,1.066,22857,2.8,NA
NA,NA,NA,1.077,23024,2.9,NA
NA,NA,NA,1.088,23192,2.9,NA
NA,NA,NA,1.1,23359,3,NA
NA,NA,NA,1.111,23526,3,NA
NA,NA,NA,1.122,23694,2.8,NA
NA,NA,NA,1.134,23869,2.8,NA
NA,NA,NA,1.146,24045,2.8,NA
NA,NA,NA,1.157,24157,2.3,NA
NA,NA,NA,1.169,24232,2.4,NA
NA,NA,NA,1.181,24307,2,NA
NA,NA,NA,1.193,24381,NA,3.42
NA,NA,NA,1.205,24456,NA,3.38
NA,NA,NA,1.216,24531,1.5,NA
NA,NA,NA,1.228,24606,NA,3.24
NA,NA,NA,1.24,24681,NA,3.22
NA,NA,NA,1.252,24756,NA,3.07
NA,NA,NA,1.264,24830,NA,3.22
NA,NA,NA,1.275,24905,NA,3.48
NA,NA,NA,1.287,24979,NA,3.34
NA,NA,NA,1.296,25036,NA,3.16
NA,NA,NA,1.308,25110,2.8,NA
NA,NA,NA,1.319,25184,2.3,NA
NA,NA,NA,1.331,25258,2.2,NA
NA,NA,NA,1.343,25333,2.3,NA
NA,NA,NA,1.354,25407,2.5,NA
NA,NA,NA,1.366,25963,2.5,NA
NA,NA,NA,1.378,26541,1.9,NA
NA,NA,NA,1.39,27118,2.5,NA
NA,NA,NA,1.401,27696,2.5,NA
NA,NA,NA,1.413,28274,2.3,NA
NA,NA,NA,1.425,28851,2.1,NA
NA,NA,NA,1.436,29429,1.7,NA
NA,NA,NA,1.448,30007,1.8,NA
NA,NA,NA,1.46,30584,2.1,NA
NA,NA,NA,1.472,31162,2.2,NA
NA,NA,NA,1.483,31740,2,NA
NA,NA,NA,1.495,32317,2.4,NA
NA,NA,NA,1.507,32895,1.7,NA
NA,NA,NA,1.518,33472,1.7,NA
NA,NA,NA,1.53,34050,1.5,NA
NA,NA,NA,1.542,34628,1.7,NA
NA,NA,NA,1.553,35206,1.5,NA
NA,NA,NA,1.565,35783,NA,3.03
NA,NA,NA,1.577,36361,NA,3.1
NA,NA,NA,1.588,36938,NA,2.92
NA,NA,NA,1.6,37506,NA,3.1
NA,NA,NA,1.643,39020,NA,3.25
NA,NA,NA,1.734,41833,NA,3.27
NA,NA,NA,1.747,42235,NA,2.9
NA,NA,NA,1.786,43440,NA,3.18
NA,NA,NA,1.799,43842,NA,2.87
NA,NA,NA,1.813,44275,NA,2.82
NA,NA,NA,1.861,45759,NA,3.25
NA,NA,NA,1.873,46130,NA,3.07
NA,NA,NA,1.885,46501,NA,2.73
NA,NA,NA,1.897,46872,NA,2.42
NA,NA,NA,1.909,47242,NA,2.85
NA,NA,NA,1.921,47613,2,NA
NA,NA,NA,1.933,47984,1.9,NA
NA,NA,NA,1.945,48355,NA,2.31
NA,NA,NA,1.957,48726,1.8,NA
NA,NA,NA,1.969,49097,2.3,NA
NA,NA,NA,1.981,49468,1.3,NA
NA,NA,NA,1.993,49839,1.5,NA
NA,NA,NA,2.005,50210,1.4,NA
NA,NA,NA,2.017,50445,1.2,NA
NA,NA,NA,2.029,50679,1.3,NA
NA,NA,NA,2.041,50914,1.2,NA
NA,NA,NA,2.065,51383,NA,2.95
NA,NA,NA,2.077,51618,NA,3.09
NA,NA,NA,2.089,51852,2.4,NA
NA,NA,NA,2.101,52087,2,NA
NA,NA,NA,2.113,52322,1.5,NA
NA,NA,NA,2.125,52556,1.6,NA
NA,NA,NA,2.137,52791,1.4,NA
NA,NA,NA,2.153,53104,1.5,NA
NA,NA,NA,2.166,53358,1.4,NA
NA,NA,NA,2.228,54570,1.1,NA
NA,NA,NA,2.251,55172,1.6,NA
NA,NA,NA,2.262,57066,1.9,NA
NA,NA,NA,2.273,58960,1.7,NA
NA,NA,NA,2.284,59479,1.8,NA
NA,NA,NA,2.296,60045,1.7,NA
NA,NA,NA,2.307,60563,1.8,NA
NA,NA,NA,2.318,61082,2.1,NA
NA,NA,NA,2.329,61601,2.4,NA
NA,NA,NA,2.34,62120,2.2,NA
NA,NA,NA,2.362,63157,2.3,NA
NA,NA,NA,2.373,63676,2.5,NA
NA,NA,NA,2.384,64195,2.1,NA
NA,NA,NA,2.4,64949,2.2,NA
NA,NA,NA,2.415,65657,2.5,NA
NA,NA,NA,2.429,66317,2.3,NA
NA,NA,NA,2.443,66977,2.3,NA
NA,NA,NA,2.457,67638,2.7,NA
NA,NA,NA,2.47,68251,2.5,NA
NA,NA,NA,2.496,69477,NA,3.58
NA,NA,NA,2.508,70062,2.8,NA
NA,NA,NA,2.521,70647,2.5,NA
NA,NA,NA,2.533,71231,2.4,NA
NA,NA,NA,2.546,71816,2.3,NA
NA,NA,NA,2.558,72401,2.8,NA
NA,NA,NA,2.57,72986,2.2,NA
NA,NA,NA,2.583,73570,2.2,NA
NA,NA,NA,2.595,74005,1.8,NA
NA,NA,NA,2.608,74231,1.4,NA
NA,NA,NA,2.62,74457,1.2,NA
NA,NA,NA,2.632,74683,1.4,NA
NA,NA,NA,2.645,74909,1.6,NA
NA,NA,NA,2.657,75135,1.9,NA
NA,NA,NA,2.67,75361,1.4,NA
NA,NA,NA,2.682,75587,1.6,NA
NA,NA,NA,2.694,75813,1.5,NA
NA,NA,NA,2.707,76039,0.8,NA
NA,NA,NA,2.719,76265,0.7,NA
NA,NA,NA,2.732,76491,0.8,NA
NA,NA,NA,2.744,76717,1,NA
NA,NA,NA,2.757,76954,1.7,NA
NA,NA,NA,2.77,77183,1.8,NA
NA,NA,NA,2.782,77413,1.9,NA
NA,NA,NA,2.795,77642,1.3,NA
NA,NA,NA,2.807,77872,1.1,NA
NA,NA,NA,2.82,78102,0.9,NA
NA,NA,NA,2.833,78331,0.7,NA
NA,NA,NA,2.845,78561,0.5,NA
NA,NA,NA,2.858,78791,0.8,NA
NA,NA,NA,2.87,79020,0,NA
NA,NA,NA,2.883,79250,0.5,NA
NA,NA,NA,2.896,79719,0.1,NA
NA,NA,NA,2.908,80181,0.2,NA
NA,NA,NA,2.92,80628,-0.2,NA
NA,NA,NA,2.931,81085,-0.1,NA
NA,NA,NA,2.943,82098,0,NA
NA,NA,NA,2.955,83111,-0.6,NA
NA,NA,NA,2.966,84040,0.4,NA
NA,NA,NA,2.978,85054,1.2,NA
NA,NA,NA,2.991,86152,1.5,NA
NA,NA,NA,3.016,88263,1.5,NA
NA,NA,NA,3.029,89361,1.1,NA
NA,NA,NA,3.042,90459,1.2,NA
NA,NA,NA,3.054,91055,1.5,NA
NA,NA,NA,3.081,91747,1.3,NA
NA,NA,NA,3.108,92453,1.4,NA
NA,NA,NA,3.121,92806,1.4,NA
NA,NA,NA,3.134,93159,1.3,NA
NA,NA,NA,3.148,93512,1.3,NA
NA,NA,NA,3.161,93865,0.8,NA
NA,NA,NA,3.175,94218,0.9,NA
NA,NA,NA,3.187,94532,1.4,NA
NA,NA,NA,3.199,94846,1.5,NA
NA,NA,NA,3.211,95159,1.3,NA
NA,NA,NA,3.223,95473,1.6,NA
NA,NA,NA,3.235,95787,1.3,NA
NA,NA,NA,3.247,96100,1.4,NA
NA,NA,NA,3.259,96414,1.3,NA
NA,NA,NA,3.271,96728,1.2,NA
NA,NA,NA,3.284,97068,1.1,NA
NA,NA,NA,3.296,97381,0.9,NA
NA,NA,NA,3.309,97711,1.3,NA
NA,NA,NA,3.321,98040,1.4,NA
NA,NA,NA,3.334,98370,1.2,NA
NA,NA,NA,3.346,98699,0.7,NA
NA,NA,NA,3.359,99028,0.8,NA
NA,NA,NA,3.372,99358,0.3,NA
NA,NA,NA,3.384,99687,0.2,NA
NA,NA,NA,3.397,100017,0.4,NA
NA,NA,NA,3.409,100346,0,NA
NA,NA,NA,3.422,100676,0.1,NA
NA,NA,NA,3.435,101005,0,NA
NA,NA,NA,3.447,101334,0.6,NA
NA,NA,NA,3.46,101664,0.8,NA
NA,NA,NA,3.472,101993,1.1,NA
NA,NA,NA,3.485,102323,NA,2.25
NA,NA,NA,3.51,102981,-1.2,NA
NA,NA,NA,3.523,104020,-0.9,NA
NA,NA,NA,3.535,104341,-0.7,NA
NA,NA,NA,3.548,104661,-0.6,NA
NA,NA,NA,3.561,104981,0.6,NA
NA,NA,NA,3.573,105302,0.6,NA
NA,NA,NA,3.598,105942,0.8,NA
NA,NA,NA,3.611,106263,1.4,NA
NA,NA,NA,3.624,106583,1.1,NA
NA,NA,NA,3.637,106924,1.9,NA
NA,NA,NA,3.651,107522,1.6,NA
NA,NA,NA,3.666,108181,2,NA
NA,NA,NA,3.68,108840,1.6,NA
NA,NA,NA,3.695,109499,1.4,NA
NA,NA,NA,3.709,110158,1.1,NA
NA,NA,NA,3.723,110817,1.3,NA
