year (AD),age (BP),RegionalMeanAnnualTemp (degC),T.MinusSD (degC),T.PlusSD (degC)
-550,2500,-0.075,-0.375,0.224
-600,2550,-0.05,-0.314,0.213
-650,2600,-0.04,-0.244,0.165
-700,2650,-0.058,-0.202,0.086
-750,2700,-0.039,-0.187,0.109
-800,2750,-0.015,-0.185,0.155
-850,2800,0.004,-0.221,0.228
-900,2850,0.031,-0.223,0.285
-950,2900,0.036,-0.244,0.317
-1000,2950,0.047,-0.289,0.383
-1050,3000,0.078,-0.279,0.435
-1100,3050,0.153,-0.121,0.428
-1150,3100,0.268,0.106,0.429
-1200,3150,0.31,0.128,0.493
-1250,3200,0.34,0.145,0.534
-1300,3250,0.359,0.152,0.565
-1350,3300,0.348,0.143,0.554
-1400,3350,0.35,0.134,0.565
-1450,3400,0.378,0.164,0.592
-1500,3450,0.395,0.203,0.587
-1550,3500,0.396,0.202,0.59
-1600,3550,0.387,0.214,0.561
-1650,3600,0.391,0.197,0.585
-1700,3650,0.363,0.197,0.53
-1750,3700,0.329,0.186,0.472
-1800,3750,0.294,0.084,0.503
-1850,3800,0.256,-0.021,0.533
-1900,3850,0.263,-0.018,0.543
-1950,3900,0.28,0.022,0.539
-2000,3950,0.301,0.066,0.536
-2050,4000,0.356,0.217,0.496
-2100,4050,0.399,0.333,0.465
-2150,4100,0.43,0.368,0.493
-2200,4150,0.46,0.382,0.539
-2250,4200,0.488,0.39,0.585
-2300,4250,0.506,0.381,0.632
-2350,4300,0.517,0.376,0.658
-2400,4350,0.527,0.369,0.684
-2450,4400,0.529,0.367,0.692
-2500,4450,0.519,0.363,0.675
-2550,4500,0.514,0.368,0.66
-2600,4550,0.505,0.373,0.638
-2650,4600,0.495,0.378,0.611
-2700,4650,0.48,0.378,0.582
-2750,4700,0.473,0.377,0.57
-2800,4750,0.467,0.359,0.576
-2850,4800,0.458,0.314,0.601
-2900,4850,0.447,0.271,0.622
-2950,4900,0.429,0.217,0.642
-3000,4950,0.434,0.211,0.657
-3050,5000,0.436,0.194,0.677
-3100,5050,0.414,0.138,0.691
-3150,5100,0.435,0.163,0.708
-3200,5150,0.432,0.142,0.721
-3250,5200,0.458,0.171,0.745
-3300,5250,0.496,0.221,0.77
-3350,5300,0.537,0.279,0.795
-3400,5350,0.588,0.338,0.838
-3450,5400,0.66,0.447,0.874
-3500,5450,0.709,0.488,0.929
-3550,5500,0.778,0.556,1.001
-3600,5550,0.847,0.586,1.108
-3650,5600,0.918,0.57,1.266
-3700,5650,0.948,0.59,1.306
-3750,5700,0.954,0.624,1.284
-3800,5750,0.949,0.645,1.253
-3850,5800,0.872,0.706,1.038
-3900,5850,0.808,0.485,1.131
-3950,5900,0.805,0.367,1.242
-4000,5950,0.833,0.415,1.251
-4050,6000,0.87,0.485,1.255
-4100,6050,0.953,0.759,1.148
-4150,6100,0.983,0.807,1.159
-4200,6150,1.1,0.803,1.396
-4250,6200,1.186,0.818,1.553
-4300,6250,1.135,0.942,1.327
-4350,6300,1.152,0.985,1.318
-4400,6350,1.147,1.004,1.289
-4450,6400,1.146,0.961,1.331
-4500,6450,1.101,0.818,1.385
-4550,6500,1.121,0.793,1.449
-4600,6550,1.173,0.935,1.411
-4650,6600,1.188,0.937,1.438
-4700,6650,1.226,0.984,1.468
-4750,6700,1.298,1.042,1.554
-4800,6750,1.425,0.921,1.928
-4850,6800,1.508,0.905,2.111
-4900,6850,1.513,0.95,2.076
-4950,6900,1.489,1.023,1.956
-5000,6950,1.378,0.954,1.802
-5050,7000,1.333,0.83,1.835
-5100,7050,1.304,0.703,1.906
-5150,7100,1.321,0.654,1.988
-5200,7150,1.407,0.726,2.089
-5250,7200,1.408,0.693,2.123
-5300,7250,1.478,0.785,2.171
-5350,7300,1.581,0.962,2.201
-5400,7350,1.689,1.166,2.213
-5450,7400,1.864,1.409,2.319
-5500,7450,1.976,1.478,2.473
-5550,7500,2.077,1.476,2.677
-5600,7550,2.148,1.392,2.904
-5650,7600,2.188,1.344,3.032
-5700,7650,2.319,1.232,3.406
-5750,7700,2.242,1.239,3.246
-5800,7750,2.113,1.346,2.88
-5850,7800,1.947,1.651,2.243
-5900,7850,1.819,1.706,1.933
-5950,7900,1.73,1.481,1.98
-6000,7950,1.67,1.382,1.958
-6050,8000,1.628,1.35,1.905
-6100,8050,1.59,1.349,1.832
-6150,8100,1.585,1.421,1.749
-6200,8150,1.572,1.435,1.708
-6250,8200,1.566,1.455,1.677
-6300,8250,1.55,1.446,1.655
-6350,8300,1.519,1.386,1.653
-6400,8350,1.494,1.321,1.667
-6450,8400,1.471,1.27,1.671
-6500,8450,1.449,1.237,1.66
-6550,8500,1.422,1.204,1.641
-6600,8550,1.39,1.142,1.638
-6650,8600,1.348,1.094,1.603
-6700,8650,1.302,1.033,1.571
-6750,8700,1.249,0.964,1.535
-6800,8750,1.102,0.833,1.371
-6850,8800,0.951,0.44,1.462
-6900,8850,0.932,0.439,1.425
-6950,8900,0.951,0.582,1.32
-7000,8950,1.001,0.842,1.161
-7050,9000,1.058,0.869,1.246
-7100,9050,1.073,0.877,1.269
-7150,9100,1.106,0.847,1.365
-7200,9150,1.148,0.791,1.505
-7250,9200,1.084,0.833,1.335
-7300,9250,1.094,0.851,1.336
-7350,9300,1.089,0.866,1.311
-7400,9350,1.089,0.859,1.318
-7450,9400,1.096,0.824,1.368
-7500,9450,1.083,0.767,1.399
-7550,9500,1.07,0.683,1.458
-7600,9550,1.07,0.624,1.517
-7650,9600,1.109,0.646,1.571
-7700,9650,1.123,0.617,1.63
-7750,9700,1.172,0.694,1.65
-7800,9750,1.245,0.834,1.656
-7850,9800,1.353,1.009,1.697
-7900,9850,1.478,1.184,1.772
-7950,9900,1.524,1.153,1.894
-8000,9950,1.581,1.108,2.054
-8050,10000,1.602,1.085,2.119
-8100,10050,1.575,1.087,2.063
-8150,10100,1.527,1.055,1.998
-8200,10150,1.531,1.085,1.978
-8250,10200,1.501,1.102,1.9
-8300,10250,1.458,1.105,1.812
-8350,10300,1.409,1.069,1.749
-8400,10350,1.315,0.993,1.637
-8450,10400,1.242,0.908,1.576
-8500,10450,1.153,0.73,1.576
-8550,10500,0.977,0.542,1.412
-8600,10550,0.822,0.457,1.187
-8650,10600,0.751,0.392,1.11
-8700,10650,0.587,0.098,1.076
-8750,10700,0.491,-0.014,0.996
-8800,10750,0.438,-0.017,0.893
-8850,10800,0.385,-0.057,0.826
-8900,10850,0.381,-0.013,0.775
-8950,10900,0.382,-0.081,0.844
-9000,10950,0.38,-0.168,0.928
-9050,11000,0.394,-0.309,1.097
-9100,11050,0.31,-0.415,1.034
-9150,11100,0.21,-0.48,0.899
-9200,11150,0.09,-0.507,0.688
-9250,11200,-0.059,-0.525,0.406
-9300,11250,-0.227,-0.483,0.03
-9350,11300,-0.358,-0.706,-0.011
-9400,11350,-0.487,-0.942,-0.032
-9450,11400,-0.594,-1.045,-0.143
-9500,11450,-0.581,-0.813,-0.349
-9550,11500,-0.633,-0.879,-0.388
-9600,11550,-0.674,-0.955,-0.392
-9650,11600,-0.666,-0.92,-0.411
-9700,11650,-0.643,-0.92,-0.367
-9750,11700,-0.621,-0.944,-0.297
-9800,11750,-0.627,-0.975,-0.278
-9850,11800,-0.683,-1.003,-0.363
-9900,11850,-0.763,-1.132,-0.394
-9950,11900,-0.715,-0.905,-0.526
-10000,11950,-0.719,-0.908,-0.531
-10050,12000,-0.668,-0.801,-0.535
