year (AD),age (BP),d18O (permil),core (missing),compositeDepth (missing),calibrated (missing),TOC (missing),TIC (missing),TOTC (missing),d13C (permil)
1250,700,30.31,PLC97-1,74.234,CAL,3.23,2.47,5.7,4.49
1242,708,30.34,PLC97-1,75.187,CAL,3.21,2.57,5.78,4.41
1234,716,30.48,PLC97-1,76.139,CAL,3.04,2.66,5.7,4.51
1226,724,30.58,PLC97-1,77.091,CAL,2.98,2.5,5.48,4.55
1218,732,30.61,PLC97-1,78.034,CAL,3.02,2.39,5.41,4.53
1210,740,30.57,PLC97-1,79.009,CAL,3.03,2.42,5.45,4.53
1202,748,30.71,PLC97-1,79.848,CAL,2.97,2.47,5.45,4.56
1194,756,30.87,PLC97-1,80.626,CAL,2.9,2.53,5.43,4.62
1186,764,30.55,PLC97-1,81.791,CAL,2.93,2.49,5.42,4.47
1178,772,30.61,PLC97-1,82.787,CAL,2.91,2.47,5.37,4.43
1170,780,30.75,PLC97-1,83.712,CAL,3,2.48,5.48,4.57
1162,788,30.55,PLC97-1,84.661,CAL,3.08,2.42,5.5,4.46
1154,796,30.47,PLC97-1,85.6,CAL,3,2.55,5.55,4.44
1146,804,30.66,PLC97-1,86.541,CAL,2.94,2.7,5.64,4.57
1138,812,30.82,PLC97-1,87.482,CAL,2.98,2.68,5.67,4.54
1130,820,30.75,PLC97-1,88.415,CAL,2.97,2.62,5.59,4.46
1122,828,30.44,PLC97-1,89.369,CAL,3.19,2.54,5.73,4.44
1114,836,30.12,PLC97-1,90.254,CAL,3.42,2.43,5.84,4.34
1106,844,30.33,PLC97-1,91.352,CAL,3.28,2.31,5.59,4.33
1098,852,30.39,PLC97-1,93.473,CAL,2.89,2.71,5.6,4.47
1090,860,30.23,PLC97-1,95.738,CAL,3.22,2.54,5.77,4.35
1082,868,30.17,PLC97-1,98,CAL,3.12,2.4,5.52,4.33
1074,876,30.11,PLC97-1,100.256,CAL,3.2,2.22,5.42,4.22
1066,884,29.97,PLC97-1,102.506,CAL,3.3,2.09,5.39,4.23
1058,892,30.03,PLC97-1,104.751,CAL,3.18,1.81,4.98,4.24
1050,900,29.76,PLC97-1,106.989,CAL,3.03,1.92,4.95,4.34
1042,908,30.17,PLC97-1,109.222,CAL,2.94,1.69,4.63,4.39
1034,916,30.03,PLC97-1,111.444,CAL,2.87,2.19,5.06,4.45
1026,924,29.96,PLC97-1,113.523,CAL,2.63,2.05,4.67,4.34
1018,932,29.82,PLC97-1,115.917,CAL,4.42,2.04,6.47,4.34
1010,940,30.08,PLC97-1,118.099,CAL,2.6,2.05,4.65,4.42
1002,948,30.27,PLC97-1,120.302,CAL,3.03,1.9,4.94,4.44
994,956,30.07,PLC97-1,122.502,CAL,3.69,2.2,5.89,4.39
986,964,30.15,PLC97-1,124.696,CAL,2.78,2.59,5.37,4.6
978,972,30.1,PLC97-1,126.885,CAL,2.72,2.52,5.24,4.38
970,980,30.22,PLC97-1,129.068,CAL,2.72,2.49,5.21,4.47
962,988,30.08,PLC97-1,131.246,CAL,2.81,2.12,4.93,4.26
954,996,30.11,PLC97-1,133.419,CAL,2.28,2.12,4.41,4.42
946,1004,30.13,PLC97-1,135.586,CAL,2.55,2.64,5.19,4.53
938,1012,30.2,PLC97-1,137.749,CAL,2.66,2.36,5.02,4.38
930,1020,30.47,PLC97-1,139.906,CAL,2.56,2.36,4.91,4.52
922,1028,30.76,PLC97-1,142.058,CAL,4.1,1.93,6.03,4.37
914,1036,30.78,PLC97-1,144.205,CAL,2.56,2.05,4.61,4.38
906,1044,30.82,PLC97-1,146.347,CAL,2.62,2.01,4.63,4.45
898,1052,30.7,PLC97-1,148.483,CAL,2.54,2.1,4.64,4.54
890,1060,30.5,PLC97-1,150.615,CAL,2.97,2.04,5,4.46
882,1068,30.56,PLC97-1,152.742,CAL,2.7,2.22,4.91,4.49
874,1076,30.34,PLC97-1,154.864,CAL,2.56,2,4.56,4.35
866,1084,30.51,PLC97-1,156.982,CAL,2.43,2.33,4.76,4.56
858,1092,30.17,PLC97-1,159.094,CAL,2.46,1.68,4.14,4.4
850,1100,30.38,PLC97-1,161.201,CAL,2.72,2.47,5.2,4.63
842,1108,30.32,PLC97-1,163.304,CAL,2.98,2.04,5.02,4.57
834,1116,30.43,PLC97-1,165.402,CAL,3.4,1.82,5.22,4.64
826,1124,30.64,PLC97-1,167.496,CAL,3.62,1.94,5.56,4.76
818,1132,30.33,PLC97-1,169.584,CAL,3.46,2.45,5.91,4.88
810,1140,30.4,PLC97-1,171.668,CAL,3.16,2.37,5.52,4.88
802,1148,30.46,PLC97-1,173.747,CAL,3.05,2.18,5.23,4.77
794,1156,30.5,PLC97-1,175.822,CAL,3.12,2.52,5.64,4.92
786,1164,30.4,PLC97-1,177.892,CAL,4.09,2.43,6.53,4.77
778,1172,30.5,PLC97-1,179.958,CAL,2.95,2.59,5.53,4.78
770,1180,30.83,PLC97-1,182.019,CAL,3.33,2.47,5.8,4.72
762,1188,30.67,PLC97-1,184.076,CAL,3.42,2.64,6.06,4.8
754,1196,30.7,PLC97-1,186.128,CAL,2.76,2.43,5.2,4.65
746,1204,30.48,PLC97-1,188.176,CAL,2.93,2.46,5.39,4.59
738,1212,30.75,PLC97-1,190.219,CAL,2.97,2.44,5.42,4.87
730,1220,30.81,PLC97-1,192.259,CAL,3.06,2.79,5.85,4.84
722,1228,30.67,PLC97-1,194.293,CAL,3.12,2.66,5.78,4.84
714,1236,30.87,PLC97-1,196.324,CAL,3.22,2.1,5.32,4.67
706,1244,30.81,PLC97-1,198.35,CAL,3.05,2.18,5.23,4.65
698,1252,30.95,PLC97-1,200.372,CAL,2.95,2.26,5.21,4.68
690,1260,30.91,PLC97-1,202.39,CAL,3.23,1.94,5.17,4.7
682,1268,30.98,PLC97-1,204.403,CAL,2.85,2.38,5.23,4.84
674,1276,30.75,PLC97-1,206.413,CAL,2.89,1.93,4.82,4.7
666,1284,30.44,PLC97-1,208.418,CAL,3.07,2.5,5.57,4.9
658,1292,30.73,PLC97-1,210.419,CAL,3.17,2.57,5.73,4.86
650,1300,30.5,PLC97-1,212.416,CAL,2.96,2.55,5.51,4.82
642,1308,30.81,PLC97-1,214.409,CAL,3.18,2.54,5.72,4.88
634,1316,30.9,PLC97-1,216.398,CAL,3.53,2.46,5.99,4.75
626,1324,31.01,PLC97-1,218.383,CAL,3.51,2.29,5.8,4.8
618,1332,30.55,PLC97-1,220.364,CAL,3.39,2.25,5.64,4.71
610,1340,30.6,PLC97-1,222.341,CAL,3.09,2.47,5.57,4.65
602,1348,30.83,PLC97-1,224.314,CAL,3.23,2.42,5.65,4.73
594,1356,30.46,PLC97-1,226.283,CAL,3.26,2.69,5.95,4.64
586,1364,30.63,PLC97-1,228.248,CAL,3.21,2.58,5.79,4.71
578,1372,30.56,PLC97-1,230.209,CAL,3.1,2.63,5.73,4.73
570,1380,30.21,PLC97-1,232.167,CAL,2.98,2.54,5.52,4.58
562,1388,30.29,PLC97-1,234.12,CAL,3.01,2.17,5.18,4.48
554,1396,30.17,PLC97-1,236.07,CAL,2.84,2.47,5.3,4.53
546,1404,30.47,PLC97-1,238.016,CAL,2.88,2.07,4.96,4.55
538,1412,30.19,PLC97-1,239.959,CAL,2.91,2.56,5.46,4.52
530,1420,30.62,PLC97-1,241.897,CAL,2.83,2.39,5.22,4.61
522,1428,30.35,PLC97-1,243.832,CAL,2.92,2.32,5.24,4.52
514,1436,30.38,PLC97-1,245.763,CAL,3.12,2.02,5.13,4.47
506,1444,30.32,PLC97-1,247.691,CAL,3.3,1.97,5.27,4.4
498,1452,30.21,PLC97-1,249.614,CAL,3.39,2.33,5.72,4.59
490,1460,30.31,PLC97-1,251.534,CAL,3.26,2.4,5.66,4.63
482,1468,30.24,PLC97-1,253.451,CAL,3.18,2.53,5.72,4.67
474,1476,30.55,PLC97-1,255.363,CAL,3.15,1.81,4.96,4.48
466,1484,30.72,PLC97-1,257.264,CAL,2.91,2.29,5.2,4.73
458,1492,30.58,PLC97-1,258.928,CAL,2.95,2.67,5.62,4.69
450,1500,30.56,PLC97-1,261.585,CAL,2.79,2.49,5.29,4.72
442,1508,30.41,PLC97-1,262.977,CAL,2.64,2.52,5.16,4.74
434,1516,30.55,PLC97-1,264.874,CAL,2.61,2.1,4.71,4.72
426,1524,30.56,PLC97-1,266.767,CAL,2.69,2.4,5.09,4.92
418,1532,30.37,PLC97-1,268.655,CAL,2.87,2.24,5.11,4.77
410,1540,30.46,PLC97-1,270.54,CAL,2.76,1.77,4.53,4.54
402,1548,30.5,PLC97-1,272.422,CAL,2.8,1.46,4.26,4.49
394,1556,30.46,PLC97-1,274.3,CAL,2.81,2.26,5.08,4.63
386,1564,30.65,PLC97-1,276.174,CAL,3.15,2.46,5.61,4.83
378,1572,30.56,PLC97-1,278.046,CAL,3.11,2.37,5.48,4.76
370,1580,30.16,PLC97-1,279.914,CAL,3.05,2.56,5.61,4.91
362,1588,30.14,PLC97-1,281.778,CAL,3.1,2.5,5.6,4.82
354,1596,30.37,PLC97-1,283.64,CAL,3.14,2.32,5.47,4.85
346,1604,30.67,PLC97-1,285.498,CAL,2.91,2.38,5.29,4.93
338,1612,29.93,PLC97-1,287.353,CAL,2.77,2.84,5.62,4.71
330,1620,30.36,PLC97-1,289.204,CAL,2.78,2.73,5.5,4.98
322,1628,30.35,PLC97-1,291.052,CAL,2.72,2.49,5.21,4.94
314,1636,29.98,PLC97-1,292.897,CAL,2.67,2.65,5.33,4.91
306,1644,30.06,PLC97-1,294.739,CAL,2.74,2.04,4.78,4.79
298,1652,30.25,PLC97-1,296.578,CAL,2.7,2.26,4.96,4.8
290,1660,30.3,PLC97-1,298.413,CAL,2.61,2.28,4.89,4.91
282,1668,30.19,PLC97-1,300.246,CAL,2.51,2.09,4.6,4.89
274,1676,30.19,PLC97-1,302.075,CAL,2.43,1.76,4.19,4.73
266,1684,30.57,PLC97-1,303.901,CAL,2.38,1.7,4.08,4.74
258,1692,30.61,PLC97-1,305.724,CAL,2.92,2.14,5.05,4.84
250,1700,30.54,PLC97-1,307.544,CAL,3.04,2.45,5.49,4.91
242,1708,30.56,PLC97-1,309.36,CAL,3.09,2.67,5.75,4.98
234,1716,30.37,PLC97-1,311.174,CAL,3.08,2.59,5.67,4.77
226,1724,30.37,PLC97-1,312.985,CAL,2.97,2.71,5.68,4.75
218,1732,30.33,PLC97-1,314.792,CAL,3.12,2.68,5.8,4.77
210,1740,30.24,PLC97-1,316.597,CAL,3.22,2.56,5.77,4.81
202,1748,30.35,PLC97-1,318.399,CAL,3.2,2.7,5.9,4.73
194,1756,30.14,PLC97-1,320.197,CAL,3.09,2.63,5.72,4.6
186,1764,30.51,PLC97-1,321.993,CAL,3.09,2.76,5.85,4.81
178,1772,30.64,PLC97-1,323.786,CAL,3.11,2.79,5.91,4.91
170,1780,30.29,PLC97-1,325.575,CAL,3.04,2.61,5.65,4.73
162,1788,30.28,PLC97-1,327.362,CAL,2.98,2.74,5.72,4.76
154,1796,30.16,PLC97-1,329.146,CAL,2.84,2.48,5.31,4.62
146,1804,30.22,PLC97-1,330.927,CAL,2.65,2.37,5.02,4.64
138,1812,30.17,PLC97-1,332.705,CAL,2.6,2.29,4.88,4.52
130,1820,30.71,PLC97-1,334.48,CAL,2.48,2.63,5.11,4.95
122,1828,30.69,PLC97-1,336.253,CAL,2.38,2.45,4.84,4.75
114,1836,30.52,PLC97-1,338.022,CAL,2.21,2.26,4.47,4.7
106,1844,30.68,PLC97-1,339.789,CAL,2.55,2.61,5.16,4.62
98,1852,30.62,PLC97-1,341.553,CAL,2.62,2.62,5.23,4.76
90,1860,30.66,PLC97-1,343.314,CAL,2.76,2.37,5.13,4.73
82,1868,30.58,PLC97-1,345.072,CAL,2.97,2.33,5.3,4.72
74,1876,30.75,PLC97-1,346.828,CAL,2.84,2.41,5.26,4.74
66,1884,30.86,PLC97-1,348.581,CAL,2.66,2.47,5.14,4.84
58,1892,30.81,PLC97-1,350.331,CAL,2.79,2.64,5.43,4.77
50,1900,30.7,PLC97-1,352.078,CAL,2.83,2.8,5.62,4.84
42,1908,30.82,PLC97-1,353.823,CAL,3.59,2.91,6.5,4.99
34,1916,30.5,PLC97-1,355.564,CAL,2.58,2.87,5.52,4.97
26,1924,30.45,PLC97-1,357.304,CAL,2.59,2.74,5.42,4.91
18,1932,30.45,PLC97-1,359.04,CAL,2.55,2.88,5.45,4.99
10,1940,30.62,PLC97-1,360.774,CAL,2.62,2.79,5.47,4.86
2,1948,30.4,PLC97-1,362.505,CAL,2.79,2.64,5.39,4.72
-6,1956,30.08,PLC97-1,364.233,CAL,2.72,2.73,5.44,4.98
-14,1964,30.37,PLC97-1,365.959,CAL,2.59,2.48,5.08,4.85
-22,1972,29.99,PLC97-1,367.682,CAL,2.56,2.77,5.33,4.74
-30,1980,30.23,PLC97-1,369.403,CAL,2.8,2.37,5.17,4.82
-38,1988,30.14,PLC97-1,371.121,CAL,2.82,2.3,5.12,4.74
-46,1996,30.24,PLC97-1,372.836,CAL,2.75,2.48,5.23,4.75
-54,2004,30.45,PLC97-1,374.549,CAL,2.8,2.29,5.08,4.8
-62,2012,30.92,PLC97-1,376.259,CAL,2.89,2.4,5.29,4.92
-70,2020,30.62,PLC97-1,377.967,CAL,2.92,2.02,4.93,4.48
-78,2028,30.62,PLC97-1,379.672,CAL,3.06,2.67,5.73,4.8
-86,2036,30.57,PLC97-1,381.375,CAL,2.91,2.56,5.47,4.61
-94,2044,30.17,PLC97-1,383.075,CAL,3.04,1.55,4.59,4.16
-102,2052,30.07,PLC97-1,384.773,CAL,2.96,1.84,4.79,4.22
-110,2060,29.86,PLC97-1,386.468,CAL,2.73,2.4,5.13,4.35
-118,2068,30.27,PLC97-1,388.16,CAL,2.85,1.71,4.56,4.22
-126,2076,29.94,PLC97-1,389.85,CAL,2.85,2.03,4.88,4.26
-134,2084,30.46,PLC97-1,391.538,CAL,2.86,2.48,5.34,4.39
-142,2092,30.44,PLC97-1,393.223,CAL,3.14,2.37,5.51,4.45
-150,2100,30.3,PLC97-1,394.906,CAL,2.76,2.46,5.22,4.21
-158,2108,30.21,PLC97-1,396.586,CAL,2.58,2.23,4.81,4.22
-166,2116,30.24,PLC97-1,398.264,CAL,2.45,1.95,4.4,4.17
-174,2124,30.19,PLC97-1,399.94,CAL,2.43,1.95,4.38,4.16
-182,2132,30.5,PLC97-1,401.613,CAL,2.33,1.98,4.31,4.3
-190,2140,30.46,PLC97-1,403.283,CAL,2.5,2.12,4.62,4.14
-198,2148,30.38,PLC97-1,404.952,CAL,2.57,2,4.57,4.15
-206,2156,30.48,PLC97-1,406.618,CAL,2.75,1.89,4.64,4.32
-214,2164,30.47,PLC97-1,408.281,CAL,2.85,2.34,5.19,4.45
-222,2172,30.52,PLC97-1,409.942,CAL,3.13,2.36,5.49,4.61
-230,2180,30.58,PLC97-1,411.601,CAL,3.11,2.42,5.53,4.72
-238,2188,30.36,PLC97-1,413.258,CAL,3.1,2.43,5.53,4.72
-246,2196,30.44,PLC97-1,414.912,CAL,3,2.57,5.57,4.88
-254,2204,30.64,PLC97-1,416.564,CAL,3.08,2.47,5.55,4.82
-262,2212,30.48,PLC97-1,418.213,CAL,3.07,2.42,5.49,4.72
-270,2220,30.37,PLC97-1,419.861,CAL,3.01,2.38,5.39,4.73
-278,2228,30.07,PLC97-1,421.506,CAL,2.84,2.3,5.15,4.66
-286,2236,29.79,PLC97-1,423.149,CAL,2.78,2.21,4.98,4.42
-294,2244,30.37,PLC97-1,424.789,CAL,2.69,2.27,4.96,4.64
-302,2252,30.17,PLC97-1,426.427,CAL,2.8,1.82,4.62,4.43
-310,2260,30.26,PLC97-1,428.063,CAL,2.78,2.24,5.02,4.54
-318,2268,30.28,PLC97-1,429.697,CAL,2.82,2.57,5.39,4.75
-326,2276,30.07,PLC97-1,431.328,CAL,2.83,2.34,5.18,4.55
-334,2284,30.21,PLC97-1,432.958,CAL,2.76,2.29,5.05,4.53
-342,2292,30.09,PLC97-1,434.585,CAL,2.74,2.09,4.83,4.52
-350,2300,30.1,PLC97-1,436.21,CAL,2.79,2.18,4.98,4.46
-358,2308,30.34,PLC97-1,437.832,CAL,2.65,2.31,4.96,4.6
-366,2316,30.32,PLC97-1,439.453,CAL,2.84,1.84,4.68,4.5
-374,2324,30.14,PLC97-1,441.071,CAL,2.65,2.17,4.81,4.53
-382,2332,30.56,PLC97-1,442.687,CAL,2.74,2.09,4.83,4.64
-390,2340,30.6,PLC97-1,444.301,CAL,2.78,2.33,5.11,4.84
-398,2348,30.27,PLC97-1,445.913,CAL,2.69,2.38,5.07,4.74
-406,2356,30.45,PLC97-1,447.523,CAL,2.76,2.4,5.15,4.87
-414,2364,30.09,PLC97-1,449.131,CAL,3.3,1.96,5.25,4.44
-422,2372,30.15,PLC97-1,450.736,CAL,3,2.07,5.07,4.47
-430,2380,30.18,PLC97-1,452.339,CAL,2.85,2.48,5.32,4.59
-438,2388,29.78,PLC97-1,453.941,CAL,2.83,2.38,5.21,4.59
-446,2396,29.51,PLC97-1,455.54,CAL,2.78,2.23,5.01,4.38
-454,2404,30.16,PLC97-1,457.137,CAL,2.85,1.7,4.55,4.39
-462,2412,29.86,PLC97-1,458.732,CAL,2.67,2.18,4.85,4.65
-470,2420,30.16,PLC97-1,460.325,CAL,2.54,2.09,4.63,4.59
-478,2428,30.17,PLC97-1,461.916,CAL,2.51,2.11,4.62,4.64
-486,2436,30.12,PLC97-1,463.504,CAL,2.56,1.75,4.31,4.52
-494,2444,30.07,PLC97-1,465.091,CAL,2.3,2.2,4.49,4.62
-502,2452,29.94,PLC97-1,466.676,CAL,2.34,2.04,4.38,4.54
-510,2460,30.37,PLC97-1,468.258,CAL,2.38,1.9,4.28,4.77
-518,2468,29.98,PLC97-1,469.839,CAL,2.34,1.72,4.06,4.33
-526,2476,29.95,PLC97-1,471.418,CAL,2.51,2.24,4.76,4.58
-534,2484,29.5,PLC97-1,472.994,CAL,2.41,2.72,5.13,4.55
-542,2492,29.12,PLC97-1,474.569,CAL,2.32,2.34,4.66,4.34
-550,2500,29.37,PLC97-1,476.141,CAL,2.22,2.17,4.4,4.5
-558,2508,29.18,PLC97-1,477.712,CAL,2.38,1.68,4.07,4.2
-566,2516,30.02,PLC97-1,479.281,CAL,2.39,1.09,3.48,4.28
-574,2524,30.31,PLC97-1,480.847,CAL,2.3,1.53,3.83,4.42
-582,2532,30.13,PLC97-1,482.412,CAL,2.4,1.96,4.37,4.52
-590,2540,30.29,PLC97-1,483.975,CAL,2.63,2.57,5.19,4.83
-598,2548,30.28,PLC97-1,485.536,CAL,2.46,2.49,4.96,4.86
-606,2556,30.05,PLC97-1,487.094,CAL,2.39,2.53,4.91,4.7
-614,2564,30.13,PLC97-1,488.651,CAL,2.47,2.26,4.73,4.72
-622,2572,30.04,PLC97-1,490.206,CAL,2.56,2.04,4.6,4.7
-630,2580,30.36,PLC97-1,491.759,CAL,2.4,2.75,5.15,4.85
-638,2588,30.3,PLC97-1,493.31,CAL,2.65,2.6,5.24,4.91
-646,2596,30.2,PLC97-1,494.86,CAL,2.66,2.5,5.16,4.83
-654,2604,30.07,PLC97-1,496.407,CAL,2.75,2.41,5.16,4.76
-662,2612,30.42,PLC97-1,497.952,CAL,2.66,2.34,5,4.89
-670,2620,30.08,PLC97-1,499.496,CAL,2.72,2.46,5.18,4.72
-678,2628,30.23,PLC97-1,501.038,CAL,2.83,2.3,5.14,4.74
-686,2636,30.16,PLC97-1,502.577,CAL,2.87,2.44,5.31,4.8
-694,2644,30.65,PLC97-1,504.115,CAL,2.8,2.05,4.85,4.72
-702,2652,30.57,PLC97-1,505.651,CAL,2.76,2.34,5.11,4.75
-710,2660,30.33,PLC97-1,507.186,CAL,2.69,2.29,4.98,4.71
-718,2668,30.09,PLC97-1,508.718,CAL,2.64,2.25,4.89,4.64
-726,2676,30.26,PLC97-1,510.249,CAL,2.72,1.96,4.68,4.69
-734,2684,29.92,PLC97-1,511.777,CAL,2.64,1.97,4.61,4.55
-742,2692,30.2,PLC97-1,513.304,CAL,2.77,2.52,5.29,4.73
-750,2700,30.13,PLC97-1,514.829,CAL,2.84,2.48,5.32,4.71
-758,2708,29.72,PLC97-1,516.353,CAL,2.84,2.44,5.28,4.59
-766,2716,29.78,PLC97-1,517.874,CAL,2.68,2.56,5.24,4.7
-774,2724,29.29,PLC97-1,519.394,CAL,2.69,2.41,5.1,4.55
-782,2732,29.2,PLC97-1,520.911,CAL,2.61,2.46,5.07,4.69
-790,2740,29.3,PLC97-1,522.428,CAL,2.76,2.07,4.82,4.72
-798,2748,29.51,PLC97-1,523.942,CAL,2.76,1.97,4.73,4.78
-806,2756,29.9,PLC97-1,525.454,CAL,2.94,1.91,4.85,4.65
-814,2764,29.94,PLC97-1,526.965,CAL,3.13,2.46,5.59,4.86
-822,2772,30.13,PLC97-1,528.474,CAL,3.17,2.49,5.66,4.86
-830,2780,30.13,PLC97-1,529.981,CAL,2.91,2.37,5.29,4.79
-838,2788,30.08,PLC97-1,531.487,CAL,3.02,2.55,5.57,4.87
-846,2796,30.44,PLC97-1,532.99,CAL,3.12,2.25,5.37,4.86
-1479.61,3429.61,28.792,PLC98-4,40.5,CAL,2.3,4.02,1.72,4.425
-1488.049,3438.049,29.61,PLC98-4,41.5,CAL,2.48,4.24,1.76,4.46
-1496.483,3446.483,28.832,PLC98-4,42.5,CAL,2.27,4.13,1.86,4.58
-1504.913,3454.913,28.749,PLC98-4,43.5,CAL,2.61,4.25,1.64,4.57
-1513.338,3463.338,28.301,PLC98-4,44.5,CAL,2.29,4.08,1.79,4.4
-1521.759,3471.759,28.25,PLC98-4,45.5,CAL,2.12,3.79,1.67,4.259
