year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
-5983.73,7933.73,7950.949,26.519,4.025,246.336
-6141.927,8091.927,8106.421,25.998,3.843,272.08
-6221.026,8171.026,8184.217,25.17,3.57,281.911
-6300.124,8250.124,8262.047,26.669,4.08,290.004
-6379.223,8329.223,8339.909,25.6,3.709,296.501
-6458.322,8408.322,8417.8,26.561,4.04,301.505
-6537.421,8487.421,8495.719,25.736,3.754,305.087
-6616.519,8566.519,8573.666,25.922,3.817,307.298
-6695.618,8645.618,8651.639,25.299,3.611,308.167
-6853.815,8803.815,8807.665,24.788,3.451,305.899
-6932.914,8882.914,8885.72,26.211,3.917,302.731
-7012.013,8962.013,8963.804,24.166,3.265,298.153
-7091.112,9041.112,9041.918,26.007,3.846,292.098
-7170.21,9120.21,9120.066,26.118,3.884,284.47
-7249.309,9199.309,9198.251,25.944,3.825,275.134
-7328.408,9278.408,9276.479,25.75,3.759,263.907
-7407.506,9357.506,9354.756,26.931,4.176,250.527
-7486.605,9436.605,9433.095,26.504,4.02,234.621
-7644.803,9594.803,9590.057,27.155,4.26,192.558
-7723.901,9673.901,9668.819,26.733,4.103,163.665
-7803,9753,9747.775,27.578,4.423,127.598
-7936.18,9886.18,9878.688,25.597,3.708,183.727
-8002.77,9952.77,9944.623,27.132,4.251,204.254
-8069.36,10019.36,10010.701,26.694,4.088,221.392
-8202.541,10152.541,10143.128,26.609,4.058,248.355
-8269.131,10219.131,10209.438,25.921,3.817,258.99
-8335.721,10285.721,10275.799,26.449,4,268.065
-8402.311,10352.311,10342.205,25.456,3.662,275.748
-8468.901,10418.901,10408.651,25.628,3.719,282.162
-8588.763,10538.763,10528.346,24.445,3.347,290.801
-8721.943,10671.943,10661.47,25.727,3.751,296.395
-8788.534,10738.534,10728.081,27.199,4.277,297.709
-8855.124,10805.124,10794.724,24.34,3.316,298.068
-8921.714,10871.714,10861.401,25.631,3.72,297.485
-8988.304,10938.304,10928.112,26.551,4.037,295.968
-9121.484,11071.484,11061.645,23.826,3.167,290.111
-9254.664,11204.664,11195.349,25.033,3.527,280.401
-9321.254,11271.254,11262.28,26.61,4.058,274.041
-9387.845,11337.845,11329.276,25.607,3.711,266.639
-9454.435,11404.435,11396.357,25.529,3.686,258.17
-9521.025,11471.025,11463.554,26.424,3.991,248.637
-9654.205,11604.205,11598.75,24.561,3.381,227.376
-9759.616,11709.616,11702.763,24.061,3.235,230.399
-9807.694,11757.694,11749.22,25.623,3.717,236
-9956.734,11906.734,11893.596,23.016,2.947,250.507
-10004.812,11954.812,11940.231,24.004,3.218,253.997
-10052.89,12002.89,11986.888,23.697,3.131,256.877
-10100.967,12050.967,12033.562,23.789,3.157,259.141
-10149.045,12099.045,12080.252,24.421,3.34,260.787
-10197.122,12147.122,12126.957,22.902,2.917,261.812
-10245.2,12195.2,12173.675,23.85,3.174,262.209
-10293.277,12243.277,12220.406,23.268,3.014,261.97
-10341.355,12291.355,12267.15,24.116,3.25,261.083
-10437.51,12387.51,12360.673,22.869,2.909,257.298
-10485.588,12435.588,12407.452,23.824,3.167,254.353
-10533.665,12483.665,12454.243,23.417,3.054,250.662
-10629.82,12579.82,12547.864,22.728,2.873,240.868
-10677.898,12627.898,12594.696,24.113,3.249,234.646
-10725.976,12675.976,12641.542,23.954,3.204,227.431
-10908.67,12858.67,12819.738,25.468,3.666,188.502
-11131.627,13081.627,13032.236,23.999,3.217,112.145
