year (AD),age (BP),temperature (degC),Uk37 (missing),Gruber (permil),TOC (percent)
-13366,15316,26.34,0.92,-0.6,1.06
-13510,15460,26.17,0.92,-0.69,0.86
-13654,15604,26.03,0.91,-0.81,0.97
-13871,15821,25.49,0.89,0.9,NA
-14087,16037,26.38,0.92,-1.14,0.99
-14231,16181,26.59,0.93,1.07,NA
-14376,16326,25.8,0.9,-0.52,1.04
-14592,16542,26.2,0.92,-0.63,0.94
-14809,16759,27.02,0.95,-1.36,1.13
-14953,16903,26.36,0.92,-0.68,1.12
-15097,17047,26.35,0.92,-0.85,1.13
-15314,17264,26.18,0.92,-1.23,1.12
-15530,17480,26.6,0.93,-1.16,1.17
-16009,17959,26.41,0.92,-0.91,1.13
-16968,18918,NA,NA,NA,NA
-17208,19158,26.1,0.91,-0.86,1.2
-17687,19637,NA,NA,NA,NA
-18406,20356,26.78,0.94,-0.96,1.24
-18886,20836,26.63,0.93,-0.81,1.14
-19365,21315,26.65,0.93,-0.59,1.22
-20084,22034,26.77,0.94,-0.84,1.16
-20803,22753,26.72,0.94,-1.02,1.26
-21283,23233,26.36,0.92,-0.43,1.16
-22002,23952,NA,NA,NA,NA
-22481,24431,26.11,0.91,-0.8,1.14
-22721,24671,NA,NA,NA,NA
-23200,25150,26.29,0.92,-1.04,1.22
-23814,25764,26.05,0.91,-0.68,1.24
-24122,26072,26.28,0.92,-0.65,1.23
-25351,27301,26.43,0.93,-0.72,1.25
-26272,28222,25.95,0.91,-1.05,1.38
-26887,28837,26.05,0.91,-0.67,1.33
-27194,29144,NA,NA,NA,NA
-27501,29451,25.87,0.91,-0.78,1.37
-28423,30373,26.34,0.92,-0.8,1.41
-29345,31295,26.32,0.92,-1.2,1.25
-30574,32524,26.3,0.92,-0.86,1.11
-31188,33138,26.25,0.92,-0.76,1.25
-32725,34675,26.39,0.92,-0.77,1.2
-33646,35596,26.31,0.92,-1.11,1.34
-34261,36211,26.6,0.93,-0.83,1.3
-34875,36825,NA,-0.81,NA,NA
-35797,37747,26.47,0.93,-0.77,1.31
-36240,38190,26.71,0.93,-0.87,0.8
-36388,38338,NA,NA,NA,NA
-36536,38486,25.89,0.91,-1.01,1.06
-36831,38781,26.37,0.92,-1.01,1.07
-36979,38929,NA,NA,NA,NA
-37274,39224,26.19,0.92,-1.25,1.13
-37717,39667,26.24,0.92,-1.07,1.05
-37865,39815,26.33,0.92,-1.08,1.04
-38013,39963,26.19,0.92,-1.35,1.05
-38160,40110,26.34,0.92,-1.4,1.03
-38751,40701,26.32,0.92,-1.34,1.04
-38899,40849,26.22,0.92,-1.19,1.05
-39046,40996,25.72,0.9,-1.43,0.87
-39194,41144,25.66,0.9,-1.29,0.81
-39490,41440,26.01,0.91,-0.96,0.71
-39637,41587,26.01,0.91,-1.32,NA
-39785,41735,26.02,0.91,-1.28,NA
-39933,41883,26.05,0.91,-1.06,0.76
-40228,42178,25.43,0.89,-1.4,0.92
-40376,42326,25.73,0.9,-1.26,NA
-40523,42473,NA,-1.05,NA,NA
-40671,42621,25.81,0.9,-1.1,0.96
-40967,42917,25.2,0.88,-1.23,0.85
-41262,43212,25.24,0.88,-1.03,0.96
-41705,43655,24.98,0.87,-1.31,1
-42148,44098,24.89,0.87,-1.01,1
-42444,44394,24.89,0.87,-0.92,1.03
-42739,44689,NA,-1.04,NA,NA
-43182,45132,24.86,0.87,-1.22,1.07
-43625,45575,25,0.87,-1.05,1.09
-43921,45871,24.83,0.87,-1.12,1.06
-44216,46166,24.92,0.87,-1.28,1.05
-44659,46609,25.1,0.88,-1.47,1.13
-45102,47052,25.12,0.88,-1.4,1.15
-45398,47348,25.36,0.89,-1.12,1.12
-45693,47643,24.95,0.87,-1.31,1.08
-46136,48086,24.91,0.87,-1.37,1.14
-46579,48529,25.35,0.89,-1.39,1.03
-46875,48825,25.03,0.88,-1.3,1.16
-47170,49120,25.04,0.88,-1.19,1.2
-48069,50019,24.92,0.87,-1.6,1.14
-48968,50918,24.92,0.87,-1.08,1.2
-49567,51517,24.79,0.87,-1.06,1.3
-50166,52116,24.31,0.85,-1.15,1.27
-51065,53015,24.43,0.85,-1.13,1.22
-51964,53914,23.71,0.82,-1.01,1.32
-52264,54214,NA,NA,NA,NA
-53162,55112,24.09,0.84,-1.23,1.16
-55260,57210,25.06,0.88,-1.53,0.81
-55559,57509,24.41,0.85,-1.11,1.05
-57058,59008,24.32,0.85,-1.36,1.11
-57357,59307,24.05,0.84,-1.57,1.15
-58256,60206,23.87,0.83,-1.06,0.99
-58556,60506,23.96,0.83,-1.14,1.15
-59754,61704,23.88,0.83,-0.7,1.04
-60054,62004,24.26,0.85,-1.02,0.94
-60953,62903,24.74,0.86,-0.92,0.97
-61552,63502,25.27,0.88,-0.81,0.96
-62750,64700,25.62,0.9,-1.16,0.94
-63050,65000,25.68,0.9,-1.31,0.93
-63675,65625,25.76,0.9,-0.77,0.92
-64092,66042,26.62,0.93,-1.02,0.78
-64925,66875,25.65,0.9,-1.29,0.78
-65133,67083,26.78,0.94,-1.06,0.8
-65758,67708,26.95,0.94,-1.08,0.7
-66175,68125,27.41,0.96,-1.25,0.73
-67008,68958,27.55,0.96,-1.57,0.54
-67425,69375,27.58,0.96,-1.51,0.43
-68246,70196,26.86,0.94,-1.02,0.68
-68442,70392,27.11,0.95,-1.05,0.43
-69226,71176,27.49,0.96,-1.11,0.84
-69619,71569,27.54,0.96,-1.39,0.93
-70207,72157,27.51,0.96,-1.23,0.91
-70599,72549,27.72,0.97,-1.1,0.9
-70991,72941,26.45,0.93,-1.58,0.88
-71579,73529,27.13,0.95,-1.44,1.14
-71972,73922,26.6,0.93,-1.31,0.98
-72364,74314,27.25,0.95,-1.29,1.11
-72952,74902,26.91,0.94,-1.53,1.05
-73736,75686,26.75,0.94,-1.11,1.02
-74128,76078,26.23,0.92,-1.07,1.11
-74521,76471,27.19,0.95,-1.09,1.16
-74913,76863,27.01,0.94,-1.17,0.98
-75893,77843,26.85,0.94,-1.27,1.18
-76089,78039,26.26,0.92,-1.83,0.99
-76481,78431,NA,-1.91,NA,NA
-76874,78824,26.54,0.93,-1.91,1.31
-77854,79804,25.78,0.9,-1.65,1.46
-78050,80000,25.59,0.9,-1.08,1.49
-79155,81105,25.53,0.89,-1.8,1.55
-80261,82211,25.49,0.89,-1.5,1.48
-81366,83316,25.01,0.87,-1.08,1.47
-81734,83684,25.2,0.88,-1.61,1.29
-82839,84789,24.59,0.86,-1.51,1.25
-83208,85158,NA,NA,NA,NA
-83945,85895,25.82,0.9,-1.56,1.4
-85050,87000,27.15,0.95,-0.95,1.25
-85144,87094,27.36,0.96,-1.05,1.05
-85428,87378,26.84,0.94,-1.41,0.75
-85711,87661,27.42,0.96,-1.51,0.57
-85995,87945,27.51,0.96,-1.63,0.61
-86089,88039,27.63,0.96,-1.35,0.52
-86373,88323,28.17,0.98,-1.82,0.46
-86656,88606,27.93,0.97,-1.92,0.43
-86940,88890,27.3,0.95,-1.44,0.47
-87034,88984,28.46,0.99,-1.35,0.37
-87318,89268,28.03,0.98,-1.54,0.42
-87601,89551,28.14,0.98,-1.72,0.47
-87885,89835,28.1,0.98,-1.69,0.46
-87979,89929,27.97,0.98,-1.49,0.63
-88263,90213,28.2,0.98,-1.67,0.6
-88546,90496,28.04,0.98,-1.5,0.76
-88830,90780,28.15,0.98,-1.56,0.69
-88924,90874,28.1,0.98,-1.49,0.65
-89207,91157,28,0.98,-1.62,0.67
-89491,91441,27.86,0.97,-1.52,0.61
-89774,91724,28.11,0.98,-1.54,0.57
-89869,91819,27.95,0.98,0.56,NA
-90152,92102,28.05,0.98,-1.6,0.57
-90436,92386,27.79,0.97,-1.77,0.65
-90719,92669,27.54,0.96,-1.4,0.65
-90814,92764,27.58,0.96,-1.83,0.74
-91097,93047,27.38,0.96,-1.48,1.04
-91381,93331,27.29,0.95,-1.68,1.03
-91664,93614,27.58,0.96,-1.34,0.9
-91759,93709,27.51,0.96,-1.78,0.83
-92042,93992,27.25,0.95,-1.73,0.77
-92798,94748,27.52,0.96,-1.78,1.19
-92987,94937,27.55,0.96,-1.85,1.24
-93176,95126,27.55,0.96,-2.17,1.29
-93554,95504,27.74,0.97,-1.61,1.21
-93648,95598,27.86,0.97,-1.7,1.31
-93932,95882,27.92,0.97,-1.67,1.29
-94215,96165,27.67,0.97,-1.93,1.36
-94499,96449,27.7,0.97,-2.09,1.11
-94593,96543,27.8,0.97,-1.89,1.31
-94877,96827,27.84,0.97,-1.82,1.29
-95160,97110,27.79,0.97,-1.95,1.25
-95444,97394,27.63,0.97,-1.64,1.22
-95538,97488,27.71,0.97,-1.89,1.06
-95822,97772,27.51,0.96,-2.01,1.23
-96105,98055,27.5,0.96,-2.14,1.26
-96389,98339,27.55,0.96,-1.76,1
-96483,98433,27.75,0.97,-1.94,1
-96767,98717,27.58,0.96,-1.87,1.27
-97050,99000,27.7,0.97,-2.32,1.24
-97850,99800,27.6,0.96,-2.09,1.03
-98117,100067,27.83,0.97,1.22,NA
-98917,100867,27.53,0.96,-1.76,1.44
-99717,101667,27.42,0.96,1.5,NA
-100517,102467,27.34,0.96,-1.65,1.55
-100783,102733,27.8,0.97,-1.89,1.6
-101583,103533,27.37,0.96,-1.24,1.56
-102383,104333,27.46,0.96,-1.26,1.7
-103183,105133,27.16,0.95,-1.8,1.58
-103450,105400,27.71,0.97,-1.79,1.57
-104250,106200,26.56,0.93,-1.59,1.58
-105050,107000,27.51,0.96,1.56,NA
-105634,107584,26.86,0.94,-1.77,1.61
-105829,107779,27.9,0.97,1.47,NA
-106414,108364,26.16,0.92,-1.3,1.52
-106998,108948,27.51,0.96,-1.06,1.39
-107582,109532,27.46,0.96,-1.67,1.49
-107777,109727,27.73,0.97,-1.61,1.36
-108362,110312,27.33,0.96,-1.46,1.08
-109725,111675,28.16,0.98,-1.67,0.59
-110310,112260,28.43,0.99,-1.7,0.35
-110894,112844,28.33,0.99,-2.03,0.39
-111479,113429,28.32,0.99,-1.55,0.48
-111673,113623,28.45,0.99,-1.55,0.56
-112258,114208,28.59,0.99,-1.71,0.52
-112842,114792,28.55,0.99,-2.08,0.71
-113427,115377,28.39,0.99,-2.03,0.9
-113621,115571,28.62,1,-1.79,0.88
-114206,116156,28.31,0.99,-1.84,0.91
-114790,116740,28.15,0.98,-1.86,1.25
-115375,117325,28.39,0.99,-2.14,1.1
-115569,117519,28.33,0.99,-2.16,1.36
-116154,118104,28.22,0.98,-2.16,1.34
-116738,118688,28.27,0.99,-2.38,1.55
-117323,119273,28.33,0.99,-2.13,1.59
-117518,119468,28.44,0.99,-2.36,1.49
-118297,120247,28.08,0.98,-1.74,1.45
-118686,120636,28.25,0.98,-1.76,1.4
-119271,121221,28.37,0.99,-2.24,0.933
-119466,121416,28.5,0.99,-1.46,0.8
-120050,122000,28,0.98,-2.31,1.04
-120632,122582,28.17,0.98,-2.53,0.97
-121214,123164,28.26,0.98,-1.59,0.98
-121408,123358,28.34,0.99,-2.37,1.53
-121990,123940,28.01,0.98,-2.39,1.51
-122572,124522,28.18,0.98,-2.49,1.61
-123154,125104,27.76,0.97,-2.58,1.61
-123349,125299,28.42,0.99,-2.64,1.76
-123931,125881,27.65,0.97,-2,1.56
-124513,126463,27.92,0.97,-1.45,1.63
-125095,127045,27.75,0.97,-1.3,1.52
-125289,127239,28.04,0.98,-1.64,1.48
-125871,127821,27.82,0.97,-1.33,1.13
-126453,128403,27.81,0.97,-1.51,1.06
-127035,128985,27.77,0.97,-1.13,NA
-127811,129761,27.56,0.96,-1.07,0.84
-128781,130731,27.34,0.96,-0.76,0.87
-129169,131119,27.54,0.96,-0.67,0.92
-129751,131701,27.46,0.96,-0.71,0.82
-130528,132478,27.47,0.96,-0.78,0.85
-130722,132672,27.47,0.96,-0.94,0.74
-131110,133060,28.12,0.98,-0.59,0.52
-131692,133642,27.44,0.96,-0.85,0.68
-132662,134612,27.63,0.96,-0.59,1
-132856,134806,27.42,0.96,-0.85,0.97
-133050,135000,27.5,0.96,-0.42,1.03
-133878,135828,27.2,0.95,-0.36,1.06
-135257,137207,27.15,0.95,-0.66,1.09
-135533,137483,27.13,0.95,-0.73,1.06
-135809,137759,27.37,0.96,-0.37,1.19
-136636,138586,27.01,0.94,-0.67,1.14
-138016,139966,27.14,0.95,-0.88,1.06
-138291,140241,26.97,0.94,-0.48,1.1
-138567,140517,27,0.94,-0.61,1.11
-139395,141345,26.66,0.93,-0.58,1.19
-140774,142724,26.78,0.94,-0.65,1.37
-141050,143000,26.53,0.93,-0.91,1.42
-141326,143276,27.01,0.94,-0.34,1.44
-142153,144103,26.71,0.93,-0.48,0.75
-143533,145483,26.9,0.94,-0.64,1.33
-143809,145759,26.56,0.93,-0.75,1.25
-144084,146034,26.84,0.94,-0.57,1.23
-144912,146862,NA,-1.13,NA,NA
-146291,148241,26.81,0.94,-0.71,1.25
-146567,148517,NA,-0.41,NA,NA
-146843,148793,26.68,0.93,-0.64,1.18
-147671,149621,NA,-0.61,NA,NA
-149050,151000,26.75,0.94,-0.77,0.98
-149267,151217,NA,-0.71,NA,NA
-149485,151435,26.74,0.94,-0.55,1.14
-150137,152087,NA,-0.75,NA,NA
-151224,153174,27,0.94,-0.68,1.05
-151441,153391,NA,-0.72,NA,NA
-151659,153609,26.63,0.93,-0.1,1.04
-152311,154261,NA,-0.67,NA,NA
-153833,155783,26.32,0.92,-0.47,0.75
-154485,156435,NA,-0.56,NA,NA
-154920,156870,26.41,0.92,-0.88,0.6
-155789,157739,NA,-0.78,NA,NA
-156007,157957,26.29,0.92,-0.53,0.66
-156659,158609,NA,-0.72,NA,NA
-157093,159043,26.33,0.92,-0.66,0.78
-157963,159913,NA,-0.79,NA,NA
-158180,160130,26.84,0.94,-0.82,0.78
-158833,160783,NA,-0.96,NA,NA
-159267,161217,27.13,0.95,-0.93,0.76
-160137,162087,NA,-0.98,NA,NA
-160354,162304,27.8,0.97,-0.73,0.79
-161007,162957,NA,-0.87,NA,NA
-161441,163391,27.13,0.95,-0.88,0.7
-162311,164261,NA,-1.08,NA,NA
-162528,164478,27.55,0.96,-0.91,0.79
-163180,165130,NA,-1.05,NA,NA
-163615,165565,27.43,0.96,-0.84,0.81
-164485,166435,NA,-1.1,NA,NA
-164702,166652,27.26,0.95,-0.65,0.88
-165354,167304,NA,-0.8,NA,NA
-165789,167739,26.96,0.94,-0.97,0.99
-166659,168609,NA,-1.09,NA,NA
-166876,168826,27.08,0.95,-0.95,0.99
-167528,169478,NA,-0.88,NA,NA
-167963,169913,26.85,0.94,-1.18,1.07
-168833,170783,NA,-0.76,NA,NA
-169050,171000,27.07,0.95,-0.76,1.07
-169650,171600,NA,-1.03,NA,NA
-170050,172000,27.07,0.95,0.77,NA
-170850,172800,NA,-0.75,NA,NA
-171050,173000,26.59,0.93,-0.89,1.19
-171650,173600,NA,-1.03,NA,NA
-172050,174000,26.53,0.93,-0.95,1.3
-172850,174800,26.45,0.93,-1.04,1.13
-173650,175600,NA,-0.89,NA,NA
-175050,177000,26.89,0.94,-0.82,1.19
-175650,177600,NA,-0.91,NA,NA
-176250,178200,26.9,0.94,-1.03,1.11
-176850,178800,NA,-1.21,NA,NA
-177050,179000,26.75,0.94,-0.61,1.04
-177650,179600,NA,-1.04,NA,NA
-178250,180200,26.63,0.93,-0.9,1.06
-178850,180800,NA,-0.56,NA,NA
-179050,181000,26.61,0.93,-0.74,1.06
-179650,181600,NA,-0.66,NA,NA
-180250,182200,26.66,0.93,-1.02,0.95
-180850,182800,NA,-0.62,NA,NA
-181050,183000,26.79,0.94,-0.7,0.98
-181270,183220,NA,-0.96,NA,NA
-181490,183440,26.69,0.93,-1.3,0.75
-181710,183660,NA,-0.71,NA,NA
-181783,183733,26.74,0.94,-0.75,0.79
-182003,183953,NA,-0.8,NA,NA
-182223,184173,26.82,0.94,-0.93,0.75
-182443,184393,NA,-0.74,NA,NA
-182517,184467,27.03,0.95,-0.67,0.76
-182737,184687,NA,-0.84,NA,NA
-182957,184907,27.56,0.96,-1.17,0.66
-183177,185127,NA,-0.96,NA,NA
-183250,185200,27.61,0.96,-0.67,0.59
-183470,185420,NA,-1.03,NA,NA
-183690,185640,27.95,0.98,-1.11,0.49
-183910,185860,NA,-1.26,NA,NA
-183983,185933,27.91,0.97,-0.91,0.57
-184203,186153,NA,-0.76,NA,NA
-184423,186373,28.11,0.98,-1.12,0.64
-184643,186593,NA,-0.92,NA,NA
-184717,186667,28,0.98,-1.02,0.7
-184937,186887,NA,-0.9,NA,NA
-185157,187107,27.97,0.98,-1.18,0.75
-185303,187253,NA,-1.32,NA,NA
-185450,187400,28,0.98,-0.84,0.91
-185670,187620,NA,-1.19,NA,NA
-186183,188133,28.14,0.98,-1,1.16
-186403,188353,NA,-1.4,NA,NA
-186623,188573,28.09,0.98,-1.9,1.29
-186843,188793,NA,-1.67,NA,NA
-186917,188867,27.98,0.98,-0.84,1.46
-187137,189087,NA,-1.05,NA,NA
-187357,189307,27.64,0.97,-1.7,1.43
-187577,189527,NA,-1.61,NA,NA
-187650,189600,27.65,0.97,-1.57,1.44
-187870,189820,NA,-1.31,NA,NA
-188090,190040,27.66,0.97,-1.84,1.39
-188310,190260,NA,-1.63,NA,NA
-188383,190333,27.83,0.97,-1.82,1.44
-188603,190553,NA,-1.64,NA,NA
-188823,190773,27.79,0.97,-2.03,1.44
-189043,190993,NA,-2.02,NA,NA
-189117,191067,27.36,0.96,-2.01,1.58
-189557,191507,27.43,0.96,-1.43,1.48
-189777,191727,NA,-1.07,NA,NA
-189850,191800,27.44,0.96,-1.75,1.56
-190070,192020,NA,-1.93,NA,NA
-190290,192240,27.57,0.96,-1.73,1.69
-190510,192460,NA,-1.98,NA,NA
-190583,192533,27.67,0.97,-1.83,1.71
-190803,192753,NA,-2.02,NA,NA
-191023,192973,27.82,0.97,-1.9,1.75
-191243,193193,NA,-2.13,NA,NA
-191317,193267,27.86,0.97,-2.09,1.85
-191537,193487,NA,-2.1,NA,NA
-191757,193707,27.89,0.97,-1.9,1.84
-191977,193927,NA,-1.89,NA,NA
-192050,194000,27.79,0.97,-1.86,1.85
-192710,194660,NA,-2.14,NA,NA
-193370,195320,27.98,0.98,-2.01,1.76
-194030,195980,NA,-2.13,NA,NA
-194250,196200,27.8,0.97,-1.98,1.8
-196450,198400,27.83,0.97,-2.16,1.87
-197550,199500,27.93,0.97,-1.7,1.79
-197990,199940,27.54,0.96,1.35,NA
-203050,205000,27.63,0.97,-1.34,0.86
-203875,205825,28.19,0.98,-1.49,0.53
-204425,206375,NA,-1.5,NA,NA
-205250,207200,28.41,0.99,-1.64,0.37
-205800,207750,NA,-1.57,NA,NA
-206625,208575,28.23,0.98,-1.53,0.63
-207175,209125,28.3,0.99,-1.57,0.84
-208000,209950,28.1,0.98,-1.87,0.8
-208550,210500,28.29,0.99,-1.72,0.96
-209375,211325,27.89,0.97,-1.6,0.87
-209925,211875,27.93,0.97,-1.61,1.15
-210750,212700,27.95,0.98,-1.88,0.91
-211300,213250,27.55,0.96,-1.81,1.1
-212675,214625,27.57,0.96,-1.69,1.32
-213500,215450,27.54,0.96,-1.95,1.48
-214050,216000,27.35,0.96,-1.63,1.54
-215490,217440,27.18,0.95,-2.09,1.65
-216450,218400,27.06,0.95,-1.71,1.67
-217890,219840,26.64,0.93,-1.75,1.47
-218850,220800,26.48,0.93,-1.16,1.5
-220290,222240,26.1,0.91,0.98,NA
-221250,223200,25.88,0.91,-0.64,1.44
-222690,224640,25.76,0.9,-1.23,1.37
-223650,225600,25.9,0.91,-0.57,0.79
-225090,227040,26.19,0.92,-0.8,0.45
-226050,228000,25.7,0.9,-0.33,0.74
-226616,228566,26.71,0.93,-1,0.75
-226993,228943,26.21,0.92,-0.36,0.61
-227559,229509,26.4,0.92,-1.26,0.53
-227937,229887,26.99,0.94,-0.85,0.51
-228503,230453,27.86,0.97,-1.38,0.39
-228880,230830,27.26,0.95,-1.27,0.45
-229824,231774,27.63,0.96,-1.37,0.47
-230390,232340,27.79,0.97,-1.55,0.54
-230767,232717,27.41,0.96,-1.16,0.74
-231333,233283,27.84,0.97,-1.9,0.7
-231710,233660,27.65,0.97,-1.57,0.86
-232276,234226,27.77,0.97,-1.9,1
-232654,234604,27.59,0.96,-1.74,1.15
-233220,235170,27.7,0.97,-1.92,1.14
-233597,235547,27.89,0.97,-1.77,1.37
-234163,236113,27.57,0.96,-1.85,1.12
-234541,236491,27.97,0.98,-1.62,1.19
-235107,237057,27.96,0.98,-2.13,1.08
-235484,237434,28.06,0.98,-1.84,1.18
-236050,238000,28.03,0.98,-2.2,1.16
-236930,238880,28.09,0.98,-1.8,1.25
-238250,240200,27.86,0.97,-2.12,1.32
-239130,241080,28.02,0.98,-1.78,1.37
-240450,242400,27.78,0.97,-1.8,1.53
-241330,243280,27.7,0.97,-1.51,1.6
-243530,245480,27.47,0.96,-0.74,1.54
-244850,246800,27.38,0.96,-0.74,1.49
-245730,247680,27.41,0.96,-0.41,0.94
-247050,249000,27.06,0.95,-0.89,0.89
-247538,249488,27.06,0.95,-0.53,0.87
-248270,250220,26.57,0.93,-0.69,0.87
-248757,250707,26.33,0.92,-0.53,0.91
-249489,251439,26.49,0.93,-0.47,1
-249977,251927,26.59,0.93,-0.62,0.83
-250709,252659,26.23,0.92,-0.96,0.79
-251196,253146,26.82,0.94,-0.53,0.84
-251928,253878,26.28,0.92,-0.99,0.78
-252416,254366,26.43,0.93,-0.6,0.83
-253148,255098,26.25,0.92,-1.05,0.62
-253635,255585,27.17,0.95,-0.49,0.8
-254367,256317,26.51,0.93,-1.19,0.73
-254855,256805,26.39,0.92,-0.6,0.86
-255587,257537,25.9,0.91,-1.07,0.92
-256074,258024,26.35,0.92,-0.67,1.05
-257294,259244,25.84,0.9,-0.84,1.04
-258026,259976,26,0.91,-1.14,0.96
-258513,260463,26.08,0.91,-0.81,1.04
-259245,261195,25.83,0.9,-0.82,1.1
