depth (m),age (BP),temperature (degC),dD (permil)
164,2074.81,-0.949,-405.054
165,2091.43,-0.802,-404.166
166,2107.9,-0.655,-403.278
167,2124.25,-0.509,-402.39
168,2140.46,-0.362,-401.502
169,2156.64,-0.317,-401.835
170,2172.97,-0.425,-402.796
171,2189.51,-0.585,-403.758
172,2206.26,-0.745,-404.719
173,2223.22,-0.905,-405.681
174,2240.31,-0.989,-405.732
175,2257.33,-0.909,-404.714
176,2274.18,-0.741,-403.696
177,2290.87,-0.572,-402.679
178,2307.4,-0.404,-401.661
179,2323.79,-0.257,-400.899
180,2340.06,-0.132,-400.154
181,2356.23,-0.009,-399.409
182,2372.29,0.114,-398.663
183,2388.24,0.238,-397.918
184,2404.08,0.361,-397.173
185,2419.86,0.447,-396.877
186,2435.64,0.459,-397.032
187,2451.48,0.433,-397.187
188,2467.38,0.407,-397.342
189,2483.32,0.382,-397.497
190,2499.32,0.356,-397.652
191,2515.36,0.339,-397.7
192,2531.43,0.335,-397.7
193,2547.52,0.335,-397.7
194,2563.64,0.335,-397.7
195,2579.78,0.335,-397.7
196,2595.95,0.335,-397.7
197,2612.19,0.286,-398.295
198,2628.62,0.148,-399.357
199,2645.26,-0.028,-400.419
200,2662.13,-0.204,-401.481
201,2679.23,-0.38,-402.543
202,2696.56,-0.556,-403.605
203,2714.07,-0.683,-404.078
204,2731.62,-0.7,-403.801
205,2749.14,-0.654,-403.523
206,2766.64,-0.608,-403.246
207,2784.1,-0.562,-402.969
208,2801.54,-0.516,-402.692
209,2818.91,-0.442,-402.075
210,2836.17,-0.326,-401.291
211,2853.31,-0.196,-400.508
212,2870.32,-0.066,-399.724
213,2887.2,0.064,-398.94
214,2903.96,0.194,-398.157
215,2920.64,0.282,-397.879
216,2937.3,0.318,-397.727
217,2953.96,0.343,-397.575
218,2970.62,0.368,-397.423
219,2987.27,0.393,-397.272
220,3003.91,0.419,-397.12
221,3020.59,0.411,-397.368
222,3037.34,0.365,-397.676
223,3054.18,0.313,-397.984
224,3071.1,0.262,-398.293
225,3088.09,0.211,-398.601
226,3105.17,0.16,-398.909
227,3122.36,0.09,-399.439
228,3139.7,-0.027,-400.332
229,3157.25,-0.176,-401.225
230,3174.99,-0.324,-402.118
231,3192.95,-0.472,-403.011
232,3209.91,-0.62,-403.904
233,3226.99,-0.725,-404.285
234,3244.13,-0.777,-404.522
235,3261.33,-0.816,-404.76
236,3278.57,-0.855,-404.997
237,3295.87,-0.895,-405.234
238,3313.22,-0.934,-405.472
239,3330.51,-0.88,-404.577
240,3347.62,-0.718,-403.528
241,3364.53,-0.545,-402.479
242,3381.25,-0.371,-401.43
243,3397.78,-0.197,-400.381
244,3414.12,-0.023,-399.331
245,3430.33,0.09,-399.029
246,3446.51,0.138,-398.75
247,3462.63,0.184,-398.472
248,3478.71,0.23,-398.193
249,3494.75,0.276,-397.914
250,3510.74,0.323,-397.635
251,3526.68,0.369,-397.356
252,3542.55,0.442,-396.755
253,3558.31,0.548,-396.073
254,3573.96,0.661,-395.391
255,3589.49,0.774,-394.709
256,3604.91,0.888,-394.027
257,3620.23,0.993,-393.44
258,3635.54,1,-393.943
259,3650.94,0.916,-394.446
260,3666.44,0.833,-394.949
261,3682.03,0.75,-395.452
262,3697.71,0.666,-395.955
263,3713.5,0.569,-396.624
264,3729.41,0.457,-397.31
265,3745.46,0.343,-397.995
266,3761.63,0.229,-398.681
267,3777.93,0.116,-399.366
268,3794.37,0.002,-400.052
269,3810.97,-0.143,-401.116
270,3827.78,-0.322,-402.209
271,3844.8,-0.503,-403.302
272,3862.05,-0.685,-404.395
273,3879.51,-0.866,-405.488
274,3897.19,-1.047,-406.581
275,3915.1,-1.228,-407.674
276,3933.04,-1.246,-406.795
277,3950.68,-0.996,-404.655
278,3967.9,-0.641,-402.515
279,3984.72,-0.286,-400.375
280,4001.14,0.069,-398.235
281,4017.32,0.296,-397.637
282,4033.48,0.313,-398.026
283,4049.72,0.249,-398.415
284,4066.03,0.184,-398.804
285,4082.42,0.12,-399.193
286,4098.87,0.078,-399.308
287,4115.24,0.144,-398.395
288,4131.46,0.296,-397.481
289,4147.51,0.447,-396.568
290,4163.4,0.599,-395.654
291,4179.14,0.75,-394.741
292,4194.72,0.901,-393.827
293,4210.37,0.838,-395.504
294,4226.34,0.553,-397.261
295,4242.62,0.26,-399.018
296,4259.24,-0.032,-400.775
297,4276.14,-0.267,-401.845
298,4293.12,-0.344,-401.693
299,4310.08,-0.32,-401.542
300,4327.03,-0.296,-401.39
301,4343.94,-0.271,-401.238
302,4360.87,-0.27,-401.364
303,4377.83,-0.299,-401.583
304,4394.84,-0.337,-401.802
305,4411.9,-0.374,-402.021
306,4429,-0.411,-402.24
307,4446.16,-0.448,-402.458
308,4463.18,-0.324,-400.736
309,4479.83,-0.002,-398.559
310,4496.09,0.358,-396.381
311,4511.96,0.719,-394.204
312,4527.46,1.079,-392.027
313,4542.87,1.159,-393.231
314,4558.56,0.909,-395.033
315,4574.57,0.609,-396.834
316,4590.91,0.31,-398.635
317,4607.59,0.01,-400.437
318,4624.62,-0.29,-402.238
319,4641.78,-0.391,-401.646
320,4658.8,-0.274,-400.816
321,4675.68,-0.137,-399.987
322,4692.4,0,-399.158
323,4708.97,0.136,-398.329
324,4725.4,0.273,-397.5
325,4741.82,0.285,-398.171
326,4758.36,0.173,-398.841
327,4775.04,0.061,-399.512
328,4791.85,-0.051,-400.183
329,4808.8,-0.163,-400.854
330,4825.88,-0.275,-401.524
331,4843.08,-0.369,-401.97
332,4860.34,-0.42,-402.13
333,4877.64,-0.447,-402.289
334,4894.97,-0.474,-402.449
335,4912.35,-0.502,-402.608
336,4929.76,-0.529,-402.768
337,4947.2,-0.545,-402.787
338,4964.64,-0.546,-402.77
339,4982.09,-0.544,-402.753
340,4999.54,-0.542,-402.736
341,5016.99,-0.54,-402.719
342,5034.45,-0.538,-402.703
343,5051.82,-0.455,-401.709
344,5068.98,-0.277,-400.543
345,5085.92,-0.085,-399.378
346,5102.65,0.108,-398.212
347,5119.17,0.3,-397.046
348,5135.5,0.471,-396.142
349,5151.72,0.581,-395.704
350,5167.86,0.653,-395.266
351,5183.93,0.725,-394.827
352,5199.93,0.797,-394.389
353,5215.86,0.869,-393.951
354,5231.73,0.917,-393.8
355,5247.7,0.846,-394.8
356,5263.84,0.679,-395.8
357,5280.18,0.512,-396.8
358,5296.7,0.346,-397.8
359,5313.42,0.179,-398.8
360,5330.34,0.012,-399.8
361,5347.43,-0.141,-400.642
362,5364.7,-0.282,-401.483
363,5382.14,-0.422,-402.325
364,5399.75,-0.563,-403.166
365,5417.54,-0.703,-404.008
366,5435.5,-0.844,-404.849
367,5453.57,-0.925,-404.978
368,5471.67,-0.944,-405.061
369,5489.79,-0.958,-405.144
370,5507.94,-0.973,-405.227
371,5526.11,-0.988,-405.31
372,5544.31,-1.002,-405.393
373,5562.39,-0.908,-404.165
374,5580.22,-0.695,-402.807
375,5597.79,-0.471,-401.449
376,5615.09,-0.246,-400.092
377,5632.14,-0.022,-398.734
378,5648.93,0.202,-397.376
379,5665.64,0.288,-397.685
380,5682.43,0.216,-398.242
381,5699.33,0.123,-398.799
382,5716.35,0.029,-399.357
383,5733.48,-0.064,-399.914
384,5750.73,-0.157,-400.471
385,5768.1,-0.257,-401.108
386,5785.61,-0.373,-401.86
387,5803.28,-0.499,-402.612
388,5821.1,-0.624,-403.363
389,5839.09,-0.75,-404.115
390,5857.23,-0.876,-404.867
391,5875.43,-0.91,-404.517
392,5893.5,-0.812,-403.672
393,5911.42,-0.673,-402.827
394,5929.17,-0.533,-401.983
395,5946.76,-0.394,-401.138
396,5964.19,-0.255,-400.293
397,5981.56,-0.204,-400.514
398,5999,-0.253,-400.867
399,6016.51,-0.312,-401.221
400,6034.1,-0.372,-401.574
401,6051.77,-0.431,-401.927
402,6069.52,-0.491,-402.28
403,6087.27,-0.495,-401.964
404,6104.94,-0.414,-401.302
405,6122.48,-0.306,-400.641
406,6139.9,-0.197,-399.98
407,6157.19,-0.088,-399.318
408,6174.37,0.021,-398.657
409,6191.45,0.104,-398.308
410,6208.51,0.13,-398.327
411,6225.57,0.127,-398.345
412,6242.65,0.124,-398.363
413,6259.73,0.121,-398.381
414,6276.83,0.118,-398.4
415,6293.91,0.131,-398.226
416,6310.97,0.16,-398.049
417,6328,0.19,-397.871
418,6345,0.219,-397.693
419,6361.97,0.249,-397.516
420,6378.91,0.278,-397.338
421,6395.83,0.303,-397.224
422,6412.76,0.303,-397.335
423,6429.71,0.285,-397.446
424,6446.69,0.268,-397.556
425,6463.69,0.25,-397.667
426,6480.72,0.232,-397.778
427,6497.82,0.178,-398.32
428,6515.04,0.08,-398.969
429,6532.39,-0.027,-399.619
430,6549.87,-0.134,-400.268
431,6567.48,-0.241,-400.918
432,6585.23,-0.348,-401.568
433,6602.91,-0.282,-400.125
434,6620.29,-0.033,-398.572
435,6637.38,0.225,-397.02
436,6654.18,0.483,-395.467
437,6670.7,0.741,-393.915
438,6686.93,0.999,-392.362
439,6703.13,1.034,-393.502
440,6719.56,0.836,-394.754
441,6736.22,0.629,-396.006
442,6753.12,0.422,-397.258
443,6770.27,0.215,-398.51
444,6787.66,0.008,-399.762
445,6805.18,-0.088,-399.679
446,6822.65,-0.048,-399.283
447,6840.05,0.019,-398.886
448,6857.38,0.085,-398.49
449,6874.63,0.151,-398.094
450,6891.82,0.218,-397.697
451,6908.95,0.27,-397.467
452,6926.08,0.267,-397.737
453,6943.28,0.223,-398.007
454,6960.53,0.179,-398.277
455,6977.84,0.135,-398.546
456,6995.13,0.155,-398.047
457,7012.24,0.322,-396.529
458,7029.06,0.575,-395.011
459,7045.6,0.827,-393.493
460,7061.86,1.079,-391.975
461,7077.86,1.332,-390.457
462,7093.6,1.575,-389.052
463,7109.34,1.584,-390.354
464,7125.31,1.368,-391.656
465,7141.53,1.153,-392.958
466,7157.98,0.938,-394.26
467,7174.69,0.722,-395.561
468,7191.6,0.538,-396.485
469,7208.69,0.397,-397.275
470,7225.93,0.266,-398.066
471,7243.33,0.136,-398.856
472,7260.9,0.005,-399.646
473,7278.62,-0.125,-400.437
474,7296.42,-0.178,-400.298
475,7314.18,-0.148,-400.079
476,7331.91,-0.111,-399.86
477,7349.6,-0.074,-399.641
478,7367.25,-0.037,-399.421
479,7384.86,0,-399.202
480,7402.58,-0.087,-400.471
481,7420.56,-0.298,-401.755
482,7438.81,-0.51,-403.039
483,7457.34,-0.722,-404.323
484,7476.14,-0.935,-405.607
485,7495.22,-1.147,-406.891
486,7514.5,-1.291,-407.355
487,7533.73,-1.252,-406.424
488,7552.76,-1.097,-405.493
489,7571.6,-0.942,-404.562
490,7590.25,-0.787,-403.631
491,7608.71,-0.632,-402.7
492,7626.97,-0.469,-401.68
493,7645.03,-0.3,-400.661
494,7662.89,-0.13,-399.641
495,7680.55,0.04,-398.622
496,7698.01,0.209,-397.602
497,7715.4,0.281,-397.76
498,7732.83,0.245,-398.05
499,7750.33,0.198,-398.339
500,7767.88,0.15,-398.629
501,7785.5,0.103,-398.918
502,7803.19,0.055,-399.207
503,7820.88,0.047,-398.983
504,7838.53,0.1,-398.517
505,7856.09,0.172,-398.05
506,7873.57,0.245,-397.584
507,7890.97,0.317,-397.118
508,7908.29,0.39,-396.651
509,7925.65,0.364,-397.375
510,7943.18,0.227,-398.246
511,7960.89,0.078,-399.117
512,7978.78,-0.072,-399.988
513,7996.87,-0.221,-400.859
514,8015.15,-0.37,-401.73
515,8033.48,-0.411,-401.287
516,8051.72,-0.334,-400.73
517,8069.87,-0.246,-400.172
518,8087.91,-0.159,-399.615
519,8105.85,-0.072,-399.057
520,8123.69,0.015,-398.5
521,8141.47,0.068,-398.357
522,8159.24,0.087,-398.213
523,8176.99,0.105,-398.07
524,8194.72,0.124,-397.927
525,8212.44,0.143,-397.783
526,8230.14,0.161,-397.64
527,8247.8,0.203,-397.221
528,8265.37,0.276,-396.695
529,8282.86,0.358,-396.168
530,8300.25,0.441,-395.642
531,8317.55,0.523,-395.116
532,8334.77,0.605,-394.589
533,8351.99,0.6,-395.116
534,8369.35,0.49,-395.859
535,8386.87,0.362,-396.602
536,8404.54,0.233,-397.344
537,8422.38,0.105,-398.087
538,8440.38,-0.023,-398.829
539,8458.55,-0.157,-399.641
540,8476.9,-0.299,-400.472
541,8495.43,-0.442,-401.304
542,8514.16,-0.585,-402.136
543,8533.08,-0.729,-402.968
544,8552.18,-0.872,-403.8
545,8571.17,-0.768,-401.644
546,8589.7,-0.416,-399.488
547,8607.81,-0.064,-397.331
548,8625.54,0.248,-395.663
549,8642.96,0.51,-394.117
550,8660.1,0.761,-392.571
551,8676.96,1.013,-391.025
552,8693.54,1.264,-389.478
553,8709.97,1.4,-389.327
554,8726.41,1.395,-389.481
555,8742.9,1.365,-389.636
556,8759.42,1.335,-389.791
557,8775.98,1.304,-389.945
558,8792.58,1.274,-390.1
559,8809.24,1.23,-390.41
560,8825.96,1.174,-390.721
561,8842.76,1.118,-391.031
562,8859.62,1.061,-391.341
563,8876.56,1.002,-391.689
564,8893.58,0.939,-392.046
565,8910.68,0.874,-392.404
566,8927.85,0.81,-392.761
567,8945.16,0.706,-393.594
568,8962.64,0.558,-394.487
569,8980.31,0.405,-395.38
570,8998.18,0.252,-396.272
571,9016.23,0.099,-397.165
572,9034.48,-0.054,-398.057
573,9052.83,-0.126,-397.97
574,9071.15,-0.101,-397.696
575,9089.43,-0.061,-397.422
576,9107.67,-0.02,-397.148
577,9125.86,0.02,-396.874
578,9144,0.06,-396.6
579,9162.08,0.127,-396.008
580,9180.04,0.22,-395.415
581,9197.9,0.314,-394.823
582,9215.65,0.407,-394.23
583,9233.29,0.501,-393.638
584,9250.87,0.567,-393.386
585,9268.45,0.567,-393.585
586,9286.08,0.529,-393.784
587,9303.76,0.492,-393.983
588,9321.49,0.454,-394.182
589,9339.27,0.417,-394.381
590,9357.11,0.38,-394.58
591,9374.93,0.391,-394.183
592,9392.68,0.458,-393.719
593,9410.36,0.531,-393.255
594,9427.95,0.603,-392.792
595,9445.46,0.676,-392.328
596,9462.89,0.749,-391.864
597,9480.27,0.793,-391.735
598,9497.69,0.774,-392.048
599,9515.17,0.718,-392.361
600,9532.73,0.661,-392.674
601,9550.37,0.605,-392.987
602,9568.07,0.549,-393.3
603,9585.75,0.574,-392.633
604,9603.32,0.68,-391.967
605,9620.76,0.786,-391.3
606,9638.08,0.892,-390.633
607,9655.29,0.998,-389.967
608,9672.38,1.105,-389.3
609,9689.44,1.135,-389.554
610,9706.56,1.088,-389.808
611,9723.75,1.042,-390.063
612,9740.99,0.995,-390.317
613,9758.29,0.949,-390.571
614,9775.65,0.9,-390.856
615,9793.11,0.825,-391.417
616,9810.69,0.728,-391.978
617,9828.39,0.63,-392.539
618,9846.22,0.533,-393.1
619,9864.14,0.46,-393.369
620,9882.12,0.411,-393.637
621,9900.18,0.362,-393.906
622,9918.3,0.313,-394.175
623,9936.48,0.263,-394.444
624,9954.69,0.254,-394.236
625,9972.85,0.294,-393.902
626,9990.95,0.345,-393.568
627,10009,0.396,-393.234
628,10027,0.447,-392.9
629,10045.1,0.401,-393.733
630,10063.3,0.258,-394.567
631,10081.7,0.115,-395.4
632,10100.3,-0.027,-396.233
633,10119.1,-0.17,-397.067
634,10138.1,-0.313,-397.9
635,10157.1,-0.324,-397.143
636,10176,-0.203,-396.386
637,10194.7,-0.083,-395.629
638,10213.3,0.038,-394.873
639,10231.7,0.159,-394.116
640,10249.9,0.28,-393.359
641,10268.2,0.344,-393.282
642,10286.4,0.337,-393.385
643,10304.6,0.315,-393.489
644,10322.9,0.293,-393.593
645,10341.2,0.271,-393.696
646,10359.6,0.249,-393.8
647,10377.9,0.278,-393.283
648,10396.1,0.359,-392.767
649,10414.3,0.44,-392.25
650,10432.3,0.52,-391.733
651,10450.3,0.601,-391.217
652,10468.1,0.682,-390.7
653,10486,0.694,-391.012
654,10503.9,0.637,-391.323
655,10521.9,0.58,-391.635
656,10540,0.523,-391.946
657,10558.2,0.467,-392.258
658,10576.4,0.41,-392.569
659,10594.7,0.368,-392.7
660,10613,0.352,-392.7
661,10631.4,0.347,-392.7
662,10649.7,0.342,-392.7
663,10668.1,0.337,-392.7
664,10686.4,0.331,-392.7
665,10704.7,0.393,-391.891
666,10722.9,0.536,-390.915
667,10740.8,0.693,-389.94
668,10758.6,0.849,-388.965
669,10776.2,1.006,-387.99
670,10793.6,1.163,-387.014
671,10810.9,1.182,-387.702
672,10828.5,1.024,-388.857
673,10846.4,0.828,-390.013
674,10864.4,0.631,-391.169
675,10882.7,0.434,-392.325
676,10901.3,0.237,-393.48
677,10920.1,0.077,-394.198
678,10939,-0.039,-394.814
679,10958.1,-0.147,-395.429
680,10977.3,-0.254,-396.045
681,10996.7,-0.362,-396.66
682,11016.2,-0.469,-397.275
683,11035.7,-0.462,-396.507
684,11055.1,-0.335,-395.682
685,11074.3,-0.204,-394.856
686,11093.3,-0.072,-394.031
687,11112.2,0.059,-393.205
688,11130.9,0.191,-392.38
689,11149.6,0.209,-392.922
690,11168.6,0.017,-394.63
691,11187.9,-0.272,-396.338
692,11207.6,-0.56,-398.045
693,11227.7,-0.849,-399.753
694,11248.2,-1.138,-401.461
695,11269,-1.298,-401.613
696,11289.8,-1.308,-401.512
697,11310.6,-1.297,-401.411
698,11331.3,-1.286,-401.31
699,11352.1,-1.275,-401.208
700,11372.8,-1.264,-401.107
701,11393.6,-1.254,-401.006
702,11414.4,-1.317,-401.799
703,11435.5,-1.459,-402.649
704,11456.7,-1.606,-403.5
705,11478.2,-1.753,-404.35
706,11499.9,-1.9,-405.2
707,11521.8,-1.97,-405.118
708,11543.6,-1.962,-405.036
709,11565.4,-1.955,-404.954
710,11587.2,-1.948,-404.872
711,11609.1,-1.94,-404.79
712,11630.9,-1.933,-404.708
713,11652.7,-1.947,-404.895
714,11674.6,-1.987,-405.112
715,11696.6,-2.029,-405.329
716,11718.7,-2.072,-405.547
717,11740.8,-2.114,-405.764
718,11763,-2.156,-405.981
719,11785.3,-2.198,-406.198
720,11807.7,-2.241,-406.415
721,11830.1,-2.283,-406.632
722,11852.6,-2.325,-406.849
723,11875.1,-2.368,-407.066
724,11897.8,-2.41,-407.283
725,11920.5,-2.452,-407.5
726,11943.3,-2.479,-407.532
727,11966.1,-2.491,-407.564
728,11988.9,-2.503,-407.596
729,12011.7,-2.515,-407.628
730,12034.6,-2.524,-407.66
731,12057.5,-2.534,-407.692
732,12080.4,-2.543,-407.724
733,12103.4,-2.553,-407.756
734,12126.4,-2.562,-407.788
735,12149.3,-2.572,-407.82
736,12172.4,-2.581,-407.852
737,12195.4,-2.591,-407.884
738,12218.5,-2.6,-407.916
739,12241.5,-2.609,-407.948
740,12264.7,-2.618,-407.98
741,12287.8,-2.627,-408.012
742,12310.9,-2.635,-408.044
743,12334.1,-2.644,-408.076
744,12357.3,-2.653,-408.108
745,12380.5,-2.662,-408.14
746,12403.8,-2.671,-408.172
747,12427,-2.68,-408.204
748,12450.3,-2.689,-408.236
749,12473.7,-2.698,-408.268
750,12497,-2.708,-408.3
751,12520.3,-2.714,-408.3
752,12543.7,-2.718,-408.3
753,12567.1,-2.722,-408.3
754,12590.5,-2.726,-408.3
755,12613.9,-2.73,-408.3
756,12637.4,-2.738,-408.3
757,12660.8,-2.747,-408.3
758,12684.3,-2.755,-408.3
759,12707.8,-2.763,-408.3
760,12731.3,-2.772,-408.3
761,12754.9,-2.78,-408.3
762,12778.5,-2.788,-408.3
763,12802.1,-2.797,-408.3
764,12825.7,-2.805,-408.3
765,12849.3,-2.814,-408.3
766,12873,-2.822,-408.3
767,12896.7,-2.83,-408.3
768,12920.4,-2.839,-408.3
769,12944.1,-2.847,-408.3
770,12967.9,-2.856,-408.3
771,12991.7,-2.864,-408.3
772,13015.5,-2.873,-408.3
773,13039.3,-2.881,-408.3
774,13063.1,-2.89,-408.3
775,13087,-2.898,-408.3
776,13110.8,-2.876,-407.929
777,13134.6,-2.823,-407.558
778,13158.3,-2.77,-407.188
779,13181.9,-2.717,-406.817
780,13205.4,-2.664,-406.446
781,13228.9,-2.61,-406.075
782,13252.3,-2.557,-405.704
783,13275.6,-2.504,-405.333
784,13298.8,-2.451,-404.962
785,13321.9,-2.397,-404.592
786,13345,-2.344,-404.221
787,13368,-2.291,-403.85
788,13390.9,-2.238,-403.479
789,13413.8,-2.184,-403.108
790,13436.5,-2.131,-402.737
791,13459.2,-2.077,-402.367
792,13481.8,-2.024,-401.996
793,13504.4,-1.97,-401.625
794,13526.9,-1.917,-401.254
795,13549.2,-1.863,-400.883
796,13571.6,-1.81,-400.512
797,13593.8,-1.756,-400.142
798,13616,-1.703,-399.771
799,13638.1,-1.647,-399.4
800,13660.2,-1.667,-399.931
801,13682.5,-1.761,-400.462
802,13705,-1.855,-400.992
803,13727.6,-1.949,-401.523
804,13750.3,-2.044,-402.054
805,13773.2,-2.138,-402.585
806,13796.3,-2.233,-403.115
807,13819.5,-2.327,-403.646
808,13842.9,-2.42,-404.177
809,13866.5,-2.513,-404.708
810,13890.2,-2.605,-405.238
811,13914,-2.698,-405.769
812,13938.1,-2.791,-406.3
813,13962.3,-2.884,-406.831
814,13986.6,-2.977,-407.362
815,14011.1,-3.07,-407.892
816,14035.8,-3.163,-408.423
817,14060.7,-3.257,-408.954
818,14085.7,-3.35,-409.485
819,14110.9,-3.443,-410.015
820,14136.3,-3.536,-410.546
821,14161.9,-3.629,-411.077
822,14187.6,-3.723,-411.608
823,14213.5,-3.816,-412.138
824,14239.6,-3.909,-412.669
825,14265.8,-4.003,-413.2
826,14292.2,-4.055,-413.232
827,14318.6,-4.066,-413.264
828,14345,-4.076,-413.296
829,14371.5,-4.087,-413.328
830,14398,-4.098,-413.36
831,14424.5,-4.109,-413.392
832,14451,-4.119,-413.424
833,14477.6,-4.13,-413.456
834,14504.2,-4.141,-413.488
835,14530.9,-4.152,-413.52
836,14557.5,-4.162,-413.552
837,14584.2,-4.173,-413.584
838,14610.9,-4.184,-413.616
839,14637.7,-4.195,-413.648
840,14664.5,-4.206,-413.68
841,14691.3,-4.216,-413.712
842,14718.2,-4.227,-413.744
843,14745,-4.238,-413.776
844,14772,-4.249,-413.808
845,14798.9,-4.26,-413.84
846,14825.9,-4.271,-413.872
847,14852.9,-4.281,-413.904
848,14879.9,-4.292,-413.936
849,14907,-4.303,-413.968
850,14934.1,-4.314,-414
