year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-7700,9650,9820.57,12.1,0.456,187.896
-7730,9680,9863.836,12.4,0.465,191.319
-7760,9710,9907.03,12.4,0.465,193.264
-7790,9740,9950.158,12.6,0.471,193.776
-7820,9770,9993.22,12.6,0.471,192.864
-7850,9800,10036.215,12.1,0.456,190.507
-7880,9830,10079.142,12.7,0.474,186.649
-7910,9860,10121.994,12.3,0.462,181.194
-7940,9890,10164.763,12.5,0.468,173.991
-7970,9920,10207.433,12.6,0.471,164.813
-8000,9950,10249.981,12,0.453,153.304
-8030,9980,10292.359,12.4,0.465,138.893
-8060,10010,10334.451,12.6,0.471,120.553
-8090,10040,10375.724,12.2,0.459,96.146
-8120,10070,10404.309,12.2,0.459,100.556
-8160,10110,10429.41,12.5,0.468,112.032
-8190,10140,10454.227,11.9,0.45,121.633
-8230,10180,10478.896,11.9,0.45,129.692
-8270,10220,10503.462,12.4,0.465,136.451
-8300,10250,10527.951,12.4,0.465,142.077
-8340,10290,10552.375,12.3,0.462,146.688
-8370,10320,10576.742,12.2,0.459,150.366
-8480,10430,10649.54,11.9,0.45,156.317
-8520,10470,10673.709,12.9,0.48,156.69
-8560,10510,10697.827,12.3,0.462,156.267
-8590,10540,10721.89,12.5,0.468,155.034
-8630,10580,10745.892,12.1,0.456,152.962
-8660,10610,10769.822,12.5,0.468,150.004
-8740,10690,10817.376,12.2,0.459,141.11
-8770,10720,10840.881,11.8,0.447,134.887
-9030,10980,11055.05,12.3,0.462,196.849
