depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),depth (m),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),depth (m),age (BP),temperature (degC)
1.055,1347,12.1,3.6,5056,2.39,0.53,0.5,730,10.7,1.015,1306,10.4,0.215,592,1.51,1.92,4.14,8.155,-0.5,1.8,0.9,2.1,0.235,632,12.45
1.095,1395,12,3.81,5379,2.22,0.23,0.52,750,11.6,1.055,1355,10.8,0.225,595,1.25,2.04,4.02,8.205,-0.5,1.8,0.9,2.1,0.245,637,12.55
1.155,1468,11.8,4,5702,2.15,0.25,0.55,790,11.2,1.115,1428,11.8,0.235,599,1.32,1.98,4.19,8.255,0.2,3.3,1.3,2.7,0.255,643,12.1
1.245,1578,11.8,4.21,6025,2.16,0.24,0.58,830,11,1.155,1477,10.8,0.245,603,1.06,1.77,3.91,8.305,0,3.4,0.8,1.9,0.265,649,12.21
1.295,1639,10.5,4.41,6348,2.23,0.29,0.61,870,10.9,1.255,1599,10.4,0.255,607,1.05,1.74,3.59,8.355,-0.1,3,1.4,2.7,0.275,654,12.18
1.355,1712,11,4.61,6671,2.15,0.31,0.65,920,10.9,1.295,1648,11.9,0.265,610,1.27,1.99,3.89,8.405,0.1,3.6,1,2.3,0.285,660,12.01
1.395,1761,12,4.8,6994,2.28,0.31,0.67,950,11.1,1.355,1722,11.7,0.275,614,1.29,1.76,3.81,8.455,0.6,4.1,1.5,2.9,0.295,667,11.83
1.455,1834,12.4,5,7317,2.19,0.21,0.75,1030,11.1,1.395,1771,11.7,0.285,618,1.44,1.98,4.3,8.505,0.1,3.2,0.9,2.2,0.305,673,12.03
1.485,1870,12.6,5.21,7640,2.19,0.28,0.77,1050,11.5,1.455,1844,11.1,0.295,621,1.34,1.86,3.94,8.555,0.4,4,1.4,2.1,0.315,679,11.75
1.555,1971,11.3,5.41,8177,2.15,0.04,0.8,1080,11.3,1.515,1918,11.1,0.305,625,1.32,2.02,4.25,8.605,-0.2,2.3,0.8,2.1,0.325,686,11.63
1.605,2082,12,5.61,8715,2.24,0.03,0.85,1120,10.7,1.555,1985,10.8,0.315,629,1.14,1.91,4.16,8.655,0.1,3.5,0.9,2,0.335,692,11.7
1.655,2194,12.1,5.8,9252,2.35,0.03,0.87,1140,10.7,1.595,2072,11,0.325,633,1.16,2.18,4.11,8.705,0,3.3,1,2.4,0.345,699,11.64
1.705,2306,12,6,9790,2.47,-0.09,0.9,1170,10.8,1.655,2201,10.9,0.335,636,1.1,1.82,4.02,8.755,-0.5,1.8,0.9,2.1,0.355,706,11.99
1.755,2379,12.3,6.21,10327,2.68,-0.03,0.92,1200,11,1.715,2324,11.9,0.345,640,1.41,1.96,4.13,8.815,0.2,3.8,1.6,2.6,0.365,712,11.69
1.805,2452,12.4,6.41,10864,2.74,-0.13,0.95,1230,10.9,1.755,2382,11.9,0.355,644,1.15,2.22,4.09,8.855,0.5,3.9,1.4,2.9,0.375,720,11.65
1.855,2526,12.8,6.61,11402,2.92,-0.07,0.97,1260,10.9,1.805,2456,11.3,0.365,648,1.28,1.86,3.97,8.905,0.2,3.7,1.5,2.6,0.385,727,12.82
1.905,2599,12.5,6.8,11939,2.92,-0.12,1,1290,10.9,1.855,2529,11,0.375,651,1.3,2.08,3.71,8.955,0.3,3.3,1.5,2.8,0.395,734,12.63
1.955,2672,11.8,7,12477,3.28,0.22,1.02,1320,11,1.915,2617,10.6,0.385,655,1.45,1.66,4.31,9.015,0.3,3.3,1.5,2.8,0.415,749,12.75
2.005,2745,12.1,7.21,13014,3.58,0.35,1.05,1350,11.1,1.965,2691,11,0.395,659,1.06,1.99,4.39,9.055,-0.2,2.5,1,2.6,0.425,757,12.78
2.055,2818,12.1,7.41,13551,3.79,0.21,1.07,1380,11.2,2.005,2750,10.6,0.415,666,1.33,1.81,NA,9.105,-0.1,2.9,0.8,2,0.435,764,12.84
2.105,2891,12.1,7.5,13820,3.75,0.06,1.1,1410,11.1,2.055,2823,10.1,0.425,670,1.23,1.96,4.38,9.155,0.5,3.9,1.5,2.8,0.445,772,12.71
2.155,2965,12.4,7.54,13971,3.79,0.09,1.11,1420,11.1,2.095,2882,8.9,0.435,674,1.24,2.03,3.88,9.215,-0.2,2.5,1,2.6,0.455,780,13.15
2.195,3023,12.5,7.55,14009,3.88,0.13,1.17,1500,11.1,2.105,2896,10.2,0.445,678,1.1,1.81,4.2,9.255,-0.2,2.5,1,2.6,0.465,789,12.99
2.255,3111,11.6,7.57,14047,3.95,0.07,1.2,1530,11,2.155,2970,9.5,0.455,681,1.07,1.58,4.24,9.305,0.5,3.9,1.4,2.9,0.475,797,12.5
2.305,3184,11.6,7.58,14103,3.83,0.045,1.25,1590,10.9,2.205,3043,10.2,0.465,685,1.19,1.89,4.29,9.355,0.3,3.8,1.5,2.7,0.485,806,12.45
2.355,3257,12.4,7.59,14160,4.01,-0.01,1.27,1620,11,2.255,3117,10.2,0.475,689,0.92,1.68,4.23,9.405,0.1,3.7,1.6,2.6,0.495,814,12.29
2.405,3331,12.6,7.61,14198,3.77,0.01,1.31,1660,11.2,2.295,3176,10.8,0.485,702,1.33,NA,4.23,9.455,-0.2,2.5,1,2.6,0.505,823,11.38
2.455,3404,11.6,7.62,14255,4.005,0.005,1.35,1710,11,2.305,3190,9.3,0.495,715,1.32,1.92,4.22,9.505,0.4,4,1.4,2.1,0.515,832,11.62
2.505,3477,11.5,7.63,14311,3.9,-0.01,1.38,1750,11.2,2.355,3264,11.5,0.505,728,1.3,1.61,4.36,9.555,-0.5,1.8,0.9,2.1,0.525,841,11.48
2.555,3550,12.9,7.64,14349,3.76,-0.01,1.41,1790,11,2.405,3337,10.8,0.515,741,1.26,1.98,4.26,9.605,0.2,3.8,1.5,2.4,0.535,850,11.15
2.605,3623,11.3,7.66,14387,3.74,0.01,1.45,1830,11.1,2.455,3411,11,0.525,754,1.4,1.91,4.24,9.655,0.1,3.3,1.3,2.8,0.545,859,11.31
2.655,3696,11.1,7.67,14424,3.81,-0.02,1.47,1860,11.3,2.505,3484,11.9,0.535,767,1.38,1.95,4.36,9.705,0.1,3.3,1.3,2.8,0.555,868,11.47
2.705,3768,11.3,7.68,14500,3.88,-0.05,1.5,1890,10.9,2.555,3557,11.4,0.545,780,1.14,1.98,4.39,9.755,-0.5,1.8,0.9,2.1,0.565,877,10.87
2.755,3834,11.4,7.7,14538,3.92,0.09,1.54,1940,11.1,2.605,3631,11.2,0.555,793,0.99,1.89,4.29,9.805,-0.3,2.2,0.9,2.3,0.575,887,11.43
2.805,3900,12.1,7.71,14595,3.915,0.13,1.57,2010,11.3,2.655,3704,11.4,0.565,806,1.43,2.05,4.36,9.855,0.2,3.8,1.6,2.6,0.585,896,11.78
2.855,3966,12.5,7.72,14651,3.91,0.09,1.6,2080,11.4,2.705,3776,11.4,0.575,819,1.37,2.04,4.38,9.915,-0.5,1.8,0.9,2.1,0.595,906,11.67
2.895,4019,11.5,7.74,14689,3.69,-0.23,1.62,2130,11.4,2.755,3842,11,0.585,832,1.32,1.97,4.28,9.955,-0.5,1.8,0.9,2.1,0.605,916,11.39
2.955,4099,10.9,7.75,14745,3.77,-0.235,1.65,2190,11.5,2.805,3908,10.3,0.595,844,1.37,1.86,4.44,10.005,0.2,3.8,1.5,2.4,0.615,926,11.4
2.985,4138,11.9,7.76,14802,3.65,-0.24,1.67,2240,11.3,2.855,3974,10.5,0.605,857,1.39,1.8,4.49,10.105,0.5,3.9,1.4,2.9,0.625,936,11.33
3.065,4244,12.8,7.78,14840,3.69,-0.13,1.7,2310,10.6,2.905,4039,10.6,0.615,870,1.55,2.12,4.19,10.165,0.2,3.8,1.6,2.6,0.635,946,11.48
3.125,4323,11.8,7.79,14916,3.81,-0.04,1.72,2340,11.1,2.955,4105,11.5,0.625,883,1.44,2.04,4.39,10.215,0.2,3.6,1.6,2.7,0.645,956,11.04
3.265,4527,12.3,7.8,14953,3.72,0,1.77,2410,10.9,3.005,4171,10.3,0.635,896,1.42,2.08,4.41,10.265,-0.2,2.5,1,2.6,0.655,966,11.13
3.295,4576,11.8,7.82,14991,3.89,-0.04,1.8,2460,10.9,3.055,4237,10.9,0.645,909,1.55,1.95,3.69,10.315,-0.3,2.2,0.9,2.3,0.665,977,11.26
3.345,4657,11.7,7.83,15048,3.895,-0.06,1.82,2490,11.2,3.105,4302,11.4,0.655,922,1.01,1.84,4.04,10.365,0.4,3.9,1,2.5,0.675,987,11.05
3.395,4739,11.2,7.84,15104,3.72,-0.02,1.85,2530,10.9,3.155,4368,11.2,0.665,935,1.18,1.83,4.38,10.415,-0.2,2.5,1,2.6,0.685,998,10.82
3.445,4820,12,7.86,15142,3.75,0.02,1.89,2590,10.8,3.255,4516,11.2,0.675,948,1.1,1.75,4.15,10.465,0.5,3.7,0.8,1.9,0.695,1008,11.18
3.495,4902,11.7,7.87,15180,3.58,-0.23,1.93,2650,11.4,3.305,4597,10.6,0.685,961,1.15,2.03,4.36,10.515,0.3,3.3,1.5,2.8,0.705,1019,11.3
3.545,4984,12.1,7.88,15237,3.815,-0.085,1.96,2690,11.4,3.355,4679,10.8,0.695,974,0.99,1.84,4.36,10.565,0.6,4.5,1.3,1.8,0.715,1030,11.28
3.595,5065,12.5,7.92,15388,3.655,-0.22,2,2750,11.7,3.405,4760,10.4,0.705,987,1.06,2.17,4.33,10.615,-0.3,2.2,0.9,2.3,0.725,1041,11.66
3.645,5147,12.3,7.93,15444,3.76,-0.1,2.05,2820,12,3.455,4842,10.4,0.715,996,1.32,2.12,NA,10.665,0.3,3.8,0.9,2,0.735,1052,11.85
3.695,5228,11.8,7.95,15482,3.65,-0.22,2.1,2900,11.8,3.505,4923,10.6,0.725,1005,1.13,2.09,4.16,10.715,0.1,3.5,1,2.3,0.745,1063,12.07
3.745,5310,11.3,7.96,15539,3.83,-0.23,2.15,2970,11.9,3.555,5005,10.4,0.735,1014,1.32,2.14,4.4,10.765,0.3,4.1,1.3,1.6,0.755,1074,11.56
3.785,5375,12,7.97,15596,3.72,-0.3,2.2,3040,11.9,3.605,5087,10.2,0.745,1023,1.27,2.05,4.28,10.815,-0.2,2.5,1,2.6,0.775,1097,11.13
3.845,5473,11.5,7.99,15633,3.56,-0.15,2.25,3120,11.6,3.655,5168,10.5,0.755,1032,1.27,2.24,4.11,10.865,-0.5,1.8,0.9,2.1,0.795,1120,11.49
3.895,5554,11.5,8,15671,3.87,-0.13,2.3,3190,11.9,3.705,5250,11,0.765,1041,1.38,1.71,4.45,10.915,-0.2,2.5,1.2,2.6,0.805,1131,11.5
3.945,5636,11.5,8.01,15709,3.56,-0.37,2.35,3260,11.7,3.755,5331,11.4,0.775,1050,1.44,1.82,4.23,10.965,0,3.2,0.9,2.3,0.815,1143,11.65
3.995,5717,12.1,8.02,15747,3.66,-0.18,2.4,3340,11.4,3.805,5413,10.6,0.785,1059,1.25,2.06,4.22,11.015,0,3.3,1.5,2.2,0.825,1155,11.59
4.045,5799,12.5,8.03,15784,3.79,-0.21,2.45,3410,11.8,3.855,5494,9.3,0.795,1068,1.32,2.13,4.33,11.065,0.1,3.7,1.6,2.6,0.835,1167,11.61
4.095,5881,11.7,8.04,15841,3.775,-0.315,2.5,3480,11.8,3.905,5576,9.5,0.805,1078,1.41,1.84,4.17,11.115,-0.1,3.2,1.2,2.1,0.845,1178,12.02
4.145,5962,12.1,8.05,15898,3.75,-0.33,2.55,3560,11.7,3.955,5658,10.3,0.815,1087,1.27,2.28,4.25,11.165,0,3.4,1.6,2.5,0.855,1190,12.12
4.195,6044,12.4,8.06,15936,3.67,-0.32,2.6,3630,11.7,4.005,5739,9.7,0.825,1096,1.46,1.69,4.2,11.215,0.3,3.6,1.2,2.7,0.865,1203,12.04
4.245,6125,11.6,8.07,15973,3.57,-0.3,2.65,3700,12.2,4.055,5821,10,0.835,1105,1.37,1.49,3.84,11.265,0,2.6,1.3,2.6,0.875,1215,11.61
4.285,6190,11.7,8.09,16011,3.54,-0.36,2.7,3780,11.9,4.105,5902,10.1,0.845,1114,1.19,1.79,4.09,11.315,0.1,3.5,1,2.3,0.885,1227,11.7
4.345,6288,12,8.1,16049,3.46,-0.25,2.75,3840,12.3,4.155,5984,10.7,0.855,1123,1.32,1.87,4.07,11.365,-0.5,1.8,0.9,2.1,0.895,1239,11.61
4.385,6354,12.3,8.11,16087,3.31,-0.12,2.8,3910,12,4.205,6066,9,0.865,1132,1.36,2.06,4.16,11.415,-0.5,1.8,0.9,2.1,0.905,1252,11.5
4.445,6451,11.5,8.12,16143,3.505,-0.16,2.85,3970,11.8,4.255,6147,9.3,0.875,1141,1.25,1.99,3.85,11.465,-0.5,1.8,0.9,2.1,0.915,1264,10.54
4.485,6517,12,8.13,16200,3.35,-0.17,2.9,4040,12.2,4.305,6229,9.7,0.885,1150,1.15,2.51,4.23,11.515,-0.5,1.8,0.9,2.1,0.925,1277,11.84
4.555,6631,11.8,8.14,16216,3.06,-0.08,2.95,4110,11.8,4.355,6310,10.4,0.895,1159,1.18,1.85,3.84,11.565,-0.5,1.8,0.9,2.1,0.935,1289,11.55
4.605,6712,11.3,8.15,16232,2.95,-0.04,3.05,4240,12,4.405,6392,10.3,0.905,1171,1.35,1.47,4.2,11.615,-0.5,1.8,0.9,2.1,0.945,1302,11.52
4.655,6794,12.3,8.16,16247,2.92,-0.02,3.09,4290,11.9,4.455,6473,10.2,0.915,1183,1.49,1.74,4.15,11.665,-0.5,1.8,0.9,2.1,0.955,1315,11.71
4.705,6876,12,8.18,16263,2.84,-0.23,3.15,4370,11.9,4.505,6555,9.4,0.925,1196,1.4,1.84,3.73,11.715,-0.5,1.8,0.9,2.1,0.965,1327,11.48
4.755,6957,11.9,8.19,16279,3.09,-0.18,3.3,4600,11.8,4.555,6637,10.2,0.935,1208,1.48,1.81,3.69,11.765,-0.5,1.8,0.9,2.1,0.975,1340,11.39
4.805,7039,11.5,8.2,16295,3.29,-0.22,3.4,4760,11.8,4.605,6718,10.5,0.945,1220,1.38,1.95,4.08,11.815,-0.5,1.8,0.9,2.1,0.985,1353,11.26
4.855,7120,11.1,8.21,16319,2.58,-0.4,3.45,4840,12,4.655,6800,10.3,0.955,1232,1.5,2.07,3.9,11.865,0.5,3.9,1.4,2.9,0.995,1366,10.8
4.905,7202,10.4,8.22,16342,2.49,-0.22,3.5,4920,12,4.705,6881,9.7,0.965,1245,1.3,1.37,4.13,11.915,0.5,3.9,1.5,2.8,1.005,1379,11.38
4.955,7283,12,8.23,16358,2.42,-0.39,3.55,5010,11.9,4.755,6963,10.4,0.975,1257,1.18,1.61,4.21,11.965,0.4,4,1.4,2.2,1.015,1392,11.51
5.005,7365,10.7,8.24,16374,2.72,-0.26,3.6,5090,12.2,4.805,7044,9.1,0.985,1269,1.05,1.98,4.09,12.205,0.3,3.5,1.3,2.7,1.025,1405,11.82
5.055,7446,11.9,8.27,16405,2.77,-0.23,3.65,5170,12.1,4.855,7126,9.8,0.995,1281,1.11,1.72,4.18,12.405,0.1,3.6,1,2.3,1.035,1418,11.21
5.105,7528,12.2,8.28,16421,3.56,-0.14,3.75,5330,11.8,4.905,7208,9.8,1.005,1294,1.08,1.77,4.02,12.605,0.2,3.6,1.6,2.7,1.045,1431,11.78
5.155,7609,10.7,8.29,16445,3.765,-0.095,3.8,5410,11.8,4.955,7289,10.1,1.015,1306,1.42,1.84,3.78,12.805,0.2,3.6,1.6,2.7,1.055,1444,11.63
5.205,7691,10.7,8.3,16468,3.78,-0.06,3.85,5490,11.7,5.005,7371,8.6,1.025,1318,1.54,1.75,4.2,13.005,0.3,3.8,1.5,2.7,1.065,1457,11.67
5.255,7819,10.5,8.31,16484,3.76,-0.11,3.9,5580,11.8,5.055,7452,8.5,1.035,1330,1.41,1.82,4.13,13.205,0.1,3.5,1,2.3,1.075,1470,11.82
5.305,7948,10.4,8.32,16500,4.28,0.07,3.95,5660,12,5.105,7534,8.6,1.045,1343,1.34,1.69,4.24,13.405,0.5,3.9,1.5,2.8,1.085,1483,11.69
5.355,8076,12.5,8.34,16511,4.27,0.08,4,5740,12.2,5.155,7615,9.3,1.055,1355,1.29,1.82,4.01,13.605,0.4,4,1.4,2.1,1.095,1496,11.54
5.405,8204,11.9,8.35,16521,4.49,0.15,4.05,5820,12.9,5.255,7810,9,1.065,1367,1.4,1.52,4.01,13.805,0.2,3.6,1.6,2.7,1.105,1509,12.22
5.455,8332,11.6,8.36,16532,4.65,0.05,4.1,5900,12.3,5.285,7878,8.8,1.075,1379,0.79,1.71,4.18,14.005,-0.5,1.8,0.9,2.1,1.115,1522,12.59
5.505,8461,13,8.37,16543,4.47,-0.01,4.17,6020,12.8,5.295,7901,10.1,1.085,1391,1.28,1.68,4.27,14.205,0.5,3.9,1.4,2.9,1.125,1535,12.04
5.555,8589,12.4,8.38,16558,4.62,-0.055,4.2,6070,12.6,5.305,7924,10.1,1.095,1404,1.25,1.87,4.22,14.405,0.6,4.4,1.4,2.5,1.135,1548,12.24
5.605,8717,12,8.39,16575,4.56,-0.11,4.35,6310,12.9,5.315,7946,9.6,1.105,1416,1.26,1.94,4.22,14.605,0.3,4,1.5,2.5,1.145,1561,12.01
5.655,8846,12.1,8.4,16586,4.49,0.06,4.5,6550,12.5,5.325,7969,10.4,1.115,1428,1.47,2.29,4.2,14.805,0.4,4.3,1.3,2,1.155,1574,11.6
5.705,8974,12.6,8.41,16596,4.59,-0.11,4.6,6720,12.7,5.335,7992,10.6,1.125,1440,1.38,1.77,4.16,15.005,0.2,3.6,1.6,2.7,1.165,1587,11.43
5.755,9102,12,8.43,16607,4.59,-0.09,4.65,6800,12.7,5.345,8014,9,1.135,1453,1.4,1.84,4.16,15.205,0.1,3.5,1,2.3,1.175,1600,11.66
5.805,9231,12.2,8.45,16628,4.41,0,4.7,6880,12.8,5.355,8037,10.9,1.145,1465,1.23,2.07,4.05,15.405,0.2,3.9,1.5,2.1,1.185,1613,11.64
5.855,9359,12.1,8.46,16645,4.615,-0.125,4.75,6960,12.7,5.365,8060,9.2,1.155,1477,1.34,1.96,4.32,15.605,0.2,3.6,1.6,2.7,1.195,1626,11.59
5.905,9487,11.7,8.47,16660,4.5,-0.18,4.8,7040,12.7,5.375,8082,10.1,1.165,1489,1.69,2.03,4.11,15.805,0.1,3.7,1.6,2.6,1.205,1638,11.51
5.955,9615,12.4,8.48,16671,4.58,-0.02,4.85,7130,12.8,5.385,8105,9.7,1.175,1502,1.58,1.95,4.28,16.205,0.2,3.8,1.5,2.4,1.215,1651,11.94
6.025,9795,12,8.49,16682,4.29,-0.18,4.9,7210,12.7,5.395,8128,9,1.185,1514,1.54,2.22,3.82,16.405,0.2,3.6,1.6,2.7,1.225,1664,12.06
6.055,9872,11.4,8.51,16693,4.55,-0.12,4.95,7290,12.3,5.405,8150,10.6,1.195,1526,0.74,2.32,4.15,16.605,0.2,3.9,1.5,2.3,1.235,1676,12.16
6.105,10000,12.2,8.52,16703,4.5,-0.07,5,7370,12.1,5.455,8264,8.5,1.205,1538,1.06,1.8,3.82,16.805,0,3.4,1.6,2.5,1.255,1701,11.63
6.155,10128,11.9,8.53,16714,4.67,-0.18,5.05,7450,12.2,5.505,8377,10.1,1.215,1551,1.14,1.92,4.33,17.005,0,3.5,1.2,2.1,1.265,1713,12.28
6.205,10256,12.3,8.54,16725,4.52,-0.14,5.1,7530,12.2,5.555,8490,10.8,1.225,1563,1.13,2.15,3.95,17.205,0,3.4,0.8,1.9,1.275,1726,11.72
6.255,10385,12.5,8.59,16778,4.74,-0.1,5.15,7620,12.1,5.605,8603,10.4,1.235,1575,0.79,1.83,4.22,17.405,0.4,3.7,1.2,1.7,1.285,1738,11.6
6.305,10513,11.9,8.6,16789,4.75,0,5.2,7700,12.2,5.655,8717,10.9,1.245,1587,1.2,2.11,4.4,NA,NA,NA,NA,NA,1.295,1750,11.87
6.355,10641,10,8.61,16799,4.35,0.04,5.3,7960,12.1,5.705,8830,10.7,1.255,1599,1.08,1.94,4.26,NA,NA,NA,NA,NA,1.305,1762,11.73
6.405,10770,11,8.62,16816,4.29,-0.205,5.35,8100,12.4,5.755,8943,10.3,1.265,1612,1.21,2.1,4.32,NA,NA,NA,NA,NA,1.315,1774,11.97
6.455,10898,10.7,8.63,16832,4.67,0.04,5.4,8230,13,5.805,9057,11,1.275,1624,1.17,1.59,4.04,NA,NA,NA,NA,NA,1.325,1786,11.43
6.505,11026,12,8.64,16842,4.52,-0.01,5.45,8360,13,5.855,9170,9.7,1.285,1636,1.28,2.05,3.95,NA,NA,NA,NA,NA,1.335,1797,11.74
6.555,11155,11.4,8.65,16853,4.64,-0.05,5.5,8490,12.7,5.905,9283,10.4,1.295,1648,1.43,2,4.15,NA,NA,NA,NA,NA,1.345,1809,11.5
NA,NA,NA,8.66,16864,4.65,0,NA,NA,NA,5.955,9397,10,1.305,1661,0.95,NA,4.24,NA,NA,NA,NA,NA,1.355,1821,11.69
NA,NA,NA,8.68,16874,4.58,-0.1,NA,NA,NA,6.005,9510,10.4,1.315,1673,0.89,1.84,4.1,NA,NA,NA,NA,NA,1.365,1832,12.08
NA,NA,NA,8.69,16885,4.57,0.09,NA,NA,NA,6.055,9623,10.4,1.325,1685,1.23,1.89,4.23,NA,NA,NA,NA,NA,1.375,1844,12.4
NA,NA,NA,8.7,16896,4.81,0.09,NA,NA,NA,6.105,9737,10.3,1.335,1697,1.17,1.81,4.02,NA,NA,NA,NA,NA,1.385,1855,12.45
NA,NA,NA,8.71,16912,4.605,-0.025,NA,NA,NA,6.155,9850,9.9,1.345,1710,1.12,1.65,4.12,NA,NA,NA,NA,NA,1.395,1867,12.39
NA,NA,NA,8.72,16928,4.61,-0.09,NA,NA,NA,6.205,9963,9.9,1.355,1722,1.25,1.98,4.27,NA,NA,NA,NA,NA,1.405,1878,12.45
NA,NA,NA,8.73,16938,4.55,-0.15,NA,NA,NA,6.255,10076,10.4,1.365,1734,1.09,NA,4.14,NA,NA,NA,NA,NA,1.415,1889,12.02
NA,NA,NA,8.74,16949,4.48,-0.17,NA,NA,NA,6.305,10190,10.6,1.375,1746,1.16,1.96,3.98,NA,NA,NA,NA,NA,1.425,1901,12.43
NA,NA,NA,8.76,16960,4.37,-0.1,NA,NA,NA,6.355,10303,10.4,1.385,1758,1.33,1.92,4.06,NA,NA,NA,NA,NA,1.435,1912,12.3
NA,NA,NA,8.77,16971,4.62,-0.21,NA,NA,NA,6.405,10416,10.1,1.395,1771,1.2,1.28,4.19,NA,NA,NA,NA,NA,1.445,1923,12.24
NA,NA,NA,8.78,16981,4.57,-0.17,NA,NA,NA,6.455,10530,10.9,1.405,1783,1.13,1.75,4.11,NA,NA,NA,NA,NA,1.455,1934,12.23
NA,NA,NA,8.79,16997,4.605,-0.18,NA,NA,NA,6.505,10643,10.6,1.415,1795,1.12,2,3.99,NA,NA,NA,NA,NA,1.465,1946,12.35
NA,NA,NA,8.8,17013,4.47,-0.13,NA,NA,NA,6.555,10756,11,1.425,1807,0.83,1.72,4.08,NA,NA,NA,NA,NA,1.475,1957,12.39
NA,NA,NA,8.81,17024,4.46,-0.01,NA,NA,NA,6.605,10870,11,1.435,1820,0.75,1.74,NA,NA,NA,NA,NA,NA,1.485,1968,12.07
NA,NA,NA,8.82,17035,4.6,-0.05,NA,NA,NA,6.655,10983,11,1.445,1832,1.09,1.67,4.16,NA,NA,NA,NA,NA,1.495,1979,12.15
NA,NA,NA,8.84,17045,4.6,-0.13,NA,NA,NA,6.705,11096,11.6,1.455,1844,1,1.72,4.18,NA,NA,NA,NA,NA,1.505,1990,12.34
NA,NA,NA,8.85,17056,4.51,-0.15,NA,NA,NA,6.755,11210,10.8,1.465,1856,1.06,1.63,3.89,NA,NA,NA,NA,NA,1.515,2001,12.45
