year (AD),age (BP),age (BP),temperature (degC),Foram (degC),ageUncertainty (yr)
-5860,7810,7774.49,17.3,17.3,134.802
-5900,7850,7808.837,16.7,16.7,129.338
-5940,7890,7843.16,17.2,17.2,120.63
-5980,7930,7877.451,15.95,15.95,107.884
-6020,7970,7911.69,16.35,16.35,89.349
-6060,8010,7945.662,15.7,15.7,59.125
-6261,8211,8014.946,17.45,17.45,59.652
-6663,8613,8497.074,17.6,17.6,240.965
-6864,8814,8737.736,17.35,17.35,267.743
-7065,9015,8978.313,17.75,17.75,276.946
-7467,9417,9459.226,19,19,247.578
-7870,9820,9939.249,18.3,18.3,115.543
-8087,10037,10168.198,17.95,17.95,196.211
-8195,10145,10282.256,18.2,18.2,220.067
-8304,10254,10396.246,16.95,16.95,237.399
-8412,10362,10510.184,17.2,17.2,249.512
-8521,10471,10624.08,17.85,17.85,257.111
-8738,10688,10851.758,17.85,17.85,260.027
-8955,10905,11079.279,18.3,18.3,246.582
-9064,11014,11192.968,18.05,18.05,232.923
-9172,11122,11306.587,19.1,19.1,213.524
-9281,11231,11420.09,17.65,17.65,186.546
-9390,11340,11532.994,18.2,18.2,147.554
-9456,11406,11640.641,17.8,17.8,184.23
-9523,11473,11747.779,18,18,209.924
-9656,11606,11961.801,17.75,17.75,241.68
-9789,11739,12175.644,17.5,17.5,254.734
-9922,11872,12389.36,17.15,17.15,252.021
-10055,12005,12602.951,17.55,17.55,232.984
-10188,12138,12816.385,18.05,18.05,192.823
-10321,12271,13029.471,17,17,110.291
-10388,12338,13087.483,17.2,17.2,70.142
-10454,12404,13096.935,16.6,16.6,74.432
-10587,12537,13115.369,17.35,17.35,79.384
-10720,12670,13133.501,17.3,17.3,79.608
-10853,12803,13151.356,17.05,17.05,74.626
-10986,12936,13168.294,16.95,16.95,60.676
-11040,12990,13295.429,16.85,16.85,84.209
-11080,13030,13348.714,18.3,18.3,110.836
-11120,13070,13402.056,17.65,17.65,125.763
-11160,13110,13455.43,17,17,133.252
-11240,13190,13562.257,17.3,17.3,130.487
-11280,13230,13615.723,18.15,18.15,120.273
-11320,13270,13669.359,18.9,18.9,104.233
-11404,13354,13764.667,18.25,18.25,144.649
-11488,13438,13859.814,17.95,17.95,172.762
-11656,13606,14050.016,17.75,17.75,207.361
-11909,13859,14335.178,17.4,17.4,226.323
-12077,14027,14525.143,18.55,18.55,223.628
-12196,14146,14637.527,17.55,17.55,207.94
-12298,14248,14722.187,17.75,17.75,195.341
-12349,14299,14764.104,16.95,16.95,190.544
-12400,14350,14804.959,16.15,16.15,188.04
