depth (m),age (BP),d18O (permil),d18O (permil),d18O (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),d18O (permil)
6.2,8950,2.912,NA,NA,3.02,2100,-2.7,6.2,8950,28.22,0.965,6.2,2.912
6.3,9270,2.799,NA,NA,3.06,2110,-2.76,6.3,9270,27.91,0.958,6.3,2.799
6.4,9580,2.865,NA,NA,3.1,2130,-2.73,6.4,9580,28.3,0.967,6.4,2.865
6.5,9900,2.78,NA,NA,3.12,2140,-2.78,6.5,9900,28.13,0.963,6.5,2.78
6.6,10210,2.956,NA,NA,3.16,2160,-2.7,6.6,10210,27.96,0.959,6.6,2.956
6.7,10530,2.865,NA,NA,3.2,2170,-2.98,6.7,10530,27.96,0.959,6.7,2.865
6.8,10860,2.997,NA,NA,3.22,2180,-2.86,6.8,10860,28,0.96,6.8,2.997
6.9,11190,2.996,NA,NA,3.26,2200,-2.77,6.9,11190,27.57,0.95,6.9,2.996
7,11520,3.027,NA,NA,3.3,2220,-2.85,7,11520,27.74,0.954,7,3.027
7.1,11850,3.085,NA,NA,3.32,2230,-2.76,7.1,11850,27.43,0.947,7.1,3.085
7.2,12190,3.152,NA,NA,3.36,2240,-2.44,7.2,12190,27.17,0.941,7.2,3.152
7.3,12520,3.268,NA,NA,3.4,2290,-2.83,7.3,12520,27.04,0.938,7.3,3.268
7.4,12850,3.331,NA,NA,3.42,2330,-2.68,7.4,12850,26.61,0.928,7.4,3.331
7.5,13180,3.465,NA,NA,3.48,2460,-2.57,7.5,13180,27.04,0.938,7.5,3.465
7.6,13510,3.5,NA,NA,3.5,2500,-2.91,7.6,13510,26.83,0.933,7.6,3.5
7.7,13840,3.561,NA,NA,3.52,2540,-2.8,7.7,13840,27.26,0.943,7.7,3.561
7.8,14110,3.786,NA,NA,3.56,2630,-2.88,7.8,14110,26.91,0.935,7.8,3.786
7.9,14370,3.577,NA,NA,3.6,2710,-2.74,7.9,14370,27.22,0.942,7.9,3.577
8,14630,3.569,NA,NA,3.62,2750,-2.81,8,14630,27,0.937,8,3.569
8.1,14900,3.693,NA,NA,3.66,2830,-2.86,8.1,14900,27.26,0.943,8.1,3.693
8.2,15170,3.697,NA,NA,3.7,2920,-3.06,8.2,15170,26.91,0.935,8.2,3.697
8.3,15460,3.873,NA,NA,3.72,2960,-2.91,8.3,15460,26.83,0.933,8.3,3.873
8.4,15750,3.869,NA,NA,3.74,3000,-2.9,8.4,15750,26.83,0.933,8.4,3.869
8.5,16150,3.973,NA,NA,3.8,3130,-2.91,8.5,16150,26.57,0.927,8.5,3.973
8.6,16980,NA,3.92,NA,3.82,3170,-2.84,8.6,16980,26.78,0.932,8.6,3.92
8.7,17820,NA,4.116,NA,3.88,3280,-2.64,8.66,17400,25.83,0.91,8.7,4.116
8.8,19100,NA,4.213,NA,3.9,3320,-2.84,8.7,17820,25.35,0.899,8.8,4.213
8.9,20380,NA,4.197,NA,3.92,3350,-2.79,8.76,18460,26.43,0.924,8.9,4.197
9,21670,NA,4.153,NA,3.96,3420,-2.77,8.8,19100,26.22,0.919,9,4.153
9.02,21920,NA,4.066,NA,4,3480,-2.56,8.86,19740,26,0.914,9.02,4.066
9.12,23200,NA,4.075,NA,4.02,3520,-2.61,8.9,20380,25.7,0.907,9.12,4.075
9.15,23590,NA,4.054,NA,4.1,3650,-2.8,8.94,20770,25.52,0.903,9.15,4.054
9.17,23840,NA,4.025,NA,4.14,3720,-2.76,8.98,21280,26.57,0.927,9.17,4.025
9.2,24230,NA,4.148,NA,4.18,3780,-2.81,9.1,22950,26.26,0.92,9.2,4.148
9.25,24870,NA,4.089,NA,4.2,3810,-2.81,9.2,24230,26.39,0.923,9.25,4.089
9.35,26150,NA,3.924,NA,4.24,3880,-2.77,9.3,25510,26.43,0.924,9.35,3.924
9.4,26790,NA,4.16,NA,4.28,3950,-2.71,9.4,26790,26.43,0.924,9.4,4.16
9.5,28080,NA,4.103,NA,4.3,3980,-2.76,9.5,28080,26.35,0.922,9.5,4.103
9.55,28730,NA,3.994,NA,4.32,4010,-2.72,9.6,29370,26.13,0.917,9.55,3.994
9.6,29370,NA,3.897,NA,4.36,4080,-2.84,9.7,30670,26.65,0.929,9.6,3.897
9.65,30020,NA,3.94,NA,4.4,4150,-2.66,9.8,31340,26.22,0.919,9.65,3.94
9.7,30670,NA,4.015,NA,4.42,4180,-2.74,9.9,32020,26.57,0.927,9.7,4.015
9.75,31000,NA,3.953,NA,4.46,4250,-2.57,10,32690,26.7,0.93,9.75,3.953
9.8,31340,NA,4.028,NA,4.5,4310,-2.73,10.1,33360,26.48,0.925,9.8,4.028
9.9,32020,NA,3.987,NA,4.52,4350,-2.55,10.2,34040,26.52,0.926,9.9,3.987
9.95,32350,NA,3.927,NA,4.56,4410,-2.46,10.3,34710,26.52,0.926,9.95,3.927
10,32690,NA,3.983,NA,4.6,4480,-2.87,10.4,35380,26.35,0.922,10,3.983
10.05,33030,NA,3.824,NA,4.62,4510,-2.5,10.5,36060,26.74,0.931,10.05,3.824
10.1,33360,NA,3.948,NA,4.66,4580,-2.71,10.6,36730,26.83,0.933,10.1,3.948
10.15,33700,NA,3.82,NA,4.7,4640,-2.79,10.7,37410,26.96,0.936,10.15,3.82
10.2,34040,NA,3.786,NA,4.72,4690,-2.61,10.8,38150,27.17,0.941,10.2,3.786
10.25,34370,NA,3.777,NA,4.76,4790,-2.82,10.9,38900,26.74,0.931,10.25,3.777
10.3,34710,NA,4,NA,4.8,4890,-2.72,11,39650,26.17,0.918,10.3,4
10.35,35050,NA,NA,3.87,4.82,4940,-2.64,11.1,40390,26.04,0.915,10.35,3.4
10.4,35380,NA,3.794,NA,4.86,5040,-2.66,11.2,41140,26.22,0.919,10.4,3.794
10.45,35720,NA,3.811,NA,4.9,5140,-2.62,11.3,41890,26.57,0.927,10.45,3.811
10.5,36060,NA,3.852,NA,4.92,5190,-2.54,11.4,42630,26.87,0.934,10.5,3.852
10.6,36730,NA,3.671,NA,4.96,5290,-2.67,11.5,43380,26.7,0.93,10.6,3.671
10.65,37070,NA,3.684,NA,5,5400,-2.75,11.6,44130,26.61,0.928,10.65,3.684
10.7,37410,NA,3.53,NA,5.02,5450,-2.56,11.7,44870,26.78,0.932,10.7,3.53
10.8,38150,NA,3.685,NA,5.1,5660,-2.69,11.8,45620,27.09,0.939,10.8,3.685
10.85,38530,NA,3.901,NA,5.12,5710,-2.64,11.9,46110,27.22,0.942,10.85,3.901
11,39650,NA,3.856,NA,5.2,5930,-2.57,11.99,46500,26.91,0.935,11,3.856
11.1,40390,NA,3.992,NA,5.22,5980,-2.46,12.1,47090,26.52,0.926,11.1,3.992
11.2,41140,NA,3.976,NA,5.26,6080,-2.47,12.2,47580,26.61,0.928,11.2,3.976
11.3,41890,NA,3.963,NA,5.3,6190,-2.57,12.3,48070,26.78,0.932,11.3,3.963
11.35,42260,NA,3.792,NA,5.32,6240,-2.29,12.4,48560,26.83,0.933,11.35,3.792
11.4,42630,NA,3.854,NA,5.36,6350,-2.32,12.5,49050,26.83,0.933,11.4,3.854
11.45,43010,NA,3.702,NA,5.4,6460,-2.65,12.6,49540,27.52,0.949,11.45,3.702
11.5,43380,NA,3.851,NA,5.42,6520,-2.52,12.7,50030,27.04,0.938,11.5,3.851
11.6,44130,NA,3.735,NA,5.46,6640,-2.62,12.8,50520,27.26,0.943,11.6,3.735
11.65,44500,NA,3.742,NA,5.5,6760,-2.81,12.9,51010,27.13,0.94,11.65,3.742
11.7,44870,NA,3.655,NA,5.52,6820,-2.58,13,51500,27.35,0.945,11.7,3.655
11.75,45250,NA,3.657,NA,5.56,6940,-2.52,13.1,51990,27.48,0.948,11.75,3.657
11.8,45620,NA,3.622,NA,5.6,7060,-2.59,13.2,52480,27.26,0.943,11.8,3.622
11.9,46110,NA,3.629,NA,5.64,7180,-2.4,13.3,53010,27.48,0.948,11.9,3.629
12,46600,NA,3.659,NA,5.66,7250,-2.4,13.4,53530,27.61,0.951,12,3.659
12.1,47090,NA,3.72,NA,5.7,7370,-2.69,13.5,54060,27.57,0.95,12.1,3.72
12.2,47580,NA,3.662,NA,5.72,7440,-2.41,13.6,54580,27.3,0.944,12.2,3.662
12.3,48070,NA,3.808,NA,5.76,7560,-2.36,13.7,55110,27.3,0.944,12.3,3.808
12.4,48560,NA,3.688,NA,5.8,7690,-2.57,13.8,55630,27.26,0.943,12.4,3.688
12.5,49050,NA,3.66,NA,5.82,7750,-2.44,13.9,56160,27.3,0.944,12.5,3.66
12.6,49540,NA,3.901,NA,5.86,7880,-2.49,14,56680,27.74,0.954,12.6,3.901
12.7,50030,NA,3.64,NA,5.9,8000,-2.53,14.1,57210,27.04,0.938,12.7,3.64
12.8,50520,NA,3.615,NA,5.92,8070,-2.32,14.2,57730,27.83,0.956,12.8,3.615
12.9,51010,NA,3.553,NA,5.96,8190,-2.4,14.3,58290,27.78,0.955,12.9,3.553
13,51500,NA,3.558,NA,6,8320,-2.48,14.4,58860,27.52,0.949,13,3.558
13.1,51990,NA,NA,3.697,6.02,8380,-2.37,14.5,59420,27.61,0.951,13.1,3.227
13.2,52480,NA,3.51,NA,6.06,8510,-2.52,14.6,59980,27.61,0.951,13.2,3.51
13.4,53530,NA,3.686,NA,6.1,8630,-2.44,14.7,60540,27.22,0.942,13.4,3.686
13.5,54060,NA,3.652,NA,6.12,8700,-2.3,14.8,61110,27.39,0.946,13.5,3.652
13.7,55110,NA,3.75,NA,6.16,8820,-2.41,14.9,61670,27.22,0.942,13.7,3.75
13.8,55630,NA,3.639,NA,6.2,8950,-2.46,15,62230,27.57,0.95,13.8,3.639
13.9,56160,NA,3.541,NA,6.22,9010,-2.34,15.1,62790,27.26,0.943,13.9,3.541
14,56680,NA,3.562,NA,6.26,9140,-2.15,15.2,63360,27.35,0.945,14,3.562
14.1,57210,NA,3.666,NA,6.3,9270,-2.38,15.3,64040,26.96,0.936,14.1,3.666
14.2,57730,NA,3.508,NA,6.32,9330,-2.28,15.4,64720,27.61,0.951,14.2,3.508
14.4,58860,NA,3.557,NA,6.36,9460,-2.35,15.5,65400,27.17,0.941,14.4,3.557
14.5,59420,NA,3.605,NA,6.4,9580,-2.4,15.6,66090,27.7,0.953,14.5,3.605
14.6,59980,NA,3.795,NA,6.42,9640,-2.22,15.7,66770,27.91,0.958,14.6,3.795
14.7,60540,NA,3.733,NA,6.46,9770,-2.23,15.8,67450,27.7,0.953,14.7,3.733
14.8,61110,NA,3.818,NA,6.5,9900,-2.26,15.9,68140,28.26,0.966,14.8,3.818
14.9,61670,NA,3.806,NA,6.52,9960,-2.19,16,68820,28.3,0.967,14.9,3.806
15,62230,NA,3.923,NA,6.56,10090,-2.23,16.1,69500,28.35,0.968,15,3.923
15.1,62790,NA,3.728,NA,6.6,10210,-2.42,16.2,70180,28.09,0.962,15.1,3.728
15.2,63360,NA,4.022,NA,6.62,10280,-2.26,16.3,70640,27.78,0.955,15.2,4.022
15.3,64040,NA,3.797,NA,6.66,10400,-2.28,16.4,71090,28,0.96,15.3,3.797
15.4,64720,NA,NA,3.983,6.7,10530,-2.43,16.5,71550,28.57,0.973,15.4,3.513
15.5,65400,NA,3.877,NA,6.72,10590,-2.16,16.6,72000,28.35,0.968,15.5,3.877
15.6,66090,NA,3.805,NA,6.76,10730,-2.24,16.7,72460,28.7,0.976,15.6,3.805
15.7,66770,NA,3.594,NA,6.8,10860,-2.18,16.8,72910,28.65,0.975,15.7,3.594
15.8,67450,NA,3.76,NA,6.82,10930,-1.91,17,73820,28.65,0.975,15.8,3.76
15.9,68140,NA,3.603,NA,6.86,11060,-2.03,17.1,74280,28.83,0.979,15.9,3.603
16,68820,NA,3.547,NA,6.9,11190,-2.08,17.2,74730,28.43,0.97,16,3.547
16.1,69500,NA,3.407,NA,6.92,11260,-1.93,17.3,75190,28.22,0.965,16.1,3.407
16.2,70180,NA,3.514,NA,6.96,11390,-1.95,17.4,75640,28.22,0.965,16.2,3.514
16.3,70640,NA,3.535,NA,7,11520,-2.17,17.5,76100,28.13,0.963,16.3,3.535
16.4,71090,NA,3.721,NA,7.02,11590,-1.92,17.6,76550,28.57,0.973,16.4,3.721
16.5,71550,NA,3.651,NA,7.06,11720,-1.87,17.7,77010,28.35,0.968,16.5,3.651
16.6,72000,NA,3.422,NA,7.1,11850,-1.7,17.8,77460,28.61,0.974,16.6,3.422
16.7,72460,NA,3.528,NA,7.12,11920,-1.55,17.9,77910,28.35,0.968,16.7,3.528
16.8,72910,NA,3.353,NA,7.16,12050,-1.82,18,78370,28.52,0.972,16.8,3.353
16.9,73370,NA,3.269,NA,7.2,12190,-1.91,18.1,78820,28.74,0.977,16.9,3.269
17,73820,NA,3.407,NA,7.22,12250,-1.67,18.2,79280,28.91,0.981,17,3.407
17.1,74280,NA,3.602,NA,7.26,12380,-1.51,18.3,79730,28.7,0.976,17.1,3.602
17.2,74730,NA,3.2,NA,7.3,12520,-1.48,18.4,80020,28.96,0.982,17.2,3.2
17.3,75190,NA,3.24,NA,7.32,12580,-1.48,18.5,80320,28.91,0.981,17.3,3.24
17.4,75640,NA,3.461,NA,7.36,12720,-1.56,18.6,80610,29.04,0.984,17.4,3.461
17.5,76100,NA,3.322,NA,7.4,12850,-1.95,18.7,80900,28.91,0.981,17.5,3.322
17.6,76550,NA,3.349,NA,7.42,12910,-1.76,18.8,81190,29.04,0.984,17.6,3.349
17.7,77010,NA,3.371,NA,7.46,13050,-1.7,18.9,81480,29,0.983,17.7,3.371
17.8,77460,NA,3.222,NA,7.5,13180,-1.78,19,81770,29.13,0.986,17.8,3.222
17.9,77910,NA,3.327,NA,7.54,13310,-1.76,19.1,82060,29.09,0.985,17.9,3.327
18,78370,NA,3.302,NA,7.58,13450,-1.62,19.2,82350,28.96,0.982,18,3.302
18.1,78820,NA,3.24,NA,7.6,13510,-1.87,19.3,82640,28.87,0.98,18.1,3.24
18.2,79280,NA,3.259,NA,7.62,13580,-1.57,19.4,82930,28.91,0.981,18.2,3.259
18.3,79730,NA,2.977,NA,7.66,13710,-1.69,19.5,83220,28.87,0.98,18.3,2.977
18.4,80020,NA,3.164,NA,7.7,13840,-1.89,19.6,83510,28.7,0.976,18.4,3.164
18.5,80320,NA,3.084,NA,7.72,13900,-1.45,19.7,83800,28.52,0.972,18.5,3.084
18.6,80610,NA,2.947,NA,7.76,14000,-1.42,19.8,84100,28.48,0.971,18.6,2.947
18.7,80900,NA,3.124,NA,7.8,14110,-1.47,19.9,84390,28.35,0.968,18.7,3.124
18.8,81190,NA,2.868,NA,7.82,14160,-1.42,20,84680,28.35,0.968,18.8,2.868
18.9,81480,NA,3.102,NA,7.86,14260,-1.38,20.1,84970,28.39,0.969,18.9,3.102
19,81770,NA,3.031,NA,7.9,14370,-1.66,20.2,85260,28.26,0.966,19,3.031
19.1,82060,NA,2.956,NA,7.92,14420,-1.63,20.3,85550,28.09,0.962,19.1,2.956
19.2,82350,NA,2.969,NA,7.96,14530,-1.53,20.4,85840,27.78,0.955,19.2,2.969
19.3,82640,NA,2.92,NA,8,14630,-1.48,20.5,86130,27.78,0.955,19.3,2.92
19.4,82930,3.101,NA,NA,8.02,14690,-1.27,20.6,86420,27.48,0.948,19.4,3.101
19.5,83220,NA,3.112,NA,8.06,14790,-1.4,20.7,86710,27.96,0.959,19.5,3.112
19.6,83510,3.033,NA,NA,8.1,14900,-1.28,20.8,87010,28.17,0.964,19.6,3.033
19.7,83800,NA,3.008,NA,8.12,14950,-1.14,20.9,87300,28.13,0.963,19.7,3.008
19.8,84100,NA,3.171,NA,8.16,15060,-1.18,21,87600,28.17,0.964,19.8,3.171
19.9,84390,NA,3.196,NA,8.2,15170,-1.39,21.1,87900,28.3,0.967,19.9,3.196
20,84680,NA,3.286,NA,8.22,15220,-1.1,21.2,88190,28.43,0.97,20,3.286
20.1,84970,NA,3.238,NA,8.26,15340,-1.1,21.3,88490,28.48,0.971,20.1,3.238
20.2,85260,NA,3.317,NA,8.3,15460,-1.24,21.4,88780,28.57,0.973,20.2,3.317
20.3,85550,NA,3.391,NA,8.36,15630,-1.1,21.5,89080,28.7,0.976,20.3,3.391
20.5,86130,NA,3.399,NA,8.4,15750,-0.95,21.6,89370,28.57,0.973,20.5,3.399
20.6,86420,NA,3.377,NA,8.42,15800,-0.99,21.7,89670,28.65,0.975,20.6,3.377
20.7,86710,NA,3.57,NA,8.46,15920,-1.03,21.8,89970,28.61,0.974,20.7,3.57
20.8,87010,NA,3.486,NA,8.5,16150,-1.25,21.9,90260,28.48,0.971,20.8,3.486
20.9,87300,NA,3.498,NA,8.52,16310,-1.02,22,90560,28.61,0.974,20.9,3.498
21.1,87900,NA,3.262,NA,8.56,16650,-0.91,22.1,90850,28.48,0.971,21.1,3.262
21.3,88490,NA,3.292,NA,8.6,16980,-1.03,22.2,91150,28.52,0.972,21.3,3.292
21.4,88780,NA,3.326,NA,8.62,17150,-1.1,22.3,91450,28.7,0.976,21.4,3.326
21.5,89080,NA,3.324,NA,8.66,17490,-0.9,22.4,91740,28.7,0.976,21.5,3.324
21.7,89670,NA,3.482,NA,8.7,17820,-0.88,22.5,92040,28.61,0.974,21.7,3.482
21.8,89970,NA,3.293,NA,8.72,18080,-0.85,22.6,92330,28.7,0.976,21.8,3.293
21.9,90260,NA,3.371,NA,8.76,18590,-0.8,22.7,92630,28.78,0.978,21.9,3.371
22,90560,NA,3.3,NA,8.8,19100,-0.89,22.8,92920,28.96,0.982,22,3.3
22.1,90850,NA,3.256,NA,8.82,19360,-0.82,22.9,93220,28.83,0.979,22.1,3.256
22.3,91450,NA,3.205,NA,8.86,19870,-0.68,23,93520,28.87,0.98,22.3,3.205
22.4,91740,NA,3.222,NA,8.9,20380,-0.97,23.1,93810,28.87,0.98,22.4,3.222
22.5,92040,NA,3.29,NA,8.92,20640,-0.93,23.2,94110,28.74,0.977,22.5,3.29
22.6,92330,NA,3.401,NA,8.96,21150,-0.92,23.3,94400,28.78,0.978,22.6,3.401
22.7,92630,NA,3.015,NA,9,21670,-0.97,23.4,94700,28.74,0.977,22.7,3.015
22.8,92920,NA,3.206,NA,9.1,22950,-0.96,23.5,95000,28.65,0.975,22.8,3.206
22.9,93220,NA,3.107,NA,9.2,24230,-1.05,23.6,95290,28.7,0.976,22.9,3.107
23,93520,NA,2.997,NA,9.3,25510,-1.14,23.7,95590,28.48,0.971,23,2.997
23.1,93810,NA,3.079,NA,9.4,26790,-1.09,23.8,95880,28.43,0.97,23.1,3.079
23.2,94110,NA,3.158,NA,9.5,28080,-1.11,23.9,96180,28.91,0.981,23.2,3.158
23.3,94400,NA,3.124,NA,9.6,29370,-1.22,24,96470,28.26,0.966,23.3,3.124
23.4,94700,NA,3.169,NA,9.7,30670,-1.15,24.1,96770,28.39,0.969,23.4,3.169
23.5,95000,NA,2.986,NA,9.8,31340,-0.94,24.2,97070,28.78,0.978,23.5,2.986
23.9,96180,NA,NA,3.418,9.9,32020,-1.04,24.3,97360,28.96,0.982,23.9,2.948
24.2,97070,NA,3.07,NA,10,32690,-1.22,24.4,97660,28.78,0.978,24.2,3.07
24.3,97360,NA,NA,3.563,10.1,33360,-1.23,24.5,97950,29.13,0.986,24.3,3.093
24.5,97950,NA,NA,3.571,10.2,34040,-1.36,24.6,98250,29.17,0.987,24.5,3.101
24.6,98250,NA,NA,3.531,10.3,34710,-1.32,24.7,98550,29.17,0.987,24.6,3.061
25,99430,NA,3.066,NA,10.4,35380,-1.25,24.8,98840,29.17,0.987,25,3.066
25.1,99730,NA,NA,3.536,10.5,36060,-1.44,24.9,99140,29.13,0.986,25.1,3.066
25.2,100020,NA,NA,3.426,10.6,36730,-1.7,25,99430,29.09,0.985,25.2,2.956
25.4,100620,NA,NA,3.49,10.7,37410,-1.66,25.1,99730,29.17,0.987,25.4,3.02
25.5,100910,NA,NA,3.76,10.8,38150,-1.23,25.2,100020,29.09,0.985,25.5,3.29
25.6,101210,NA,NA,3.381,10.9,38900,-1.34,25.3,100320,28.96,0.982,25.6,2.911
25.8,101800,NA,3.073,NA,11,39650,-1.29,25.4,100620,29.04,0.984,25.8,3.073
25.9,102100,NA,3.108,NA,11.1,40390,-1.25,25.5,100910,29.09,0.985,25.9,3.108
26.1,102690,NA,3.13,NA,11.2,41140,-1.39,25.6,101210,29.17,0.987,26.1,3.13
26.2,102980,NA,3.153,NA,11.3,41890,-1.18,25.7,101500,29.13,0.986,26.2,3.153
26.3,103280,NA,3.182,NA,11.4,42630,-1.33,25.8,101800,28.96,0.982,26.3,3.182
26.4,103570,NA,3.82,NA,11.5,43380,-1.46,25.9,102100,28.65,0.975,26.4,3.82
26.5,103870,NA,NA,3.671,11.6,44130,-1.51,26,102390,28.87,0.98,26.5,3.201
26.6,104170,NA,NA,3.594,11.7,44870,-1.6,26.1,102690,28.78,0.978,26.6,3.124
26.7,104460,NA,NA,3.623,11.8,45620,-1.63,26.2,102980,28.57,0.973,26.7,3.153
26.8,104760,NA,NA,3.847,11.9,46110,-1.5,26.3,103280,28.74,0.977,26.8,3.377
26.9,105050,NA,NA,3.706,12,46600,-1.26,26.4,103570,29.09,0.985,26.9,3.236
27,105350,NA,NA,3.858,12.1,47090,-1.29,26.5,103870,29.09,0.985,27,3.388
27.1,105650,NA,3.318,NA,12.2,47580,-1.34,26.6,104170,29.04,0.984,27.1,3.318
27.3,106240,NA,NA,3.617,12.3,48070,-1.47,26.7,104460,29.04,0.984,27.3,3.147
