depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d13C (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),Uk37 (missing),C37.concentration (g),CaCO3 (percent)
1.53,3218,NA,15.2,21.8,-0.32,3,NA,NA,NA,1.21,0.68,1.22,0.764,1984,NA
1.58,3316,NA,14.1,22,-0.5,2.98,NA,NA,NA,1.22,0.81,1.09,0.769,1950,NA
1.63,3413,NA,12.7,22.3,-0.12,3.07,NA,NA,NA,1.15,0.73,0.92,0.779,2057,18
1.68,3510,NA,17.7,22.7,-0.35,3.04,NA,NA,NA,1.19,0.77,1.62,0.794,2002,NA
1.73,3607,NA,14.4,22.6,-0.25,3.07,NA,NA,NA,1.17,0.94,1.12,0.791,1831,NA
1.78,3704,NA,12.9,22.6,-0.15,2.99,NA,NA,NA,1.35,0.69,0.95,0.79,1592,17.4
1.83,3801,NA,15.5,22.6,-0.12,2.84,1.5,-1.6,NA,1.19,0.88,1.27,0.789,1571,NA
1.88,3895,NA,15.3,22.5,-0.63,2.99,NA,NA,NA,1.25,0.85,1.24,0.786,1825,NA
1.93,3989,NA,12.9,22.5,-0.14,3.11,NA,NA,NA,1.25,0.85,0.94,0.786,1766,18.8
1.98,4083,NA,13.9,22.1,-0.49,3.04,NA,NA,NA,1.22,0.92,1.06,0.772,1586,NA
2.03,4178,NA,15.4,22.2,-0.33,2.95,NA,NA,NA,1.23,0.97,1.25,0.777,1808,NA
2.08,4272,19.7,16.3,22.7,-0.23,2.92,1.73,-1.8,2.54,1.23,0.82,1.38,0.792,1735,15.7
2.13,4358,NA,14.8,22.3,-0.44,2.94,NA,NA,NA,1.28,0.86,1.17,0.78,1600,NA
2.18,4445,NA,13.8,22.3,-0.48,2.99,NA,NA,NA,1.24,0.89,1.04,0.78,1628,NA
2.23,4531,19.4,16.3,21.6,-0.31,2.91,1.67,-1.44,2.47,1.23,0.89,1.39,0.755,1607,15.1
2.28,4618,NA,14.9,22.1,-0.04,3.08,NA,NA,NA,1.18,0.67,1.19,0.773,1832,NA
2.33,4704,19.3,15.1,21.6,-0.29,2.95,0.85,-1.55,2.45,1.2,0.86,1.22,0.757,1415,NA
2.38,4791,NA,16.9,22,-0.59,3.01,NA,NA,NA,1.24,0.85,1.48,0.77,1373,18.4
2.43,4877,NA,14.1,21.8,-0.34,3.09,NA,NA,NA,NA,NA,1.08,0.763,1528,NA
2.48,4964,NA,16.1,22,-0.24,3.04,NA,NA,NA,1.29,0.81,1.36,0.771,1588,NA
2.53,5051,18.8,17.3,21.9,-0.49,2.95,NA,NA,2.34,1.19,0.77,1.55,0.768,1599,16.7
2.58,5137,NA,14.1,22.2,-0.29,2.99,NA,NA,NA,1.14,0.97,1.09,0.776,1777,NA
2.63,5224,NA,14.1,22.6,-0.29,3.04,NA,NA,NA,1.16,0.9,1.08,0.789,1672,NA
2.68,5310,NA,14.1,22.2,-0.26,2.98,NA,NA,NA,1.27,0.87,1.08,0.777,1735,17.8
2.73,5397,NA,13.7,22.5,-0.37,3.02,NA,NA,NA,1.19,0.77,1.04,0.786,1494,NA
2.78,5483,NA,13.5,22.3,-0.44,3.16,NA,NA,NA,1.23,0.99,1.01,0.779,1755,NA
2.83,5570,21,14.8,22.2,-0.3,3.1,NA,NA,2.89,1.26,0.87,1.17,0.778,1089,17.5
2.88,5656,NA,14.3,22.5,-0.41,3.01,NA,NA,NA,1.23,0.93,1.11,0.786,1201,NA
2.93,5743,19.3,15.3,22.7,-0.61,2.98,1.4,-0.85,2.45,1.21,0.99,1.24,0.794,1530,NA
2.98,5848,NA,15.4,22.7,-0.41,3.01,NA,NA,NA,1.31,0.84,1.25,0.794,1524,15.8
3.03,5954,NA,15.6,22.6,-0.36,2.69,NA,NA,NA,1.23,0.82,1.28,0.79,1358,NA
3.08,6059,NA,14.5,22.8,-0.33,3.1,NA,NA,NA,1.27,0.98,1.13,0.797,1566,NA
3.13,6164,NA,14.3,22.9,-0.3,2.93,NA,NA,NA,1.29,0.9,1.1,0.799,1223,18.6
3.18,6270,NA,14.9,22.8,-0.61,2.97,NA,NA,NA,1.2,1.06,1.19,0.796,1805,NA
3.23,6375,NA,14.3,22.6,-0.37,2.91,NA,NA,NA,1.14,1.03,1.11,0.789,1688,NA
3.28,6480,NA,13.8,22.9,-0.27,3.08,NA,NA,NA,1.13,0.93,1.05,0.799,2288,13.5
3.33,6585,NA,15,21.8,-0.73,3.04,NA,NA,NA,1.2,0.94,1.2,0.764,1553,NA
3.38,6691,NA,15,21.7,-0.19,3.1,NA,NA,NA,1.1,0.93,1.2,0.76,1605,NA
3.43,6796,NA,13.9,22.1,-0.51,2.98,NA,NA,NA,1.06,0.87,1.06,0.773,1858,16.5
3.48,6901,NA,15,22,-0.32,3,NA,NA,NA,1.2,0.79,1.2,0.769,1851,NA
3.53,7007,NA,14.7,21.6,-0.45,3.06,1.71,-1.96,NA,1.24,0.91,1.16,0.757,1603,NA
3.58,7116,NA,15,22.3,-0.32,3.1,NA,NA,NA,1.13,1,1.2,0.781,1812,13.9
3.63,7225,NA,15.4,22.9,-0.27,3.11,NA,NA,NA,1.09,1.13,1.25,0.798,1713,NA
3.68,7334,NA,14.1,22.4,-0.27,3,NA,NA,NA,1.2,1.15,1.09,0.783,2255,NA
3.73,7443,NA,13.5,22.1,-0.53,3.12,NA,NA,NA,1.25,0.87,1.01,0.772,1944,15.9
3.78,7552,20.9,14.7,21.6,-0.53,3.31,1.38,-1.57,2.85,1.02,1.01,1.16,0.756,1880,NA
3.83,7661,19.9,13,21.7,-0.59,3.14,1.72,-1.54,2.6,1.15,1,0.96,0.761,2185,NA
3.88,7770,NA,16.2,21.6,-0.24,2.92,NA,NA,NA,1.25,0.89,1.38,0.756,2098,16.9
3.93,7879,20.5,14,21.3,-0.27,3.1,1.81,-1.24,2.74,1.15,0.77,1.07,0.747,1986,NA
3.98,7988,NA,14.4,21.3,-0.27,3.04,NA,NA,NA,1.22,0.95,1.13,0.748,2027,NA
4.03,8098,20.2,NA,21,-0.44,2.96,1.54,-1.63,2.67,1.07,0.91,NA,0.736,1766,NA
4.08,8160,NA,16.2,21.5,-0.26,3.04,NA,NA,NA,0.9,1.07,1.38,0.753,1957,17.2
4.13,8222,20.2,15.7,21.6,-0.47,3,1.55,-1.54,2.68,1.06,0.88,1.29,0.755,1794,NA
4.18,8285,NA,15.6,21.8,-0.37,3.01,NA,NA,NA,0.97,1.08,1.28,0.764,1697,15.6
4.23,8347,20.7,15.8,21.9,-0.4,3.02,1.34,-1.31,2.81,1.1,1.25,1.31,0.767,2030,NA
4.28,8409,NA,15.2,21.2,-0.43,3.11,NA,NA,NA,0.99,1,1.23,0.745,1465,NA
4.33,8472,20.3,15,21.9,-0.3,3.19,1.48,-1.07,2.69,1.05,1.09,1.2,0.768,1831,17.5
4.38,8534,NA,15.3,21.9,-0.56,3.12,NA,NA,NA,1.15,1.06,1.24,0.768,1676,NA
4.43,8596,20,15.2,21.9,-0.34,3.25,1.04,-2,2.62,1.05,1.08,1.23,0.767,1512,NA
4.48,8659,NA,16.2,21.8,-0.55,3.13,NA,NA,NA,0.99,0.97,1.37,0.764,1413,16.8
4.53,8721,19.4,15.6,21.7,-0.47,3.07,1.25,-1.23,2.47,1.02,1.02,1.29,0.761,1401,NA
4.58,8783,NA,15.2,21.9,-0.42,3.28,NA,NA,NA,1.06,1.14,1.23,0.766,1617,NA
4.63,8846,20.8,17.9,21.8,-0.54,3.13,1.54,-1.53,2.81,1.07,1.1,1.67,0.763,1402,18.4
4.68,8908,NA,13.8,21.6,-0.64,3.15,NA,NA,NA,1.1,0.98,1.04,0.757,1632,NA
4.73,8970,NA,15.4,21.9,-0.45,3.32,1.45,-1.27,NA,1.13,1.08,1.25,0.767,1241,NA
4.78,9033,NA,15.3,22.2,-0.59,3.24,NA,NA,NA,0.99,1.02,1.23,0.778,1277,21.7
4.83,9095,20.1,15.3,22.1,-0.58,3.2,1.03,-1.29,2.64,1.08,1.14,1.24,0.772,1448,NA
4.88,9157,NA,15.9,21.9,-0.48,3.33,NA,NA,NA,1.02,1.12,1.32,0.767,1255,NA
4.93,9220,19.4,17,22.1,-0.55,3.22,1.36,-1.23,2.48,1.02,0.84,1.51,0.774,1233,20.7
4.98,9282,NA,16.4,22,-0.86,3.25,NA,NA,NA,0.97,1.21,1.41,0.77,1120,NA
5.03,9345,20.8,15.2,21.7,-0.33,3.25,1.18,-1.35,2.84,1.05,0.92,1.22,0.759,1363,NA
5.08,9407,NA,14.1,22,-0.45,3.23,NA,NA,NA,0.83,1.18,1.08,0.769,1378,17.6
5.13,9469,NA,15.1,21.9,-0.67,3.24,1.25,-1.38,NA,0.98,1.12,1.21,0.767,819,NA
5.18,9532,NA,15.8,22.3,-0.32,3.2,NA,NA,NA,0.96,1.01,1.31,0.779,977,NA
5.23,9594,19,15.2,22.3,-0.32,3.17,1.14,-0.97,2.4,0.99,1.09,1.23,0.781,844,17.6
5.28,9656,NA,16.2,22.3,-0.29,3.2,NA,NA,NA,0.99,1.15,1.38,0.781,986,NA
5.33,9719,NA,16.1,22.4,-0.54,3.31,1.09,-0.89,NA,0.91,1.11,1.36,0.783,554,NA
5.38,9781,NA,15.7,22.7,-0.48,3.21,NA,NA,NA,0.98,1.03,1.3,0.792,953,23.3
5.43,9843,20.1,16,22.7,0.37,3.11,1.34,-1.34,2.66,1,1.13,1.35,0.793,745,NA
5.48,9906,NA,16.8,22.8,-0.53,3.39,NA,NA,NA,0.88,1.19,1.47,0.796,791,NA
5.53,9968,22.9,16.6,22.8,-0.73,3.24,1.27,-1.21,3.44,0.84,1.01,1.44,0.797,743,18.4
5.58,10030,NA,15.8,22.7,-0.53,3.41,NA,NA,NA,0.96,1.18,1.31,0.793,1054,NA
5.63,10093,20.9,17.5,22.6,-0.63,3.28,1.17,-1.16,2.86,0.7,1.04,1.59,0.789,1065,NA
5.68,10155,NA,14.4,22.6,-1.12,3.25,NA,NA,NA,0.97,1.22,1.12,0.789,986,20.8
5.73,10217,NA,16.2,22.7,-0.67,3.38,1.28,-1.3,NA,0.94,1.14,1.37,0.793,828,NA
5.78,10280,NA,16.2,22.6,-0.67,3.41,NA,NA,NA,0.86,1.1,1.37,0.788,916,NA
5.83,10342,21,14.9,22.4,-0.42,3.39,1.14,-1.18,2.87,0.78,1.17,1.19,0.783,983,28.2
5.88,10405,NA,17.1,22.5,-0.49,3.36,NA,NA,NA,0.84,1.26,1.52,0.787,799,NA
5.93,10467,NA,16.4,22.6,-0.69,3.38,NA,NA,NA,0.79,1.14,1.4,0.788,1005,NA
5.98,10529,NA,15.2,22.2,-0.74,3.38,NA,NA,NA,0.97,0.99,1.23,0.776,1132,23.3
6.03,10592,23.2,16.3,22.3,-0.6,3.3,0.99,-1.08,3.55,0.85,0.94,1.39,0.781,1327,NA
6.08,10654,NA,17,22.5,-0.92,3.25,NA,NA,NA,0.86,1.34,1.5,0.785,950,NA
6.13,10716,NA,15.9,22.6,-0.83,3.3,1.1,-0.93,NA,0.88,1.18,1.33,0.789,1027,22.6
6.18,10779,NA,18.2,22.6,-0.42,3.44,NA,NA,NA,0.81,1.16,1.71,0.789,1051,NA
6.23,10841,NA,17.3,22.3,-0.46,3.34,0.85,-0.73,NA,0.77,1.39,1.56,0.78,1003,NA
6.28,10904,NA,16.3,22,-0.7,3.37,NA,NA,NA,0.85,1.13,1.39,0.769,940,20.4
6.33,10966,NA,15.8,22.3,-0.71,3.33,NA,NA,NA,0.69,1.39,1.3,0.78,743,NA
6.38,11029,NA,16.6,22.2,-0.31,3.36,NA,NA,NA,0.86,1.18,1.43,0.775,1009,NA
6.43,11092,20.7,15.6,22,-0.95,3.4,NA,NA,2.81,0.91,1.21,1.29,0.77,869,16.5
6.48,11154,NA,15.9,22.2,-0.44,3.17,NA,NA,NA,0.9,1.25,1.32,0.776,979,NA
6.53,11217,22.4,15.9,21.8,-0.36,3.32,NA,NA,3.29,0.86,1.4,1.32,0.763,1160,NA
6.58,11279,NA,14.9,22.1,-0.55,3.25,NA,NA,NA,0.88,1.37,1.19,0.772,1049,22.6
6.63,11342,20.8,15.9,21.7,-0.63,3.64,NA,NA,2.84,0.87,1.51,1.32,0.761,962,NA
6.68,11405,NA,15.7,21.6,-0.35,3.47,NA,NA,NA,0.88,1.1,1.29,0.757,988,NA
6.73,11467,21.2,15.2,21.7,-0.41,3.37,1.32,-0.56,2.93,0.86,1.28,1.23,0.76,1057,20.5
6.78,11531,21,16.4,22,-0.56,3.51,1.28,-0.4,2.87,0.71,1.31,1.41,0.77,1252,NA
6.83,11594,NA,17.4,21.8,-0.68,3.33,NA,NA,NA,0.8,1.44,1.57,0.762,1257,NA
6.88,11657,NA,16.5,21.9,-0.55,3.42,NA,NA,NA,0.84,1.41,1.41,0.765,1276,25.3
6.93,11720,21,16.1,21.4,-0.41,3.53,NA,NA,2.89,0.76,1.42,1.36,0.751,1111,NA
6.98,11784,NA,18.4,21.6,-0.77,3.39,NA,NA,NA,0.8,1.37,1.75,0.757,1091,NA
7.03,11847,NA,15.9,21.6,-0.72,3.52,NA,NA,NA,0.76,1.43,1.32,0.757,1153,22.7
7.08,11910,NA,15.4,21.5,-0.46,3.6,NA,NA,NA,0.85,1.39,1.25,0.752,1022,NA
7.13,11974,21.4,15,21.5,-0.67,3.55,1.01,-0.32,2.98,0.76,1.42,1.2,0.754,781,NA
7.18,12037,NA,15.3,21.4,-0.53,3.59,NA,NA,NA,0.72,1.44,1.24,0.75,1273,23.2
7.23,12100,21.1,14.1,21.8,-0.37,3.56,0.9,-0.19,2.9,0.85,1.38,1.08,0.764,1489,NA
7.28,12163,21.8,16.7,21.4,-0.56,3.56,1.22,-0.44,3.11,0.84,1.46,1.45,0.751,1251,NA
7.33,12227,NA,16.3,21.7,-0.93,3.58,1.26,-0.7,NA,0.86,1.52,1.39,0.759,1328,24.5
7.38,12290,NA,15.6,21.6,-0.66,3.71,1.07,-0.58,NA,0.88,1.3,1.28,0.756,1335,NA
7.43,12353,23.5,15.6,21.3,-0.49,3.48,1.16,-0.15,3.64,0.82,1.34,1.28,0.746,1185,NA
7.48,12416,NA,14.9,21.6,-0.76,3.63,NA,NA,NA,0.76,1.5,1.18,0.756,1410,20.1
7.53,12480,NA,15.6,20.9,-0.57,3.61,0.97,-0.72,NA,0.83,1.47,1.29,0.732,1321,NA
7.58,12543,20.4,15.6,19.7,-0.97,3.82,1.12,-0.24,2.72,0.94,1.32,1.29,0.695,1313,NA
7.63,12606,19.2,15.2,19.7,-0.49,3.83,1.2,-1.1,2.43,0.81,1.61,1.23,0.693,1170,19.2
7.68,12670,22.6,15.6,19.7,-0.55,3.74,1.19,-0.58,3.36,0.85,1.46,1.28,0.694,1061,NA
7.73,12733,21.9,15.6,20.2,-0.43,3.77,1.09,-0.58,3.12,0.79,1.4,1.28,0.711,996,NA
7.78,12796,20.1,14.8,20.3,-0.83,3.72,1.21,-0.54,2.66,0.87,1.37,1.17,0.713,1030,20.5
7.83,12859,19.4,15.7,20.5,-0.74,3.53,0.71,-1,2.48,0.88,1.36,1.3,0.721,1053,NA
7.88,12923,24.1,15.3,20,-0.71,3.81,1.12,-0.76,3.85,0.76,1.45,1.25,0.704,1008,NA
7.93,12986,21,14.6,19.8,-0.67,3.78,1.09,-0.94,2.89,0.84,1.5,1.15,0.697,981,19.9
7.98,13049,18.6,15.3,20.3,-0.69,3.82,1.09,-0.45,2.3,0.87,1.51,1.23,0.715,987,NA
8.03,13112,21.8,15.2,20.4,-1.05,3.74,0.81,-0.41,3.11,0.88,1.32,1.22,0.718,880,NA
8.08,13172,20.9,14.9,20.9,-1.05,3.84,NA,NA,2.85,0.83,1.5,1.18,0.735,973,20.5
8.13,13232,21.7,14.7,21.1,-1,3.8,1.11,-0.57,3.07,1.04,1.52,1.16,0.74,697,NA
8.18,13277,21.1,14.9,20.4,-0.72,4.05,0.89,-0.78,2.89,0.84,1.32,1.19,0.717,756,NA
8.23,13323,19.9,15.3,20.3,-0.79,3.75,0.79,-0.95,2.6,0.8,1.55,1.24,0.713,688,22.9
8.28,13368,22,15.3,21.7,-0.75,3.89,0.82,-1.01,3.17,0.81,1.44,1.24,0.761,669,NA
8.33,13413,20.7,17.1,21.1,-1.37,3.75,1.01,-1.19,2.8,0.75,1.49,1.52,0.741,700,NA
8.38,13459,20.4,16.2,20.7,-0.61,3.76,0.84,-0.69,2.73,0.7,1.54,1.37,0.726,763,23.5
8.43,13504,20.9,14.3,20.5,-0.78,3.89,NA,NA,2.85,0.72,1.48,1.11,0.719,691,NA
8.48,13550,20.2,15.8,20.9,-0.81,3.87,NA,NA,2.68,0.72,1.38,1.32,0.732,748,NA
8.53,13595,20.7,15.4,20.9,-0.92,3.73,NA,NA,2.79,0.72,1.52,1.26,0.732,769,24.4
8.58,13640,28.3,15.9,20.7,-0.66,3.86,0.81,-0.12,5.74,0.86,1.49,1.33,0.727,771,NA
8.63,13686,19.8,15.8,20.5,-0.84,3.8,0.84,-0.69,2.58,0.73,1.43,1.32,0.719,741,NA
8.68,13731,NA,15.1,20.8,-1.19,3.72,0.88,-1.07,NA,0.75,1.51,1.21,0.73,680,24.5
8.73,13776,22,15.5,21.6,-1.06,3.58,0.74,-0.98,3.18,0.73,1.51,1.26,0.756,722,NA
8.78,13822,21.7,16.4,21.6,-0.79,3.7,0.86,-0.93,3.07,0.85,1.41,1.41,0.755,887,NA
8.83,13867,19.1,14.8,21.8,-1.01,3.83,NA,NA,2.41,0.9,1.41,1.17,0.762,760,25.8
8.88,13912,21.1,16.7,21.6,-0.52,3.77,0.71,-0.81,2.92,0.83,1.29,1.45,0.758,789,NA
8.93,13958,20.4,17,21.1,-0.7,3.74,0.69,-0.69,2.73,0.8,1.55,1.5,0.741,808,NA
8.98,14003,21.4,15.2,21.5,-1.43,3.77,1.02,-1.17,3,0.7,1.5,1.23,0.754,738,24.3
9.03,14048,19.6,15.6,21.6,-0.86,3.69,NA,NA,2.53,0.68,1.48,1.28,0.758,828,NA
9.08,14094,20.2,17.8,21.4,-0.66,3.75,0.81,-0.93,2.66,0.75,1.5,1.64,0.751,933,NA
9.13,14139,21.5,14.9,21.5,-0.91,3.8,0.74,-1.03,3.02,0.78,1.57,1.18,0.753,959,22.4
9.18,14184,21.8,17.1,21.5,-0.97,3.72,0.8,-1.01,3.11,0.79,1.48,1.52,0.753,802,NA
9.23,14230,21.9,17.6,20.8,-0.89,3.76,0.71,-0.54,3.13,0.65,1.62,1.61,0.731,1021,NA
9.28,14275,22.1,14.7,21.1,-1.15,3.88,NA,NA,3.19,0.7,1.62,1.16,0.74,817,19.6
9.33,14320,20.8,15,21,-0.97,3.71,0.58,-1.12,2.84,0.63,1.6,1.19,0.738,861,NA
9.38,14366,NA,16.7,21.3,-0.92,3.62,0.94,-0.75,NA,0.73,1.42,1.46,0.748,913,NA
9.43,14411,21.9,16.9,21.5,-1.08,3.85,0.82,-1.06,3.13,0.76,1.52,1.49,0.753,1117,19.9
9.48,14456,NA,17,21.3,-0.86,3.93,NA,NA,NA,0.76,1.66,1.5,0.748,1003,NA
9.53,14502,NA,17.1,21.2,-0.64,3.76,0.89,-1.6,NA,0.77,1.66,1.52,0.744,777,NA
9.58,14535,20.9,15.2,20.8,-0.84,3.9,NA,NA,2.86,0.73,1.53,1.23,0.73,906,18.4
9.63,14569,19.8,17.7,21.6,-0.69,3.82,NA,NA,2.57,0.72,1.59,1.63,0.758,911,NA
9.68,14602,20.7,18.6,21.9,-0.67,3.75,0.88,-0.44,2.79,0.66,1.5,1.79,0.765,920,NA
9.73,14636,20.7,15.8,21.9,-0.84,3.8,0.68,-0.72,2.81,0.78,1.49,1.31,0.766,1022,15.5
9.78,14669,20.4,16.3,21.8,-0.86,3.8,0.89,-0.55,2.72,0.72,1.6,1.39,0.764,991,NA
9.83,14702,19.1,16.5,20.8,-0.9,3.75,0.83,-0.69,2.4,0.67,1.66,1.41,0.731,1051,NA
9.88,14736,22.1,16.1,21.5,-0.88,3.61,1.01,-0.06,3.18,0.58,1.69,1.36,0.754,1029,21.2
9.93,14769,22.3,17,21.6,-0.59,3.85,0.9,-0.13,3.27,0.63,1.66,1.5,0.758,1029,NA
9.98,14803,20.5,16.4,21.7,-1.04,3.63,0.96,-0.17,2.74,0.73,1.54,1.4,0.761,1077,NA
10.03,14836,19.4,16.8,19.8,-0.79,3.99,0.8,-0.17,2.48,0.8,1.52,1.48,0.697,813,22.2
10.08,14870,21.3,16.8,20.2,-0.9,3.79,0.9,-0.24,2.96,0.81,1.64,1.46,0.712,841,NA
10.13,14903,20.4,17.1,20,-0.64,3.69,0.88,-0.51,2.71,0.67,1.48,1.51,0.705,829,NA
10.18,14937,20.6,15.5,20.2,-0.7,3.94,0.96,-0.4,2.77,0.75,1.33,1.26,0.71,805,26.3
10.23,14970,NA,15.4,20.2,-0.67,3.72,NA,NA,NA,0.74,1.63,1.25,0.71,842,NA
10.28,15004,20.5,16.9,20.3,-0.74,3.88,0.96,0.22,2.74,0.6,1.52,1.49,0.715,794,NA
10.33,15030,20,17.2,19.8,-0.39,3.89,-0.37,-1.75,2.62,0.67,1.68,1.53,0.698,811,19.1
10.38,15057,19.4,18.1,20.9,-0.9,4.08,0.96,-0.19,2.49,0.74,1.78,1.69,0.732,946,NA
10.43,15080,20.6,17.1,19.4,-0.64,3.8,0.74,-0.34,2.79,0.71,1.66,1.52,0.684,902,NA
10.48,15104,20.6,16.9,19.4,-0.6,3.98,0.9,-0.29,2.77,0.66,1.63,1.49,0.683,930,20.6
10.53,15127,19.8,17.9,20.9,-0.59,3.85,0.66,-0.51,2.56,0.74,1.57,1.66,0.735,1069,NA
10.58,15151,20.8,16.1,21.5,-0.47,3.84,0.87,-0.55,2.82,0.8,1.6,1.36,0.753,912,NA
10.63,15174,19.3,15.4,19.2,-0.7,3.9,1.16,-0.6,2.44,0.66,1.63,1.25,0.678,1024,38.8
10.68,15198,20.3,16.5,19.4,-0.93,3.59,1.06,-0.73,2.7,0.63,1.86,1.42,0.683,915,NA
10.73,15221,NA,17.4,19.3,-0.53,3.31,0.61,-0.42,NA,0.75,1.46,1.57,0.682,992,NA
10.78,15245,21.6,15.1,20.6,-0.58,4.03,0.81,-0.35,3.04,0.67,1.42,1.21,0.724,1397,27.3
10.83,15268,21.7,16.3,20.2,-0.58,3.94,NA,NA,3.08,0.74,1.52,1.39,0.712,1115,NA
10.88,15291,NA,15.7,20.8,-0.55,3.78,NA,NA,NA,0.57,1.74,1.3,0.729,1251,NA
10.93,15315,NA,14.4,20.5,-0.72,4.09,NA,NA,NA,0.71,1.89,1.11,0.721,1375,50.5
10.98,15338,NA,15.9,20.7,-0.63,3.88,NA,NA,NA,0.74,1.78,1.33,0.728,1088,NA
11.03,15362,21.7,16.9,20.7,-0.94,3.77,0.94,-0.46,3.06,0.77,1.62,1.49,0.728,1396,NA
11.08,15385,NA,15,20.6,-0.85,3.73,0.68,-0.23,NA,0.72,1.59,1.2,0.723,1371,61.2
11.13,15409,NA,16.2,20.5,-0.77,3.86,0.51,-0.32,NA,0.66,1.52,1.38,0.721,1524,NA
11.18,15432,20.3,16.8,20.2,-0.72,3.87,NA,NA,2.69,0.74,1.84,1.48,0.711,1413,NA
11.23,15456,NA,16.8,21,-0.55,3.99,NA,NA,NA,0.8,1.88,1.47,0.736,1576,49.2
11.28,15479,21.4,16.3,21.1,-0.98,3.85,NA,NA,3,0.7,1.85,1.38,0.739,1294,NA
11.33,15502,NA,17.3,21.2,-0.8,4,NA,NA,NA,0.64,2.01,1.56,0.744,1223,NA
11.38,15526,NA,15,20.7,-0.74,3.86,NA,NA,NA,0.59,1.82,1.2,0.726,1462,43.1
11.43,15549,19.8,16.5,21.2,-0.86,4.22,NA,NA,2.58,0.62,1.98,1.42,0.742,1155,NA
11.48,15573,21.3,15.3,21.3,-0.9,3.88,NA,NA,2.96,0.7,1.51,1.24,0.747,1239,NA
