year (AD) [1-1],age (BP) [1-1],Bsi_Raw (mg/g) [1-1],year (AD) [2-1],age (BP) [2-1],Bsi_3pt (mg/g) [2-1],year (AD) [3-1],age (BP) [3-1],BSi (mg/g) [3-1]
-1569.9,3519.9,293.296,-1569.9,3519.9,273.521,-2320,4270,-19.793
-1613.3,3563.3,253.774,-1613.3,3563.3,237.196,-2390,4340,-30.731
-1656.9,3606.9,164.518,-1656.9,3606.9,223.741,-2460,4410,-95.747
-1700.6,3650.6,252.93,-1700.6,3650.6,230.697,-2530,4480,-64.453
-1744.5,3694.5,274.645,-1744.5,3694.5,256.633,-2600,4550,2.108
-1788.5,3738.5,242.323,-1788.5,3738.5,260.022,-2670,4620,8.59
-1832.7,3782.7,263.099,-1832.7,3782.7,255.262,-2740,4690,28.805
-1877.1,3827.1,260.364,-1877.1,3827.1,259.072,-2810,4760,39.843
-1921.6,3871.6,253.755,-1921.6,3871.6,256.733,-2880,4830,4.306
-1966.3,3916.3,256.081,-1966.3,3916.3,255.437,-2950,4900,27.233
-2011.2,3961.2,256.476,-2011.2,3961.2,245.1,-3020,4970,17.331
-2056.2,4006.2,222.743,-2056.2,4006.2,216.744,-3090,5040,15.787
-2101.4,4051.4,171.012,-2101.4,4051.4,189.273,-3160,5110,4.908
-2146.7,4096.7,174.064,-2146.7,4096.7,185.493,-3230,5180,10.849
-2192.2,4142.2,211.401,-2192.2,4142.2,214.024,-3300,5250,21.024
-2237.8,4187.8,256.608,-2237.8,4187.8,211.46,-3370,5320,26.076
-2283.7,4233.7,166.371,-2283.7,4233.7,208.151,-3440,5390,37.49
-2329.6,4279.6,201.475,-2329.6,4279.6,196.195,-3510,5460,30.191
-2375.8,4325.8,220.738,-2375.8,4325.8,188.683,-3580,5530,4.188
-2422.1,4372.1,143.836,-2422.1,4372.1,156.228,-3650,5600,-17.639
-2468.5,4418.5,104.111,-2468.5,4418.5,110.443,-3720,5670,-54.073
-2515.1,4465.1,83.382,-2515.1,4465.1,145.423,-3790,5740,-99.16
-2561.9,4511.9,248.776,-2561.9,4511.9,181.248,-3860,5810,-82.459
-2608.8,4558.8,211.585,-2608.8,4558.8,227.167,-3930,5880,7.29
-2655.9,4605.9,221.139,-2655.9,4605.9,223.711,-4000,5950,48.375
-2703.1,4653.1,238.41,-2703.1,4653.1,233.129,-4070,6020,29.004
-2750.5,4700.5,239.839,-2750.5,4700.5,260.717,-4140,6090,24.604
-2798.1,4748.1,303.902,-2798.1,4748.1,253.701,-4210,6160,8.906
-2845.8,4795.8,217.364,-2845.8,4795.8,243.936,-4280,6230,15.734
-2893.7,4843.7,210.541,-2893.7,4843.7,235.299,-4350,6300,7.067
-2941.7,4891.7,277.993,-2941.7,4891.7,241.768,-4420,6370,-25.315
-2989.9,4939.9,236.77,-2989.9,4939.9,253.714,-4490,6440,-70.102
-3038.2,4988.2,246.377,-3038.2,4988.2,241.02,-4560,6510,-34.016
-3086.7,5036.7,239.911,-3086.7,5036.7,246.577,-4630,6580,25.483
-3135.4,5085.4,253.442,-3135.4,5085.4,233.224,-4700,6650,38.302
-3184.2,5134.2,206.319,-3184.2,5134.2,241.767,-4770,6720,24.352
-3233.1,5183.1,265.538,-3233.1,5183.1,229.236,-4840,6790,18.375
-3282.3,5232.3,215.851,-3282.3,5232.3,257.946,-4910,6860,21.231
-3331.5,5281.5,292.45,-3331.5,5281.5,246.605,-4980,6930,8.518
-3381,5331,231.514,-3381,5331,262.665,-5050,7000,-1.406
-3430.6,5380.6,264.032,-3430.6,5380.6,262.57,-5120,7070,2.77
-3480.3,5430.3,292.165,-3480.3,5430.3,263.607,-5190,7140,5.267
-3530.2,5480.2,234.625,-3530.2,5480.2,251.853,-5260,7210,-1.727
-3580.2,5530.2,228.768,-3580.2,5530.2,231.308,-5330,7280,-7.727
-3630.5,5580.5,230.532,-3630.5,5580.5,212.789,-5400,7350,-32.229
-3680.8,5630.8,179.066,-3680.8,5630.8,195.925,-5470,7420,-48.416
-3731.3,5681.3,178.176,-3731.3,5681.3,156.803,-5540,7490,-37.445
-3782,5732,113.166,-3782,5732,132.374,-5610,7560,-6.587
-3832.8,5782.8,105.78,-3832.8,5782.8,123.334,-5680,7630,2.298
-3883.8,5833.8,151.056,-3883.8,5833.8,168.114,-5750,7700,11.766
-3934.9,5884.9,247.507,-3934.9,5884.9,229.831,-5820,7770,15.433
-3986.2,5936.2,290.929,-3986.2,5936.2,261.904,-5890,7840,27.781
-4037.6,5987.6,247.275,-4037.6,5987.6,260.009,-5960,7910,17.367
-4089.2,6039.2,241.825,-4089.2,6039.2,246.512,-6030,7980,2.211
-4140.9,6090.9,250.436,-4140.9,6090.9,238.794,-6100,8050,9.463
-4193,6143,224.122,-4193,6143,230.708,-6170,8120,2.3
-4246.2,6196.2,217.565,-4246.2,6196.2,230.093,-6240,8190,-5.647
-4300.6,6250.6,248.591,-4300.6,6250.6,226.282,-6310,8260,-37.128
-4356,6306,212.691,-4356,6306,226.823,-6380,8330,-27.039
-4412.3,6362.3,219.188,-4412.3,6362.3,184.079,-6450,8400,13.784
-4469.2,6419.2,120.358,-4469.2,6419.2,164.618,-6520,8470,13.664
-4526.6,6476.6,154.307,-4526.6,6476.6,156.196,-6590,8540,-24.345
-4584.3,6534.3,193.924,-4584.3,6534.3,203.941,-6660,8610,-20.225
-4642.2,6592.2,263.592,-4642.2,6592.2,236.318,-6730,8680,1.195
-4700,6650,251.437,-4700,6650,250.924,-6800,8750,18.023
-4757.7,6707.7,237.743,-4757.7,6707.7,237.707,-6870,8820,23.282
-4815,6765,223.94,-4815,6765,230.341,-6940,8890,47.733
-4871.7,6821.7,229.339,-4871.7,6821.7,228.652,-7010,8960,48.158
-4927.8,6877.8,232.678,-4927.8,6877.8,224.551,-7080,9030,20.337
-4982.9,6932.9,211.636,-4982.9,6932.9,214.666,-7150,9100,-33.398
-5037,6987,199.683,-5037,6987,204.879,-7220,9170,-83.052
-5089.9,7039.9,203.317,-5089.9,7039.9,202.768,-7290,9240,-42.203
-5141.4,7091.4,205.305,-5141.4,7091.4,207.507,-7360,9310,-38.264
-5192.7,7142.7,213.899,-5192.7,7142.7,201.083,-7430,9380,-4.597
-5245.2,7195.2,184.045,-5245.2,7195.2,202.892,-7500,9450,4.738
-5298.8,7248.8,210.731,-5298.8,7248.8,190.115,-7570,9520,8.201
-5353.3,7303.3,175.568,-5353.3,7303.3,182.36,-7640,9590,28.767
-5408.5,7358.5,160.782,-5408.5,7358.5,159.492,-7710,9660,26.41
-5464.4,7414.4,142.125,-5464.4,7414.4,147.669,-7780,9730,34.022
-5520.9,7470.9,140.099,-5520.9,7470.9,152.403,-7850,9800,61.622
-5577.7,7527.7,174.985,-5577.7,7527.7,171.264,-7920,9870,33.725
-5634.9,7584.9,198.708,-5634.9,7584.9,186.96,-7990,9940,-4.708
-5692.2,7642.2,187.187,-5692.2,7642.2,198.855,-8060,10010,-29.819
-5749.6,7699.6,210.671,-5749.6,7699.6,198.282,-8130,10080,-38.895
-5806.9,7756.9,196.989,-5806.9,7756.9,208.94,-8200,10150,-46.206
-5864,7814,219.159,-5864,7814,213.501,-8270,10220,-42.021
-5920.7,7870.7,224.354,-5920.7,7870.7,215.283,-8340,10290,-17.934
-5977,7927,202.336,-5977,7927,204.819,-8410,10360,22.92
-6032.8,7982.8,187.767,-6032.8,7982.8,196.924,-8480,10430,15.077
-6087.8,8037.8,200.668,-6087.8,8037.8,200.722,-8550,10500,4.562
-6142,8092,213.732,-6142,8092,196.768,-8620,10570,10.389
-6195.2,8145.2,175.903,-6195.2,8145.2,199.017,-8690,10640,22.353
-6247.4,8197.4,207.417,-6247.4,8197.4,179.27,-8760,10710,49.081
-6298.3,8248.3,154.489,-6298.3,8248.3,166.372,-8830,10780,63.679
-6348.1,8298.1,137.21,-6348.1,8298.1,157.429,-8900,10850,25.723
-6397.3,8347.3,180.587,-6397.3,8347.3,179.479,-8970,10920,-1.802
-6446.1,8396.1,220.64,-6446.1,8396.1,205.441,-9040,10990,-23.273
-6494.5,8444.5,215.098,-6494.5,8444.5,218.246,-9110,11060,-20.03
-6542.5,8492.5,218.999,-6542.5,8492.5,195.136,-9180,11130,-27.978
-6590.1,8540.1,151.311,-6590.1,8540.1,179.751,-9250,11200,-13.925
-6637.4,8587.4,168.944,-6637.4,8587.4,168.57,-9320,11270,-7.898
-6684.3,8634.3,185.454,-6684.3,8634.3,188.219,-9390,11340,-10.558
-6730.9,8680.9,210.26,-6730.9,8680.9,195.771,-9460,11410,-6.731
-6777.1,8727.1,191.598,-6777.1,8727.1,215.592,-9530,11480,-2.776
-6822.9,8772.9,244.918,-6822.9,8772.9,218.036,NA,NA,NA
-6868.5,8818.5,217.591,-6868.5,8818.5,223.953,NA,NA,NA
-6913.7,8863.7,209.35,-6913.7,8863.7,237.243,NA,NA,NA
-6958.7,8908.7,284.787,-6958.7,8908.7,253.269,NA,NA,NA
-7003.3,8953.3,265.67,-7003.3,8953.3,251.145,NA,NA,NA
-7047.7,8997.7,202.978,-7047.7,8997.7,234.901,NA,NA,NA
-7091.8,9041.8,236.057,-7091.8,9041.8,218.236,NA,NA,NA
-7135.6,9085.6,215.673,-7135.6,9085.6,182.667,NA,NA,NA
-7179.2,9129.2,96.269,-7179.2,9129.2,137.186,NA,NA,NA
-7222.5,9172.5,99.615,-7222.5,9172.5,119.823,NA,NA,NA
-7265.6,9215.6,163.584,-7265.6,9215.6,146.534,NA,NA,NA
-7308.5,9258.5,176.402,-7308.5,9258.5,165.114,NA,NA,NA
-7351.1,9301.1,155.355,-7351.1,9301.1,165.946,NA,NA,NA
-7393.6,9343.6,166.082,-7393.6,9343.6,179.852,NA,NA,NA
-7435.4,9385.4,218.119,-7435.4,9385.4,202.613,NA,NA,NA
-7476.3,9426.3,223.639,-7476.3,9426.3,213.693,NA,NA,NA
-7516.2,9466.2,199.321,-7516.2,9466.2,211.078,NA,NA,NA
-7555.4,9505.4,210.275,-7555.4,9505.4,209.303,NA,NA,NA
-7593.8,9543.8,218.311,-7593.8,9543.8,225.621,NA,NA,NA
-7631.6,9581.6,248.276,-7631.6,9581.6,234.917,NA,NA,NA
-7668.9,9618.9,238.163,-7668.9,9618.9,239.268,NA,NA,NA
-7705.8,9655.8,231.364,-7705.8,9655.8,234.296,NA,NA,NA
-7742.3,9692.3,233.361,-7742.3,9692.3,236.791,NA,NA,NA
-7778.6,9728.6,245.648,-7778.6,9728.6,237.767,NA,NA,NA
-7814.8,9764.8,234.291,-7814.8,9764.8,261.888,NA,NA,NA
-7850.8,9800.8,305.725,-7850.8,9800.8,267.207,NA,NA,NA
-7886.9,9836.9,261.606,-7886.9,9836.9,272.141,NA,NA,NA
-7923.1,9873.1,249.091,-7923.1,9873.1,236.076,NA,NA,NA
-7959.6,9909.6,197.531,-7959.6,9909.6,220.948,NA,NA,NA
-7996.3,9946.3,216.22,-7996.3,9946.3,197.049,NA,NA,NA
-8033.4,9983.4,177.395,-8033.4,9983.4,189.164,NA,NA,NA
-8071,10021,173.876,-8071,10021,174.355,NA,NA,NA
-8109,10059,171.793,-8109,10059,172.422,NA,NA,NA
-8146.5,10096.5,171.596,-8146.5,10096.5,165.182,NA,NA,NA
-8183.1,10133.1,152.156,-8183.1,10133.1,161.48,NA,NA,NA
-8219.2,10169.2,160.688,-8219.2,10169.2,162.298,NA,NA,NA
-8254.6,10204.6,174.051,-8254.6,10204.6,163.242,NA,NA,NA
-8289.4,10239.4,154.988,-8289.4,10239.4,164.299,NA,NA,NA
-8323.8,10273.8,163.857,-8323.8,10273.8,174.525,NA,NA,NA
-8357.7,10307.7,204.73,-8357.7,10307.7,201.138,NA,NA,NA
-8391.2,10341.2,234.828,-8391.2,10341.2,222.519,NA,NA,NA
-8424.4,10374.4,228,-8424.4,10374.4,235.516,NA,NA,NA
-8457.3,10407.3,243.72,-8457.3,10407.3,223.083,NA,NA,NA
-8489.9,10439.9,197.528,-8489.9,10439.9,219.87,NA,NA,NA
-8522.4,10472.4,218.361,-8522.4,10472.4,201.545,NA,NA,NA
-8554.8,10504.8,188.745,-8554.8,10504.8,211.549,NA,NA,NA
-8587.1,10537.1,227.541,-8587.1,10537.1,207.211,NA,NA,NA
-8619.4,10569.4,205.346,-8619.4,10569.4,213.422,NA,NA,NA
-8651.7,10601.7,207.379,-8651.7,10601.7,214.459,NA,NA,NA
-8684.2,10634.2,230.65,-8684.2,10634.2,221.504,NA,NA,NA
-8716.8,10666.8,226.481,-8716.8,10666.8,226.493,NA,NA,NA
-8749.6,10699.6,222.346,-8749.6,10699.6,243.706,NA,NA,NA
-8782.7,10732.7,282.29,-8782.7,10732.7,263.668,NA,NA,NA
-8816,10766,286.366,-8816,10766,272.626,NA,NA,NA
-8849.8,10799.8,249.221,-8849.8,10799.8,252.936,NA,NA,NA
-8884,10834,223.22,-8884,10834,230.526,NA,NA,NA
-8918.7,10868.7,219.137,-8918.7,10868.7,215.988,NA,NA,NA
-8953.9,10903.9,205.608,-8953.9,10903.9,203.77,NA,NA,NA
-8989.7,10939.7,186.565,-8989.7,10939.7,186.584,NA,NA,NA
-9026.1,10976.1,167.58,-9026.1,10976.1,174.88,NA,NA,NA
-9063.2,11013.2,170.494,-9063.2,11013.2,173.74,NA,NA,NA
-9101.1,11051.1,183.145,-9101.1,11051.1,176.942,NA,NA,NA
-9139.9,11089.9,177.189,-9139.9,11089.9,175.254,NA,NA,NA
-9179.4,11129.4,165.429,-9179.4,11129.4,167.316,NA,NA,NA
-9219.9,11169.9,159.329,-9219.9,11169.9,175.167,NA,NA,NA
-9261.4,11211.4,200.742,-9261.4,11211.4,183.764,NA,NA,NA
-9303.9,11253.9,191.221,-9303.9,11253.9,191.982,NA,NA,NA
-9347.5,11297.5,183.982,-9347.5,11297.5,187.111,NA,NA,NA
-9392.2,11342.2,186.129,-9392.2,11342.2,186.841,NA,NA,NA
-9438.1,11388.1,190.412,-9438.1,11388.1,180.86,NA,NA,NA
-9485.3,11435.3,166.038,-9485.3,11435.3,167.486,NA,NA,NA
-9533.8,11483.8,146.006,-9533.8,11483.8,145.519,NA,NA,NA
-9583.6,11533.6,124.511,-9583.6,11533.6,144.917,NA,NA,NA
-9634.8,11584.8,164.234,-9634.8,11584.8,152.813,NA,NA,NA
-9687.5,11637.5,169.693,-9687.5,11637.5,162.803,NA,NA,NA
-9741.8,11691.8,154.482,-9741.8,11691.8,160.982,NA,NA,NA
-9797.6,11747.6,158.77,-9797.6,11747.6,152.711,NA,NA,NA
-9855,11805,144.882,-9855,11805,155.928,NA,NA,NA
-9914.1,11864.1,164.13,-9914.1,11864.1,159.095,NA,NA,NA
-9951.9,11901.9,168.273,-9951.9,11901.9,161.177,NA,NA,NA
-9961.7,11911.7,151.127,-9961.7,11911.7,147.745,NA,NA,NA
-9968.4,11918.4,123.835,-9968.4,11918.4,126.187,NA,NA,NA
-9996.6,11946.6,103.599,-9996.6,11946.6,121.219,NA,NA,NA
-10063.2,12013.2,136.224,-10063.2,12013.2,109.197,NA,NA,NA
-10135.2,12085.2,87.769,-10135.2,12085.2,106.904,NA,NA,NA
-10205.5,12155.5,96.718,-10205.5,12155.5,91.352,NA,NA,NA
-10274.3,12224.3,89.568,-10274.3,12224.3,95.728,NA,NA,NA
-10341.5,12291.5,100.899,-10341.5,12291.5,90.664,NA,NA,NA
-10407.2,12357.2,81.525,-10407.2,12357.2,91.123,NA,NA,NA
-10471.5,12421.5,90.945,-10471.5,12421.5,83.715,NA,NA,NA
-10534.3,12484.3,78.673,-10534.3,12484.3,81.015,NA,NA,NA
-10595.8,12545.8,73.425,-10595.8,12545.8,74.809,NA,NA,NA
-10655.8,12605.8,72.327,-10655.8,12605.8,95.558,NA,NA,NA
-10714.6,12664.6,140.923,-10714.6,12664.6,130.627,NA,NA,NA
-10772,12722,178.632,-10772,12722,162.972,NA,NA,NA
-10828.2,12778.2,169.361,-10828.2,12778.2,162.656,NA,NA,NA
-10883.2,12833.2,139.976,-10883.2,12833.2,134.943,NA,NA,NA
-10936.9,12886.9,95.491,-10936.9,12886.9,106.74,NA,NA,NA
-10989.6,12939.6,84.751,-10989.6,12939.6,82.592,NA,NA,NA
-11041.1,12991.1,67.534,-11041.1,12991.1,108.554,NA,NA,NA
-11091.5,13041.5,173.377,-11091.5,13041.5,149.413,NA,NA,NA
-11140.9,13090.9,207.328,-11140.9,13090.9,193.29,NA,NA,NA
-11189.2,13139.2,199.164,-11189.2,13139.2,201.234,NA,NA,NA
-11236.6,13186.6,197.21,-11236.6,13186.6,197.705,NA,NA,NA
-11283.5,13233.5,196.739,-11283.5,13233.5,201.83,NA,NA,NA
-11330.5,13280.5,211.54,-11330.5,13280.5,206.956,NA,NA,NA
-11377.5,13327.5,212.589,-11377.5,13327.5,216.806,NA,NA,NA
-11424.5,13374.5,226.291,-11424.5,13374.5,224.409,NA,NA,NA
-11471.6,13421.6,234.347,-11471.6,13421.6,224.893,NA,NA,NA
-11518.7,13468.7,214.041,-11518.7,13468.7,209.832,NA,NA,NA
-11565.9,13515.9,181.107,-11565.9,13515.9,188.572,NA,NA,NA
-11613,13563,170.567,-11613,13563,165.089,NA,NA,NA
-11660.2,13610.2,143.595,-11660.2,13610.2,151.867,NA,NA,NA
-11707.4,13657.4,141.441,-11707.4,13657.4,142.83,NA,NA,NA
-11754.7,13704.7,143.455,-11754.7,13704.7,137.817,NA,NA,NA
-11801.9,13751.9,128.554,-11801.9,13751.9,132.048,NA,NA,NA
-11849.1,13799.1,124.133,-11849.1,13799.1,133.021,NA,NA,NA
-11896.4,13846.4,146.377,-11896.4,13846.4,135.361,NA,NA,NA
-11943.7,13893.7,135.573,-11943.7,13893.7,140.559,NA,NA,NA
-11990.9,13940.9,139.728,-11990.9,13940.9,133,NA,NA,NA
-12038.2,13988.2,123.699,-12038.2,13988.2,130.762,NA,NA,NA
-12085.5,14035.5,128.858,-12085.5,14035.5,123.018,NA,NA,NA
-12132.7,14082.7,116.496,-12132.7,14082.7,120.296,NA,NA,NA
-12180,14130,115.533,-12180,14130,118.49,NA,NA,NA
-12227.3,14177.3,123.442,-12227.3,14177.3,113.958,NA,NA,NA
-12274.5,14224.5,102.9,-12274.5,14224.5,99.783,NA,NA,NA
-12321.7,14271.7,73.008,-12321.7,14271.7,95.13,NA,NA,NA
-12368.9,14318.9,109.482,-12368.9,14318.9,92.641,NA,NA,NA
-12416.1,14366.1,95.433,-12416.1,14366.1,101.406,NA,NA,NA
-12463.3,14413.3,99.302,-12463.3,14413.3,91.898,NA,NA,NA
-12510.4,14460.4,80.961,-12510.4,14460.4,89.609,NA,NA,NA
-12557.5,14507.5,88.565,-12557.5,14507.5,88.31,NA,NA,NA
-12604.6,14554.6,95.405,-12604.6,14554.6,89.079,NA,NA,NA
-12651.6,14601.6,83.266,-12651.6,14601.6,95.593,NA,NA,NA
-12698.6,14648.6,108.107,-12698.6,14648.6,96.89,NA,NA,NA
-12745.6,14695.6,99.298,-12745.6,14695.6,119.164,NA,NA,NA
-12792.5,14742.5,150.089,-12792.5,14742.5,119.975,NA,NA,NA
-12839.4,14789.4,110.538,-12839.4,14789.4,122.984,NA,NA,NA
-12886.2,14836.2,108.325,-12886.2,14836.2,105.454,NA,NA,NA
-12933,14883,97.499,-12933,14883,96.608,NA,NA,NA
-12979.7,14929.7,83.999,-12979.7,14929.7,93.89,NA,NA,NA
-13026.4,14976.4,100.172,-13026.4,14976.4,93.121,NA,NA,NA
-13073,15023,95.193,-13073,15023,93.418,NA,NA,NA
-13119.6,15069.6,84.89,-13119.6,15069.6,87.578,NA,NA,NA
-13166,15116,82.652,-13166,15116,84.728,NA,NA,NA
-13212.5,15162.5,86.642,NA,NA,NA,NA,NA,NA
