depth (m),age (BP),temperature (degC),C37.concentration (g),depth (m),age (BP),temperature (degC),label (missing),planktic.d18O (permil),planktic.MgCa (mmol_mol)
1.49,5317,18.5,374,1.45,4740,13.78,"161-976A-1H-1,145-146",0.56,2.22
1.51,5396,18.3,355,1.47,4820,16.34,"161-976A-1H-1,147-148",0.32,2.87
1.53,5475,18.5,341,1.49,4900,NA,"161-976A-1H-1,149-150",-0.02,NA
1.55,5555,18.6,371,1.51,4980,18.01,"161-976A-1H-2,1-2",0.58,3.39
1.57,5634,18.6,370,1.53,5060,17.74,"161-976A-1H-2,3-4",0.63,3.3
1.59,5713,18.7,347,1.55,5140,NA,"161-976A-1H-2,5-6",0.43,NA
1.61,5792,18.4,386,1.57,5220,NA,"161-976A-1H-2,7-8",0.59,NA
1.63,5871,18.9,352,1.59,5300,16.97,"161-976A-1H-2,9-10",0.68,3.06
1.65,5950,19,375,1.61,5380,19.55,"161-976A-1H-2,11-12",0.41,3.96
1.67,6029,19.2,349,1.63,5460,18.71,"161-976A-1H-2,13-14",0.4,3.64
1.69,6108,19.1,344,1.65,5540,16.96,"161-976A-1H-2,15-16",0.45,3.05
1.71,6188,18.9,255,1.67,5620,16.71,"161-976A-1H-2,17-18",0.44,2.98
1.73,6267,19,454,1.69,5700,16.36,"161-976A-1H-2,19-20",0.63,2.88
1.75,6346,19.1,377,1.71,5780,NA,"161-976A-1H-2,21-22",0.57,NA
1.77,6425,18.8,377,1.73,5860,17.2,"161-976A-1H-2,23-24",0.75,3.13
1.79,6504,19.2,359,1.75,5940,14.98,"161-976A-1H-2,25-26",0.26,2.5
1.81,6583,19.1,352,1.77,6020,17.25,"161-976A-1H-2,27-28",0.47,3.14
1.83,6662,19.1,296,1.79,6100,16.95,"161-976A-1H-2,29-30",0.33,3.05
1.85,6742,18.9,375,1.81,6180,18.45,"161-976A-1H-2,31-32",0.29,3.54
1.87,6821,19.1,375,1.83,6260,15.97,"161-976A-1H-2,33-34",0.41,2.77
1.89,6900,19.3,349,1.85,6340,16.29,"161-976A-1H-2,35-36",0.46,2.86
1.91,6979,18.6,357,1.87,6420,17.49,"161-976A-1H-2,37-38",0.32,3.22
1.93,7058,18.9,346,1.89,6500,20.9,"161-976A-1H-2,39-40",0.63,4.53
1.95,7137,19.2,283,1.91,6580,NA,"161-976A-1H-2,41-42",0.55,NA
1.97,7216,18.7,402,1.93,6660,19.43,"161-976A-1H-2,43-44",0.33,3.91
1.99,7295,18.9,650,1.95,6740,19.34,"161-976A-1H-2,45-46",0.36,3.87
2.01,7375,19,661,1.97,6820,16.43,"161-976A-1H-2,47-48",0.56,2.9
2.03,7454,18.3,465,1.99,6900,17.17,"161-976A-1H-2,49-50",0.37,3.12
2.05,7533,18.4,466,2.01,6980,18.71,"161-976A-1H-2,51-52",0.28,3.64
2.07,7612,18.1,469,2.03,7060,NA,"161-976A-1H-2,53-54",0.5,NA
2.09,7691,18.5,557,2.05,7140,19.04,"161-976A-1H-2,55-56",0.29,3.76
2.11,7770,18.8,491,2.07,7220,18.89,"161-976A-1H-2,57-58",0.37,3.7
2.13,7845,18.8,476,2.09,7300,NA,"161-976A-1H-2,59-60",0.51,NA
2.17,7969,18.7,590,2.11,7380,16.99,"161-976A-1H-2,61-62",0.24,3.06
2.19,8022,19.1,381,2.13,7460,15.95,"161-976A-1H-2,63-64",0.35,2.76
2.21,8075,19.1,603,2.15,7530,16.56,"161-976A-1H-2,65-66",0.41,2.93
2.23,8128,19.3,451,2.17,7580,17.94,"161-976A-1H-2,67-68",NA,3.37
2.25,8181,19,399,2.19,7640,16.53,"161-976A-1H-2,69-70",NA,2.92
2.27,8234,19.3,455,2.21,7700,16.52,"161-976A-1H-2,71-72",0.27,2.92
2.29,8287,19.4,396,2.23,7750,18.81,"161-976A-1H-2,73-74",NA,3.67
2.31,8341,18.9,398,2.27,7860,18.08,"161-976A-1H-2,75-80",0.55,3.41
2.33,8394,18.8,453,2.32,8000,NA,"161-976A-1H-2,81-84",0.18,NA
2.35,8447,19.4,444,2.36,8110,NA,"161-976A-1H-2,85-88",0.28,NA
2.37,8500,19,761,2.4,8220,16.86,"161-976A-1H-2,89-92",0.27,3.02
2.39,8553,19.5,770,2.44,8330,16.94,"161-976A-1H-2,93-96",0.32,3.05
2.41,8606,19.1,877,2.47,8420,NA,"161-976A-1H-2,97-98",0.69,NA
2.43,8659,19,941,2.49,8470,18.76,"161-976A-1H-2,99-100",0.57,3.65
2.45,8713,18.9,650,2.51,8530,NA,"161-976A-1H-2,101-102",0.76,NA
2.47,8766,19.2,558,2.53,8590,NA,"161-976A-1H-2,103-104",0.65,NA
2.51,8872,19.2,688,2.55,8640,NA,"161-976A-1H-2,105-106",0.32,NA
2.53,8925,19.5,693,2.57,8700,NA,"161-976A-1H-2,107-108",0.02,NA
2.55,8978,19.7,669,2.59,8750,NA,"161-976A-1H-2,109-110",0.66,NA
2.57,9031,19.8,728,2.61,8810,NA,"161-976A-1H-2,111-112",0.44,NA
2.59,9084,19.5,953,2.63,8860,NA,"161-976A-1H-2,113-114",0.46,NA
2.61,9138,19.3,958,2.65,8920,18.21,"161-976A-1H-2,115-116",0.34,3.46
2.63,9191,19.5,840,2.67,8970,NA,"161-976A-1H-2,117-118",0.18,NA
2.65,9244,19.9,1029,2.69,9030,NA,"161-976A-1H-2,119-120",-0.22,NA
2.67,9297,19.9,797,2.71,9090,NA,"161-976A-1H-2,121-122",0.41,NA
2.69,9350,19.6,867,2.73,9140,NA,"161-976A-1H-2,123-124",0.25,NA
2.71,9403,19.4,1066,2.75,9200,NA,"161-976A-1H-2,125-126",0.42,NA
2.73,9456,19.4,829,2.77,9250,NA,"161-976A-1H-2,127-128",0.53,NA
2.75,9509,19,829,2.79,9310,17.81,"161-976A-1H-2,129-130",0.7,3.33
2.77,9563,19.2,834,2.81,9360,NA,"161-976A-1H-2,131-132",0.78,NA
2.79,9616,19.3,949,2.83,9420,NA,"161-976A-1H-2,133-134",0.62,NA
2.81,9668,19.4,935,2.85,9460,NA,"161-976A-1H-2,135-136",0.55,NA
2.83,9720,19.5,708,2.87,9510,NA,"161-976A-1H-2,137-138",0.24,NA
2.85,9772,19.3,783,2.89,9550,NA,"161-976A-1H-2,139-140",0.53,NA
2.87,9823,18.9,819,2.92,9610,NA,"161-976A-1H-2,141-144",0.59,NA
2.89,9873,19.3,786,2.95,9680,NA,"161-976A-1H-2,145-146",1.15,NA
2.91,9923,19.5,690,2.98,9740,NA,"161-976A-1H-2,147-150",0.62,NA
2.93,9973,19.2,745,3.01,9810,NA,"161-976A-1H-3,1-2",0.74,NA
2.95,10024,19.2,829,3.05,9890,NA,"161-976A-1H-3,5-6",0.7,NA
2.97,10074,19.3,780,3.07,9940,17.37,"161-976A-1H-3,7-8",NA,3.18
2.99,10124,19.2,890,3.09,9980,NA,"161-976A-1H-3,9-10",0.92,NA
3.01,10174,19.2,709,3.11,10020,NA,"161-976A-1H-3,11-12",0.95,NA
3.05,10275,18.8,803,3.15,10110,NA,"161-976A-1H-3,13-18",1.09,NA
3.07,10325,18.7,767,3.19,10200,NA,"161-976A-1H-3,19-20",1.29,NA
3.09,10375,18.4,903,3.22,10260,18.82,"161-976A-1H-3,21-24",1.18,3.68
3.11,10426,18.1,886,3.26,10350,20.49,"161-976A-1H-3,25-28",1.14,4.35
3.13,10476,18.4,879,3.29,10410,20.28,"161-976A-1H-3,29-30",1.67,4.26
3.15,10526,18.2,896,3.31,10460,NA,"161-976A-1H-3,31-32",1.42,NA
3.17,10576,18.4,787,3.34,10520,20.1,"161-976A-1H-3,33-36",0.79,4.18
3.19,10627,18.1,817,3.37,10580,NA,"161-976A-1H-3,37-38",1.48,NA
3.21,10677,18.3,836,3.39,10630,17.01,"161-976A-1H-3,39-40",1.23,3.07
3.23,10727,18.4,772,3.41,10670,NA,"161-976A-1H-3,41-42",1.49,NA
3.25,10777,18.4,785,3.44,10740,NA,"161-976A-1H-3,43-46",0.87,NA
3.27,10828,18,762,3.47,10800,NA,"161-976A-1H-3,47-48",1.24,NA
3.29,10878,17.7,836,3.5,10870,15.92,"161-976A-1H-3,49-52",1.06,2.75
3.31,10928,17.6,792,3.55,10970,16.53,"161-976A-1H-3,53-58",1.19,2.93
3.33,10978,17.7,800,3.59,11060,NA,"161-976A-1H-3,59-60",0.84,NA
3.35,11029,17.8,841,3.62,11120,20.14,"161-976A-1H-3,61-64",1.33,4.2
3.37,11079,17.8,726,3.67,11200,NA,"161-976A-1H-3,67-68",1.98,NA
3.39,11129,17.7,760,3.69,11230,NA,"161-976A-1H-3,69-70",2.02,NA
3.41,11179,17.4,786,3.72,11280,15.85,"161-976A-1H-3,71-74",1.85,2.73
3.43,11230,17.1,784,3.76,11350,17.57,"161-976A-1H-3,75-78",1.84,3.25
3.45,11280,17.1,802,3.81,11430,NA,"161-976A-1H-3,81-82",1.73,NA
3.47,11330,16.7,742,3.83,11460,NA,"161-976A-1H-3,83-84",1.75,NA
3.49,11381,16.5,809,3.87,11530,NA,"161-976A-1H-3,87-88",1.99,NA
3.51,11431,16.1,863,3.9,11580,14.78,"161-976A-1H-3,89-92",2.17,2.45
3.53,11476,15.6,803,3.99,11730,NA,"161-976A-1H-3,99-100",0.86,NA
3.55,11521,15.7,1068,4.09,11890,NA,"161-976A-1H-3,109-110",1.95,NA
3.57,11567,14.8,840,4.11,11920,NA,"161-976A-1H-3,111-112",1.4,NA
3.59,11612,14.7,1032,4.13,11960,NA,"161-976A-1H-3,113-114",1.51,NA
3.61,11657,14.7,1195,4.17,12020,19.8,"161-976A-1H-3,117-118",1.63,4.06
3.63,11703,13.7,1192,4.19,12060,18.11,"161-976A-1H-3,119-120",1.82,3.43
3.65,11748,13.5,1086,4.21,12090,NA,"161-976A-1H-3,121-122",1.75,NA
3.67,11781,13.5,944,4.23,12120,NA,"161-976A-1H-3,123-124",1.57,NA
3.69,11814,12.8,1114,4.25,12150,17.18,"161-976A-1H-3,125-126",1.71,3.12
3.71,11847,13,1156,4.27,12190,19.76,"161-976A-1H-3,127-128",1.5,4.04
3.73,11880,13.2,948,4.29,12220,NA,"161-976A-1H-3,129-130",1.61,NA
3.75,11913,13,1189,4.31,12250,19.89,"161-976A-1H-3,131-132",1.25,4.09
3.77,11946,12.3,1102,4.33,12290,NA,"161-976A-1H-3,133-134",1.59,NA
3.81,12011,12.4,1399,4.35,12320,NA,"161-976A-1H-3,135-136",1.81,NA
3.83,12044,12.3,1207,4.37,12350,18.06,"161-976A-1H-3,137-138",1.48,3.41
3.87,12110,12.2,1460,4.39,12380,NA,"161-976A-1H-3,139-140",1.57,NA
3.89,12143,12.4,1296,4.43,12450,NA,"161-976A-1H-3,143-144",1.42,NA
3.91,12176,12.2,1174,4.45,12480,NA,"161-976A-1H-3,145-146",1.77,NA
3.93,12209,12.3,1278,4.47,12520,16.57,"161-976A-1H-3,147-148",1.68,2.94
3.95,12242,12.2,1257,4.49,12550,NA,"161-976A-1H-3,149-150",1.62,NA
3.97,12275,12.1,1145,4.51,12580,16.01,"161-976A-1H-4,1-2",1.83,2.78
3.99,12308,12.9,1390,4.53,12610,NA,"161-976A-1H-4,3-4",1.81,NA
4.01,12341,12.1,1316,4.55,12650,20.99,"161-976A-1H-4,5-6",1.68,4.57
4.03,12374,12.3,1593,4.57,12680,15.83,"161-976A-1H-4,7-8",1.59,2.73
4.05,12407,12.3,1250,4.59,12710,NA,"161-976A-1H-4,9-10",1.28,NA
4.07,12440,12.3,1321,4.61,12750,20.7,"161-976A-1H-4,11-12",1.89,4.44
4.09,12473,12.6,1214,4.63,12780,16.34,"161-976A-1H-4,13-14",1.42,2.87
4.11,12506,13.5,1462,4.65,12810,15.97,"161-976A-1H-4,15-16",1.55,2.77
4.13,12539,13.2,1157,4.67,12840,NA,"161-976A-1H-4,17-18",1.54,NA
4.15,12572,14.4,1156,4.69,12880,NA,"161-976A-1H-4,19-20",1.59,NA
4.17,12604,14.4,1148,4.71,12910,NA,"161-976A-1H-4,21-22",1.64,NA
4.19,12637,14.6,1239,4.73,12940,NA,"161-976A-1H-4,23-24",1.58,NA
4.23,12703,15.4,1205,4.75,12980,18.69,"161-976A-1H-4,25-26",1.54,3.63
4.25,12736,15.6,1120,4.77,13010,16.31,"161-976A-1H-4,27-28",1.85,2.86
4.27,12769,15.7,1172,4.79,13040,19.61,"161-976A-1H-4,29-30",2.01,3.98
4.29,12802,15.8,1355,4.81,13070,NA,"161-976A-1H-4,31-32",1.7,NA
4.33,12868,15.5,1124,4.83,13110,NA,"161-976A-1H-4,33-34",1.46,NA
4.35,12901,15.1,1186,4.85,13140,16.47,"161-976A-1H-4,35-36",NA,2.91
4.37,12934,15.6,977,4.87,13170,NA,"161-976A-1H-4,37-38",1.92,NA
4.39,12967,15.7,969,4.89,13210,16.81,"161-976A-1H-4,39-40",1.2,3.01
4.43,13033,15.6,1201,4.91,13240,15.91,"161-976A-1H-4,41-42",1.79,2.75
4.45,13066,15.2,1056,4.93,13270,19.62,"161-976A-1H-4,43-44",1.56,3.99
4.47,13099,15.5,970,4.95,13300,NA,"161-976A-1H-4,45-46",1.62,NA
4.49,13132,15.2,1000,4.97,13340,NA,"161-976A-1H-4,47-48",1.32,NA
4.53,13197,14.8,901,4.99,13370,18.7,"161-976A-1H-4,49-50",1.61,3.64
4.55,13230,15.7,908,5.01,13400,NA,"161-976A-1H-4,51-52",1.41,NA
4.57,13263,15.8,1181,5.03,13440,NA,"161-976A-1H-4,53-54",1.71,NA
4.59,13296,15.8,1103,5.05,13470,NA,"161-976A-1H-4,55-56",1.74,NA
4.61,13329,15.7,924,5.07,13500,NA,"161-976A-1H-4,57-58",1.73,NA
4.63,13362,15.8,1088,5.09,13530,NA,"161-976A-1H-4,59-60",1.51,NA
4.65,13395,15.6,1006,5.11,13560,NA,"161-976A-1H-4,61-62",1.8,NA
4.67,13428,15.6,939,5.13,13600,NA,"161-976A-1H-4,63-64",1.58,NA
4.69,13461,15.6,1077,5.15,13630,NA,"161-976A-1H-4,65-66",1.83,NA
4.75,13560,15.5,1113,5.17,13660,NA,"161-976A-1H-4,67-68",1.42,NA
4.77,13593,15.4,1028,5.19,13690,NA,"161-976A-1H-4,69-70",1.46,NA
4.79,13626,15.6,1012,5.21,13720,17.26,"161-976A-1H-4,71-72",1.59,3.15
4.83,13692,15.7,966,5.23,13760,NA,"161-976A-1H-4,73-74",1.71,NA
4.85,13725,15.2,832,5.25,13790,18.29,"161-976A-1H-4,75-76",1.41,3.49
4.87,13757,15.4,959,5.27,13820,18.94,"161-976A-1H-4,77-78",1.65,3.72
4.89,13790,15.5,884,5.29,13850,18.26,"161-976A-1H-4,79-80",1.64,3.48
4.91,13823,15.4,1114,5.3,13870,19.53,"161-976D-2H-3,80-81",1.46,3.95
4.93,13856,15.3,786,5.31,13880,NA,"161-976A-1H-4,81-82",1.47,NA
4.95,13889,15.1,882,5.33,13920,NA,"161-976A-1H-4,83-84",1.58,NA
4.97,13922,14.8,738,5.34,13930,NA,"161-976D-2H-3,84-85",1.59,NA
4.99,13955,14.9,935,5.35,13950,NA,"161-976A-1H-4,85-87",1.44,NA
5.01,13988,14.8,853,5.37,13980,NA,"161-976A-1H-4,87-88",1.07,NA
5.03,14025,14.8,911,5.41,14040,NA,"161-976A-1H-4,91-92",2.28,NA
5.05,14062,14.8,918,5.42,14060,NA,"161-976D-2H-3,92-94",2.08,NA
5.07,14099,14.6,943,5.44,14090,NA,"161-976D-2H-3,94-95",1.94,NA
5.09,14136,14.6,877,5.45,14110,NA,"161-976A-1H-4,95-96",2.38,NA
5.11,14173,14.7,732,5.46,14120,14.33,"161-976D-2H-3,96-98",2.56,2.35
5.13,14210,14.7,679,5.48,14160,NA,"161-976D-2H-3,98-100",2.82,NA
5.15,14246,15.2,577,5.5,14190,14.43,"161-976D-2H-3,100-102",2.65,2.37
5.17,14283,15,667,5.52,14240,15.27,"161-976D-2H-3,102-103",1.61,2.58
5.19,14320,15,796,5.53,14270,14.49,"161-976A-1H-4,103-104",NA,2.39
5.21,14357,15.3,549,5.54,14300,14.93,"161-976D-2H-3,104-105",NA,2.49
5.23,14394,15.3,502,5.55,14330,13.31,"161-976A-1H-4,105-107",2.68,2.12
5.25,14431,15.1,518,5.57,14390,13.97,"161-976A-1H-4,107-109",2.63,2.26
5.27,14468,15.4,511,5.59,14450,NA,"161-976A-1H-4,109-110",2.44,NA
5.29,14505,15.1,855,5.6,14480,17.35,"161-976D-2H-3,110-112",2.39,3.18
5.31,14542,15.1,518,5.62,14550,15.87,"161-976D-2H-3,112-114",2.4,2.74
5.33,14579,14.7,542,5.64,14610,NA,"161-976D-2H-3,114-116",2.4,NA
5.35,14616,14.5,515,5.66,14670,16.79,"161-976D-2H-3,116-118",2.46,3
5.37,14653,13.5,475,5.68,14730,15.82,"161-976D-2H-3,118-120",2.56,2.72
5.39,14690,13.3,336,5.7,14800,13.97,"161-976D-2H-3,120-121",2.53,2.26
5.41,14726,13.1,354,5.72,14860,15.25,"161-976A-1H-CC,1-2",2.5,2.57
5.43,14763,12.7,432,5.74,14920,14.9,"161-976A-1H-CC,3-4",1.95,2.48
5.45,14800,12.1,297,5.76,14980,17.84,"161-976A-1H-CC,5-6",2.12,3.33
5.47,14840,11.9,311,5.78,15080,13.53,"161-976A-1H-CC,7-8",2.17,2.17
5.49,14879,12.4,317,5.82,15170,NA,"161-976A-1H-CC,11-12",2.01,NA
5.51,14919,11.8,432,5.84,15230,NA,"161-976A-1H-CC,13-14",1.49,NA
5.53,14958,12.3,258,5.85,15260,13.26,"161-976D-2H-3,134-135",2.17,2.11
5.55,15000,12.6,301,5.86,15300,NA,"161-976D-2H-3,136-137",1.55,NA
5.57,15045,13.3,209,5.89,15390,14.67,"161-976D-2H-3,138-141",NA,2.43
5.59,15090,12.8,235,5.92,15480,NA,"161-976D-2H-3,142-143",3.21,NA
5.61,15135,11.8,165,5.95,15580,14.66,"161-976D-2H-3,144-147",NA,2.43
5.63,15179,12.9,189,5.98,15670,NA,"161-976D-2H-3,148-149",3.02,NA
5.65,15224,12.4,204,6.01,15760,NA,"161-976D-2H-4,1-2",3.38,NA
5.67,15269,11.4,217,6.02,15790,12.61,"161-976D-2H-4,3-4",3.18,1.98
5.69,15313,12.4,229,6.06,15920,NA,"161-976D-2H-4,5-6",2.73,NA
5.72,15381,12.1,236,6.1,16040,11.06,"161-976D-2H-4,9-12",2.89,1.69
5.74,15425,12.3,291,6.13,16140,NA,"161-976D-2H-4,13-14",2.47,NA
5.76,15470,11.5,208,6.15,16200,NA,"161-976D-2H-4,15-16",2.57,NA
5.78,15515,12.7,241,6.18,16290,NA,"161-976D-2H-4,17-20",2.44,NA
5.8,15559,11.9,253,6.21,16390,NA,"161-976D-2H-4,21-22",3.21,NA
5.82,15604,12.7,206,6.23,16450,NA,"161-976D-2H-4,23-24",3.66,NA
5.84,15649,12.7,217,6.28,16610,NA,"161-976D-2H-4,27-30",3.04,NA
5.86,15694,13.4,200,6.33,16760,15.08,"161-976D-2H-4,31-36",NA,2.53
5.88,15738,13.5,163,6.38,16920,12.73,"161-976D-2H-4,37-40",3.28,2
5.9,15783,13.6,155,6.43,17060,13.96,"161-976D-2H-4,41-46",3.22,2.26
5.92,15828,13.5,166,6.48,17210,NA,"161-976D-2H-4,47-50",3.53,NA
5.94,15872,13.6,159,6.51,17300,NA,"161-976D-2H-4,51-52",3.82,NA
5.96,15917,14.3,169,6.54,17380,NA,"161-976D-2H-4,53-56",3.12,NA
5.98,15962,13.9,171,6.57,17470,NA,"161-976D-2H-4,57-58",3.26,NA
6.01,16029,13.5,185,6.67,17770,12.44,"161-976D-2H-4,65-70",NA,1.94
6.03,16074,13.5,193,6.71,17880,12.28,"161-976D-2H-4,71-72",3.6,1.91
6.05,16118,12.5,209,6.75,18000,NA,"161-976D-2H-4,75-76",3.4,NA
6.07,16163,12.3,231,6.77,18060,NA,"161-976D-2H-4,77-78",3.13,NA
6.09,16208,12.4,185,6.79,18120,12.8,"161-976D-2H-4,79-80",3.47,2.02
6.11,16252,12.2,159,6.81,18170,14.6,"161-976D-2H-4,81-82",3.28,2.41
6.13,16297,12.1,168,6.83,18230,14.7,"161-976D-2H-4,83-84",3.31,2.44
6.15,16342,11.8,174,6.85,18290,15.13,"161-976D-2H-4,85-86",3.24,2.54
6.17,16387,11.8,186,6.87,18350,NA,"161-976D-2H-4,87-88",3.18,NA
6.19,16431,12.2,192,6.92,18500,NA,"161-976D-2H-4,91-94",3.08,NA
6.21,16476,12.2,159,6.97,18640,16.84,"161-976D-2H-4,95-100",NA,3.02
6.23,16521,12,155,7.02,18790,13.99,"161-976D-2H-4,101-104",NA,2.27
6.25,16565,11.7,174,7.05,18880,NA,"161-976D-2H-4,105-106",2.92,NA
6.27,16610,11.2,178,7.07,18930,NA,"161-976D-2H-4,107-108",3.19,NA
6.29,16655,11.1,180,7.09,18990,NA,"161-976D-2H-4,109-110",3.01,NA
6.31,16700,10.8,170,7.12,19080,14.52,"161-976D-2H-4,111-114",NA,2.39
6.33,16744,11.2,180,7.15,19170,NA,"161-976D-2H-4,115-116",3.5,NA
6.35,16789,10.8,179,7.18,19260,13.65,"161-976D-2H-4,117-120",3.44,2.19
6.37,16834,11.2,212,7.22,19370,13.34,"161-976D-2H-4,121-124",NA,2.13
