year (AD),age (BP),d18O (permil),distance (cm),d13C (permil)
653.3,1296.7,-4.68,94.5,-4.13
638.6,1311.4,-4.91,95,-3.82
623.8,1326.2,-4.25,95.5,-4.48
609.1,1340.9,-4.01,96,-4.48
594.3,1355.7,-3.82,96.5,-5.29
579.6,1370.4,-3.59,97,-4.74
564.8,1385.2,-3.89,97.5,-4.16
550.1,1399.9,-3.9,98,-4.13
535.3,1414.7,-3.93,98.5,-4.47
520.6,1429.4,-4.07,99,-4.28
505.8,1444.2,-4.1,99.5,-3.69
491.1,1458.9,-4.59,100,-4.27
476.3,1473.7,-4.61,100.5,-4.19
461.6,1488.4,-4.31,101,-3.39
446.9,1503.1,-4.52,101.5,-3.27
432.1,1517.9,-3.86,102,-4.05
417.4,1532.6,-4.23,102.5,-4.68
402.6,1547.4,-4.14,103,-4.8
387.9,1562.1,-4.6,103.5,-4.62
373.1,1576.9,-4.12,104,-3.38
358.4,1591.6,-4.22,104.5,-3.02
343.6,1606.4,-4.28,105,-2.37
328.9,1621.1,-3.92,106,-2.13
314.1,1635.9,-4.19,106.5,-2.3
299.4,1650.6,-3.79,107,-1.7
284.6,1665.4,-3.61,107.5,-1.82
269.9,1680.1,-4.13,108,-1.99
255.1,1694.9,-4.19,108.5,-2.01
240.4,1709.6,-4.27,109,-2.63
225.6,1724.4,-4.41,109.5,-3.01
210.9,1739.1,-4.42,110,-2.89
196.1,1753.9,-4.38,110.5,-2.61
181.4,1768.6,-4.2,111,-2.76
166.6,1783.4,-3.97,111.5,-2.86
151.9,1798.1,-4.16,112,-3.42
137.1,1812.9,-4.33,112.5,-3.42
122.4,1827.6,-4.09,113,-3.21
107.7,1842.3,-4.15,113.5,-3.23
92.9,1857.1,-4.33,114,-2.88
78.2,1871.8,-3.98,114.5,-3.04
63.4,1886.6,-3.99,115,-3.62
48.7,1901.3,-4.02,115.5,-3.05
33.9,1916.1,-3.56,116,-3.06
19.2,1930.8,-3.49,116.5,-2.68
4.4,1945.6,-3.82,117,-2.55
-10.3,1960.3,-4.36,117.5,-2.05
-25.1,1975.1,-4.82,118,-1.89
-39.8,1989.8,-4.93,118.5,-2.72
-54.6,2004.6,-4.93,119,-3.61
-69.3,2019.3,-4.43,119.5,-3.77
-84.1,2034.1,-4.24,120,-3.46
-98.8,2048.8,-4.77,120.5,-3.59
-113.6,2063.6,-4.43,121,-3.14
-128.3,2078.3,-4.26,121.5,-2.93
-143.1,2093.1,-4.39,122,-3.86
-157.8,2107.8,-4.53,122.5,-4.57
-172.6,2122.6,-4.54,123,-4.84
-187.3,2137.3,-4.26,123.5,-4.19
-202.1,2152.1,-4.71,124,-5.17
-216.8,2166.8,-4.42,124.5,-4.09
-231.5,2181.5,-4.57,125,-3.82
-246.3,2196.3,-4.83,125.5,-3.59
-261,2211,-4.53,126,-3.34
-275.8,2225.8,-4.25,126.5,-3.08
-290.5,2240.5,-3.93,127,-2.92
-305.3,2255.3,-4.08,127.5,-2.93
-320,2270,-4.11,128,-2.54
-334.8,2284.8,-4.16,128.5,-2.85
-349.5,2299.5,-4.26,129,-2.79
-364.3,2314.3,-4.47,129.5,-2.78
-379,2329,-4.33,130,-2.47
-393.8,2343.8,-4.51,130.5,-2.53
-408.5,2358.5,-4.75,131,-3.04
-423.3,2373.3,-4.84,131.5,-2.64
-438,2388,-4.92,132,-2.25
-452.8,2402.8,-4.17,132.5,-1.39
-467.5,2417.5,-4.04,133,-1.21
-482.3,2432.3,-4.11,133.5,-1.23
-497,2447,-3.85,134,-0.89
-511.8,2461.8,-3.79,134.5,-0.65
-526.5,2476.5,-3.77,135,-0.43
-541.3,2491.3,-3.64,135.5,-0.48
-556,2506,-3.64,136,0.08
-560,2510,-3.75,136.5,-1.12
-564,2514,-4.05,137,-1.54
-568,2518,-4.55,137.5,-1.25
-572,2522,-4.05,138,-2.24
-576,2526,-4.33,138.5,-3.37
-580,2530,-4.56,139,-3.55
-584,2534,-4.86,139.5,-3.38
-588,2538,-5.28,140,-4.23
-592,2542,-4.98,140.5,-3.82
-596,2546,-5.31,141,-4.48
-600,2550,-4.95,141.5,-4.09
-604,2554,-5.04,142,-3.59
-608,2558,-5.19,142.5,-4.11
-612,2562,-5.11,143,-3.93
-616,2566,-5.07,143.5,-4.11
-620,2570,-4.61,144,-3.88
-624,2574,-5.04,144.5,-4.2
-628,2578,-5.3,145,-4.36
-632,2582,-5.11,145.5,-4.8
-636,2586,-4.62,146,-3.73
-640,2590,-4.66,146.5,-4
-644,2594,-4.85,147,-4.26
-648,2598,-5.27,147.5,-4.31
-652,2602,-4.78,148,-4.01
-656,2606,-5.36,148.5,-4.35
-660,2610,-5.13,149,-3.94
-664,2614,-4.95,149.5,-4.2
-668,2618,-4.57,150,-3.86
-672,2622,-5.11,150.5,-4.28
-676,2626,-5.66,151,-4.47
-680,2630,-5.34,151.5,-4.29
-684,2634,-5.41,152,-4.45
-688,2638,-5.21,152.5,-4.18
-692,2642,-5.07,153,-4.25
-696,2646,-4.76,153.5,-4.64
-700,2650,-4.8,154,-4.07
-704,2654,-4.86,154.5,-4.27
-708,2658,-4.78,155,-4.36
-712,2662,-3.93,155.5,-4.28
-716,2666,-3.66,156,-4.38
-720,2670,-3.8,156.5,-4.85
-724,2674,-3.79,157,-4.53
-728,2678,-3.85,157.5,-4.47
-732,2682,-3.76,158,-4.54
-736,2686,-4.12,158.5,-4.29
-740,2690,-4.45,159,-3.85
-744,2694,-4.02,159.5,-3.94
-748,2698,-4.17,160,-4.35
-752,2702,-4.25,160.5,-4.27
-756,2706,-4.31,161,-4.23
-760,2710,-4.46,161.5,-4.27
-764,2714,-3.92,162,-3.75
-768,2718,-4.51,162.5,-4.12
-772,2722,-4.41,163,-4.12
-776,2726,-4.86,163.5,-4.1
-780,2730,-4.14,164,-4.19
-784,2734,-4.61,164.5,-4.39
-788,2738,-4.17,165,-4.55
-792,2742,-4.21,165.5,-4.38
-796,2746,-4.63,166,-4.84
-800,2750,-4.88,166.5,-4.99
-804,2754,-4.38,167,-4.03
-808,2758,-4.37,167.5,-4.36
-812,2762,-4.39,168,-3.93
-816,2766,-3.94,168.5,-3.33
-820,2770,-4.13,169,-3.1
-824,2774,-4.18,169.5,-2.7
-828,2778,-4.28,170,-2.68
-832,2782,-4.94,170.5,-3.72
-836,2786,-5.03,171,-4.41
-840,2790,-4.74,171.5,-4.68
-844,2794,-4.62,172,-4.4
-848,2798,-4.35,172.5,-4.29
-852,2802,-4.65,173,-4.34
-856,2806,-4.55,173.5,-4.38
-860,2810,-4.38,174,-3.46
-864,2814,-4.75,174.5,-3.46
-868,2818,-4.48,175,-3.18
-872,2822,-4.55,175.5,-3.03
-876,2826,-4.39,176,-2.47
-880,2830,-4.69,176.5,-2.92
-884,2834,-4.19,177,-2.27
-888,2838,-4.97,177.5,-2.76
-892,2842,-4.71,178,-2.11
-896,2846,-4.65,178.5,-2.35
-900,2850,-4.39,179,-1.93
-904,2854,-4.15,179.5,-1.98
-908,2858,-3.96,180,-1.98
-912,2862,-3.89,180.5,-1.82
-916,2866,-4.27,181,-2.13
-920,2870,-4.68,181.5,-2.04
-928,2878,-4.76,182,-2.01
-935.9,2885.9,-4.25,182.5,-1.34
-943.9,2893.9,-4.29,183,-1.09
-951.8,2901.8,-4.47,183.5,-1.74
-959.8,2909.8,-4.62,184,-2.1
-967.8,2917.8,-4.44,184.5,-1.88
-975.7,2925.7,-4.67,185,-1.25
-983.7,2933.7,-4.6,185.5,-1.23
-991.6,2941.6,-4.35,186,-1.58
-999.6,2949.6,-4.25,186.5,-0.85
-1007.5,2957.5,-4.5,187,-1.7
-1015.5,2965.5,-4.09,187.5,-2.31
-1023.5,2973.5,-3.9,188,-1.38
-1031.4,2981.4,-3.74,188.5,-1.67
-1039.4,2989.4,-3.87,189,-1.27
-1047.3,2997.3,-3.98,189.5,-1.42
-1055.3,3005.3,-3.67,190,-0.93
-1063.3,3013.3,-3.99,190.5,-1.36
-1071.2,3021.2,-3.44,191,-0.78
-1079.2,3029.2,-3.86,191.5,-0.78
-1087.1,3037.1,-3.68,192,-0.54
-1095.1,3045.1,-3.93,192.5,-1.19
-1103,3053,-3.43,193,-0.51
-1111,3061,-3.49,193.5,-1.12
-1119.9,3069.9,-3.61,194,-1
-1128.8,3078.8,-3.97,194.5,-1.05
-1137.7,3087.7,-3.99,195,-1.6
-1146.7,3096.7,-3.69,195.5,-1.38
-1155.6,3105.6,-4.04,196,-2.13
-1164.5,3114.5,-3.84,196.5,-1.89
-1173.4,3123.4,-4.12,197,-1.83
-1182.3,3132.3,-4.44,197.5,-2.05
-1191.2,3141.2,-4.3,198.5,-2.37
-1200.1,3150.1,-4.17,199,-2.57
-1209,3159,-4,199.5,-1.78
-1218,3168,-4.11,200,-1.87
-1226.9,3176.9,-4.35,200.5,-2.68
-1235.8,3185.8,-4.43,201,-1.72
-1244.7,3194.7,-4.58,201.5,-2.76
-1253.6,3203.6,-4.55,202,-2.81
-1262.5,3212.5,-4.16,202.5,-3.05
-1271.4,3221.4,-4.49,203,-2.99
-1280.3,3230.3,-4.36,203.5,-3.76
-1289.3,3239.3,-4.17,204,-3.67
-1298.2,3248.2,-3.63,204.5,-2.96
-1307.1,3257.1,-3.95,205,-2.89
-1316,3266,-4.03,205.5,-2.51
-1324.9,3274.9,-4.33,206,-3.41
-1333.8,3283.8,-4.37,206.5,-3.32
-1342.7,3292.7,-4.46,207,-3.69
-1351.6,3301.6,-4.48,207.5,-5.04
-1360.6,3310.6,-4.4,208,-3.42
-1369.5,3319.5,-5.63,208.5,-5.38
-1378.4,3328.4,-5.12,209,-5.29
-1387.3,3337.3,-6.36,209.5,-6.01
-1396.2,3346.2,-5.84,210,-5.48
-1405.1,3355.1,-5.91,210.5,-5.13
-1414,3364,-5.63,211,-4.86
-1422.9,3372.9,-5.71,211.5,-4.45
-1431.9,3381.9,-5.56,212,-5.08
-1440.8,3390.8,-5.84,212.5,-4.39
-1449.7,3399.7,-6.05,213,-3.81
-1458.6,3408.6,-5.55,213.5,-2.98
-1467.5,3417.5,-5.46,214,-2.86
-1476.4,3426.4,-5.58,214.5,-3.59
-1485.3,3435.3,-5.84,215,-3.65
-1494.2,3444.2,-5.22,215.5,-3.65
-1503.2,3453.2,-5.69,216,-3.44
-1512.1,3462.1,-5.94,216.5,-4.17
-1521,3471,-5.63,217,-4.39
-1529.9,3479.9,-5.29,217.5,-4.14
-1538.8,3488.8,-5.44,218,-4.06
-1547.7,3497.7,-5.46,218.5,-3.87
-1556.6,3506.6,-5.46,219,-4.11
-1565.5,3515.5,-5.57,219.5,-4.11
-1574.5,3524.5,-5.4,220,-3.9
-1583.4,3533.4,-5.49,220.5,-3.45
-1592.3,3542.3,-5.85,221,-4.1
-1601.2,3551.2,-5.39,221.5,-4.1
-1610.1,3560.1,-5.44,222,-3.96
-1619,3569,-5.47,222.5,-4.04
-1627.9,3577.9,-5.41,223,-3.7
-1636.8,3586.8,-5.31,223.5,-3.43
-1645.8,3595.8,-5.38,224,-3.7
-1654.7,3604.7,-5.81,224.5,-4.03
-1663.6,3613.6,-5.55,225,-4.29
-1672.5,3622.5,-6,225.5,-4.56
-1681.4,3631.4,-5.58,226,-4.08
-1690.3,3640.3,-5.61,226.5,-4.2
-1699.2,3649.2,-5.4,227,-3.08
-1708.1,3658.1,-5.21,227.5,-3.25
-1717.1,3667.1,-5.58,228,-2.8
-1726,3676,-5.63,228.5,-2.81
-1734.9,3684.9,-6.02,229,-3.03
-1743.8,3693.8,-5.74,229.5,-3.09
-1752.7,3702.7,-5.46,230,-2.84
-1761.6,3711.6,-5.64,230.5,-2.81
-1770.5,3720.5,-6.15,231,-3
-1779.4,3729.4,-5.65,231.5,-2.51
-1788.4,3738.4,-5.43,232,-2.88
-1797.3,3747.3,-5.99,232.5,-3.24
-1806.2,3756.2,-5.49,233,-3.28
-1815.1,3765.1,-6.11,233.5,-3.06
-1824,3774,-5.85,234,-3.26
-1832.9,3782.9,-5.71,234.5,-3.3
-1841.8,3791.8,-5.65,235,-3.45
-1850.7,3800.7,-5.74,235.5,-3.65
-1859.7,3809.7,-6.25,236,-4.16
-1868.6,3818.6,-6.05,236.5,-4.1
-1877.5,3827.5,-5.77,237,-3.46
-1886.4,3836.4,-5.49,237.5,-3.27
-1895.3,3845.3,-5.43,238,-3.44
-1904.2,3854.2,-5.72,238.5,-3.37
-1913.1,3863.1,-5.96,239,-3.96
-1922,3872,-6.02,239.5,-4.15
-1931,3881,-5.47,240,-4.09
-1939.9,3889.9,-5.51,240.5,-3.66
-1948.8,3898.8,-5.74,241,-4
-1957.7,3907.7,-5.64,241.5,-3.96
-1966.6,3916.6,-5.55,242,-3.77
-1975.5,3925.5,-5.73,242.5,-3.81
-1984.4,3934.4,-5.99,243,-4.17
-1993.3,3943.3,-5.74,243.5,-4.12
-2002.3,3952.3,-5.73,244,-4.02
-2011.2,3961.2,-5.7,244.5,-4.04
-2020.1,3970.1,-5.52,245,-3.94
-2029,3979,-4.38,245.5,NA
-2037.3,3987.3,-5.32,246,-4.12
-2045.6,3995.6,-4.87,246.5,-4.29
-2053.9,4003.9,-4.57,247,-4.11
-2062.2,4012.2,-5.11,247.5,-4.48
-2070.5,4020.5,-4.8,248,-4.67
-2078.8,4028.8,-4.72,248.5,-4.39
-2087.1,4037.1,-4.49,249,-4.08
-2095.4,4045.4,-4.15,249.5,-3.48
-2103.7,4053.7,-4.89,250,-3.99
-2112,4062,-4.96,250.5,-3.95
-2120.4,4070.4,-5.37,251,-4.32
-2128.7,4078.7,-5.24,251.5,-4.06
-2137,4087,-5.14,252,-4.15
-2145.3,4095.3,-5.79,252.5,-4.27
-2153.6,4103.6,-5.64,253,-4.4
-2161.9,4111.9,-5.83,253.5,-4.74
-2170.2,4120.2,-5.49,254,-4.89
-2178.5,4128.5,-5.29,254.5,-4.66
-2186.8,4136.8,-5.31,255,-4.97
-2195.1,4145.1,-5.11,255.5,-4.93
-2203.4,4153.4,-5.21,256,-4.85
-2211.7,4161.7,-5.49,256.5,-5.63
-2220,4170,-5.65,257,-6
-2228.3,4178.3,-5.46,257.5,-5.75
-2236.6,4186.6,-4.99,258,-4.94
-2244.9,4194.9,-4.73,258.5,-4.34
-2253.2,4203.2,-4.7,259,-4.57
-2261.5,4211.5,-4.71,259.5,-4.84
-2269.8,4219.8,-5.08,260,-4.97
-2278.1,4228.1,-5.23,260.5,-5.09
-2286.4,4236.4,-5.39,261,-4.56
-2294.7,4244.7,-5.27,261.5,-4.6
-2303.1,4253.1,-4.79,262,-4.89
-2311.4,4261.4,-4.56,262.5,-4.82
-2319.7,4269.7,-4.59,263,-4
-2328,4278,-5.04,263.5,-4.22
-2336.3,4286.3,-4.91,264,-4.52
-2344.6,4294.6,-5.12,264.5,-4.86
-2352.9,4302.9,-5.33,265,-5.37
-2361.2,4311.2,-5.37,265.5,-4.95
-2369.5,4319.5,-5.3,266,-3.86
-2377.8,4327.8,-5.52,266.5,-4.45
-2386.1,4336.1,-5.79,267,-4.54
-2394.4,4344.4,-5.43,267.5,-4.01
-2402.7,4352.7,-5.73,268,-3.88
-2411,4361,-5.5,268.5,-3.76
-2419.3,4369.3,-5.65,269,-3.91
-2427.6,4377.6,-5.22,269.5,-3.86
-2435.9,4385.9,-5.53,270,-4.34
-2444.2,4394.2,-5.64,270.5,-4.74
-2452.5,4402.5,-5.52,271,-4.54
-2460.8,4410.8,-5.6,271.5,-4.46
-2469.1,4419.1,-4.94,272,-3.92
-2477.5,4427.5,-5.77,272.5,-4.9
-2485.8,4435.8,-5.56,273,-4.62
-2494.1,4444.1,-5.66,273.5,-4.5
-2502.4,4452.4,-5.34,274,-4.51
-2510.7,4460.7,-5.32,274.5,-4.51
-2519,4469,-5.66,275,-4.56
-2527.3,4477.3,-5.71,275.5,-4.26
-2535.6,4485.6,-5.76,276,-4.52
-2543.9,4493.9,-5.72,276.5,-4.44
-2552.2,4502.2,-6.58,277,-4.89
-2560.5,4510.5,-6.42,277.5,-4.74
-2568.8,4518.8,-5.97,278,-4.43
-2577.1,4527.1,-5.93,278.5,-4.66
-2585.4,4535.4,-5.77,279,-3.87
-2593.7,4543.7,-5.49,279.5,-3.19
-2602,4552,-5.58,280,-3.48
-2610.3,4560.3,-5.08,280.5,-3.01
-2618.6,4568.6,-5.29,281,-4.04
-2626.9,4576.9,-5.48,281.5,-4.54
-2635.2,4585.2,-5.65,282,-4.61
-2643.5,4593.5,-5.65,282.5,-4.77
-2651.8,4601.8,-5.43,283,-4.04
-2660.2,4610.2,-5.09,283.5,-3.32
-2668.5,4618.5,-5.8,284,-4.73
-2676.8,4626.8,-6.13,284.5,-4.81
-2685.1,4635.1,-6.02,285,-4.3
-2693.4,4643.4,-6.19,285.5,-4.49
-2701.7,4651.7,-5.91,286,-4.03
-2710,4660,-6.16,286.5,-3.81
-2718.3,4668.3,-6.28,287,-4.05
-2726.6,4676.6,-6.25,287.5,-5.25
-2734.9,4684.9,-5.82,288,-4.42
-2743.2,4693.2,-5.7,288.5,-3.97
-2751.5,4701.5,-5.64,289,-4.19
-2759.8,4709.8,-5.09,289.5,-3.76
-2768.1,4718.1,-5.45,290,-3.85
-2776.4,4726.4,-5.4,290.5,-3.93
-2784.7,4734.7,-5.56,291,-4.07
-2793,4743,-5.87,291.5,-3.35
-2801.3,4751.3,-6.06,292,-3.5
-2809.6,4759.6,-6.43,292.5,-4.22
-2817.9,4767.9,-6.77,293,-4.69
-2826.2,4776.2,-6.44,293.5,-4.7
-2834.5,4784.5,-6.44,294,-4.97
-2842.9,4792.9,-6.51,294.5,-4.81
-2851.2,4801.2,-6.45,295,-4.8
-2859.5,4809.5,-6.35,295.5,-4.68
-2867.8,4817.8,-6.23,296,-4.6
-2876.1,4826.1,-6.47,296.5,-4.65
-2884.4,4834.4,-6.31,297,-4.91
-2892.7,4842.7,-5.96,297.5,-4.46
-2901,4851,-6.17,298,-5.29
-2909.3,4859.3,-5.97,298.5,-5.02
-2917.6,4867.6,-6.31,300,-5.39
-2925.9,4875.9,-5.76,300.5,-4.87
-2934.2,4884.2,-6.24,301,-4.84
-2942.5,4892.5,-6.26,301.5,-4.93
-2950.8,4900.8,-6,302,-4.78
-2959.1,4909.1,-6.09,302.5,-4.88
-2967.4,4917.4,-6.21,303,-4.68
-2975.7,4925.7,-6.19,303.5,-4.25
-2984,4934,-6.47,304,-4.56
-2992.3,4942.3,-5.94,304.5,-4.5
-3000.6,4950.6,-5.98,305,-4.58
-3008.9,4958.9,-6.29,305.5,-5.21
-3017.3,4967.3,-6.49,306,-4.8
-3025.6,4975.6,-6.49,306.5,-4.79
-3033.9,4983.9,-6.31,307,-4.2
-3042.2,4992.2,-6.26,307.5,-4.22
-3050.5,5000.5,-6.35,308,-4.75
-3058.8,5008.8,-6.51,308.5,-4.26
-3067.1,5017.1,-6.69,309,-4.42
-3075.4,5025.4,-6.46,309.5,-4.41
-3083.7,5033.7,-6.48,310,-4.83
-3092,5042,-6.18,310.5,-4.61
-3100.3,5050.3,-6.36,311,-4.48
-3108.6,5058.6,-6.39,311.5,-4.31
-3116.9,5066.9,-6.82,312,-5.1
-3125.2,5075.2,-6.95,312.5,-5.86
-3133.5,5083.5,-6.79,313,-5.69
-3141.8,5091.8,-6.57,313.5,-4.93
-3150.1,5100.1,-6.21,314,-4.88
-3158.4,5108.4,-6.19,314.5,-4.5
-3166.7,5116.7,-6.38,315,-4.63
-3175,5125,-6.77,315.5,-4.51
-3183.3,5133.3,-6.51,316,-4.54
-3191.6,5141.6,-6.87,316.5,-4.79
-3200,5150,-5.41,317,-4.16
-3208.3,5158.3,-5.48,317.5,-4.03
-3216.6,5166.6,-6.08,318,-4.68
-3224.9,5174.9,-5.66,318.5,-4.48
-3233.2,5183.2,-5.94,319,-4.66
-3241.5,5191.5,-5.91,319.5,-4.79
