age (BP) [1-1],d13C (permil) [1-1],C/N (unitless) [1-1],TOC (mg/g) [1-1],MS (unitless) [1-1],SE (cm yr-1) [1-1],BSi (mg/g) [1-1],age (BP) [2-1],PC1 (unitless) [2-1]
151,NA,NA,NA,NA,0.373,NA,1830.324,0.205
152,NA,NA,13.043,610.259,0.376,NA,1850.339,0.047
153,NA,NA,NA,NA,0.377,75.36,1870.353,0.058
155,-26.034,11.533,13.536,617.356,0.379,39.5,1890.367,0.098
156,NA,NA,NA,NA,0.38,NA,1910.381,0.062
157,NA,NA,10.101,628.397,0.383,NA,1930.395,0.146
159,NA,NA,NA,NA,0.385,NA,1950.409,0.228
160,NA,NA,12.397,643.512,0.386,NA,1970.423,0.1
161,NA,NA,NA,NA,0.389,NA,1990.437,-0.35
162,NA,NA,13.284,651.136,0.391,NA,2010.451,-0.153
164,NA,NA,NA,NA,0.392,NA,2030.465,-0.006
165,NA,NA,12.486,647.85,0.395,43,2050.479,-0.286
166,NA,NA,NA,NA,0.397,NA,2070.494,0.057
167,-26.453,11.25,14.888,637.729,0.398,NA,2090.508,0.152
169,NA,NA,NA,NA,0.402,NA,2110.522,0.252
170,NA,NA,15.775,623.665,0.403,NA,2130.536,-0.087
171,NA,NA,NA,NA,0.405,NA,2150.55,0.055
172,NA,NA,15.582,612.099,0.408,NA,2170.564,-0.197
174,NA,NA,NA,NA,0.41,NA,2190.578,-0.205
175,NA,NA,16.481,606.842,0.412,NA,2210.592,0.429
176,NA,NA,NA,NA,0.415,NA,2230.606,0.023
177,NA,NA,17.533,605.001,0.417,NA,2250.62,-0.354
179,NA,NA,NA,NA,0.418,NA,2270.634,-0.311
180,-26.081,11.611,15.509,603.556,0.422,NA,2290.649,-1.046
181,NA,NA,NA,NA,0.424,NA,2310.663,0.055
182,NA,NA,15.774,600.796,0.427,36.75,2330.677,-0.391
183,NA,NA,NA,NA,0.429,NA,2350.691,-1.125
184,NA,NA,15.465,596.984,0.431,NA,2370.705,-0.912
186,NA,NA,NA,NA,0.435,NA,2390.719,-0.118
187,NA,NA,16.101,594.881,0.437,NA,2410.733,-0.434
188,NA,NA,NA,NA,0.441,NA,2430.747,-0.701
189,NA,NA,16.26,596.195,0.442,NA,2450.761,-0.138
190,NA,NA,NA,NA,0.444,NA,2470.775,-0.308
191,-26.178,11.313,17.829,597.641,0.448,54.601,2490.789,0.015
192,NA,NA,NA,NA,0.45,NA,2510.804,-0.266
193,NA,NA,16.254,594.881,0.455,NA,2530.818,0.133
195,NA,NA,NA,NA,0.457,NA,2550.832,0.159
196,NA,NA,13.346,587.652,0.461,NA,2570.846,0.209
197,NA,NA,NA,NA,0.463,NA,2590.86,-0.145
198,NA,NA,18.096,578.714,0.465,NA,2610.874,0.236
199,NA,NA,NA,NA,0.469,NA,2630.888,0.367
200,NA,NA,13.818,570.434,0.472,50.925,2650.902,-0.182
201,NA,NA,NA,NA,0.476,NA,2670.916,0.313
202,-26.078,11.6,18.461,566.228,0.478,NA,2690.93,0.558
203,NA,NA,NA,NA,0.483,NA,2710.944,0.509
204,NA,NA,21.745,567.805,0.485,64.724,2730.959,0.002
205,NA,NA,NA,NA,0.488,NA,2750.973,0.118
206,NA,NA,18.12,573.325,0.493,NA,2770.987,0.116
207,NA,NA,NA,NA,0.495,NA,2791.001,0.117
208,NA,NA,16.163,582,0.5,NA,2811.015,-0.152
209,NA,NA,NA,NA,0.503,NA,2831.029,-0.493
210,NA,NA,18.005,598.693,0.508,47.814,2851.043,0.178
211,NA,NA,NA,NA,0.51,NA,2871.057,-0.218
212,NA,NA,15.296,624.98,0.515,57.04,2891.071,-0.624
213,NA,NA,NA,NA,0.518,NA,2911.085,-0.636
214,NA,NA,13.256,651.924,0.524,NA,2931.099,-0.669
215,NA,NA,NA,NA,0.526,NA,2951.114,-1.427
216,-25.852,12.25,14.952,664.542,0.532,44.993,2971.128,-0.226
217,NA,NA,NA,NA,0.535,NA,2991.142,-0.167
218,NA,NA,15.369,665.462,0.541,NA,3011.156,0.133
219,NA,NA,NA,NA,0.543,NA,3031.17,0.269
220,NA,NA,14.494,671.64,0.549,NA,3051.184,0.482
221,NA,NA,NA,NA,0.552,NA,3071.198,0.38
222,-25.951,12.353,11.884,692.407,0.559,NA,3091.212,0.152
222,NA,NA,NA,NA,0.562,NA,3111.226,0.485
223,NA,NA,11.392,715.145,0.568,55.728,3131.24,0.567
224,NA,NA,NA,NA,0.571,NA,3151.254,0.589
225,NA,NA,12.335,723.951,0.578,NA,3171.268,0.838
226,NA,NA,NA,NA,0.581,NA,3191.283,0.273
227,NA,NA,17.5,711.991,0.592,NA,3211.297,-0.369
228,NA,NA,NA,NA,0.599,NA,3231.311,0.492
229,NA,NA,20.052,686.886,0.599,NA,3251.325,0.716
229,NA,NA,NA,NA,0.588,NA,3271.339,0.285
230,-26.29,11.909,18.156,659.548,0.633,NA,3291.353,-0.381
231,NA,NA,NA,NA,0.606,NA,3311.367,0.238
232,NA,NA,19.301,635.363,0.625,54.02,3331.381,0.571
233,NA,NA,NA,NA,0.637,NA,3351.395,0.474
233,NA,NA,20.783,615.779,0.617,NA,3371.409,0.137
234,NA,NA,NA,NA,0.662,NA,3391.423,0.217
235,NA,NA,19.101,599.744,0.735,41.353,3411.438,0.26
236,NA,NA,NA,NA,0.565,NA,3431.452,0.486
237,NA,NA,17.356,584.366,0.649,NA,3451.466,0.415
237,NA,NA,NA,NA,0.641,NA,3471.48,0.654
238,-25.892,12.263,18.489,566.359,0.645,NA,3491.494,0.337
239,NA,NA,NA,NA,0.649,33.493,3511.508,1.021
240,NA,NA,25.683,546.118,0.592,NA,3531.522,0.323
240,NA,NA,NA,NA,0.658,NA,3551.536,0.385
241,NA,NA,26.124,528.374,0.595,60.04,3571.55,0.266
242,NA,NA,NA,NA,0.671,NA,3591.564,0.218
243,NA,NA,23.394,517.859,0.621,NA,3611.578,0.64
244,NA,NA,NA,NA,0.629,NA,3631.593,0.595
244,NA,NA,22.052,515.23,0.625,NA,3651.607,0.035
245,NA,NA,NA,NA,0.625,NA,3671.621,-0.036
246,-26.082,11.739,24.531,516.413,0.625,NA,3691.635,0.432
247,NA,NA,NA,NA,0.621,NA,3711.649,0.608
248,NA,NA,21.92,520.488,0.621,62.05,3731.663,0.451
248,NA,NA,NA,NA,0.617,NA,3751.677,0.896
249,NA,NA,19.185,527.98,0.617,NA,3771.691,0.342
250,NA,NA,NA,NA,0.617,NA,3791.705,0.225
251,NA,NA,20.401,537.575,0.613,NA,3811.719,0.522
252,NA,NA,NA,NA,0.613,NA,3831.733,0.678
253,NA,NA,18.264,548.352,0.613,42.44,3851.748,0.872
253,NA,NA,NA,NA,0.61,NA,3871.762,0.724
254,-26.297,11,20.889,552.953,0.61,NA,3891.776,0.82
255,NA,NA,NA,NA,0.61,NA,3911.79,0.458
256,NA,NA,20.742,546.249,0.606,33.493,3931.804,0.199
257,NA,NA,NA,NA,0.606,NA,3951.818,0.798
257,NA,NA,23.924,534.683,0.606,NA,3971.832,0.574
258,NA,NA,NA,NA,0.602,NA,3991.846,0.554
259,NA,NA,24.237,527.717,0.602,NA,4011.86,0.691
260,NA,NA,NA,NA,0.602,NA,4031.874,0.807
261,NA,NA,21.21,528.637,0.599,47.466,4051.888,1.197
262,NA,NA,NA,NA,0.599,NA,4071.903,0.617
262,-26.162,12.611,21.407,536.129,0.599,NA,4091.917,0.678
263,NA,NA,NA,NA,0.595,NA,4111.931,1.008
264,NA,NA,19.781,552.427,0.595,59.794,4131.945,1.075
265,NA,NA,NA,NA,0.595,NA,4151.959,-0.072
266,NA,NA,17.633,579.766,0.592,NA,4171.973,-0.933
267,NA,NA,NA,NA,0.592,NA,4191.987,-0.729
267,NA,NA,13.6,612.625,0.592,NA,4212.001,0.044
268,NA,NA,NA,NA,0.592,NA,4232.015,-0.132
269,NA,NA,12.225,639.175,0.588,43.558,4252.029,0.507
270,NA,NA,NA,NA,0.588,NA,4272.043,0.607
271,NA,NA,14.046,646.798,0.588,NA,4292.058,0.427
272,NA,NA,NA,NA,0.585,NA,4312.072,0.672
273,NA,NA,18.18,630.5,0.585,NA,4332.086,0.425
273,NA,NA,NA,NA,0.585,NA,4352.1,0.273
274,NA,NA,18.976,595.932,0.581,91.378,4372.114,0.866
275,NA,NA,NA,NA,0.581,NA,4392.128,0.804
276,NA,NA,18.753,559.787,0.581,NA,4412.142,0.73
277,NA,NA,NA,NA,0.581,NA,4432.156,0.26
278,NA,NA,21.603,534.289,0.578,NA,4452.17,0.191
279,NA,NA,NA,NA,0.578,NA,4472.184,1.044
279,-26.346,13.467,22.125,523.511,0.578,NA,4492.198,0.787
280,NA,NA,NA,NA,0.575,NA,4512.213,0.733
281,NA,NA,20.039,527.98,0.575,60.993,4532.227,0.173
282,NA,NA,NA,NA,0.575,NA,4552.241,0.676
283,NA,NA,18.381,544.541,0.575,NA,4572.255,0.273
284,NA,NA,NA,NA,0.571,NA,4592.269,0.215
285,NA,NA,17.681,569.514,0.571,NA,4612.283,0.245
286,NA,NA,NA,NA,0.571,NA,4632.297,0.305
286,-26.627,11.351,13.982,596.59,0.571,NA,4652.311,0.272
287,NA,NA,NA,NA,0.568,NA,4672.325,0.794
288,NA,NA,11.717,619.065,0.568,61.208,4692.339,0.726
289,NA,NA,NA,NA,0.568,NA,4712.353,0.539
290,NA,NA,15.629,628.266,0.568,NA,4732.368,0.914
291,NA,NA,NA,NA,0.565,NA,4752.382,0.504
292,NA,NA,14.866,621.694,0.565,66,4772.396,0.308
293,NA,NA,NA,NA,0.565,NA,4792.41,0.782
293,NA,NA,14.966,610.522,0.562,NA,4812.424,0.722
294,NA,NA,NA,NA,0.562,NA,4832.438,0.348
295,NA,NA,16.239,602.767,0.562,68.999,4852.452,0.409
296,NA,NA,NA,NA,0.562,NA,4872.466,0.557
297,NA,NA,15.977,602.504,0.559,NA,4892.48,0.413
298,NA,NA,NA,NA,0.559,NA,4912.494,0.542
299,NA,NA,15.059,610.785,0.559,NA,4932.508,0.728
300,NA,NA,NA,NA,0.559,NA,4952.523,0.854
301,NA,NA,12.387,620.248,0.559,NA,4972.537,0.302
301,NA,NA,NA,NA,0.556,NA,4992.551,0.358
302,NA,NA,14.382,624.323,0.556,66.413,5012.565,0.371
303,NA,NA,NA,NA,0.556,NA,5032.579,-0.053
304,NA,NA,16.014,624.06,0.556,NA,5052.593,-0.088
305,NA,NA,NA,NA,0.552,NA,5072.607,0.147
306,NA,NA,13.849,622.614,0.552,NA,5092.621,0.676
307,NA,NA,NA,NA,0.552,NA,5112.635,0.547
308,NA,NA,11.717,619.459,0.552,NA,5132.649,0.03
309,NA,NA,NA,NA,0.549,NA,5152.663,-0.003
310,NA,NA,16.074,616.174,0.549,101.852,5172.677,-0.543
311,NA,NA,NA,NA,0.549,NA,5192.692,-0.05
311,NA,NA,14.54,615.516,0.549,NA,5212.706,0.549
312,NA,NA,NA,NA,0.549,NA,5232.72,0.509
313,NA,NA,13.175,621.694,0.546,NA,5252.734,0.087
314,NA,NA,NA,NA,0.546,NA,5272.748,0.289
315,NA,NA,12.644,636.415,0.546,NA,5292.762,0.02
316,NA,NA,NA,NA,0.546,NA,5312.776,-0.242
317,NA,NA,15.444,654.947,0.546,49.68,5332.79,-0.398
318,NA,NA,NA,NA,0.543,NA,5352.804,-0.098
319,NA,NA,14.622,673.085,0.543,NA,5372.818,-0.115
320,NA,NA,NA,NA,0.543,NA,5392.832,0.118
321,NA,NA,13.923,690.961,0.543,NA,5412.847,0.398
322,NA,NA,NA,NA,0.543,NA,5432.861,1.173
322,-26.085,11.286,12.406,703.053,0.541,NA,5452.875,1.374
323,NA,NA,NA,NA,0.541,NA,5472.889,1.276
324,NA,NA,14.222,703.973,0.541,64.827,5492.903,1.17
325,NA,NA,NA,NA,0.541,NA,5512.917,1.041
326,NA,NA,13.08,701.476,0.541,NA,5532.931,0.91
327,NA,NA,NA,NA,0.541,NA,5552.945,0.779
328,NA,NA,12.723,702.396,0.538,NA,5572.959,0.648
329,NA,NA,NA,NA,0.538,NA,5592.973,0.509
330,NA,NA,13.093,705.156,0.538,NA,5612.987,0.38
331,NA,NA,NA,NA,0.538,NA,5633.002,0.519
332,NA,NA,14.155,704.367,0.538,41.34,5653.016,0.469
333,NA,NA,NA,NA,0.535,NA,5673.03,0.217
334,NA,NA,12.794,699.636,0.535,NA,5693.044,0.289
334,NA,NA,NA,NA,0.535,NA,5713.058,0.42
335,NA,NA,14.942,692.407,0.535,NA,5733.072,0.664
336,NA,NA,NA,NA,0.535,NA,5753.086,0.986
337,-26.485,11.93,13.421,683.732,0.535,NA,5773.1,0.76
338,NA,NA,NA,NA,0.532,NA,5793.114,0.294
339,NA,NA,14.958,675.188,0.532,54.037,5813.128,0.533
340,NA,NA,NA,NA,0.532,NA,5833.142,0.823
341,NA,NA,13.295,667.828,0.532,NA,5853.157,0.748
342,NA,NA,NA,NA,0.532,NA,5873.171,0.369
343,NA,NA,12.959,663.096,0.532,NA,5893.185,0.06
344,NA,NA,NA,NA,0.532,NA,5913.199,0
345,-26.583,11.867,14.707,662.571,0.529,NA,5933.213,0.781
346,NA,NA,NA,NA,0.529,NA,5953.227,2.178
347,NA,NA,10.151,665.988,0.529,57.468,5973.241,2.885
348,NA,NA,NA,NA,0.529,NA,5993.255,2.37
349,NA,NA,13.714,671.377,0.529,NA,6013.269,1.587
350,NA,NA,NA,NA,0.529,NA,6033.283,1.092
350,NA,NA,13.342,676.766,0.529,NA,6053.297,0.723
351,NA,NA,NA,NA,0.526,NA,6073.312,0.511
352,NA,NA,11.97,682.286,0.526,NA,6093.326,0.354
353,NA,NA,NA,NA,0.526,NA,6113.34,0.754
354,NA,NA,13.506,683.469,0.526,53.697,6133.354,1.152
355,NA,NA,NA,NA,0.526,NA,6153.368,0.822
356,NA,NA,11.523,674.926,0.526,NA,6173.382,0.614
357,NA,NA,NA,NA,0.526,NA,6193.396,0.538
358,NA,NA,15.099,651.707,0.526,NA,6213.41,0.617
359,NA,NA,NA,NA,0.524,NA,6233.424,0.738
360,-26.117,11.693,13.932,582.258,0.524,NA,6253.438,0.865
361,NA,NA,NA,NA,0.524,NA,6273.452,1.075
362,NA,NA,12.423,500.548,0.524,47.539,6293.467,1.221
363,NA,NA,NA,NA,0.524,NA,6313.481,1.039
364,NA,NA,14.779,NA,0.524,NA,6333.495,0.804
365,NA,NA,NA,NA,0.524,NA,6353.509,0.597
366,NA,NA,15.513,NA,0.521,NA,6373.523,0.418
367,NA,NA,NA,NA,0.524,NA,6393.537,0.416
368,NA,NA,11.179,NA,0.524,NA,6413.551,0.478
369,NA,NA,NA,NA,0.521,NA,6433.565,0.537
370,NA,NA,15.138,466.733,0.521,97.573,6453.579,0.596
370,NA,NA,NA,NA,0.521,NA,6473.593,0.636
371,NA,NA,19.812,553.444,0.521,NA,6493.607,0.725
372,NA,NA,NA,NA,0.521,NA,6513.622,0.806
373,NA,NA,21.162,610.844,0.521,NA,6533.636,0.761
374,NA,NA,NA,NA,0.521,NA,6553.65,0.676
375,NA,NA,20.033,635.232,0.521,NA,6573.664,0.528
376,NA,NA,NA,NA,0.524,NA,6593.678,0.492
377,NA,NA,23.102,646.273,0.521,40.059,6613.692,0.692
378,NA,NA,NA,NA,0.521,NA,6633.706,0.894
379,NA,NA,17.641,651.398,0.521,NA,6653.72,1.056
380,NA,NA,NA,NA,0.515,NA,6673.734,1.18
381,NA,NA,19.502,654.027,0.521,NA,6693.748,1.373
382,NA,NA,NA,NA,0.521,NA,6713.762,1.617
383,NA,NA,23.462,658.627,0.513,NA,6733.777,1.663
384,NA,NA,NA,NA,0.521,NA,6753.791,1.47
385,NA,NA,16.019,667.434,0.521,42.48,6773.805,0.947
386,NA,NA,NA,NA,0.521,NA,6793.819,0.635
387,NA,NA,21.36,676.766,0.513,NA,6813.833,0.516
388,-25.954,11.693,NA,NA,0.515,NA,6833.847,0.456
389,NA,NA,15.053,683.863,0.515,NA,6853.861,0.098
390,NA,NA,NA,NA,0.515,NA,6873.875,-0.174
391,NA,NA,18.22,692.407,0.521,NA,6893.889,-0.055
392,NA,NA,NA,NA,0.526,NA,6913.903,0.431
393,NA,NA,21.962,700.161,0.526,43.56,6933.917,0.817
394,NA,NA,NA,NA,0.521,NA,6953.932,0.986
395,NA,NA,17.229,703.71,0.518,NA,6973.946,0.88
396,-26.026,11.089,NA,NA,0.503,NA,6993.96,1.034
397,NA,NA,13.997,702.79,0.515,NA,7013.974,1.498
397,NA,NA,NA,NA,0.518,NA,7033.988,1.795
398,NA,NA,15.283,693.195,0.518,NA,7054.002,0.985
399,NA,NA,NA,NA,0.521,NA,7074.016,0.81
400,NA,NA,16.269,670.851,0.524,68.88,7094.03,1.277
401,NA,NA,NA,NA,0.524,NA,7114.044,1.064
402,NA,NA,15.486,646.404,0.474,NA,7134.058,0.764
403,NA,NA,NA,NA,0.521,NA,7154.072,1.137
404,NA,NA,20.575,626.294,0.521,NA,7174.086,0.865
405,NA,NA,NA,NA,0.521,NA,7194.101,0.883
406,NA,NA,19.452,614.465,0.524,NA,7214.115,0.87
407,NA,NA,NA,NA,0.524,NA,7234.129,0.792
408,NA,NA,15.955,614.728,0.524,46.04,7254.143,0.349
409,NA,NA,NA,NA,0.524,NA,7274.157,0.521
410,NA,NA,14.48,629.974,0.455,NA,7294.171,0.426
411,NA,NA,NA,NA,0.515,NA,7314.185,0.44
412,NA,NA,10.442,655.736,0.515,NA,7334.199,0.618
413,NA,NA,NA,NA,0.518,NA,7354.213,0.821
414,NA,NA,13.3,674.268,0.521,42.88,7374.227,0.898
415,NA,NA,NA,NA,0.521,NA,7394.241,1.051
416,NA,NA,15.367,670.062,0.524,58.81,7414.256,1.005
417,NA,NA,NA,NA,0.526,NA,7434.27,0.965
418,NA,NA,17.866,653.678,0.526,NA,7454.284,0.945
419,-26.181,11.199,NA,NA,0.532,NA,7474.298,0.912
420,NA,NA,14.956,644.743,0.532,NA,7494.312,0.908
421,NA,NA,NA,NA,0.532,NA,7514.326,0.999
422,NA,NA,13.691,649.342,0.532,NA,7534.34,0.916
423,NA,NA,NA,NA,0.529,NA,7554.354,0.909
424,NA,NA,15.497,667.868,0.529,55.82,7574.368,1.02
424,NA,NA,NA,NA,0.526,NA,7594.382,1.234
425,NA,NA,13.02,697.563,0.526,NA,7614.396,1.157
426,NA,NA,NA,NA,0.526,NA,7634.411,0.887
427,NA,NA,10.893,728.177,0.526,NA,7654.425,0.828
428,NA,NA,NA,NA,0.529,NA,7674.439,0.858
429,NA,NA,12.479,748.018,0.529,NA,7694.453,0.939
430,NA,NA,NA,NA,0.532,NA,7714.467,0.898
431,NA,NA,12.783,754.85,0.535,48.56,7734.481,0.898
432,NA,NA,NA,NA,0.538,NA,7754.495,0.735
433,NA,NA,13.272,748.806,0.538,NA,7774.509,0.686
434,-26.393,11.001,NA,NA,0.543,NA,7794.523,0.637
435,NA,NA,13.841,736.192,0.546,NA,7814.537,0.385
436,NA,NA,NA,NA,0.549,NA,7834.551,0.234
437,NA,NA,12.386,722.002,0.556,NA,7854.566,0.11
438,NA,NA,NA,NA,0.559,NA,7874.58,0.098
438,NA,NA,13.525,709.125,0.562,53.77,7894.594,0.227
439,NA,NA,NA,NA,0.565,NA,7914.608,0.399
440,NA,NA,15.232,695.723,0.565,NA,7934.622,0.456
441,NA,NA,NA,NA,0.568,NA,7954.636,-0.054
442,NA,NA,15.313,682.716,0.571,NA,7974.65,0.083
443,NA,NA,NA,NA,0.571,NA,7994.664,0.461
444,NA,NA,16.993,672.73,0.575,NA,8014.678,0.15
445,NA,NA,NA,NA,0.578,NA,8034.692,-0.225
445,NA,NA,18.6,669.708,0.581,46.72,8054.706,0.072
446,NA,NA,NA,NA,0.585,NA,8074.721,-0.292
447,NA,NA,14.428,672.73,0.585,NA,8094.735,-0.316
448,NA,NA,NA,NA,0.585,NA,8114.749,0.448
449,NA,NA,14.053,676.409,0.588,NA,8134.763,0.359
450,NA,NA,NA,NA,0.588,NA,8154.777,0.175
451,NA,NA,13.645,676.54,0.592,NA,8174.791,0.738
451,NA,NA,NA,NA,0.592,NA,8194.805,0.647
452,NA,NA,16.473,673.387,0.595,57.98,8214.819,0.296
453,NA,NA,NA,NA,0.595,NA,8234.833,-0.582
454,NA,NA,16.209,675.489,0.599,30.985,8254.847,-0.685
455,NA,NA,NA,NA,0.602,NA,8274.861,-0.889
456,NA,NA,18.111,690.336,0.606,NA,8294.876,-0.67
456,-26.333,11.318,NA,NA,0.61,NA,8314.89,-0.956
457,NA,NA,16.707,714.513,0.61,NA,8334.904,-1.1
458,NA,NA,NA,NA,0.613,NA,8354.918,-0.987
459,NA,NA,14.918,742.762,0.617,NA,8374.932,-1.065
460,NA,NA,NA,NA,0.621,NA,8394.946,-0.947
460,NA,NA,13.387,771.931,0.625,54.38,8414.96,-0.678
461,NA,NA,NA,NA,0.629,NA,8434.974,-1.027
462,NA,NA,13.954,797.29,0.633,NA,8454.988,-0.775
463,NA,NA,NA,NA,0.637,NA,8475.002,-1.119
464,NA,NA,12.599,813.188,0.637,NA,8495.016,-0.636
464,NA,NA,NA,NA,0.641,NA,8515.031,-0.923
465,NA,NA,13.528,817.524,0.645,52.42,8535.045,-1.269
466,NA,NA,NA,NA,0.645,NA,8555.059,-1.184
467,NA,NA,11.059,812.4,0.649,25.385,8575.073,-0.908
468,NA,NA,NA,NA,0.654,NA,8595.087,-0.671
468,NA,NA,9.137,800.308,0.654,NA,8615.101,-0.628
469,-25.76,11.875,NA,NA,0.641,NA,8635.115,-0.572
