year (AD),age (BP),MS (m3kg-1)
-2508.656,4458.656,1.387e-7
-2528.393,4478.393,1.33e-7
-2548.047,4498.047,1.402e-7
-2567.617,4517.617,1.395e-7
-2587.105,4537.105,1.312e-7
-2606.51,4556.51,1.482e-7
-2625.832,4575.832,1.342e-7
-2645.072,4595.072,1.202e-7
-2664.228,4614.228,1.502e-7
-2683.302,4633.302,1.301e-7
-2702.294,4652.294,1.39e-7
-2721.203,4671.203,1.708e-7
-2740.03,4690.03,1.256e-7
-2758.775,4708.775,1.163e-7
-2777.438,4727.438,1.225e-7
-2796.02,4746.02,1.21e-7
-2814.52,4764.52,1.156e-7
-2832.939,4782.939,1.323e-7
-2851.278,4801.278,1.9e-7
-2869.535,4819.535,1.409e-7
-2887.713,4837.713,1.286e-7
-2905.81,4855.81,9.053e-8
-2923.828,4873.828,2.26e-7
-2941.766,4891.766,1.362e-7
-2959.626,4909.626,1.434e-7
-2977.407,4927.407,1.407e-7
-2995.11,4945.11,1.386e-7
-3012.735,4962.735,1.358e-7
-3030.283,4980.283,1.271e-7
-3047.754,4997.754,1.366e-7
-3065.148,5015.148,1.381e-7
-3082.467,5032.467,1.463e-7
-3099.71,5049.71,1.499e-7
-3116.879,5066.879,1.307e-7
-3133.973,5083.973,1.303e-7
-3150.994,5100.994,1.361e-7
-3167.941,5117.941,1.229e-7
-3184.816,5134.816,1.83e-7
-3201.619,5151.619,1.579e-7
-3218.351,5168.351,1.387e-7
-3235.011,5185.011,1.388e-7
-3251.602,5201.602,1.355e-7
-3268.124,5218.124,1.395e-7
-3284.577,5234.577,1.343e-7
-3300.962,5250.962,1.214e-7
-3317.28,5267.28,1.404e-7
-3333.531,5283.531,1.278e-7
-3349.717,5299.717,1.414e-7
-3365.838,5315.838,1.416e-7
-3381.895,5331.895,1.139e-7
-3397.889,5347.889,1.418e-7
-3413.82,5363.82,1.351e-7
-3429.69,5379.69,1.272e-7
-3445.499,5395.499,1.372e-7
-3461.248,5411.248,1.262e-7
-3476.938,5426.938,1.31e-7
-3492.571,5442.571,1.559e-7
-3508.146,5458.146,1.297e-7
-3523.666,5473.666,1.194e-7
-3539.13,5489.13,1.077e-7
-3554.541,5504.541,1.256e-7
-3569.898,5519.898,1.354e-7
-3585.204,5535.204,1.432e-7
-3600.458,5550.458,1.451e-7
-3615.663,5565.663,1.387e-7
-3630.818,5580.818,1.517e-7
-3645.926,5595.926,1.429e-7
-3660.988,5610.988,1.449e-7
-3676.004,5626.004,1.125e-7
-3690.976,5640.976,1.341e-7
-3705.905,5655.905,1.275e-7
-3720.791,5670.791,1.224e-7
-3735.637,5685.637,1.235e-7
-3750.444,5700.444,1.644e-7
-3765.212,5715.212,1.335e-7
-3779.944,5729.944,1.547e-7
-3794.639,5744.639,1.161e-7
-3809.301,5759.301,1.278e-7
-3823.929,5773.929,1.367e-7
-3838.525,5788.525,1.417e-7
-3853.091,5803.091,2.06e-7
-3867.628,5817.628,1.479e-7
-3882.138,5832.138,1.292e-7
-3896.621,5846.621,2.762e-7
-3911.079,5861.079,1.263e-7
-3925.514,5875.514,1.351e-7
-3939.927,5889.927,2.443e-7
-3954.319,5904.319,1.298e-7
-3968.692,5918.692,1.298e-7
-3983.048,5933.048,1.264e-7
-3997.388,5947.388,1.369e-7
-4011.714,5961.714,1.348e-7
-4026.026,5976.026,1.367e-7
-4040.328,5990.328,1.259e-7
-4054.619,6004.619,1.239e-7
-4068.903,6018.903,1.301e-7
-4083.18,6033.18,1.241e-7
-4097.452,6047.452,1.182e-7
-4111.721,6061.721,1.092e-7
-4125.989,6075.989,1.413e-7
-4140.257,6090.257,1.068e-7
-4154.527,6104.527,1.17e-7
-4168.8,6118.8,1.406e-7
-4183.079,6133.079,1.295e-7
-4197.365,6147.365,1.794e-7
-4211.66,6161.66,1.192e-7
-4225.966,6175.966,1.259e-7
-4240.285,6190.285,1.039e-7
-4254.618,6204.618,1.077e-7
-4268.967,6218.967,1.127e-7
-4283.334,6233.334,1.19e-7
-4297.722,6247.722,1.387e-7
-4312.131,6262.131,1.33e-7
-4326.565,6276.565,1.307e-7
-4341.024,6291.024,1.267e-7
-4355.511,6305.511,1.347e-7
-4370.028,6320.028,1.419e-7
-4384.576,6334.576,1.156e-7
-4399.159,6349.159,1.161e-7
-4413.777,6363.777,1.187e-7
-4428.433,6378.433,1.317e-7
-4443.129,6393.129,1.303e-7
-4457.867,6407.867,1.235e-7
-4472.649,6422.649,1.276e-7
-4487.477,6437.477,1.13e-7
-4502.354,6452.354,1.21e-7
-4517.281,6467.281,1.089e-7
-4532.261,6482.261,1.183e-7
-4547.296,6497.296,1.183e-7
-4562.388,6512.388,1.228e-7
-4577.54,6527.54,1.406e-7
-4592.753,6542.753,1.43e-7
-4608.029,6558.029,1.309e-7
-4623.372,6573.372,1.498e-7
-4638.783,6588.783,1.509e-7
-4654.265,6604.265,1.698e-7
-4669.82,6619.82,1.402e-7
-4685.45,6635.45,1.479e-7
-4701.159,6651.159,1.366e-7
-4716.947,6666.947,1.412e-7
-4732.817,6682.817,1.335e-7
-4748.773,6698.773,1.342e-7
-4764.816,6714.816,1.413e-7
-4780.949,6730.949,1.348e-7
-4797.174,6747.174,1.501e-7
-4813.494,6763.494,1.386e-7
-4829.911,6779.911,1.138e-7
-4846.428,6796.428,1.269e-7
-4863.048,6813.048,1.468e-7
-4879.772,6829.772,1.24e-7
-4896.604,6846.604,1.216e-7
-4913.545,6863.545,1.317e-7
-4930.6,6880.6,1.212e-7
-4947.77,6897.77,1.24e-7
-4965.058,6915.058,1.149e-7
-4982.466,6932.466,1.321e-7
-4999.998,6949.998,1.318e-7
-5017.655,6967.655,1.54e-7
-5035.442,6985.442,1.224e-7
-5053.359,7003.359,1.29e-7
-5071.411,7021.411,1.282e-7
-5089.6,7039.6,1.316e-7
-5107.929,7057.929,1.356e-7
-5126.4,7076.4,1.366e-7
-5145.017,7095.017,1.216e-7
-5163.781,7113.781,1.136e-7
-5182.697,7132.697,1.437e-7
-5201.767,7151.767,1.227e-7
-5220.993,7170.993,1.278e-7
-5240.379,7190.379,1.319e-7
-5259.928,7209.928,1.36e-7
-5279.643,7229.643,1.387e-7
-5299.526,7249.526,1.517e-7
-5319.58,7269.58,1.27e-7
-5339.809,7289.809,1.293e-7
-5360.215,7310.215,1.286e-7
-5380.803,7330.803,1.136e-7
-5401.573,7351.573,1.25e-7
-5422.53,7372.53,1.222e-7
-5443.678,7393.678,1.255e-7
-5465.017,7415.017,1.282e-7
-5486.553,7436.553,1.252e-7
-5508.288,7458.288,1.173e-7
-5530.226,7480.226,1.78e-7
-5552.368,7502.368,1.321e-7
-5574.719,7524.719,1.289e-7
-5597.282,7547.282,1.312e-7
-5620.06,7570.06,1.277e-7
-5643.057,7593.057,1.317e-7
-5666.275,7616.275,1.27e-7
-5689.717,7639.717,1.26e-7
-5713.388,7663.388,1.262e-7
-5737.29,7687.29,1.229e-7
-5761.427,7711.427,1.254e-7
-5785.802,7735.802,1.424e-7
-5810.419,7760.419,1.374e-7
-5835.28,7785.28,1.258e-7
-5860.389,7810.389,1.435e-7
-5885.751,7835.751,1.259e-7
-5911.367,7861.367,1.358e-7
-5937.241,7887.241,1.346e-7
-5963.378,7913.378,1.489e-7
-5989.78,7939.78,1.387e-7
-6016.451,7966.451,1.347e-7
-6043.395,7993.395,1.332e-7
-6070.615,8020.615,1.268e-7
-6098.114,8048.114,1.335e-7
-6125.896,8075.896,1.418e-7
-6153.965,8103.965,1.346e-7
-6182.325,8132.325,1.428e-7
-6210.978,8160.978,1.887e-7
-6239.929,8189.929,1.467e-7
-6269.181,8219.181,1.363e-7
-6298.739,8248.739,1.423e-7
-6328.605,8278.605,1.457e-7
-6358.783,8308.783,1.488e-7
-6389.277,8339.277,1.452e-7
-6420.092,8370.092,1.513e-7
-6451.229,8401.229,1.549e-7
-6482.695,8432.695,1.496e-7
-6514.491,8464.491,1.474e-7
-6546.623,8496.623,1.513e-7
-6579.093,8529.093,1.649e-7
-6611.906,8561.906,1.599e-7
-6645.065,8595.065,1.584e-7
-6678.575,8628.575,1.618e-7
-6712.44,8662.44,1.697e-7
-6746.662,8696.662,1.99e-7
-6781.247,8731.247,1.897e-7
-6816.198,8766.198,2.099e-7
-6851.519,8801.519,1.779e-7
-6887.215,8837.215,1.776e-7
-6923.288,8873.288,1.716e-7
-6959.744,8909.744,2.132e-7
-6996.586,8946.586,2.007e-7
-7033.818,8983.818,1.715e-7
-7071.445,9021.445,1.346e-7
-7109.47,9059.47,1.434e-7
-7147.897,9097.897,1.631e-7
-7186.732,9136.732,1.422e-7
-7225.977,9175.977,1.501e-7
-7265.637,9215.637,1.601e-7
-7305.717,9255.717,1.884e-7
-7346.22,9296.22,1.836e-7
-7387.15,9337.15,2.071e-7
-7428.513,9378.513,1.886e-7
-7470.311,9420.311,1.939e-7
-7512.55,9462.55,2.182e-7
-7555.234,9505.234,2.447e-7
-7598.367,9548.367,2.519e-7
-7641.953,9591.953,3.5620000000000003e-07
-7685.997,9635.997,3.736e-7
-7730.502,9680.502,4.103e-7
-7775.475,9725.475,4.136e-7
-7820.918,9770.918,4.525e-7
-7866.836,9816.836,3.737e-7
-7913.234,9863.234,3.152e-7
-7960.116,9910.116,5.03e-7
-8007.487,9957.487,6.989e-7
-8055.35,10005.35,8.573e-7
-8103.711,10053.711,1.11e-6
-8152.575,10102.575,1.576e-6
-8201.945,10151.945,1.896e-6
-8251.826,10201.826,1.974e-6
-8302.223,10252.223,1.626e-6
-8353.14,10303.14,1.316e-6
-8404.582,10354.582,1.054e-6
-8456.554,10406.554,9.192e-7
-8509.059,10459.059,6.209e-7
-8562.104,10512.104,4.583e-7
-8615.692,10565.692,3.947e-7
-8669.829,10619.829,4.108e-7
-8724.518,10674.518,3.948e-7
-8779.765,10729.765,3.19e-7
-8835.575,10785.575,2.996e-7
-8891.951,10841.951,3.324e-7
-8948.9,10898.9,3.33e-7
-9006.425,10956.425,2.89e-7
