year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
1012.4,937.6,30.4,-16.91,-1.95
997.6,952.4,30.8,-16.4,-1.67
982.8,967.2,31.2,-16.61,-1.27
968.1,981.9,31.5,-16.64,-1.52
953.7,996.3,31.9,-16.71,-1.66
939.8,1010.2,32.2,-16.4,-1.82
925.9,1024.1,32.5,-16.36,-1.68
911.9,1038.1,32.9,-16.29,-1.43
898,1052,33.2,-16.88,-1.59
884,1066,33.6,-16.56,-1.84
870.1,1079.9,33.9,-17.36,-1.93
857.8,1092.2,34.2,-16.78,-2.3
846.3,1103.7,34.6,-16.85,-2.19
834.7,1115.3,34.9,-16.27,-1.98
824.4,1125.6,35.3,-16.23,-2.01
814.4,1135.6,35.6,-16.34,-2.06
804.3,1145.7,36,-16.68,-2.27
794.5,1155.5,36.4,-16.61,-2.24
784.8,1165.2,36.7,-17.07,-2.23
771.1,1178.9,37.2,-16.85,-2.19
756,1194,37.7,-17.3,-2.47
741.2,1208.8,38.3,-16.83,-2.38
726.6,1223.4,38.8,-17.34,-2.6
711.6,1238.4,39.4,-16.8,-2.73
701.6,1248.4,39.7,-16.98,-2.54
693.2,1256.8,40,-17,-2.98
685.1,1264.9,40.3,-16.94,-3.12
677,1273,40.6,-17.13,-2.75
668.9,1281.1,40.9,-17.39,-2.58
658,1292,41.3,-16.84,-2.13
646.3,1303.7,41.7,-16.79,-2.07
634.5,1315.5,42.2,-16.92,-1.99
622.8,1327.2,42.6,-17.21,-2.83
611,1339,43,-17.04,-2.74
601.3,1348.7,43.4,-17.56,-2.66
592.1,1357.9,43.7,-17.09,-2.86
582.9,1367.1,44,-17.82,-2.53
573.4,1376.6,44.4,-17.52,-1.52
563.8,1386.2,44.7,-17.44,-0.95
552.5,1397.5,45.1,-17.25,-1.87
540.6,1409.4,45.6,-17.54,-2.28
528.7,1421.3,46,-17.31,-2.61
525.6,1424.4,46.1,-17.23,-2.61
516.4,1433.6,46.5,-17.9,-1.81
504.1,1445.9,46.9,-17.56,-2.17
492.9,1457.1,47.3,-17.58,-1.65
482.1,1467.9,47.7,-17.11,-2.08
471.2,1478.8,48.1,-17.77,-2.32
466.2,1483.8,48.3,-17.31,-2.16
460,1490,48.5,-17.34,-2.56
448.8,1501.2,48.9,-17.64,-2.25
438.2,1511.8,49.3,-17.84,-2.3
427.9,1522.1,49.7,-18.12,-1.67
417.6,1532.4,50,-17.85,-2.36
413.1,1536.9,50.2,-17.7,-2.42
407,1543,50.4,-17.65,-1.95
396.3,1553.7,50.8,-17.65,-1.85
385.7,1564.3,51.2,-17.82,-2.13
374.6,1575.4,51.5,-17.28,-2.16
363.4,1586.6,51.9,-17.74,-2.54
353.8,1596.2,52.2,-17.83,-2.34
352.2,1597.8,52.3,-17.62,-2.61
341.1,1608.9,52.6,-17.8,-2.22
330.2,1619.8,53,-17.45,-2.07
319.7,1630.3,53.3,-17.91,-2.48
309.2,1640.8,53.6,-17.53,-2.13
298.6,1651.4,54,-17.45,-2.21
291.8,1658.2,54.2,-17.51,-2.43
288.1,1661.9,54.3,-17.04,-2.29
276.3,1673.7,54.7,-17.66,-2.54
263.9,1686.1,55.1,-17.48,-2.41
251.5,1698.5,55.5,-17.56,-2.41
239.1,1710.9,55.9,-17.21,-2.32
226.7,1723.3,56.3,-17.2,-2.19
226.7,1723.3,56.3,-17.54,-2.27
216.5,1733.5,56.6,-17.12,-1.97
207.2,1742.8,56.9,-17.46,-2.3
197.9,1752.1,57.2,-17.13,-2.48
188.6,1761.4,57.5,-17.65,-2.74
179.3,1770.7,57.8,-17.53,-2.67
172.7,1777.3,58,-17.55,-2.84
157.5,1792.5,58.2,-17.62,-3.09
127.1,1822.9,58.7,-17.49,-2.62
96.6,1853.4,59.2,-17.56,-2.89
65.8,1884.2,59.6,-17.39,-2.82
35,1915,60.1,-17.85,-3.01
34.3,1915.7,60.1,-17.84,-3.03
7.5,1942.5,60.5,-17.69,-3.06
-19.3,1969.3,60.9,-17.75,-3.13
-42.5,1992.5,61.2,-17.44,-3.12
-64.3,2014.3,61.6,-17.71,-3.3
-86.7,2036.7,61.9,-17.3,-3.07
-92.7,2042.7,62,-17.69,-3.52
-126.8,2076.8,62.5,-17.46,-3.17
-173.7,2123.7,63.2,-17.43,-2.9
-200.5,2150.5,63.6,-17.43,-3.01
-220.6,2170.6,63.9,-17.53,-3.14
-267.5,2217.5,64.6,-17.31,-2.91
-314.1,2264.1,65.3,-17.45,-2.45
-345.8,2295.8,65.8,-16.92,-2.31
-372.4,2322.4,66.2,-17.13,-2.52
-372.4,2322.4,66.2,-17.04,-2.56
-550.4,2500.4,68.9,-16.51,-1.92
-615.3,2565.3,69.8,-16.5,-2.36
-663.5,2613.5,70.6,-17.05,-2.98
-711.8,2661.8,71.3,-17.33,-2.78
-766.6,2716.6,72.1,-16.78,-2.41
-806.2,2756.2,72.7,-17.16,-2.99
-846.1,2796.1,73.3,-17.13,-2.2
-904.4,2854.4,74.2,-17.02,-2.4
-948.6,2898.6,74.8,-16.8,-3.03
-992.3,2942.3,75.5,-17.14,-3.06
-1052,3002,76.5,-16.76,-2.94
-1092.1,3042.1,77.3,-17.08,-2.9
-1132.6,3082.6,78.1,-17.73,-2.78
-1178.5,3128.5,79,-17.39,-2.01
-1212.1,3162.1,79.6,-17.77,-2.01
-1245.8,3195.8,80.3,-17.45,-2.92
-1290.7,3240.7,81.2,-17.14,-2.83
-1324.3,3274.3,81.8,-17.47,-2.68
-1358,3308,82.5,-17.31,-2.19
-1399.3,3349.3,83.3,-17.76,-2.76
-1429.9,3379.9,83.9,-17.36,-1.83
-1460.5,3410.5,84.5,-17.27,-1.39
-1501.3,3451.3,85.3,-17.97,-2.94
-1531.9,3481.9,85.9,-16.97,-2.37
-1562.5,3512.5,86.5,-17.42,-2.36
-1606.9,3556.9,87.4,-17.71,-2.75
-1640.5,3590.5,88,-17.81,-2.27
-1674.2,3624.2,88.7,-18.02,-2.12
-1722.6,3672.6,89.6,-17.77,-2.28
-1759.4,3709.4,90.4,-17.78,-1.89
-1796.1,3746.1,91.1,-17.74,-1.85
-1824.6,3774.6,91.6,-17.3,-2.33
-1845,3795,92,-17.69,-1.76
-1881.8,3831.8,92.8,-17.8,-2.16
-1918.5,3868.5,93.5,-18.3,-3.4
-1948.6,3898.6,94.1,-18.33,-2.53
-1965.4,3915.4,94.4,-17.97,-2.58
-2000.6,3950.6,95.1,-18.21,-2.52
-2035.8,3985.8,95.8,-18.69,-3.33
-2066.9,4016.9,96.4,-18.22,-3.57
-2084.7,4034.7,96.7,-17.93,-3.44
-2121.9,4071.9,97.5,-17.86,-3.44
-2159.2,4109.2,98.2,-17.94,-3.24
-2185.2,4135.2,98.7,-18.08,-3.28
-2202.5,4152.5,99,-17.84,-2.83
-2234.7,4184.7,99.7,-17.79,-2.81
-2258.6,4208.6,100.1,-17.93,-2.7
-2266.8,4216.8,100.3,-17.83,-2.75
-2302.5,4252.5,101,-17.72,-2.54
-2328.5,4278.5,101.5,-17.68,-2.61
-2354.5,4304.5,102,-17.61,-2.4
-2364.2,4314.2,102.2,-17.7,-2.88
-2394.8,4344.8,102.8,-17.81,-2.42
-2425.4,4375.4,103.4,-17.44,-1.93
-2456,4406,104,-17.72,-2
-2461.6,4411.6,104.1,-17.82,-1.92
-2496.8,4446.8,104.8,-17.97,-2.33
-2527.4,4477.4,105.4,-18.04,-2.46
-2558,4508,106,-18.32,-2.03
-2563.1,4513.1,106.1,-18.36,-2.4
-2601.4,4551.4,106.8,-18.17,-1.79
-2634,4584,107.5,-18.27,-1.57
-2655.4,4605.4,107.9,-18.19,-2.42
-2671.7,4621.7,108.2,-18.26,-2.04
-2723.8,4673.8,109.2,-18.27,-2.28
-2747.2,4697.2,109.7,-18.39,-2.55
-2762.5,4712.5,110,-18.08,-2.71
-2801.3,4751.3,110.8,-18.36,-3.19
-2839,4789,111.5,-18.38,-2.96
-2848.7,4798.7,111.7,-18.07,-2.9
-2883.9,4833.9,112.4,-18.24,-2.89
-2919.1,4869.1,113.1,-18.35,-3.26
-2930.8,4880.8,113.3,-18.44,-3.48
-2978.6,4928.6,114.3,-18.16,-3.45
-3015.2,4965.2,115.1,-18.59,-3.92
-3019,4969,115.2,-18.23,-3.68
-3054.5,5004.5,116.1,-18.4,-3.7
-3089.1,5039.1,117,-18.23,-3.46
-3099,5049,117.3,-18.44,-3.69
-3113.1,5063.1,117.7,-18.12,-3.42
-3137,5087,118.3,-18.27,-4.03
-3157.2,5107.2,118.8,-18.52,-3.58
-3167.9,5117.9,119.1,-18.25,-3.91
-3191.3,5141.3,119.7,-18.18,-3.8
-3214.4,5164.4,120.3,-18.37,-3.7
-3233.4,5183.4,120.8,-18.44,-3.22
-3244.9,5194.9,121.1,-18.1,-3.28
-3291.4,5241.4,122.3,-18.8,-3.71
-3310.4,5260.4,122.8,-18.57,-3.63
-3321.8,5271.8,123.1,-18.35,-3.33
-3344.6,5294.6,123.7,-18.38,-3.57
-3367.7,5317.7,124.3,-18.62,-3.64
-3387.2,5337.2,124.8,-18.55,-3.6
-3399.9,5349.9,125.1,-18.22,-3.39
-3423.9,5373.9,125.8,-18.25,-3.19
-3447.8,5397.8,126.4,-18.43,-2.9
-3449,5399,126.4,-18.26,-3.14
-3474.1,5424.1,127.1,-18.2,-2.81
-3495.6,5445.6,127.6,-18.27,-2.84
-3523.2,5473.2,128.4,-18.29,-2.91
-3523.2,5473.2,128.4,-18.19,-3.13
-3556.3,5506.3,129.4,-18.14,-2.41
-3580.2,5530.2,130.2,-18.19,-2.18
-3586.4,5536.4,130.4,-18.49,-3.23
-3604.1,5554.1,131,-18.38,-1.9
-3635.1,5585.1,132,-18.22,-1.81
-3648.4,5598.4,132.4,-18.21,-2.75
-3658.3,5608.3,132.7,-18.29,-2.12
-3681.6,5631.6,133.5,-18.36,-2.57
-3710.8,5660.8,134.4,-18.42,-2.37
-3713,5663,134.5,-18.26,-2.48
-3736.8,5686.8,135.2,-18.33,-2.11
-3760.1,5710.1,136,-17.96,-1.59
-3773.4,5723.4,136.4,-18.65,-1.75
-3791.1,5741.1,137,-18.25,-0.84
-3814.3,5764.3,137.7,-18.03,-1.77
-3835.4,5785.4,138.4,-17.78,-1.61
-3837.6,5787.6,138.5,-17.95,-1.57
-3856.8,5806.8,139.1,-17.86,-1.71
-3869.8,5819.8,139.5,-18.15,-1.58
-3882.8,5832.8,139.9,-18.16,-1.37
-3894.3,5844.3,140.3,-18.35,-2.26
-3907.6,5857.6,140.7,-18.09,-1.9
-3927.5,5877.5,141.4,-18.06,-1.45
-3947.7,5897.7,142,-18.65,-1.88
-3960.7,5910.7,142.4,-18.37,-2.17
-3977.1,5927.1,142.9,-18.36,-1.33
-3985.2,5935.2,143.2,-18.41,-1.58
-4003.8,5953.8,143.8,-18.52,-2.17
-4022.4,5972.4,144.4,-18.26,-1.56
-4046,5996,145.2,-18.52,-1.14
-4063.6,6013.6,145.7,-18.39,-0.82
-4081.3,6031.3,146.3,-18.62,-1.54
-4090.9,6040.9,146.6,-18.5,-2.45
-4107,6057,147.1,-18.35,-1.2
-4126.6,6076.6,147.8,-18.12,-1.18
-4146.5,6096.5,148.4,-18.36,-1.67
-4150,6100,148.5,-18.21,-1.79
-4172.2,6122.2,149.2,-18.08,-1.55
-4190.8,6140.8,149.8,-17.93,-1.46
-4209.4,6159.4,150.4,-18.14,-1.32
-4212.5,6162.5,150.5,-17.7,-1.01
-4234.2,6184.2,151.2,-17.81,-1.84
-4252.8,6202.8,151.8,-18.03,-1.69
-4271.4,6221.4,152.4,-18.01,-2.45
-4274.5,6224.5,152.5,-18.19,-2.76
-4295.8,6245.8,153.2,-17.9,-2.24
-4313.2,6263.2,153.8,-18.04,-1.87
-4330.2,6280.2,154.4,-17.76,-1.74
-4333,6283,154.5,-18.04,-2.16
-4352.8,6302.8,155.2,-17.47,-1.48
-4370.2,6320.2,155.8,-17.89,-1.87
-4387.2,6337.2,156.4,-18.08,-1.65
-4387.5,6337.5,156.4,-18.24,-1.6
-4409.8,6359.8,157.2,-18.15,-1.7
-4427.2,6377.2,157.8,-17.82,-1.13
-4444.2,6394.2,158.4,-18.29,-1.66
-4444.2,6394.2,158.4,-18.27,-1.4
-4464.8,6414.8,159.1,-18.31,-2.43
-4480.4,6430.4,159.7,-18.1,-1.57
-4495.9,6445.9,160.2,-18.28,-1.33
-4501.2,6451.2,160.4,-17.89,-1.81
-4518.9,6468.9,161,-18.19,-1.16
-4537.1,6487.1,161.7,-18.28,-1.38
-4555.1,6505.1,162.3,-18.23,-2.45
-4558.2,6508.2,162.4,-18,-1.52
-4577.9,6527.9,163.1,-17.91,-1.86
-4595.3,6545.3,163.7,-18.26,-1.86
-4612.4,6562.4,164.3,-18.21,-1.75
-4612.7,6562.7,164.3,-18.13,-1.94
-4634.9,6584.9,165.1,-18.05,-1.58
-4652.3,6602.3,165.7,-18.02,-1.62
-4669.4,6619.4,166.3,-18.58,-1.38
-4669.4,6619.4,166.3,-18.28,-1.68
-4695.4,6645.4,167.2,-18.23,-1.36
-4713.9,6663.9,167.9,-18.1,-1.14
-4721.1,6671.1,168.1,-18.11,-2.16
-4731.7,6681.7,168.5,-18.09,-1.59
-4754.7,6704.7,169.3,-18.06,-1.5
-4772.1,6722.1,169.9,-18.17,-1.58
-4777.8,6727.8,170.1,-18.13,-1.75
-4789,6739,170.5,-17.88,-1.92
-4811.7,6761.7,171.3,-17.88,-1.86
-4829.1,6779.1,171.9,-17.73,-2.04
-4834.8,6784.8,172.1,-18.09,-2.02
-4846,6796,172.5,-18.52,-2.3
-4868.7,6818.7,173.3,-18.09,-2.17
-4886.1,6836.1,173.9,-18.02,-1.69
-4891.9,6841.9,174.1,-18.08,-1.9
-4903.5,6853.5,174.5,-17.96,-1.75
-4927.6,6877.6,175.3,-17.62,-2.07
-4945.8,6895.8,176,-18.09,-1.26
-4949.9,6899.9,176.1,-18.62,-1.58
-4964.1,6914.1,176.6,-18.57,-1.17
-4982.4,6932.4,177.2,-18.49,-1.64
-4995.4,6945.4,177.7,-18.56,-1.48
-5007.9,6957.9,178.1,-18.1,-1.78
-5008.5,6958.5,178.1,-17.82,-1.23
-5031.1,6981.1,178.9,-18.19,-1.03
-5048,6998,179.5,-17.81,-1.04
-5064.9,7014.9,180.1,-18.38,-1.38
-5067.8,7017.8,180.2,-18.2,-2.17
-5091.6,7041.6,181,-17.99,-1.4
-5111.9,7061.9,181.7,-18.21,-1.52
-5125.8,7075.8,182.2,-18.35,-2.27
-5178.3,7128.3,184,-18.54,-1.76
-5294,7244,188,-18.09,-2.13
-5403.5,7353.5,191.8,-18.32,-1.21
-5461.2,7411.2,193.8,-18.39,-2.9
-5519.2,7469.2,195.8,-18.19,-2.59
-5574.8,7524.8,197.7,-18.05,-3.21
-5623.2,7573.2,199.4,-18.26,-2.96
-5680.6,7630.6,201.4,-18.39,-3.01
-5738.6,7688.6,203.4,-17.87,-2.73
-5795.6,7745.6,205.4,-17.83,-2.93
-6822.8,8772.8,229.4,-16.81,-2.03
-6889.4,8839.4,230.4,-16.77,-1.53
-6981.8,8931.8,231.8,-16.58,-1.95
-7078.5,9028.5,233.3,-16.28,-0.9
-7150.4,9100.4,234.3,-16.49,-1.7
