year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-8700,10650,10758.154,18.51,0.668,180.601
-8750,10700,10809.432,18.48,0.667,160.617
-8800,10750,10860.32,17.99,0.651,136.468
-8850,10800,10909.507,17.65,0.639,105.342
-8880,10830,10938.761,17.8,0.644,105.413
-8890,10840,10960.421,17.42,0.631,116.324
-8910,10860,10981.691,17.39,0.63,125.782
-8930,10880,11002.773,17.52,0.635,134.066
-8950,10900,11023.735,17.5,0.634,141.372
-8960,10910,11044.609,17.52,0.635,147.841
-8980,10930,11065.414,17.69,0.64,153.575
-9000,10950,11086.16,17.38,0.63,158.654
-9010,10960,11106.857,18.53,0.669,163.136
-9030,10980,11127.51,19.35,0.697,167.068
-9050,11000,11148.122,18.85,0.68,170.488
-9060,11010,11168.698,18.24,0.659,173.426
-9080,11030,11189.238,18.04,0.652,175.905
-9100,11050,11209.746,18.29,0.661,177.944
-9120,11070,11230.221,18.2,0.658,179.556
-9130,11080,11250.665,16.94,0.615,180.754
-9150,11100,11271.077,17.38,0.63,181.545
-9170,11120,11291.458,17.99,0.651,181.933
-9180,11130,11311.808,18.43,0.666,181.922
-9200,11150,11332.124,17.86,0.646,181.51
-9220,11170,11352.407,19.84,0.713,180.694
-9230,11180,11372.654,20.35,0.731,179.468
-9250,11200,11392.862,19.44,0.7,177.824
-9270,11220,11413.028,19.08,0.688,175.749
-9280,11230,11433.148,18.57,0.67,173.227
-9300,11250,11453.214,18.46,0.666,170.237
-9320,11270,11473.217,18.78,0.678,166.752
-9340,11290,11493.142,19.09,0.688,162.741
-9350,11300,11512.966,19.15,0.69,158.16
-9370,11320,11532.643,19.28,0.694,152.955
-9390,11340,11552.065,20.03,0.72,147.052
-9400,11350,11570.399,19.63,0.706,140.31
-9450,11400,11592.018,19.63,0.707,151.603
-9520,11470,11611.656,20.35,0.731,164.572
-9640,11590,11651.529,20.23,0.727,188.754
-9700,11650,11671.588,19.73,0.71,200.04
-9760,11710,11691.694,20.34,0.731,210.879
-9890,11840,11732.002,18.66,0.674,231.443
-9920,11870,11742.094,19.5,0.702,236.384
-9950,11900,11752.192,18.16,0.656,241.255
