depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol)
1.24,3357,27.8,NA,-1.09,5.17
1.26,3409,28.9,-1.86,-1.31,5.79
1.28,3461,26.2,-2.08,-1.34,4.39
1.3,3513,26.7,-1.86,-1.32,4.63
1.32,3565,27.3,-2.07,-1.26,4.92
1.34,3617,27.6,-1.93,-1.29,5.06
1.36,3669,26.7,-1.93,-1.08,4.65
1.38,3721,26.3,-2.23,-1.22,4.46
1.4,3773,26.8,-2.05,-1.2,4.7
1.42,3825,25.8,-1.97,-1.02,4.23
1.44,3877,26.5,-2,-1.2,4.52
1.46,3928,28.4,-2.06,-1.21,5.51
1.48,3980,26.7,-1.97,-0.74,4.64
1.5,4032,26.7,-2.16,-1.3,4.62
1.52,4084,26.4,-1.99,-1.1,4.47
1.54,4136,26.9,-1.95,-1.12,4.72
1.56,4188,26.4,-1.88,-1.09,4.51
1.58,4240,25.8,-2.06,-0.98,4.24
1.6,4292,25.7,-2,-0.98,4.19
1.62,4344,27.4,-2.09,-1.09,4.95
1.64,4396,26.3,-1.99,-1.17,4.43
1.66,4448,25.9,-1.92,-0.98,4.25
1.68,4500,26.1,-1.72,-0.88,4.34
1.7,4627,25.9,-2.01,-1.14,4.26
1.72,4753,NA,-1.78,-1.21,NA
1.74,4880,25.9,-1.82,-1.21,4.25
1.76,5007,26.2,-2.03,-1.06,4.38
1.78,5133,26.1,-1.68,-0.84,4.38
1.8,5260,26.5,-1.76,-1.09,4.54
1.82,5299,26.8,-1.45,-0.95,4.69
1.84,5338,25.8,-2.03,-1.05,4.2
1.86,5377,NA,-2.15,-0.93,NA
1.88,5416,26.6,-2,-1.11,4.6
1.9,5455,26,-2.1,-1.04,4.33
1.92,5494,27.1,-1.89,NA,4.82
1.94,5533,25.8,-2.04,-1.26,4.24
1.96,5572,27.6,-2.09,-0.88,5.09
1.98,5611,26.7,-2.1,-1.14,4.63
2,5650,26.7,-1.87,-1.38,4.63
2.02,5689,27.2,-2.05,-1.19,4.87
2.04,5728,27,-2.02,-1,4.77
2.06,5767,28.9,-2.25,-1.05,5.79
2.08,5806,28.3,-2.22,-0.99,5.45
2.1,5845,27,-1.97,-0.96,4.77
2.12,5884,28.7,-2.34,-1.27,5.67
2.14,5923,26.9,-1.88,-0.79,4.73
2.16,5962,28.3,-2.12,-1.07,5.44
2.18,6001,26.3,-1.92,-0.89,4.45
2.2,6040,27.1,-2.05,-1.06,4.81
2.22,6106,27.6,-1.84,-1.15,5.09
2.24,6172,28.5,-1.97,-1.18,5.58
2.26,6238,27.7,-2.08,-1.09,5.15
2.28,6304,27.2,-1.86,-1.15,4.88
2.3,6370,28.1,-2.05,-1.34,5.36
2.32,6437,29,-2.04,-0.97,5.87
2.34,6503,27.3,-2.17,-0.99,4.9
2.36,6569,27,-1.83,-1.03,4.76
2.38,6635,27.4,-2.05,-1,4.99
2.4,6701,27.1,-2.1,-1.18,4.81
2.42,6767,27.1,-1.92,NA,4.83
2.44,6833,26.7,-1.5,-1.15,4.64
2.46,6899,27.9,-2.14,-0.75,5.24
2.48,6965,27.4,-1.9,-1.3,4.96
2.5,7031,29.6,-2.13,-1.21,6.25
2.52,7097,27.3,-1.99,-1.22,4.91
2.54,7163,27.6,-1.98,-1.12,5.06
2.56,7230,29.2,-2,-1.03,5.95
2.58,7296,27.5,-1.86,-1.22,5.01
2.6,7362,27.7,-1.93,-1.26,5.12
2.62,7428,26.7,-2.18,-1.04,4.62
2.64,7494,27.5,-1.6,-0.99,5.02
2.66,7560,27.1,-1.69,-0.78,4.83
2.68,7578,27.3,-1.91,-1.29,4.93
2.7,7596,27,-1.87,-0.78,4.75
2.72,7614,27.4,-1.96,-1.13,4.99
2.74,7632,27.5,-1.89,-1.03,5.03
2.76,7650,27.6,-2.13,-0.98,5.05
2.78,7667,27.5,-1.96,-1.05,5.01
2.8,7685,28.2,-2.22,-0.66,5.4
2.82,7703,27.5,-1.93,-0.87,5.02
2.84,7721,27.3,-1.77,-1.18,4.94
2.88,7757,26.5,-1.79,-1.17,4.52
2.9,7775,28.7,-1.87,-1.12,5.66
2.92,7793,25,-1.72,NA,3.91
2.94,7811,26,-1.92,-1.01,4.31
2.96,7829,26.8,-1.74,-1.04,4.68
2.98,7847,26,-1.99,-1.2,4.29
3,7864,26.8,-1.99,-1.08,4.7
3.02,7882,NA,NA,-1.26,NA
3.04,7900,26.9,-1.88,-1,4.72
3.06,7918,27,-1.99,-0.98,4.8
3.08,7936,NA,NA,-1.07,NA
3.1,7954,25.9,-2.06,-1.13,4.25
3.12,7972,27,-1.68,-1.13,4.75
3.14,7990,25.8,-1.71,-0.93,4.24
3.16,8008,27.6,-1.94,-1.2,5.08
3.18,8026,26.3,-2,-1.22,4.46
3.2,8043,27.2,-1.85,-0.68,4.87
3.22,8061,26.6,-1.76,-0.97,4.57
3.24,8079,26.7,-1.87,-1.02,4.62
3.26,8097,25.9,-1.85,-0.85,4.27
3.28,8115,26.6,-1.33,-1.12,4.57
3.3,8133,26.5,-1.86,-1.03,4.54
3.32,8151,26.7,-1.81,-0.95,4.65
3.34,8169,27.4,-1.73,-0.98,4.99
3.36,8187,25.5,-1.81,-0.9,4.1
3.38,8205,26.2,-1.74,-0.56,4.39
3.4,8223,26.5,-1.74,NA,4.53
3.42,8240,25.9,-1.58,-1.13,4.26
3.44,8258,25.6,-1.87,-1.05,4.13
3.46,8276,27.7,-1.68,-0.86,5.12
3.48,8294,25.8,-1.84,-0.9,4.21
3.5,8312,26.8,-1.87,-0.8,4.67
3.52,8330,26.1,-1.66,NA,4.37
3.54,8358,26.1,-1.36,-1.05,4.36
3.56,8386,26.9,-1.95,-1.1,4.72
3.58,8415,26.5,-1.69,-0.95,4.55
3.6,8443,26.7,-1.52,-1.24,4.62
3.62,8471,26.2,-1.88,-0.71,4.39
3.64,8499,26,-1.72,-1.03,4.32
3.66,8527,26.5,-1.75,-1.15,4.56
3.68,8555,26.2,-1.84,-0.83,4.42
3.7,8584,25.4,-1.57,-0.61,4.05
3.72,8612,27.6,-1.78,-1.14,5.06
3.74,8640,26,-1.86,-0.9,4.29
3.76,8668,26.8,-1.87,-0.86,4.68
3.78,8696,26.2,-1.82,-1.08,4.42
3.8,8724,26.7,-1.7,-0.91,4.65
3.82,8753,26.2,-1.96,-0.98,4.39
3.84,8781,25.7,-2,-1.02,4.2
3.86,8809,26.1,-1.85,-0.82,4.34
3.88,8837,27.6,-1.45,-1.05,5.08
3.9,8865,27.2,-1.93,-0.77,4.87
3.92,8893,26.2,-1.7,NA,4.4
3.94,8922,26.2,-1.99,-1.14,4.42
3.96,8950,26.6,-1.86,-1.17,4.59
3.98,8978,27.5,-1.82,-0.49,5.03
4,9006,25.6,-1.89,-1.03,4.12
4.02,9034,26.4,-1.77,-1.13,4.48
4.04,9062,27.1,-1.87,NA,4.81
4.06,9091,26.8,-1.91,-1.07,4.68
4.08,9119,25.8,NA,-0.96,4.24
4.1,9147,26.3,-1.73,-1.06,4.45
4.12,9175,26,-1.87,-0.56,4.33
4.14,9203,26.4,-1.92,-0.84,4.47
4.16,9231,28,NA,-1.02,5.27
4.18,9260,26.6,-1.9,-1.19,4.57
4.2,9288,NA,-1.84,-1.2,NA
4.22,9316,26.1,-1.67,-1.14,4.36
4.24,9344,27.1,-1.79,-1.15,4.81
4.26,9372,25.7,-1.91,-1,4.18
4.28,9400,26,-1.67,-1.1,4.29
4.3,9429,27.1,-1.83,-1.06,4.84
4.32,9457,25.8,-2.06,-0.88,4.23
4.34,9485,26.3,-1.96,-1.08,4.43
4.36,9493,26.3,-1.67,-1.07,4.42
4.38,9502,26,-1.7,-0.99,4.31
4.4,9510,26,-1.86,-0.63,4.3
4.42,9519,26.6,-1.88,-1.07,4.59
4.44,9527,26.7,-1.68,-0.95,4.61
4.46,9536,26.6,-1.95,-1.04,4.6
4.48,9544,25.9,-1.9,-0.65,4.25
4.5,9553,26.2,-1.74,-1.1,4.4
4.52,9561,26.2,-1.69,-1.05,4.38
4.54,9570,25.8,-1.66,-1.08,4.24
4.56,9578,26.5,-1.78,-0.69,4.52
4.58,9587,26.3,-1.76,-0.93,4.46
4.6,9595,25.8,-2.03,-1.29,4.23
4.62,9604,25.7,-1.92,-1.05,4.19
4.64,9612,26,-1.68,-0.36,4.3
4.66,9621,26.1,-1.74,-0.65,4.36
4.68,9629,26.5,-1.7,-0.86,4.53
4.7,9638,26.3,-2,-0.76,4.43
4.72,9646,25.6,-1.79,NA,4.12
4.74,9655,25.4,-1.94,-0.71,4.03
4.76,9663,27.5,-1.75,-1,5.03
4.78,9672,25.7,-1.93,-1.09,4.19
4.8,9680,26.6,-1.48,-1.06,4.58
4.82,9689,26.1,-1.89,-1,4.34
4.84,9697,27,-1.88,-0.9,4.79
4.86,9706,NA,NA,-0.9,NA
4.87,9710,27,NA,NA,4.76
