year (AD) [1-1],age (yr BP) [1-1],LOI550C (mass) [1-1],MassMagSus (m3kg1) [1-1],LOI950C (mass) [1-1],year (AD) [2-1],age (yr BP) [2-1],Ostracods (unitless) [2-1],Gastropods (unitless) [2-1],year (AD) [3-1],age (yr BP) [3-1],MolarCN (unitless) [3-1]
975.39,974.61,49.12,-0.1,23.92,975.39,974.61,8.84,NA,975.39,974.61,NA
965.21,984.79,49.53,-0.1,21.24,965.21,984.79,NA,NA,965.21,984.79,NA
955,995,56.6,-0.1,21.44,955,995,7.9,NA,955,995,NA
944.76,1005.24,55.06,-0.2,22.98,944.76,1005.24,NA,NA,944.76,1005.24,NA
934.48,1015.52,56.84,-0.2,21.53,934.48,1015.52,7.39,NA,934.48,1015.52,NA
924.17,1025.83,48.6,-0.1,25.49,924.17,1025.83,NA,NA,924.17,1025.83,NA
913.82,1036.18,41.67,-0.1,22.38,913.82,1036.18,136.11,24,913.82,1036.18,7.26
903.44,1046.56,43.41,-0.1,22.9,903.44,1046.56,NA,NA,903.44,1046.56,NA
893.03,1056.97,46.96,-0.1,19.76,893.03,1056.97,8.25,NA,893.03,1056.97,NA
882.58,1067.42,54.95,-0.1,20.48,882.58,1067.42,NA,NA,882.58,1067.42,NA
872.1,1077.9,51.4,-0.1,23.36,872.1,1077.9,7.93,NA,872.1,1077.9,NA
861.59,1088.41,47.01,-0.1,21.37,861.59,1088.41,NA,NA,861.59,1088.41,NA
851.04,1098.96,46.77,-0.1,20.16,851.04,1098.96,7.29,NA,851.04,1098.96,NA
840.45,1109.55,44.35,-0.1,23.83,840.45,1109.55,NA,NA,840.45,1109.55,NA
829.84,1120.16,43.9,-0.1,24.02,829.84,1120.16,8.06,NA,829.84,1120.16,NA
819.19,1130.81,45.05,-0.1,22.52,819.19,1130.81,NA,NA,819.19,1130.81,NA
808.5,1141.5,49.06,-0.1,17.15,808.5,1141.5,24.44,22,808.5,1141.5,8.59
797.78,1152.22,50.47,-0.1,14.87,797.78,1152.22,NA,NA,797.78,1152.22,NA
787.03,1162.97,45.76,-0.1,21.19,787.03,1162.97,8.2,NA,787.03,1162.97,NA
776.24,1173.76,43.4,-0.1,25.73,776.24,1173.76,NA,NA,776.24,1173.76,NA
765.42,1184.58,46.15,-0.1,19.43,765.42,1184.58,8.8,NA,765.42,1184.58,NA
754.57,1195.43,48.6,-0.1,16.99,754.57,1195.43,NA,NA,754.57,1195.43,NA
743.68,1206.32,48.67,-0.1,14.08,743.68,1206.32,8.91,NA,743.68,1206.32,NA
732.75,1217.25,43.7,-0.1,22.92,732.75,1217.25,NA,NA,732.75,1217.25,NA
721.8,1228.2,46.03,-0.1,19.84,721.8,1228.2,8.79,NA,721.8,1228.2,NA
710.81,1239.19,46.09,-0.1,19.53,710.81,1239.19,NA,NA,710.81,1239.19,NA
699.78,1250.22,46.9,-0.1,20.11,699.78,1250.22,183.67,23,699.78,1250.22,8.38
688.72,1261.28,41.8,-0.1,27.94,688.72,1261.28,NA,NA,688.72,1261.28,NA
677.63,1272.37,42.19,-0.1,28.41,677.63,1272.37,8.16,NA,677.63,1272.37,NA
666.51,1283.49,42.75,-0.1,24.29,666.51,1283.49,NA,NA,666.51,1283.49,NA
655.35,1294.65,44.53,-0.1,19.53,655.35,1294.65,8.49,NA,655.35,1294.65,NA
644.15,1305.85,40.94,-0.1,26.84,644.15,1305.85,NA,NA,644.15,1305.85,NA
632.92,1317.08,57.14,-0.1,32.47,632.92,1317.08,9.32,NA,632.92,1317.08,NA
621.66,1328.34,44.03,-0.1,22.05,621.66,1328.34,NA,NA,621.66,1328.34,NA
610.36,1339.64,45.74,-0.1,21.14,610.36,1339.64,8.55,NA,610.36,1339.64,NA
599.03,1350.97,44.96,-0.1,21.14,599.03,1350.97,NA,NA,599.03,1350.97,NA
587.67,1362.33,42.5,-0.1,26.52,587.67,1362.33,117.14,23,587.67,1362.33,7.55
576.27,1373.73,41.18,-0.1,28.65,576.27,1373.73,NA,NA,576.27,1373.73,NA
564.84,1385.16,38.28,-0.1,31.96,564.84,1385.16,7.36,NA,564.84,1385.16,NA
553.38,1396.62,36.91,0,35.08,553.38,1396.62,NA,NA,553.38,1396.62,NA
541.88,1408.12,34.72,-0.1,37.88,541.88,1408.12,7.33,NA,541.88,1408.12,NA
530.34,1419.66,32.06,-0.1,41.64,530.34,1419.66,NA,NA,530.34,1419.66,NA
518.77,1431.23,26.92,-0.1,49.53,518.77,1431.23,6.67,NA,518.77,1431.23,NA
507.17,1442.83,29.45,-0.1,46.7,507.17,1442.83,NA,NA,507.17,1442.83,NA
495.54,1454.46,38.46,0,31.47,495.54,1454.46,9.06,NA,495.54,1454.46,NA
483.87,1466.13,44.63,-0.1,22.54,483.87,1466.13,NA,NA,483.87,1466.13,NA
472.17,1477.83,43.97,0,19.59,472.17,1477.83,37.74,41,472.17,1477.83,9.68
460.43,1489.57,44.74,-0.1,19.94,460.43,1489.57,NA,NA,460.43,1489.57,NA
448.66,1501.34,49.59,-0.1,16.63,448.66,1501.34,9.98,NA,448.66,1501.34,NA
436.85,1513.15,39.69,-0.1,27.76,436.85,1513.15,NA,NA,436.85,1513.15,NA
425.01,1524.99,43.65,-0.1,16.23,425.01,1524.99,9.51,NA,425.01,1524.99,NA
413.14,1536.86,45.11,-0.1,13.67,413.14,1536.86,NA,NA,413.14,1536.86,NA
401.23,1548.77,40.85,0,11.09,401.23,1548.77,9.96,NA,401.23,1548.77,NA
389.29,1560.71,45.14,0,9.47,389.29,1560.71,NA,NA,389.29,1560.71,NA
377.32,1572.68,44.12,-0.1,16.71,377.32,1572.68,9.77,NA,377.32,1572.68,NA
365.31,1584.69,43.59,0,16.03,365.31,1584.69,NA,NA,365.31,1584.69,NA
353.27,1596.73,44.6,-0.1,17.99,353.27,1596.73,7.41,11,353.27,1596.73,8.84
341.19,1608.81,41.79,-0.1,22.05,341.19,1608.81,NA,NA,341.19,1608.81,NA
329.08,1620.92,41.86,-0.1,24.67,329.08,1620.92,9.21,NA,329.08,1620.92,NA
316.93,1633.07,42.4,-0.1,20,316.93,1633.07,NA,NA,316.93,1633.07,NA
304.76,1645.24,40.6,-0.1,23.92,304.76,1645.24,9.41,NA,304.76,1645.24,NA
292.54,1657.46,37.59,-0.1,29.01,292.54,1657.46,NA,NA,292.54,1657.46,NA
280.3,1669.7,40.15,-0.1,27.55,280.3,1669.7,8.03,NA,280.3,1669.7,NA
268.02,1681.98,44.26,-0.1,22.35,268.02,1681.98,NA,NA,268.02,1681.98,NA
255.7,1694.3,45.08,-0.1,20.49,255.7,1694.3,9.21,NA,255.7,1694.3,NA
243.35,1706.65,40.94,-0.1,26.84,243.35,1706.65,NA,NA,243.35,1706.65,NA
230.97,1719.03,38.46,-0.1,29.72,230.97,1719.03,461.82,37,230.97,1719.03,8.02
218.56,1731.44,36.89,-0.1,31.67,218.56,1731.44,NA,NA,218.56,1731.44,NA
206.11,1743.89,32,-0.1,39.39,206.11,1743.89,6.57,NA,206.11,1743.89,NA
193.62,1756.38,29.93,-0.1,41.47,193.62,1756.38,NA,NA,193.62,1756.38,NA
181.11,1768.89,34.53,-0.1,34.34,181.11,1768.89,6.96,NA,181.11,1768.89,NA
168.55,1781.45,38.81,-0.1,25.44,168.55,1781.45,NA,NA,168.55,1781.45,NA
155.97,1794.03,41.61,-0.1,38.16,155.97,1794.03,9.3,NA,155.97,1794.03,NA
143.35,1806.65,38.03,-0.1,28.81,143.35,1806.65,NA,NA,143.35,1806.65,NA
130.69,1819.31,38,-0.1,28.79,130.69,1819.31,8.66,NA,130.69,1819.31,NA
118.01,1831.99,35.44,0,31.65,118.01,1831.99,NA,NA,118.01,1831.99,NA
105.29,1844.71,33.33,-0.1,33.06,105.29,1844.71,235.71,41,105.29,1844.71,7.65
92.53,1857.47,32.94,-0.1,33.42,92.53,1857.47,NA,NA,92.53,1857.47,NA
79.74,1870.26,32.76,-0.1,30.04,79.74,1870.26,7.38,NA,79.74,1870.26,NA
66.9200000000001,1883.08,33.52,0,30.47,66.9200000000001,1883.08,NA,NA,66.9200000000001,1883.08,NA
54.0599999999999,1895.94,35.95,-0.1,28.22,54.0599999999999,1895.94,7.44,NA,54.0599999999999,1895.94,NA
41.1700000000001,1908.83,34.88,-0.1,31.71,41.1700000000001,1908.83,NA,NA,41.1700000000001,1908.83,NA
28.24,1921.76,33.53,-0.1,32.09,28.24,1921.76,6.91,NA,28.24,1921.76,NA
15.28,1934.72,33.95,-0.1,30.86,15.28,1934.72,NA,NA,15.28,1934.72,NA
2.28999999999996,1947.71,34.32,-0.1,29.59,2.28999999999996,1947.71,6.93,NA,2.28999999999996,1947.71,NA
-10.73,1960.73,32.56,-0.1,33.03,-10.73,1960.73,NA,NA,-10.73,1960.73,NA
-23.8,1973.8,33.14,-0.1,31.17,-23.8,1973.8,482.67,28,-23.8,1973.8,6.83
-36.8900000000001,1986.89,31.43,-0.1,33.77,-36.8900000000001,1986.89,NA,NA,-36.8900000000001,1986.89,NA
-50.02,2000.02,32.02,-0.1,33.2,-50.02,2000.02,6.65,NA,-50.02,2000.02,NA
-63.1800000000001,2013.18,30.95,-0.1,37.88,-63.1800000000001,2013.18,NA,NA,-63.1800000000001,2013.18,NA
-76.3800000000001,2026.38,28.81,-0.1,41.09,-76.3800000000001,2026.38,6.39,NA,-76.3800000000001,2026.38,NA
-70,2020,28.81,-0.1,39.8,-70,2020,NA,NA,-70,2020,NA
-132,2082,26.7,-0.1,41.65,-132,2082,5.75,NA,-132,2082,NA
-194,2144,23.53,-0.1,43.45,-194,2144,NA,NA,-194,2144,NA
-256,2206,24.51,-0.1,41.22,-256,2206,5.83,NA,-256,2206,NA
-318,2268,24.23,-0.1,41,-318,2268,NA,NA,-318,2268,NA
-380,2330,24.87,0,39.22,-380,2330,531.91,41,-380,2330,7.12
-442,2392,23.27,0,39.38,-442,2392,NA,NA,-442,2392,NA
-504,2454,22.12,0,41.52,-504,2454,7.1,NA,-504,2454,NA
-566,2516,21.96,0,42.48,-566,2516,NA,NA,-566,2516,NA
-628,2578,22.5,0,40.91,-628,2578,6.73,NA,-628,2578,NA
-690,2640,22.5,0,36.36,-690,2640,NA,NA,-690,2640,NA
-752,2702,24.14,0,34.71,-752,2702,7.5,NA,-752,2702,NA
-814,2764,24.4,0,32.62,-814,2764,NA,NA,-814,2764,NA
-876,2826,24.04,0.1,34.97,-876,2826,7.83,NA,-876,2826,NA
-938,2888,23.22,0,36.62,-938,2888,NA,NA,-938,2888,NA
-1000,2950,27.78,0,32.14,-1000,2950,187.1,21,-1000,2950,7.45
-1020.27,2970.27,28.5,0,28.26,-1020.27,2970.27,NA,NA,-1020.27,2970.27,NA
-1040.81,2990.81,36.22,0,13.51,-1040.81,2990.81,11.65,NA,-1040.81,2990.81,NA
-1061.61,3011.61,30.77,0,16.23,-1061.61,3011.61,NA,NA,-1061.61,3011.61,NA
-1082.67,3032.67,32.93,0,23.14,-1082.67,3032.67,11.12,NA,-1082.67,3032.67,NA
-1103.95,3053.95,28.04,0.1,15.63,-1103.95,3053.95,NA,NA,-1103.95,3053.95,NA
-1125.47,3075.47,22.94,0.1,14.6,-1125.47,3075.47,11.46,NA,-1125.47,3075.47,NA
-1147.19,3097.19,19.43,0.2,16.56,-1147.19,3097.19,NA,NA,-1147.19,3097.19,NA
-1169.11,3119.11,15.03,0.3,22.31,-1169.11,3119.11,10.89,NA,-1169.11,3119.11,NA
-1191.22,3141.22,15.24,0.4,12.59,-1191.22,3141.22,NA,NA,-1191.22,3141.22,NA
-1213.51,3163.51,23.72,0.3,5.81,-1213.51,3163.51,0,3,-1213.51,3163.51,11.42
-1235.96,3185.96,27.46,0.3,4.66,-1235.96,3185.96,NA,NA,-1235.96,3185.96,NA
-1258.56,3208.56,28.39,0.2,5.78,-1258.56,3208.56,11.79,NA,-1258.56,3208.56,NA
-1281.31,3231.31,45.03,0,6.02,-1281.31,3231.31,NA,NA,-1281.31,3231.31,NA
-1304.17,3254.17,42.14,0,14.61,-1304.17,3254.17,10.22,NA,-1304.17,3254.17,NA
-1327.16,3277.16,35.4,-0.1,25.41,-1327.16,3277.16,NA,NA,-1327.16,3277.16,NA
-1350.24,3300.24,39.74,-0.1,21.85,-1350.24,3300.24,9.26,NA,-1350.24,3300.24,NA
-1373.42,3323.42,39.88,0,24.35,-1373.42,3323.42,NA,NA,-1373.42,3323.42,NA
-1396.68,3346.68,44.44,0,17.83,-1396.68,3346.68,8.63,NA,-1396.68,3346.68,NA
-1420,3370,41.45,-0.1,22.43,-1420,3370,NA,NA,-1420,3370,NA
-1443.38,3393.38,30.95,-0.1,37.88,-1443.38,3393.38,673.42,30,-1443.38,3393.38,6.43
-1466.8,3416.8,27.78,-0.1,39.14,-1466.8,3416.8,NA,NA,-1466.8,3416.8,NA
-1490.25,3440.25,26.53,-0.1,37.11,-1490.25,3440.25,6.5,NA,-1490.25,3440.25,NA
-1513.71,3463.71,26.14,-0.1,41.32,-1513.71,3463.71,NA,NA,-1513.71,3463.71,NA
-1537.19,3487.19,26.92,-0.1,42.46,-1537.19,3487.19,6.46,NA,-1537.19,3487.19,NA
-1560.65,3510.65,24.51,-0.1,43.45,-1560.65,3510.65,NA,NA,-1560.65,3510.65,NA
-1584.1,3534.1,23,-0.1,38.64,-1584.1,3534.1,7.54,NA,-1584.1,3534.1,NA
-1607.52,3557.52,21.81,0,30.22,-1607.52,3557.52,NA,NA,-1607.52,3557.52,NA
-1630.89,3580.89,21.63,0,36.06,-1630.89,3580.89,7.1,NA,-1630.89,3580.89,NA
-1654.21,3604.21,25.13,0,38.83,-1654.21,3604.21,NA,NA,-1654.21,3604.21,NA
-1677.47,3627.47,22.39,-0.1,45.23,-1677.47,3627.47,178.79,27,-1677.47,3627.47,6.46
-1700.64,3650.64,19.4,-0.1,49.75,-1700.64,3650.64,NA,NA,-1700.64,3650.64,NA
-1723.73,3673.73,20.81,0,43.84,-1723.73,3673.73,6.03,NA,-1723.73,3673.73,NA
-1746.71,3696.71,24.47,0,37.48,-1746.71,3696.71,NA,NA,-1746.71,3696.71,NA
-1769.57,3719.57,27.5,0,34.09,-1769.57,3719.57,8.08,NA,-1769.57,3719.57,NA
-1792.31,3742.31,30.85,0,30.53,-1792.31,3742.31,NA,NA,-1792.31,3742.31,NA
-1814.91,3764.91,31.89,-0.1,29.48,-1814.91,3764.91,8.18,NA,-1814.91,3764.91,NA
-1837.35,3787.35,29.9,0,32.8,-1837.35,3787.35,NA,NA,-1837.35,3787.35,NA
-1859.63,3809.63,29.79,0,35.06,-1859.63,3809.63,8.36,NA,-1859.63,3809.63,NA
-1881.74,3831.74,32.09,-0.1,30.38,-1881.74,3831.74,NA,NA,-1881.74,3831.74,NA
-1903.66,3853.66,30.61,0,32.47,-1903.66,3853.66,429.47,17,-1903.66,3853.66,7.93
-1925.38,3875.38,29.41,0,31.88,-1925.38,3875.38,NA,NA,-1925.38,3875.38,NA
-1946.88,3896.88,26.34,0,36.53,-1946.88,3896.88,7.95,NA,-1946.88,3896.88,NA
-1968.16,3918.16,26.27,0,36.66,-1968.16,3918.16,NA,NA,-1968.16,3918.16,NA
-1989.2,3939.2,25.68,0,38.9,-1989.2,3939.2,7.64,NA,-1989.2,3939.2,NA
-2010,3960,26.32,0,38.88,-2010,3960,NA,NA,-2010,3960,NA
-2030.53,3980.53,26.42,0,36.45,-2030.53,3980.53,7.4,NA,-2030.53,3980.53,NA
-2050.8,4000.8,26.32,0,38.06,-2050.8,4000.8,NA,NA,-2050.8,4000.8,NA
-2070.77,4020.77,27.54,0,36.23,-2070.77,4020.77,7.15,NA,-2070.77,4020.77,NA
-2090.45,4040.45,26.2,0,38.71,-2090.45,4040.45,NA,NA,-2090.45,4040.45,NA
-2109.82,4059.82,28.05,0,38.05,-2109.82,4059.82,423.73,40,-2109.82,4059.82,6.56
-2128.87,4078.87,27.68,0,37.54,-2128.87,4078.87,NA,NA,-2128.87,4078.87,NA
-2147.58,4097.58,28.77,0,36.32,-2147.58,4097.58,6.83,NA,-2147.58,4097.58,NA
-2165.95,4115.95,27.94,0,37.88,-2165.95,4115.95,NA,NA,-2165.95,4115.95,NA
-2183.96,4133.96,26.96,0,38.99,-2183.96,4133.96,6.91,NA,-2183.96,4133.96,NA
-2201.6,4151.6,23.64,0,43.39,-2201.6,4151.6,NA,NA,-2201.6,4151.6,NA
-2218.86,4168.86,26.03,0,41.32,-2218.86,4168.86,7.2,NA,-2218.86,4168.86,NA
-2235.72,4185.72,19.7,-0.1,52.8,-2235.72,4185.72,NA,NA,-2235.72,4185.72,NA
-2252.18,4202.18,25.31,0,43.49,-2252.18,4202.18,7.51,NA,-2252.18,4202.18,NA
-2268.22,4218.22,24.26,0,39.38,-2268.22,4218.22,NA,NA,-2268.22,4218.22,NA
-2283.82,4233.82,28.02,0,33.72,-2283.82,4233.82,302.08,39,-2283.82,4233.82,7.31
-2298.99,4248.99,25.76,0,45.91,-2298.99,4248.99,NA,NA,-2298.99,4248.99,NA
-2313.7,4263.7,26.35,-0.1,48.99,-2313.7,4263.7,7.73,NA,-2313.7,4263.7,NA
-2327.94,4277.94,25.3,0,47.92,-2327.94,4277.94,NA,NA,-2327.94,4277.94,NA
-2341.71,4291.71,19.65,0,55.18,-2341.71,4291.71,6.58,NA,-2341.71,4291.71,NA
-2354.98,4304.98,21.95,0,45.45,-2354.98,4304.98,NA,NA,-2354.98,4304.98,NA
-2367.75,4317.75,20.1,0.1,44.56,-2367.75,4317.75,7.04,NA,-2367.75,4317.75,NA
-2392.3,4342.3,22.78,0,45.45,-2392.3,4342.3,NA,NA,-2392.3,4342.3,NA
-2444.22,4394.22,22.4,0,46.16,-2444.22,4394.22,5.82,NA,-2444.22,4394.22,NA
-2495.87,4445.87,24.49,0,38.27,-2495.87,4445.87,NA,NA,-2495.87,4445.87,NA
-2547.26,4497.26,24.38,0,36.18,-2547.26,4497.26,125,29,-2547.26,4497.26,7.17
-2598.38,4548.38,24.35,0,36.5,-2598.38,4548.38,NA,NA,-2598.38,4548.38,NA
-2649.23,4599.23,24.75,0,43.62,-2649.23,4599.23,6.93,NA,-2649.23,4599.23,NA
-2699.81,4649.81,25,0,43.8,-2699.81,4649.81,NA,NA,-2699.81,4649.81,NA
-2750.12,4700.12,25.58,0,40.96,-2750.12,4700.12,6.4,NA,-2750.12,4700.12,NA
-2800.17,4750.17,24.71,-0.1,45.72,-2800.17,4750.17,NA,NA,-2800.17,4750.17,NA
-2849.95,4799.95,22.84,-0.1,49.61,-2849.95,4799.95,5.54,NA,-2849.95,4799.95,NA
-2899.46,4849.46,21.1,-0.1,54.21,-2899.46,4849.46,NA,NA,-2899.46,4849.46,NA
-2948.7,4898.7,21.05,-0.1,53.28,-2948.7,4898.7,5.76,NA,-2948.7,4898.7,NA
-2997.68,4947.68,21.08,-0.1,52.83,-2997.68,4947.68,NA,NA,-2997.68,4947.68,NA
-3046.38,4996.38,23.56,0,49.98,-3046.38,4996.38,188.89,56,-3046.38,4996.38,5.97
-3094.82,5044.82,23.96,0,50.27,-3094.82,5044.82,NA,NA,-3094.82,5044.82,NA
-3143,5093,21.96,0,49.92,-3143,5093,9.07,NA,-3143,5093,NA
-3190.9,5140.9,27.48,-0.1,40.95,-3190.9,5140.9,NA,NA,-3190.9,5140.9,NA
-3238.54,5188.54,32.7,-0.1,30.16,-3238.54,5188.54,10.38,NA,-3238.54,5188.54,NA
-3285.9,5235.9,38.61,-0.1,23.01,-3285.9,5235.9,NA,NA,-3285.9,5235.9,NA
-3333,5283,33.52,0,26.66,-3333,5283,8.4,NA,-3333,5283,NA
-3379.84,5329.84,36.67,0,26.52,-3379.84,5329.84,NA,NA,-3379.84,5329.84,NA
-3426.4,5376.4,25.91,0,40.29,-3426.4,5376.4,7.45,NA,-3426.4,5376.4,NA
-3472.7,5422.7,21.6,0,42.73,-3472.7,5422.7,NA,NA,-3472.7,5422.7,NA
-3518.73,5468.73,19.69,0,42.95,-3518.73,5468.73,202.92,22,-3518.73,5468.73,6.37
-3564.49,5514.49,17.67,0.1,43.37,-3564.49,5514.49,NA,NA,-3564.49,5514.49,NA
-3609.98,5559.98,17.84,0,44.78,-3609.98,5559.98,6.08,NA,-3609.98,5559.98,NA
-3655.21,5605.21,18.29,0,44.35,-3655.21,5605.21,NA,NA,-3655.21,5605.21,NA
-3700.16,5650.16,17.87,0,50.29,-3700.16,5650.16,6.88,NA,-3700.16,5650.16,NA
-3744.85,5694.85,19.58,0,41.67,-3744.85,5694.85,NA,NA,-3744.85,5694.85,NA
-3789.28,5739.28,16.8,0,52.73,-3789.28,5739.28,5.29,NA,-3789.28,5739.28,NA
-3833.43,5783.43,17.81,0,53.37,-3833.43,5783.43,NA,NA,-3833.43,5783.43,NA
-3877.32,5827.32,10.68,-0.1,58.28,-3877.32,5827.32,5.44,NA,-3877.32,5827.32,NA
-3920.94,5870.94,10.37,0,58.08,-3920.94,5870.94,NA,NA,-3920.94,5870.94,NA
-3964.29,5914.29,12.02,0,52.85,-3964.29,5914.29,2009.45,30,-3964.29,5914.29,6.03
-4007.37,5957.37,15.08,0,50.51,-4007.37,5957.37,NA,NA,-4007.37,5957.37,NA
-4050.18,6000.18,16.03,0,52.74,-4050.18,6000.18,6.87,NA,-4050.18,6000.18,NA
-4092.73,6042.73,21.76,0,46.6,-4092.73,6042.73,NA,NA,-4092.73,6042.73,NA
-4135.01,6085.01,14.17,0,54.58,-4135.01,6085.01,4.83,NA,-4135.01,6085.01,NA
-4177.02,6127.02,12.5,-0.1,54.92,-4177.02,6127.02,NA,NA,-4177.02,6127.02,NA
-4218.77,6168.77,16.53,0,47.65,-4218.77,6168.77,6.81,NA,-4218.77,6168.77,NA
-4260.24,6210.24,18.45,0,39.99,-4260.24,6210.24,NA,NA,-4260.24,6210.24,NA
-4301.45,6251.45,10.83,0.1,33.29,-4301.45,6251.45,6.74,NA,-4301.45,6251.45,NA
-4342.39,6292.39,30.88,0,14.48,-4342.39,6292.39,NA,NA,-4342.39,6292.39,NA
-4383.06,6333.06,27.83,0,20.75,-4383.06,6333.06,0,0,-4383.06,6333.06,6.39
-4423.47,6373.47,32.27,0,19.63,-4423.47,6373.47,NA,NA,-4423.47,6373.47,NA
