depth (cm) [1-1],age (yr BP) [1-1],Picea (percent) [1-1],Sequoia (percent) [1-1],Quercus (percent) [1-1],Alnus (percent) [1-1],depthRange (cm) [1-1],Calibrated (unitless) [1-1],depth (cm) [1-2],age (yr BP) [1-2],depthRange (cm) [1-2],Calibrated (unitless) [1-2],Fragilariopsis (percent) [1-2],depth (cm) [1-3],age (yr BP) [1-3],Dc_stapedia (percent) [1-3],Dc_stapedia_aspinosa (percent) [1-3],Dc_stapedia_spinosa (percent) [1-3],total_Dc_stapedia (percent) [1-3],S_speculum_var_minutus (percent) [1-3],depthRange (cm) [1-3],Calibrated (unitless) [1-3]
82,903.98,5.202312139,42.19653179,6.358381503,10.98265896,81-83,CAL,74.5,865.8,-1,CAL,10.1,189.5,2550,12.82051282,0,0,12.82051282,38.46153846,-1,CAL
87,929.46,3.636363636,40,7.272727273,13.93939394,86-8,CAL,79.5,891.3,-1,CAL,11.5,194.5,2580,24,0,2,26,42,-1,CAL
92,954.95,4.117647059,41.17647059,2.941176471,15.88235294,91-93,CAL,84.5,916.79,-1,CAL,13,209.5,2680,15.78947368,0,3.50877193,19.29824561,45.61403509,-1,CAL
97,980.44,2.976190476,44.94047619,4.166666667,13.69047619,96-98,CAL,89.5,942.28,-1,CAL,12.6,239.5,2860,25.80645161,0,0,25.80645161,22.58064516,-1,CAL
102,1005.92,5.027932961,39.94413408,3.910614525,13.12849162,101-103,CAL,94.5,967.78,-1,CAL,7.9,264.5,3020,17.5,0,2.5,20,40,-1,CAL
107,1078.85,2.127659574,45.59270517,6.079027356,8.510638298,106-108,CAL,99.5,993.27,-1,CAL,9.1,289.5,3180,22.5,0,2.5,25,52.5,-1,CAL
112,1172.11,1.834862385,47.47706422,5.963302752,14.44954128,111-113,CAL,104.5,1032.29,-1,CAL,13.4,298.5,3230,23.07692308,0,3.846153846,26.92307692,46.15384615,-2,CAL
117,1265.37,5.974025974,37.92207792,2.857142857,9.090909091,116-118,CAL,109.5,1125.43,-1,CAL,10.5,369,4120,15.38461538,0,0,15.38461538,61.53846154,-2,CAL
122,1358.62,5.015673981,42.63322884,3.448275862,7.210031348,121-123,CAL,114.5,1218.56,-1,CAL,9.6,399,4410,10.86956522,0,6.52173913,17.39130435,43.47826087,-2,CAL
126.5,1442.56,2.702702703,42.64264264,4.204204204,14.71471471,125.5-127.5,CAL,119.5,1311.69,-1,CAL,10.5,408,4500,10,0,3.333333333,13.33333333,33.33333333,-2,CAL
132,1545.14,3.927492447,41.9939577,6.344410876,12.38670695,131-133,CAL,124.5,1404.82,-1,CAL,13.6,419,4600,10,0,10,20,30,-2,CAL
137,1638.4,6.936416185,34.97109827,4.624277457,7.225433526,136-138,CAL,129.5,1497.96,-1,CAL,9.6,449,4890,10,0,0,10,38,-2,CAL
142,1731.66,9.216589862,29.7235023,5.299539171,10.13824885,141-143,CAL,134.5,1591.09,-1,CAL,20.2,459,4990,8.823529412,0,2.941176471,11.76470588,47.05882353,-2,CAL
147,1824.92,5.79064588,34.74387528,4.899777283,10.69042316,146-148,CAL,139.5,1684.22,-1,CAL,7.4,489,5280,9.756097561,0,2.43902439,12.19512195,43.90243902,-2,CAL
152,1918.18,7.368421053,27.36842105,5.263157895,10.52631579,151-153,CAL,144.5,1777.35,-1,CAL,15.7,499,5380,4.761904762,0,4.761904762,9.523809524,38.0952381,-2,CAL
160,2067.39,6.012658228,31.64556962,6.329113924,14.87341772,159-161,CAL,149.5,1870.49,-1,CAL,14.1,509,5470,17.94871795,0,0,17.94871795,41.02564103,-2,CAL
166,2179.3,7.120743034,37.46130031,8.978328173,10.52631579,165-167,CAL,154.5,1963.62,-1,CAL,13.3,519,5570,12.12121212,0,3.03030303,15.15151515,60.60606061,-2,CAL
172,2291.21,3.267973856,45.09803922,6.209150327,9.150326797,171-173,CAL,159.5,2056.75,-1,CAL,17,519,6300,12.1,0,3,15.1,0,-2,CAL
176,2365.82,2.857142857,34.28571429,12.6984127,10.47619048,177-179,CAL,164.5,2149.88,-1,CAL,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,2496.38,6.557377049,39.3442623,11.14754098,9.836065574,182-184,CAL,169.5,2243.02,-1,CAL,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,2540.24,4.702194357,30.09404389,15.04702194,22.25705329,187-189,CAL,174.5,2336.15,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,2571.75,3.93442623,21.63934426,11.80327869,19.01639344,192-194,CAL,179.5,2429.28,-1,CAL,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,2596.95,6.015037594,24.06015038,15.28822055,25.56390977,196-198,CAL,184.5,2516.25,-1,CAL,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,2641.06,4.207119741,23.30097087,16.18122977,22.33009709,203-205,CAL,189.5,2547.74,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,2672.57,2.310231023,25.08250825,17.49174917,21.12211221,208-210,CAL,194.5,2579.22,-1,CAL,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,2704.08,3.086419753,23.7654321,17.90123457,22.83950617,213-215,CAL,199.5,2610.71,-1,CAL,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,2735.59,5.521472393,23.92638037,14.11042945,22.08588957,218-220,CAL,204.5,2642.19,-1,CAL,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,2760.79,3.630363036,21.45214521,19.8019802,19.14191419,222-224,CAL,209.5,2673.67,-1,CAL,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,2792.3,3.164556962,22.78481013,19.93670886,23.41772152,227-229,CAL,214.5,2705.16,-1,CAL,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,2823.81,3.246753247,22.07792208,19.80519481,18.83116883,232-234,CAL,219.5,2736.64,-1,CAL,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,2861.62,2.875399361,23.96166134,23.64217252,17.8913738,238-240,CAL,224.5,2768.13,-1,CAL,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2893.13,4.318936877,20.59800664,19.6013289,20.26578073,243-245,CAL,229.5,2799.61,-1,CAL,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,2918.33,3.544303797,18.98734177,19.49367089,22.78481013,247-249,CAL,234.5,2831.1,-1,CAL,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,2956.14,7.766990291,23.94822006,17.79935275,20.71197411,253-255,CAL,239.5,2862.58,-1,CAL,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,2987.65,8.917197452,16.24203822,20.38216561,14.64968153,258-260,CAL,244.5,2894.07,-1,CAL,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,3019.16,6.976744186,18.93687708,23.92026578,12.2923588,263-265,CAL,249.5,2925.55,-1,CAL,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,3050.67,8.038585209,19.61414791,17.04180064,15.11254019,268-270,CAL,254.5,2957.04,-1,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,3075.87,5.22875817,13.7254902,17.97385621,20.58823529,272-275,CAL,259.5,2988.52,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,3113.68,8.580858086,21.45214521,15.51155116,22.11221122,278-280,CAL,264.5,3020.01,-1,CAL,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,3145.19,7.766990291,19.74110032,17.79935275,16.18122977,283-285,CAL,269.5,3051.49,-1,CAL,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,3176.7,7.142857143,18.18181818,13.63636364,25.32467532,288-290,CAL,274.5,3082.98,-1,CAL,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,3201.91,6.796116505,20.71197411,19.09385113,17.47572816,292-294,CAL,279.5,3114.46,-1,CAL,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,3233.41,8.143322476,25.73289902,13.68078176,18.24104235,297-299,CAL,284.5,3145.95,-1,CAL,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,3312.29,11.11111111,22.22222222,11.4379085,15.35947712,309-311,CAL,289.5,3177.43,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,3366.72,6.329113924,17.08860759,15.18987342,23.10126582,317-319,CAL,294.5,3208.92,-1,CAL,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,3434.75,6.976744186,17.60797342,14.95016611,20.59800664,327-329,CAL,298.5,3234.11,-2,CAL,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3502.79,5.750798722,19.16932907,17.8913738,19.16932907,337-339,CAL,299.5,3240.4,-1,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,3570.82,6.269592476,17.86833856,16.30094044,21.0031348,347-349,CAL,308.5,3300,-1,CAL,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,3857.51,9.907120743,22.91021672,12.38390093,14.24148607,357-359,CAL,318.5,3368.82,-1,CAL,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,4104.34,10.17964072,22.45508982,11.07784431,13.77245509,367-369,CAL,328.5,3437.64,-1,CAL,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,4201.47,12.90322581,22.25806452,9.677419355,8.064516129,377-379,CAL,338.5,3506.46,-1,CAL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,4288.88,9.316770186,24.22360248,12.11180124,8.695652174,387=89,CAL,348,3571.84,-2,CAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,4405.43,10.73619632,19.63190184,14.72392638,13.19018405,398-400,CAL,359,3890.14,-2,CAL,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,4512.27,10.78431373,26.47058824,11.11111111,13.7254902,409-411,CAL,369,4115.82,-2,CAL,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,4599.69,13.01775148,23.96449704,14.79289941,15.68047337,418-420,CAL,378,4203.19,-2,CAL,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,4696.81,11.40065147,21.82410423,15.30944625,11.07491857,428-430,CAL,388.5,4305.12,-2,CAL,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,4793.94,11.25401929,20.57877814,15.75562701,12.54019293,438-440,CAL,399,4407.05,-2,CAL,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,4891.06,10.52631579,22.69736842,14.80263158,12.82894737,448-440,CAL,408,4494.42,-2,CAL,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,4988.19,7.570977918,24.92113565,15.14195584,9.463722397,458-460,CAL,419,4601.21,-2,CAL,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,5085.32,12.42038217,22.92993631,13.69426752,8.598726115,468-470,CAL,428,4688.57,-2,CAL,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,5182.44,9.061488673,19.41747573,9.708737864,17.15210356,478-480,CAL,439,4795.36,-2,CAL,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,5279.57,12.94498382,21.03559871,11.00323625,15.21035599,488-490,CAL,449,4892.44,-2,CAL,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,5376.69,8.666666667,16.66666667,15,16.66666667,498-500,CAL,459,4989.52,-2,CAL,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,5464.11,12.21122112,14.52145215,13.86138614,20.79207921,507-509,CAL,469,5086.59,-2,CAL,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,5570.95,9.446254072,14.65798046,15.30944625,21.49837134,518-520,CAL,479,5183.67,-2,CAL,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,5668.07,10.97178683,11.59874608,15.67398119,20.37617555,528-530,CAL,489,5280.75,-2,CAL,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,5765.2,7.232704403,12.89308176,12.26415094,13.52201258,538-540,CAL,499,5377.82,-2,CAL,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,5842.9,11.85897436,13.14102564,10.57692308,16.02564103,546-548,CAL,509,5474.9,-2,CAL,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,5940.03,15.73770492,14.42622951,11.47540984,15.08196721,556-558,CAL,519,5571.98,-2,CAL,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,6037.15,15.53398058,12.29773463,12.94498382,15.85760518,566-568,CAL,529,5669.06,-2,CAL,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,6134.28,13.78205128,13.14102564,12.82051282,21.47435897,576-578,CAL,538,5756.43,-2,CAL,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,6231.4,14.36619718,20.28169014,10.42253521,18.30985915,586-588,CAL,547,5843.8,-2,CAL,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,6328.53,12.33333333,11.33333333,12.33333333,21.33333333,596-598,CAL,557.5,5945.73,-2,CAL,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,6425.66,8.454810496,12.53644315,15.16034985,21.28279883,606-608,CAL,567,6037.95,-2,CAL,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
617,6522.78,7.491856678,14.98371336,21.82410423,14.65798046,616-618,CAL,578,6144.74,-2,CAL,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,6862,12.33333333,9.666666667,16.33333333,18,626-628,CAL,588,6241.81,-2,CAL,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,6941.59,12.01117318,11.45251397,12.5698324,16.20111732,636-638,CAL,597,6329.18,-2,CAL,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,7021.18,7.86163522,10.37735849,17.61006289,19.81132075,646-648,CAL,607,6426.26,-2,CAL,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,7100.78,10.85043988,15.54252199,14.6627566,12.90322581,656-658,CAL,618,6533.05,-2,CAL,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,7180.37,9.463722397,10.09463722,16.08832808,18.92744479,666-668,CAL,627.5,6867.43,-2,CAL,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
677.5,7259.96,11.39240506,8.860759494,16.4556962,15.50632911,676.5-678.5,CAL,638,6951.02,-2,CAL,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,7335.57,11.0787172,14.57725948,14.86880466,13.41107872,686-688,CAL,647.5,7026.64,-2,CAL,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,657.5,7106.24,-2,CAL,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,667.5,7185.84,-2,CAL,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,678,7265.44,-2,CAL,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,686.5,7333.1,-2,CAL,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
