year (AD) [1-1],age (BP) [1-1],Bsi_Raw (mg/g) [1-1],year (AD) [2-1],age (BP) [2-1],Bsi_3pt (mg/g) [2-1],year (AD) [3-1],age (BP) [3-1],Bsi_detrended_smoothed (mg/g) [3-1]
-10063.2,12013.2,136.224,-10063.2,12013.2,109.1973,NA,NA,NA
-10135.2,12085.2,87.7686,-10135.2,12085.2,106.9036,NA,NA,NA
-10205.5,12155.5,96.7182,-10205.5,12155.5,91.3516,NA,NA,NA
-10274.3,12224.3,89.568,-10274.3,12224.3,95.7283,NA,NA,NA
-10341.5,12291.5,100.8987,-10341.5,12291.5,90.664,NA,NA,NA
-10407.2,12357.2,81.5252,-10407.2,12357.2,91.123,NA,NA,NA
-10471.5,12421.5,90.9451,-10471.5,12421.5,83.7145,NA,NA,NA
-10534.3,12484.3,78.6733,-10534.3,12484.3,81.0146,NA,NA,NA
-10595.8,12545.8,73.4253,-10595.8,12545.8,74.8086,NA,NA,NA
-10655.8,12605.8,72.3272,-10655.8,12605.8,95.5585,NA,NA,NA
-10714.6,12664.6,140.923,-10714.6,12664.6,130.6274,NA,NA,NA
-10772,12722,178.6319,-10772,12722,162.9719,NA,NA,NA
-10828.2,12778.2,169.3608,-10828.2,12778.2,162.6563,NA,NA,NA
-10883.2,12833.2,139.9763,-10883.2,12833.2,134.9427,NA,NA,NA
-10936.9,12886.9,95.4909,-10936.9,12886.9,106.7395,NA,NA,NA
-10989.6,12939.6,84.7514,-10989.6,12939.6,82.5922,NA,NA,NA
-11041.1,12991.1,67.5344,-11041.1,12991.1,108.5541,NA,NA,NA
-11091.5,13041.5,173.3766,-11091.5,13041.5,149.4129,NA,NA,NA
-11140.9,13090.9,207.3276,-11140.9,13090.9,193.2895,NA,NA,NA
-11189.2,13139.2,199.1644,-11189.2,13139.2,201.2341,NA,NA,NA
-11236.6,13186.6,197.2104,-11236.6,13186.6,197.7048,NA,NA,NA
-11283.5,13233.5,196.7395,-11283.5,13233.5,201.8299,NA,NA,NA
-11330.5,13280.5,211.5399,-11330.5,13280.5,206.9561,NA,NA,NA
-11377.5,13327.5,212.5888,-11377.5,13327.5,216.8065,NA,NA,NA
-11424.5,13374.5,226.2908,-11424.5,13374.5,224.4088,NA,NA,NA
-11471.6,13421.6,234.3468,-11471.6,13421.6,224.8929,NA,NA,NA
-11518.7,13468.7,214.0411,-11518.7,13468.7,209.8318,NA,NA,NA
-11565.9,13515.9,181.1074,-11565.9,13515.9,188.5717,NA,NA,NA
-11613,13563,170.5667,-11613,13563,165.0895,NA,NA,NA
-11660.2,13610.2,143.5945,-11660.2,13610.2,151.8673,NA,NA,NA
-11707.4,13657.4,141.4407,-11707.4,13657.4,142.8302,NA,NA,NA
-11754.7,13704.7,143.4554,-11754.7,13704.7,137.8166,NA,NA,NA
-11801.9,13751.9,128.5537,-11801.9,13751.9,132.0475,NA,NA,NA
-11849.1,13799.1,124.1335,-11849.1,13799.1,133.0214,NA,NA,NA
-11896.4,13846.4,146.3772,-11896.4,13846.4,135.3613,NA,NA,NA
-11943.7,13893.7,135.5732,-11943.7,13893.7,140.5594,NA,NA,NA
-11990.9,13940.9,139.7279,-11990.9,13940.9,133,NA,NA,NA
-12038.2,13988.2,123.6988,-12038.2,13988.2,130.7615,NA,NA,NA
-12085.5,14035.5,128.8579,-12085.5,14035.5,123.0176,NA,NA,NA
-12132.7,14082.7,116.4961,-12132.7,14082.7,120.2958,NA,NA,NA
-12180,14130,115.5333,-12180,14130,118.4904,NA,NA,NA
-12227.3,14177.3,123.4418,-12227.3,14177.3,113.9584,NA,NA,NA
-12274.5,14224.5,102.9,-12274.5,14224.5,99.7834,NA,NA,NA
-12321.7,14271.7,73.0083,-12321.7,14271.7,95.1302,NA,NA,NA
-12368.9,14318.9,109.4823,-12368.9,14318.9,92.6413,NA,NA,NA
-12416.1,14366.1,95.4331,-12416.1,14366.1,101.4057,NA,NA,NA
-12463.3,14413.3,99.3017,-12463.3,14413.3,91.8985,NA,NA,NA
-12510.4,14460.4,80.9607,-12510.4,14460.4,89.6091,NA,NA,NA
-12557.5,14507.5,88.565,-12557.5,14507.5,88.3103,NA,NA,NA
-12604.6,14554.6,95.4053,-12604.6,14554.6,89.0786,NA,NA,NA
-12651.6,14601.6,83.2656,-12651.6,14601.6,95.5925,NA,NA,NA
-12698.6,14648.6,108.1066,-12698.6,14648.6,96.8899,NA,NA,NA
-12745.6,14695.6,99.2976,-12745.6,14695.6,119.1642,NA,NA,NA
-12792.5,14742.5,150.0885,-12792.5,14742.5,119.9746,NA,NA,NA
-12839.4,14789.4,110.5377,-12839.4,14789.4,122.9837,NA,NA,NA
-12886.2,14836.2,108.3249,-12886.2,14836.2,105.4539,NA,NA,NA
-12933,14883,97.4992,-12933,14883,96.6077,NA,NA,NA
-12979.7,14929.7,83.999,-12979.7,14929.7,93.8903,NA,NA,NA
-13026.4,14976.4,100.1725,-13026.4,14976.4,93.1215,NA,NA,NA
-13073,15023,95.1931,-13073,15023,93.4184,NA,NA,NA
-13119.6,15069.6,84.8896,-13119.6,15069.6,87.5781,NA,NA,NA
-13166,15116,82.6516,-13166,15116,84.7278,NA,NA,NA
-13212.5,15162.5,86.6423,NA,NA,NA,NA,NA,NA
