year (AD) [1-1],age (yr BP) [1-1],depth (cm) [1-1],LOI (%) [1-1],P. nitidum (no/cc) [1-1],V humeralis (no/cc) [1-1],d13C (permil) [1-1],d15N (permil) [1-1],C:N (ratio) [1-1],pinus/atremisia (ratio) [1-1],year (AD) [2-1],age (yr BP) [2-1],depth (cm) [2-1],lake_depth (m) [2-1],salinity (mg/L) [2-1],year (AD) [3-1],age (yr BP) [3-1],depth (unknown) [3-1],chacoal_influx (no/cm2/yr) [3-1]
-8633,10583,264.25,20.82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8727,10677,264.75,NA,0,0,16.73,-20.39,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8821,10771,265.25,12.61,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8915,10865,265.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9009,10959,266.25,5.84,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9103,11053,266.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9197,11147,267.25,3.39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9291,11241,267.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9385,11335,268.25,1.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9479,11429,268.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9573,11523,269.25,2.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9667,11617,269.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
