depth (cm),age (yr 14C yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm)
77.5,951,14.2,-8.557142857,2.379757143,594.2857143
80,976.9,13.6,-8.257142857,2.102371429,811.5714286
82.5,1002.8,15.48571429,-5.4,4.571428571,799.1428571
85,1028.7,13.95714286,-9.242857143,2.033328571,573.5714286
87.5,1054.6,13.82857143,-7.985714286,2.422614286,825.1428571
90,1080.5,14.2,-8.557142857,2.379757143,594.2857143
92.5,1106.4,13.72857143,-8.871428571,2.145242857,634.4285714
95,1132.2,13.88571429,-8.328571429,2.345228571,621
97.5,1158.1,13.5,-9.142857143,1.825,620.8571429
100,1184,13.72857143,-8.871428571,2.145242857,634.4285714
102.5,1209.9,13.72857143,-8.871428571,2.145242857,634.4285714
105,1235.8,13.75714286,-9.1,2.009528571,606.4285714
107.5,1261.7,14.02857143,-9.057142857,2.223814286,591
110,1287.6,13.67142857,-9.028571429,2.064285714,630.8571429
112.5,1313.5,13.67142857,-9.028571429,2.064285714,630.8571429
115,1339.4,13.95714286,-9.1,2.029757143,571.5714286
117.5,1365.2,13.75714286,-9.1,2.009528571,606.4285714
120,1391.1,13.88571429,-8.971428571,2.230957143,622.1428571
125,1459.7,13.75714286,-9.1,2.009528571,606.4285714
130,1544.9,13.34285714,-9.328571429,1.754771429,633.7142857
135,1630.2,13.15714286,-9.614285714,1.452385714,614.4285714
140,1715.5,12.32857143,-10.02857143,0.847614286,649.4285714
145,1800.7,13.42857143,-9.285714286,1.8262,630.5714286
150,1886,13.67142857,-9.028571429,2.064285714,630.8571429
155,1971.3,13.5,-9.142857143,1.825,620.8571429
160,2056.5,13.92857143,-8.985714286,2.248814286,616.4285714
165,2141.8,13.38571429,-9.342857143,1.772628571,628
175,2312.3,13.7,-9.285714286,1.8488,588
185,2482.9,13.75714286,-9.1,2.009528571,606.4285714
195,2653.4,13.44285714,-9.3,1.744042857,617.2857143
205,2791.8,13.67142857,-9.028571429,2.064285714,630.8571429
215,2834.1,13.44285714,-9.3,1.744042857,617.2857143
225,2876.3,14.18571429,-8.914285714,2.235714286,567.4285714
230,2897.4,13.12857143,-9.385714286,1.5881,642.4285714
235,2918.5,7.657142857,-16.88571429,-5.1643,1010.142857
245,3121,11.01428571,-10.84285714,-0.263085714,598.8571429
260,3505,11.38571429,-10.51428571,0.082142857,594.4285714
267,3684.2,11.51428571,-10.62857143,0.115471429,572.7142857
275,3889,12.17142857,-10.2,0.679742857,643.5714286
285,4186.4,11.67142857,-10.32857143,0.330957143,589.1428571
295,4497.4,11.28571429,-10.8,-0.095257143,574.8571429
305,4756,11.2,-10.57142857,-0.039285714,605.4285714
315,4917,13.71428571,-8.971428571,2.119057143,633.8571429
325,5077.9,13.72857143,-8.871428571,2.145242857,634.4285714
335,5238.9,13.44285714,-9.057142857,1.904757143,642.8571429
338,5287.2,14.02857143,-8.7,2.426185714,597.7142857
345,5399.8,12.24285714,-9.985714286,0.8131,573.7142857
348,5443.8,13.01428571,-9.442857143,1.495242857,558
358,5576,12.8,-9.471428571,1.35,658.7142857
368,5708.1,13.41428571,-9.128571429,1.8631,640.7142857
378,5840.2,11.27142857,-10.84285714,-0.059528571,640.5714286
382,5893.1,11.55714286,-10.41428571,0.245257143,592
387,5959.2,13.72857143,-8.871428571,2.145242857,634.4285714
392,6025.2,14.57142857,-9.371428571,2.526185714,546.4285714
