year (AD),age (BP),d18O (permil (VPBD))
-301.93,2251.93,-6.38274
-316.93,2266.93,-6.46712
-331.93,2281.93,-6.45355
-346.94,2296.94,-6.35114
-361.94,2311.94,-6.23547
-376.94,2326.94,-6.11848
-391.94,2341.94,-6.14265
-406.94,2356.94,-6.42239
-421.94,2371.94,-6.59021
-436.95,2386.95,-6.54264
-451.95,2401.95,-6.54775
-466.95,2416.95,-6.37064
-481.95,2431.95,-6.06741
-496.95,2446.95,-6.27168
-511.95,2461.95,-6.47596
-526.95,2476.95,-6.6991
-541.96,2491.96,-6.95739
-556.96,2506.96,-6.93633
-571.96,2521.96,-6.88442
-586.96,2536.96,-6.52081
-601.96,2551.96,-6.68958
-616.96,2566.96,-6.77417
-631.97,2581.97,-6.37034
-646.97,2596.97,-6.39238
-661.97,2611.97,-6.23789
-676.97,2626.97,-6.32768
-691.97,2641.97,-6.40489
-706.97,2656.97,-6.61889
-721.97,2671.97,-6.65015
-736.98,2686.98,-6.67612
-751.98,2701.98,-6.56636
-766.98,2716.98,-6.31847
-781.98,2731.98,-6.12019
-796.98,2746.98,-5.96552
-811.98,2761.98,-5.8058
-826.99,2776.99,-5.77734
-841.99,2791.99,-5.93987
-856.99,2806.99,-6.06806
-871.99,2821.99,-6.14496
-886.99,2836.99,-6.30169
-901.99,2851.99,-6.75748
-916.99,2866.99,-6.74745
-932,2882,-6.43008
-947,2897,-6.16185
-962,2912,-6.33999
-977,2927,-6.22
-992,2942,-6.24813
-1007,2957,-6.30251
-1022.01,2972.01,-6.67415
-1037.01,2987.01,-6.41296
-1052.01,3002.01,-6.34
-1067.01,3017.01,-6.36936
-1082.01,3032.01,-6.40065
-1097.01,3047.01,-6.43003
-1112.01,3062.01,-6.32734
-1127.02,3077.02,-6.00078
-1142.02,3092.02,-5.83207
-1157.02,3107.02,-5.89508
-1172.02,3122.02,-5.92122
-1187.02,3137.02,-5.90197
-1202.02,3152.02,-5.82223
-1217.03,3167.03,-5.70058
-1232.03,3182.03,-5.65852
-1247.03,3197.03,-5.64532
-1262.03,3212.03,-5.76182
-1277.03,3227.03,-5.69189
-1292.03,3242.03,-5.6695
-1307.03,3257.03,-5.4531
-1322.04,3272.04,-5.36
-1337.04,3287.04,-5.36155
-1352.04,3302.04,-5.98037
-1367.04,3317.04,-6.17913
-1382.04,3332.04,-6.33042
-1397.04,3347.04,-6.38261
-1412.05,3362.05,-5.91622
-1427.05,3377.05,-6.2894
-1442.05,3392.05,-6.56048
-1457.05,3407.05,-6.50331
-1472.05,3422.05,-6.03281
-1487.05,3437.05,-5.78
-1502.05,3452.05,-5.8762
-1517.06,3467.06,-6.02553
-1532.06,3482.06,-6.20351
-1547.06,3497.06,-6.25823
-1562.06,3512.06,-6.48303
-1577.06,3527.06,-6.84163
-1592.06,3542.06,-6.6238
-1607.07,3557.07,-6.81589
-1622.07,3572.07,-7.06829
-1637.07,3587.07,-7.04699
-1652.07,3602.07,-6.30894
-1667.07,3617.07,-6.06638
-1682.07,3632.07,-6.57444
-1697.07,3647.07,-6.49665
-1712.08,3662.08,-6.39109
-1727.08,3677.08,-6.39762
-1742.08,3692.08,-6.93548
-1757.08,3707.08,-7.21547
-1772.08,3722.08,-6.24275
-1787.08,3737.08,-6.60777
-1802.09,3752.09,-6.85864
-1817.09,3767.09,-6.84046
-1832.09,3782.09,-6.92011
-1847.09,3797.09,-6.93886
-1862.09,3812.09,-6.34816
-1877.09,3827.09,-5.94006
-1892.09,3842.09,-5.6854
-1907.1,3857.1,-5.3497
-1922.1,3872.1,-5.19683
-1937.1,3887.1,-5.26619
-1952.1,3902.1,-5.67464
-1967.1,3917.1,-5.95996
-1982.1,3932.1,-6.01786
-1997.11,3947.11,-5.91895
-2012.11,3962.11,-5.90945
-2027.11,3977.11,-5.55965
-2042.11,3992.11,-5.23162
-2057.11,4007.11,-5.22
-2072.11,4022.11,-5.15438
-2087.11,4037.11,-5.42821
-2102.12,4052.12,-6.03865
-2117.12,4067.12,-6.49215
-2132.12,4082.12,-6.6403
-2147.12,4097.12,-6.6466
-2162.12,4112.12,-6.66318
-2177.12,4127.12,-7.31549
-2192.13,4142.13,-7.06
-2207.13,4157.13,-6.65197
-2222.13,4172.13,-6.15264
-2237.13,4187.13,-6.46205
-2252.13,4202.13,-6.76263
-2267.13,4217.13,-6.28535
-2282.13,4232.13,-5.7997
-2297.14,4247.14,-6.01914
-2312.14,4262.14,-6.11793
-2327.14,4277.14,-6.11515
-2342.14,4292.14,-6.30496
-2357.14,4307.14,-6.59284
-2372.14,4322.14,-6.04335
-2387.15,4337.15,-5.28591
-2402.15,4352.15,-5.13718
-2417.15,4367.15,-5.42898
-2432.15,4382.15,-5.73056
-2447.15,4397.15,-6.16521
-2462.15,4412.15,-6.83842
-2477.15,4427.15,-7.23693
-2492.16,4442.16,-7.222
-2507.16,4457.16,-6.8755
-2522.16,4472.16,-6.31599
-2537.16,4487.16,-6.39
-2552.16,4502.16,-6.42755
-2567.16,4517.16,-6.61786
-2582.17,4532.17,-6.89262
-2597.17,4547.17,-7.29677
-2612.17,4562.17,-7.51303
-2627.17,4577.17,-7.77818
-2642.17,4592.17,-7.61753
-2657.17,4607.17,-7.45687
-2672.17,4622.17,-7.29622
-2687.18,4637.18,-7.13556
-2702.18,4652.18,-6.97491
-2717.18,4667.18,-6.81425
-2732.18,4682.18,-6.6536
-2747.18,4697.18,-6.4929500000000004
-2762.18,4712.18,-6.33229
-2777.19,4727.19,-5.81687
-2792.19,4742.19,-5.40943
-2807.19,4757.19,-5.6639
-2822.19,4772.19,-5.89881
-2837.19,4787.19,-5.80506
-2852.19,4802.19,-5.77477
-2867.19,4817.19,-5.81774
-2882.2,4832.2,-5.83693
-2897.2,4847.2,-5.86624
-2912.2,4862.2,-5.8239
-2927.2,4877.2,-5.6356
-2942.2,4892.2,-5.736
-2957.2,4907.2,-5.6983
-2972.2,4922.2,-5.3524
-2987.21,4937.21,-5.42598
-3002.21,4952.21,-5.37547
-3017.21,4967.21,-5.32668
-3032.21,4982.21,-5.80485
-3047.21,4997.21,-5.47942
-3062.21,5012.21,-5.87754
-3077.22,5027.22,-5.82427
-3092.22,5042.22,-5.61174
-3107.22,5057.22,-6.15803
-3122.22,5072.22,-5.82387
-3137.22,5087.22,-5.74819
-3152.22,5102.22,-5.75592
-3167.22,5117.22,-5.50355
-3182.23,5132.23,-5.13934
-3197.23,5147.23,-5.14553
-3212.23,5162.23,-5.3723
-3227.23,5177.23,-5.46928
-3242.23,5192.23,-5.50929
-3257.23,5207.23,-5.54929
-3272.24,5222.24,-5.5893
-3287.24,5237.24,-5.6293
-3302.24,5252.24,-5.6693
-3317.24,5267.24,-5.70358
-3332.24,5282.24,-5.83703
-3347.24,5297.24,-6.13186
-3362.24,5312.24,-6.32361
-3377.25,5327.25,-6.30062
-3392.25,5342.25,-6.26504
-3407.25,5357.25,-6.0564
-3422.25,5372.25,-6.20502
-3437.25,5387.25,-6.48626
-3452.25,5402.25,-6.57321
-3467.26,5417.26,-7.33489
-3482.26,5432.26,-7.03486
-3497.26,5447.26,-6.68136
-3512.26,5462.26,-6.1013
-3527.26,5477.26,-5.85921
-3542.26,5492.26,-6.00628
-3557.26,5507.26,-6.07408
-3572.27,5522.27,-6.45857
-3587.27,5537.27,-6.65146
-3602.27,5552.27,-6.66317
-3617.27,5567.27,-6.58695
-3632.27,5582.27,-6.67272
-3647.27,5597.27,-6.91764
-3662.28,5612.28,-7.16219
-3677.28,5627.28,-6.79377
-3692.28,5642.28,-5.39989
-3707.28,5657.28,-5.26376
-3722.28,5672.28,-5.21512
-3737.28,5687.28,-5.38001
-3752.28,5702.28,-5.33036
-3767.29,5717.29,-5.45134
-3782.29,5732.29,-5.56712
-3797.29,5747.29,-5.41711
-3812.29,5762.29,-5.35641
-3827.29,5777.29,-5.66016
-3842.29,5792.29,-5.91603
-3857.3,5807.3,-6.28276
-3872.3,5822.3,-5.93518
-3887.3,5837.3,-5.34492
-3902.3,5852.3,-5.04412
-3917.3,5867.3,-5.02651
-3932.3,5882.3,-5.36618
-3947.3,5897.3,-5.71818
-3962.31,5912.31,-5.81283
-3977.31,5927.31,-6.20664
-3992.31,5942.31,-6.67377
-4007.31,5957.31,-6.05179
-4022.31,5972.31,-4.9918
-4037.31,5987.31,-4.99805
-4052.32,6002.32,-5.0043
-4067.32,6017.32,-5.02932
-4082.32,6032.32,-5.22011
-4097.32,6047.32,-5.111
-4112.32,6062.32,-5.15788
-4127.32,6077.32,-5.52285
-4142.32,6092.32,-5.33408
-4157.33,6107.33,-4.86857
-4172.33,6122.33,-4.96492
-4187.33,6137.33,-5.1484
-4202.33,6152.33,-4.83591
-4217.33,6167.33,-4.77395
-4232.33,6182.33,-4.86667
-4247.34,6197.34,-5.16673
-4262.34,6212.34,-5.60406
-4277.34,6227.34,-5.31007
-4292.34,6242.34,-4.74774
-4307.34,6257.34,-4.91464
-4322.34,6272.34,-5.2669
-4337.34,6287.34,-5.53629
-4352.35,6302.35,-5.6762
-4367.35,6317.35,-5.99931
-4382.35,6332.35,-5.73155
-4397.35,6347.35,-5.44071
-4412.35,6362.35,-5.33604
-4427.35,6377.35,-5.16727
-4442.36,6392.36,-5.30355
-4457.36,6407.36,-5.66892
-4472.36,6422.36,-6.24434
-4487.36,6437.36,-6.57248
-4502.36,6452.36,-6.97539
-4517.36,6467.36,-5.92949
-4532.36,6482.36,-5.38227
-4547.37,6497.37,-5.30254
-4562.37,6512.37,-5.3444
-4577.37,6527.37,-5.12846
-4592.37,6542.37,-4.98674
-4607.37,6557.37,-5.21895
-4622.37,6572.37,-5.55926
-4637.38,6587.38,-5.92071
-4652.38,6602.38,-5.84286
-4667.38,6617.38,-5.15775
-4682.38,6632.38,-5.27252
-4697.38,6647.38,-5.67195
-4712.38,6662.38,-5.3668
-4727.38,6677.38,-5.65308
-4742.39,6692.39,-5.76276
-4757.39,6707.39,-5.48148
-4772.39,6722.39,-5.51497
-4787.39,6737.39,-5.18523
-4802.39,6752.39,-5.09959
-4817.39,6767.39,-5.07488
-4832.4,6782.4,-5.05017
-4847.4,6797.4,-5.02546
-4862.4,6812.4,-5.00076
-4877.4,6827.4,-5.007
-4892.4,6842.4,-5.16963
-4907.4,6857.4,-5.28612
-4922.4,6872.4,-5.88618
-4937.41,6887.41,-5.32997
-4952.41,6902.41,-5.06266
-4967.41,6917.41,-5.21253
-4982.41,6932.41,-5.62184
-4997.41,6947.41,-5.64705
-5012.41,6962.41,-5.26779
-5027.42,6977.42,-5.09024
-5042.42,6992.42,-5.2874
-5057.42,7007.42,-5.38828
-5072.42,7022.42,-5.43137
-5087.42,7037.42,-5.49148
-5102.42,7052.42,-5.38581
-5117.42,7067.42,-5.59209
-5132.43,7082.43,-6.05081
-5147.43,7097.43,-6.28463
-5162.43,7112.43,-6.53751
-5177.43,7127.43,-6.03562
-5192.43,7142.43,-6.04319
-5207.43,7157.43,-5.93172
-5222.44,7172.44,-5.6303
-5237.44,7187.44,-5.70287
-5252.44,7202.44,-6.05576
-5267.44,7217.44,-6.7523
-5282.44,7232.44,-7.65874
-5297.44,7247.44,-6.46465
-5312.44,7262.44,-5.21111
-5327.45,7277.45,-5.58615
-5342.45,7292.45,-5.8979799999999996
-5357.45,7307.45,-5.34161
-5372.45,7322.45,-5.51014
-5387.45,7337.45,-5.62368
-5402.45,7352.45,-5.44502
-5417.46,7367.46,-5.18846
-5432.46,7382.46,-5.08932
-5447.46,7397.46,-5.29375
-5462.46,7412.46,-5.64483
-5477.46,7427.46,-5.92483
-5492.46,7442.46,-6.50623
-5507.46,7457.46,-7.25326
-5522.47,7472.47,-6.71708
-5537.47,7487.47,-7.58904
-5552.47,7502.47,-8.41579
-5567.47,7517.47,-6.58888
-5582.47,7532.47,-7.05169
-5597.47,7547.47,-6.76456
-5612.48,7562.48,-5.92601
-5627.48,7577.48,-5.20808
-5642.48,7592.48,-5.59496
-5657.48,7607.48,-5.7016
-5672.48,7622.48,-5.64099
-5687.48,7637.48,-5.54839
-5702.48,7652.48,-5.55065
-5717.49,7667.49,-5.72767
-5732.49,7682.49,-5.96454
-5747.49,7697.49,-5.93064
-5762.49,7712.49,-5.95547
-5777.49,7727.49,-5.94236
-5792.49,7742.49,-5.77381
-5807.5,7757.5,-6.09752
-5822.5,7772.5,-5.99503
-5837.5,7787.5,-5.56507
-5852.5,7802.5,-5.50249
-5867.5,7817.5,-5.83554
-5882.5,7832.5,-5.94386
-5897.5,7847.5,-5.7605
-5912.51,7862.51,-5.40346
-5927.51,7877.51,-5.14908
-5942.51,7892.51,-4.95065
-5957.51,7907.51,-4.79347
-5972.51,7922.51,-4.99349
-5987.51,7937.51,-5.25802
-6002.51,7952.51,-5.37757
-6017.52,7967.52,-5.34725
-6032.52,7982.52,-5.31016
-6047.52,7997.52,-5.4587
-6062.52,8012.52,-5.74207
-6077.52,8027.52,-5.55213
-6092.52,8042.52,-5.64617
-6107.53,8057.53,-5.77275
-6122.53,8072.53,-5.65418
-6137.53,8087.53,-5.2247
-6152.53,8102.53,-5.35805
-6167.53,8117.53,-5.18506
-6182.53,8132.53,-5.19533
-6197.53,8147.53,-5.29307
-6212.54,8162.54,-5.26
-6227.54,8177.54,-5.02344
-6242.54,8192.54,-4.78688
-6257.54,8207.54,-4.55031
-6272.54,8222.54,-4.88194
-6287.54,8237.54,-4.77385
-6302.55,8252.55,-4.7661
-6317.55,8267.55,-5.19506
-6332.55,8282.55,-5.28071
-6347.55,8297.55,-5.0177
-6362.55,8312.55,-5.34793
-6377.55,8327.55,-4.8566
-6392.55,8342.55,-5.26815
-6407.56,8357.56,-4.67747
-6422.56,8372.56,-5.00575
-6437.56,8387.56,-5.59036
-6452.56,8402.56,-5.81671
-6467.56,8417.56,-5.75758
-6482.56,8432.56,-5.57252
-6497.57,8447.57,-5.20288
-6512.57,8462.57,-4.76582
-6527.57,8477.57,-4.75623
-6542.57,8492.57,-5.24284
-6557.57,8507.57,-5.27604
-6572.57,8522.57,-4.79525
-6587.57,8537.57,-4.67509
-6602.58,8552.58,-5.06888
-6617.58,8567.58,-4.86133
-6632.58,8582.58,-4.98378
-6647.58,8597.58,-5.29505
-6662.58,8612.58,-5.53228
-6677.58,8627.58,-5.37837
-6692.59,8642.59,-5.2502
-6707.59,8657.59,-5.28235
-6722.59,8672.59,-5.27555
-6737.59,8687.59,-5.21852
-6752.59,8702.59,-5.09492
-6767.59,8717.59,-4.77286
-6782.59,8732.59,-5.08375
-6797.6,8747.6,-5.43067
-6812.6,8762.6,-5.38935
-6827.6,8777.6,-5.3373100000000004
-6842.6,8792.6,-5.28526
-6857.6,8807.6,-5.40916
-6872.6,8822.6,-5.7201
-6887.61,8837.61,-5.51047
-6902.61,8852.61,-5.14174
-6917.61,8867.61,-5.07391
-6932.61,8882.61,-4.93254
-6947.61,8897.61,-4.85062
-6962.61,8912.61,-4.89403
-6977.61,8927.61,-4.92654
-6992.62,8942.62,-4.84216
-7007.62,8957.62,-5.15976
-7022.62,8972.62,-5.31818
-7037.62,8987.62,-5.24832
-7052.62,9002.62,-5.38925
-7067.62,9017.62,-5.16722
-7082.63,9032.63,-4.90926
-7097.63,9047.63,-4.83929
-7112.63,9062.63,-4.88387
-7127.63,9077.63,-4.91582
-7142.63,9092.63,-4.68991
-7157.63,9107.63,-4.81225
-7172.63,9122.63,-4.93309
-7187.64,9137.64,-5.2425
-7202.64,9152.64,-5.06703
-7217.64,9167.64,-5.41906
-7232.64,9182.64,-5.26263
-7247.64,9197.64,-5.13009
-7262.64,9212.64,-5.3511
-7277.65,9227.65,-5.48457
-7292.65,9242.65,-5.32706
-7307.65,9257.65,-5.22473
-7322.65,9272.65,-5.33641
-7337.65,9287.65,-5.24504
-7352.65,9302.65,-5.3341
-7367.65,9317.65,-5.61773
-7382.66,9332.66,-5.33645
-7397.66,9347.66,-5.24755
-7412.66,9362.66,-5.46498
-7427.66,9377.66,-5.14831
-7442.66,9392.66,-5.15661
-7457.66,9407.66,-5.21792
-7472.67,9422.67,-5.23549
-7487.67,9437.67,-5.39334
-7502.67,9452.67,-5.57646
-7517.67,9467.67,-5.34526
-7532.67,9482.67,-4.73521
-7547.67,9497.67,-4.5366
-7562.67,9512.67,-4.86265
-7577.68,9527.68,-5.14393
-7592.68,9542.68,-4.59041
-7607.68,9557.68,-4.71703
-7622.68,9572.68,-4.8257
-7637.68,9587.68,-5.18382
-7652.68,9602.68,-5.38631
-7667.69,9617.69,-5.55305
-7682.69,9632.69,-5.57298
-7697.69,9647.69,-5.38156
-7712.69,9662.69,-5.32414
-7727.69,9677.69,-5.22531
-7742.69,9692.69,-4.91259
-7757.69,9707.69,-4.84262
-7772.7,9722.7,-4.68323
-7787.7,9737.7,-4.82698
-7802.7,9752.7,-4.97699
-7817.7,9767.7,-4.87012
-7832.7,9782.7,-4.81824
-7847.7,9797.7,-4.85389
-7862.71,9812.71,-4.95698
-7877.71,9827.71,-5.06067
-7892.71,9842.71,-5.18708
-7907.71,9857.71,-5.32349
-7922.71,9872.71,-5.34289
-7937.71,9887.71,-5.31659
-7952.71,9902.71,-5.41874
-7967.72,9917.72,-5.2196
-7982.72,9932.72,-5.6126
-7997.72,9947.72,-6.03562
-8012.72,9962.72,-5.73559
-8027.72,9977.72,-5.39875
-8042.72,9992.72,-5.28927
-8057.7,10007.7,-5.40924
-8072.7,10022.7,-5.70806
-8087.7,10037.7,-5.90904
-8102.7,10052.7,-5.67082
-8117.7,10067.7,-5.4445
-8132.7,10082.7,-5.41792
-8147.7,10097.7,-5.34925
-8162.7,10112.7,-5.22692
-8177.7,10127.7,-4.92236
-8192.7,10142.7,-4.78456
-8207.7,10157.7,-5.16389
-8222.7,10172.7,-5.44517
-8237.7,10187.7,-5.67116
-8252.7,10202.7,-5.46664
-8267.7,10217.7,-5.3344
-8282.7,10232.7,-5.50091
-8297.7,10247.7,-5.79132
-8312.8,10262.8,-5.83249
-8327.8,10277.8,-5.85207
-8342.8,10292.8,-5.89934
-8357.8,10307.8,-6.00987
-8372.8,10322.8,-6.20214
-8387.8,10337.8,-5.89295
-8402.8,10352.8,-6.02701
-8417.8,10367.8,-6.75409
-8432.8,10382.8,-6.53348
-8447.8,10397.8,-6.4008
-8462.8,10412.8,-6.82881
-8477.8,10427.8,-6.33341
-8492.8,10442.8,-6.24149
-8507.8,10457.8,-6.54948
-8522.8,10472.8,-6.26244
-8537.8,10487.8,-6.03387
-8552.8,10502.8,-6.2118
-8567.8,10517.8,-6.23556
-8582.8,10532.8,-5.96208
-8597.8,10547.8,-6.04996
-8612.8,10562.8,-6.39175
-8627.8,10577.8,-6.0122
-8642.8,10592.8,-5.93479
-8657.8,10607.8,-5.64413
-8672.8,10622.8,-5.98796
-8687.8,10637.8,-5.87213
-8702.8,10652.8,-6.08793
-8717.8,10667.8,-6.05858
-8732.8,10682.8,-5.97551
-8747.8,10697.8,-6.40804
-8762.8,10712.8,-7.17218
-8777.8,10727.8,-7.82371
-8792.8,10742.8,-8.05811
-8807.8,10757.8,-8.03782
-8822.8,10772.8,-8.39765
-8837.8,10787.8,-8.03708
-8852.8,10802.8,-8.29991
-8867.8,10817.8,-9.22813
-8882.8,10832.8,-10.3322
-8897.8,10847.8,-8.91803
-8912.8,10862.8,-8.29562
-8927.8,10877.8,-8.87411
-8942.8,10892.8,-8.83258
-8957.8,10907.8,-7.87052
-8972.8,10922.8,-7.4457
-8987.8,10937.8,-7.40129
-9002.8,10952.8,-6.97084
-9017.8,10967.8,-7.00309
-9032.8,10982.8,-7.57738
-9047.8,10997.8,-7.85477
-9062.8,11012.8,-8.3507
-9077.8,11027.8,-8.72574
-9092.8,11042.8,-8.28506
-9107.8,11057.8,-8.50072
-9122.8,11072.8,-9.1416
-9137.8,11087.8,-9.34178
-9152.8,11102.8,-9.22453
-9167.8,11117.8,-8.68036
-9182.8,11132.8,-7.71437
-9197.8,11147.8,-7.08717
-9212.8,11162.8,-7.04565
-9227.8,11177.8,-6.98315
-9242.8,11192.8,-6.92064
-9257.8,11207.8,-6.86644
-9272.8,11222.8,-6.75636
-9287.9,11237.9,-6.04585
-9302.9,11252.9,-6.14899
-9317.9,11267.9,-6.42087
-9332.9,11282.9,-6.51624
-9347.9,11297.9,-6.48084
-9362.9,11312.9,-6.41863
-9377.9,11327.9,-6.36478
-9392.9,11342.9,-6.44812
-9407.9,11357.9,-7.17884
-9422.9,11372.9,-6.78828
-9437.9,11387.9,-6.63913
-9452.9,11402.9,-6.91066
-9467.9,11417.9,-6.99685
-9482.9,11432.9,-7.69677
-9497.9,11447.9,-7.29673
-9512.9,11462.9,-7.05825
-9527.9,11477.9,-7.27189
-9542.9,11492.9,-7.19978
-9557.9,11507.9,-6.94593
-9572.9,11522.9,-6.86638
-9587.9,11537.9,-6.0663
-9602.9,11552.9,-6.4102
-9617.9,11567.9,-6.96108
-9632.9,11582.9,-7.36936
-9647.9,11597.9,-7.35786
-9662.9,11612.9,-7.05221
-9677.9,11627.9,-6.79715
-9692.9,11642.9,-6.73048
-9707.9,11657.9,-7.08921
-9722.9,11672.9,-7.23314
-9737.9,11687.9,-7.3224
-9752.9,11702.9,-7.39072
-9767.9,11717.9,-7.47324
-9782.9,11732.9,-7.41718
-9797.9,11747.9,-6.57543
-9812.9,11762.9,-7.06975
-9827.9,11777.9,-7.73513
-9842.9,11792.9,-8.41294
-9857.9,11807.9,-7.96981
-9872.9,11822.9,-6.91045
-9887.9,11837.9,-6.70294
-9902.9,11852.9,-6.76962
-9917.9,11867.9,-6.70858
-9932.9,11882.9,-6.48471
-9947.9,11897.9,-6.65672
-9962.9,11912.9,-7.12601
-9977.9,11927.9,-7.4321
-9992.9,11942.9,-7.21854
-10007.9,11957.9,-6.85184
-10022.9,11972.9,-6.73586
-10037.9,11987.9,-6.74873
-10052.9,12002.9,-6.81257
-10067.9,12017.9,-6.83238
-10082.9,12032.9,-6.89414
-10097.9,12047.9,-7.12608
-10112.9,12062.9,-7.25943
-10127.9,12077.9,-7.33029
-10142.9,12092.9,-7.43345
-10157.9,12107.9,-8.44647
-10172.9,12122.9,-9.08264
-10187.9,12137.9,-9.14085
-10202.9,12152.9,-9.19988
-10217.9,12167.9,-7.87475
-10232.9,12182.9,-8.35361
-10247.9,12197.9,-9.28329
-10263,12213,-9.52634
-10278,12228,-9.32304
-10293,12243,-9.03635
-10308,12258,-8.76328
-10323,12273,-8.77995
-10338,12288,-9.24538
-10353,12303,-8.69978
-10368,12318,-8.51301
-10383,12333,-8.91997
-10398,12348,-9.20865
-10413,12363,-8.72395
-10428,12378,-9.05928
-10443,12393,-9.76688
-10458,12408,-9.38187
-10473,12423,-9.55889
-10488,12438,-9.67078
-10503,12453,-9.80121
-10518,12468,-10.7637
-10533,12483,-9.50181
-10548,12498,-8.30992
-10563,12513,-8.07705
-10578,12528,-8.60768
-10593,12543,-9.40062
-10608,12558,-10.8663
-10623,12573,-13.324
-10638,12588,-13.4299
-10653,12603,-13.1052
-10668,12618,-12.4474
-10683,12633,-12.1889
