depth (m) [1-1],age (yr BP) [1-1],Temperature (degC) [1-1],Core (unitless) [1-1],Sample interval (cm) [1-1],UK37 (unitless) [1-1],UK37_error (1sigma) [1-1],U371sigmaUncertainty- (unitless) [1-1],K37s (Âµg/g) [1-1],Temperature_uncertainty_plus (degC) [1-1],Temperature_uncertainty_minus (degC) [1-1],depth (m) [1-2],age (yr BP) [1-2],BSI (percentByWeight) [1-2],depth (m) [1-3],age (yr BP) [1-3],Al (percent) [1-3],Mn (ppm) [1-3],Co (ppm) [1-3],Cr (ppm) [1-3],U (ppm) [1-3],Mo (ppm) [1-3],Cd (ppm) [1-3],Mo_xs (ppm) [1-3],U_xs (ppm) [1-3],depth (m) [1-4],age (yr BP) [1-4],TOC (percent) [1-4],TN (percent) [1-4],d13C (permil) [1-4],dN15 (permil) [1-4],dN15_corrected (permil) [1-4],depth (m) [1-5],age (yr BP) [1-5],d13C_benthic (permil) [1-5],d18O_benthic (permil) [1-5],depth (m) [1-6],age (yr BP) [1-6],d18O_plank (permil) [1-6],d13C_plank (permil) [1-6],depth (m) [1-7],age (yr BP) [1-7],d18O_Gb (permil) [1-7],d13C_Gb (permil) [1-7]
3.235,5780,9.6,EW0408-85JC,-1,0.366,0.022,0.029,0.16,0.64,0.85,0.87,2510,4.38,1.77,3612.31,8.58,893,21.4,127,1.8,0.83,0.15,-0.8,-1.2,0.87,2512.69,0.69,0.07,-22.86,4.63,4.87,1.04,2820,-0.81,3.25,1.04,2820,1.75,0.87,1.08,2860.6,1.71,0.29
3.275,5860,8.3,EW0408-85JC,-1,0.32,0.014,0.016,0.29,0.4,0.48,0.92,2600,4.9,1.89,3723.08,8.1,878,20.7,119,1.9,0.79,0.15,-0.75,-0.94,0.92,2603.08,0.64,0.06,-22.96,4.28,4.58,1.08,2860.6,-1.01,3.25,1.08,2860.6,1.58,0.82,1.13,2918.6,1.76,-0.01
3.305,5910,8.1,EW0408-85JC,-1,0.315,0.012,0.014,0.59,0.36,0.41,0.97,2690,4.73,1.97,3796.92,8.32,878,19.9,119,1.6,0.72,0.09,-0.86,-1.31,0.97,2693.46,0.69,0.07,-22.94,4.38,4.67,1.13,2918.6,-0.85,3.27,1.13,2918.6,1.51,0.84,1.18,2976.6,1.46,0.25
3.325,5950,8.1,EW0408-85JC,-1,0.313,0.012,0.014,0.37,0.36,0.4,1.02,2780,6.51,2.07,3896.67,8.6,905,22.3,121,1.6,0.66,0.11,-0.97,-1.41,1.02,2783.85,0.68,0.06,-23.09,4.57,5.02,1.18,2976.6,-0.93,3.19,1.18,2976.6,1.78,0.69,1.23,3034.6,1.49,0.27
3.375,6050,9.2,EW0408-85JC,-1,0.351,0.014,0.017,0.26,0.42,0.49,1.07,2850,6.19,2.19,4096.67,8.04,883,20.7,114,2.1,0.93,0.14,-0.6,-0.71,1.07,2854.8,0.63,0.06,-23.24,4.44,5.04,1.23,3034.6,-0.69,3.23,1.23,3034.6,1.4,0.86,1.28,3092.6,1.5,0.11
3.565,6450,8.7,EW0408-85JC,-1,0.335,0.026,0.028,NA,0.75,0.81,1.12,2910,5.12,2.27,4230,8.46,891,21,122,1.7,0.8,0.12,-0.81,-1.26,1.12,2912.8,0.65,0.06,-22.96,4.16,4.44,1.28,3092.6,-0.78,3.26,1.28,3092.6,1.57,0.72,1.33,3150.6,1.76,0.53
3.735,6970,8.8,EW0408-85JC,-1,0.337,0.012,0.013,0.87,0.36,0.4,1.17,2970,4.9,2.39,4430,8.02,859,20.6,112,1.9,0.85,0.1,-0.67,-0.91,1.17,2970.8,0.63,0.06,-23.11,3.92,4.31,1.33,3150.6,-0.91,3.27,1.33,3150.6,1.59,0.81,1.38,3208.6,1.71,0.33
3.96,7660,9.1,EW0408-85JC,-1,0.348,0.025,0.026,NA,0.74,0.78,1.22,3030,4.36,2.47,4563.33,8.34,899,20.2,128,1.8,0.9,0.1,-0.68,-1.12,1.22,3028.8,0.68,0.06,-23.06,4.02,4.38,1.38,3208.6,-0.93,3.24,1.38,3208.6,1.51,0.93,1.44,3278.2,1.82,0.54
4.065,7960,9.5,EW0408-85JC,-1,0.361,0.026,0.028,0.53,0.78,0.82,1.27,3090,4.85,2.57,4723.2,8.36,879,20.8,128,1.6,0.73,0.09,-0.86,-1.33,1.27,3086.8,0.7,0.06,-23.12,4.19,4.62,1.44,3278.2,-0.79,3.17,1.44,3278.2,1.52,0.84,1.48,3324.6,1.66,0.51
4.475,8520,10,EW0408-85JC,-1,0.379,0.013,0.015,0.52,0.4,0.43,1.32,3140,5.92,2.69,4896,7.67,853,20.2,116,1.5,0.85,0.11,-0.61,-1.18,1.32,3144.8,0.73,0.06,-23.1,3.84,4.21,1.48,3324.6,-0.94,3.16,1.48,3324.6,1.5,0.84,1.54,3400,1.43,0.19
4.985,9140,9.5,EW0408-85JC,-1,0.364,0.026,0.027,NA,0.76,0.8,1.37,3200,6.14,2.77,5011.2,7.87,843,20.7,112,1.5,0.72,0.15,-0.78,-1.25,1.37,3202.8,0.75,0.06,-23.59,3.35,4.04,1.48,3324.6,-0.76,3.2,1.54,3400,1.65,0.88,1.58,3432.30769,1.47,0.21
4.995,9150,10.3,EW0408-85JC,-1,0.388,0.013,0.013,0.57,0.38,0.4,1.42,3260,5.03,2.87,5155.2,8.2,831,20.6,116,1.6,0.68,0.14,-0.88,-1.27,1.42,3260.8,0.72,0.05,-23.74,3.19,3.96,1.54,3400,-0.84,3.2,1.58,3432.31,1.51,0.75,1.63,3478.46154,1.33,0.23
5.245,9500,10.5,EW0408-85JC,-1,0.394,0.013,0.013,0.89,0.37,0.39,1.47,3320,5.71,2.99,5328,7.38,797,19.6,110,1.9,0.82,0.18,-0.58,-0.68,1.47,3318.8,0.7,0.06,-23.81,3.21,4.05,1.58,3432.31,-0.8,3.07,1.63,3478.46,1.55,0.75,1.68,3524.61538,1.67,0.21
5.405,9740,9.9,EW0408-85JC,-1,0.376,0.012,0.012,1.22,0.36,0.37,1.52,3380,6.44,3.07,5458.2,8.12,839,20.9,111,1.7,0.7,0.13,-0.84,-1.14,1.52,3376.8,0.8,0.06,-23.87,3.49,4.5,1.63,3478.46,-0.88,3.19,1.68,3524.62,1.35,0.82,1.73,3570.76923,1.32,0.17
5.505,9880,9.8,EW0408-85JC,-1,0.371,0.025,0.025,NA,0.73,0.73,1.57,3430,5.48,3.19,5691,7.9,824,20.3,114,2,0.78,0.2,-0.72,-0.77,1.57,3427.69,0.65,0.05,-24.03,2.83,3.71,1.68,3524.62,-0.91,3.2,1.73,3570.77,1.43,0.82,1.78,3616.92308,1.65,0.04
5.595,10030,9.6,EW0408-85JC,-1,0.366,0.012,0.012,2.12,0.36,0.36,1.62,3470,5.44,3.27,5846.2,8.01,849,21.3,123,1.7,0.67,0.07,-0.85,-1.1,1.62,3473.85,0.61,0.05,-24.14,3.01,4.1,1.73,3570.77,-1,3.13,1.78,3616.92,1.28,0.69,1.83,3663.07692,1.77,0.3
5.605,10050,9.6,EW0408-85JC,-1,0.367,0.012,0.012,1.55,0.35,0.36,1.67,3520,6.1,3.37,6040.2,8.75,899,18.9,123,1.6,0.72,0.11,-0.94,-1.46,1.67,3520,0.75,0.06,-23.93,3.22,4.19,1.78,3616.92,-0.97,3.1,1.83,3663.08,1.52,0.77,1.88,3709.23077,1.54,0.36
5.655,10140,10.4,EW0408-85JC,-1,0.393,0.013,0.013,0.69,0.37,0.39,1.72,3570,6.54,3.49,6273,7.67,821,19.1,113,1.6,0.66,0.14,-0.8,-1.08,1.72,3566.15,0.69,0.05,-23.93,3.11,4.02,1.83,3663.08,-0.85,3.18,1.88,3709.23,1.51,0.75,1.93,3755.38462,1.74,0.38
5.705,10240,10.5,EW0408-85JC,-1,0.394,0.026,0.026,1.09,0.75,0.76,1.77,3610,8.64,3.58,6493.14,7.67,832,19.5,111,1.7,0.67,0.14,-0.79,-0.98,1.77,3612.31,0.7,0.06,-23.85,3.31,4.23,1.88,3709.23,-0.95,3.16,1.93,3755.38,1.34,0.79,1.98,3801.53846,1.61,0.58
5.795,10420,9.4,EW0408-85JC,-1,0.359,0.012,0.013,2.31,0.36,0.38,1.82,3660,6.15,3.67,6770.2,7.99,861,19.1,123,1.5,0.65,0.17,-0.87,-1.3,1.82,3658.46,0.7,0.06,-23.57,3.79,4.59,1.93,3755.38,-0.9,3.16,1.98,3801.54,1.47,0.68,2.03,3847.69231,1.61,0.23
5.805,10440,9.3,EW0408-85JC,-1,0.357,0.012,0.012,1.56,0.35,0.36,1.87,3700,5.68,3.79,7139.61,7.75,820,21.3,117,2,0.77,0.17,-0.7,-0.71,1.87,3704.62,0.63,0.05,-23.72,3.21,3.97,1.98,3801.54,-1.07,3.1,2.03,3847.69,1.54,0.72,2.06,3880,1.94,0.58
5.855,10560,10.5,EW0408-85JC,-1,0.395,0.012,0.013,1.31,0.37,0.37,1.92,3750,5.89,3.87,7385.88,7.69,796,19.2,115,1.9,0.77,0.2,-0.69,-0.79,1.92,3750.77,0.62,0.05,-23.57,3.49,4.2,2.03,3847.69,-0.97,3.14,2.06,3880,1.84,0.69,2.13,3988.33333,1.56,0.26
5.895,10650,9.4,EW0408-85JC,-1,0.357,0.012,0.012,2.2,0.34,0.34,1.97,3800,5.56,3.97,7693.73,7.97,826,18.9,117,2.2,1.07,0.21,-0.44,-0.59,1.97,3796.92,0.65,0.05,-23.46,3.6,4.24,2.06,3880,-0.9,3.29,2.13,3988.33,1.71,0.83,2.18,4071.66667,1.6,0.27
5.915,10690,8.8,EW0408-85JC,-1,0.339,0.012,0.012,2.95,0.34,0.36,2.02,3840,5.16,4.09,7994.4,7.79,833,20.5,112,2.1,0.94,0.18,-0.54,-0.63,2.02,3843.08,0.63,0.05,-23.31,3.58,4.08,2.13,3988.33,-0.89,3.17,2.18,4071.67,1.62,0.86,2.23,4155,1.81,0.17
5.955,10770,10.1,EW0408-85JC,-1,0.381,0.025,0.025,2.09,0.73,0.72,2.07,3900,5.05,4.19,8130.4,7.96,827,22.4,113,2.4,1.1,0.28,-0.41,-0.39,2.07,3896.67,0.6,0.05,-23.32,3.37,3.83,2.18,4071.67,-0.89,3.19,2.23,4155,1.77,0.75,2.33,4321.66667,1.63,0.48
5.975,10820,10,EW0408-85JC,-1,0.378,0.013,0.014,2.36,0.38,0.4,2.12,3980,5,4.27,8239.2,8.17,839,19.2,119,1.8,0.93,0.15,-0.62,-1.06,2.12,3980,0.65,0.06,-23.48,3.76,4.45,2.23,4155,-1.03,3.15,2.28,4238.33,1.34,0.84,2.38,4405,1.59,0.39
6.015,10900,11.3,EW0408-85JC,-1,0.425,0.013,0.013,1.83,0.37,0.37,2.17,4060,5.52,4.37,8375.2,8.33,857,20.3,124,2.2,1.33,0.21,-0.25,-0.72,2.17,4063.33,0.67,0.06,-23.51,3.71,4.42,2.33,4321.67,-0.94,3.22,2.33,4321.67,1.52,0.91,2.43,4488.33333,1.77,0.49
6.055,11010,11.7,EW0408-85JC,-1,0.437,0.013,0.014,2.11,0.39,0.4,2.22,4150,5.33,4.49,8538.4,8.01,805,19.9,113,2.2,0.97,0.17,-0.55,-0.6,2.22,4146.67,0.66,0.06,-23.62,3.82,4.68,2.38,4405,-0.96,3.17,2.38,4405,1.67,0.84,2.48,4571.66667,1.48,0.08
6.075,11090,12.3,EW0408-85JC,-1,0.457,0.013,0.013,1.65,0.38,0.38,2.27,4230,5.75,4.59,8668,8.05,816,19.2,108,2.2,0.91,0.14,-0.62,-0.62,2.27,4230,0.69,0.06,-23.69,2.21,2.62,2.43,4488.33,-0.97,3.17,2.43,4488.33,1.66,0.86,2.54,4680,1.7,0.23
6.115,11230,9,EW0408-85JC,-1,0.343,0.012,0.013,1.14,0.36,0.38,2.32,4310,5.74,4.69,8788,7.65,789,18.9,112,2.3,0.89,0.23,-0.56,-0.38,2.32,4313.33,0.66,0.05,-24.06,3.16,4.23,2.48,4571.67,-0.95,3.22,2.48,4571.67,1.56,0.81,2.58,4730.4,1.73,0.23
6.125,11260,8.1,EW0408-85JC,-1,0.315,0.011,0.012,0.96,0.34,0.36,2.37,4400,6.56,4.79,8908,7.78,816,19.2,119,2,0.94,0.24,-0.54,-0.72,2.37,4396.67,0.78,0.06,-23.96,3.7,4.91,2.54,4680,-0.84,3.23,2.54,4680,1.75,0.84,2.63,4802.4,1.96,0.1
6.155,11360,7.4,EW0408-85JC,-1,0.29,0.012,0.013,0.86,0.34,0.39,2.42,4480,5.79,4.89,9028,7.9,839,21.4,123,1.9,0.87,0.18,-0.63,-0.87,2.42,4480,0.66,0.05,-23.99,2.77,3.59,2.58,4730.4,-1.03,3.14,2.58,4730.4,1.61,0.79,2.68,4874.4,1.85,0.45
6.22,11590,7.7,EW0408-85JC,-1,0.3,0.024,0.026,0.6,0.7,0.75,2.47,4560,6.76,4.97,9124,8.52,868,20.5,128,1.8,0.84,0.24,-0.78,-1.18,2.47,4563.33,0.7,0.05,-23.98,3.75,5.01,2.63,4802.4,-0.94,3.12,2.63,4802.4,1.58,0.75,2.73,4946.4,1.76,0.11
6.255,11720,7.4,EW0408-85JC,-1,0.291,0.013,0.017,0.43,0.39,0.51,2.52,4650,6.25,5.09,9278.4,8.09,822,18,118,1.8,0.82,0.12,-0.72,-1.03,2.52,4646.67,0.73,0.06,-24,3.71,4.98,2.68,4874.4,-1,3.18,2.68,4874.4,1.54,0.78,2.78,5018.4,1.9,0.14
6.305,11920,6.8,EW0408-85JC,-1,0.27,0.012,0.015,0.39,0.34,0.43,2.57,4720,6.06,5.17,9395.2,8.15,820,19.2,123,1.8,0.83,0.47,-0.72,-1.05,2.57,4723.2,0.75,0.06,-23.84,4.36,5.69,2.73,4946.4,-1.15,3.12,2.73,4946.4,1.67,0.81,2.83,5090.4,1.65,0.29
6.335,12040,6.6,EW0408-85JC,-1,0.262,0.012,0.017,0.51,0.36,0.5,2.62,4800,6.76,5.29,9570.4,7.94,786,17.3,108,1.7,0.72,0.23,-0.79,-1.08,2.62,4795.2,0.75,0.06,-23.7,3.74,4.66,2.78,5018.4,-0.98,3.24,2.78,5018.4,1.73,0.84,2.88,5162.4,1.88,0.49
6.355,12110,6.3,EW0408-85JC,-1,0.254,0.011,0.013,0.73,0.31,0.37,2.67,4870,7.35,5.37,9687.2,8.32,832,19.4,128,1.8,0.71,0.23,-0.87,-1.11,2.67,4867.2,0.77,0.07,-23.51,4.23,5.07,2.83,5090.4,-1.02,3.13,2.83,5090.4,1.71,0.81,2.93,5234.4,1.8,0.34
6.365,12150,7.2,EW0408-85JC,-1,0.28,0.025,0.03,0.36,0.74,0.9,2.72,4940,6.2,5.43,9774.8,8.19,804,18.9,122,1.8,0.83,0.21,-0.73,-1.07,2.72,4939.2,0.73,0.06,-23.38,4.32,5.05,2.88,5162.4,-1.05,3.15,2.88,5162.4,1.64,0.79,2.98,5306.4,1.64,0.33
6.385,12230,6.4,EW0408-85JC,-1,0.255,0.011,0.013,0.47,0.32,0.38,2.77,5010,5.82,5.49,9862.4,7.71,758,17.6,108,1.9,1.13,0.27,-0.33,-0.8,2.77,5011.2,0.76,0.07,-23.23,4.61,5.22,2.93,5234.4,-1.12,3.22,2.93,5234.4,1.67,0.83,3.04,5400,1.8,0.22
6.395,12270,6.8,EW0408-85JC,-1,0.27,0.011,0.013,0.46,0.33,0.39,2.82,5080,6.03,5.57,9987,8.56,820,16.7,114,1.8,0.93,0.19,-0.7,-1.2,2.82,5083.2,0.7,0.06,-23.33,4.14,4.77,2.98,5306.4,-1.06,3.22,2.98,5306.4,1.64,0.75,3.08,5467.9,1.7,0.14
6.405,12330,7.9,EW0408-85JC,-1,0.308,0.012,0.014,0.59,0.35,0.4,2.87,5160,5.59,5.62,10079.5,8.14,818,16.4,122,1.6,0.74,0.15,-0.81,-1.25,2.87,5155.2,0.68,0.06,-23.26,4.35,4.94,3.04,5400,-1.03,3.28,3.04,5400,1.85,0.62,3.13,5564.9,1.88,0.06
6.415,12410,7.7,EW0408-85JC,-1,0.301,0.012,0.013,0.92,0.34,0.39,2.92,5230,6.04,5.69,10209,8.01,817,18.7,113,2,0.77,0.26,-0.75,-0.8,2.92,5227.2,0.77,0.07,-23.17,4.29,4.78,3.08,5467.9,-0.97,3.24,3.08,5467.9,1.69,0.74,3.18,5661.9,1.7,0.14
6.425,12490,8.4,EW0408-85JC,-1,0.324,0.012,0.014,0.67,0.36,0.4,2.97,5300,6,5.72,10264.5,8.03,816,18.3,124,2.1,0.88,0.19,-0.65,-0.71,2.97,5299.2,0.7,0.05,-23.25,3.54,3.98,3.13,5564.9,-1.1,3.21,3.13,5564.9,1.65,0.77,3.23,5758.9,1.74,-0.16
6.435,12570,8.5,EW0408-85JC,-1,0.329,0.012,0.014,0.56,0.37,0.41,3.02,5370,6.01,5.79,10410.67,7.79,775,18.4,107,3.7,3.55,0.39,2.07,0.97,3.02,5371.2,0.71,0.06,-23.25,4.32,4.9,3.18,5661.9,-1.01,3.28,3.18,5661.9,1.55,0.74,3.28,5855.9,1.69,0.23
6.445,12650,8.7,EW0408-85JC,-1,0.334,0.012,0.013,0.68,0.36,0.39,3.07,5460,7.13,5.82,10478.67,8.05,798,16,114,2.7,1.3,0.46,-0.23,-0.12,3.07,5458.2,0.68,0.05,-23.62,3.43,4.17,3.28,5855.9,-1.08,3.27,3.23,5758.9,1.71,0.82,3.33,5952.9,1.84,0.38
6.455,12810,8.4,EW0408-85JC,-1,0.324,0.012,0.013,0.98,0.35,0.37,3.12,5560,6.24,5.89,10637.33,7.62,744,17.7,112,2.6,1.41,0.35,-0.04,-0.07,3.12,5555.2,0.73,0.06,-23.82,3.42,4.35,3.33,5952.9,-1.13,3.15,3.28,5855.9,1.64,0.73,3.38,6049.9,1.78,0.31
6.465,12970,8.6,EW0408-85JC,-1,0.331,0.012,0.013,0.86,0.35,0.37,3.17,5650,6.46,5.92,10701.43,8.37,825,16.9,123,2.3,1.58,0.27,-0.01,-0.63,3.17,5652.2,0.72,0.06,-23.84,3.81,4.91,3.38,6049.9,-0.94,3.26,3.33,5952.9,1.74,0.8,3.43,6146.9,1.82,0.34
6.475,13130,9.8,EW0408-85JC,-1,0.371,0.014,0.015,0.97,0.4,0.44,3.22,5750,6.21,5.99,10846.43,7.42,713,16.7,103,4.2,3.21,0.7,1.8,1.6,3.22,5749.2,0.78,0.06,-24.07,3.71,5.08,3.43,6146.9,-1.08,3.16,3.38,6049.9,1.73,0.85,3.48,6243.9,1.75,0.07
6.505,13530,9.9,EW0408-85JC,-1,0.374,0.012,0.012,1.7,0.36,0.36,3.27,5850,6.1,6.02,10908.57,7.95,762,18.5,107,2.7,4.1,0.68,2.59,-0.08,3.27,5846.2,0.76,0.06,-23.87,3.64,4.71,3.48,6243.9,-1.07,3.26,3.43,6146.9,1.6,0.85,3.54,6370,1.94,0.34
6.52,13640,10.1,EW0408-85JC,-1,0.38,0.025,0.026,1.07,0.75,0.75,3.32,5940,6.4,6.07,11070,8.06,783,17,108,2.2,2.23,0.57,0.7,-0.62,3.32,5943.2,0.73,0.06,-23.77,3.7,4.68,3.54,6370,-0.89,3.31,3.48,6243.9,1.76,0.89,3.58,6477.7451,1.81,0.34
6.545,13820,9.5,EW0408-85JC,-1,0.36,0.013,0.013,0.9,0.37,0.39,3.37,6040,6.53,6.12,11248.18,7.89,772,15,95,2.3,1.6,0.25,0.1,-0.46,3.37,6040.2,0.75,0.06,-23.88,3.1,3.97,3.58,6477.75,-1.02,3.23,3.54,6370,1.75,0.65,3.63,6631.66667,1.82,0.25
6.565,13910,10.5,EW0408-85JC,-1,0.397,0.013,0.014,0.94,0.39,0.41,3.42,6140,5.88,6.19,11477.27,7.34,728,14.8,88,2.2,1.9,0.24,0.51,-0.37,3.42,6137.2,0.68,0.06,-23.38,4.07,4.74,3.63,6631.67,-0.82,3.31,3.58,6477.75,1.85,0.8,3.68,6785.58824,1.9,0.47
