year (AD),age (yr BP),RegionalMeanAnnualTemp (degC),T.MinusSD (degC),T.PlusSD (degC)
-2200,4150,0.460161078,0.381607245,0.538714911
-2250,4200,0.487506616,0.389596263,0.585416969
-2300,4250,0.506096431,0.380525276,0.631667586
-2350,4300,0.516892278,0.375587146,0.658197411
-2400,4350,0.526617003,0.369473687,0.68376032
-2450,4400,0.52938289,0.367003462,0.691762317
-2500,4450,0.518959863,0.362860516,0.67505921
-2550,4500,0.513935073,0.367551658,0.660318488
-2600,4550,0.505445691,0.373351967,0.637539415
-2650,4600,0.494786652,0.378226159,0.611347144
-2700,4650,0.479888923,0.37799057,0.581787277
-2750,4700,0.473402213,0.37656949,0.570234935
-2800,4750,0.46718499,0.358570515,0.575799465
-2850,4800,0.457592517,0.314274772,0.600910261
-2900,4850,0.446941859,0.27148453,0.622399189
-2950,4900,0.42913346,0.216524147,0.641742772
-3000,4950,0.434303772,0.211125662,0.657481882
-3050,5000,0.435625942,0.19410573,0.677146154
-3100,5050,0.414242783,0.13761804,0.690867526
-3150,5100,0.435349958,0.162727522,0.707972395
-3200,5150,0.431739667,0.142477578,0.721001756
-3250,5200,0.458361169,0.17142344,0.745298897
-3300,5250,0.495512517,0.221491612,0.769533423
-3350,5300,0.537168214,0.278936556,0.795399872
-3400,5350,0.587849567,0.337695927,0.838003206
-3450,5400,0.660184044,0.446581741,0.873786346
-3500,5450,0.708537464,0.488365054,0.928709874
-3550,5500,0.778264567,0.555944969,1.000584165
-3600,5550,0.847180964,0.586437125,1.107924803
-3650,5600,0.917865902,0.569832132,1.265899672
-3700,5650,0.948122117,0.589954788,1.306289445
-3750,5700,0.953868515,0.624126355,1.283610675
-3800,5750,0.949081926,0.645199811,1.25296404
-3850,5800,0.871870579,0.706051673,1.037689486
-3900,5850,0.807999576,0.484507337,1.131491816
-3950,5900,0.80453727,0.366753588,1.242320953
-4000,5950,0.833048608,0.4150221,1.251075116
-4050,6000,0.869952531,0.484926179,1.254978884
-4100,6050,0.953105479,0.758676372,1.147534586
-4150,6100,0.982801918,0.806938855,1.158664982
-4200,6150,1.099791115,0.803131234,1.396450996
-4250,6200,1.185575615,0.818487993,1.552663238
-4300,6250,1.134812408,0.942226579,1.327398237
-4350,6300,1.151584126,0.985099135,1.318069118
-4400,6350,1.146697659,1.004253145,1.289142174
-4450,6400,1.146038181,0.960720491,1.331355871
-4500,6450,1.101370917,0.817690575,1.385051259
-4550,6500,1.120643421,0.792711808,1.448575033
-4600,6550,1.173252476,0.935449321,1.41105563
-4650,6600,1.18780832,0.937170106,1.438446535
-4700,6650,1.22647014,0.984451723,1.468488556
-4750,6700,1.297706158,1.041510575,1.553901741
-4800,6750,1.424638948,0.921416049,1.927861847
-4850,6800,1.508029973,0.904946625,2.11111332
-4900,6850,1.513134168,0.94993101,2.076337326
-4950,6900,1.489195908,1.022538363,1.955853452
-5000,6950,1.378177355,0.953903939,1.802450771
-5050,7000,1.332619997,0.8303553,1.834884695
-5100,7050,1.304317998,0.702870034,1.905765963
-5150,7100,1.320765808,0.653713844,1.987817772
-5200,7150,1.407270406,0.725805781,2.088735032
-5250,7200,1.408021212,0.693116647,2.122925777
-5300,7250,1.477962961,0.78493975,2.170986173
-5350,7300,1.581290053,0.961658391,2.200921715
-5400,7350,1.689115636,1.165688562,2.212542709
-5450,7400,1.863985823,1.408798905,2.31917274
-5500,7450,1.975515663,1.477708293,2.473323033
-5550,7500,2.076702826,1.475974984,2.677430669
-5600,7550,2.147716202,1.391515723,2.903916681
-5650,7600,2.18770077,1.343697163,3.031704378
-5700,7650,2.318919337,1.231751806,3.406086868
-5750,7700,2.242388579,1.238643216,3.246133942
-5800,7750,2.112960883,1.346376824,2.879544941
-5850,7800,1.946704974,1.650788445,2.242621503
-5900,7850,1.819344091,1.705889764,1.932798417
-5950,7900,1.730329683,1.480993981,1.979665384
-6000,7950,1.670108254,1.38210833,1.958108178
-6050,8000,1.627562133,1.35019297,1.904931296
-6100,8050,1.590485972,1.348675728,1.832296215
-6150,8100,1.585102634,1.421249897,1.748955371
-6200,8150,1.571534705,1.435262046,1.707807364
-6250,8200,1.565744327,1.454643,1.676845654
-6300,8250,1.550065035,1.445562834,1.654567235
-6350,8300,1.519217315,1.385512834,1.652921797
-6400,8350,1.49375986,1.320612074,1.666907646
-6450,8400,1.470596196,1.27025271,1.670939682
-6500,8450,1.448547188,1.237470389,1.659623988
-6550,8500,1.422465734,1.204030169,1.640901298
-6600,8550,1.390130114,1.141913167,1.63834706
-6650,8600,1.348330147,1.093997637,1.602662657
-6700,8650,1.301939807,1.032811069,1.571068544
-6750,8700,1.249383333,0.964035975,1.534730692
-6800,8750,1.102029981,0.833153789,1.370906173
-6850,8800,0.950840191,0.439609454,1.462070929
-6900,8850,0.931689654,0.438818212,1.424561096
-6950,8900,0.950865822,0.581567413,1.320164231
-7000,8950,1.0014144,0.841966834,1.160861966
-7050,9000,1.057731556,0.868973821,1.24648929
-7100,9050,1.073188819,0.877291678,1.269085961
-7150,9100,1.105693526,0.846793694,1.364593359
-7200,9150,1.147681384,0.790734082,1.504628686
-7250,9200,1.08441427,0.833337837,1.335490702
-7300,9250,1.09367433,0.851006433,1.336342228
-7350,9300,1.088692471,0.866222921,1.31116202
-7400,9350,1.088856276,0.859436399,1.318276154
-7450,9400,1.096065515,0.824382688,1.367748342
-7500,9450,1.082985063,0.767031976,1.39893815
-7550,9500,1.07046388,0.682939378,1.457988383
-7600,9550,1.070241267,0.623673464,1.51680907
-7650,9600,1.108719969,0.646123219,1.571316718
-7700,9650,1.12325016,0.616641758,1.629858561
-7750,9700,1.172312705,0.694414864,1.650210545
-7800,9750,1.244808242,0.834055446,1.655561039
-7850,9800,1.35311794,1.009036011,1.697199868
-7900,9850,1.477727573,1.183628644,1.771826503
-7950,9900,1.52378175,1.153286538,1.894276963
-8000,9950,1.581037367,1.108380518,2.053694215
-8050,10000,1.602088954,1.085307334,2.118870575
-8100,10050,1.575104293,1.086907184,2.063301402
-8150,10100,1.526540192,1.054808874,1.99827151
-8200,10150,1.531477993,1.0845487090000001,1.978407278
-8250,10200,1.500916699,1.101737933,1.900095466
-8300,10250,1.458035563,1.104507687,1.81156344
-8350,10300,1.408962721,1.06875956,1.749165882
-8400,10350,1.314677952,0.992824617,1.636531286
-8450,10400,1.241821188,0.90795611,1.575686265
-8500,10450,1.153052237,0.72966404,1.576440434
-8550,10500,0.977048034,0.542410382,1.411685686
-8600,10550,0.822372386,0.457489633,1.187255138
-8650,10600,0.751008836,0.392487315,1.109530357
-8700,10650,0.587239611,0.098456659,1.076022563
-8750,10700,0.490950976,-0.01363453,0.995536481
-8800,10750,0.437875519,-0.017467735,0.893218772
-8850,10800,0.38451303,-0.056559313,0.825585373
-8900,10850,0.381235113,-0.012991638,0.775461863
-8950,10900,0.381849918,-0.080667558,0.844367395
-9000,10950,0.379952612,-0.168031291,0.927936516
-9050,11000,0.393753685,-0.309163287,1.096670657
-9100,11050,0.309604959,-0.414809335,1.034019252
-9150,11100,0.209684594,-0.479559674,0.898928861
-9200,11150,0.090442269,-0.506913943,0.68779848
-9250,11200,-0.05932689,-0.524745745,0.406091964
-9300,11250,-0.226589874,-0.482855636,0.029675889
-9350,11300,-0.358416588,-0.705500906,-0.01133227
-9400,11350,-0.4872834,-0.942302537,-0.032264263
-9450,11400,-0.593876042,-1.044622282,-0.143129803
-9500,11450,-0.581276706,-0.813196128,-0.349357283
-9550,11500,-0.633404145,-0.878987128,-0.387821162
-9600,11550,-0.67353885,-0.955341814,-0.391735886
-9650,11600,-0.665649881,-0.919988058,-0.411311703
-9700,11650,-0.643095063,-0.919532975,-0.366657152
-9750,11700,-0.620887738,-0.944453436,-0.29732204
-9800,11750,-0.626696204,-0.975004753,-0.278387655
-9850,11800,-0.682881178,-1.002804621,-0.362957734
-9900,11850,-0.763125362,-1.131902919,-0.394347804
-9950,11900,-0.71543127,-0.905179625,-0.52568291599999994
-10000,11950,-0.719420814,-0.907975282,-0.530866346
-10050,12000,-0.667965329,-0.800636838,-0.53529382
