year (AD),age (yr BP),depth (cm),d13C (permil),d18O (permil)
-2206.56,4156.56,4.242,-4.82,-8.692
-2208.6,4158.6,4.245,-4.735,-8.581
-2210.64,4160.64,4.248,-4.688,-8.711
-2212.66,4162.66,4.251,-4.657,-8.781
-2214.64,4164.64,4.254,-4.653,-8.816
-2216.62,4166.62,4.257,-4.614,-8.747
-2218.6,4168.6,4.26,-4.582,-8.84
-2220.58,4170.58,4.263,-4.664,-8.882
-2222.56,4172.56,4.266,-4.603,-8.775
-2224.54,4174.54,4.269,-4.614,-8.819
-2226.52,4176.52,4.272,-4.569,-8.831
-2228.5,4178.5,4.275,-4.499,-8.988
-2230.48,4180.48,4.278,-4.561,-8.866
-2232.46,4182.46,4.281,-4.624,-8.746
-2234.44,4184.44,4.284,-4.782,-8.82
-2236.42,4186.42,4.287,-4.757,-8.773
-2238.4,4188.4,4.29,-4.834,-8.914
-2240.38,4190.38,4.293,-4.935,-8.744
-2242.36,4192.36,4.296,-4.999,-8.683
-2244.34,4194.34,4.299,-5.042,-8.648
-2246.32,4196.32,4.302,-4.976,-8.803
-2248.3,4198.3,4.305,-5.124,-8.789
-2250.28,4200.28,4.308,-4.984,-8.732
-2252.26,4202.26,4.311,-5.01,-8.756
-2254.24,4204.24,4.314,-5.055,-8.893
-2256.22,4206.22,4.317,-5.056,-8.846
-2258.2,4208.2,4.32,-5.014,-8.811
-2260.18,4210.18,4.323,-5.25,-8.922
-2262.16,4212.16,4.326,-5.138,-8.767
-2264.14,4214.14,4.329,-5.383,-8.729
-2266.12,4216.12,4.332,-5.33,-8.747
-2268.1,4218.1,4.335,-5.415,-8.789
-2270.08,4220.08,4.338,-5.228,-8.767
-2272.06,4222.06,4.341,-5.394,-8.786
-2274.04,4224.04,4.344,-5.332,-8.792
-2276.02,4226.02,4.347,-5.444,-8.85
-2278,4228,4.35,-5.374,-8.788
-2280.04,4230.04,4.353,-5.353,-8.871
-2282.08,4232.08,4.356,-5.421,-8.826
-2284.12,4234.12,4.359,-5.448,-8.867
-2286.16,4236.16,4.362,-5.4,-8.745
-2288.2,4238.2,4.365,-5.334,-9.107
-2290.24,4240.24,4.368,-5.519,-8.886
-2292.28,4242.28,4.371,-5.483,-8.931
-2294.32,4244.32,4.374,-5.732,-8.968
-2296.36,4246.36,4.377,-5.544,-8.783
-2298.4,4248.4,4.38,-5.524,-8.975
-2300.44,4250.44,4.383,-5.451,-8.7
-2302.48,4252.48,4.386,-5.559,-8.883
-2304.52,4254.52,4.389,-5.449,-8.791
-2306.56,4256.56,4.392,-5.679,-8.8
-2308.6,4258.6,4.395,-5.587,-8.803
-2310.64,4260.64,4.398,-5.684,-8.733
-2312.44,4262.44,4.401,-5.674,-8.732
-2313.76,4263.76,4.404,-5.699,-8.685
-2315.08,4265.08,4.407,-5.768,-8.696
-2316.4,4266.4,4.41,-5.779,-8.669
-2317.72,4267.72,4.413,-6.045,-8.701
-2319.04,4269.04,4.416,-5.955,-8.706
-2320.36,4270.36,4.419,-6.09,-8.824
-2321.68,4271.68,4.422,-6.213,-8.709
-2323,4273,4.425,-6.071,-8.8
-2324.32,4274.32,4.428,-6.123,-8.828
-2325.64,4275.64,4.431,-6.185,-8.846
-2326.96,4276.96,4.434,-6.091,-8.848
-2328.28,4278.28,4.437,-5.992,-8.901
-2329.6,4279.6,4.44,-5.917,-8.859
-2330.92,4280.92,4.443,-5.934,-8.838
-2332.24,4282.24,4.446,-6.038,-8.848
-2333.56,4283.56,4.449,-5.959,-8.868
-2334.84,4284.84,4.452,-5.997,-8.849
-2336.1,4286.1,4.455,-5.954,-9.15
-2337.36,4287.36,4.458,-6.022,-8.959
-2338.62,4288.62,4.461,-5.75,-8.958
-2339.88,4289.88,4.464,-5.634,-8.935
-2341.14,4291.14,4.467,-5.544,-9.026
-2342.4,4292.4,4.47,-5.356,-9.19
-2343.66,4293.66,4.473,-5.199,-8.936
-2344.92,4294.92,4.476,-5.188,-8.886
-2346.18,4296.18,4.479,-5.041,-8.926
-2347.44,4297.44,4.482,-5.025,-8.973
-2348.7,4298.7,4.485,-5.101,-8.89
-2349.96,4299.96,4.488,-5.308,-9.081
-2351.22,4301.22,4.491,-5.389,-9.259
-2352.48,4302.48,4.494,-5.219,-9.347
-2353.74,4303.74,4.497,-5.37,-9.301
-2355,4305,4.5,-5.19,-9.256
-2356.32,4306.32,4.503,-5.247,-9.236
-2357.64,4307.64,4.506,-5.188,-9.239
-2358.96,4308.96,4.509,-5.133,-9.056
-2360.28,4310.28,4.512,-5.08,-9.052
-2361.6,4311.6,4.515,-5.127,-9.125
-2362.92,4312.92,4.518,-5.159,-9.149
-2364.24,4314.24,4.521,-5.343,-9.034
-2365.56,4315.56,4.524,-5.362,-9.02
-2366.88,4316.88,4.527,-5.428,-9.059
-2368.2,4318.2,4.53,-5.354,-9
-2369.52,4319.52,4.533,-5.929,-9.108
-2370.84,4320.84,4.536,-5.622,-8.991
-2372.16,4322.16,4.539,-5.563,-8.992
-2373.48,4323.48,4.542,-5.471,-9.011
-2374.8,4324.8,4.545,-5.426,-9.246
-2376.12,4326.12,4.548,-5.412,-9.018
-2377.44,4327.44,4.551,-5.29,-9.12
-2378.76,4328.76,4.554,-5.349,-8.967
-2380.08,4330.08,4.557,-5.345,-9.041
-2381.4,4331.4,4.56,-5.374,-9.182
-2382.72,4332.72,4.563,-5.396,-8.963
-2384.04,4334.04,4.566,-5.43,-8.922
-2385.36,4335.36,4.569,-5.345,-8.867
-2386.68,4336.68,4.572,-5.37,-8.858
-2388,4338,4.575,-5.297,-8.71
-2389.32,4339.32,4.578,-5.288,-8.742
-2390.64,4340.64,4.581,-5.325,-8.704
-2391.96,4341.96,4.584,-5.304,-8.708
-2393.28,4343.28,4.587,-5.219,-8.818
-2394.6,4344.6,4.59,-5.081,-8.794
-2395.92,4345.92,4.593,-5.202,-8.789
-2397.24,4347.24,4.596,-5.188,-8.827
-2398.56,4348.56,4.599,-5.274,-8.856
-2399.88,4349.88,4.602,-5.5,-8.828
-2401.2,4351.2,4.605,-5.491,-8.867
-2402.52,4352.52,4.608,-5.515,-8.918
-2403.84,4353.84,4.611,-5.414,-9.018
-2405.16,4355.16,4.614,-5.338,-8.972
-2406.48,4356.48,4.617,-5.451,-9.114
-2407.8,4357.8,4.62,-5.479,-9.028
-2409.12,4359.12,4.623,-5.532,-9.093
-2410.44,4360.44,4.626,-5.612,-8.889
-2411.76,4361.76,4.629,-5.732,-8.976
-2413.08,4363.08,4.632,-5.636,-9.05
-2414.4,4364.4,4.635,-5.741,-9.15
-2415.72,4365.72,4.638,-5.848,-9.1
-2417.04,4367.04,4.641,-5.826,-9.086
-2418.36,4368.36,4.644,-6.05,-9.112
-2419.68,4369.68,4.647,-6.048,-9.066
-2421,4371,4.65,-6.113,-9.113
-2422.32,4372.32,4.653,-6.044,-9.007
-2423.64,4373.64,4.656,-5.881,-8.845
-2424.96,4374.96,4.659,-5.874,-8.821
-2426.28,4376.28,4.662,-5.74,-8.689
-2427.6,4377.6,4.665,-5.623,-8.591
-2428.92,4378.92,4.668,-5.836,-8.705
-2430.24,4380.24,4.671,-5.846,-8.667
-2431.56,4381.56,4.674,-5.433,-8.545
-2432.88,4382.88,4.677,-5.554,-8.568
-2434.2,4384.2,4.68,-5.628,-8.549
-2435.52,4385.52,4.683,-5.5,-8.457
-2436.84,4386.84,4.686,-5.481,-8.415
-2438.16,4388.16,4.689,-5.643,-8.435
-2439.48,4389.48,4.692,-5.618,-8.546
-2440.8,4390.8,4.695,-5.839,-8.63
-2442.12,4392.12,4.698,-4.842,-8.778
-2443.44,4393.44,4.701,-4.994,-8.865
-2444.76,4394.76,4.704,-4.895,-8.992
-2446.08,4396.08,4.707,-4.939,-8.959
-2447.4,4397.4,4.71,-4.942,-8.926
-2448.72,4398.72,4.713,-4.774,-8.852
-2450.04,4400.04,4.716,-4.713,-8.833
-2451.36,4401.36,4.719,-4.6,-8.682
-2452.68,4402.68,4.722,-4.588,-8.682
-2454,4404,4.725,-4.738,-9.02
-2455.32,4405.32,4.728,-4.773,-8.602
-2457.96,4407.96,4.734,-4.89,-8.832
-2459.28,4409.28,4.737,-4.983,-8.947
-2460.6,4410.6,4.74,-5.582,-8.921
-2461.92,4411.92,4.743,-5.06,-8.67
-2463.24,4413.24,4.746,-5.161,-8.798
-2464.56,4414.56,4.749,-5.114,-8.599
-2465.84,4415.84,4.752,-5.338,-8.475
-2467.1,4417.1,4.755,-5.365,-8.409
-2468.36,4418.36,4.758,-5.463,-8.436
-2469.62,4419.62,4.761,-5.632,-8.392
-2470.88,4420.88,4.764,-5.754,-8.441
-2472.14,4422.14,4.767,-5.61,-8.365
-2473.4,4423.4,4.77,-5.51,-8.485
-2474.66,4424.66,4.773,-5.673,-8.453
-2475.92,4425.92,4.776,-5.88,-8.44
-2477.18,4427.18,4.779,-5.875,-8.522
-2478.44,4428.44,4.782,-5.863,-8.643
-2479.7,4429.7,4.785,-5.842,-8.638
-2480.96,4430.96,4.788,-6.189,-8.749
-2482.22,4432.22,4.791,-6.334,-8.695
-2483.48,4433.48,4.794,-6.49,-8.674
-2484.74,4434.74,4.797,-6.228,-8.79
-2486,4436,4.8,-6.558,-8.691
-2490.32,4440.32,4.803,-6.422,-8.797
-2494.64,4444.64,4.806,-6.364,-8.767
-2498.96,4448.96,4.809,-6.365,-8.89
-2503.28,4453.28,4.812,-6.49,-8.736
-2507.6,4457.6,4.815,-6.583,-8.967
-2511.92,4461.92,4.818,-6.48,-8.867
-2516.24,4466.24,4.821,-6.754,-8.928
-2520.56,4470.56,4.824,-6.805,-8.938
-2524.88,4474.88,4.827,-6.879,-8.931
-2533.52,4483.52,4.833,-6.721,-8.991
-2537.84,4487.84,4.836,-7.026,-8.921
-2542.16,4492.16,4.839,-6.988,-9.028
-2546.48,4496.48,4.842,-7.002,-8.989
-2550.8,4500.8,4.845,-7.159,-9.033
-2555.12,4505.12,4.848,-6.998,-9.158
-2560.44,4510.44,4.851,-7.39,-9.019
-2567.76,4517.76,4.854,-7.357,-9.128
-2575.08,4525.08,4.857,-7.125,-9.06
-2582.4,4532.4,4.86,-7.403,-9.042
-2589.72,4539.72,4.863,-7.393,-8.984
-2597.04,4547.04,4.866,-7.584,-9.064
-2604.36,4554.36,4.869,-7.54,-9.073
-2611.68,4561.68,4.872,-7.448,-9.006
-2619,4569,4.875,-7.05,-9.03
-2626.32,4576.32,4.878,-7.517,-9.093
-2633.64,4583.64,4.881,-7.664,-9.091
-2640.96,4590.96,4.884,-7.481,-9.07
-2648.28,4598.28,4.887,-7.405,-8.994
-2655.6,4605.6,4.89,-7.356,-9.115
-2662.92,4612.92,4.893,-7.508,-9.143
-2670.24,4620.24,4.896,-7.258,-9.082
-2677.56,4627.56,4.899,-7.531,-9.13
-2680.88,4630.88,4.902,-7.471,-9.165
-2682.2,4632.2,4.905,-7.2,-9.264
-2683.52,4633.52,4.908,-7.281,-9.041
-2684.84,4634.84,4.911,-7.133,-9.069
-2686.16,4636.16,4.914,-7.173,-9.034
-2687.48,4637.48,4.917,-7.207,-9.021
-2688.8,4638.8,4.92,-7.179,-9.302
-2690.12,4640.12,4.923,-7.415,-9.211
-2691.44,4641.44,4.926,-7.274,-9.167
-2692.76,4642.76,4.929,-7.347,-9.066
-2694.08,4644.08,4.932,-7.303,-9.117
-2695.4,4645.4,4.935,-7.29,-9.147
-2696.72,4646.72,4.938,-7.255,-9.229
-2698.04,4648.04,4.941,-7.249,-9.181
-2699.36,4649.36,4.944,-7.13,-9.127
-2700.68,4650.68,4.947,-7.091,-9.125
-2702,4652,4.95,-7.367,-9.185
-2703.32,4653.32,4.953,-7.068,-9.105
-2704.64,4654.64,4.956,-7.168,-9.139
-2705.96,4655.96,4.959,-7.096,-9.095
-2707.28,4657.28,4.962,-6.952,-9.118
-2708.6,4658.6,4.965,-6.888,-9.044
-2709.92,4659.92,4.968,-6.726,-9.016
-2711.24,4661.24,4.971,-6.784,-9.029
-2712.56,4662.56,4.974,-6.755,-9.035
-2713.88,4663.88,4.977,-6.831,-9.014
-2715.2,4665.2,4.98,-4.278,-8.874
-2716.52,4666.52,4.983,-4.368,-8.867
-2717.84,4667.84,4.986,-4.186,-8.955
-2719.16,4669.16,4.989,-4.457,-9.044
-2720.48,4670.48,4.992,-4.323,-9.014
-2721.8,4671.8,4.995,-4.19,-9.179
-2723.12,4673.12,4.998,-4.243,-8.917
-2725.18,4675.18,5.001,-4.305,-8.93
-2728.72,4678.72,5.004,-4.309,-8.924
-2732.26,4682.26,5.007,-4.388,-8.972
-2735.8,4685.8,5.01,-4.312,-9.252
-2739.34,4689.34,5.013,-4.449,-8.965
-2742.88,4692.88,5.016,-4.467,-8.966
-2746.42,4696.42,5.019,-4.456,-8.961
-2749.96,4699.96,5.022,-4.461,-9.003
-2753.5,4703.5,5.025,-4.444,-8.912
-2757.04,4707.04,5.028,-4.359,-8.882
-2760.58,4710.58,5.031,-4.464,-8.953
-2764.12,4714.12,5.034,-4.432,-9.111
-2767.66,4717.66,5.037,-4.377,-9.049
-2771.2,4721.2,5.04,-4.538,-9.049
-2774.74,4724.74,5.043,-4.664,-9.012
-2778.28,4728.28,5.046,-4.859,-9.158
-2781.82,4731.82,5.049,-4.867,-9.091
-2785.36,4735.36,5.052,-4.937,-9.204
-2788.9,4738.9,5.055,-5.2,-9.275
-2792.44,4742.44,5.058,-5.041,-9.18
-2795.98,4745.98,5.061,-5.187,-9.212
-2799.52,4749.52,5.064,-5.275,-9.205
-2803.06,4753.06,5.067,-5.404,-9.176
-2806.6,4756.6,5.07,-5.283,-9.239
-2810.14,4760.14,5.073,-5.443,-9.165
-2813.68,4763.68,5.076,-5.291,-9.208
-2817.22,4767.22,5.079,-5.341,-9.22
-2820.76,4770.76,5.082,-5.45,-9.19
-2824.3,4774.3,5.085,-5.673,-9.404
-2827.84,4777.84,5.088,-5.638,-9.254
-2831.38,4781.38,5.091,-5.625,-9.229
-2834.92,4784.92,5.094,-5.642,-9.198
-2838.46,4788.46,5.097,-5.615,-9.271
-2842,4792,5.1,-5.966,-9.379
-2845.6,4795.6,5.103,-5.878,-9.249
-2849.2,4799.2,5.106,-5.563,-9.208
-2852.8,4802.8,5.109,-5.927,-9.216
-2856.4,4806.4,5.112,-5.918,-9.161
-2860,4810,5.115,-5.828,-9.164
-2863.6,4813.6,5.118,-5.63,-9.101
-2867.2,4817.2,5.121,-5.951,-9.285
-2870.8,4820.8,5.124,-5.836,-9.104
-2874.4,4824.4,5.127,-5.725,-9.085
-2878,4828,5.13,-5.698,-9.09
-2881.6,4831.6,5.133,-6.159,-9.061
-2885.2,4835.2,5.136,-6.137,-9.155
-2888.8,4838.8,5.139,-6.319,-9.184
-2892.4,4842.4,5.142,-6.267,-9.011
-2896,4846,5.145,-6.194,-9.093
-2899.6,4849.6,5.148,-6.375,-9.088
-2904.18,4854.18,5.151,-6.672,-9.161
-2910.72,4860.72,5.154,-6.547,-9.124
-2917.26,4867.26,5.157,-6.66,-9.205
-2923.8,4873.8,5.16,-6.59,-9.119
-2930.34,4880.34,5.163,-6.5,-9.138
-2936.88,4886.88,5.166,-6.458,-9.19
-2943.42,4893.42,5.169,-6.457,-9.154
-2949.96,4899.96,5.172,-6.351,-9.096
-2956.5,4906.5,5.175,-5.958,-9.392
-2963.04,4913.04,5.178,-6.197,-9.161
-2969.58,4919.58,5.181,-6.352,-9.201
-2976.12,4926.12,5.184,-6.318,-9.239
-2982.66,4932.66,5.187,-6.222,-9.307
-2989.2,4939.2,5.19,-6.181,-9.402
-2995.74,4945.74,5.193,-6.185,-9.172
-3002.28,4952.28,5.196,-6.156,-9.211
-3008.82,4958.82,5.199,-6.247,-9.161
-3017.36,4967.36,5.202,-6.247,-9.198
-3026.9,4976.9,5.205,-6.194,-9.202
-3036.44,4986.44,5.208,-6.239,-9.311
-3045.98,4995.98,5.211,-6.399,-9.338
-3055.52,5005.52,5.214,-6.478,-9.276
-3065.06,5015.06,5.217,-6.3,-9.288
-3074.6,5024.6,5.22,-6.37,-9.362
-3084.14,5034.14,5.223,-6.414,-9.46
-3093.68,5043.68,5.226,-6.378,-9.347
-3103.22,5053.22,5.229,-6.329,-9.33
-3112.76,5062.76,5.232,-6.378,-9.353
-3122.3,5072.3,5.235,-6.457,-9.437
-3141.38,5091.38,5.241,-6.502,-9.358
-3150.92,5100.92,5.244,-6.636,-9.429
-3160.46,5110.46,5.247,-6.368,-9.329
-3170,5120,5.25,-6.422,-9.271
-3172.4,5122.4,5.253,-6.522,-9.585
-3174.8,5124.8,5.256,-6.172,-9.232
-3177.2,5127.2,5.259,-6.085,-9.196
-3179.6,5129.6,5.262,-6.262,-9.208
-3182,5132,5.265,-6.298,-9.14
-3184.4,5134.4,5.268,-6.279,-9.295
-3186.8,5136.8,5.271,-6.184,-9.099
-3189.2,5139.2,5.274,-6.148,-9.052
-3191.6,5141.6,5.277,-6.196,-9.039
-3196.4,5146.4,5.283,-6.234,-9.025
-3198.8,5148.8,5.286,-6.263,-8.998
-3201.2,5151.2,5.289,-6.234,-8.919
-3203.6,5153.6,5.292,-6.268,-8.912
-3206,5156,5.295,-6.183,-8.972
-3208.4,5158.4,5.298,-6.208,-8.916
-3210.38,5160.38,5.301,-6.184,-8.987
-3211.52,5161.52,5.304,-6.142,-8.915
-3212.66,5162.66,5.307,-6.068,-8.959
-3213.8,5163.8,5.31,-6.002,-8.9
-3214.94,5164.94,5.313,-6.089,-8.96
-3216.08,5166.08,5.316,-6.084,-8.962
-3217.22,5167.22,5.319,-6.193,-9.067
-3218.36,5168.36,5.322,-6.201,-9.027
-3219.5,5169.5,5.325,-6.246,-9.039
-3220.64,5170.64,5.328,-6.119,-9.004
-3221.78,5171.78,5.331,-6.106,-9.151
-3222.92,5172.92,5.334,-6.012,-9.099
-3224.06,5174.06,5.337,-6.142,-9.142
-3225.2,5175.2,5.34,-6.082,-9.087
-3227.48,5177.48,5.346,-5.998,-9.119
-3228.62,5178.62,5.349,-6.01,-9.06
-3229.8,5179.8,5.352,-5.907,-9.067
-3231,5181,5.355,-5.827,-9.033
-3232.2,5182.2,5.358,-5.735,-9.053
-3233.4,5183.4,5.361,-5.783,-9.014
-3234.6,5184.6,5.364,-5.642,-9.005
-3235.8,5185.8,5.367,-5.618,-9.056
-3237,5187,5.37,-5.607,-9.252
-3238.2,5188.2,5.373,-5.619,-9.085
-3239.4,5189.4,5.376,-5.505,-9.057
-3240.6,5190.6,5.379,-5.58,-9.086
-3241.8,5191.8,5.382,-5.441,-9.052
-3243,5193,5.385,-5.421,-9.117
-3244.2,5194.2,5.388,-5.367,-9.021
-3245.4,5195.4,5.391,-5.21,-8.981
-3246.6,5196.6,5.394,-5.073,-9.005
-3247.8,5197.8,5.397,-5.102,-8.947
-3249,5199,5.4,-5.122,-9.041
-3249.48,5199.48,5.424,-5.015,-8.989
-3249.9,5199.9,5.445,-4.897,-8.897
-3250.74,5200.74,5.451,-4.744,-8.877
-3252.96,5202.96,5.454,-4.778,-8.983
-3255.18,5205.18,5.457,-4.797,-8.91
-3257.4,5207.4,5.46,-4.732,-8.93
-3259.62,5209.62,5.463,-4.714,-8.993
-3261.84,5211.84,5.466,-4.736,-8.946
-3264.06,5214.06,5.469,-4.703,-8.947
-3266.28,5216.28,5.472,-4.675,-8.863
-3268.5,5218.5,5.475,-4.763,-9.189
-3270.72,5220.72,5.478,-4.666,-8.902
-3272.94,5222.94,5.481,-4.659,-8.901
-3275.16,5225.16,5.484,-4.539,-8.934
-3277.38,5227.38,5.487,-4.434,-8.96
-3279.6,5229.6,5.49,-4.429,-8.878
-3281.82,5231.82,5.493,-4.426,-8.914
-3284.04,5234.04,5.496,-4.491,-8.968
-3286.26,5236.26,5.499,-4.458,-9.048
-3287.52,5237.52,5.502,-4.468,-8.991
-3288.3,5238.3,5.505,-4.499,-8.885
-3289.08,5239.08,5.508,-4.504,-9.008
-3289.86,5239.86,5.511,-4.493,-8.85
-3290.64,5240.64,5.514,-4.556,-9.032
-3291.42,5241.42,5.517,-4.545,-8.925
-3292.2,5242.2,5.52,-4.537,-8.884
-3292.98,5242.98,5.523,-4.51,-8.895
-3293.76,5243.76,5.526,-4.535,-8.921
-3294.54,5244.54,5.529,-4.583,-8.932
-3295.32,5245.32,5.532,-4.553,-8.951
-3296.1,5246.1,5.535,-4.488,-8.831
-3296.88,5246.88,5.538,-4.522,-8.854
-3297.66,5247.66,5.541,-4.581,-8.82
-3298.44,5248.44,5.544,-4.625,-8.947
-3299.22,5249.22,5.547,-4.585,-8.833
-3300,5250,5.55,-4.65,-8.931
-3301.2,5251.2,5.553,-4.698,-8.921
-3302.4,5252.4,5.556,-4.732,-8.955
-3303.6,5253.6,5.559,-4.811,-8.955
-3304.8,5254.8,5.562,-4.498,-8.924
-3306,5256,5.565,-4.733,-8.976
-3307.2,5257.2,5.568,-4.839,-8.92
-3308.4,5258.4,5.571,-4.875,-8.901
-3309.6,5259.6,5.574,-4.839,-8.839
-3310.8,5260.8,5.577,-4.824,-8.928
-3312,5262,5.58,-5,-8.981
-3313.2,5263.2,5.583,-4.861,-8.993
-3314.4,5264.4,5.586,-4.898,-8.978
-3315.6,5265.6,5.589,-4.983,-9.169
-3316.8,5266.8,5.592,-5.043,-8.897
-3318,5268,5.595,-5.012,-9.024
-3319.2,5269.2,5.598,-5.02,-8.996
-3320.46,5270.46,5.601,-5.133,-8.979
-3321.84,5271.84,5.604,-5.032,-9.004
-3323.22,5273.22,5.607,-5.115,-9.01
-3324.6,5274.6,5.61,-5.152,-9.106
-3325.98,5275.98,5.613,-5.105,-8.971
-3327.36,5277.36,5.616,-5.115,-8.996
-3328.74,5278.74,5.619,-5.192,-8.956
-3330.12,5280.12,5.622,-5.251,-8.981
-3331.5,5281.5,5.625,-5.095,-8.982
-3332.88,5282.88,5.628,-5.112,-9.042
-3334.26,5284.26,5.631,-5.186,-9.091
-3335.64,5285.64,5.634,-5.206,-9.066
-3337.02,5287.02,5.637,-5.243,-9.03
-3338.4,5288.4,5.64,-5.162,-9.031
-3339.78,5289.78,5.643,-5.263,-9.028
-3341.16,5291.16,5.646,-5.277,-9.164
-3344.72,5294.72,5.652,-5.311,-9.034
-3347.3,5297.3,5.655,-5.395,-9.296
-3349.88,5299.88,5.658,-5.36,-9.097
-3352.46,5302.46,5.661,-5.359,-8.995
-3355.04,5305.04,5.664,-5.354,-9.084
-3357.62,5307.62,5.667,-5.285,-9.047
-3360.2,5310.2,5.67,-5.266,-9.066
-3362.78,5312.78,5.673,-5.297,-9.07
-3365.36,5315.36,5.676,-5.13,-9
-3367.94,5317.94,5.679,-5.148,-9.057
-3370.52,5320.52,5.682,-5.156,-9.219
-3373.1,5323.1,5.685,-5.083,-9.084
-3375.68,5325.68,5.688,-5.067,-9.034
-3378.26,5328.26,5.691,-4.959,-9.147
-3380.84,5330.84,5.694,-4.862,-9.169
-3383.42,5333.42,5.697,-4.844,-9.143
-3386,5336,5.7,-4.809,-9.211
-3388.58,5338.58,5.703,-4.798,-9.061
-3391.16,5341.16,5.706,-4.639,-9.1
-3393.74,5343.74,5.709,-4.855,-9.094
-3396.32,5346.32,5.712,-4.639,-9.104
-3398.9,5348.9,5.715,-4.73,-9.089
-3401.48,5351.48,5.718,-4.772,-9.127
-3404.06,5354.06,5.721,-4.688,-8.973
-3406.64,5356.64,5.724,-4.637,-9.009
-3409.22,5359.22,5.727,-4.741,-8.966
-3411.8,5361.8,5.73,-4.7,-8.996
-3414.38,5364.38,5.733,-4.606,-8.877
-3416.96,5366.96,5.736,-4.651,-8.962
-3419.54,5369.54,5.739,-4.429,-8.902
-3422.12,5372.12,5.742,-4.41,-8.915
-3424.7,5374.7,5.745,-4.482,-8.913
-3427.28,5377.28,5.748,-4.522,-8.834
-3429.86,5379.86,5.751,-4.543,-8.91
-3432.44,5382.44,5.754,-4.456,-8.742
-3435.02,5385.02,5.757,-4.568,-8.877
-3437.6,5387.6,5.76,-4.497,-8.743
-3440.18,5390.18,5.763,-4.473,-8.898
-3442.76,5392.76,5.766,-4.601,-8.77
-3445.34,5395.34,5.769,-4.572,-8.97
-3447.92,5397.92,5.772,-4.631,-8.849
-3450.5,5400.5,5.775,-4.634,-8.846
-3453.08,5403.08,5.778,-4.65,-8.865
-3455.66,5405.66,5.781,-4.682,-8.865
-3458.24,5408.24,5.784,-4.634,-8.876
-3460.82,5410.82,5.787,-4.64,-8.775
-3463.4,5413.4,5.79,-4.705,-8.842
-3465.98,5415.98,5.793,-4.735,-8.821
-3468.56,5418.56,5.796,-4.695,-8.85
-3471.14,5421.14,5.799,-4.662,-8.739
-3473.68,5423.68,5.802,-4.681,-8.797
-3476.2,5426.2,5.805,-4.599,-8.829
-3478.72,5428.72,5.808,-4.555,-8.838
-3481.24,5431.24,5.811,-4.565,-8.682
-3483.76,5433.76,5.814,-4.577,-8.852
-3486.28,5436.28,5.817,-4.618,-8.749
-3488.8,5438.8,5.82,-4.611,-8.87
-3491.32,5441.32,5.823,-4.546,-8.77
-3493.84,5443.84,5.826,-4.575,-8.895
-3496.36,5446.36,5.829,-4.639,-8.822
-3498.88,5448.88,5.832,-4.629,-9.076
-3501.4,5451.4,5.835,-4.628,-8.883
-3503.92,5453.92,5.838,-4.61,-8.761
-3506.44,5456.44,5.841,-4.722,-8.883
-3508.96,5458.96,5.844,-4.63,-8.728
-3511.48,5461.48,5.847,-4.648,-8.8
-3514,5464,5.85,-4.691,-8.744
-3516.58,5466.58,5.853,-4.645,-8.815
-3519.16,5469.16,5.856,-4.703,-8.838
-3521.74,5471.74,5.859,-4.689,-8.975
-3524.32,5474.32,5.862,-4.771,-8.865
-3526.9,5476.9,5.865,-4.776,-8.917
-3529.48,5479.48,5.868,-4.773,-8.917
-3532.06,5482.06,5.871,-4.749,-8.799
-3534.64,5484.64,5.874,-4.771,-8.843
-3537.22,5487.22,5.877,-4.89,-8.86
-3539.8,5489.8,5.88,-4.777,-8.942
-3542.38,5492.38,5.883,-4.864,-8.918
-3544.96,5494.96,5.886,-4.851,-8.893
-3547.54,5497.54,5.889,-4.947,-8.936
-3550.12,5500.12,5.892,-4.874,-8.905
-3552.7,5502.7,5.895,-4.868,-8.898
-3555.28,5505.28,5.898,-4.892,-8.908
-3557.84,5507.84,5.901,-4.832,-8.853
-3560.36,5510.36,5.904,-4.971,-8.856
-3562.88,5512.88,5.907,-4.911,-8.862
-3565.4,5515.4,5.91,-5.021,-8.926
-3567.92,5517.92,5.913,-5.093,-8.804
-3570.44,5520.44,5.916,-5.084,-8.895
-3572.96,5522.96,5.919,-5.019,-8.815
-3575.48,5525.48,5.922,-5.11,-8.836
-3578,5528,5.925,-5.068,-8.977
-3580.52,5530.52,5.928,-4.987,-8.842
-3583.04,5533.04,5.931,-5.221,-9.031
-3585.56,5535.56,5.934,-5.172,-8.987
-3588.08,5538.08,5.937,-5.114,-9.032
-3590.6,5540.6,5.94,-5.288,-8.986
-3593.12,5543.12,5.943,-5.243,-8.959
-3595.64,5545.64,5.946,-5.209,-8.955
-3598.16,5548.16,5.949,-5.258,-9.176
-3600.72,5550.72,5.952,-5.239,-8.945
-3603.3,5553.3,5.955,-5.207,-8.9
-3605.88,5555.88,5.958,-5.223,-8.951
-3608.46,5558.46,5.961,-5.229,-8.947
-3611.04,5561.04,5.964,-5.24,-8.994
-3613.62,5563.62,5.967,-5.177,-8.866
-3616.2,5566.2,5.97,-5.151,-8.865
-3618.78,5568.78,5.973,-5.161,-8.791
-3621.36,5571.36,5.976,-5.084,-8.877
-3623.94,5573.94,5.979,-5.092,-8.8
-3626.52,5576.52,5.982,-5.076,-8.897
-3629.1,5579.1,5.985,-5.057,-8.885
-3631.68,5581.68,5.988,-5.052,-8.86
