year (AD) [1-1],age (yr BP) [1-1],hole (unitless) [1-1],section (unitless) [1-1],interval (unitless) [1-1],varveCountedAgeKa (unitless) [1-1],varveCountedAgeAD0x2FBC (yr AD) [1-1],radiocarbonDatesAD0x2FBC (unitless) [1-1],d18OPachySLCorr (unitless) [1-1],d18O0x28pachy0x29 (unitless) [1-1],d18OBullSLCorr (unitless) [1-1],d18O0x28bull0x29 (unitless) [1-1],year (AD) [2-1],age (yr BP) [2-1],bulloidesTemp (degC) [2-1]
1949.24,0.759999999999991,NA,01H,146_148,502,1448,NA,0.775,0.775,NA,NA,1108.56,841.44,12.95
1949.22,0.779999999999973,NA,01H,002_004,527,1423,NA,0.517,0.517,0.38,0.38,1078.96,871.04,9.97
1949.19,0.809999999999945,NA,01H,007_009,558,1392,NA,0.345,0.345,0.017,0.017,1007.92,942.08,12.46
1949.16,0.839999999999918,NA,01H,012_014,589,1361,NA,0.442,0.442,-0.025,-0.025,972.4,977.6,11.28
1949.13,0.869999999999891,NA,01H,017_019,619,1331,NA,0.379,0.379,0.64,0.64,960.56,989.44,12.54
1949.06,0.940000000000055,NA,01H,029_031,693,1257,NA,0.535,0.535,0.084,0.084,930.96,1019.04,13.03
1949.02,0.980000000000018,NA,01H,34.5_36.5,730,1220,NA,0.923,0.923,0.348,0.348,907.28,1042.72,13.07
1949.01,0.990000000000009,NA,01H,037_039,742,1208,NA,0.595,0.595,0.066,0.066,889.52,1060.48,12.54
1948.98,1.01999999999998,NA,01H,042_044,773,1177,NA,0.469,0.469,-0.043,-0.043,871.76,1078.24,12.67
1948.96,1.03999999999996,NA,01H,046_048,798,1152,NA,0.812,0.812,-0.053,-0.053,837.56338,1112.43662,13.51
1948.94,1.05999999999995,NA,01H,049_051,816,1134,NA,0.616,0.616,0.065,0.065,810.169014,1139.830986,13.08
1948.92,1.07999999999993,NA,01H,052_054,834,1116,NA,0.515,0.515,0.036,0.036,793.732394,1156.267606,12.18
NA,NA,NA,NA,55,NA,1096,1096,NA,NA,NA,NA,717.028169,1232.971831,11.41
1948.89,1.1099999999999,NA,01H,058_060,874,1076,NA,0.434,0.434,-0.151,-0.151,678.676056,1271.323944,12.66
1948.86,1.1400000000001,NA,01H,063_065,898,1052,NA,0.579,0.579,-0.054,-0.054,645.802817,1304.197183,12.99
1948.84,1.16000000000008,NA,01H,066_068,912,1038,NA,0.504,0.504,0.147,0.147,629.366197,1320.633803,13.08
1948.77,1.23000000000002,NA,01H,080_082,980,970,NA,0.549,0.549,0.318,0.318,612.929577,1337.070423,13.74
1948.73,1.26999999999998,NA,01H,087_089,1014,936,NA,0.579,0.579,0.039,0.039,596.492958,1353.507042,14.05
1948.7,1.29999999999995,NA,01H,093_095,1043,907,NA,0.483,0.483,-0.035,-0.035,541.704225,1408.295775,12.86
1948.68,1.31999999999994,NA,01H,096_098,1058,892,NA,0.704,0.704,-0.054,-0.054,514.309859,1435.690141,10.28
1948.66,1.33999999999992,NA,01H,099_101,1072,878,NA,0.497,0.497,-0.202,-0.202,492.394366,1457.605634,NA
1948.65,1.34999999999991,NA,01H,102_104,1087,863,NA,0.483,0.483,-0.271,-0.271,443.954545,1506.045455,13.28
1948.59,1.41000000000008,NA,01H,112_114,1135,815,NA,0.79,0.79,-0.005,-0.005,422.909091,1527.090909,13.43
1948.56,1.44000000000005,NA,01H,117_119,1159,791,NA,0.86,0.86,0.571,0.571,417.647727,1532.352273,14.09
1948.54,1.46000000000004,NA,01H,121_123,1179,771,NA,0.79,0.79,NA,NA,370.295454,1579.704546,13.48
1948.49,1.50999999999999,NA,01H,130_132,1234,716,NA,0.259,0.259,-0.099,-0.099,359.772727,1590.227273,12.99
1948.47,1.52999999999997,NA,01H,134_136,1265,685,NA,0.331,0.331,-0.133,-0.133,333.465909,1616.534091,12.66
1948.47,1.52999999999997,NA,01H,135_137,1273,677,NA,0.206,0.206,-0.281,-0.281,291.375,1658.625,13.79
1948.42,1.57999999999993,NA,01H,144_146,1342,608,NA,0.378,0.378,-0.143,-0.143,270.329545,1679.670455,13.11
1948.41,1.58999999999992,NA,01H,146_148,1358,592,NA,0.393,0.393,-0.034,-0.034,259.806818,1690.193182,12.93
1948.38,1.61999999999989,NA,01H,000_002,1396,554,NA,0.458,0.458,0.04,0.04,238.761364,1711.238636,14.34
1948.34,1.66000000000008,NA,01H,008_010,1458,492,NA,0.541,0.541,-0.214,-0.214,228.238636,1721.761364,14.53
1948.32,1.68000000000006,NA,01H,012_014,1489,461,NA,0.616,0.616,-0.062,-0.062,128.272727,1821.727273,13.56
1948.31,1.69000000000005,NA,01H,014_016,1504,446,NA,0.339,0.339,-0.02,-0.02,112.488636,1837.511364,12.54
1948.29,1.71000000000004,NA,01H,018_020,1535,415,NA,0.408,0.408,-0.336,-0.336,65.136364,1884.863636,12.6
1948.28,1.72000000000003,NA,01H,020_022,1551,399,NA,0.667,0.667,-0.378,-0.378,59.875,1890.125,14.07
1948.18,1.81999999999994,NA,01H,039_041,1698,252,NA,0.484,0.484,-0.161,-0.161,23.0454540000001,1926.954546,13.19
1948.16,1.83999999999992,NA,01H,042_044,1721,229,NA,0.562,0.562,0.067,0.067,17.784091,1932.215909,13.12
1948.12,1.88000000000011,NA,01H,051_053,1791,159,NA,0.406,0.406,0.053,0.053,-20.098039,1970.098039,12.92
1948.11,1.8900000000001,NA,01H,052_054,1798,152,NA,0.336,0.336,-0.275,-0.275,-53.2450980000001,2003.245098,13.63
1948.07,1.93000000000006,NA,01H,059_061,1852,98,NA,0.336,0.336,-0.079,-0.079,-64.294118,2014.294118,13.97
1948.07,1.93000000000006,NA,01H,060_062,1860,90,NA,0.484,0.484,-0.064,-0.064,-75.3431370000001,2025.343137,13.99
1948.03,1.97000000000003,NA,01H,067_069,1905,45,NA,0.294,0.294,-0.019,-0.019,-119.539216,2069.539216,14.97
1948,2,NA,01H,073_075,1932,18,NA,0.245,0.245,-0.178,-0.178,-158.210784,2108.210784,12.4
1947.99,2.00999999999999,NA,01H,075_077,1941,9,NA,0.293,0.293,-0.253,-0.253,-180.308824,2130.308824,13.48
1947.97,2.02999999999997,NA,01H,078_079,1955,-5,NA,0.42,0.42,-0.258,-0.258,-207.931373,2157.931373,12.08
1947.93,2.06999999999994,NA,01H,086_088,1991,-41,NA,0.276,0.276,-0.476,-0.476,-263.176471,2213.176471,13.93
1947.89,2.1099999999999,NA,01H,093_095,2023,-73,NA,0.653,0.653,0.097,0.097,-290.79902,2240.79902,13.19
1947.87,2.13000000000011,NA,01H,097_099,2041,-91,NA,0.226,0.226,-0.144,-0.144,-312.897059,2262.897059,13.99
1947.84,2.16000000000008,NA,01H,102_104,2064,-114,NA,0.301,0.301,0.169,0.169,-362.617647,2312.617647,12.72
1947.79,2.21000000000004,NA,01H,112_114,2109,-159,NA,0.205,0.205,-0.244,-0.244,-401.289216,2351.289216,12.51
1947.76,2.24000000000001,NA,01H,117_119,2132,-182,NA,0.478,0.478,-0.079,-0.079,-423.387255,2373.387255,12.69
1947.74,2.25999999999999,NA,01H,121_123,2150,-200,NA,0.28,0.28,-0.258,-0.258,-439.960784,2389.960784,14
1947.69,2.30999999999995,NA,01H,130_132,NA,NA,NA,0.285,0.285,0.026,0.026,-478.632353,2428.632353,14.64
1947.65,2.34999999999991,NA,01H,137_139,NA,NA,NA,0.489,0.489,0.072,0.072,-517.30392200000006,2467.303922,13.09
1947.63,2.36999999999989,NA,01H,141_143,NA,NA,NA,0.539,0.539,0.033,0.033,-544.926471,2494.926471,14.26
1947.61,2.3900000000001,NA,01H,144_146,NA,NA,NA,0.346,0.346,-0.261,0.074,-555.97549,2505.97549,13.7
1947.57,2.43000000000006,NA,01H,000_002,NA,NA,NA,0.299,0.299,-0.402,-0.402,-578.073529,2528.073529,12.6
1947.53,2.47000000000003,NA,01H,007_009,NA,NA,NA,0.482,0.482,-0.057,-0.057,-605.69607799999994,2555.696078,13.39
1947.51,2.49000000000001,NA,01H,012_014,NA,NA,NA,0.254,0.254,-0.318,-0.318,-660.941177,2610.941177,15.4
1947.49,2.50999999999999,NA,01H,014_016,NA,NA,NA,0.384,0.384,-0.194,-0.194,-683.039216,2633.039216,12.56
1947.47,2.52999999999997,NA,01H,018_020,NA,NA,NA,0.63,0.63,0.053,0.053,-754.857843,2704.857843,11.62
1947.44,2.55999999999995,NA,01H,023_025,NA,NA,NA,0.407,0.407,-0.123,-0.188,-799.05392200000006,2749.053922,14.09
1947.39,2.6099999999999,NA,01H,033_035,NA,NA,NA,0.243,0.243,-0.573,-0.573,-826.676471,2776.676471,NA
1947.37,2.63000000000011,NA,01H,037_039,NA,NA,NA,0.367,0.367,0.061,0.061,-859.823529,2809.823529,13.42
1947.3,2.70000000000005,NA,01H,050_052,NA,NA,NA,0.288,0.288,0.272,0.272,-887.44607799999994,2837.446078,14.66
1947.25,2.75,NA,01H,058_060,NA,NA,NA,0.286,0.286,-0.281,-0.281,-904.019608,2854.019608,14.19
1947.22,2.77999999999997,NA,01H,063_064,NA,NA,NA,0.19,0.19,NA,NA,-959.264706,2909.264706,13.66
1947.19,2.80999999999995,NA,01H,069_071,NA,NA,NA,0.248,0.248,-0.131,-0.131,-992.411765,2942.411765,12.9
1947.16,2.83999999999992,NA,01H,074_076,NA,NA,NA,0.21,0.21,-0.407,-0.407,-1014.509804,2964.509804,12.41
1947.15,2.84999999999991,NA,01H,077_079,NA,NA,NA,0.219,0.219,-0.302,-0.302,-1025.558824,2975.558824,12.84
1947.09,2.91000000000008,NA,01H,087_089,NA,NA,NA,-0.131,-0.131,-0.184,-0.184,-1097.377451,3047.377451,12.53
1947.06,2.94000000000005,NA,01H,093_095,NA,NA,NA,0.441,0.441,-0.015,-0.015,-1147.514019,3097.514019,13.55
1947.04,2.96000000000004,NA,01H,097_098,NA,NA,NA,0.148,0.148,0.095,0.095,-1245.074766,3195.074766,12.43
1947.02,2.98000000000002,NA,01H,099_101,NA,NA,NA,0.193,0.193,-0.002,-0.002,-1297.607477,3247.607477,12.24
1946.95,3.04999999999995,NA,01H,112_114,NA,NA,NA,0.157,0.157,0.069,0.069,-1335.130841,3285.130841,15.23
1946.9,3.09999999999991,NA,01H,120_122,NA,NA,NA,-0.156,-0.156,-0.16,-0.16,-1381.816361,3331.816361,13.72
1946.8,3.20000000000005,NA,01H,134_136,NA,NA,NA,-0.187,-0.187,0.091,0.091,-1435.223816,3385.223816,13.96
1946.75,3.25,NA,01H,141_143,NA,NA,NA,0.494,0.494,0.132,0.132,-1461.927618,3411.927618,13.5
1946.71,3.28999999999996,NA,01H,146_148,NA,NA,NA,-0.186,-0.186,-0.534,-0.534,-1488.631346,3438.631346,13.82
1946.67,3.32999999999993,B,02H,94,NA,NA,NA,0.475,0.475,-0.197,-0.197,-1515.335073,3465.335073,12.36
1946.61,3.3900000000001,B,02H,102,NA,NA,NA,0.075,0.075,-0.25,-0.25,-1542.038801,3492.038801,NA
1946.59,3.41000000000008,B,02H,106,NA,NA,NA,0.253,0.253,-0.148,-0.148,-1568.742528,3518.742528,NA
1946.56,3.44000000000005,B,02H,110,NA,NA,NA,0.04,0.04,-0.22,-0.22,-1595.446331,3545.446331,NA
1946.53,3.47000000000003,B,02H,114,NA,NA,NA,0.112,0.112,0.106,0.106,-1612,3562,NA
1946.51,3.49000000000001,B,2H,118,NA,NA,NA,-0.112,-0.112,NA,NA,-1622.150058,3572.150058,10.72
1946.48,3.51999999999998,B,2H,122,NA,NA,NA,-0.033,-0.033,NA,NA,-1648.853785,3598.853785,14.85
1946.45,3.54999999999995,B,2H,126,NA,NA,NA,-0.203,-0.203,NA,NA,-1675.557513,3625.557513,12.31
1946.44,3.55999999999995,NA,01H,012_014,NA,NA,NA,NA,NA,NA,NA,-1702.261315,3652.261315,14.31
1946.43,3.56999999999994,B,2H,130,NA,NA,NA,-0.009,-0.009,0.472,0.472,-1723,3673,NA
1946.4,3.59999999999991,B,2H,134,NA,NA,NA,0.005,0.005,-0.449,-0.449,-1728.965043,3678.965043,12.08
1946.37,3.63000000000011,B,2H,138,NA,NA,NA,0.121,0.121,0.117,0.117,-1809.076225,3759.076225,13.85
1946.35,3.65000000000009,B,2H,142,NA,NA,NA,-0.049,-0.049,-0.33,-0.33,-1835.780028,3785.780028,14.83
1946.33,3.67000000000007,NA,01H,021_023,NA,NA,NA,NA,NA,NA,NA,-1862.483755,3812.483755,14
1946.32,3.68000000000006,B,2H,146,NA,NA,NA,0.193,0.193,0.168,0.168,-1889.187483,3839.187483,NA
1946.24,3.75999999999999,B,2H,2,NA,NA,NA,0.221,0.221,-0.227,0.261,-1915.89121,3865.89121,14.54
1946.21,3.78999999999996,B,2H,6,NA,NA,NA,0.134,0.134,-0.445,-0.445,-1942.595013,3892.595013,14.04
1946.19,3.80999999999995,B,2H,10,NA,NA,NA,0.032,0.032,-0.26,-0.26,-1969.29874,3919.29874,15.31
1946.16,3.83999999999992,B,2H,14,NA,NA,NA,0.12,0.12,NA,NA,-1996.002468,3946.002468,14.01
1946.13,3.86999999999989,B,2H,18,NA,NA,NA,0.229,0.229,-0.381,-0.381,-2022.706195,3972.706195,12.12
1946.11,3.8900000000001,B,2H,22,NA,NA,NA,0.136,0.136,-0.268,-0.268,-2049.409923,3999.409923,15.2
1946.08,3.92000000000007,B,2H,26,NA,NA,NA,0.129,0.129,-0.553,-0.553,-2076.113725,4026.113725,15.86
1946.05,3.95000000000005,B,2H,30,NA,NA,NA,0.155,0.155,-0.263,-0.263,-2129.52118,4079.52118,15.55
1946.03,3.97000000000003,B,2H,34,NA,NA,NA,0.105,0.105,0.16,0.16,-2162.90084,4112.90084,15.65
1946,4,B,2H,38,NA,NA,NA,0.16,0.16,-0.527,-0.527,-2182.92871,4132.92871,15.7
1945.97,4.02999999999997,B,2H,42,NA,NA,NA,0.217,0.217,-0.675,-0.675,-2209.632438,4159.632438,NA
1945.92,4.07999999999993,B,2H,50,NA,NA,NA,0.156,0.156,-0.607,-0.607,-2236.336165,4186.336165,15.33
1945.89,4.1099999999999,B,2H,54,NA,NA,NA,0.405,0.405,-0.629,-0.629,-2263.039893,4213.039893,14.91
1945.87,4.13000000000011,B,2H,58,NA,NA,NA,0.316,0.316,-0.64,-0.64,-2289.74362,4239.74362,15.94
1945.84,4.16000000000008,B,2H,62,NA,NA,NA,NA,NA,NA,NA,-2316.447423,4266.447423,14.22
1945.81,4.19000000000005,B,2H,66,NA,NA,NA,0.21,0.21,-0.557,-0.557,-2343.15115,4293.15115,15.73
1945.79,4.21000000000004,B,2H,70,NA,NA,NA,0.286,0.286,-0.464,-0.464,-2369.854878,4319.854878,14.97
1945.76,4.24000000000001,B,2H,74,NA,NA,NA,0.153,0.153,-0.694,-0.694,-2396.558605,4346.558605,NA
1945.73,4.26999999999998,B,2H,78,NA,NA,NA,0.398,0.398,-0.309,-0.309,-2423.262408,4373.262408,NA
1945.71,4.28999999999996,B,2H,82,NA,NA,NA,0.294,0.294,-0.646,-0.646,-2449.966135,4399.966135,14.76
1945.68,4.31999999999994,B,2H,86,NA,NA,NA,0.279,0.279,-0.477,-0.477,-2603.420561,4553.420561,13.85
1945.65,4.34999999999991,B,2H,90,NA,NA,NA,NA,NA,NA,NA,-2640.943925,4590.943925,13.4
1945.63,4.36999999999989,B,2H,94,NA,NA,NA,NA,NA,NA,NA,-2685.971963,4635.971963,15.73
1945.6,4.40000000000009,B,2H,98,NA,NA,NA,0.346,0.346,-0.429,-0.429,-2775.205882,4725.205882,13.46
1945.45,4.54999999999995,NA,02H,038_040,NA,NA,NA,0.338,0.338,-0.227,-0.227,-2845.935294,4795.935294,12.24
1945.41,4.58999999999992,NA,02H,043_045,NA,NA,NA,0.656,0.656,-0.125,-0.125,-2898.982353,4848.982353,14.65
1945.36,4.6400000000001,NA,02H,049_051,NA,NA,NA,0.136,0.136,-0.645,-0.645,-3005.076471,4955.076471,14.36
1945.27,4.73000000000002,NA,02H,060_062,NA,NA,NA,0.309,0.309,-0.14,-0.14,-3075.805882,5025.805882,15.07
1945.2,4.79999999999995,NA,02H,068_070,NA,NA,NA,0.639,0.639,0.133,0.133,-3137.694118,5087.694118,13.65
1945.15,4.84999999999991,NA,02H,074_076,NA,NA,NA,0.465,0.465,-0.404,-0.404,-3305.676471,5255.676471,13.24
1945.04,4.96000000000004,NA,02H,085_087,NA,NA,NA,0.215,0.215,-0.34,-0.34,-3473.658824,5423.658824,13.8
1944.97,5.02999999999997,NA,02H,093_095,NA,NA,NA,0.537,0.537,-0.499,-0.499,-3544.388235,5494.388235,13.19
1944.91,5.08999999999992,NA,02H,100_102,NA,NA,NA,0.394,0.394,-0.182,-0.182,-3703.529412,5653.529412,13.98
1944.74,5.25999999999999,NA,02H,119_121,NA,NA,NA,0.718,0.718,-0.09,-0.09,-3765.417647,5715.417647,14.22
1944.58,5.42000000000007,NA,02H,138_140,NA,NA,NA,0.247,0.247,-0.216,-0.216,-3818.464706,5768.464706,13.44
1944.51,5.49000000000001,NA,02H,146_148,NA,NA,NA,0.488,0.488,-0.08,-0.08,-3871.511765,5821.511765,14.67
1944.35,5.65000000000009,NA,02H,12,NA,NA,NA,0.321,0.321,-0.256,-0.256,-3906.876471,5856.876471,13.71
1944.28,5.72000000000003,NA,02H,019_021,NA,NA,NA,0.533,0.533,-0.31,-0.31,-4057.176471,6007.176471,12.96
1944.23,5.76999999999998,NA,02H,24,NA,NA,NA,0.289,0.289,-0.134,-0.134,-4189.794118,6139.794118,14.16
1944.18,5.81999999999994,NA,02H,030_032,NA,NA,NA,0.111,0.111,-0.409,-0.409,-4248.845455,6198.845455,13.6
1944.14,5.8599999999999,NA,02H,34,NA,NA,NA,0.127,0.127,-0.196,-0.196,-4293.381818,6243.381818,14.06
1943.99,6.00999999999999,NA,02H,51,NA,NA,NA,0.329,0.33,-0.028,-0.027,-4375.031818,6325.031818,12.51
1943.86,6.1400000000001,NA,02H,66,NA,NA,NA,0.31,0.324,-0.295,-0.281,-4404.722727,6354.722727,13.39
1943.8,6.20000000000005,NA,02H,77,NA,NA,NA,0.265,0.285,-0.171,-0.151,-4516.063636,6466.063636,14.02
1943.76,6.24000000000001,NA,02H,83,NA,NA,NA,0.28,0.304,-0.274,-0.25,-4568.022727,6518.022727,13.66
1943.67,6.32999999999993,NA,02H,093_095,NA,NA,NA,0.629,0.662,0.073,0.106,-4597.713636,6547.713636,14.46
1943.65,6.34999999999991,NA,02H,97,NA,NA,NA,-0.185,-0.15,-0.123,-0.088,-4634.827273,6584.827273,12.71
1943.53,6.47000000000003,NA,02H,112_114,NA,NA,NA,0.101,0.148,-0.265,-0.218,-4694.209091,6644.209091,13.85
1943.48,6.51999999999998,NA,02H,119_121,NA,NA,NA,0.594,0.646,-0.184,-0.132,-4775.859091,6725.859091,13.38
1943.45,6.54999999999995,NA,02H,123_125,NA,NA,NA,0.143,0.198,-0.362,-0.307,-4790.704546,6740.704546,14.31
1943.42,6.57999999999993,NA,02H,128_130,NA,NA,NA,0.228,0.286,0.029,0.087,-4864.931818,6814.931818,14.63
1943.36,6.6400000000001,NA,02H,136_138,NA,NA,NA,0.406,0.47,-0.226,-0.162,-4946.581818,6896.581818,14.55
1943.27,6.73000000000002,NA,02H,146_148,NA,NA,NA,0.677,0.75,-0.123,-0.05,-5028.231818,6978.231818,14.36
1943.26,6.74000000000001,NA,02H,148,NA,NA,NA,0.363,0.437,-0.328,-0.254,-5228.645455,7178.645455,14.11
1943.19,6.80999999999995,NA,02H,011_013,NA,NA,NA,0.345,0.426,-0.401,-0.32,-5258.336364,7208.336364,14.86
1943.1,6.90000000000009,NA,02H,023_025,NA,NA,NA,0.306,0.396,-0.382,-0.292,-5354.831818,7304.831818,14.6
1943.02,6.98000000000002,NA,02H,038_040,NA,NA,NA,0.193,0.291,-0.34,-0.242,-5399.368182,7349.368182,13.28
1942.82,7.18000000000006,NA,02H,068_070,NA,NA,NA,0.08,0.198,-0.284,-0.166,-5436.481818,7386.481818,14.39
1942.79,7.21000000000004,NA,02H,072_074,NA,NA,NA,0.172,0.293,-0.452,-0.331,-5525.554546,7475.554546,14.15
1942.7,7.29999999999995,NA,02H,086_088,NA,NA,NA,0.245,0.375,-0.394,-0.264,-5577.513636,7527.513636,NA
1942.65,7.34999999999991,NA,02H,093_095,NA,NA,NA,0.054,0.189,-0.099,0.036,-5614.627273,7564.627273,13.54
1942.61,7.3900000000001,NA,02H,098_100,NA,NA,NA,0.16,0.299,-0.348,-0.209,-5718.545455,7668.545455,13.74
1942.52,7.48000000000002,NA,02H,112_114,NA,NA,NA,0.036,0.184,-0.294,-0.146,-5844.731818,7794.731818,14.69
1942.47,7.52999999999997,NA,02H,119_121,NA,NA,NA,0.547,0.7,0,0.408,-5908.489362,7858.489362,14.69
1942.44,7.55999999999995,NA,02H,128_130,NA,NA,NA,0.04,0.196,-0.156,0,-5984.553192,7934.553192,13.95
1942.33,7.67000000000007,NA,02H,146_148,NA,NA,NA,0.428,0.595,-0.203,-0.036,-6032.957447,7982.957447,13.93
1942.21,7.78999999999996,NA,02H,013_015,NA,NA,NA,0.399,0.578,-0.413,-0.234,-6060.617021,8010.617021,15.37
1942.14,7.8599999999999,NA,02H,024_026,NA,NA,NA,0.456,0.642,-0.414,-0.228,-6150.510638,8100.510638,14.52
1942.07,7.93000000000006,NA,02H,034_036,NA,NA,NA,0.294,0.487,-0.249,-0.056,-6220.482143,8170.482143,13.08
1942.02,7.98000000000002,NA,02H,043_045,NA,NA,NA,0.302,0.5,-0.243,-0.045,-6294.535714,8244.535714,14.39
1941.99,8.00999999999999,NA,02H,047_049,NA,NA,NA,0.313,0.514,-0.566,-0.365,-6328.714286,8278.714286,13.12
1941.9,8.09999999999991,NA,02H,062_064,NA,NA,NA,0.216,0.426,-0.375,-0.165,-6340.107143,8290.107143,13.21
1941.83,8.17000000000007,NA,02H,072_074,NA,NA,NA,0.52,0.737,-0.055,0.162,-6411.348485,8361.348485,13.81
1941.76,8.24000000000001,NA,02H,087_089,NA,NA,NA,0.339,0.563,-0.346,-0.122,-6459.227273,8409.227273,13.61
1941.72,8.27999999999997,NA,02H,093_095,NA,NA,NA,0.209,0.437,-0.064,0.164,-6483.166667,8433.166667,12.85
1941.71,8.28999999999996,NA,02H,095_097,NA,NA,NA,0.388,0.617,-0.083,0.146,-6513.090909,8463.090909,13.39
1941.64,8.3599999999999,NA,02H,112_114,NA,NA,NA,0.22,0.456,-0.217,0.019,-6560.969697,8510.969697,13.84
1941.59,8.41000000000008,NA,02H,119_121,NA,NA,NA,0.289,0.53,-0.173,0.068,-6626.80303,8576.80303,12.94
1941.57,8.43000000000006,NA,02H,123_125,NA,NA,NA,0.231,0.474,-0.002,0.241,-6722.560606,8672.560606,12.29
1941.54,8.46000000000004,NA,02H,128_130,NA,NA,NA,0.071,0.317,-0.123,0.123,-6734.530303,8684.530303,13
1941.49,8.50999999999999,NA,02H,136_138,NA,NA,NA,0.291,0.542,-0.224,0.027,-6750.85,8700.85,NA
1941.42,8.57999999999993,NA,02H,146_148,NA,NA,NA,0.378,0.636,-0.024,0.234,-6794.378788,8744.378788,14.47
1941.33,8.67000000000007,NA,02H,017_019,NA,NA,NA,0.606,0.873,0.122,0.389,-6818.31,8768.31,NA
1941.32,8.68000000000006,NA,02H,019_021,NA,NA,NA,0.285,0.553,-0.036,0.232,-6872.181818,8822.181818,12.2
1941.3,8.70000000000005,NA,02H,022_024,NA,NA,NA,NA,NA,NA,NA,-6914.075758,8864.075758,12.11
1941.26,8.74000000000001,NA,02H,030_032,NA,NA,NA,0.385,0.659,-0.364,-0.09,-6954.592975,8904.592975,13.5
1941.23,8.76999999999998,NA,02H,034_036,NA,NA,NA,NA,NA,NA,NA,-6982.840909,8932.840909,12.59
