year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],Actinocyclus_curvatulus (unitless) [1-1],Roperia_tesselata (unitless) [1-1],CAL (unitless) [1-1],Actinocyclus_octonarius (unitless) [1-1],Actinoptychus_spp. (unitless) [1-1],Azpeitia_nodulifer (unitless) [1-1],Coscinodiscus_spp. (unitless) [1-1],Cyclotella_spp. (unitless) [1-1],Stephanopyxis_spp. (unitless) [1-1],Number_counted (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CAL (unitless) [2-1],Dictyocha_acueata (unitless) [2-1],D_aff_D_aculeata (unitless) [2-1],D_aspinosa (unitless) [2-1],D_calida (unitless) [2-1],D_calida_ampliata (unitless) [2-1],D_perlaevis (unitless) [2-1],D_stapedia (unitless) [2-1],Ds_speculum (unitless) [2-1],Octactis_pulchra_(lrg) (unitless) [2-1],O_pulchra_(med) (unitless) [2-1],O_pulchra_(small) (unitless) [2-1],O_pulchra_(thick) (unitless) [2-1],Numbe_counted (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSI (%) [3-1],CAL (unitless) [3-1],%Al (%) [3-1],%Si (%) [3-1],%Fe (%) [3-1],%Ti (%) [3-1],%Mg (%) [3-1],%K (%) [3-1],%P (%) [3-1],Ba (ppm) (unitless) [3-1],Sr (ppm) (unitless) [3-1],% Total C (%) [3-1],%TIC (%) [3-1],%TOC (%) [3-1],%CaCO3 (%) [3-1]
181.4,1768.6,50.5,8,26.5,CAL,3.5,20,10.5,11,20,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-261.6,2211.6,100,21.53,CAL,4.43,24.5,2.17,0.23,1.52,1.9,0.1,521,176,3.64,0.24,3.4,2
137.54,1812.46,55.5,5,11.9,CAL,3.5,35.3,3.5,15.4,21.9,3.5,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-349.3,2299.3,110,39.17,CAL,2.02,24.6,1.01,0.11,1.39,1.16,0.12,385,152,2.92,0,2.92,0
93.6800000000001,1856.32,60.5,9.4,6.9,CAL,3,30.2,3.5,18.3,27.2,1.5,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-437,2387,120,31.67,CAL,3.33,25.5,1.5,0.17,1.36,1.52,0.08,446,154,3.64,0,3.64,0
49.8199999999999,1900.18,65.5,4.6,4.3,CAL,4.3,27.2,6,18.9,34.8,0,302,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-524.7,2474.7,130,29.85,CAL,3.34,24.7,1.55,0.16,1.46,1.5,0.11,531,162,3.55,0.02,3.53,0.17
5.96000000000004,1944.04,70.5,12.5,6,CAL,1.5,36,8,15,21,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-612.5,2562.5,140,26.44,CAL,3.66,24.2,1.62,0.19,1.5,1.58,0.08,458,170,3.43,0.01,3.42,0.08
-37.8900000000001,1987.89,75.5,6,1,CAL,2,33.3,4,32.3,21.4,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-700,2650,150,27.89,CAL,3.52,24.4,1.58,0.18,1.57,1.51,0.09,498,172,3.33,0.01,3.32,0.08
-81.75,2031.75,80.5,9.4,4,CAL,2,41.6,3,20.8,18.3,1,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-787.9,2737.9,160,25.77,CAL,4.66,27.2,2.16,0.24,1.27,1.83,0.11,562,149,4.05,0,4.05,0
-125.61,2075.61,85.5,14.4,4,CAL,3.5,21.4,1,13.9,41.8,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-875.6,2825.6,170,36.63,CAL,3.46,28.2,1.61,0.17,1.19,1.46,0.08,521,132,3.85,0,3.85,0
-169.47,2119.47,90.5,9.5,9,CAL,5.5,25.9,13.4,16.4,20.4,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-963.3,2913.3,180,33.79,CAL,3.46,26.9,1.59,0.19,1.3,1.49,0.1,437,143,3.31,0,3.31,0
-213.33,2163.33,95.5,10.5,3,CAL,4,34,2.5,9.5,34.5,2,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1051.1,3001.1,190,30.02,CAL,3.77,26.2,1.73,0.19,1.33,1.5,0.09,480,144,3.65,0,3.65,0
-257.19,2207.19,100.5,12.3,2.5,CAL,3.4,39.2,1,16.2,23,2.5,204,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1138.8,3088.8,200,27.54,CAL,3.84,25.3,1.71,0.19,1.41,1.5,0.11,521,153,4.07,0,4.07,0
-301.05,2251.05,105.5,13,15,CAL,3,23,4.5,17.5,23,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1226.5,3176.5,210,25.96,CAL,4.24,25.9,1.97,0.21,1.41,1.71,0.1,507,162,3.62,0,3.62,0
-344.91,2294.91,110.5,6,16.4,CAL,1.5,23.4,4.5,10.4,18.9,18.9,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1314.2,3264.2,220,32.4,CAL,3.41,26.1,1.58,0.17,1.32,1.37,0.07,387,146,3.13,0,3.13,0
-388.77,2338.77,115.5,6.9,6.9,CAL,9.4,27.6,8.4,18.2,22.7,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1401.9,3351.9,230,28.49,CAL,3.8,25.6,1.93,0.19,1.47,1.53,0.08,466,155,3.32,0,3.32,0
-432.63,2382.63,120.5,9.1,27,CAL,3.3,11.2,19.1,12,18.3,0,241,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1489.6,3439.6,240,30.94,CAL,3.4,25.4,1.76,0.17,1.39,1.38,0.1,514,149,3.98,0,3.98,0
-476.49,2426.49,125.5,8.5,22,CAL,2.5,25.5,2,18,12.5,9,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1577.4,3527.4,250,29.74,CAL,3.96,26.7,1.82,0.2,1.43,1.58,0.08,470,155,3.28,0.01,3.27,0.08
-520.35,2470.35,130.5,12,16.3,CAL,3.3,27.3,4.3,13,18.7,5,300,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1656.3,3606.3,259,22.83,CAL,4.31,24.7,2.17,0.22,1.55,1.62,0.09,520,207,3.59,0.27,3.32,2.25
-564.21,2514.21,135.5,8.9,3,CAL,4,29.2,4,8.4,42.6,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1752.8,3702.8,270,28.85,CAL,3.75,25.6,1.8,0.19,1.48,1.5,0.07,516,159,3.55,0.02,3.53,0.17
-608.07,2558.07,140.5,9.8,8.8,CAL,6.4,25.5,2.9,9.8,35.8,1,204,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1840.5,3790.5,280,29.86,CAL,3.49,25.2,1.66,0.17,1.25,1.42,0.09,442,165,3.59,0,3.59,0
-687.02,2637.02,149.5,8.5,8.5,CAL,2.5,27.5,6,28.5,18.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-1928.2,3878.2,290,29.36,CAL,3.77,25.9,1.86,0.2,1.53,1.52,0.09,536,166,3.74,0,3.74,0
-695.79,2645.79,150.5,5.5,18.5,CAL,6.5,32,8,12.5,17,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2016,3966,300,31.88,CAL,3.21,25.2,1.58,0.16,1.44,1.44,0.07,453,148,3.17,0,3.17,0
-739.65,2689.65,155.5,4.5,23,CAL,6.5,21.5,3.5,10,31,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2016,3966,300,26.34,CAL,3.25,22.8,1.49,0.17,1.84,1.4,0.07,432,159,3.25,0,3.25,0
-783.51,2733.51,160.5,7.5,6,CAL,5.5,28,1.5,26,25,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2103.7,4053.7,310,35.4,CAL,3.57,28,1.65,0.18,1.22,1.43,0.07,422,148,3.1,0,3.1,0
-827.37,2777.37,165.5,9.5,10,CAL,1,28,5.5,18.5,27.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2191.4,4141.4,320,22.26,CAL,4.39,24.7,1.99,0.21,1.45,1.71,0.09,537,210,4.28,0.3,3.98,2.5
-871.23,2821.23,170.5,8.5,3.5,CAL,3,43,1,16,24.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2279.1,4229.1,330,32.04,CAL,3.52,26.3,1.68,0.18,1.37,1.4,0.08,543,160,4.01,0.02,3.99,0.17
-915.09,2865.09,175.5,15.8,7.4,CAL,12.3,20.7,3.9,18.7,19.2,2,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2366.8,4316.8,340,28.86,CAL,3.87,26,1.85,0.18,1.31,1.5,0.08,479,145,3.65,0,3.65,0
-958.95,2908.95,180.5,11.3,7.4,CAL,2.5,39.9,6.4,17.2,14.8,0.5,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2454.6,4404.6,350,28.93,CAL,3.89,26.1,1.82,0.19,1.34,1.55,0.08,519,151,3.69,0,3.69,0
-1002.81,2952.81,185.5,5,5.5,CAL,3,38,5,22.5,20.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2542.3,4492.3,360,32.84,CAL,3.47,26.5,1.59,0.17,1.35,1.36,0.07,451,142,3.51,0,3.51,0
-1046.67,2996.67,190.5,6,26,CAL,2,18,1,10.5,36,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-2630,4580,370,25,CAL,3.95,24.5,1.85,0.19,1.54,1.56,0.07,510,171,3.41,0,3.41,0
-1090.53,3040.53,195.5,9.5,7,CAL,3.5,39.5,1.5,15,23.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3551.1,5501.1,475,29.95,CAL,3.78,26.2,1.84,0.2,1.25,1.46,0.11,575,152,3.54,0.07,3.47,0.58
-1134.39,3084.39,200.5,5.9,14.4,CAL,1.5,29.2,1,5.9,41.6,0.5,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3638.8,5588.8,485,29.45,CAL,4,26.7,1.9,0.2,1.31,1.55,0.07,556,142,4.1,0,4.1,0
-1178.25,3128.25,205.5,5.5,7.5,CAL,8,34.5,4,15.5,24.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3726.5,5676.5,495,32.15,CAL,4.11,28.3,1.81,0.19,1.39,1.59,0.07,602,149,3.89,0,3.89,0
-1222.11,3172.11,210.5,10.8,8.4,CAL,4.4,27.6,3,18.7,27.1,0,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3814.2,5764.2,505,25.96,CAL,4.15,25.6,1.88,0.2,1.4,1.56,0.11,651,160,3.2,0.01,3.19,0.08
-1265.96,3215.96,215.5,6.2,2.2,CAL,3.3,37.1,4.4,12,34.5,0.4,275,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3901.9,5851.9,515,22.84,CAL,4.43,25.1,2.03,0.21,1.51,1.65,0.08,748,164,3.5,0.01,3.49,0.08
-1309.82,3259.82,220.5,7.4,2.5,CAL,5.4,37.1,12.9,18.3,16.3,0,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-3989.6,5939.6,525,22.85,CAL,4.58,25.6,2.01,0.21,1.5,1.67,0.08,615,154,3.62,0.01,3.61,0.08
-1353.68,3303.68,225.5,7,6,CAL,6,35.5,3.5,19.5,21.5,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4077.4,6027.4,535,28.37,CAL,4.18,26.8,1.89,0.19,1.35,1.6,0.08,621,161,3.61,0.01,3.6,0.08
-1397.54,3347.54,230.5,5.5,6.5,CAL,6.5,32.3,7.5,22.4,19.4,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4165.1,6115.1,545,29.52,CAL,3.99,26.7,1.74,0.19,1.39,1.52,0.07,632,155,3.36,0.03,3.33,0.25
-1441.4,3391.4,235.5,7.7,3.3,CAL,13.7,29.3,2.7,12,31.3,0,300,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4252.8,6202.8,555,35.76,CAL,3.55,28.1,1.6,0.18,1.25,1.35,0.06,519,131,2.96,0,2.96,0
-1485.26,3435.26,240.5,8.5,5,CAL,6,34.5,2,18.5,25.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4340.5,6290.5,565,30.89,CAL,3.8,26.7,1.89,0.19,1.38,1.46,0.08,609,142,2.72,0,2.72,0
-1529.12,3479.12,245.5,8.5,1.5,CAL,7.5,33.5,3,21.5,24,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4428.2,6378.2,575,31.42,CAL,4.03,27.7,1.83,0.2,1.37,1.56,0.08,651,148,3.21,0,3.21,0
-1572.98,3522.98,250.5,7,1,CAL,4,36.3,4,20.4,25.4,2,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4516,6466,585,22.78,CAL,4.71,26,2.08,0.22,1.45,1.74,0.09,690,157,3.1,0,3.1,0
-1616.84,3566.84,255.5,8.9,5.9,CAL,5.9,35.6,5,24.3,13.9,0.5,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4603.7,6553.7,595,22.42,CAL,4.67,25.7,2.15,0.22,1.54,1.73,0.1,667,161,3.19,0,3.19,0
-1651.93,3601.93,259.5,5.5,6,CAL,3,43.5,2.5,21.5,18,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4691.4,6641.4,605,20.59,CAL,4.59,24.6,2.05,0.21,1.59,1.95,0.08,680,164,3.63,0.01,3.62,0.08
-1704.56,3654.56,265.5,6,3.5,CAL,3.5,30.5,6.5,19,30.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4779.1,6729.1,615,14.72,CAL,5.07,23.5,2.19,0.23,1.76,1.86,0.08,647,173,3.52,0,3.52,0
-1748.42,3698.42,270.5,9,10.4,CAL,7.1,30.2,5.2,17.5,20.8,0,212,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4866.8,6816.8,625,19.45,CAL,5.08,25.7,2.22,0.23,1.4,1.88,0.09,674,156,3.58,0,3.58,0
-1792.28,3742.28,275.5,7,5.5,CAL,3.5,29.5,4.5,17,33,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-4954.6,6904.6,635,25.4,CAL,4.53,26.6,1.96,0.21,1.37,1.69,0.09,478,146,4.25,0,4.25,0
-1836.14,3786.14,280.5,9.4,4.3,CAL,4.3,29.7,5.1,13.3,33.6,0.4,256,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5042.3,6992.3,645,21.27,CAL,4.95,26.1,2.19,0.23,1.53,1.9,0.09,413,163,3.76,0,3.76,0
-1880,3830,285.5,4.4,3.6,CAL,8.4,40,6.4,15.2,21.6,0.4,250,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5130,7080,655,12.75,CAL,5.1,22.7,2.23,0.23,1.52,1.95,0.07,498,157,3.32,0.01,3.31,0.08
-1923.86,3873.86,290.5,12,3.2,CAL,4.4,38.8,3.2,18,20.4,0,250,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5217.7,7167.7,665,26.41,CAL,4.42,26.7,1.93,0.2,1.39,1.68,0.07,303,156,3.03,0.13,2.9,1.08
-1967.72,3917.72,295.5,4.2,1.9,CAL,7.2,35.2,4.5,14.8,31.8,0.4,264,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5305.4,7255.4,675,22.51,CAL,4.93,26.6,2.27,0.24,1.46,1.95,0.08,445,150,3.13,0,3.13,0
-2011.58,3961.58,300.5,5.3,2.5,CAL,9.2,29.7,2,12.3,38.7,0.3,357,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5393.2,7343.2,685,26.77,CAL,4.4,26.8,1.85,0.2,1.34,1.75,0.07,465,140,3.21,0.01,3.2,0.08
-2011.58,3961.58,300.5,5.5,33,CAL,3,12.5,2,10,33,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5480.9,7430.9,695,21.74,CAL,5.52,28.2,2.26,0.25,1.5,2.14,0.09,469,158,3.38,0,3.38,0
-2055.44,4005.44,305.5,6.7,6.7,CAL,4.3,26.2,5.7,16,34.4,0,282,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5568.6,7518.6,705,19.46,CAL,5.17,26,2.17,0.23,1.41,1.9,0.09,474,148,3.11,0.01,3.1,0.08
-2099.3,4049.3,310.5,5.6,10,CAL,2,30,3.2,23.6,25.6,0,250,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5656.3,7606.3,715,28.87,CAL,4.14,26.9,1.85,0.2,1.39,1.73,0.09,421,139,2.72,0,2.72,0
-2143.16,4093.16,315.5,7.3,14.6,CAL,4.3,35.5,3.7,20.3,13.6,0.7,301,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5744,7694,725,15.68,CAL,5.33,24.8,2.37,0.26,1.53,2,0.09,610,163,3.88,0,3.88,0
-2187.02,4137.02,320.5,4.9,26.5,CAL,2.9,18.8,7.3,13.5,25.7,0.4,245,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5831.8,7781.8,735,15.74,CAL,5.17,24.3,2.37,0.24,1.61,1.94,0.09,467,156,3.78,0,3.78,0
-2230.88,4180.88,325.5,4.3,17.9,CAL,2.4,33.3,12.1,12.1,17.9,0,207,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-5919.5,7869.5,745,22.77,CAL,4.44,25.1,1.85,0.2,1.43,1.72,0.08,425,145,3.51,0,3.51,0
-2274.74,4224.74,330.5,4.7,10.9,CAL,2.8,26.5,11.4,21.8,21.3,0.5,211,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6007.2,7957.2,755,22.35,CAL,4.71,25.8,2.12,0.22,1.47,1.87,0.07,402,147,3.3,0.02,3.28,0.17
-2318.6,4268.6,335.5,2.5,15.9,CAL,2.5,23.4,23.4,13.9,18.4,0,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6094.9,8044.9,765,26.17,CAL,4,25.2,1.78,0.18,1.64,1.61,0.07,278,136,2.91,0.01,2.9,0.08
-2362.46,4312.46,340.5,4,3,CAL,5,31.5,21.5,10.5,24.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6182.6,8132.6,775,26.43,CAL,4.66,27.5,2.06,0.22,1.32,1.76,0.07,368,133,3.06,0,3.06,0
-2406.32,4356.32,345.5,2.5,60,CAL,1,13.5,3.5,3,16.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6270.4,8220.4,785,33.96,CAL,3.86,28.3,1.6,0.17,1.18,1.6,0.06,294,131,2.95,0,2.95,0
-2450.18,4400.18,350.5,4.2,7.7,CAL,2.3,34.5,5.4,14.6,31.4,0,261,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6358.1,8308.1,795,29.52,CAL,3.93,26.5,1.68,0.17,1.35,1.56,0.07,268,161,3.17,0.2,2.97,1.67
-2494.04,4444.04,355.5,1.5,48,CAL,1.5,13.5,6,7,22.5,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6445.8,8395.8,805,21.57,CAL,5.06,26.6,2.14,0.23,1.42,1.93,0.16,423,159,2.81,0,2.81,0
-2537.89,4487.89,360.5,4.3,11.3,CAL,5.2,22.2,32.6,8.7,15.7,0,230,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6533.5,8483.5,815,18.38,CAL,5.35,26.1,2.15,0.24,1.47,2.08,0.09,370,166,3.31,0.03,3.28,0.25
-2581.75,4531.75,365.5,9.2,10,CAL,2.9,40.8,6.3,12.9,17.9,0,240,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6621.2,8571.2,825,21.26,CAL,4.74,25.4,2.06,0.22,1.34,1.91,0.08,462,157,3.78,0.01,3.77,0.08
-2625.61,4575.61,370.5,4.4,8.9,CAL,2.2,37.3,13.3,18.2,15.1,0.4,225,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6708.9,8658.9,835,14.59,CAL,5.48,24.8,2.23,0.24,1.37,2.05,0.09,457,172,3.07,0,3.07,0
-2669.47,4619.47,375.5,8.6,1.3,CAL,6.7,48.3,2.5,14.6,17.8,0.3,315,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6796.7,8746.7,845,22.79,CAL,4.8,26.3,2.09,0.22,1.37,1.88,0.08,456,143,3.1,0.01,3.09,0.08
-3546.67,5496.67,475.5,4.4,3.4,CAL,2.5,39.2,9.3,24,13.7,3.4,204,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6884.4,8834.4,855,17.68,CAL,4.69,23.6,2.15,0.22,1.48,1.86,0.08,450,167,3.05,0,3.05,0
-3590.53,5540.53,480.5,6.4,5.9,CAL,4.5,30.7,18.8,17.3,14.9,1.5,202,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-6972.1,8922.1,865,19.58,CAL,4.73,24.6,2,0.21,1.57,1.9,0.14,434,151,3.45,0.01,3.44,0.08
-3634.39,5584.39,485.5,5.3,7.8,CAL,3.4,42.7,11.2,12.1,17,0.5,206,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-8150,10100,950,16.11,CAL,5.24,24.7,2.43,0.22,1.31,2,0.08,553,235,4.3,0.28,4.02,2.33
