depth (cm) [1-1],age (yr BP) [1-1],Tanom (degC) [1-1],Panom (cm) [1-1],T-SD (degC) [1-1],T+SD (degC) [1-1],p-SD (cm) [1-1],p+SD (cm) [1-1],CoreSite (unitless) [1-1],depth (cm) [2-1],age (yr BP) [2-1],Tanom (degC) [2-1],Panom (cm) [2-1],T-SD (degC) [2-1],T+SD (degC) [2-1],p-SD (cm) [2-1],p+SD (cm) [2-1],CoreSite (unitless) [2-1],depth (cm) [3-1],age (yr BP) [3-1],Tanon (degC) [3-1],Panom (cm) [3-1],core (unitless) [3-1],T-SD (degC) [3-1],T+SD (degC) [3-1],P-SD (cm) [3-1],P+SD (cm) [3-1]
NA,NA,NA,NA,NA,NA,NA,NA,NA,160,5533,0.470476,8.743354,-0.004792832,0.9186152,4.375766,14.13069,TM,160,5533,0.470476,8.743354,TM,-0.004792832,0.9186152,4.375766,14.13069
NA,NA,NA,NA,NA,NA,NA,NA,NA,175,6412,0.6487965,7.45678,0.1768871,1.09653,3.149228,12.67364,TM,175,6412,0.6487965,7.45678,TM,0.1768871,1.09653,3.149228,12.67364
NA,NA,NA,NA,NA,NA,NA,NA,NA,180,6705,1.994161,-2.385705,1.530228,2.457199,-6.745468,1.959325,TM,180,6705,1.994161,-2.385705,TM,1.530228,2.457199,-6.745468,1.959325
NA,NA,NA,NA,NA,NA,NA,NA,NA,185,7008,0.8344437,6.091828,0.3205753,1.329563,1.581178,11.37784,TM,185,7008,0.8344437,6.091828,TM,0.3205753,1.329563,1.581178,11.37784
NA,NA,NA,NA,NA,NA,NA,NA,NA,190,7327,-0.001528317,12.17491,-0.5740017,0.5298918,7.179871,18.60876,TM,190,7327,-0.001528317,12.17491,TM,-0.5740017,0.5298918,7.179871,18.60876
NA,NA,NA,NA,NA,NA,NA,NA,NA,195,7646,0.6553969,7.36026,0.08110853,1.19717,2.570735,13.20397,TM,195,7646,0.6553969,7.36026,TM,0.08110853,1.19717,2.570735,13.20397
NA,NA,NA,NA,NA,NA,NA,NA,NA,205,8283,0.5796412,7.975257,-0.01335737,1.134044,3.077297,13.92478,TM,205,8283,0.5796412,7.975257,TM,-0.01335737,1.134044,3.077297,13.92478
NA,NA,NA,NA,NA,NA,NA,NA,NA,230,8605,0.4963709,8.575501,-0.06433416,1.020106,3.819173,14.46102,TM,230,8605,0.4963709,8.575501,TM,-0.06433416,1.020106,3.819173,14.46102
NA,NA,NA,NA,NA,NA,NA,NA,NA,245,8982,0.09515359,11.46194,-0.4439459,0.5985777,6.650544,17.60017,TM,245,8982,0.09515359,11.46194,TM,-0.4439459,0.5985777,6.650544,17.60017
NA,NA,NA,NA,NA,NA,NA,NA,NA,248,9092,0.4300175,9.00215,-0.06771258,0.9024104,4.487876,14.63483,TM,248,9092,0.4300175,9.00215,TM,-0.06771258,0.9024104,4.487876,14.63483
NA,NA,NA,NA,NA,NA,NA,NA,NA,250,9166,-0.04729382,12.54675,-0.6290821,0.4822398,7.526269,19.01958,TM,250,9166,-0.04729382,12.54675,TM,-0.6290821,0.4822398,7.526269,19.01958
NA,NA,NA,NA,NA,NA,NA,NA,NA,253,9276,1.49154,1.300196,1.048818,1.92105,-2.783658,5.740209,TM,253,9276,1.49154,1.300196,TM,1.048818,1.92105,-2.783658,5.740209
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,10469,-1.313981,-10.0939,HCCM,-1.673797,-0.9361187,-14.46299,-6.402663
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,10583,-1.617579,-7.901346,HCCM,-1.997256,-1.227139,-12.14244,-4.119747
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,10842,-2.854613,1.097494,HCCM,-3.269501,-2.448125,-2.813282,5.485855
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,11194,-1.773931,-6.779186,HCCM,-2.182533,-1.353493,-11.02519,-2.860746
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,11363,-4.866167,15.78132,HCCM,-5.405954,-4.375617,10.65974,22.67712
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,11446,-5.685666,21.70087,HCCM,-6.219672,-5.206346,16.09547,29.63723
