depth (cm),age (yr BP),LOI (percent),calibrated (unitless),carbonate (percent),Avg_MS (MS),AVG_MS_DRS1_2A_3_2B_4 (MS)
36.5,575.0333758,45.2874,CAL,4.36782,-0.3475,-0.495
37.5,611.1494309,46.8683,CAL,4.10367,-0.33,-0.4
38.5,648.009936,45.6471,CAL,3.41176,-0.31,-0.405
39.5,685.5940915,45.6265,CAL,5.08274,-0.1925,-0.16
40.5,723.8813237,44.0538,CAL,4.23992,-0.101667,-0.035
41.5,762.8512854,46.2983,CAL,4.97238,-0.09,0.01
42.5,802.4838559,43.8259,CAL,3.64372,-0.0633333,0.08
43.5,842.7591404,44.214,CAL,5.02183,0.113333,0.4
44.5,883.6574708,41.9626,CAL,4.39252,0.343333,0.7475
44.5,883.6574708,39.4778,CAL,3.9557,0.343333,0.7475
45.5,925.1594051,40.7649,CAL,4.29104,0.718333,1.34
46.5,967.2457278,30.5663,CAL,2.79286,1.39667,2.3125
47.5,1009.89745,25.4717,CAL,3.61635,2.30833,3.6825
48.5,1053.095807,23.022,CAL,2.01038,3.43333,5.35
49.5,1096.822265,30.03,CAL,3.37838,4.44333,6.895
50.5,1141.058511,21.4859,CAL,1.74029,4.6175,9.24
51.5,1185.786463,18.4741,CAL,2.07084,6.37375,12.46
52.5,1230.988262,16.8247,CAL,2.26804,8.8825,17.305
53.5,1276.646277,9.56905,CAL,1.93417,11.7288,22.9025
54.5,1322.743104,3.55532,CAL,1.08782,18.7667,27.3225
54.5,1322.743104,2.24042,CAL,0.84317,18.7667,27.3225
55.5,1369.261562,4.17633,CAL,1.2065,19.6633,28.7175
56.5,1416.184701,3.65132,CAL,1.49139,17.9933,26.2875
57.5,1463.495793,2.69126,CAL,1.20956,14.84,21.3325
58.5,1511.17834,15.7514,CAL,6.93642,9.30167,12.95
59.5,1559.216067,25.4886,CAL,11.7264,5.48167,7.47
60.5,1607.592928,43.3875,CAL,11.6009,3.03,3.5925
61.5,1656.293102,51.1199,CAL,5.66535,1.725,1.535
62.5,1705.300993,36.2395,CAL,16.4916,1.0625,-0.335
63.5,1754.601235,37.9597,CAL,14.5907,1.2325,-0.54
64.5,1804.178685,36.4878,CAL,17.9512,1.6825,-0.595
64.5,1804.178685,44.3914,CAL,13.3652,1.6825,-0.595
65.5,1854.018428,43.9535,CAL,11.9767,2.975,-0.555
66.5,1904.105775,37.641,CAL,15.5897,4.3,-0.51
67.5,1954.426262,34.6901,CAL,17.9463,6.3975,-0.615
68.5,2004.965653,31.4308,CAL,21.1102,7.1675,-0.675
69.5,2055.709939,33.9983,CAL,17.4328,6.64,-0.73
70.5,2106.645334,37.8088,CAL,14.7154,5.1875,-0.735
71.5,2157.758281,35.1852,CAL,17.284,4.5075,-0.745
72.5,2209.03545,42.3464,CAL,14.3017,4.86,-0.695
73.5,2260.463734,51.2309,CAL,6.6823,5.455,-0.65
74.5,2312.030256,45.5399,CAL,10.2113,5.53,-0.605
74.5,2312.030256,57.8692,CAL,2.90557,5.53,-0.605
75.5,2363.722364,51.4323,CAL,7.16146,4.9725,-0.515
76.5,2415.52763,61.1191,CAL,4.87805,3.7475,-0.57
77.5,2467.433856,59.7605,CAL,4.07186,2.6425,-0.575
78.5,2519.429068,59.3023,CAL,3.74677,1.99,-0.585
79.5,2571.501519,63.2013,CAL,3.9604,1.7625,-0.49
80.5,2623.639688,67.4847,CAL,4.90798,1.66,-0.395
81.5,2675.832282,63.0137,CAL,2.60274,1.31,-0.395
82.5,2728.068231,59.6899,CAL,3.25581,0.955,-0.355
83.5,2780.336694,58.0381,CAL,4.08719,0.73,-0.31
84.5,2832.627056,57.9821,CAL,5.10856,0.5525,-0.315
84.5,2832.627056,53.3421,CAL,3.14548,0.5525,-0.315
85.5,2884.928928,52.5538,CAL,4.16667,0.2475,-0.425
86.5,2937.232146,53.2967,CAL,3.43407,0.02,-0.43
87.5,2989.526775,59.7577,CAL,3.09556,0.0675,-0.335
88.5,3041.803103,59.8793,CAL,4.52489,0.2375,-0.445
89.5,3094.051648,55.335,CAL,3.34988,0.7375,-0.4
90.5,3146.263152,54.2274,CAL,2.76968,1.01,-0.4
91.5,3198.428583,48.8276,CAL,4,0.71,-0.405
92.5,3250.539137,52.3869,CAL,6.28141,0.2275,-0.365
93.5,3302.586235,48.0649,CAL,7.74032,-0.1475,-0.37
94.5,3354.561525,50.8955,CAL,5.22388,-0.3775,-0.325
94.5,3354.561525,43.75,CAL,7.45192,-0.3775,-0.325
95.5,3406.456881,47.012,CAL,5.17928,-0.48,-0.385
96.5,3458.264403,44.6475,CAL,7.5718,-0.5075,-0.34
97.5,3509.976418,45.8438,CAL,7.30479,-0.51,-0.345
98.5,3561.58548,43.8231,CAL,7.15215,-0.515,-0.405
99.5,3613.084367,46.2564,CAL,7.89744,-0.54,-0.455
100.5,3664.466085,41.7425,CAL,10.143,-0.4425,-0.36
101.5,3715.723866,37.3843,CAL,13.8889,-0.4925,-0.465
102.5,3766.851168,39.5909,CAL,11.9134,-0.55,-0.475
103.5,3817.841677,39.9507,CAL,12.3305,-0.55,-0.48
104.5,3868.689303,38.1549,CAL,9.90888,-0.53,-0.435
104.5,3868.689303,42.6652,CAL,10.9742,-0.53,-0.435
105.5,3919.388183,38.8708,CAL,13.6808,-0.5575,-0.495
106.5,3969.932681,40.732,CAL,11.8064,-0.5375,-0.5
107.5,4020.317387,36.1798,CAL,14.8315,-0.5625,-0.455
108.5,4070.537117,37.4269,CAL,14.6199,-0.5875,-0.455
109.5,4120.586914,36.7935,CAL,16.3783,-0.5925,-0.465
110.5,4170.462046,37.5,CAL,13.6161,-0.62,-0.52
111.5,4220.158009,37.8344,CAL,15.0318,-0.5975,-0.475
112.5,4269.670525,39.0212,CAL,12.3016,-0.6275,-0.485
113.5,4318.99554,39.5909,CAL,13.8387,-0.5775,-0.44
114.5,4368.12923,40.4101,CAL,11.9421,-0.555,-0.395
114.5,4368.12923,45.1372,CAL,9.10224,-0.555,-0.395
115.5,4417.067994,44.3681,CAL,8.24176,-0.51,-0.305
116.5,4465.80846,47.6005,CAL,4.92866,-0.5125,-0.36
117.5,4514.347481,55.7994,CAL,2.3511,-0.515,-0.365
118.5,4562.682136,56.9643,CAL,3.75,-0.5125,-0.315
119.5,4610.80973,52.883,CAL,3.45964,-0.57,-0.425
120.5,4658.727797,58.4437,CAL,2.98013,-0.595,-0.43
121.5,4706.434094,57.7068,CAL,3.94737,-0.6,-0.485
122.5,4753.926606,58.0034,CAL,3.61446,-0.6025,-0.495
123.5,4801.203544,57.6493,CAL,4.85075,-0.6325,-0.5
124.5,4848.263346,56.9823,CAL,1.60514,-0.6325,-0.505
124.5,4848.263346,56.6613,CAL,4.81541,-0.6325,-0.505
125.5,4895.104674,58.5977,CAL,4.17362,-0.6625,-0.515
126.5,4941.72642,58.5965,CAL,4.38596,-0.665,-0.52
127.5,4988.1277,59.4059,CAL,3.9604,-0.665,-0.57
128.5,5034.307855,60.531,CAL,1.9469,-0.6425,-0.575
129.5,5080.266456,60.0655,CAL,3.76432,-0.7225,-0.685
130.5,5126.003297,61.3828,CAL,3.87858,-0.7725,-0.69
131.5,5171.518399,61.9122,CAL,4.38871,-0.7775,-0.695
132.5,5216.812012,61.6,CAL,2.4,-0.78,-0.655
133.5,5261.884609,59.2965,CAL,3.68509,-0.81,-0.66
134.5,5306.73689,58.2467,CAL,3.41753,-0.86,-0.765
134.5,5306.73689,60.7937,CAL,3.65079,-0.86,-0.765
135.5,5351.369783,60.8156,CAL,4.78723,-0.84,-0.775
136.5,5395.784441,60.5863,CAL,1.30293,-0.815,-0.725
137.5,5439.982243,58.9491,CAL,3.44828,-0.8175,-0.73
138.5,5483.964796,61.5942,CAL,2.35507,-0.77,-0.585
139.5,5527.73393,41.5449,CAL,12.7349,-0.725,-0.495
140.5,5571.291705,42.7557,CAL,10.2273,-0.669167,-0.333333
141.5,5614.640406,37.0159,CAL,13.4396,-0.709167,-0.463333
142.5,5657.782543,36.9543,CAL,13.6041,-0.776667,-0.603333
143.5,5700.720855,39.1972,CAL,13.4593,-0.794167,-0.633333
144.5,5743.458304,39.5767,CAL,11.3228,-0.791667,-0.633333
144.5,5743.458304,40.3046,CAL,12.4873,-0.791667,-0.633333
145.5,5785.998082,36.5779,CAL,15.2664,-0.6775,-0.7
146.5,5828.343603,39.016,CAL,13.3867,-0.73,-0.73
147.5,5870.498512,37.0577,CAL,13.9665,-0.703333,-0.703333
148.5,5912.466677,34.5763,CAL,15.0282,-0.766667,-0.766667
149.5,5954.252193,33.1081,CAL,17.7606,-0.766667,-0.766667
150.5,5995.859383,37.9813,CAL,13.9438,-0.308333,-0.766667
151.5,6037.292793,38.0626,CAL,12.0352,-0.448333,-0.796667
152.5,6078.5572,40.3073,CAL,11.2293,-0.629167,-0.703333
153.5,6119.657602,39.2457,CAL,13.1498,-0.7025,-0.7
154.5,6160.599227,39.2137,CAL,13.4073,-0.7775,-0.7
154.5,6160.599227,42.4951,CAL,11.2086,-0.7775,-0.7
155.5,6201.387529,42.0382,CAL,10.9342,-0.846667,-0.733333
156.5,6242.028186,39.8393,CAL,14.1217,-0.87,-0.73
157.5,6282.527106,39.7289,CAL,13.243,-0.8925,-0.67
158.5,6322.890419,39.8693,CAL,12.4183,-0.9075,-0.7
159.5,6363.124486,42.8571,CAL,9.48276,-0.9325,-0.7
160.5,6403.235889,40.7538,CAL,11.6608,-0.899167,-0.633333
161.5,6443.231442,47.8488,CAL,5.86701,-0.930833,-0.596667
162.5,6483.118181,51.193600000000004,CAL,4.77454,-0.87,-0.57
163.5,6522.90337,50.3347,CAL,4.41767,-0.893333,-0.566667
164.5,6562.594499,50,CAL,5.4,-0.0483333,-0.526667
164.5,6562.594499,50.5155,CAL,3.2646,-0.0483333,-0.526667
165.5,6602.199285,50.1887,CAL,4.33962,-0.4825,-0.526667
166.5,6641.72567,55.8577,CAL,2.92887,-0.855833,-0.486667
167.5,6681.181825,61.4699,CAL,2.67261,-1.03,-0.78
168.5,6720.576143,60.5769,CAL,5.52885,-1.15833,-0.643335
169.5,6759.917247,58.4687,CAL,4.87239,-1.2175,-0.6525
170.5,6799.213985,60.199,CAL,5.22388,-0.573333,-0.67
171.5,6838.475432,59.2677,CAL,2.746,-0.561111,-0.651665
172.5,6877.710887,53.8627,CAL,4.07725,-0.616111,-0.631665
173.5,6916.929879,55.489,CAL,5.78842,-0.765,-0.63
174.5,6956.14216,55.6818,CAL,4.54545,-0.885,-0.66
174.5,6956.14216,57.5117,CAL,4.46009,-0.885,-0.66
175.5,6995.35771,57.4419,CAL,3.02326,-0.933333,-0.73
176.5,7034.586735,60.2592,CAL,4.10367,-0.982222,-0.803333
177.5,7073.839668,56.6667,CAL,5.38462,-0.958333,-0.765
178.5,7113.127167,53.951,CAL,4.63215,-0.911667,-0.72
179.5,7152.460117,54.2005,CAL,2.16802,-0.906667,-0.6875
180.5,7191.84963,55.706,CAL,4.44874,-0.808333,-0.565
181.5,7231.307042,53.5792,CAL,4.98915,-0.826667,-0.5675
182.5,7270.843918,55.0943,CAL,3.77358,-0.895,-0.6425
183.5,7310.472049,53.0189,CAL,3.96226,-0.863333,-0.62
184.5,7350.20345,52.0921,CAL,4.81172,-0.898333,-0.6725
184.5,7350.20345,51.4451,CAL,4.81696,-0.898333,-0.6725
185.5,7390.050364,53.528,CAL,5.3528,-0.836667,-0.5775
186.5,7430.025262,50.7843,CAL,4.70588,-0.821667,-0.555
187.5,7470.140837,54.5238,CAL,1.90476,-0.875,-0.5825
188.5,7510.410013,49.8994,CAL,5.03018,-0.893333,-0.61
189.5,7550.845937,46.5636,CAL,5.15464,-0.878333,-0.5875
190.5,7591.461983,48.0865,CAL,4.82529,-0.763333,-0.44
191.5,7632.271754,46.5409,CAL,5.03145,-0.731667,-0.4175
192.5,7673.289075,46.9027,CAL,4.57227,-0.718333,-0.395
193.5,7714.528,47.7811,CAL,5.32544,-0.72,-0.3725
194.5,7756.002809,56.1205,CAL,3.57815,-0.703333,-0.3725
194.5,7756.002809,59.7778,CAL,3.11111,-0.703333,-0.3725
195.5,7797.728007,56.982,CAL,3.82883,-0.675,-0.3525
196.5,7839.718329,56.9845,CAL,2.43902,-0.66,-0.38
197.5,7881.988731,56.4935,CAL,3.8961,-0.663333,-0.3825
198.5,7924.554399,57.6389,CAL,5.09259,-0.615,-0.335
199.5,7967.430745,52.6523,CAL,2.75049,-0.666667,-0.3625
200.5,8010.633406,57.3529,CAL,2.52101,-0.668333,-0.365
201.5,8054.178246,58.9041,CAL,2.96804,-0.686667,-0.3925
202.5,8098.081356,57.5893,CAL,4.6875,-0.688333,-0.395
203.5,8142.359052,56.3197,CAL,4.27509,-0.673333,-0.37
204.5,8187.027876,55,CAL,1.90476,-0.641667,-0.3475
204.5,8187.027876,47.5921,CAL,4.81586,-0.641667,-0.3475
205.5,8232.1046,47.7987,CAL,4.71698,-0.598333,-0.305
206.5,8277.606217,47.9495,CAL,4.73186,-0.566667,-0.2825
207.5,8323.54995,52.3577,CAL,3.41463,-0.583333,-0.3075
208.5,8369.953247,52.8158,CAL,3.04414,-0.586667,-0.335
209.5,8416.833782,50.7663,CAL,5.9387,-0.521667,-0.3125
210.5,8464.209458,47.4432,CAL,4.40341,-0.523333,-0.315
211.5,8512.0984,53.7829,CAL,3.94737,-0.54,-0.34
212.5,8560.518962,58.2375,CAL,1.91571,-0.625,-0.4175
213.5,8609.489725,53.1792,CAL,4.81696,-0.695,-0.495
214.5,8659.029493,58.1888,CAL,3.66089,-0.73,-0.5225
214.5,8659.029493,56.9343,CAL,2.55474,-0.73,-0.5225
215.5,8709.157301,57.935,CAL,3.82409,-0.753333,-0.555
216.5,8759.892406,57.4545,CAL,3.45455,-0.738333,-0.5325
217.5,8811.254293,52.6042,CAL,3.64583,-0.69,-0.485
218.5,8863.262675,53.1457,CAL,1.98675,-0.66,-0.4625
219.5,8915.937489,57.9245,CAL,5.4717,-0.676667,-0.4625
220.5,8969.298898,64.2697,CAL,2.02247,-0.71,-0.5125
221.5,9023.367294,59.8272,CAL,4.9676,-0.728333,-0.54
222.5,9078.163293,64.4033,CAL,2.6749,-0.846667,-0.7675
223.5,9133.707738,57.8641,CAL,4.46602,-0.633333,-0.47
224.5,9190.021699,55.6326,CAL,3.11958,-0.585,-0.4475
224.5,9190.021699,60.7748,CAL,4.11622,-0.585,-0.4475
225.5,9247.126471,61.5385,CAL,4.29338,-0.608333,-0.43
226.5,9305.043576,58.7387,CAL,2.7027,-0.576667,-0.4075
227.5,9363.794762,55.3232,CAL,3.23194,-0.578333,-0.385
228.5,9423.402005,57.4109,CAL,2.25141,-0.565,-0.3875
229.5,9483.887504,57.1667,CAL,4.83333,-0.581667,-0.4125
230.5,9545.273688,59.2453,CAL,3.96226,-0.633333,-0.465
231.5,9607.58321,55.5556,CAL,3.56394,-0.618333,-0.4425
232.5,9670.83895,52.8771,CAL,3.7325,-0.535,-0.3425
233.5,9735.064013,50.9532,CAL,3.4662,-0.521667,-0.345
234.5,9800.281734,52.2917,CAL,4.79167,-0.523333,-0.3225
234.5,9800.281734,40.4822,CAL,11.802,-0.523333,-0.3225
235.5,9866.51567,40.0504,CAL,10.0756,-0.48,-0.305
236.5,9933.789607,39.7674,CAL,12.2093,-0.498333,-0.3325
237.5,10002.12756,48.0903,CAL,6.42361,-0.481667,-0.2825
238.5,10071.55376,44.9036,CAL,6.47383,-0.468333,-0.235
239.5,10142.09267,46.6989,CAL,3.05958,-0.47,-0.2375
240.5,10213.76899,51.1545,CAL,5.3286,-0.405,-0.165
241.5,10286.60763,42.0424,CAL,7.82493,-0.34,-0.0925
242.5,10360.63373,36.5183,CAL,12.0419,-0.258333,0.03
243.5,10435.87267,42.044,CAL,8.92626,-0.195,0.1275
244.5,10512.35004,47.5783,CAL,5.69801,-0.0116667,0.4275
244.5,10512.35004,45.8172,CAL,6.82111,-0.0116667,0.4275
245.5,10590.09166,33.5068,CAL,15.8169,0.331667,0.945
246.5,10669.12358,40.2049,CAL,8.83483,1.03167,2.02
247.5,10749.47207,32.3615,CAL,16.8124,2.23,3.7925
248.5,10831.16365,24.783,CAL,21.8627,4.24333,6.765
249.5,10914.22502,9.76612,CAL,3.69785,6.275,9.7625
250.5,10998.68315,0,CAL,0,23.07,23.07
251.5,11084.56522,0,CAL,0,27.37,27.37
252.5,11171.89864,0,CAL,0,29.87,29.87
253.5,11260.71103,4.32624,CAL,1.09929,33.52,33.52
254.5,11351.03025,0,CAL,0,40.27,40.27
255.5,11442.8844,0,CAL,0,51.71,51.71
256.5,11536.30177,0,CAL,0,64.71,64.71
257.5,11631.31092,7.13069,CAL,2.91613,79.06,79.06
258.5,11727.9406,0,CAL,0,96.11,96.11
259.5,11826.2198,0,CAL,0,111.96,111.96
260.5,11926.17775,0,CAL,0,118.96,118.96
261.5,12027.84388,1.31327,CAL,1.12175,112.16,112.16
262.5,12131.24787,0,CAL,0,101.81,101.81
263.5,12236.4196,0,CAL,0,90.26,90.26
264.5,12343.38921,0,CAL,0,85.61,85.61
265.5,12452.18704,2.31816,CAL,1.12438,85.2,85.2
266.5,12562.84367,0,CAL,0,83.85,83.85
267.5,12675.38989,0,CAL,0,79.6,79.6
268.5,12789.85673,0,CAL,0,65.7,65.7
269.5,12906.27546,2.28581,CAL,1.03285,43.05,43.05
