year (AD),age (yr BP),logBSi (unitless),BSi (mgg-1)
1661.7945248,288.2054752,1.930726495,6.894517256
1641.5679455,308.4320545,1.951698373,7.04063506
1631.3800165,318.6199835,1.932797139,6.908808134
1621.1436466,328.8563534,1.914561624,6.783964221
1610.8598132,339.1401868,1.863763335,6.447956992
1600.5294838,349.4705162,1.846435055,6.337187479
1590.1536164,359.8463836,1.912384591,6.769211367
1579.7331593,370.2668407,1.962458753,7.116804031
1569.2690515,380.7309485,1.879265617,6.548693846
1558.7622221,391.2377779,1.880991881,6.560008386
1537.6240676,412.3759324,2.024573631,7.572881414
1526.994553,423.005447,1.555593543,4.737897838
1516.3259379,433.6740621,1.957873372,7.084245478
1505.6191035,444.3808965,1.970062451,7.171124319
1494.8749216,455.1250784,2.060117236,7.846889692
1484.0942543,465.9057457,2.082964724,8.028235169
1473.277954,476.722046,2.01050736,7.467104898
1462.4268638,487.5731362,2.229560926,9.295783649
1451.541817,498.458183,2.167359401,8.735187435
1429.6731389,520.3268611,2.234497052,9.341782242
1418.6911264,531.3088736,2.102062059,8.183026409
1407.6783949,542.3216051,2.073812606,7.955095014
1396.6357296,553.3642704,2.331848595,10.29695886
1385.5639064,564.4360936,2.105527727,8.211435262
1374.4636916,575.5363084,2.112834156,8.271651244
1363.3358418,586.6641582,2.140163659,8.500828748
1352.1811041,597.8188959,2.136344601,8.468425509
1341.0002159,608.9997841,2.212537675,9.138878497
1318.5628899,631.4371101,2.218943847,9.197611649
1307.3078792,642.6921208,2.121358234,8.342460812
1296.029572,653.970428,2.116676683,8.303496432
1284.7286578,665.2713422,2.18333852,8.875889188
1262.0617188,687.9382812,1.946829083,7.006435493
1250.6970251,699.3029749,2.026765289,7.589496783
1239.3123867,710.6876133,2.195066665,8.980599728
1227.9084451,722.0915549,2.069465881,7.920591446
1205.045171,744.954829,1.92562218,6.859415129
1193.5870736,756.4129264,1.987284452,7.295695025
1182.1121437,767.8878563,1.89675735,6.664249539
1170.6209747,779.3790253,1.810535346,6.11371951
1147.5922463,802.4077537,1.859301337,6.419250315
1136.0558263,813.9441737,1.94346745,6.982921973
1124.505446,825.494554,1.890019743,6.619499371
1112.9416511,837.0583489,1.670061397,5.312493959
1089.7759525,860.2240475,1.675582978,5.341908459
1078.1750922,871.8249078,1.886768268,6.598011183
1066.5629043,883.4370957,1.784127943,5.954385121
1054.9398865,895.06011350000006,1.958512626,7.088775558
1031.6633045,918.3366955,2.168990894,8.74945046
1020.0106878,929.9893122,2.002316769,7.40619468
1008.3491365,941.6508635,1.706966673,5.512215743
996.6791003,953.3208997,1.802743088,6.066264959
973.3153249,976.6846751,1.92030879,6.82306504
961.6224373,988.3775627,1.905601358,6.723449612
949.922768,1000.077232,1.960249366,7.101097615
938.21672,1011.78328,2.016423543,7.511412595
914.787044,1035.212956,1.794920513,6.018996268
903.064172,1046.935828,1.949350866,7.024126502
891.336433,1058.663567,1.552570904,4.723598502
879.604179,1070.395821,1.765936147,5.84704349
856.127498,1093.872502,1.952036404,7.043015413
844.383731,1105.616269,1.853812093,6.384110016
832.63677,1117.36323,1.856541778,6.401560431
820.886921,1129.113079,2.002824011,7.409952364
797.379734,1152.620266,1.93560452,6.928231045
785.622961,1164.377039,1.952046735,7.043088174
773.864429,1176.135571,1.864450976,6.452392396
762.104394,1187.895606,1.895611926,6.656620515
738.580804,1211.419196,1.706137217,5.507645493
726.817716,1223.182284,1.849403881,6.356029445
715.054064,1234.945936,1.821746855,6.182649214
703.290056,1246.709944,1.649648121,5.205147923
679.761767,1270.238233,1.783702756,5.951853931
667.997858,1282.002142,1.890539594,6.622941417
656.234339,1293.765661,1.823681844,6.194624152
644.471371,1305.528629,1.809743369,6.108879501
620.947691,1329.052309,1.809743369,6.108879501
609.187255,1340.812745,1.70151952,5.482271486
597.427924,1352.572076,1.496383345,4.465509622
562.157652,1387.842348,1.786452522,5.96824266
550.403785,1399.596215,1.764367315,5.837877653
538.651498,1411.348502,1.769598779,5.868498322
526.900857,1423.099143,1.790055301,5.9897837
503.404731,1446.595269,1.882288509,6.568519794
491.65933,1458.34067,2.009361048,7.458550169
479.915745,1470.084255,2.03640688,7.663025499
468.173994,1481.826006,2.162296787,8.691076305
444.696019,1505.303981,2.120549248,8.335714607
432.959784,1517.040216,1.959856595,7.098309062
421.22536,1528.77464,2.074046114,7.956952811
409.492718,1540.507282,1.857679924,6.408850488
374.305044,1575.694956,2.259206779,9.575490677
362.579042,1587.420958,2.303644794,10.01060262
350.85453,1599.14547,2.11437227,8.284383776
327.40962,1622.59038,2.034511546,7.648515266
315.689018,1634.310982,2.301878189,9.992933454
303.9695,1646.0305,2.192463989,8.957256527
292.250941,1657.749059,2.291192624,9.886721799
268.81615,1681.18385,2.105832737,8.213940211
257.099619,1692.900381,2.231559288,9.314378562
245.383449,1704.616551,2.106877349,8.22252508
233.667466,1716.332534,2.112346361,8.267617359
210.235324,1739.764676,2.060894992,7.852995038
198.518768,1751.481232,2.006206451,7.435058521
186.801611,1763.198389,2.07697296,7.980275704
151.644269,1798.355731,2.354005485,10.52765374
139.922396,1810.077604,2.047798821,7.750821368
128.198719,1821.801281,2.151387757,8.596780364
116.472968,1833.527032,2.255682841,9.541806627
93.0141209999999,1856.985879,1.547011921,4.697412949
81.2804389999999,1868.719561,1.708733175,5.521961683
69.54351,1880.45649,1.77449067,5.897276713
22.55684,1927.44316,2.241861663,9.410834788
10.798728,1939.201272,2.411267605,11.14808356
-0.964676999999938,1950.964677,2.6454252,14.08943464
-24.5088760000001,1974.508876,2.553984522,12.85823578
-36.2904490000001,1986.290449,2.30846314,10.05895357
-48.078872,1998.078872,2.156823854,8.64364055
-59.874558,2009.874558,1.976591135,7.218095485
-83.489419,2033.489419,2.21175747,9.13175108
-95.309469000000007,2045.309469,2.178952608,8.837045563
-130.82554,2080.82554,1.726382979,5.620288396
-190.234211,2140.234211,0.984369454,2.676123934
-249.967565,2199.967565,1.723472656,5.603955325
-310.095214,2260.095214,1.331318067,3.786030342
-370.692767,2320.692767,1.672122987,5.32345744
-431.84182,2381.84182,1.305226124,3.688523061
-493.629967,2443.629967,1.822082826,6.184726752
-556.150791,2506.150791,0.564816692,1.759125292
-619.503868,2569.503868,1.605786151,4.9817744920000004
-683.794767,2633.794767,1.104929583,3.019011871
-749.13505,2699.13505,2.352900881,10.51603127
-815.642271,2765.642271,1.388780974,4.009958828
-883.439976,2833.439976,1.787222613,5.972840518
-952.657704,2902.657704,1.282839661,3.606867479
-1023.430986,2973.430986,1.723625105,5.604809703
-1095.901348,3045.901348,1.223440251,3.398860577
-1170.216304,3120.216304,1.790202182,5.990663546
-1246.529364,3196.529364,1.85520448,6.393005361
-1325.000029,3275.000029,1.711984631,5.53994532
-1405.793794,3355.793794,1.7907618810000001,5.994017455
-1489.082144,3439.082144,1.96768233,7.154076468
-1575.04256,3525.04256,2.776554524,16.06357881
-1663.858511,3613.858511,1.880244591,6.55510799
-1755.719463,3705.719463,2.799407004,16.43489805
-1850.820871,3800.820871,2.06706226,7.901576209
-1949.364184,3899.364184,1.610715143,5.006390232
-2051.556845,4001.556845,1.668790265,5.305745365
-2157.612286,4107.612286,1.456430407,4.290616406
-2267.749935,4217.749935,1.779129481,5.924696613
-2382.19521,4332.19521,1.912366747,6.769090577
-2501.179523,4451.179523,2.245162493,9.441949683
-2624.940278,4574.940278,3.382204396,29.43558734
-2753.720871,4703.720871,1.879704972,6.551571678
-2887.770691,4837.770691,3.536570218,34.34890766
-3027.345119,4977.345119,1.547894984,4.701562893
-3187.570042,5137.570042,3.121870536,22.68878015
-3324.11929,5274.11929,2.263391784,9.615648123
-3481.859758,5431.859758,2.294298542,9.917476878
-3646.206286,5596.206286,2.449565455,11.58331215
-3817.444216,5767.444216,4.116323139,61.33331311
-3995.864887,5945.864887,3.944519596,51.65151856
-4181.765626,6131.765626,4.375006091,79.44032339
-4375.449755,6325.449755,4.465459083,86.96094265
-4577.226589,6527.226589,4.563562172,95.92457174
-4787.411433,6737.411433,3.959970631,52.45578535
-5006.325586,6956.325586,3.930785503,50.94698095
-5234.296341,7184.296341,3.526692027,34.01127293
-5471.65698,7421.65698,4.010419414,55.1700048
-5718.746781,7668.746781,3.91836909,50.3183132
-5975.911012,7925.911012,3.830906033,46.10429132
-6243.500935,8193.500935,4.945719764,140.571993
