year (AD),age (yr BP),d18O (permil)
-4137,6087,-5.09
-4144,6094,-3.9
-4152,6102,-5.81
-4159,6109,-4.21
-4167,6117,-4.63
-4174,6124,-4.54
-4181,6131,-4.7
-4189,6139,-4.73
-4196,6146,-5.11
-4203,6153,-4.66
-4211,6161,-5.45
-4218,6168,-4.59
-4226,6176,-3.93
-4233,6183,-4.87
-4241,6191,-4.28
-4248,6198,-4.56
-4256,6206,-4.44
-4263,6213,-4.39
-4271,6221,-4.76
-4278,6228,-4.6
-4286,6236,-4.95
-4294,6244,-4.68
-4301,6251,-4.61
-4309,6259,-4.56
-4317,6267,-4.7
-4325,6275,-4.44
-4333,6283,-4.32
-4341,6291,-4.16
-4349,6299,-3.87
-4357,6307,-4.38
-4365,6315,-4.27
-4373,6323,-4.02
-4382,6332,-4.24
-4390,6340,-4.05
-4399,6349,-4.26
-4407,6357,-3.92
-4416,6366,-4.21
-4424,6374,-4.31
-4433,6383,-4.1
-4442,6392,-4.09
-4451,6401,-4.41
-4460,6410,-4.73
-4469,6419,-4.71
-4478,6428,-4.69
-4487,6437,-4.85
-4497,6447,-4.64
-4506,6456,-3.83
-4516,6466,-3.68
-4526,6476,-3.52
-4535,6485,-3.72
-4545,6495,-3.86
-4555,6505,-3.34
-4565,6515,-3.67
-4576,6526,-3.86
-4586,6536,-4.01
-4596,6546,-4.68
-4607,6557,-4.12
-4618,6568,-3.52
-4629,6579,-3.56
-4640,6590,-3.63
-4651,6601,-3.66
-4662,6612,-3.78
-4673,6623,-4.19
-4685,6635,-3.35
-4696,6646,-3.42
-4708,6658,-3.76
-4720,6670,-3.53
-4732,6682,-3.92
-4744,6694,-3.78
-4756,6706,-3.55
-4769,6719,-3.73
-4781,6731,-2.99
-4794,6744,-2.79
-4807,6757,-2.85
-4820,6770,-3.51
-4833,6783,-3.63
-4847,6797,-3.41
-4860,6810,-3.38
-4874,6824,-3.59
-4887,6837,-3.94
-4901,6851,-3.98
-4915,6865,-3.43
-4930,6880,-3.49
-4944,6894,-3.43
-4959,6909,-3.47
-4973,6923,-3.75
-4988,6938,-4.06
-5003,6953,-4.33
-5018,6968,-3.6
-5034,6984,-3.18
-5049,6999,-2.99
-5065,7015,-3.47
-5080,7030,-3.31
-5096,7046,-4.17
-5113,7063,-3.41
-5129,7079,-4.34
-5145,7095,-4.45
-5162,7112,-3.67
-5179,7129,-3.7
-5196,7146,-4.27
-5213,7163,-4.12
-5230,7180,-4.44
-5247,7197,-4.17
-5265,7215,-4.82
-5300,7250,-3.69
-5318,7268,-3.36
-5337,7287,-4.49
-5355,7305,-3.49
-5373,7323,-2.67
-5392,7342,-2.66
-5411,7361,-2.77
-5430,7380,-2.93
-5449,7399,-2.87
-5468,7418,-2.92
-5488,7438,-2.72
-5507,7457,-3.65
-5527,7477,-3.17
-5547,7497,-3.35
-5567,7517,-3.37
-5587,7537,-3.3
-5607,7557,-3.27
-5628,7578,-3.33
-5648,7598,-3.31
-5669,7619,-3.31
-5690,7640,-2.97
-5711,7661,-3.25
-5732,7682,-3
-5754,7704,-3.42
-5775,7725,-3.13
-5797,7747,-3.1
-5818,7768,-3.14
-5840,7790,-3.26
-5862,7812,-3.51
-5884,7834,-3.69
-5906,7856,-3.71
-5929,7879,-3.26
-5951,7901,-3.78
-5974,7924,-3.66
-5997,7947,-3.99
-6019,7969,-3.82
-6042,7992,-3.83
-6065,8015,-3.64
-6088,8038,-3.43
-6112,8062,-3.62
-6135,8085,-3.9
-6159,8109,-3.14
-6182,8132,-3.14
-6206,8156,-2.8
-6230,8180,-3.01
-6253,8203,-3.68
-6277,8227,-3.14
-6302,8252,-3.55
-6326,8276,-3.39
-6350,8300,-3.62
-6374,8324,-3.2
-6399,8349,-3.15
-6423,8373,-3.16
-6448,8398,-2.83
-6472,8422,-3.36
-6522,8472,-3.1
-6546,8496,-2.97
-6571,8521,-2.92
-6596,8546,-2.97
-6621,8571,-3.25
-6646,8596,-3.21
-6671,8621,-3.29
-6696,8646,-3.16
-6721,8671,-3.52
-6747,8697,-3.53
-6772,8722,-3.14
-6797,8747,-3.22
-6822,8772,-3.68
-6848,8798,-3.54
-6873,8823,-3.49
-6898,8848,-3.47
-6924,8874,-3.34
-6949,8899,-3.21
-6974,8924,-3.4
-7000,8950,-2.98
-7025,8975,-3.36
-7051,9001,-3.57
-7076,9026,-3.5
-7101,9051,-3.48
-7127,9077,-3.61
-7152,9102,-3.63
-7178,9128,-3.48
-7203,9153,-3.83
-7228,9178,-3.63
-7253,9203,-3.55
-7279,9229,-3.67
-7304,9254,-3.64
-7329,9279,-3.7
-7354,9304,-3.9
-7379,9329,-3.96
-7405,9355,-4.02
-7430,9380,-4.04
-7454,9404,-4.28
-7479,9429,-3.97
-7504,9454,-4.05
-7529,9479,-4
-7554,9504,-3.93
-7578,9528,-4.06
-7603,9553,-4.04
-7628,9578,-3.87
-7652,9602,-4.22
-7676,9626,-4.33
-7701,9651,-4.29
-7725,9675,-4.23
-7749,9699,-4.84
-7773,9723,-4.43
-7797,9747,-4.39
-7821,9771,-4.33
-7844,9794,-4.44
-7868,9818,-4.28
-7891,9841,-4.56
-7915,9865,-4.24
-7938,9888,-4.09
-7961,9911,-3.9
-7984,9934,-3.62
-8007,9957,-3.8
-8030,9980,-3.65
-8052,10002,-3.89
-8075,10025,-3.68
-8097,10047,-4.11
-8119,10069,-4.05
-8164,10114,-3.6
-8185,10135,-3.81
-8207,10157,-3.94
-8228,10178,-3.91
-8250,10200,-3.85
-8271,10221,-3.85
-8292,10242,-3.69
-8313,10263,-3.94
-8334,10284,-3.98
-8354,10304,-4.1
-8375,10325,-3.97
-8395,10345,-4.17
-8415,10365,-4.14
-8435,10385,-3.93
-8455,10405,-3.95
-8474,10424,-3.98
-8494,10444,-3.82
-8513,10463,-3.95
-8532,10482,-3.87
-8551,10501,-4.1
-8569,10519,-3.58
-8588,10538,-3.42
-8606,10556,-3.5
-8624,10574,-3.6
-8642,10592,-3.6
-8660,10610,-3.09
-8677,10627,-3.68
-8695,10645,-3.86
-8712,10662,-4.01
-8729,10679,-3.86
-8746,10696,-3.82
-8762,10712,-3.74
-8779,10729,-3.8
-8795,10745,-3.83
-8811,10761,-3.88
-8827,10777,-3.83
-8843,10793,-4.05
-8858,10808,-4.19
-8888,10838,-4.19
-8903,10853,-4.15
-8918,10868,-4.18
-8933,10883,-4.22
-8947,10897,-4.36
-8961,10911,-4.34
-8975,10925,-4.23
-8989,10939,-4.04
-9003,10953,-4.16
-9016,10966,-4.23
-9029,10979,-4.33
-9042,10992,-4.3
-9055,11005,-4.22
-9068,11018,-4.16
-9081,11031,-3.99
-9093,11043,-3.96
-9105,11055,-3.81
-9117,11067,-3.8
-9129,11079,-3.8
-9141,11091,-3.79
-9152,11102,-3.76
-9164,11114,-3.78
-9175,11125,-3.82
-9186,11136,-3.91
-9197,11147,-3.91
-9208,11158,-4
-9219,11169,-4.09
-9230,11180,-4.11
-9240,11190,-4.09
-9250,11200,-4.21
-9261,11211,-3.79
-9271,11221,-4.04
-9281,11231,-3.78
-9291,11241,-3.4
-9301,11251,-3.6
-9310,11260,-3.7
-9320,11270,-2.75
-9329,11279,-3.17
-9339,11289,-3.2
-9348,11298,-3.26
-9358,11308,-3.22
-9367,11317,-3.16
-9376,11326,-3.05
-9385,11335,-2.94
-9394,11344,-3.17
-9403,11353,-3.19
-9412,11362,-4.3
-9422,11372,-3.28
-9431,11381,-3.43
-9440,11390,-3.57
-9449,11399,-2.93
-9458,11408,-3.23
-9467,11417,-3.15
-9476,11426,-3.17
-9485,11435,-3.31
-9494,11444,-3.28
-9503,11453,-3.49
-9512,11462,-3.48
-9522,11472,-3.55
-9531,11481,-3.92
-9540,11490,-3.52
-9550,11500,-3.64
-9560,11510,-3.75
-9569,11519,-3.64
-9579,11529,-3.93
-9589,11539,-3.69
-9610,11560,-3.69
-9620,11570,-3.42
-9631,11581,-4.19
-9642,11592,-4.26
-9653,11603,-4.42
-9664,11614,-4.73
-9676,11626,-4.17
-9687,11637,-4.04
-9699,11649,-4.11
-9711,11661,-4.23
-9724,11674,-3.84
-9737,11687,-3.97
-9750,11700,-4.18
-9763,11713,-4.29
-9777,11727,-3.92
-9791,11741,-4.05
-9805,11755,-4.17
-9820,11770,-3.83
-9835,11785,-3.24
-9850,11800,-3.65
-9866,11816,-3.45
-9882,11832,-3.49
-9899,11849,-3.55
-9916,11866,-4.4
-9933,11883,-3.33
-9951,11901,-3.49
-9970,11920,-3.38
-9989,11939,-3.35
-10009,11959,-3.38
-10029,11979,-3.09
-10070,12020,-3.48
-10092,12042,-3.65
-10115,12065,-3.9
-10137,12087,-4.08
