year (AD),age (yr BP),depth (cm),logSalinity (logSalinity)
-2289.761855,4239.761855,408,4.65298
-2313.920208,4263.920208,410,4.56676
-2338.143085,4288.143085,412,4.46443
-2362.431017,4312.431017,414,4.29162
-2386.784532,4336.784532,416,4.45645
-2411.204159,4361.204159,418,4.61147
-2435.690428,4385.690428,420,4.48946
-2460.243868,4410.243868,422,4.61951
-2484.865008,4434.865008,424,4.5129
-2509.554376,4459.554376,426,4.54661
-2534.312502,4484.312502,428,4.55594
-2559.139915,4509.139915,430,4.50158
-2584.037144,4534.037144,432,4.62793
-2609.004719,4559.004719,434,4.30385
-2634.043168,4584.043168,436,4.48316
-2659.15302,4609.15302,438,4.38079
-2684.334804,4634.334804,440,4.63863
-2709.58905,4659.58905,442,4.65098
-2734.916287,4684.916287,444,4.48822
-2760.317043,4710.317043,446,4.60778
-2785.791848,4735.791848,448,4.54743
-2811.341231,4761.341231,450,4.61958
-2836.965721,4786.965721,452,4.61325
-2862.665848,4812.665848,454,4.31693
-2888.442139,4838.442139,456,3.86898
-2914.295124,4864.295124,458,3.81998
-2940.225333,4890.225333,460,3.93542
-2966.233294,4916.233294,462,3.75553
-2992.319537,4942.319537,464,4.52084
-3018.484591,4968.484591,466,4.36709
-3044.728984,4994.728984,468,3.89858
-3071.053246,5021.053246,470,4.03223
-3097.457905,5047.457905,472,4.23621
-3123.943492,5073.943492,474,4.63429
-3150.510535,5100.510535,476,4.56177
-3177.159563,5127.159563,478,4.40956
-3203.891105,5153.891105,480,4.48378
-3230.70569,5180.70569,482,4.34284
-3257.603848,5207.603848,484,4.46526
-3284.586108,5234.586108,486,4.23102
-3311.652998,5261.652998,488,4.3198
-3338.805048,5288.805048,490,4.35501
-3366.042786,5316.042786,492,4.32972
-3393.366742,5343.366742,494,3.50852
-3420.777446,5370.777446,496,3.79802
-3448.275425,5398.275425,500,4.30073
-3475.861209,5425.861209,502,4.10397
-3503.535328,5453.535328,504,3.77384
-3531.29831,5481.29831,506,3.86233
-3559.150684,5509.150684,508,4.35046
-3587.09298,5537.09298,510,3.69553
-3615.125727,5565.125727,512,4.33879
-3643.249453,5593.249453,514,4.31824
-3671.464688,5621.464688,516,3.16967
-3699.77196,5649.77196,518,4.39854
-3728.1718,5678.1718,520,3.96533
-3756.664736,5706.664736,522,4.09878
-3785.251297,5735.251297,524,4.19472
-3813.932012,5763.932012,526,4.47203
-3842.70741,5792.70741,528,4.49371
-3871.578021,5821.578021,530,4.62251
-3900.544373,5850.544373,532,4.55782
-3929.606996,5879.606996,534,4.64785
-3958.766418,5908.766418,536,4.62392
-3988.023169,5938.023169,538,4.56722
-4017.377778,5967.377778,540,4.57959
-4046.830774,5996.830774,542,4.45206
-4076.382686,6026.382686,544,4.52456
-4106.034043,6056.034043,546,4.53118
-4135.785374,6085.785374,548,4.60078
-4165.637208,6115.637208,550,4.42069
-4195.590075,6145.590075,552,4.53099
-4225.644504,6175.644504,554,4.51089
-4255.801023,6205.801023,556,4.50479
-4286.060161,6236.060161,558,4.48111
-4316.422448,6266.422448,560,4.54567
-4346.888413,6296.888413,562,4.57966
-4377.458585,6327.458585,564,4.16778
-4408.133493,6358.133493,566,4.56597
-4438.913666,6388.913666,568,4.59719
-4469.799633,6419.799633,570,4.48114
-4500.791924,6450.791924,572,4.53833
-4531.891067,6481.891067,574,4.62737
-4563.097591,6513.097591,576,4.63194
-4594.412026,6544.412026,578,4.31336
-4625.8349,6575.8349,580,4.61308
-4657.366744,6607.366744,582,4.5446
-4689.008085,6639.008085,584,4.63873
-4720.759452,6670.759452,586,4.64983
-4752.621376,6702.621376,588,4.42846
-4784.594385,6734.594385,590,4.52351
-4816.679008,6766.679008,592,4.31719
-4848.875775,6798.875775,594,4.29517
-4881.185213,6831.185213,596,4.00447
-4913.607853,6863.607853,598,4.29782
-4946.144224,6896.144224,600,4.08669
