depth (cm) [1-1],age (yr BP) [1-1],BSI (percent) [1-1],depth (cm) [1-2],age (yr BP) [1-2],LOI (percent) [1-2],depth (cm) [1-3],age (yr BP) [1-3],quartz (percent) [1-3],feldspar (percent) [1-3],pyrite (percent) [1-3]
242,5014.1,15.7,NA,NA,NA,NA,NA,NA,NA,NA
243,5048.2,22.1,NA,NA,NA,NA,NA,NA,NA,NA
244,5082.4,16.7,NA,NA,NA,NA,NA,NA,NA,NA
245,5116.8,20.8,NA,NA,NA,NA,NA,NA,NA,NA
246,5151.3,17.1,NA,NA,NA,NA,NA,NA,NA,NA
247,5186.1,25,NA,NA,NA,NA,NA,NA,NA,NA
248,5221,26.4,NA,NA,NA,NA,NA,NA,NA,NA
249,5256.2,24.8,NA,NA,NA,NA,NA,NA,NA,NA
250,5291.7,19.4,NA,NA,NA,NA,NA,NA,NA,NA
251,5327.4,28.3,NA,NA,NA,NA,NA,NA,NA,NA
252,5363.5,21.2,NA,NA,NA,NA,NA,NA,NA,NA
253,5399.8,31.3,NA,NA,NA,NA,NA,NA,NA,NA
254,5436.5,32,NA,NA,NA,NA,NA,NA,NA,NA
255,5473.6,27.7,NA,NA,NA,NA,NA,NA,NA,NA
256,5511,32.8,NA,NA,NA,NA,NA,NA,NA,NA
257,5549.4,27.5,NA,NA,NA,NA,NA,NA,NA,NA
258,5589.5,33.8,NA,NA,NA,NA,NA,NA,NA,NA
259,5630.9,29.1,NA,NA,NA,NA,NA,NA,NA,NA
260,5673.7,24.1,NA,NA,NA,NA,NA,NA,NA,NA
261,5717.8,34,NA,NA,NA,NA,NA,NA,NA,NA
262,5763,35.8,NA,NA,NA,NA,NA,NA,NA,NA
263,5809.2,32.6,NA,NA,NA,NA,NA,NA,NA,NA
264,5856.4,40.6,NA,NA,NA,NA,NA,NA,NA,NA
266,5953.2,35.8,NA,NA,NA,NA,NA,NA,NA,NA
267,6002.6,32.1,NA,NA,NA,NA,NA,NA,NA,NA
268,6052.6,34,NA,NA,NA,NA,NA,NA,NA,NA
269,6102.9,32.4,NA,NA,NA,NA,NA,NA,NA,NA
270,6153.6,32.3,NA,NA,NA,NA,NA,NA,NA,NA
271,6204.5,29.9,NA,NA,NA,NA,NA,NA,NA,NA
272,6255.5,31.3,NA,NA,NA,NA,NA,NA,NA,NA
273,6306.6,29.4,NA,NA,NA,NA,NA,NA,NA,NA
274,6357.5,28.7,NA,NA,NA,NA,NA,NA,NA,NA
275,6408.3,31.3,NA,NA,NA,NA,NA,NA,NA,NA
276,6458.8,33.6,NA,NA,NA,NA,NA,NA,NA,NA
277,6508.9,32.1,NA,NA,NA,NA,NA,NA,NA,NA
278,6558.5,34.4,NA,NA,NA,NA,NA,NA,NA,NA
279,6607.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA
280,6655.8,35.7,NA,NA,NA,NA,NA,NA,NA,NA
281,6703.3,30.5,NA,NA,NA,NA,NA,NA,NA,NA
282,6749.9,44.1,NA,NA,NA,NA,NA,NA,NA,NA
283,6795.5,37.3,NA,NA,NA,NA,NA,NA,NA,NA
284,6840,42.2,NA,NA,NA,NA,NA,NA,NA,NA
285,6883.2,32.6,NA,NA,NA,NA,NA,NA,NA,NA
286,6925.2,27.4,NA,NA,NA,NA,NA,NA,NA,NA
287,6965.7,29.3,NA,NA,NA,NA,NA,NA,NA,NA
288,7004.7,37.8,NA,NA,NA,NA,NA,NA,NA,NA
289,7042.1,28.1,NA,NA,NA,NA,NA,NA,NA,NA
290,7077.8,34,NA,NA,NA,NA,NA,NA,NA,NA
291,7111.6,33.5,NA,NA,NA,NA,NA,NA,NA,NA
292,7143.5,41.4,NA,NA,NA,NA,NA,NA,NA,NA
293,7173.4,38.6,NA,NA,NA,NA,NA,NA,NA,NA
294,7201.1,38.8,NA,NA,NA,NA,NA,NA,NA,NA
295,7226.6,35.3,NA,NA,NA,NA,NA,NA,NA,NA
296,7249.8,37.7,NA,NA,NA,NA,NA,NA,NA,NA
297,7270.5,41.6,NA,NA,NA,NA,NA,NA,NA,NA
298,7288.7,38.4,NA,NA,NA,NA,NA,NA,NA,NA
299,7304.2,42.5,NA,NA,NA,NA,NA,NA,NA,NA
300,7317,39.1,NA,NA,NA,NA,NA,NA,NA,NA
301,7328.1,39,NA,NA,NA,NA,NA,NA,NA,NA
302,7338.7,37.9,NA,NA,NA,NA,NA,NA,NA,NA
303,7348.7,36.1,NA,NA,NA,NA,NA,NA,NA,NA
304,7358.3,36,NA,NA,NA,NA,NA,NA,NA,NA
305,7367.5,29.8,NA,NA,NA,NA,NA,NA,NA,NA
306,7376.2,35.2,NA,NA,NA,NA,NA,NA,NA,NA
307,7384.4,24,NA,NA,NA,NA,NA,NA,NA,NA
308,7392.3,34.8,NA,NA,NA,NA,NA,NA,NA,NA
309,7399.8,29.1,NA,NA,NA,NA,NA,NA,NA,NA
310,7407,33.2,NA,NA,NA,NA,NA,NA,NA,NA
311,7413.8,29.7,NA,NA,NA,NA,NA,NA,NA,NA
312,7420.4,38.8,NA,NA,NA,NA,NA,NA,NA,NA
313,7426.6,30.9,NA,NA,NA,NA,NA,NA,NA,NA
314,7432.6,40.1,NA,NA,NA,NA,NA,NA,NA,NA
315,7438.4,32.7,NA,NA,NA,NA,NA,NA,NA,NA
317,7449.3,37.1,NA,NA,NA,NA,NA,NA,NA,NA
318,7454.4,33.9,NA,NA,NA,NA,NA,NA,NA,NA
320,7464.3,36.6,NA,NA,NA,NA,NA,NA,NA,NA
322,7473.8,27,NA,NA,NA,NA,NA,NA,NA,NA
324,7483,17.1,NA,NA,NA,NA,NA,NA,NA,NA
325,7487.5,15,NA,NA,NA,NA,NA,NA,NA,NA
326,7492.1,17.4,NA,NA,NA,NA,NA,NA,NA,NA
328,7501.3,15.9,NA,NA,NA,NA,NA,NA,NA,NA
330,7510.8,17.1,NA,NA,NA,NA,NA,NA,NA,NA
332,7520.7,13.9,NA,NA,NA,NA,NA,NA,NA,NA
334,7531.3,16.6,NA,NA,NA,NA,NA,NA,NA,NA
335,7536.8,15.5,NA,NA,NA,NA,NA,NA,NA,NA
336,7542.6,14.6,NA,NA,NA,NA,NA,NA,NA,NA
338,7554.9,10.3,NA,NA,NA,NA,NA,NA,NA,NA
340,7568.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA
342,7583.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA
344,7599.4,21.6,NA,NA,NA,NA,NA,NA,NA,NA
345,7608.2,22,NA,NA,NA,NA,NA,NA,NA,NA
346,7617.4,16.8,NA,NA,NA,NA,NA,NA,NA,NA
355,7627,29.3,NA,NA,NA,NA,NA,NA,NA,NA
356,7637.4,37.1,NA,NA,NA,NA,NA,NA,NA,NA
358,7661.1,33.8,NA,NA,NA,NA,NA,NA,NA,NA
360,7688.5,42.8,NA,NA,NA,NA,NA,NA,NA,NA
362,7719.2,39.5,NA,NA,NA,NA,NA,NA,NA,NA
364,7753,34.1,NA,NA,NA,NA,NA,NA,NA,NA
365,7770.9,38.3,NA,NA,NA,NA,NA,NA,NA,NA
366,7789.4,41.2,NA,NA,NA,NA,NA,NA,NA,NA
368,7828.3,43.6,NA,NA,NA,NA,NA,NA,NA,NA
370,7869.2,41.7,NA,NA,NA,NA,NA,NA,NA,NA
372,7911.9,44.2,NA,NA,NA,NA,NA,NA,NA,NA
374,7956.1,43.8,NA,NA,NA,NA,NA,NA,NA,NA
375,7978.6,44.5,NA,NA,NA,NA,NA,NA,NA,NA
376,8001.3,44.9,NA,NA,NA,NA,NA,NA,NA,NA
378,8047.4,45.9,NA,NA,NA,NA,NA,NA,NA,NA
380,8094,41.5,NA,NA,NA,NA,NA,NA,NA,NA
382,8140.8,39.6,NA,NA,NA,NA,NA,NA,NA,NA
384,8187.4,41.7,NA,NA,NA,NA,NA,NA,NA,NA
385,8210.6,36.3,NA,NA,NA,NA,NA,NA,NA,NA
386,8233.6,41.8,NA,NA,NA,NA,NA,NA,NA,NA
388,8279.1,42.1,NA,NA,NA,NA,NA,NA,NA,NA
390,8323.4,46.6,NA,NA,NA,NA,NA,NA,NA,NA
392,8366.4,43.5,NA,NA,NA,NA,NA,NA,NA,NA
394,8407.6,47.9,NA,NA,NA,NA,NA,NA,NA,NA
395,8427.5,44.9,NA,NA,NA,NA,NA,NA,NA,NA
396,8446.9,48.5,NA,NA,NA,NA,NA,NA,NA,NA
398,8483.7,51.1,NA,NA,NA,NA,NA,NA,NA,NA
400,8518,45.1,NA,NA,NA,NA,NA,NA,NA,NA
402,8549.6,24,NA,NA,NA,NA,NA,NA,NA,NA
404,8580.8,24.6,NA,NA,NA,NA,NA,NA,NA,NA
405,8596.3,21.4,NA,NA,NA,NA,NA,NA,NA,NA
406,8611.8,31.7,NA,NA,NA,NA,NA,NA,NA,NA
408,8642.7,26.6,NA,NA,NA,NA,NA,NA,NA,NA
410,8673.4,24.9,NA,NA,NA,NA,NA,NA,NA,NA
412,8703.9,27.9,NA,NA,NA,NA,NA,NA,NA,NA
414,8734.2,32.6,NA,NA,NA,NA,NA,NA,NA,NA
415,8749.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA
416,8764.3,29.8,NA,NA,NA,NA,NA,NA,NA,NA
418,8794.1,29.5,NA,NA,NA,NA,NA,NA,NA,NA
420,8823.6,32,NA,NA,NA,NA,NA,NA,NA,NA
422,8852.9,34.6,NA,NA,NA,NA,NA,NA,NA,NA
424,8881.8,34.6,NA,NA,NA,NA,NA,NA,NA,NA
425,8896.2,19.6,NA,NA,NA,NA,NA,NA,NA,NA
425,8896.2,27.2,NA,NA,NA,NA,NA,NA,NA,NA
426,8910.4,29.2,NA,NA,NA,NA,NA,NA,NA,NA
428,8938.7,22.9,NA,NA,NA,NA,NA,NA,NA,NA
430,8966.5,28.9,NA,NA,NA,NA,NA,NA,NA,NA
432,8994,29.8,NA,NA,NA,NA,NA,NA,NA,NA
434,9021,32.6,NA,NA,NA,NA,NA,NA,NA,NA
435,9034.4,27,NA,NA,NA,NA,NA,NA,NA,NA
436,9047.6,30.4,NA,NA,NA,NA,NA,NA,NA,NA
438,9073.8,32,NA,NA,NA,NA,NA,NA,NA,NA
440,9099.5,28.7,NA,NA,NA,NA,NA,NA,NA,NA
442,9124.7,33.9,NA,NA,NA,NA,NA,NA,NA,NA
444,9149.3,32.4,NA,NA,NA,NA,NA,NA,NA,NA
445,9161.4,27.7,NA,NA,NA,NA,NA,NA,NA,NA
446,9173.4,36,NA,NA,NA,NA,NA,NA,NA,NA
448,9197,30.6,NA,NA,NA,NA,NA,NA,NA,NA
450,9220,29.4,NA,NA,NA,NA,NA,NA,NA,NA
452,9242.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA
453,9253.3,29.2,NA,NA,NA,NA,NA,NA,NA,NA
454,9264.1,31.8,NA,NA,NA,NA,NA,NA,NA,NA
455,9274.8,24.5,NA,NA,NA,NA,NA,NA,NA,NA
456,9285.2,31.7,NA,NA,NA,NA,NA,NA,NA,NA
458,9305.7,36.4,NA,NA,NA,NA,NA,NA,NA,NA
459,9315.7,31.2,NA,NA,NA,NA,NA,NA,NA,NA
460,9325.5,31.6,NA,NA,NA,NA,NA,NA,NA,NA
462,9344.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA
462,9344.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA
464,9362.9,48.3,NA,NA,NA,NA,NA,NA,NA,NA
465,9371.8,35.4,NA,NA,NA,NA,NA,NA,NA,NA
466,9380.5,44.5,NA,NA,NA,NA,NA,NA,NA,NA
467,9389,46.4,NA,NA,NA,NA,NA,NA,NA,NA
468,9397.4,41.5,NA,NA,NA,NA,NA,NA,NA,NA
470,9413.9,39.2,NA,NA,NA,NA,NA,NA,NA,NA
472,9430.1,41.2,NA,NA,NA,NA,NA,NA,NA,NA
473,9438.1,40.4,NA,NA,NA,NA,NA,NA,NA,NA
474,9446,46,NA,NA,NA,NA,NA,NA,NA,NA
475,9453.8,41.6,NA,NA,NA,NA,NA,NA,NA,NA
476,9461.6,40.2,NA,NA,NA,NA,NA,NA,NA,NA
478,9476.9,34.3,NA,NA,NA,NA,NA,NA,NA,NA
479,9484.4,37.6,NA,NA,NA,NA,NA,NA,NA,NA
480,9491.9,43.1,NA,NA,NA,NA,NA,NA,NA,NA
482,9506.7,40.9,NA,NA,NA,NA,NA,NA,NA,NA
483,9513.9,33.4,NA,NA,NA,NA,NA,NA,NA,NA
484,9521.1,39.5,NA,NA,NA,NA,NA,NA,NA,NA
485,9528.3,38.6,NA,NA,NA,NA,NA,NA,NA,NA
486,9535.4,42.2,NA,NA,NA,NA,NA,NA,NA,NA
488,9549.4,31.5,NA,NA,NA,NA,NA,NA,NA,NA
490,9563.1,33.8,NA,NA,NA,NA,NA,NA,NA,NA
491,9569.9,35,NA,NA,NA,NA,NA,NA,NA,NA
492,9576.7,32.2,NA,NA,NA,NA,NA,NA,NA,NA
494,9590,40.3,NA,NA,NA,NA,NA,NA,NA,NA
495,9596.5,36.6,NA,NA,NA,NA,NA,NA,NA,NA
496,9603.1,38,NA,NA,NA,NA,NA,NA,NA,NA
498,9616,35.9,NA,NA,NA,NA,NA,NA,NA,NA
500,9628.7,40,NA,NA,NA,NA,NA,NA,NA,NA
502,9641.2,37.1,NA,NA,NA,NA,NA,NA,NA,NA
