depth (cm),age (yr BP),MJAT_Fortin (degC),MJAT_FortinSE (degC),MJAT_FortinLOWESS (degC),MJAT_Fortin_Anom (degC),MJAT_Fortin_anom_LOWESS (degC),MJAT_Barley (degC),MJAT_Barley_SE (degC),MJAT_Barley_LOWESS (degC),MJAT_Barley_Anom (degC),MJAT_Barley_Anom_LOWESS (degC)
241.5,5853,16.25,0.588,14.88,1.8,0.43,14.59,0.488,14.21,-0.39,-0.77
246.5,5960,14.58,0.517,15,0.13,0.56,13.81,0.507,14.15,-1.17,-0.83
251.5,6062,15.4,0.532,15.01,0.96,0.57,14.26,0.451,14.04,-0.72,-0.94
256.5,6161,15.36,0.66,14.81,0.91,0.36,13.77,0.626,13.91,-1.21,-1.08
261.5,6258,14.21,0.398,14.63,-0.23,0.18,13.91,0.347,13.84,-1.08,-1.15
268.5,6391,14.01,0.427,14.41,-0.44,-0.04,13.44,0.408,13.83,-1.54,-1.16
273.5,6485,14.11,0.457,14.25,-0.34,-0.19,13.79,0.411,13.84,-1.19,-1.15
278.5,6579,14.96,0.479,14.22,0.51,-0.23,14.12,0.406,13.88,-0.87,-1.11
283.5,6674,13.58,0.326,14.22,-0.86,-0.23,13.96,0.312,13.92,-1.02,-1.06
288.5,6769,14.39,0.396,14.13,-0.06,-0.31,13.86,0.288,13.89,-1.12,-1.09
293.5,6865,14.37,0.433,14.03,-0.08,-0.41,14.26,0.322,13.78,-0.73,-1.2
298.5,6962,13.61,0.427,14.21,-0.83,-0.24,13.43,0.291,13.76,-1.56,-1.23
303.5,7062,13.11,0.296,14.46,-1.33,0.01,12.98,0.262,13.75,-2,-1.23
308.5,7163,15.8,0.773,14.64,1.36,0.19,13.93,0.45,13.74,-1.05,-1.25
313.5,7265,15.26,0.408,14.88,0.82,0.43,13.91,0.259,13.78,-1.07,-1.2
318.5,7371,15.25,0.441,15.13,0.8,0.69,13.89,0.304,13.9,-1.1,-1.08
323.5,7478,13.87,0.407,15.27,-0.57,0.82,13.62,0.301,14.02,-1.36,-0.97
328.5,7588,16.05,0.598,15.47,1.61,1.02,14.21,0.523,14.17,-0.77,-0.81
334.5,7679,15.04,0.763,15.62,0.6,1.17,14.43,0.491,14.33,-0.56,-0.65
338.5,7772,17.3,0.947,15.81,2.85,1.36,14.41,0.569,14.47,-0.58,-0.51
343.5,7894,15.71,0.837,16.21,1.26,1.76,15.2,0.523,14.6,0.22,-0.38
348.5,8020,15.71,0.476,16.48,1.27,2.03,14.51,0.409,14.66,-0.47,-0.32
353.5,8148,18.04,1.313,16.42,3.59,1.97,15.93,0.755,14.67,0.94,-0.32
358.5,8279,17.67,0.823,16.26,3.22,1.81,14.78,0.481,14.61,-0.21,-0.37
363.5,8412,15.41,0.496,16.23,0.96,1.78,14.6,0.418,14.57,-0.38,-0.41
368.5,8546,14.54,0.481,16.13,0.09,1.69,14.24,0.433,14.59,-0.75,-0.4
373.5,8681,16,0.811,16.18,1.55,1.73,14.52,0.503,14.63,-0.47,-0.35
378.5,8816,17.08,1.075,16.34,2.63,1.9,14.86,0.56,14.71,-0.13,-0.28
383.5,8950,17.63,1.199,16.27,3.18,1.83,14.9,0.66,14.74,-0.09,-0.24
388.5,9084,16.3,1.275,15.95,1.85,1.51,14.99,0.638,14.72,0.01,-0.26
393.5,9216,13.97,0.59,15.63,-0.48,1.19,13.96,0.486,14.74,-1.03,-0.25
398.5,9347,14.68,1.06,15.47,0.23,1.02,14.54,0.572,14.81,-0.45,-0.17
403.5,9475,14.91,0.733,15.62,0.46,1.17,14.71,0.454,14.95,-0.27,-0.04
408.5,9601,17.26,1.582,16.1,2.81,1.66,15.7,0.829,15.18,0.71,0.2
413.5,9724,16.31,1.273,16.55,1.86,2.11,15.42,0.667,15.37,0.43,0.38
418.5,9844,18.14,0.909,16.79,3.69,2.35,15.85,0.512,15.43,0.86,0.45
423.5,9960,16.92,1.233,16.82,2.48,2.38,15.49,0.667,15.37,0.5,0.39
428.5,10074,15.89,0.99,16.74,1.45,2.29,15,0.535,15.24,0.01,0.26
433.5,10185,17.05,1.251,16.67,2.6,2.22,15.13,0.673,15.14,0.15,0.16
438.5,10295,16.33,0.801,16.82,1.89,2.37,14.93,0.494,15.18,-0.05,0.2
443.5,10403,13.09,0.512,16.76,-1.36,2.31,13.9,0.357,15.17,-1.08,0.18
448.5,10509,17.65,1.192,16.44,3.2,2,15.63,0.628,15.07,0.64,0.09
453.5,10615,13.01,0.49,16.23,-1.44,1.79,13.14,0.387,15.04,-1.85,0.06
458.5,10719,15.68,1.173,15.8,1.23,1.35,14.79,0.664,14.88,-0.19,-0.1
463.5,10823,14.65,0.886,15.26,0.2,0.81,14.64,0.539,14.6,-0.34,-0.39
468.5,10926,14.56,0.499,14.96,0.12,0.51,14.02,0.4,14.4,-0.96,-0.59
473.5,11028,15.95,0.865,14.82,1.5,0.37,14.54,0.504,14.27,-0.45,-0.71
478.5,11131,14.09,0.743,14.83,-0.35,0.39,13.81,0.446,14.21,-1.17,-0.77
483.5,11233,14.57,0.447,14.91,0.13,0.47,14.28,0.327,14.22,-0.71,-0.77
488.5,11335,15.08,0.53,14.98,0.64,0.53,14.12,0.4,14.23,-0.86,-0.76
493.5,11437,15.4,0.617,15.08,0.96,0.63,14.53,0.487,14.22,-0.45,-0.77
498.5,11540,15.48,0.527,15.1,1.03,0.65,14.24,0.373,14.15,-0.75,-0.84
503.5,11643,14.84,0.541,14.9,0.39,0.46,14.06,0.407,14.02,-0.92,-0.97
508.5,11747,15.08,0.567,14.61,0.63,0.17,13.82,0.443,13.87,-1.17,-1.11
513.5,11852,13.69,0.406,14.37,-0.76,-0.08,13.42,0.252,13.74,-1.56,-1.25
518.5,11958,13.94,0.477,14.17,-0.5,-0.28,13.86,0.374,13.65,-1.12,-1.33
523.5,12065,14.08,0.462,13.99,-0.37,-0.46,13.35,0.345,13.58,-1.63,-1.41
528.5,12174,14.4,0.418,13.95,-0.05,-0.5,13.87,0.319,13.55,-1.11,-1.44
533.5,12285,11.51,0.358,14,-2.94,-0.44,12.68,0.238,13.58,-2.31,-1.41
538.5,12398,13.84,0.397,13.97,-0.61,-0.48,13.38,0.304,13.61,-1.61,-1.38
543.5,12513,14.65,0.349,13.97,0.2,-0.48,14.01,0.251,13.69,-0.97,-1.3
548.5,12630,13.5,0.342,14.11,-0.94,-0.33,13.5,0.286,13.85,-1.48,-1.13
553.5,12748,14.1,0.436,14.19,-0.34,-0.26,14.11,0.346,13.96,-0.88,-1.02
558.5,12867,15.04,0.466,14.33,0.59,-0.11,14.78,0.371,14.05,-0.2,-0.93
563.5,12988,12.6,0.387,14.67,-1.85,0.23,13.64,0.346,14.15,-1.34,-0.84
568.5,13110,14.85,0.456,14.9,0.4,0.45,14.32,0.362,14.19,-0.67,-0.79
573.5,13233,15.9,0.755,14.77,1.45,0.32,14.25,0.451,14.14,-0.74,-0.85
578.5,13357,16.24,0.972,14.46,1.8,0.01,14.4,0.501,14,-0.58,-0.99
583.5,13483,13.44,0.465,14.07,-1.01,-0.37,13.83,0.277,13.79,-1.15,-1.2
588.5,13610,12.55,0.468,13.72,-1.9,-0.72,12.76,0.325,13.59,-2.23,-1.4
593.5,13738,13,0.487,13.48,-1.45,-0.96,13.36,0.384,13.48,-1.63,-1.51
598.5,13867,13.54,0.464,13.46,-0.91,-0.99,12.91,0.326,13.49,-2.07,-1.49
603.5,13998,13.72,0.494,13.48,-0.73,-0.96,13.42,0.364,13.51,-1.56,-1.47
610.5,14183,13.64,0.595,13.58,-0.8,-0.87,14.11,0.38,13.59,-0.87,-1.39
