depth (cm) [1-1],age (yr BP) [1-1],TAUG (degC) [1-1],IMON1953 (months/yr) [1-1],depth-range (cm) [1-1],TFEV_i (unitless) [1-1],TFEV (unitless) [1-1],TFEV_s (unitless) [1-1],TFEV/3 (unitless) [1-1],SFEV_i (unitless) [1-1],SFEV (unitless) [1-1],SFEV_s (unitless) [1-1],SFEV/3 (unitless) [1-1],THIV_i (unitless) [1-1],THIV (unitless) [1-1],THIV_s (unitless) [1-1],THIV/3 (unitless) [1-1],SHIV_i (unitless) [1-1],SHIV (unitless) [1-1],SHIV_s (unitless) [1-1],SHIV/3 (unitless) [1-1],TAUG_i (unitless) [1-1],TAUG_s (unitless) [1-1],TAUG/3 (unitless) [1-1],SAUG_i (unitless) [1-1],SAUG (unitless) [1-1],SAUG_s (unitless) [1-1],SAUG/3 (unitless) [1-1],TETE_i (unitless) [1-1],TETE (unitless) [1-1],TETE_s (unitless) [1-1],TETE/3 (unitless) [1-1],SETE_i (unitless) [1-1],SETE (unitless) [1-1],SETE_s (unitless) [1-1],SETE/3 (unitless) [1-1],IMON1953_i (unitless) [1-1],IMON1953_s (unitless) [1-1],IMON1953/3 (unitless) [1-1],depth (cm) [1-2],year (year ce) [1-2],age (yr BP) [1-2],TAUG (degC) [1-2],depth-range (cm) [1-2],TFEV_i (unitless) [1-2],TFEV (unitless) [1-2],TFEV_s (unitless) [1-2],TFEV/3 (unitless) [1-2],SFEV_i (unitless) [1-2],SFEV (unitless) [1-2],SFEV_s (unitless) [1-2],SFEV/3 (unitless) [1-2],THIV_i (unitless) [1-2],THIV (unitless) [1-2],THIV_s (unitless) [1-2],THIV/3 (unitless) [1-2],SHIV_i (unitless) [1-2],SHIV (unitless) [1-2],SHIV_s (unitless) [1-2],SHIV/3 (unitless) [1-2],TAUG_i (unitless) [1-2],TAUG_s (unitless) [1-2],TAUG/3 (degC) [1-2],SAUG_i (unitless) [1-2],SAUG (unitless) [1-2],SAUG_s (unitless) [1-2],SAUG/3 (unitless) [1-2],TETE_i (unitless) [1-2],TETE (unitless) [1-2],TETE_s (unitless) [1-2],TETE/3 (unitless) [1-2],SETE_i (unitless) [1-2],SETE (unitless) [1-2],SETE_s (unitless) [1-2],SETE/3 (unitless) [1-2],IMON1953_i (unitless) [1-2],IMON1953 (unitless) [1-2],IMON1953_s (unitless) [1-2],IMON1953/3 (unitless) [1-2],depth (cm) [1-3],year (year ce) [1-3],age (yr BP) [1-3],TAUG (degC) [1-3],depth-range (cm) [1-3],TFEV_i (unitless) [1-3],TFEV (unitless) [1-3],TFEV_s (unitless) [1-3],TFEV/3 (unitless) [1-3],SFEV_i (unitless) [1-3],SFEV (unitless) [1-3],SFEV_s (unitless) [1-3],SFEV/3 (unitless) [1-3],THIV_i (unitless) [1-3],THIV (unitless) [1-3],THIV_s (unitless) [1-3],THIV/3 (unitless) [1-3],SHIV_i (unitless) [1-3],SHIV (unitless) [1-3],SHIV_s (unitless) [1-3],SHIV/3 (unitless) [1-3],TAUG_i (unitless) [1-3],TAUG_s (unitless) [1-3],TAUG/3 (unitless) [1-3],SAUG_i (unitless) [1-3],SAUG (unitless) [1-3],SAUG_s (unitless) [1-3],SAUG/3 (unitless) [1-3],TETE_i (unitless) [1-3],TETE (unitless) [1-3],TETE_s (unitless) [1-3],TETE/3 (unitless) [1-3],SETE_i (unitless) [1-3],SETE (unitless) [1-3],SETE_s (unitless) [1-3],SETE/3 (unitless) [1-3],IMON1953_i (unitless) [1-3],IMON1953 (unitless) [1-3],IMON1953_s (unitless) [1-3],IMON1953/3 (unitless) [1-3]
476.5,3621.2,6.04,7.99,476-477 cm,-1.45,-1.18,-0.13,-1.37,30.61,31.99,34.26,31.8,-1.51,-1.28,-0.23,-1.45,29.89,31.52,34.26,31.42,3.96,7.25,5.78,19.8,26.89,29.63,26.16,2.68,4.67,6.12,4.42,20.88,27.21,29.7,26.6,7.06,8.86,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486.5,3691.9,5.9,8.07,486-487 cm,-1.45,-1.42,-1.4,-1.29,30.61,31.81,34.26,31.8,-1.51,-1.49,-1.46,-1.37,29.89,31.41,34.26,31.41,3.96,7.25,5.9,19.8,25.38,29.63,26.2,2.68,4.63,6.12,4.62,20.88,25.94,29.7,26.75,7.06,8.86,8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.5,3762.6,5.76,8.02,496-497 cm,-1.55,-1.25,-0.13,-1.21,30.61,31.61,34.26,31.85,-1.59,-1.34,-0.23,-1.29,29.89,31.3,34.26,31.46,2.66,7.25,5.66,19.23,26.32,29.63,26.22,2.15,4.56,6.12,4.37,20.88,27.09,29.7,26.8,7.06,9.96,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506.5,3833.3,5.31,8.25,506-507 cm,-1.55,-0.95,-0.13,-1.2,30.61,32.15,34.26,31.71,-1.59,-1.04,-0.23,-1.28,30.15,31.66,34.26,31.33,2.66,7.25,5.43,19.23,26.96,29.63,26.18,2.15,3.91,6.12,4.1,21.44,27.38,29.7,26.84,7.06,9.96,8.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516.5,3904,5.2,8.5,516-517 cm,-1.99,-1.4,-0.68,-1.31,30,31.39,34.26,31.55,-2,-1.47,-0.74,-1.39,29.05,31.03,34.26,31.11,3.06,7.25,4.99,15.15,25.24,29.63,25.94,0.62,3.85,6.12,3.74,18.01,26.04,29.7,26.6,7.06,10.88,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526.5,3974.7,4.45,9.35,526-527 cm,-1.99,-1.59,-1.4,-1.52,30.61,31.11,32.66,31.31,-2,-1.65,-1.5,-1.58,29.89,30.63,31.86,30.91,2.66,7.25,4.97,19.23,25.61,29.43,25.69,0.62,3.48,6.12,3.76,21.44,26.36,29.66,26.38,7.36,10.88,8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536.5,4045.3,5.25,8.64,536-537 cm,-1.99,-1.55,-1.4,-1.56,30.61,31.44,34.26,31.35,-2,-1.62,-1.5,-1.62,29.89,31.07,34.26,30.96,3.06,7.25,4.98,19.8,26.22,29.63,26.07,0.62,3.96,6.12,3.8,20.88,26.72,29.7,26.66,7.06,10.88,8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546.5,4116,5.25,8.56,546-547 cm,-1.99,-1.55,-1.4,-1.54,30.61,31.52,34.26,31.49,-2,-1.61,-1.5,-1.61,29.89,31.17,34.26,31.17,3.06,7.25,5.18,19.8,26.38,29.63,26.32,0.62,3.95,6.12,3.89,20.88,26.88,29.7,26.89,7.06,10.88,8.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556.5,4186.7,5.04,8.47,556-557 cm,-1.99,-1.53,-1.4,-1.34,30.61,31.51,34.26,31.78,-2,-1.6,-1.5,-1.42,29.89,31.26,34.26,31.41,2.66,7.25,5.44,19.23,26.36,29.63,27.06,0.62,3.76,6.12,4.07,20.88,27.08,29.7,27.48,7.06,10.88,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.5,4257.4,6.04,7.94,566-567 cm,-1.4,-0.95,-0.13,-1.06,30.61,32.3,34.26,31.99,-1.5,-1.05,-0.23,-1.15,30.69,31.8,34.26,31.41,3.96,7.25,5.76,26.82,28.43,29.63,27.06,2.68,4.5,6.12,4.35,26.74,28.5,29.7,27.33,7.06,8.6,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576.5,4328.1,6.21,8.62,576-577 cm,-1.45,-0.7,-0.13,-0.99,30.72,32.15,32.51,32.07,-1.51,-0.79,-0.23,-1.08,29.89,31.18,31.5,31.45,5.86,6.33,5.9,19.8,26.4,28.52,27.23,4.17,4.79,6.02,4.57,20.88,26.42,28.63,27.5,8.56,8.86,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586.5,4398.8,5.46,8.62,586-587 cm,-1.99,-1.32,-0.39,-1.14,30.44,31.76,34.26,32.32,-2,-1.4,-0.48,-1.23,29.62,31.38,34.26,31.79,3.06,7.25,5.49,18.24,26.87,29.63,27.43,0.62,4.41,6.17,4.27,20.43,27.57,29.7,27.71,7.06,10.88,8.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596.5,4469.5,4.79,7.91,596-597 cm,-1.4,-1.4,-1.4,-1.21,31.56,33.05,34.26,32.18,-1.5,-1.49,-1.46,-1.3,31.1,32.8,34.26,31.73,3.03,6.65,5.56,28.26,29.03,29.63,27.48,2.43,3.61,6.28,4.3,27.72,29.14,29.77,27.81,7.06,9.82,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606.5,4540.2,6.44,8.36,606-607 cm,-1.45,-0.9,-0.13,-1.21,30.61,31.74,32.51,31.87,-1.51,-1,-0.23,-1.29,29.89,31.01,31.5,31.3,5.86,7.25,5.66,19.8,26.56,28.52,25.19,4.17,4.89,6.12,4.35,20.88,26.71,29.66,25.74,7.36,8.86,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613.5,4589.6,5.75,8.97,613-614 cm,-1.52,-1.32,-0.68,NA,30,30.81,32.4,NA,-1.63,-1.38,-0.74,NA,29.05,30.09,31.4,NA,4.85,6.33,NA,15.15,20,26.82,NA,3.69,4.54,5.27,NA,18.01,21.36,26.74,NA,8.56,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
