year (AD) [1-1],age (yr BP) [1-1],average_RGB (grayscale) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],grayscale_detrended (grayscale) [1-2],grayscale20lp_detrended (grayscale) [1-2],depth (unitless) [1-3],age (yr BP) [1-3],d18O_raw (permil) [1-3],d13C_raw (permil) [1-3],depth (unitless) [1-4],age (yr BP) [1-4],d18O_detrended (permil) [1-4],d13C_detrended (permil) [1-4]
1836.7291,113.27085,160.6033,22.60368005,162,11.3751,9.6445,25.35,188.92,-4.01,1.31,34.52664721,257,-0.33,0.01
1836.4286,113.57136,164.6033,22.70521435,163,3.1521,9.721,25.7,190.2,-4.47,0.94,34.9351634,262,-0.57,-0.11
1836.1296,113.87039,164.4933,22.80674865,164,9.2499,9.8926,26.1,191.663,-4.21,1.18,35.34366013,267,-0.53,-0.17
1835.8291,114.1709,161.9667,22.90829001,165,11.0037,10.1077,26.37,193.126,-4.65,1.22,35.75215686,272,-0.16,-0.06
1835.5286,114.47141,159.02,23.00983347,166,6.8982,10.2912,26.65,194.899,-4.36,1.22,36.16065359,277,0.14,0.13
1835.2296,114.77044,155.3933,23.11137693,167,13.452,10.3556,27.01,197.093,-4.02,1.43,36.5715875,282,0.39,0.43
1834.929,115.07095,153.4367,23.21292039,168,15.0404,10.2318,27.35,199.288,-4.56,1.28,36.99132492,287,0.19,0.45
1834.63,115.36998,153.3967,23.31446385,169,14.3461,9.8618,27.63,201.169,-4.56,1.3,37.41138554,292,0.52,0.49
1834.3295,115.67049,152.4567,23.41287059,170,12.3543,9.2117,27.98,203.71,-4.71,1.27,37.71259036,297,0.62,0.38
1834.029,115.971,151.6867,23.51071073,171,5.5232,8.2784,28.28,205.905,-4.64,1.18,37.98423375,302,0.43,0.24
1833.73,116.27003,151.7467,23.60855086,172,5.796,7.0683,28.63,208.466,-4.71,1.07,38.25515308,307,0.18,0.12
1833.4295,116.57054,151.1333,23.70639099,173,4.4111,5.5873,29.08,211.757,-4.72,1.07,38.52607477,312,0.01,0.07
1833.1289,116.87105,149.49,23.80423112,174,-3.25,3.88,29.43,214.318,-4.83,1.08,38.79696736,317,0.29,0.21
1832.8299,117.17008,150.1233,23.89369546,175,-0.0297,2.4135,29.73,216.513,-4.43,1.58,39.06791356,322,0.46,0.32
1832.5294,117.47059,149.9067,23.97205699,176,-0.1936,0.8315,30.08,219.074,-4.11,1.92,39.35761201,327,0.43,0.29
1832.2289,117.7711,149.7333,24.05041852,177,-0.3748,-0.8508,30.52,222.365,-3.96,1.91,39.70769384,332,-0.12,-0.09
1831.9299,118.07013,153.0767,24.12878005,178,-2.3589,-2.6348,30.96,225.93,-3.74,1.96,40.20471173,337,-0.45,-0.42
1831.6294,118.37064,156.4867,24.20714159,179,-4.8785,-4.5169,31.31,228.785,-3.68,1.85,40.69155954,342,-0.3,-0.12
1831.3288,118.67115,160.74,24.28550312,180,-2.1603,-6.4723,31.66,231.641,-3.81,1.92,41.1697862,347,-0.8,-0.23
1831.0298,118.97018,165.8467,24.36284943,181,-5.7197,-8.4768,32.06,234.906,-4.2,1.88,41.646104,352,-1.32,-0.44
1830.7293,119.27069,162.0333,24.4399653,182,-5.9937,-10.4757,32.46,238.169,-4.38,2.31,42.12251497,357,-1.61,-0.61
1830.4288,119.5712,153.74,24.51708116,183,-5.5222,-12.4092,32.91,241.842,-3.74,2.16,42.59883506,362,-2.38,-0.98
1830.1298,119.87023,145.18,24.59419703,184,-7.3522,-14.2043,33.41,245.922,-3.71,1.85,43.17711945,367,-1.19,-0.78
1829.8293,120.17074,141.6267,24.6713129,185,-9.9564,-15.7975,33.91,250.001,-4.27,1.79,43.77293962,372,0.39,-0.04
1829.5302,120.46977,141.4367,24.81505073,186,-12.032,-17.118,34.26,253.737,-4.75,1.65,44.36876072,377,0.7,0.44
1829.2297,120.77028,144.5667,24.99825254,187,-21.71,-18.0742,34.61,258.02,-4.69,1.52,44.96467143,382,1,0.5
1828.9292,121.07079,149.0167,25.18145434,188,-36.42,-17.0514,35.01,262.916,-5.03,1.4,45.555916,387,0.75,0.17
1828.6302,121.36982,152.82,25.371875,189,-12.67,-8.8617,35.41,267.812,-4.93,1.35,46.03974907,392,0.43,-0.01
1828.3297,121.67033,150.31,25.6453125,190,9.98,2.9547,35.81,272.708,-4.54,1.47,46.4375548,397,0.25,-0.13
1828.0292,121.97084,145.9067,25.91872864,191,22.86,12.1024,36.21,277.604,-4.28,1.66,46.8468614,402,0.16,-0.13
1827.7301,122.26987,144.5033,26.16219412,192,13.24,14.0431,36.61,282.467,-4.06,1.95,47.24778669,407,-0.29,-0.51
1827.4296,122.57038,145.1067,26.34674641,193,19.067,11.5095,37.01,287.222,-4.31,1.93,47.63805005,412,-0.34,-0.66
1827.1291,122.87089,147.4033,26.50802594,194,8.805,7.1332,37.41,291.977,-3.99,1.96,47.97610814,417,0.64,-0.02
1826.8301,123.16992,152.97,26.66657247,195,0.2572,1.8642,37.72,297.123,-3.9,1.83,48.26904419,422,0.63,0.03
1826.5296,123.47043,158.0033,26.83065634,196,-3,-3.2586,38.07,303.583,-4.18,1.62,48.57003683,427,0.5,-0.13
1826.2291,123.77094,160.9033,26.9947402,197,-12.6809,-7.098,38.47,310.965,-4.62,1.44,48.86485357,432,-0.68,-0.92
1825.93,124.06997,158.4567,27.15049203,198,-24.29,-9.2076,38.87,318.348,-4.23,1.63,49.15773222,437,0.26,-0.35
1825.6295,124.37048,152.2033,27.30538952,199,-6.8209,-9.67,39.27,325.729,-4.06,1.73,49.491254669999996,442,1.23,0.25
1825.329,124.67099,148.5667,27.45598618,200,5.76,-8.929,39.69,331.822,-4.71,1.29,49.86382571,447,1.48,0.42
1825.03,124.97002,148.2233,27.60484317,201,-0.695,-7.8032,39.99,334.84,-5.51,0.48,50.2844179,452,1.17,0.42
1824.7295,125.27053,150.2833,27.74446281,202,-0.94,-6.5921,40.34,338.361,-4.83,1.14,50.70502629,457,1.19,0.52
1824.4304,125.56956,155.1967,27.88220386,203,-4.15,-5.3965,40.83,343.433,-5,1.19,51.12557095,462,0.49,0.52
1824.1299,125.87007,157.8933,28.01963554,204,-4.38,-4.159,41.28,348.157,-5.61,0.99,51.5461132,467,-0.22,0.52
1823.8294,126.17058,153.7467,28.15630979,205,-3.595,-2.6576,41.63,351.831,-5.99,0.82,51.8207943,472,-0.42,0.23
1823.5304,126.46961,145.8667,28.29298321,206,-0.06,-0.7468,41.98,355.504,-6,0.75,52.06309311,477,-0.54,-0.03
1823.2299,126.77012,140.7267,28.42964857,207,-2.425,1.8559,42.33,359.178,-6.7,0.45,52.19460284,482,-0.45,-0.08
1822.9294,127.07063,137.57,28.56631394,208,-3.88,5.0389,42.68,362.852,-7.17,0.19,52.32611257,487,-0.36,-0.14
1822.6303,127.36966,134.3067,28.70301732,209,1.985,8.7432,43.07,366.101,-6.61,0.04,52.45761519,492,-0.26,-0.13
1822.3298,127.67017,128.85,28.83975387,210,13.26,12.5265,43.47,369.458,-3.86,1.5,52.58911109,497,-0.17,-0.06
1822.0367,127.96328,125.96,28.97649043,211,14.965,15.8148,43.92,373.234,-4.5,1,52.72061547,502,-0.31,-0.09
1821.7436,128.25638,128.53,29.11320968,212,25.85,18.215,44.42,377.43,-3.92,1.7,52.8521252,507,-0.59,-0.19
1821.449,128.55097,130.78,29.24987505,213,30.745,19.0479,44.82,380.786,-3.72,1.81,52.98362672,512,-0.74,-0.25
1821.1559,128.84408,135.1267,29.38654041,214,38.34,18.4872,45.17,383.723,-3.64,1.49,53.11512492,517,-0.82,-0.31
1820.8628,129.13719,143.06,29.52321185,215,15.945,16.4058,45.47,386.241,-3.87,1.37,53.27397691,522,-0.89,-0.36
1820.5697,129.4303,146.0067,29.6598861,216,4.01,13.5189,45.85,389.598,-4.16,1.22,53.46899992,527,-0.93,-0.43
1820.2766,129.72341,142.32,29.79655603,217,-1.455,10.2766,46.36,396.054,-4.43,1.02,53.66402293,532,-0.98,-0.49
1819.982,130.01799,135.79,29.9332214,218,-5.28,7.2169,46.82,401.665,-4.51,1.04,54.21918193,537,0.32,0.25
1819.6889,130.3111,128.42,30.06988676,219,9.975,4.7651,47.17,406.03,-4.92,0.7,54.60388821,542,0.07,0.12
1819.3958,130.60421,122.81,30.20380431,220,2.45,2.962,47.57,411.018,-5.28,0.33,54.82754441,547,0.03,0.16
1819.1027,130.89732,124.17,30.33750228,221,16.14,2.0688,47.93,416.213,-4.07,1.1,54.94436116,552,0.2,0.22
1818.8096,131.19043,132.0867,30.47120024,222,10.88,1.9703,48.28,422.187,-4.1,1.16,55.0611779,557,0.36,0.28
1818.515,131.48502,138.92,30.59837307,223,-19.2203,2.7765,48.64,428.161,-4.27,0.96,55.17799465,562,0.53,0.33
1818.2219,131.77812,141.2833,30.72179523,224,-4.0928,4.2396,48.94,433.283,-5.81,-0.04,55.31477366,567,0.66,0.37
1817.9288,132.07123,138.04,30.84521739,225,-0.916,6.2324,49.29,439.258,-3.7,1.28,55.49857788,572,0.73,0.36
1817.6357,132.36434,135.8567,30.96858144,226,13.3211,8.4522,49.82,446.479,-3.26,1.57,55.68238971,577,0.68,0.34
1817.3426,132.65745,140.4433,31.09117338,227,13.2444,10.515,50.32,452.423,-3.65,1.58,55.86621324,582,0.45,0.32
1817.048,132.95204,137.0733,31.21376532,228,17.2046,12.0656,50.72,457.178,-3.62,1.69,56.05003676,587,0.27,0.27
1816.7549,133.24515,130.2467,31.33634804,229,18.7164,12.6754,51.57,467.284,-5.11,1.7,56.23386029,592,0.11,0.23
1816.4617,133.53825,125.8133,31.45889706,230,13.0505,12.2911,52.04,476.122,-5.44,1.17,56.41768382,597,-0.14,0.15
1816.1686,133.83136,125.67,31.58144608,231,7.2707,10.7987,52.39,489.429,-5.25,1.03,56.60150735,602,-0.46,0.05
1815.8755,134.12447,127.44,31.70398162,232,9.6889,8.2437,52.64,498.935,-5.11,1.18,56.81388203,607,-0.75,-0.22
1815.5809,134.41906,130.7567,31.82649311,233,16.1591,4.9373,52.89,508.44,-5.69,1,57.0395817,612,-1.02,-0.56
1815.2878,134.71217,133.5933,31.94900459,234,16.5546,1.242,53.19,519.847,-5.93,0.89,57.355441570000004,617,-1.06,-0.73
1814.9947,135.00528,139.3367,32.07152314,235,2.8876,-2.435,53.69,532.666,-6.08,0.74,57.81698795,622,-1.07,-0.91
1814.7016,135.29838,144.02,32.19410971,236,-26.2096,-5.5849,53.99,535.123,-4.61,1.72,58.54702006,627,-1.08,-1.04
1814.4085,135.59149,146.9133,32.31669629,237,-38.2148,-7.8357,54.39,538.399,-4.91,1.34,59.19391699,632,-0.85,-0.8
1814.1139,135.88608,147.1767,32.43928287,238,-22.6876,-9.0472,54.78,544.965,-5.15,1.4,59.55295221,637,0.27,0.07
1813.8208,136.17919,147.6133,32.56181051,239,-12.4492,-9.4936,55.26,565.51,-4.47,1.67,59.81580037,642,0.97,0.53
1813.5277,136.4723,149.62,32.68432616,240,-1.8762,-9.5183,55.61,575.031,-4.34,1.66,60.04661759,647,0.68,0.36
1813.2346,136.76541,150.6833,32.80684182,241,2.8216,-9.6678,55.91,583.191,-4.7,1.63,60.25233297,652,0.37,0.16
1812.9415,137.05851,141.9233,32.92936275,242,5.9385,-10.328,56.31,594.071,-5.04,1.54,60.44854606,657,0.05,-0.05
1812.6484,137.35162,132.4367,33.05191176,243,9.5754,-11.8268,56.66,603.591,-5.62,1.36,60.64893794,662,-0.2,-0.24
1812.3538,137.64621,128.5433,33.17446078,244,-10.1127,-14.0506,57.11,613.56,-6.13,0.7,60.85123546,667,-0.43,-0.42
1812.0607,137.93932,127.88,33.2970098,245,-45.3738,-16.7221,57.56,619.867,-6.03,0.59,61.05353298,672,-0.65,-0.6
1811.7676,138.23243,127.55,33.41956117,246,-19.4896,-19.4606,58.07,624.1,-6.09,0.36,61.25487361,677,-0.07,-0.19
1811.4745,138.52554,127.7267,33.54214023,247,-25.2665,-21.8412,58.42,626.194,-6.07,0.39,61.45612945,682,0.58,0.28
1811.1814,138.81864,126.3067,33.66471929,248,-36.8744,-23.6067,58.75,628.288,-6.03,0.3,61.65737298,687,0.91,0.53
1810.9245,139.07549,126.6033,33.78729836,249,-25.4503,-24.4402,59.05,630.669,-6.06,0.31,61.85860046,692,0.81,0.5
1810.7291,139.27089,128.48,33.90987742,250,-23.1501,-24.3878,59.36,633.536,-5.5,0.96,62.05291566,697,0.67,0.45
1810.5337,139.4663,134.39,34.0035894,251,-18.07,-23.5054,59.74,640.358,-3.84,2.03,62.23865863,702,0.47,0.37
1810.3383,139.6617,141.5033,34.09727248,252,-18.034300000000002,-22.4224,60.11,648.373,-4.27,1.79,62.40938219,707,0.37,0.33
1810.1429,139.85711,145.6633,34.19095557,253,-27.2343,-21.0253,60.51,658.566,-4.87,1.39,62.56207188,712,0.39,0.33
1809.9482,140.0518,144.3133,34.28149194,254,-8.6094,-19.3639,61.07,672.407,-5.44,0.94,62.71476157,717,0.42,0.34
1809.755,140.24503,143.5733,34.36321037,255,-8.9581,-17.4551,61.57,684.829,-3.78,2.13,62.86938069,722,0.43,0.35
1809.5617,140.43827,146.4333,34.44492879,256,-15.43,-15.3367,61.97,694.768,-3.96,2.1,63.06160802,727,0.17,0.24
1809.3685,140.6315,150.2733,34.52664721,257,-16.057,-13.034,62.34,704.728,-4.34,1.96,63.25383535,732,-0.08,0.13
1809.1749,140.82512,145.9333,34.60836563,258,-16.2713,-10.5693,62.86,721.756,-4.28,2.01,63.45772489,737,-0.05,0.04
1808.9785,141.02152,141.4933,34.69006536,259,-11.6363,-7.9951,63.32,733.721,-4.92,1.75,63.66773539,742,0.13,-0.04
1808.7831,141.21692,137.6667,34.77176471,260,-11.0429,-5.3258,63.68,742.292,-4.64,1.62,63.91457897,747,0.24,0.19
1808.5877,141.41233,135.43,34.85346405,261,-4.4536,-2.6577,63.98,748.313,-4.53,1.91,64.18214487,752,0.12,0.24
1808.3923,141.60773,134.76,34.9351634,262,-1.2668,-0.029,64.31,754.332,-4.81,1.9,64.50125448,757,0,0.02
1808.1969,141.80314,134.5167,35.01686275,263,2.1346,2.4392,64.77,760.749,-4.88,1.37,64.85159804,762,0.03,-0.25
1808.0005,141.99953,132.4933,35.09856209,264,1.9388,4.6974,65.09,765.655,-4.72,1.5,65.15984421,767,0.28,-0.08
1807.8051,142.19494,130.7333,35.18026144,265,0.2816,6.6452,65.44,772.395,-4.21,1.86,65.41948813,772,0.68,0.2
1807.6097,142.39034,130.0933,35.26196078,266,7.987,8.2119,65.94,782.045,-4.23,2.19,65.67860104,777,0.73,0.38
1807.4143,142.58575,129.3833,35.34366013,267,19.8424,9.3466,66.39,790.57,-4.39,2,65.93766839,782,0.76,0.57
1807.2188,142.78115,129.9333,35.42535948,268,22.0051,10.0001,66.79,798.148,-5.36,1.44,66.20155425,787,0.69,0.47
1807.0225,142.97755,132.0633,35.50705882,269,19.8262,10.1504,67.12,820.519,-5.77,1.36,66.46548166,792,0.48,0.3
1806.827,143.17295,130.4933,35.58875817,270,10.0243,9.804,67.62,841.224,-6.38,1.32,66.72940354,797,-0.13,-0.06
1806.6316,143.36836,126.5733,35.67045752,271,10.3814,8.9748,68.06,853.586,-6.11,0.97,66.84682178,802,-0.32,-0.15
1806.4663,143.53367,121.8767,35.75215686,272,7.335,7.7521,68.56,867.6,-5.47,1.22,66.92057798,807,-0.39,-0.15
1806.3024,143.69762,116.5333,35.83385621,273,7.5896,6.2609,69.11,883.541,-4.96,1.76,66.99433418,812,-0.46,-0.16
1806.1384,143.86158,116.99,35.91555556,274,-3.34,4.5879,69.48,901.207,-4.82,1.22,67.06809038,817,-0.53,-0.17
1805.9735,144.02651,124.45,35.9972549,275,0.4161,2.8483,69.87,927.915,-4.56,1.59,67.15576431,822,-0.62,-0.17
1805.8095,144.19047,134.49,36.07895425,276,4.9872,1.1411,70.36,946.215,-4.44,1.96,67.27650809,827,-0.75,-0.17
1805.6456,144.35442,137.3667,36.16065359,277,-3.0856,-0.4377,70.65,957.004,-4.81,1.66,67.39725187,832,-0.88,-0.17
1805.4801,144.51993,140.5967,36.24257249,278,-3.9943,-1.7917,71.06,962.509,-5.05,1.66,67.51799565,837,-1.02,-0.17
1805.3143,144.68573,134.9367,36.32482624,279,-2.7679,-2.8555,71.51,967.861,-5.1,1.66,67.64762013,842,-1.12,-0.19
1805.1485,144.85153,131.6667,36.40707999,280,-3.25,-3.5568,71.96,973.807,-5.14,1.82,67.82558486,847,-1.01,-0.33
1804.9817,145.01832,138.22,36.48933374,281,-3.6667,-3.8139,72.43,980.894,-5.17,1.68,68.00354959,852,-0.9,-0.46
1804.8159,145.18412,149.0767,36.5715875,282,-8.511,-3.6211,72.73,984.021,-5.02,1.7,68.18180676,857,-0.71,-0.44
1804.6501,145.34991,157.5067,36.65483701,283,-9.1694,-2.9927,73.03,987.148,-5.45,1.47,68.3601998,862,-0.49,-0.35
1804.4843,145.51571,160.9667,36.73895899,284,-8.0236,-1.9656,73.44,993.954,-5.38,1.54,68.53859284,867,-0.27,-0.26
1804.3185,145.68151,156.9133,36.82308097,285,-4.2123,-0.617,74.04,1009.61,-5.83,1.23,68.7118098,872,-0.11,-0.1
1804.1527,145.84731,153.5633,36.90720294,286,0.2698,0.9726,74.59,1039.04,-5.53,1.15,68.88432093,877,0.04,0.07
1803.9869,146.01311,150.8633,36.99132492,287,2.1494,2.7025,75.04,1061.1,-4.92,1.36,69.05683207,882,0.19,0.24
1803.8201,146.17989,149.4767,37.0754469,288,4.4793,4.4461,75.43,1077.04,-4.71,1.49,69.18244594,887,0.25,0.18
1803.6543,146.34569,151.7567,37.15956887,289,9.3336,6.0953,75.73,1083.92,-4.97,1.51,69.28716687,892,0.28,0.03
1803.4885,146.51149,152.8567,37.24369085,290,12.3197,7.5626,76.09,1095.24,-5.02,1.49,69.39188781,897,0.31,-0.12
1803.3227,146.67729,152.6933,37.32781283,291,16.248,8.7547,76.54,1106.05,-5.18,1.71,69.49157968,902,0.34,-0.24
1803.1569,146.84309,153.6133,37.41138554,292,16.6322,9.6177,76.84,1112.72,-5.36,1.46,69.56459151,907,0.38,-0.17
1802.9911,147.00889,155.3133,37.47162651,293,16.16,10.1415,77.14,1119.39,-5.24,1.55,69.63760334,912,0.42,-0.11
1802.8264,147.17363,157.5233,37.53186747,294,21.0469,10.25,77.49,1127.17,-5.09,2.09,69.71061517,917,0.46,-0.04
1802.6614,147.33857,156.9467,37.59210843,295,21.37,10.2986,77.84,1135.08,-5.25,1.45,69.783627,922,0.5,0.03
1802.4975,147.50252,154.45,37.6523494,296,11.995,10.2198,78.19,1143.11,-5.39,1.28,69.85663883,927,0.54,0.1
1802.3335,147.66648,150.6467,37.71259036,297,6.7454,10.0608,78.55,1152.64,-5.69,0.96,69.97937978,932,0.57,0.19
