year (AD),age (BP),d18OG_bul (permil),d18ON_pac (permil),cor_depth_cm (cm),x14Cage (yr BP)
-2297,4247,-0.225,0.532,66,4504
-2315,4265,-0.27,0.439,67,4518
-2333,4283,-0.303,0.428,68,4532
-2351,4301,-0.199,0.742,69,4546
-2369,4319,-0.668,0.486,70,4560
-2387,4337,-0.533,0.742,71,4574
-2405,4355,-0.527,0.635,72,4588
-2423,4373,-0.13,0.738,73,4602
-2441,4391,-0.055,0.584,74,4616
-2459,4409,-0.373,0.726,75,4630
-2476,4426,-0.076,0.672,76,4644
-2494,4444,-0.304,0.756,77,4658
-2512,4462,-0.377,0.728,78,4672
-2530,4480,-0.041,0.72,79,4686
-2548,4498,0.054,0.699,80,4700
-2566,4516,-0.471,0.686,81,4714
-2584,4534,-0.196,0.711,82,4728
-2602,4552,-0.463,0.674,83,4742
-2620,4570,0.149,0.79,84,4756
-2638,4588,0.485,0.801,85,4770
-2656,4606,-0.082,0.857,86,4784
-2674,4624,0.212,0.966,87,4798
-2692,4642,0.039,0.942,88,4812
-2710,4660,-0.182,0.862,89,4826
-2728,4678,-0.116,0.588,90,4840
-2746,4696,0,0.818,91,4854
-2763,4713,0.229,0.639,92,4868
-2781,4731,0.08,0.896,93,4882
-2799,4749,-0.06,0.987,94,4896
-2817,4767,0.267,0.658,95,4910
-2835,4785,0.294,0.751,96,4924
-2853,4803,-0.033,0.448,97,4938
-2871,4821,-0.268,0.589,98,4952
-2889,4839,-0.335,0.768,99,4966
-2907,4857,0.296,0.77,100,4980
-2922,4872,-0.014,0.7,101,4991
-2936,4886,-0.278,0.65,102,5002
-2951,4901,-0.169,0.726,103,5014
-2965,4915,-0.429,0.729,104,5025
-2980,4930,-0.286,0.711,105,5036
-2994,4944,-0.386,0.561,106,5047
-3009,4959,0.051,0.72,107,5058
-3024,4974,-0.096,0.742,108,5070
-3038,4988,-0.187,0.877,109,5081
-3053,5003,-9999,0.616,110,5092
-3067,5017,0.159,0.948,111,5103
-3082,5032,-0.069,0.758,112,5114
-3097,5047,-0.204,0.678,113,5126
-3111,5061,-0.475,0.614,114,5137
-3126,5076,-0.098,0.712,115,5148
-3140,5090,-0.101,0.894,116,5159
-3155,5105,-0.013,0.789,117,5170
-3169,5119,-0.278,0.707,118,5182
-3184,5134,0.255,0.762,119,5193
-3199,5149,-0.067,0.767,120,5204
-3213,5163,-0.511,0.854,121,5215
-3228,5178,-9999,0.654,122,5226
-3344,5294,0.384,0.773,130,5316
-3359,5309,0.13,0.771,131,5327
-3374,5324,-0.113,0.72,132,5338
-3388,5338,0.132,0.57,133,5350
-3403,5353,-0.217,0.726,134,5361
-3417,5367,-0.252,0.683,135,5372
-3432,5382,-0.292,0.607,136,5383
-3446,5396,-0.055,0.864,137,5394
-3461,5411,0.101,0.802,138,5406
-3476,5426,0.233,0.682,139,5417
-3490,5440,-0.178,0.646,140,5428
-3505,5455,-0.076,0.53,141,5439
-3519,5469,-0.57,0.529,142,5450
-3534,5484,0.248,0.63,143,5462
-3549,5499,0.022,0.584,144,5473
-3563,5513,0.119,0.748,145,5484
-3578,5528,0.11,0.511,146,5495
-3592,5542,-0.395,0.576,147,5506
-3607,5557,-0.191,0.646,148,5518
-3621,5571,-0.287,0.554,149,5529
-3636,5586,-0.138,0.497,150,5540
-3652,5602,-0.191,0.685,151,5555
-3668,5618,-0.381,0.625,152,5569
-3684,5634,0.172,0.386,153,5584
-3699,5649,-0.141,0.811,154,5598
-3715,5665,-0.326,0.341,155,5613
-3731,5681,-0.218,0.36,156,5628
-3747,5697,-0.479,0.493,157,5642
-3763,5713,-0.272,0.444,158,5657
-3779,5729,-0.225,0.635,159,5671
-3794,5744,-0.363,0.587,160,5686
-3810,5760,-0.629,0.505,161,5701
-3826,5776,-0.328,0.618,162,5715
-3842,5792,-0.073,0.471,163,5730
-3858,5808,-0.499,0.512,164,5744
-3874,5824,-0.444,0.685,165,5759
-3889,5839,0.151,0.599,166,5774
-3905,5855,-0.309,0.741,167,5788
-3921,5871,-0.17,0.44,168,5803
-3937,5887,-0.249,0.446,169,5817
-3953,5903,-0.333,0.541,170,5832
-3969,5919,-0.247,0.344,171,5847
-3984,5934,-0.532,0.668,172,5861
-4000,5950,0.245,0.531,173,5876
-4016,5966,-0.262,0.366,174,5890
-4032,5982,-0.135,0.558,175,5905
-4048,5998,-0.044,0.607,176,5920
-4064,6014,-0.013,0.406,177,5934
-4080,6030,-0.078,0.297,178,5949
-4095,6045,-0.113,0.503,179,5963
-4111,6061,-0.114,0.566,180,5978
-4127,6077,-0.035,0.356,181,5993
-4143,6093,-0.218,0.464,182,6007
-4159,6109,-0.433,0.469,183,6022
-4175,6125,-0.472,0.333,184,6036
-4190,6140,-0.139,0.516,185,6051
-4206,6156,0.409,0.746,186,6066
-4222,6172,-0.145,0.707,187,6080
-4238,6188,-0.139,0.607,188,6095
-4254,6204,-0.364,0.641,189,6109
-4270,6220,-0.104,0.599,190,6124
-4285,6235,-0.244,0.667,191,6139
-4301,6251,-0.055,0.588,192,6153
-4317,6267,0.284,0.707,193,6168
-4333,6283,-0.17,0.724,194,6182
-4349,6299,-0.21,0.669,195,6197
-4365,6315,-0.001,0.671,196,6212
-4380,6330,0.189,0.872,197,6226
-4396,6346,0.363,0.563,198,6241
-4412,6362,-0.349,0.604,199,6255
-4428,6378,-0.463,0.409,200,6270
-4438,6388,-0.178,0.376,201,6279
-4447,6397,0.08,0.617,202,6288
-4457,6407,0.324,0.721,203,6297
-4466,6416,-0.146,0.566,204,6306
-4476,6426,-0.217,0.74,205,6315
-4486,6436,-0.348,0.619,206,6324
-4495,6445,0.013,0.632,207,6333
-4505,6455,0.133,1.095,208,6342
-4515,6465,-0.383,0.778,209,6351
-4524,6474,-0.236,0.664,210,6360
-4534,6484,-0.125,0.533,211,6369
-4543,6493,-0.008,0.777,212,6378
-4553,6503,-0.236,0.667,213,6387
-4563,6513,-0.174,0.601,214,6396
-4572,6522,-0.721,0.509,215,6404
-4582,6532,-0.336,0.447,216,6413
-4592,6542,-0.183,0.56,217,6422
-4601,6551,-0.213,0.574,218,6431
-4611,6561,-0.311,0.563,219,6440
-4620,6570,0.035,0.721,220,6449
-4630,6580,-0.342,0.754,221,6458
-4640,6590,-0.202,0.487,222,6467
-4649,6599,0.065,0.361,223,6476
-4659,6609,-0.202,0.528,224,6485
-4678,6628,-0.041,0.682,226,6503
-4688,6638,-0.212,0.538,227,6512
-4697,6647,-0.053,0.585,228,6521
-4707,6657,-0.103,0.622,229,6530
-4722,6672,-0.256,0.678,230,6543
-4736,6686,0.249,0.783,231,6555
-4751,6701,0.138,0.706,232,6568
-4766,6716,-0.173,0.513,233,6580
-4780,6730,-0.35,0.573,234,6593
-4795,6745,-0.053,0.635,235,6605
-4810,6760,-0.119,0.713,236,6618
-4824,6774,-0.103,0.378,237,6630
-4839,6789,-0.828,0.495,238,6643
-4854,6804,0.189,0.618,239,6655
-4868,6818,-0.296,0.48,240,6668
-4883,6833,-0.307,0.479,241,6680
-4897,6847,-0.198,0.707,242,6693
-4912,6862,-0.149,0.334,243,6705
-4927,6877,-0.18,0.416,244,6718
-4941,6891,-0.216,0.55,245,6730
-4956,6906,-0.34,0.066,246,6743
-4971,6921,-0.407,0.335,247,6755
-4985,6935,0.015,0.199,248,6768
-5000,6950,0.053,0.455,249,6780
-5007,6957,-0.402,0.229,250,6787
-5015,6965,-0.152,0.497,251,6793
-5022,6972,-0.263,0.297,252,6800
-5029,6979,-0.407,0.186,253,6807
-5036,6986,-0.267,0.044,254,6813
-5044,6994,-0.503,0.459,255,6820
-5051,7001,-0.576,0.443,256,6827
-5058,7008,-0.359,0.014,257,6833
-5065,7015,-0.012,0.263,258,6840
-5073,7023,0.002,0.452,259,6847
-5080,7030,-0.698,0.471,260,6853
-5087,7037,-0.357,0.389,261,6860
-5116,7066,-0.241,0.511,265,6887
-5167,7117,-0.215,0.15,272,6933
-5175,7125,-0.204,0.34,273,6940
-5182,7132,-0.478,0.268,274,6947
-5189,7139,-0.473,0.295,275,6953
-5196,7146,-0.447,0.49,276,6960
-5204,7154,-0.431,0.26,277,6967
-5211,7161,-0.311,0.589,278,6973
-5218,7168,-0.572,0.291,279,6980
-5226,7176,-0.147,0.429,280,6987
-5233,7183,-0.329,0.567,281,6993
-5240,7190,-0.022,0.584,282,7000
-5247,7197,0.087,0.571,283,7007
-5255,7205,-0.067,0.464,284,7013
-5262,7212,-0.189,0.429,285,7020
-5269,7219,-0.316,-0.14,286,7027
-5276,7226,-0.353,0.3,287,7033
-5284,7234,0.117,0.296,288,7040
-5291,7241,-0.161,0.209,289,7047
-5298,7248,-0.536,0.196,290,7053
-5306,7256,-0.215,0.374,291,7060
-5313,7263,0.069,0.439,292,7067
-5320,7270,-0.197,0.386,293,7073
-5327,7277,-0.219,0.285,294,7080
-5335,7285,-0.13,0.187,295,7087
-5342,7292,-0.161,0.201,296,7093
-5349,7299,-0.351,0.342,297,7100
-5356,7306,-0.01,0.321,298,7107
-5364,7314,-0.196,0.399,299,7113
-5371,7321,-0.113,0.441,300,7120
-5378,7328,-0.11,0.479,301,7129
-5386,7336,-0.577,0.45,302,7138
-5393,7343,0.084,0.174,303,7146
-5400,7350,0.188,0.353,304,7155
-5408,7358,-0.277,0.422,305,7164
-5415,7365,-0.549,0.141,306,7173
-5422,7372,-0.254,0.248,307,7182
-5466,7416,-0.421,0.335,313,7234
-5473,7423,-0.43,0.116,314,7243
-5481,7431,-0.642,0.589,315,7252
-5488,7438,-0.164,0.509,316,7261
-5495,7445,-0.196,0.488,317,7270
-5502,7452,0.015,0.535,318,7278
-5510,7460,-0.211,0.393,319,7287
-5517,7467,0.166,0.362,320,7296
-5524,7474,0.058,0.152,321,7305
-5532,7482,0.224,0.413,322,7314
-5539,7489,-0.167,0.441,323,7322
-5546,7496,0.038,0.293,324,7331
-5561,7511,0.216,0.165,326,7349
-5568,7518,-0.112,0.583,327,7358
-5575,7525,0.236,0.378,328,7366
-5583,7533,0.15,0.397,329,7375
-5590,7540,0.072,0.555,330,7384
-5597,7547,-0.132,0.346,331,7393
-5605,7555,-0.049,0.681,332,7402
-5612,7562,-0.09,0.919,333,7410
-5619,7569,-0.206,0.765,334,7419
-5627,7577,0.269,1.081,335,7428
-5634,7584,-0.045,0.808,336,7437
-5641,7591,-0.163,0.748,337,7446
-5648,7598,-0.032,0.641,338,7454
-5656,7606,0.156,0.81,339,7463
-5663,7613,0.105,0.699,340,7472
-5670,7620,-0.496,0.702,341,7481
-5678,7628,-0.203,0.542,342,7490
-5685,7635,-0.352,0.567,343,7498
-5692,7642,0.259,0.502,344,7507
-5700,7650,0.151,0.844,345,7516
-5707,7657,-0.302,0.625,346,7525
-5714,7664,-0.111,0.587,347,7534
-5721,7671,-0.25,0.545,348,7542
-5729,7679,-0.132,0.725,349,7551
-5736,7686,-0.269,0.591,350,7560
-5746,7696,-0.183,0.68,351,7569
-5755,7705,-0.173,0.626,352,7579
-5765,7715,-0.128,0.721,353,7588
-5774,7724,0.103,0.782,354,7598
-5784,7734,-0.208,0.754,355,7607
-5794,7744,0.046,0.765,356,7616
-5803,7753,0.258,0.879,357,7626
-5813,7763,-0.056,0.701,358,7635
-5823,7773,0.112,0.725,359,7645
-5832,7782,0.028,0.634,360,7654
-5842,7792,-0.126,0.636,361,7663
-5851,7801,0.185,0.746,362,7673
-5861,7811,-0.059,1.041,363,7682
-5871,7821,0.265,0.714,364,7692
-5880,7830,0.164,0.727,365,7701
-5890,7840,0.052,0.617,366,7710
-5900,7850,0.085,0.632,367,7720
-5909,7859,0.148,0.727,368,7729
-5919,7869,0.497,0.879,369,7739
-5928,7878,0.246,1.115,370,7748
-5938,7888,-0.135,0.594,371,7757
-5948,7898,0.067,0.637,372,7767
-5957,7907,0.244,0.644,373,7776
-5967,7917,0.232,0.447,374,7786
-5977,7927,0.174,0.736,375,7795
-5986,7936,0.16,0.77,376,7804
-5996,7946,0.097,0.707,377,7814
-6005,7955,-0.006,0.576,378,7823
-6015,7965,0.149,0.612,379,7833
-6025,7975,-0.027,0.899,380,7842
-6034,7984,0.238,0.782,381,7851
-6044,7994,0.221,0.865,382,7861
-6053,8003,0.08,0.797,383,7870
-6063,8013,0.04,0.778,384,7880
-6073,8023,0.256,0.957,385,7889
-6082,8032,0.113,0.827,386,7898
-6092,8042,0.012,0.588,387,7908
-6102,8052,0.184,0.642,388,7917
-6111,8061,0.251,0.871,389,7927
-6121,8071,0.256,0.999,390,7936
-6130,8080,0.452,0.787,391,7945
-6140,8090,0.241,0.705,392,7955
-6150,8100,0.204,0.726,393,7964
-6159,8109,0.22,0.826,394,7974
-6169,8119,-0.167,0.836,395,7983
-6179,8129,-0.101,0.748,396,7992
-6188,8138,0.081,0.712,397,8002
-6198,8148,-0.108,0.643,398,8011
-6207,8157,0.135,0.735,399,8021
-6217,8167,-0.263,0.561,400,8030
-6225,8175,0.244,0.631,401,8038
-6233,8183,0.121,0.844,402,8046
-6241,8191,0.096,0.753,403,8053
-6249,8199,-0.048,0.713,404,8061
-6258,8208,0.009,0.762,405,8069
-6266,8216,0.096,0.662,406,8077
-6274,8224,0.053,0.606,407,8085
-6282,8232,0.393,0.796,408,8092
-6290,8240,0.442,0.79,409,8100
-6298,8248,0.213,1.003,410,8108
-6306,8256,0.496,0.993,411,8116
-6314,8264,0.023,0.823,412,8124
-6323,8273,0.289,0.93,413,8131
-6331,8281,0.485,0.732,414,8139
-6339,8289,0.357,0.871,415,8147
-6347,8297,0.137,0.715,416,8155
-6355,8305,0.013,0.739,417,8163
-6363,8313,0.317,0.878,418,8170
-6371,8321,0.287,0.774,419,8178
-6379,8329,0.423,1.184,420,8186
-6388,8338,0.273,1.064,421,8194
-6396,8346,0.502,0.955,422,8202
-6404,8354,0.393,0.896,423,8209
-6412,8362,0.289,0.796,424,8217
-6428,8378,-0.016,0.657,426,8233
-6436,8386,0.279,0.857,427,8241
-6444,8394,0.225,0.774,428,8248
-6452,8402,0.304,0.812,429,8256
-6461,8411,0.044,1.044,430,8264
-6469,8419,0.168,0.729,431,8272
-6477,8427,0.321,0.658,432,8280
-6485,8435,0.219,0.686,433,8287
-6493,8443,0.212,1.07,434,8295
-6501,8451,-0.022,0.826,435,8303
-6509,8459,0.09,0.826,436,8311
-6517,8467,0.334,0.916,437,8319
-6526,8476,0.27,0.764,438,8326
-6534,8484,0.168,0.91,439,8334
-6542,8492,-0.03,0.772,440,8342
-6550,8500,0.303,0.907,441,8350
-6558,8508,0.119,0.814,442,8358
-6566,8516,0.055,0.848,443,8365
-6574,8524,0.342,0.812,444,8373
-6582,8532,0.183,0.922,445,8381
-6591,8541,0.76,0.988,446,8389
-6599,8549,0.194,0.846,447,8397
-6607,8557,-0.166,0.994,448,8404
-6615,8565,-0.022,0.681,449,8412
-6623,8573,-0.333,0.618,450,8420
-6624,8574,0.353,0.615,451,8421
-6625,8575,0.335,0.634,452,8423
-6627,8577,0.137,0.767,453,8424
-6628,8578,0.207,0.993,454,8426
-6629,8579,-0.049,0.857,455,8427
-6630,8580,-0.177,0.682,456,8429
-6631,8581,-0.102,0.799,457,8430
-6633,8583,0.249,0.854,458,8431
-6634,8584,0.244,0.883,459,8433
-6635,8585,-0.081,0.952,460,8434
-6636,8586,0.197,0.66,461,8436
-6637,8587,0.303,0.623,462,8437
-6639,8589,0.124,1.09,463,8439
-6640,8590,0.038,0.858,464,8440
-6641,8591,0.215,1.019,465,8441
-6642,8592,0.255,0.874,466,8443
-6643,8593,-0.048,0.746,467,8444
-6645,8595,0.438,1.007,468,8446
-6646,8596,0.402,0.913,469,8447
-6647,8597,0.034,0.823,470,8449
-6648,8598,0.002,0.728,471,8450
-6649,8599,0.425,0.816,472,8451
-6651,8601,0.541,0.812,473,8453
-6652,8602,0.224,0.851,474,8454
-6653,8603,0.354,0.901,475,8456
-6654,8604,0.379,0.964,476,8457
-6655,8605,0.257,0.996,477,8459
-6657,8607,0.617,1.101,478,8460
-6658,8608,0.031,0.784,479,8461
-6659,8609,0.241,0.903,480,8463
-6660,8610,0.367,1.044,481,8464
-6661,8611,0.098,0.829,482,8466
-6663,8613,0.393,1.139,483,8467
-6664,8614,0.221,0.808,484,8469
-6665,8615,0.215,0.99,485,8470
-6683,8633,-0.099,0.855,487,8484
-6693,8643,0.361,0.852,488,8491
-6702,8652,0.242,0.898,489,8498
-6711,8661,0.361,0.977,490,8505
-6720,8670,0.115,0.755,491,8512
-6729,8679,0.373,0.716,492,8519
-6738,8688,0.47,0.84,493,8526
-6748,8698,0.312,0.854,494,8533
-6757,8707,0.458,0.748,495,8540
-6766,8716,0.21,0.85,496,8547
-6775,8725,-0.17,0.851,497,8554
-6793,8743,-0.143,0.759,499,8568
-6803,8753,0.154,0.851,500,8575
-6812,8762,0.297,1.078,501,8582
-6821,8771,0.363,0.696,502,8589
-6830,8780,0.413,0.866,503,8596
-6839,8789,0.213,0.937,504,8603
-6848,8798,0.588,1.13,505,8610
-6858,8808,-0.352,0.81,506,8617
-6867,8817,0.124,0.697,507,8624
-6876,8826,0.318,0.84,508,8631
-6885,8835,-0.059,0.898,509,8638
-6894,8844,0.085,0.806,510,8645
-6903,8853,0.146,0.658,511,8652
-6913,8863,-0.151,0.979,512,8659
-6922,8872,0.003,0.711,513,8666
-6931,8881,0.167,0.912,514,8673
-6940,8890,0.531,0.67,515,8680
-6947,8897,0.176,0.85,516,8689
-6954,8904,0.037,0.96,517,8699
-6962,8912,0.068,0.972,518,8708
-6969,8919,0.09,0.912,519,8718
-6976,8926,0.118,0.941,520,8727
-6983,8933,-0.028,0.756,521,8736
-6991,8941,0.101,0.803,522,8746
-6998,8948,0.37,1.072,523,8755
-7005,8955,0.117,1.073,524,8765
-7012,8962,-0.258,1.1,525,8774
-7020,8970,0.127,0.804,526,8783
-7027,8977,0.194,1.005,527,8793
-7034,8984,0.119,0.6,528,8802
-7041,8991,-0.033,0.594,529,8812
-7049,8999,-0.123,0.941,530,8821
-7056,9006,0.009,0.795,531,8830
-7063,9013,0.386,0.916,532,8840
-7070,9020,0.337,0.884,533,8849
-7078,9028,0.156,0.882,534,8859
-7085,9035,0.041,0.865,535,8868
-7092,9042,0.032,0.869,536,8877
-7099,9049,0.081,1.205,537,8887
-7107,9057,-0.197,0.842,538,8896
-7114,9064,0.308,0.834,539,8906
-7121,9071,0.444,0.719,540,8915
-7128,9078,0.404,0.808,541,8924
-7135,9085,0.158,0.879,542,8934
-7143,9093,0.635,0.997,543,8943
-7150,9100,0.181,0.893,544,8953
-7157,9107,0.262,0.855,545,8962
-7164,9114,0.282,0.971,546,8971
-7172,9122,0.017,0.993,547,8981
-7179,9129,0.046,1.049,548,8990
-7186,9136,0.387,1.139,549,9000
-7193,9143,0.205,1.056,550,9009
-7201,9151,0.312,1.185,551,9018
-7208,9158,0.269,0.993,552,9028
-7215,9165,0.53,1.227,553,9037
-7222,9172,0.312,1.013,554,9047
-7230,9180,0.493,1.083,555,9056
-7237,9187,0.599,0.958,556,9065
-7244,9194,0.467,1.14,557,9075
-7251,9201,0.24,1.031,558,9084
-7259,9209,-0.003,1.076,559,9094
-7266,9216,0.286,1.11,560,9103
-7273,9223,0.314,1.096,561,9112
-7280,9230,0.477,0.984,562,9122
-7288,9238,0.623,1.007,563,9131
-7295,9245,0.376,0.964,564,9141
-7302,9252,0.192,1.005,565,9150
-7313,9263,0.14,1.116,566,9156
-7324,9274,0.06,0.911,567,9162
-7336,9286,0.017,0.788,568,9168
-7347,9297,0.087,1.029,569,9174
-7358,9308,0.402,1.137,570,9180
-7369,9319,0.112,1.059,571,9186
-7380,9330,0.335,1.247,572,9192
-7392,9342,0.322,1.178,573,9198
-7403,9353,0.381,1.168,574,9204
-7414,9364,-0.054,0.996,575,9210
-7425,9375,0.511,1.055,576,9216
-7436,9386,0.446,1.264,577,9222
-7448,9398,0.459,1.029,578,9228
-7459,9409,0.279,1.173,579,9234
-7470,9420,0.196,0.785,580,9240
-7481,9431,0.449,1.138,581,9246
-7492,9442,0.393,1.145,582,9252
-7504,9454,0.254,1.336,583,9258
-7515,9465,0.29,1.235,584,9264
-7526,9476,0.247,1.087,585,9270
-7537,9487,0.366,1.062,586,9276
-7560,9510,0.601,-9999,588,9288
-7571,9521,0.357,0.863,589,9294
-7593,9543,0.358,-9999,591,9306
-7604,9554,0.487,1.028,592,9312
-7616,9566,0.408,1.123,593,9318
-7627,9577,0.454,1.074,594,9324
-7638,9588,0.181,1.12,595,9330
-7649,9599,0.531,0.962,596,9336
-7660,9610,0.523,1.325,597,9342
-7672,9622,0.502,1.176,598,9348
-7683,9633,0.423,1.121,599,9354
-7694,9644,0.416,1.082,600,9360
-7705,9655,0.513,0.991,601,9366
-7716,9666,0.555,1.26,602,9372
-7728,9678,0.462,1.399,603,9378
-7739,9689,0.358,1.193,604,9384
-7750,9700,0.375,1.004,605,9390
-7761,9711,0.409,1.293,606,9396
-7772,9722,0.352,1.035,607,9402
-7784,9734,0.371,0.974,608,9408
-7795,9745,0.212,0.971,609,9414
-7806,9756,0.26,1.079,610,9420
-7817,9767,0.324,1.247,611,9426
-7828,9778,0.117,1.286,612,9432
-7840,9790,0.209,0.958,613,9438
-7851,9801,0.203,1.145,614,9444
-7862,9812,0.636,0.897,615,9450
-7865,9815,0.403,1.27,616,9454
-7867,9817,0.802,1.113,617,9458
-7870,9820,0.674,1.159,618,9463
-7872,9822,0.833,1.311,619,9467
-7875,9825,0.642,1.086,620,9471
-7877,9827,0.509,1.323,621,9475
-7880,9830,0.172,1.08,622,9479
-7882,9832,0.194,0.982,623,9484
-7885,9835,0.043,1.008,624,9488
-7888,9838,0.685,1.014,625,9492
-7890,9840,0.405,1.058,626,9496
-7893,9843,0.17,1.012,627,9500
-7895,9845,0.48,1.191,628,9505
-7898,9848,0.576,1.089,629,9509
-7900,9850,0.481,0.904,630,9513
-7903,9853,0.224,0.934,631,9517
-7906,9856,0.034,0.9,632,9521
-7911,9861,0.47,-9999,634,9530
-7916,9866,0.121,-9999,636,9538
-7923,9873,-0.039,-9999,639,9551
-7926,9876,0.374,0.92,640,9555
-7929,9879,0.257,1.125,641,9559
-7931,9881,0.464,1.139,642,9563
-7934,9884,0.217,1.109,643,9568
-7936,9886,0.307,1.147,644,9572
-7939,9889,0.319,1.064,645,9576
-7941,9891,0.13,1.171,646,9580
-7944,9894,0.047,1.252,647,9584
-7946,9896,0.596,1.227,648,9589
-7949,9899,0.246,1.018,649,9593
-7952,9902,0.23,1.048,650,9597
-7954,9904,0.291,1.057,651,9601
-7957,9907,0.546,1.294,652,9605
-7959,9909,0.348,1.185,653,9610
-7962,9912,0.454,0.978,654,9614
-7964,9914,0.422,1.129,655,9618
-7967,9917,0.705,1.159,656,9622
-7970,9920,0.215,1.087,657,9626
-7972,9922,0.348,1.065,658,9631
-7975,9925,0.545,1.111,659,9635
-7977,9927,0.21,1.094,660,9639
-7980,9930,0.55,1.185,661,9643
-7982,9932,0.428,1.201,662,9647
-7985,9935,0.576,1.073,663,9652
-7987,9937,0.577,1.097,664,9656
-7990,9940,0.199,0.805,665,9660
-7993,9943,0.299,1.049,666,9663
-7995,9945,0.197,1.045,667,9666
-7998,9948,0.066,1.186,668,9668
-8000,9950,0.44,1.042,669,9671
-8003,9953,0.184,1.048,670,9674
-8005,9955,0.649,1.137,671,9677
-8008,9958,0.565,1.234,672,9680
-8011,9961,0.576,1.13,673,9682
-8013,9963,0.591,1.081,674,9685
-8016,9966,0.452,1.06,675,9688
-8018,9968,-0.212,0.866,676,9691
-8021,9971,0.385,0.936,677,9694
-8024,9974,-0.097,1.093,678,9696
-8026,9976,0.083,0.935,679,9699
-8029,9979,0.346,1.186,680,9702
-8031,9981,0.091,0.848,681,9705
-8034,9984,0.459,0.912,682,9708
-8036,9986,0.118,0.954,683,9710
-8039,9989,0.085,0.831,684,9713
-8042,9992,0.205,0.965,685,9716
-8044,9994,0.14,0.804,686,9719
-8047,9997,0.035,1.128,687,9722
-8049,9999,0.041,1.138,688,9724
-8052,10002,0.288,0.969,689,9727
-8057,10007,0.327,1.176,691,9733
-8060,10010,0.28,1.229,692,9736
-8062,10012,0.489,1.09,693,9738
-8065,10015,0.494,1.085,694,9741
-8067,10017,0.31,1.069,695,9744
-8070,10020,0.201,1.198,696,9747
-8073,10023,0.222,1.024,697,9750
-8075,10025,-0.004,1.107,698,9752
-8078,10028,0.27,1.203,699,9755
-8080,10030,0.113,1.202,700,9758
-8083,10033,0.519,1.172,701,9761
-8085,10035,0.587,1.189,702,9764
-8088,10038,0.327,1.067,703,9766
-8091,10041,0.232,1.162,704,9769
-8093,10043,0.713,1.096,705,9772
-8096,10046,0.303,1.036,706,9775
-8098,10048,0.498,0.824,707,9778
-8101,10051,0.019,1.142,708,9780
-8104,10054,-0.017,0.977,709,9783
-8106,10056,0.472,0.924,710,9786
-8109,10059,0.188,0.965,711,9789
-8111,10061,0.306,1.11,712,9792
-8114,10064,0.351,1.032,713,9794
-8116,10066,0.132,0.988,714,9797
