year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-350,2300,96.8919690541685,45.3010926919747,148.482845416362
-400,2350,89.1751232362329,36.8847373267572,141.465509145709
-450,2400,74.1495724406508,23.6381900514002,124.660954829901
-500,2450,48.9758086460968,7.31327306630203,90.6383442258917
-550,2500,52.7354716408949,7.3922960548986,98.0786472268911
-600,2550,52.6953462553081,10.0039339858459,95.3867585247703
-650,2600,39.5902253315593,5.19693486569571,73.9835157974228
-700,2650,34.0962526066015,2.61163793094729,65.5808672822558
-750,2700,31.9642025550333,0,63.9284051100665
-800,2750,32.2090202750895,0,64.418040550179
-850,2800,32.390200285922504,0,64.7804005718449
-900,2850,35.0669023561849,2.72004649494629,67.4137582174235
-950,2900,37.762107387035,5.45052455879218,70.0736902152779
-1000,2950,40.4758153786655,8.19143419158334,72.7601965657477
-1050,3000,40.6565030875303,8.22272889837349,73.0902772766872
-1100,3050,40.8371907963932,8.25402360520931,73.4203579875771
-1150,3100,51.3406031734277,10.8011900644639,91.8800162823915
-1200,3150,82.3629343771903,26.6566682733578,138.069200481023
-1250,3200,114.765500875533,45.333221833743,184.197779917322
-1300,3250,140.338633853706,68.5410907004356,212.136177006977
-1350,3300,146.803359778448,81.3222761268023,212.284443430094
-1400,3350,150.491504101761,88.5502983501689,212.432709853354
-1450,3400,150.697329536497,88.8136827961204,212.580976276874
-1500,3450,149.515944111916,86.3026455231773,212.729242700654
-1550,3500,146.144460819341,79.4114125141294,212.877509124553
-1600,3550,126.410333117151,63.3811993360822,189.43946689822
-1650,3600,106.66168271633,47.2859728006461,166.037392632014
-1700,3650,92.5953754670057,41.2926394443386,143.898111489673
-1750,3700,94.2696649970667,44.3986815156353,144.140648478498
-1800,3750,90.1343770065273,45.0339338523049,135.23482016075
-1850,3800,83.9004113097767,42.7030714459255,125.097751173628
-1900,3850,77.6564024038916,40.3527593480959,114.960045459687
-1950,3900,75.9711517525478,40.4545386003297,111.487764904766
-2000,3950,71.5373398378551,37.5446069559118,105.530072719799
-2050,4000,69.5765612163136,34.6271361076247,104.525986325002
-2100,4050,68.849553566871,31.7021260554685,105.996981078274
-2150,4100,70.865615831864,31.7812876960947,109.949943967633
-2200,4150,71.0214933048893,31.860449336721,110.182537273058
-2250,4200,69.3042728828095,31.9396109773472,106.668934788272
-2300,4250,70.3633965770107,35.0757187378401,105.651074416181
-2350,4300,68.6425510283605,35.1578849493695,102.127217107352
-2400,4350,68.8019781031229,35.2514609235335,102.352495282712
-2450,4400,66.1922357899656,32.2995005404652,100.084971039466
-2500,4450,59.3757934153361,24.6685385172034,94.0830483134688
-2550,4500,52.5612934038447,17.013910483167,88.1086763245224
-2600,4550,45.7676523108198,9.34051134814435,82.1947932734953
-2650,4600,45.9793465158921,9.39035215064066,82.5683408811435
-2700,4650,46.1663867965479,9.43419524298898,82.8985783501069
-2750,4700,46.3098565974591,9.46714571540113,83.152567479517
-2800,4750,46.4191235717706,9.49154548116338,83.3467016623778
-2850,4800,46.5283905460728,9.51594524692563,83.5408358452199
-2900,4850,49.1072222437634,9.54007258902046,88.6743718985064
-2950,4900,51.6768159132054,9.5612388042955,93.7923930221154
-3000,4950,54.2371715544082,9.57944389275074,98.8948992160656
-3050,5000,54.3187244439737,9.59496027805362,99.0424886098938
-3100,5050,54.4002773335518,9.6104766633565,99.1900780037472
-3150,5100,54.4818302231735,9.62599304865938,99.3376673976877
-3200,5150,54.5633831128388,9.64150943396226,99.4852567917153
-3250,5200,54.644936002535,9.65702581926514,99.632846185805
-3300,5250,52.4889358979468,6.44318934127772,98.5346824546158
-3350,5300,52.570488787643,6.4587057265806,98.6822718487055
-3400,5350,52.6520416773393,6.47422211188348,98.8298612427951
-3450,5400,54.97114756132,9.71909136047666,100.223203762163
-3500,5450,59.7407352140141,17.8597111883482,101.62175923968
-3550,5500,64.5174396470195,26.0132613373055,103.021617956733
-3600,5550,72.1850262397852,37.4401274412446,106.929925038326
-3650,5600,75.1755841535811,40.7599925521351,109.591175755027
-3700,5650,78.1700313710658,44.0850297914598,112.255032950672
-3750,5700,88.5162358007123,55.8157441336441,121.216727467781
-3800,5750,98.9756617419409,67.7637788223906,130.187544661491
-3850,5800,109.548309194438,79.9291338570174,139.167484531859
-3900,5850,107.701361943557,77.2603893232439,138.142334563871
-3950,5900,99.167819520559,66.0100612393906,132.325577801727
-4000,5950,90.6095166567536,54.6544728779047,126.564560435602
-4050,6000,90.4457700825898,55.2853414392523,125.606198725927
-4100,6050,89.650571681304,55.6824491889734,123.618694173635
-4150,6100,88.8551980043865,56.0668183895571,121.643577619216
-4200,6150,81.9383043955859,47.7336489374656,116.142959853706
-4250,6200,89.5687893942239,56.9295598012869,122.208018987161
-4300,6250,97.127449156819,66.0508697411003,128.204028572538
-4350,6300,104.6174945359,75.101190965937107,134.133798105863
-4400,6350,107.727441593326,78.8351365805496,136.619746606103
-4450,6400,110.841277954551,82.5759386484559,139.106617260646
-4500,6450,113.959003619631,86.3235971696561,141.594410069607
-4550,6500,114.123786447282,86.4664762448717,141.781096649692
-4600,6550,114.276890501371,86.5859977728498,141.967783229893
-4650,6600,114.418315781842,86.6821617535903,142.154469810094
-4700,6650,114.558900190595,86.7766439909297,142.341156390259
-4750,6700,114.699484599231,86.8711262282691,142.527842970193
-4800,6750,114.840069007751,86.9656084656085,142.714529549894
-4850,6800,114.980653416173,87.0600907029478,142.901216129398
-4900,6850,112.719949861406,83.5191956412195,141.920704081594
-4950,6900,110.456317464798,79.9743638196019,140.938271109994
-5000,6950,108.189756226434,76.4255952380952,139.953917214772
-5050,7000,113.17504365349,78.8541899932056,147.495897313774
-5100,7050,130.874606772028,87.161038208579,174.588175335476
-5150,7100,148.568241022687,95.4813328906197,201.655149154754
-5200,7150,166.250041265611,103.826599582185,228.673482949037
-5250,7200,171.209668569317,106.310901127774,236.108436010859
-5300,7250,171.323679848835,106.433912485448,236.213447212222
-5350,7300,153.893665092687,98.2770407949416,209.510289390432
-5400,7350,136.46957920444,90.1067226377679,182.832435771113
-5450,7400,119.057327323928,81.9114324710694,156.203222176788
-5500,7450,113.752321086341,79.6251305455877,147.879511627094
-5550,7500,102.051872839459,68.1185988284203,135.985146850498
-5600,7550,102.183670722455,68.2012707860922,136.166070658817
-5650,7600,107.740462446483,70.6759677125437,144.804957180422
-5700,7650,119.692696179697,82.3708944306518,157.014497928742
-5750,7700,137.315184015178,90.8525467121833,183.777821318173
-5800,7750,150.101873998204,96.9556204915744,203.248127504833
-5850,7800,162.884603493382,103.068298890042,222.700908096721
-5900,7850,162.998614772868,103.191310247688,222.805919298048
-5950,7900,167.93068475735,105.72939765979,230.131971854909
-6000,7950,172.860786361887,108.271326919512,237.450245804262
-6050,8000,177.788919586437,110.817098026805,244.760741146069
-6100,8050,177.897025725963,110.951634927158,244.842416524768
-6150,8100,173.194946680187,108.655728382543,237.734164977831
-6200,8150,168.494836014283,106.355979990256,230.63369203831
-6250,8200,163.796693728323,104.052389750378,223.540997706268
-6300,8250,163.910705007494,104.175401107747,223.64600890724
-6350,8300,164.024716286781,104.298412465219,223.751020108343
-6400,8350,159.446877446506,95.0377235834369,223.856031309576
-6450,8400,154.864117656486,85.7671928020328,223.961042510939
-6500,8450,150.276436916604,76.4868201209058,224.066053712302
-6550,8500,150.375685346538,76.580305779411,224.171064913665
-6600,8550,150.474933776396,76.6737914378498,224.276076114942
-6650,8600,137.366745696713,70.6001746067509,204.133316786675
-6700,8650,124.267043986512,64.5254874687359,184.008600504289
-6750,8700,111.17582864587,58.4497300238712,163.901927267869
-6800,8750,111.300536184251,58.5400047616281,164.061067606873
-6850,8800,110.806985649234,58.6302794993936,162.983691799075
-6900,8850,110.313084246141,58.7205542371881,161.905614255094
-6950,8900,109.820289342817,58.8128692899976,160.827709395636
-7000,8950,115.992218974337,68.5169719960213,163.467465952653
-7050,9000,122.206536328103,78.2992594326814,166.113813223524
-7100,9050,128.461784036516,88.1576912854515,168.76587678758
-7150,9100,123.369855137771,78.8150341541207,167.924676121422
-7200,9150,129.50690042185,71.81850431827,187.19529652543
-7250,9200,121.407643181372,58.5496773183503,184.265609044395
-7300,9250,112.747411969737,52.3721233765069,173.122700562968
-7350,9300,85.4234466200446,33.930194223599,136.91669901649001
-7400,9350,69.76080938171,21.6690355414512,117.852583221969
-7450,9400,60.0070541248965,11.8925631699354,108.121545079858
-7500,9450,60.3537178610134,11.9428120212891,108.764623700738
-7550,9500,63.3073045554119,11.9930608727774,114.621548238046
-7600,9550,60.2009760454705,8.01212353238782,112.389828558553
-7650,9600,54.4123809330169,4.01443657479536,104.810325291238
-7700,9650,52.03478991669,0,104.06957983338
-7750,9700,52.2357853225159,0,104.471570645032
-7800,9750,52.4367807278032,0,104.873561455606
-7850,9800,52.6596884497061,4.11493427767782,101.204442621734
-7900,9850,56.363924954563,8.24661817255855,104.481231736567
-7950,9900,60.0899300356417,12.3950516845795,107.784808386704
-8000,9950,60.3562311663746,12.4453005357215,108.267161797028
-8050,10000,60.6225322953399,12.4955493864595,108.74951520422
-8100,10050,57.298518023638,8.3471158744386,106.249920172837
-8150,10100,53.9527351804678,4.18193274561876,103.723537615317
-8200,10150,50.780570825935,0,101.56114165187
-8250,10200,55.6673753209385,4.50647820363266,106.828272438244
-8300,10250,72.7230508145504,20.4801982519562,124.965903377145
-8350,10300,77.7599692684979,25.0956666584763,130.424271878519
-8400,10350,78.4709249999138,25.2562052640354,131.685644735792
-8450,10400,70.0526577885018,14.0010504198889,126.104265157115
-8500,10450,66.972080298348,9.3855820133688,124.558578583327
-8550,10500,63.8662386068101,4.71856520417699,123.013912009443
-8600,10550,57.8599439814415,0,115.719887962883
-8650,10600,58.4785247310246,0,116.957049462049
-8700,10650,59.0971055218464,0,118.194211043693
-8750,10700,59.7156862902776,0,119.431372580555
-8800,10750,60.334267064369,0,120.668534128738
-8850,10800,60.952847813952,0,121.905695627904
-8900,10850,61.571428568483,0,123.142857136966
-8950,10900,62.190009329964,0,124.380018659928
-9000,10950,62.8085900795471,0,125.617180159094
-9050,11000,63.427170865421,0,126.854341730842
-9100,11050,64.045751626902,0,128.091503253804
-9150,11100,64.6643324150092,0,129.328664830018
-9200,11150,69.0382083989486,0,138.076416797897
-9250,11200,75.6360745712013,0,151.272149142403
-9300,11250,91.8568863242085,8.56993717664449,175.143835471773
-9350,11300,126.755004664858,44.3404958541214,209.169513475594
-9400,11350,170.347104992198,97.4827692571036,243.211440727292
-9450,11400,216.702879768127,155.4279786789,277.977780857354
-9500,11450,240.593453008611,186.482799402291,294.70410661493
-9550,11500,257.284222718797,203.378220012613,311.190225424982
-9600,11550,261.529998458749,207.196406747505,315.863590169993
-9650,11600,265.75,211,320.5
-9700,11650,266.193458980044,211.886917960089,320.5
-9750,11700,266.636917960089,212.773835920177,320.5
-9800,11750,267.080376940133,213.660753880266,320.5
-9850,11800,267.523835920177,214.547671840355,320.5
-9900,11850,244.597503233555,183.887703252033,305.307303215078
-9950,11900,229.090375726287,172.240618414881,285.940133037694
-10000,11950,213.699232122768,160.659204267708,266.739259977827
-10050,12000,213.061298127389,173.799979846796,252.322616407982
-10100,12050,213.852708789005,174.883909817477,252.821507760532
-10150,12100,214.568270352613,175.816141592144,253.320399113082
-10200,12150,223.900413974747,183.406773071445,264.394054878049
-10250,12200,215.738174427199,176.788617886179,254.687730968219
-10300,12250,207.53580007391,169.997805801922,245.073794345898
-10350,12300,199.333425720621,163.114606430155,235.552245011086
-10400,12350,199.776884700665,163.225471175166,236.328298226164
-10450,12400,200.22034368071,163.336335920177,237.104351441242
-10500,12450,200.663802660754,163.447200665188,237.880404656319
-10550,12500,209.753094974132,171.198840539542,248.307349408721
-10600,12550,218.842387287509,179.042867701404,258.641906873614
-10650,12600,215.82751293422,176.023512564671,255.631513303769
-10700,12650,207.625138580931,168.49360218034,246.756674981523
-10750,12700,208.068597560976,168.881628787879,247.255566334072
-10800,12750,211.970389874353,172.122713414634,251.818066334072
-10850,12800,212.413848854398,172.233578159645,252.59411954915
-10900,12850,204.211474501109,164.334118625277,244.08883037694
-10950,12900,204.654933481153,164.44498337028801,244.864883592018
-11000,12950,205.098392461197,164.555848115299,245.640936807095
-11050,13000,214.187684774575,173.231360864745,255.144008684405
-11100,13050,223.276977087953,181.9992609017,264.554693274205
-11150,13100,223.720436067997,182.110125646711,265.330746489283
-11200,13150,215.518061714708,173.656342387288,257.379781042129
-11250,13200,207.315687361419,165.110171840355,249.521202882483
-11300,13250,204.30081300813,161.610402808574,246.991223207687
-11350,13300,201.285938654841,158.073678861789,244.498198447894
-11400,13350,198.271064301552,154.5,242.042128603104
-11450,13400,202.17285661493,158.221498521803,246.124214708056
-11500,13450,206.074648928307,161.97995195861,250.169345898004
-11550,13500,209.976441241685,165.775360310421,254.177522172949
-11600,13550,206.961566888396,162.053861788618,251.869271988174
-11650,13600,203.946692535107,158.295408351811,249.597976718404
-11700,13650,200.931818181818,154.5,247.363636363636
-11750,13700,204.833610495196,158.443228011826,251.223992978566
-11800,13750,208.735402808574,162.423410938655,255.047394678492
-11850,13800,212.637195121951,166.440548780488,258.833841463415
-11900,13850,213.080654101996,166.551413525499,259.609894678492
-11950,13900,213.52411308204,166.66227827051,260.38594789357
-12000,13950,210.509238728751,162.645140428677,258.373337028825
-12050,14000,207.494364375462,158.59104767184,256.397681079084
-12100,14050,204.479490022173,154.5,254.458980044346
-12150,14100,208.381282335551,158.738867331855,258.023697339246
-12200,14150,208.824741315595,158.738867331855,258.910615299335
-12250,14200,209.268200295639,158.738867331855,259.797533259424
-12300,14250,206.25332594235,154.5,258.006651884701
