year (AD),age (yr BP),MAR (g/cm2/yr)
572.7379,1377.2621,0.0105192990189352
540.09,1409.91,0.00689337570493782
505.4239,1444.5761,0.00322002651527984
468.7396,1481.2604,0.00777228656783933
430.0371,1519.9629,0.00650704382004619
389.3164,1560.6836,0.00409157568789024
346.5775,1603.4225,0.00385452778823193
301.8204,1648.1796,0.00464245000295496
255.0451,1694.9549,0.00565771108154059
206.2516,1743.7484,0.00424392563382714
155.4399,1794.5601,0.00150241422923383
102.61,1847.39,0.00121814260778728
47.7619,1902.2381,0.0015259994455963
-9.10439999999994,1959.1044,0.00103681362054174
-67.9889000000001,2017.9889,8.19340996954597e-4
-128.8916,2078.8916,0.00134671564277379
-191.8125,2141.8125,0.00108328881321207
-256.7516,2206.7516,0.00195124412194526
-397.9589,2347.9589,5.22388162786667e-4
-541.1844,2491.1844,6.69261185468692e-4
-593.01115,2543.01115,8.90279525801492e-4
-646.876,2596.876,0.00101461951001309
-661.9181,2611.9181,0.00492638154296641
-677.0215,2627.0215,0.0129348717874746
-692.0212,2642.0212,0.00557026200741394
-706.9172,2656.9172,0.00671452529799434
-721.7095,2671.7095,0.00232233249310452
-736.3981,2686.3981,0.00276666511334812
-750.983,2700.983,0.00250183870936822
-765.4642,2715.4642,0.00322447972136858
-779.8417,2729.8417,0.00280404362332072
-794.1155,2744.1155,0.00356938507138696
-808.2856,2758.2856,0.00515833277092782
-822.352,2772.352,0.011069696623899
-836.3147,2786.3147,0.0169502231263897
-850.1737,2800.1737,0.0111393618377663
-863.929,2813.929,0.00472338873970951
-891.4934,2841.4934,0.00509856566556229
-918.27835,2868.27835,0.00276794100296306
-945.3336,2895.3336,0.00806767814521731
-972.65915,2922.65915,0.0057825729003059
-1000.255,2950.255,0.0048861968740775
-1028.12115,2978.12115,0.006491321083165
-1056.2576,3006.2576,0.00364332141225146
-1084.66435,3034.66435,0.00747503825047212
-1113.3414,3063.3414,0.00617745133153489
-1142.28875,3092.28875,0.00424339365968753
-1171.5064,3121.5064,0.00554071631983885
-1200.99435,3150.99435,0.00324797495712779
-1230.7526,3180.7526,0.00377799571035776
-1260.78115,3210.78115,0.00208891938664383
-1291.08,3241.08,0.00430914980702709
-1326.53165,3276.53165,0.00313185962782711
-1363.7476,3313.7476,0.00294683451067779
-1402.35285,3352.35285,0.00285527603467762
-1442.3474,3392.3474,0.007288872958818
-1483.73125,3433.73125,0.00905328901998776
-1526.5044,3476.5044,0.00460171010982342
-1570.66685,3520.66685,0.00225923791073411
-1616.2186,3566.2186,0.00455077323052662
-1663.15965,3613.15965,0.00676078159430251
-1711.49,3661.49,0.00779023662220238
-1761.20965,3711.20965,0.00495282312159209
-1812.3186,3762.3186,0.00397530227556594
-1864.81685,3814.81685,0.00494614797360065
-1918.7044,3868.7044,0.00364341194930435
-1973.98125,3923.98125,0.00412883495644515
-2030.6474,3980.6474,0.00609826416001449
-2088.70285,4038.70285,0.00580457482493235
-2148.1476,4098.1476,0.00938205679783178
-2208.98165,4158.98165,0.00446095761249574
-2271.205,4221.205,0.00332864034255898
-2334.81765,4284.81765,0.00580983900899496
-2387.3048,4337.3048,0.00697865867078353
-2425.42905,4375.42905,0.00980301271900571
-2466.1862,4416.1862,0.00991299327229863
-2500.785,4450.785,0.0262014126255352
-2526.6236,4476.6236,0.0269784547093151
-2553.6154,4503.6154,0.00857991206459468
-2581.7604,4531.7604,0.0090680717956791
-2611.0586,4561.0586,0.0128183829572177
-2641.51,4591.51,0.0231290124566919
-2673.1146,4623.1146,0.0163030617568511
-2705.8724,4655.8724,0.0179702328167838
-2739.7834,4689.7834,0.0105177344427245
-2774.8476,4724.8476,0.00626575255971119
-2811.065,4761.065,0.00702882018684019
-2848.4356,4798.4356,0.0135389871079271
-2886.9594,4836.9594,0.00930247654583326
-2926.6364,4876.6364,0.00603911079053459
-2967.4666,4917.4666,0.00710079011260741
-3009.45,4959.45,0.00705660130798632
-3052.5866,5002.5866,0.00328667720844687
-3096.8764,5046.8764,0.0024876169644872
-3142.3194,5092.3194,0.00306064216308704
-3182.7498,5132.7498,0.00402459906545328
-3222.5075,5172.5075,0.00547105882769185
-3282.044,5232.044,0.00492867783015048
-3341.843,5291.843,0.00267646191222835
-3401.642,5351.642,0
-3461.441,5411.441,0.00185286372688769
-3521.24,5471.24,0.0237403651485543
-3581.039,5531.039,0.00241704326925961
-3640.838,5590.838,0.00164755666145702
-3700.637,5650.637,0.00333464052286765
-3760.436,5710.436,0.00252196235836252
-3820.235,5770.235,0.00200937689463063
-3880.034,5830.034,0.00195848999989556
-3939.833,5889.833,0.00296890370048611
-3999.632,5949.632,0.00407045213662705
-4059.431,6009.431,0.00536302684573475
-4119.23,6069.23,0.00387967710542647
-4297.8715,6247.8715,4.88982203152611e-4
-4476.538,6426.538,4.44541940893406e-4
-4512.7295,6462.7295,0.00590757216062365
-4830.971,6780.971,7.20242118280947e-4
-4842.6,6792.6,0.0158263462520412
-4854.2,6804.2,0.00936019616748916
-4865.8,6815.8,0.0106338535294217
-4877.4,6827.4,0.0143970754644858
-4889,6839,0.00904267121579106
-4900.6,6850.6,0.0126154456694107
-4912.2,6862.2,0.012168267305052
-4923.8,6873.8,0.0100034093073012
-4935.4,6885.4,0.00613956963553446
-4947,6897,0.0114067570971265
-4958.6,6908.6,0.00858870722102573
-4970.2,6920.2,0.0057706573449254
-4981.8,6931.8,0.00534209443432835
-4993.4,6943.4,0.00502347463601833
-5005,6955,0.00499650446699602
-5016.6,6966.6,0.00609150909729289
-5028.2,6978.2,0.00668639903027472
-5039.8,6989.8,0.00519444583846415
-5051.4,7001.4,0.00491253995039579
-5063,7013,0.0056805960709919
-5074.6,7024.6,0.005898552122483
-5086.2,7036.2,0.00485460681620692
-5097.8,7047.8,0.00584843240147397
-5109.4,7059.4,0.00695492086099891
-5121,7071,0.00431756653680578
-5132.6,7082.6,0.00547406019527153
-5144.2,7094.2,0
-5155.8,7105.8,0.00688457986580757
-5167.4,7117.4,0.00529089521609253
-5179,7129,0.00971927076415825
-5190.6,7140.6,0.0122329162502061
-5202.2,7152.2,0.0206792998125508
-5213.8,7163.8,0.0169407842831262
-5225.4,7175.4,0.00228403571437566
-5237,7187,0.0204975433301789
-5248.6,7198.6,0.016891799764237
-5260.2,7210.2,0.0259335118448776
-5271.8,7221.8,0.0166141462151757
-5283.4,7233.4,0.0150915394381008
-5295,7245,0.0227499122591587
-5306.6,7256.6,0.0296211473878056
-5318.2,7268.2,0.0299314752205022
-5329.8,7279.8,0.0294797782619316
-5341.4,7291.4,0.0346744794584069
-5353,7303,0.0253103388923739
-5364.6,7314.6,0.019358884146764
-5376.2,7326.2,0.0216203937798221
-5387.8,7337.8,0.03290367310283
-5399.4,7349.4,0.0512352617133694
-5411,7361,0.0282825597475947
-5422.6,7372.6,0.04476340040834
-5434.2,7384.2,0.0461305073978161
-5445.8,7395.8,0.132703097121152
-5457.4,7407.4,0.101937616233772
