depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
345,4639,14.74285714,-1.671428571,6.120257143,1880
355,4763,14.74285714,-1.671428571,6.120257143,1880
365,4837,15.48571429,-0.114285714,7.377385714,1994.714286
375,4898,15.48571429,-0.114285714,7.377385714,1994.714286
385,4963,14.91428571,-1.2,6.4881,2103.428571
395,5070,14.6,-1.985714286,5.860728571,1908.571429
405,5233,14.6,-1.942857143,5.878585714,1901.142857
415,5327,14.8,-1.528571429,6.235728571,1889.428571
425,5409,14.7,-2.014285714,5.936914286,1960.285714
435,5486,15.01428571,-0.714285714,6.786914286,2032.571429
445,5554,15.01428571,-0.714285714,6.786914286,2032.571429
455,5632,14.75714286,-0.957142857,6.482157143,2062.714286
465,5768,14.8,-1.528571429,6.235728571,1889.428571
475,5919,14.58571429,-1.142857143,6.309542857,1891.714286
485,6076,14.8,-1.528571429,6.235728571,1889.428571
495,6244,14.8,-1.528571429,6.235728571,1889.428571
505,6359,14.8,-1.528571429,6.235728571,1889.428571
515,6487,14.8,-1.528571429,6.235728571,1889.428571
525,6652,15.6,-0.628571429,7.191671429,1918.857143
535,6805,15.11428571,-1.2,6.586914286,1835.857143
545,6979,14.74285714,-1.671428571,6.120257143,1880
552.5,7130,14.8,-1.528571429,6.235728571,1889.428571
557.5,7212,14.68571429,-1.185714286,6.340485714,1872.857143
562.5,7280,14.58571429,-1.142857143,6.309542857,1891.714286
567.5,7341,14.74285714,-1.671428571,6.120257143,1880
572.5,7399,14.74285714,-1.671428571,6.120257143,1880
577.5,7454,14.6,-1.942857143,5.878585714,1901.142857
582.5,7506,14.58571429,-1.142857143,6.309542857,1891.714286
587.5,7555,14.58571429,-1.142857143,6.309542857,1891.714286
592.5,7605,14.9,-0.114285714,7.050014286,1817.428571
597.5,7657,14.64285714,-0.842857143,6.500014286,1836.571429
607.5,7739,15.05714286,-0.842857143,6.758342857,1801.857143
612.5,7778,14.9,-0.114285714,7.050014286,1817.428571
620,7838,15.05714286,-0.842857143,6.758342857,1801.857143
630,7912,15.15714286,0.757142857,7.629771429,1687.142857
640,7979,15.15714286,0.757142857,7.629771429,1687.142857
650,8048,15.57142857,0.957142857,7.990485714,1656.285714
660,8127,15.51428571,1.114285714,8.066671429,1645.857143
670,8216,15.31428571,0.542857143,7.607142857,1570.285714
680,8296,15.31428571,0.542857143,7.607142857,1570.285714
690,8364,15.05714286,-0.842857143,6.758342857,1801.857143
700,8428,15.57142857,0.957142857,7.990485714,1656.285714
710,8640,15.15714286,0.757142857,7.629771429,1687.142857
720,9095,15.01428571,2.228571429,8.161914286,1654.142857
730,9462,15.31428571,0.542857143,7.607142857,1570.285714
740,9703,15.11428571,1.271428571,7.85,1493.285714
750,10210,15.08571429,2.528571429,8.327385714,1623
760,10542,15.11428571,1.271428571,7.85,1493.285714
770,11068,NA,NA,NA,NA
771.5,11118,NA,NA,NA,NA
782.5,11384,NA,NA,NA,NA
787.5,11777,NA,NA,NA,NA
792.5,12051,NA,NA,NA,NA
797.5,12316,NA,NA,NA,NA
802.5,12599,NA,NA,NA,NA
807.5,12744,NA,NA,NA,NA
812.5,12855,NA,NA,NA,NA
817.5,12943,NA,NA,NA,NA
822.5,13056,NA,NA,NA,NA
827.5,13185,NA,NA,NA,NA
832.5,13296,NA,NA,NA,NA
837.5,13418,NA,NA,NA,NA
842.5,13601,NA,NA,NA,NA
847.5,13749,NA,NA,NA,NA
852.5,13881,NA,NA,NA,NA
857.5,14029,NA,NA,NA,NA
862.5,14182,NA,NA,NA,NA
867.5,14584,NA,NA,NA,NA
872.5,14899,NA,NA,NA,NA
877.5,15059,NA,NA,NA,NA
882.5,15217,NA,NA,NA,NA
887.5,15401,NA,NA,NA,NA
