year (AD),age (yr BP),d13C (permil),depth_alt (mm),DUNE_A (unitless)
-370.5872095735,2320.5872095735,-26.58,1600,D
-385.729330936,2335.729330936,-26.56,1610,D
-400.8213584375,2350.8213584375,-27.16,1620,D
-415.862954176,2365.862954176,-27.61,1630,D
-430.8537944935,2380.8537944935,-28.18,1640,D
-445.793569976,2395.793569976,-27.4,1650,D
-460.6819854535,2410.6819854535,-28.7,1660,D
-475.51876,2425.51876,-27.12,1670,D
-490.3036269335,2440.3036269335,-27.94,1680,D
-505.036333816,2455.036333816,-27.95,1690,D
-519.7166424535,2469.7166424535,-28.23,1700,D
-534.344328896,2484.344328896,-27.7,1710,D
-548.9191834375,2498.9191834375,-26.99,1720,D
-563.441010616,2513.441010616,-25.91,1730,D
-577.9096292135,2527.9096292135,-25.84,1740,D
-592.324872256,2542.324872256,-25.83,1750,D
-606.6865870135,2556.6865870135,-26.23,1760,D
-620.994635,2570.994635,-26.92,1770,D
-635.2488919735,2585.2488919735,-26.83,1780,D
-649.449247936,2599.449247936,-27.37,1790,D
-663.5956071335,2613.5956071335,-27.59,1800,D
-677.687888056,2627.687888056,-28.1,1810,D
-691.7260234375,2641.7260234375,-27.59,1820,D
-705.709960256,2655.709960256,-26.34,1830,D
-719.6396597335,2669.6396597335,-27.01,1840,D
-733.515097336,2683.515097336,-27.18,1850,D
-747.3362627735,2697.3362627735,-27.63,1860,D
-761.10316,2711.10316,-28.06,1870,D
-795.28313412109,2745.28313412109,-28.58,NA,D
-822.38345051959,2772.38345051959,NA,NA,D
-829.1247584375,2779.1247584375,-29.22,NA,D
-835.85257979209,2785.85257979209,NA,NA,D
-875.93705311459,2825.93705311459,NA,NA,D
-882.5708687335,2832.5708687335,-26.78,NA,D
-889.19132281709,2839.19132281709,NA,NA,D
-915.53992984459,2865.53992984459,-27.36,NA,D
-928.63461693359,2878.63461693359,-28.16,NA,D
-954.66573950209,2904.66573950209,-29.61,NA,D
-967.60261020959,2917.60261020959,-29.85,NA,D
-1031.5100444996,2981.5100444996,-27.23,NA,D
-1044.13811949209,2994.13811949209,-27.2,NA,D
-1056.71578099609,3006.71578099609,-28.91,NA,D
-1081.72123253459,3031.72123253459,-28.71,NA,D
-1094.14974267709,3044.14974267709,NA,NA,D
-1118.86023880859,3068.86023880859,-27.32,NA,D
-1143.37807838209,3093.37807838209,-28.79,NA,D
-1155.56582124209,3105.56582124209,NA,NA,D
-1179.80121630859,3129.80121630859,-28.36,NA,D
-1239.59529349609,3189.59529349609,-28.55,NA,D
-1251.4220866721,3201.4220866721,NA,NA,D
-1298.30795287109,3248.30795287109,-27.99,NA,D
-1321.50658274959,3271.50658274959,-28.09,NA,D
-1333.04704176209,3283.04704176209,NA,NA,D
-1356.0135794336,3306.0135794336,-26.7,NA,D
-1412.79546068359,3362.79546068359,-28.895,NA,D
-1435.26991593209,3385.26991593209,-25.81,NA,D
-1446.45917237959,3396.45917237959,NA,NA,D
-1490.91542710459,3440.91542710459,-28.67,NA,D
-1501.95851976959,3451.95851976959,NA,NA,D
-1523.96564974609,3473.96564974609,-26.06,NA,D
-1545.8734051646,3495.8734051646,-28.89,NA,D
-1556.7923330471,3506.7923330471,NA,NA,D
-1578.5650450586,3528.5650450586,-29.79,NA,D
-1611.07594871209,3561.07594871209,-29.27,NA,D
-1632.66287005859,3582.66287005859,-28.45,NA,D
-1643.43333633709,3593.43333633709,-30.11,NA,D
-1654.18988844709,3604.18988844709,NA,NA,D
-1697.09875638209,3647.09875638209,-27.54,NA,D
-1718.49844570459,3668.49844570459,-29.42,NA,D
-1729.1886188271,3679.1886188271,NA,NA,D
-1739.87391162109,3689.87391162109,-27.56,NA,D
-1761.23464377959,3711.23464377959,-28.46,NA,D
-1771.91251253209,3721.91251253209,NA,NA,D
-1814.63634627709,3764.63634627709,-31.41,NA,D
-1825.3267527471,3775.3267527471,NA,NA,D
-1846.72800443359,3796.72800443359,-30.31,NA,D
-1900.41302787109,3850.41302787109,-29.05,NA,D
-1911.19221393709,3861.19221393709,-28.74,NA,D
-1932.80405183959,3882.80405183959,-28.92,NA,D
-1954.49681849609,3904.49681849609,-32.03,NA,D
-1976.28228259459,3926.28228259459,-30.86,NA,D
-1987.2135162171,3937.2135162171,NA,NA,D
-2036.769035,3986.769035,-30.34,NA,D
-2059.010819776,4009.010819776,-30.03,NA,D
-2081.404315576,4031.404315576,NA,NA,D
-2092.6620334375,4042.6620334375,-28.89,NA,D
-2103.962601536,4053.962601536,NA,NA,D
-2172.760410296,4122.760410296,-30.87,NA,D
-2196.113206336,4146.113206336,NA,NA,D
-2207.8763084375,4157.8763084375,-28.29,NA,D
-2219.699606776,4169.699606776,NA,NA,D
-2292.006039616,4242.006039616,-30.67,NA,D
-2316.67360229601,4266.67360229601,NA,NA,D
-2329.1219584375,4279.1219584375,-31.04,NA,D
-2425.13808724609,4375.13808724609,-28.835,NA,D
-2444.948299456,4394.948299456,-32.19,NA,D
-2498.862569536,4448.862569536,-29.25,NA,D
-2554.465086656,4504.465086656,-29.89,NA,D
-2582.942533816,4532.942533816,NA,NA,D
-2597.3579834375,4547.3579834375,-28.75,NA,D
-2611.894213696,4561.894213696,NA,NA,D
-2671.29196000001,4621.29196000001,-28.57,NA,D
-2701.774440376,4651.774440376,-30.46,NA,D
-2764.399359736,4714.399359736,-30.85,NA,D
-2829.363875,4779.363875,-29.5,NA,D
-2862.771704896,4812.771704896,-29.555,NA,D
-2896.822758136,4846.822758136,-31.52,NA,D
-3003.03556,4953.03556,-30.79,NA,D
-3039.860948216,4989.860948216,-29.92,NA,D
-3077.431420096,5027.431420096,-31.06,NA,D
-3154.892065856,5104.892065856,-29.64,NA,D
-3235.588678336,5185.588678336,-30.82,NA,D
-3277.204963256,5227.204963256,NA,NA,D
-3298.3397734375,5248.3397734375,-29.64,NA,D
-3319.696085056,5269.696085056,NA,NA,D
-3363.08446693601,5313.08446693601,NA,NA,D
-3385.1221999735,5335.1221999735,-30.64,NA,D
-3407.39276,5357.39276,-30.47,NA,D
-3452.643843256,5402.643843256,-29.765,NA,D
-3546.067035896,5496.067035896,-31.03,NA,D
-3693.85783097601,5643.85783097601,-32.53,NA,D
-3797.769247936,5747.769247936,-30.07,NA,D
-3906.217,5856.217,-30.82,NA,D
-3962.204469496,5912.204469496,-33.24,NA,D
-4019.401439936,5969.401439936,-30.79,NA,D
-4077.833525176,6027.833525176,-31.31,NA,D
-4198.50663500001,6148.50663500001,-31.94,NA,D
-4260.800026816,6210.800026816,-32.775,NA,D
-4389.433111616,6339.433111616,-31.16,NA,D
-4592.90321093601,6542.90321093601,-31.3,NA,D
-4884.992035,6834.992035,-32.4,NA,D
-4961.91516985601,6911.91516985601,-31.83,NA,D
-5202.506764216,7152.506764216,-32.27,NA,D
-5371.37949157601,7321.37949157601,-32.19,NA,D
-5547.31276613601,7497.31276613601,-30.82,NA,D
-5730.54887500001,7680.54887500001,-31.09,NA,D
-5824.98220409601,7774.98220409601,-32.61,NA,D
-6222.21196000001,8172.21196000001,-32.6,NA,D
-6326.55177541601,8276.55177541601,-32.4,NA,D
-6541.49502181601,8491.49502181601,-31.31,NA,D
-6880.05911353601,8830.05911353601,-31.3,NA,D
-6997.352580856,8947.352580856,-31.23,NA,D
-7521.6425622461,9471.6425622461,-30.69,NA,D
-7771.088,9721.088,-30.89,NA,D
-7870.64,9820.64,-32.02,NA,D
-7907.972,9857.972,-31.04,NA,D
-8019.968,9969.968,-31.46,NA,D
-8119.52,10069.52,-30.41,NA,D
-8866.16,10816.16,-30.99,NA,D
-9376.364,11326.364,-27.79,NA,D
NA,NA,-25.65,NA,D
NA,NA,-25.65,NA,D
NA,NA,-25.82,NA,D
NA,NA,-25.73,NA,D
